,SearchTitle,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Statistician,Survey Statistician,"Arlington, VA 22201",Arlington,VA,22201,None Found,None Found,None Found,None Found,None Found,None Found,"At Fors Marsh Group (FMG), we combine the power of science and strategy to improve people's lives. Each day, we work with institutions and organizations that seek to disrupt markets, understand or influence behavior, drive action on a national or global scale, and create a positive impact on the world. FMG was created with the vision of becoming a refreshingly different type of research and consulting firm by solving challenges through solutions steeped in scientific theory, methodological rigor, and creativity. This vision has shaped core capabilities led by experts in their field, which include health communications, human capital management, digital marketing and design and data science.
As a Certified B Corporation and 2018 AMA Top 50 Market Research Company, FMG's positive impact extends far beyond our client portfolio. FMG makes a difference in the community through pro bono service to nonprofits that are aligned with FMG's corporate values.
Fors Marsh Group (FMG) actively fosters a diverse and culturally inclusive corporate environment. FMG understands that diversity inspires innovation and attracts valued talent. FMG is an equal opportunity employer and interviews and hires without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status. If you have a disability or special need that requires accommodation, please let us know.
FMG is seeking an experienced and motivated Survey Statistician to work as part of a team primarily focused on research methods and data analysis. This individual's primary responsibility will be to provide methodological and statistical support for surveys designed and executed specifically for our clients.
Responsibilities include:
Designing and executing sampling and weighting plans for various probability and non-probability survey efforts ranging from large national surveys to smaller survey efforts targeting specific populations.
Applying sophisticated principles in the fields of survey methodology, sampling, survey statistics, and/or other social science disciplines to design, conduct, and analyze complex national surveys.
Preparing technical reports, presentations, and executive summaries.
Advancing the reputation of our organization through participation at professional conferences, publication of research studies, and continued technical training.
Participating in project meetings and assisting project managers with development of research projects.
Serving both internal and external clients as a resource for sampling and weighting related statistical support in the form of addressing concerns, questions, and requests pertaining to existing sampling and weighting designs.
Analyzing and presenting results for survey data.
Qualifications:
Knowledge and experience with sampling, weighting, non-response analysis/adjustments, missing data techniques, questionnaire design, and assessing/minimizing survey bias, variance and error.
Bachelor's degree in survey research, statistics, social sciences or a related field with emphasis on Survey Methodology required (Graduate degree preferred). Coursework should have included the completion of at least one formal sampling theory course and one probability theory course.
Ability to work effectively independently and as team member.
Experience with the statistical software packages SAS, Stata, R, SPSS, and Microsoft Office computer software applications.
Excellent oral and written communication skills.
U.S. citizenship
Applicants may be subject to a low-level government security investigation and must meet eligibility criteria for access to sensitive information.
We Offer:
Highly competitive benefit/compensation package
A highly collegial and intellectually stimulating work environment
A company culture promoting work/life balance
GZESL2RLrT"
1,Statistician,Statistician,"Arlington, VA 22202",Arlington,VA,22202,None Found,None Found,None Found,None Found,None Found,None Found,"Project Support Services Inc. is currently seeking a Statistician. This is a government contract opportunity with a prestigious Federal Law Enforcement Agency. The candidates must be able to successfully complete a government background investigation. Successful candidates will be charged with performing the duties listed below individually and as part of a team.
Project Support Services Inc. is a progressive Service Disabled Veteran owned business with the best interest of its employees and clients at the forefront of its platform. Project Support Services Inc. offers an excellent compensation package including competitive salaries, health care coverage (medical, dental, and vision), vacation, paid holidays, 401k retirement package, four tier bonus structure, and more.
Interested applicants should apply to this job using the directions listed in this application. Thank you!

The Statistician will provide services supporting data analytics in the Sex Offender Investigative Branch (SOIB) and will require qualifications, capabilities and skills related to statistical analysis, modeling, trend analysis, forecasting, mathematical formulations, performance measurement, and
data presentation. The statistician shall be a subject matter expert in statistical theory, techniques and methodology and is responsible for developing and conducting research, compiling internal statistical data, analyzing data and preparing reports and briefings. The statistician shall perform data management by collecting, analyzing, interpreting and presenting quantitative information ( data elements) in order to advise on statistical trending, forecast improvement opportunities, develop performance measures, and recommend strategy. The statistician shall support the development
and revision of statistical methodologies needed to meet strategic objectives and analyzes data to evaluate and determine future behaviors to improve performance. The statistician shall focus on collecting and providing data analytics that are descriptive, predictive, and prescriptive to leadership, program offices, and other functional areas.
Principal Duties and Responsibilities:
Utilize the systems available to obtain data for research studies and reports.Determine appropriate statistical procedures for analysis of data and accomplishes its implementation.Solves statistical and data table relationship problems encountered in research and data management situations.Create multiple programs and/or scripts to achieve queries and comprehensive statistical analyses for given data set in multiple combinations of variables and time-sequences.Consolidate data from different databases and prepares an integrated analysis.Interpret the statistical significance of project findings. Multiple projects are coordinated and kept in progress simultaneously.Plan and conduct special studies/projects as assigned.Plan and conduct statistical research projects to evaluate, design and tabulate results in the general area of statistics and experimental design.Study subordinate or peer technical reviews of professional studies, research and analysis and challenges or validates the findings by considering the impact on national missions, programs, and/or directives.Serves as a recognized authority, expert, and leader in a statistics or related regulatory field of specification. Develops broad, complex programs of scientific conclusions, opinions, and recommendations that are critical to the mission.

LABOR CATEGORY DESCRIPTIONS
Serves as a technical authority, leader, and expert in the development and interpretation of organization guidelines.Reviews organizational statistical measurements, reports, and documents for policy implications, and impacts on organization-wide, district, and industry activities.Report and/or publish, when appropriate, the experimental design and statistical aspects of statistical methodology and research findings.Give briefings and presentations on the effort.Issue reports, whether for publication or for internal use only, as sole author in collaboration with colleagues.Provide expert analysis and advice on Division/District/agency-wide programs or issues of national impact, to include:
o Applying advanced techniques to interpret and evaluate findings resulting from analysis.
o Reconciling conflicts between basic policies and program goals.
o Providing expert advice and recommendations to top management officials.
o Identifying reasons for the nature and/or extent of program-related problems that arise and investigates areas in need of improvements.
o Recommending options that remedy problematic situations.
o Writing comprehensive resolution recommendations.
o Formally presenting findings before large and diverse audiences, such as Federal, state and local government representatives, special interest groups, the community, the media, etc.
When existing techniques are not applicable, develops new statistical methods using expert knowledge of mathematical and applied statistics. Develops survey methodology and analyzes data using parametric and nonparametric methods, mixed model analysis, multivariate analysis, profit analysis, survival analysis, logistic regression, linear regression, ordinal regression, multivariate regression, principal components analysis and discriminate analysis.
Qualifications:
Bachelor's Degree in statistics or comparable field of study is requiredFive years of specialized experience related to the required dutiesTime management, organization and prioritization skillsAbility to build and maintain relationships with internal employees as well as outside sourcesCommunication skillsExhibit a high level of confidentialityAbility to quickly and effectively adapt to changeKnowledge of Microsoft Office software products"
2,Statistician,"Americas Assurance Analytics - Sr Statistician, Assistant Director - Location: Washington DC","Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,"Work with the Audit Risk Analytics team to work with and lead teams in building quantitative models; Scope includes data preparation, data profiling, building models, writing documentation and white papers, performing quality control procedures, visualization and presenting to the business audience the practical implications of the results
Build predictive and other analytical models using statistical and data mining methods in the areas of audit risk, staffing needs for engagements, monitoring and other areas; Principal investigator on other analytics projects
Develop innovative and customized analytics approaches to business problems
Translate the results of the quantitative models into practical business implications
Develop and propose new analytics ideas about our markets, services, competitors and regulatory environment; Recommendations should advance thinking on critical issue and ultimately impact firm strategy
Communicate progress, barriers, risks and benefits to internal clients, to achieve project success
Gain a broad understanding of business fundamentals and of the organization
Conduct high quality analytics work with the Audit Risk Analytics team; This will include developing leading practices for all phases of the analytics development cycle such as conceptualizing, determining data needs, overseeing or performing quality control procedures and presenting results
Establish leading practices for key analytical processes, including model development, visualization and implementation, quality control procedures and documentation to enhance the performance of the organization
Oversee other analysts on the team and serve as a mentor or counselor for other team members
",None Found,None Found,"Join our Core Business Services (CBS) team and you will help support the important business enablement functions that keep our organization running strong. As a CBS professional, you will work across teams to provide the knowledge, resources and tools that help EY deliver exceptional quality service to our clients, win in the marketplace and support EY’s growth and profitability. Major teams within CBS include Finance, Information Technology, Human Resources, Enterprise Support Services, Brand Marketing and Communications, Business Development, Knowledge and Risk Management.

With so many offerings, you have the opportunity to develop your career through a broad scope of engagements, mentoring and formal learning. That’s how we develop outstanding leaders who team to deliver on our promises to all of our stakeholders, and in so doing, play a critical role in building a better working world for our people, for our clients and for our communities. Sound interesting? Well this is just the beginning. Because whenever you join, however long you stay, the exceptional EY experience lasts a lifetime.

Job Summary:

The Americas Assurance Analytics - Sr Statistician Assistant Director is responsible for complex data analysis and building exploratory and predictive models using statistical and machine learning approaches. May work on complex projects independently as well as working with the team and as a project manager. Projects may require the design of customized approaches to analytics and reporting.

Key Responsibilities:
Work with the Audit Risk Analytics team to work with and lead teams in building quantitative models; Scope includes data preparation, data profiling, building models, writing documentation and white papers, performing quality control procedures, visualization and presenting to the business audience the practical implications of the results
Build predictive and other analytical models using statistical and data mining methods in the areas of audit risk, staffing needs for engagements, monitoring and other areas; Principal investigator on other analytics projects
Develop innovative and customized analytics approaches to business problems
Translate the results of the quantitative models into practical business implications
Develop and propose new analytics ideas about our markets, services, competitors and regulatory environment; Recommendations should advance thinking on critical issue and ultimately impact firm strategy
Communicate progress, barriers, risks and benefits to internal clients, to achieve project success
Gain a broad understanding of business fundamentals and of the organization
Conduct high quality analytics work with the Audit Risk Analytics team; This will include developing leading practices for all phases of the analytics development cycle such as conceptualizing, determining data needs, overseeing or performing quality control procedures and presenting results
Establish leading practices for key analytical processes, including model development, visualization and implementation, quality control procedures and documentation to enhance the performance of the organization
Oversee other analysts on the team and serve as a mentor or counselor for other team members
To qualify, candidates must have:
Proficient with R, working knowledge of SQL; Knowledge of other programming languages is a plus (e.g. SAS, Spotfire, Python)
Work experience conducting quantitative analytics in a business context; Proven record of independently conducting and leading data-heavy analytical projects
Ability to be a thought leader in applying modeling techniques to real business issues facing EY
Ability to think outside of the box and to learn new approaches to modeling business problems with a focus on the practical application of the results
Ability to understand key capital market and economic issues, as well as other business trends that could impact the firm
Comfortable in a rapidly changing environment, with competing and shifting priorities
Competent at presenting analytical content to the team and the firm leaders; effectively articulate and visualize results for non-technical audience
Ability to derive business insights from analytical results
Strong communicative skills
Strong project management skills and experience
Ability to partner with other departments or with Area leaders

EY provides equal employment opportunities to applicants and employees without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, or disability status."
3,Statistician,Research Analyst (Statistician),"Arlington, VA 22201",Arlington,VA,22201,None Found,None Found,None Found,None Found,None Found,None Found,"Serve as an important contributing team member on projects or lead smaller/less complex activities. Demonstrate analytical competence.
1 Develop sound analytic frameworks and associated analytic methodologies/ techniques for addressing both structured and unstructured problems. Consistently produce high quality analysis.
2 Develop and maintain broad, general institutional knowledge of primary clients/sponsors; their culture, organization, and issues.
3 Support business development efforts and/or marketing activities by maintaining strong client relationships through high quality work, increasing the visibility of our work, and other related activities such as proposal preparation.
4 Interact with sponsors/clients under the supervision of an experienced colleague, and with study POCs independently.
5 Make significant contributions to research publications and analytic products for individual projects.
6 Communicate results of work in a clear and concise fashion. Effectively communicate one-on-one and in groups. Document work efficiently and accurately. Effectively present work to colleagues, sponsors, and small audiences that are familiar with content.
7 Work with minimal or no guidance on focused, well-structured pieces of projects. Work under closer supervision on more complex, less-structured tasks. Serve as task lead for pieces of projects by managing own activities. May lead small projects under the supervision of an RTL/CMD.
8 Exhibit a positive attitude in interactions with colleagues and clients/sponsors. Provide clear guidance to colleagues on tasks. Take responsibility for own actions and outcomes.
9 Perform other duties as assigned.
Job Requirements
1 Education: Minimum Master’s degree in a relevant field or equivalent experience, PhD preferred.
2 Experience: Typical minimum requirements Ph.D. & 0+ years or Master’s & 2+ years of experience in research and analysis.
3 Skills: Ability to make significant contributions to projects/analyses; Strong analytic curiosity/ creativity; Ability to operate independently in the execution of assignments; Ability to work in a multi-disciplinary environment; Strong critical thinking skills; Knowledge of research techniques; Strong planning and organizational skills; Excellent interpersonal, oral and written communication skills; Ability to interact positively and somewhat independently with clients.
4 Other: Ability to obtain and maintain an Active Secret Security Clearance.
Job Family
Research
Full-Time/Part-Time
Full-Time
Requisition #
CER0445.115
CNA is committed to providing equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, religion, color, sex (including pregnancy, gender identity, and sexual orientation), parental status, national origin, age, disability, family medical history or genetic information, political affiliation, military service, or other non-merit based factors. In addition to federal legal requirements, CNA complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. These protections extend to all terms and conditions of employment, including recruiting and hiring practices, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training and career development programs. For more information about EEO protections, please view the EEO is the Law poster.
To be considered for hire, all individuals applying for positions with CNA are subject to a background investigation. For positions requiring access to classified information, U.S. citizenship is required. Individuals will also be subject to an additional government background investigation, and continued employment eligibility is contingent upon the ability to obtain and maintain an active security clearance."
4,Statistician,Sr Operations Research Analyst / Statistician - TS Clearance,"Crystal City, VA",Crystal City,VA,None Found,None Found,None Found,None Found,None Found,None Found,"Active TS/SSBI (SCI preferred)
Bachelor's degree- Mathematics, Engineering, Operations Research or Statistics
5+ years of relevant experience supporting DoD/IC
Background in Statistics, engineering and/or operations research
Minimum one (5) year of experience using modeling and simulation to solve problems
Minimum one (5) year of experience with statistical methods applied to large output data files
","WANTED: An experienced Operations Research Analyst with demonstrated experience in M&S (Modeling and Simulation) and statistics.
As a Senior Operations Research Analyst you will:
Apply your knowledge as a Senior Operations Research Analyst to support system trade studies, warfare assessments, and create analytic products to support DoD leadership decision making.
Work with a team of driven, supportive and highly skilled professionals.
Receive a robust benefits package that includes Employee Stock Ownership Plan!
Enjoy flexibility managing your work hours and personal needs with a single accrual leave plan.
A week in the life of a Senior Operations Research Analyst :
You will support several modeling and simulation projects that utilize defense planning scenarios supporting concepts of operations and tactical employment.
You will work with a team of skilled professionals in the field of DoD analysis to include data analyst, engineers and military subject matter experts.
This position directly supports DoD fiscal decision making and ultimately supports war-fighting capabilities.
Founded in 1975, AMERICAN SYSTEMS is one of the largest employee-owned companies in the United States. We are a government services contractor focused on delivering Strategic Solutions to complex national priority programs with 100+ locations worldwide. Our employee-owners are encouraged to make a difference, implement new ideas in a collaborative environment, and focus on mission critical success. Through our focus on quality, strong cultural beliefs and innovation we deliver excellence every day. Join us!
AWARDED “BEST OF THE BEST” by U.S. Veterans Magazine and “TOP 10 MILITARY FRIENDLY COMPANY” by MilitaryFriendly.com
#cjpost #CB #MON
Job Requirements
Requirements:
Active TS/SSBI (SCI preferred)
Bachelor's degree- Mathematics, Engineering, Operations Research or Statistics
5+ years of relevant experience supporting DoD/IC
Background in Statistics, engineering and/or operations research
Minimum one (5) year of experience using modeling and simulation to solve problems
Minimum one (5) year of experience with statistical methods applied to large output data files
ESSENTIAL REQUIREMENTS:
Multi-task oriented and capable of prioritizing.
Metric development and statistical analysis experience
Ability to draft technical white papers and briefing material
EOE M/F/Disability/Veterans"
5,Statistician,"Survey Statistician, GG-1530-13,Census-DE-MBE","Washington Navy Yard, DC",Washington Navy Yard,DC,None Found,None Found,"
A. Degree: that included 15 semester hours in statistics (or in mathematics and statistics, provided at least 6 semester hours were in statistics), and 9 additional semester hours in one or more of the following: physical or biological sciences, medicine, education, or engineering; or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health sociology, political science, public administration, psychology, etc. Credit toward meeting statistical course requirements should be given for courses in which 50 percent of the course content appears to be statistical methods, e.g., courses that included studies in research methods in psychology or economics such as tests and measurements or business cycles, or courses in methods of processing mass statistical data such as tabulating methods or electronic data processing.
",None Found,"Plan, schedule, carry out, monitor, and report status of activities for survey research projects.
Oversee and direct the work of individuals and teams.
Design, conduct, and report finding and recommendations of methodological research associated with instrument development, measurement error, nonresponse reduction and respondent burden in establishment surveys.
Work collaboratively with clients, co-workers, peers, and colleagues to develop products to meet customer needs.
Communicate with a variety of customers, management, stakeholders, and internal workgroups.
","
30% or more disabled veteran
Person with Disability
CTAP
ICTAP
","U.S. citizen.
Suitable for Federal employment.
Registered for Selective Service if applicable. (www.sss.gov)
You may be required to complete a financial disclosure (OGE-450).
","Duties
Summary
This vacancy is for multiple Survey Statistician position in the Associate Director for Decennial Census Programs (ADDC) area, located at the U.S. Census Bureau.

This Job Opportunity Announcement may be used to fill other Survey Statistician, GG-1530-13 positions within the Census Bureau in the same geographical location with the same qualifications and specialized experience.

Responsibilities
Plan, schedule, carry out, monitor, and report status of activities for survey research projects.
Oversee and direct the work of individuals and teams.
Design, conduct, and report finding and recommendations of methodological research associated with instrument development, measurement error, nonresponse reduction and respondent burden in establishment surveys.
Work collaboratively with clients, co-workers, peers, and colleagues to develop products to meet customer needs.
Communicate with a variety of customers, management, stakeholders, and internal workgroups.
Travel Required
Occasional travel - Travel may be required.
Supervisory status
Yes
Promotion Potential
13
Job family (Series)
1530 Statistics
Similar jobs
Statisticians
Statisticians, Survey
Survey Statisticians
Requirements

Requirements
Conditions of Employment
U.S. citizen.
Suitable for Federal employment.
Registered for Selective Service if applicable. (www.sss.gov)
You may be required to complete a financial disclosure (OGE-450).
Applicants must meet all qualification requirements by the closing date of this announcement.

This vacancy is advertised under 2 different announcements. Please read the 'Who May Apply' section carefully to determine your eligibility. If you are not eligible under this announcement, please see ADDC-2019-0080, Survey Statistician, GG-1530-13, Census-DOC-LRC.

Non-Current Career/Career Conditional U.S. Census Bureau Employee: This position may be filled as a Temporary Appointment not to exceed 1 year or 09/26/2020, whichever comes first with the possibility for extension at management's discretion.

A trial period may be required.

This position is ELIGIBLE for telework; additional criteria will be required (e.g., supervisory approval).

This is a NON-BARGAINING unit position.

Relocation expenses may not be paid.
Qualifications
Basic Requirements:

A. Degree: that included 15 semester hours in statistics (or in mathematics and statistics, provided at least 6 semester hours were in statistics), and 9 additional semester hours in one or more of the following: physical or biological sciences, medicine, education, or engineering; or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health sociology, political science, public administration, psychology, etc. Credit toward meeting statistical course requirements should be given for courses in which 50 percent of the course content appears to be statistical methods, e.g., courses that included studies in research methods in psychology or economics such as tests and measurements or business cycles, or courses in methods of processing mass statistical data such as tabulating methods or electronic data processing.
NOTE: As indicated in A above credit toward meeting statistical course requirements will be granted for courses in which 50 percent of the course content appears to be statistical methods, e.g., courses that included studies in research methods in psychology or economics such as tests and measurements or business cycles, or courses in methods of processing mass statistical data such as tabulating methods or electronic data processing. Additionally, to receive credit for coursework that is not catalogued on the transcript as Statistics or contain 'statistics' in the course title, applicants must attach an official course description for the course that clarifies that the course has statistical content, or written documentation (documentation must be on official school letterhead) from a professor or a school official verifying that the content of a course has either met the 50% statistics course requirements or was a statistical course if the course name in your transcript is not entitled as statistics.

OR

B. Combination of education and experience - courses as shown in A above, plus appropriate experience or additional education. The experience should have included a full range of professional statistical work such as (a) sampling, (b) collecting, computing, and analyzing statistical data, and (c) applying statistical techniques such as measurement of central tendency, dispersion, skewness, sampling error, simple and multiple correlation, analysis of variance, and tests of significance.
If you do not submit sufficient academic documentation necessary to demonstrate that you meet the eligibility and minimum qualification requirements described in this announcement, your application will be deemed incomplete and you will be ineligible for further consideration for this vacancy.

Grade Level Requirements:

In addition to meeting the Basic Entry Requirements above, applicants must have the experience listed below:

Specialized Experience: For the GG-13, you must have one year of experience at a level of difficulty and responsibility equivalent to the GS-12 grade level in the Federal services. Specialized experience for this position includes work that applies statistical theory, communication, coordination, coalition building, and analytical and evaluative techniques to plan, manage, and coordinate surveys/programs. Draw rational inferences based on statistical data, and prepare comprehensive reports.

Education cannot be substituted for experience at this grade level.

Experience refers to paid and unpaid experience, including volunteer work done through National Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; spiritual; community, student, social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to paid employment. You will receive credit for all qualifying experience, including volunteer experience.
Education
Additional information
The following links provide information on various hiring authorities that may enable you to apply through merit assignment procedures, or be eligible for a non-competitive appointment.

30% or more disabled veteran
Person with Disability
CTAP
ICTAP
The Department of Commerce provides reasonable accommodations to applicants with disabilities. If you need a reasonable accommodation for any part of the application and hiring process, please notify the Human Resources Office. The decision on granting reasonable accommodation will be on a case-by-case basis. TTY users can contact the Human Resources Office via the Federal Relay Service, 1-800-877-8339.


How You Will Be Evaluated
You will be evaluated for this job based on how well you meet the qualifications above.
Your resume, optional cover letter and supporting documentation will be reviewed to determine if you meet the minimum qualifications for the position. If you meet the minimum qualifications stated in the job opportunity announcement, we will compare your resume, optional cover letter and supporting documentation to your responses on the scored occupational questionnaire (True/False, Yes/No, Multiple Choice questions) and place you in one of three pre-defined categories. These categories are ""gold,"" ""silver,"" and ""bronze."" Your resume and/or optional cover letter must support your responses to the scored occupational questionnaire, or your score may be lowered. Candidates placed in the ""gold"" category will be identified for referral to the hiring manager and may be invited for an interview.

How you will be evaluated for preference eligibility: Within each category, those entitled to veterans' preference will be listed at the top of the pre-defined category for which they are placed.

The scored occupational questionnaire will evaluate you on the following competencies; please do not provide a separate written response:

Skill to apply project management techniques to lead projects.
Knowledge of statistical theories and methodology to manage and coordinate statistical projects/studies and apply knowledge of a particular statistical specialty.
Skill to supervise individuals and teams.
Skill to conduct survey research and apply data collection methodologies.
Skill to prepare comprehensive reports and recommendations.
Skill to analyze factual information and evaluate significant factors and solve complex problems based on statistical data.
Skill to identify customer needs and requirements and developing proposals/products to meet those needs.
Skill to influence others to utilize particular technical methods and procedures or to persuade others to cooperate in meeting objectives when there are problems in securing cooperation.
Skill to communicate complex information to a variety of audiences.
For more information on category rating, please go to:
http://www.hr.commerce.gov/s/groups/public/@doc/@cfoasa/@ohrm/documents/content/prod01_009474.pdf

We recommend that you preview the online questions for this announcement before you start the application process.

To preview questions please click here.

Background checks and security clearance
Security clearance
Other
Drug test required
No
Required Documents

Required Documents
A complete application consists of the following:

Resume showing relevant experience; cover letter optional. Your resume should list your educational and work experience including the dates (mm/dd/yy) of each employment along with the number of hours worked per week. Your resume may be used to validate your responses to the scored occupational questionnaire. Your resume should also indicate your citizenship and if you are registered with the Selective Service System if you are a male born after 12/31/59.
Veterans' Preference Documentation: Please indicate on your resume the type of veterans' preference you are claiming and provide the appropriate supporting documentation (DD-214 stating disposition of discharge or character of service, VA letter, SF-15, etc.) to validate your claim. For more information regarding eligibility requirements, please go to: http://www.fedshirevets.gov/job/vetpref/index.aspx.
Career Transition Assistance Plan (CTAP) and Interagency Career Transition Assistance Plan (ICTAP) documentation, if applicable (see other information).
Education Documentation: If this position requires proof of higher education, or you are substituting education for experience, you must submit an unofficial transcript or a list of courses that includes the following information: name of accredited institution, grades earned, completion dates, and quarter and semester hours earned. This also applies to Census Bureau employees. Education completed in foreign colleges or universities may be used to meet the requirements. Please refer to http://www.opm.gov/qualifications/policy/ApplicationOfStds-04.asp for more information.
You are not required to submit official documents at this time; copies are sufficient.

Special Instructions for Foreign Education: Qualifying education from colleges and universities in foreign countries must be evaluated in terms of equivalency to that acquired in U.S. colleges and universities. Applicants educated in whole or in part in foreign countries must submit sufficient evidence, including transcripts, to an accredited private organization for an equivalency evaluation of course work and degree. A listing of these accredited organizations can be found on the Department of Education's website - http://www.ed.gov/international/usnei/us/workrecog.doc You must provide a copy of the letter containing the results of the equivalency evaluation with a course by course listing along with your application. Failure to provide such documentation when requested will result in lost consideration.

CTAP and ICTAP Eligibles

CTAP and ICTAP candidates will be eligible for selection priority if it is determined that they have exceeded the minimum qualifications for the position by attaining at least a rating of 85 out of 100. Information about CTAP and ICTAP eligibility is on the Office of Personnel Management's Career Transition Resources website at: http://www.opm.gov/ctap

CTAP applicants MUST submit the following documents:

A copy of your RIF separation notice, notice of proposed removal for declining a directed geographic relocation outside of the local commuting area; a Certificate of Expected Separation (CES); or certification that you are in a surplus organization or occupation (this could be a position abolishment letter, a notice of eligibility for discontinued service retirement, or similar notice);
A copy of your SF-50 ""Notification of Personnel Action"", noting current position, grade/band level, and duty location;
A copy of your latest performance appraisal including your rating; and
Any documentation from your bureau/operating unit that shows your current promotion potential.
ICTAP applicants MUST submit the following documents:

A copy of your RIF separation notice, notice of proposed removal for declining a directed geographic relocation outside of the local commuting area, notice of disability annuity termination, certification from your former agency that it cannot place you after your recovery from a work-related compensable injury; or certification from the National Guard Bureau or Military Department that you are eligible for disability retirement.
A copy of your SF-50 ""Notification of Personnel Action"", documenting your RIF separation, noting your position, grade/band level, and duty location, and/or Agency certification of inability to place you through RPL, etc.;
A copy of your latest performance appraisal including your rating; and
Any documentation from your agency that shows your current promotion potential.
NOTE: You will not be considered if you fail to provide all required documents.
If you are relying on your education to meet qualification requirements:
Education must be accredited by an accrediting institution recognized by the U.S. Department of Education in order for it to be credited towards qualifications. Therefore, provide only the attendance and/or degrees from schools accredited by accrediting institutions recognized by the U.S. Department of Education.
Failure to provide all of the required information as stated in this vacancy announcement may result in an ineligible rating or may affect the overall rating.
Benefits

Benefits
A career with the U.S. Government provides employees with a comprehensive benefits package. As a federal employee, you and your family will have access to a range of benefits that are designed to make your federal career very rewarding. Learn more about federal benefits.
Additional benefits available at Census Headquarters located in Suitland, MD, include: fitness center; child-care facility; credit union; free parking; convenient access to Metrorail and Metrobus transit services in Washington, DC, Maryland and Virginia communities; car pools/van pools; etc.
Eligibility for benefits depends on the type of position you hold and whether your position is full-time, part-time, or intermittent. Contact the hiring agency for more information on the specific benefits offered."
6,Statistician,Statistician,"Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Statistician Job description
Great Minds, a rapidly growing challenger brand in the PK-12 instructional materials space, seeks an experienced Statistician.

COMPANY PROFILE
Great Minds brings teachers and scholars together to craft exemplary instructional materials that inspire joy in teaching and learning. Our English curriculum, Wit & Wisdom, Eureka Math and PhD Science, all support teachers as they take students beyond rote learning to provide a deeper, more complete understanding of the humanities, mathematics, and the sciences. Founded in 2007, Great Minds now employs almost 600 people.
For additional information please visit: www.greatminds.org

OUR MARKET POSITION
Great Minds' Eureka Math is the most widely used curriculum in the history of American education. It enjoys an unrivaled 40+ net promoter score. Eureka and its sister products, Wit & Wisdom English and PhD Science, embrace much higher expectations for all students and all teachers. In a market dominated by scripted, procedural materials that drive expectations down, Great Minds produces curricula that celebrate knowledge, respect the craft of teaching, and acknowledge the true capabilities of students.

Why work at Great Minds?
At Great Minds, we believe every child is capable of greatness. The mission of our rapidly growing DC-based non-profit is to ensure all students have access to a quality education in the full range of the liberal arts and sciences. We craft exemplary PK-12 instructional materials and share them with the education community. Our products have garnered national attention for their broad usage and high quality. We attribute our success to our outstanding team and their passion for the work we do.
What does it mean to work for us? Eureka Math team members are dedicated educators from all over the country. Working remotely, we engage with colleagues primarily through virtual platforms and email communication. Statisticians support curriculum developers as they craft new curricular materials, revise existing materials, and develop supplemental resources to support implementation. Our work is generally project-based and is a mix of collaborative and independent assignments. In terms of performance, what we value most is high-quality work, commitment, initiative, and effective collaboration and communication.

Requirements
What are the qualifications for the position?
The Statistician has authoritative content knowledge that spans across many grade levels. Candidates have deep familiarity with the progression of key concepts in K-12 mathematics as well as effective strategies for developing student conceptual understanding.
We are currently seeking a Statistician to serve as a subject matter expert. Responsibilities include reviewing the work of curriculum developers and providing feedback aligned with the organization's core philosophies around content and pedagogy. Statisticians routinely collaborate with team members to produce high-quality curriculum materials.
Minimum Qualifications
Master's degree in statistics.
Thorough knowledge of the Common Core State Standards for Mathematics and the Progression documents.
Thorough knowledge of the Guidelines for Assessment and Instruction in Statistics Education documents.
Proficient in MS Office and ability to quickly learn new technologies as needed.
Desired Qualifications
PhD in statistics.
Familiarity with Eureka Math.
Experience in K-12 curriculum development.
Experience working in a deadline-driven, fast-paced virtual environment.
If selected a background check will be required.
Apply for this Job

XJ6"
7,Statistician,Statistician/ Data Scientists,"Springfield, VA",Springfield,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Seeking Data Scientists in Springfield, VA and St. Louis, Missouri to develop and apply methods to identify, collect, process, and analyze large volumes of data to build and enhance GEOINT products, processes, and systems. They conduct data mining and retrieval and apply statistical and mathematical analyses to identify trends, solve analytical problems, optimize performance, and gather intelligence. They visualize information using a range of tools (e.g., GIS, R), develop scripts and algorithms using Visual Basic, Python or other software for modeling processes, repeatability, efficiency, knowledge capture, hypothesis testing and process automation.), create explanatory and predictive models, and conduct comparative analyses to address complex military and intelligence problems. The Contractor shall provide data science services within the support of GEOINT analysis. Knowledge of data science, methodologies, and processing techniques shall be employed on behalf of GEOINT analysts and community customers while providing operational support. Individual data scientists shall have applied knowledge in three distinct areas depending on mission requirements."
