,Corpus,Clean,UniqueClean
0,"     Although there are numerous accreditation bodies, each with its own ",although numerous accreditation bodies,although numerous accreditation bodies
1,"  Maintains student information system  currently Infinite Campus , including beginning and end of year functions, accuracy of data, support for school personnel, training, troubleshooting; Creates and maintains required reports and is knowledgeable of IWAS/ISBE systems; Downloads and provides summary analyses of data; Provides database-programming support of applications through development and Maintenance of application software; Develops and maintains database documentation; Develops processes and actively performs database tuning processes and procedures; Makes technical recommendations regarding division-wide data access and database connectivity; Maintains custom programs and the databases that they interface with; Trouble shoots and correct program errors and complete work orders as needed; Assists with software support for business office, data processing computers, and school wide scanners; Conducts individual or small group training of staff personnel; Interacts with multiple databases, systems and functions; Performs analyses of costs and return on investment of data services across departments; Assists in the development, scheduling and execution of division wide staff development; Maintains and develops professional skills through ongoing training and career development, including self-study, classroom training, and industry seminars and workshops; Interfaces with special education to file reports; Performs other duties as assigned.    ",maintains student information currently infinite campus beginning end year functions accuracy data support school personnel training troubleshooting creates maintains reports knowledgeable iwasisbe systems downloads provides summary analyses data provides databaseprogramming support applications development maintenance application software develops maintains database documentation develops processes actively performs database tuning processes procedures makes technical recommendations regarding divisionwide data access database connectivity maintains custom programs databases interface trouble shoots correct program errors complete orders needed assists software support business office data processing computers school wide scanners conducts individual small group training staff personnel interacts multiple databases systems functions performs analyses costs return investment data services across departments assists development scheduling execution division wide staff development maintains develops professional ongoing training career development selfstudy classroom training industry seminars workshops interfaces special education file reports performs duties assigned,maintains student information currently infinite campus beginning end year functions accuracy data support school personnel training troubleshooting creates reports knowledgeable iwasisbe systems downloads provides summary analyses databaseprogramming applications development maintenance application software develops database documentation processes actively performs tuning procedures makes technical recommendations regarding divisionwide access connectivity custom programs databases interface trouble shoots correct program errors complete orders needed assists business office processing computers wide scanners conducts individual small group staff interacts multiple costs return investment services across departments scheduling execution division professional ongoing career selfstudy classroom industry seminars workshops interfaces special education file duties assigned
2,    Six to nine years of directly related experience is preferred.  ,six nine directly,six nine directly
3,"Possess a Bachelorâs Degree or higher  completed and verified prior to start  from an accredited university OR High School Diploma/GED or higher from an accredited institution and a minimum of eight  8  years of DBA experience in lieu of the bachelorâs degree education requirement M inimum of four  4  combined years of experience in administration for Microsoft SQL and/or MySQL databases Minimum of five  5  years of experience installing and maintaining database environments M inimum of three  3  years of experience in writing, optimizing and deploying database scripts E xperience in managing security and access to databases and database environments E xperience in database deployments and administration in AWS Environment   The Cloud Systems Team is seeking a talented Database Administrator with at least 4 years of experience in Microsoft SQL and/or MySQL database server environments and 1 year of experience in AWS RDS/Aurora environment.  This position will perform day to day support and monitoring of our hosted database environments in AWS environment.  Tasks include but not limited to database backup maintenance, setting and responding to up database alerts, monitoring database instances The position also involves interacting with internal customers supporting external customers, corporate and vendor IT staffs to provide world-class production support.  The position requires creating and maintaining documentation for all of our database environments.  The position also requires developing automation processes, installation, and upgrade of new and existing database platforms including the application of database patching for specific database versions.  The position will be part of the database operations team that ensures all database environments are up, running and in optimal condition as part of our SLA agreement with our customers.  The position will be ""on-call"" for off-hours support and deployments as needed.  The position will also be asked to perform database script deployments as part of our ongoing Change Management Process.  Actively participates in relevant corporate programs/initiatives, complies with professional and quality standards complies with corporate policies and procedures, and acts in a manner consistent with 3Mâs values and ethical standards.    ",possess bachelors degree higher completed verified prior start accredited university school diplomaged higher accredited institution minimum eight dba lieu bachelors degree education requirement inimum four combined administration microsoft sql andor mysql databases minimum five installing maintaining database environments inimum three writing optimizing deploying database scripts e xperience managing security access databases database environments e xperience database deployments administration aws cloud systems team seeking talented database administrator least microsoft sql andor mysql database server environments year aws rdsaurora position perform day day support monitoring hosted database environments aws tasks include limited database backup maintenance setting responding database alerts monitoring database instances position also involves interacting internal customers supporting external customers corporate vendor staffs worldclass production support position requires creating maintaining documentation database environments position also requires developing automation processes installation upgrade existing database platforms application database patching specific database versions position part database operations team ensures database environments running optimal condition part sla agreement customers position oncall offhours support deployments needed position also asked perform database script deployments part ongoing change management process actively participates relevant corporate programsinitiatives complies professional standards complies corporate policies procedures acts manner consistent ms values ethical standards,possess bachelors degree higher completed verified prior start accredited university school diplomaged institution minimum eight dba lieu education requirement inimum four combined administration microsoft sql andor mysql databases five installing maintaining database environments three writing optimizing deploying scripts e xperience managing security access deployments aws cloud systems team seeking talented administrator least server year rdsaurora position perform day support monitoring hosted tasks include limited backup maintenance setting responding alerts instances also involves interacting internal customers supporting external corporate vendor staffs worldclass production requires creating documentation developing automation processes installation upgrade existing platforms application patching specific versions part operations ensures running optimal condition sla agreement oncall offhours needed asked script ongoing change management process actively participates relevant programsinitiatives complies professional standards policies procedures acts manner consistent ms values ethical
4,"   Install, configure and maintain database software.  Create and manage databases as needed to support university enterprise applications and other Technology Services initiatives.  Create and maintain a database backup strategy that is aligned with organizational needs, and perform the backup operations required by that strategy.  Take appropriate, timely action to resolve database problems when they occur; perform root cause analysis and follow up to ensure the issues are addressed at the root level.  Design and implement procedures or software to enhance and/or automate database administration tasks; document programs and procedures; ensure that automated tasks are performed correctly.  Monitor and maintain the integrity and security of database systems and data; design and implement changes to avert problems.  Monitor, analyze and report on utilization and performance trends of the databases and related infrastructure, identify potential performance or capacity problems, design and implement changes to avert problems.  Maintain inventory and documentation of databases and related infrastructure, including specifications, configuration, diagrams, connections, licensing, product lifecycle and maintenance information; keep documentation updated and accurate.  Maintain up-to-date technical knowledge of the database software in use at the university.  Coordinate with external vendors to resolve technical problems.   ",install configure maintain database software create manage databases needed support university enterprise applications technology services initiatives create maintain database backup strategy aligned organizational needs perform backup operations strategy take appropriate timely action resolve database problems occur perform root cause analysis follow issues addressed root level design implement procedures software enhance andor automate database administration tasks document programs procedures automated tasks performed correctly monitor maintain integrity security database systems data design implement changes avert problems monitor analyze report utilization performance trends databases infrastructure identify potential performance capacity problems design implement changes avert problems maintain inventory documentation databases infrastructure specifications configuration diagrams connections licensing product lifecycle maintenance information keep documentation updated accurate maintain uptodate technical database software use university coordinate external vendors resolve technical problems,install configure maintain database software create manage databases needed support university enterprise applications technology services initiatives backup strategy aligned organizational needs perform operations take appropriate timely action resolve problems occur root cause analysis follow issues addressed level design implement procedures enhance andor automate administration tasks document programs automated performed correctly monitor integrity security systems data changes avert analyze report utilization performance trends infrastructure identify potential capacity inventory documentation specifications configuration diagrams connections licensing product lifecycle maintenance information keep updated accurate uptodate technical use coordinate external vendors
5," 5-8 years of relevant experience Experience in systems analysis and programming of software applications Experience in managing and implementing successful projects Working knowledge of consulting/project management techniques/methods Ability to work under pressure and manage deadlines or unexpected changes in expectations or requirements   Conduct tasks related to feasibility studies, time and cost estimates, IT planning, risk technology, applications development, model development, and establish and implement new or revised applications systems and programs to meet specific business needs or user areas Monitor and control all phases of development process and analysis, design, construction, testing, and implementation as well as provide user and operational support on applications to business users Utilize in-depth specialty knowledge of applications development to analyze complex problems/issues, provide evaluation of business process, system process, and industry standards, and make evaluative judgement Recommend and develop security measures in post implementation analysis of business usage to ensure successful system design and functionality Consult with users/clients and other technology groups on issues, recommend advanced programming solutions, and install and assist customer exposure systems Ensure essential procedures are followed and help define operating standards and processes Serve as advisor or coach to new or lower level analysts Appropriately assess risk when business decisions are made, demonstrating particular consideration for the firm's reputation and safeguarding Citigroup, its clients and assets, by driving compliance with applicable laws, rules and regulations, adhering to Policy, applying sound ethical judgment regarding personal behavior, conduct and business practices, and escalating, managing and reporting control issues with transparency.   Bachelorâs degree/University degree or equivalent experience ",relevant systems analysis programming software applications managing implementing successful projects consultingproject management techniquesmethods pressure manage deadlines unexpected changes expectations conduct tasks feasibility time cost estimates planning risk technology applications development model development establish implement revised applications systems programs meet specific business needs user areas monitor control phases development process analysis design construction testing implementation well user operational support applications business users utilize indepth specialty applications development analyze complex problemsissues evaluation business process process industry standards make evaluative judgement recommend develop security measures post implementation analysis business usage successful design functionality consult usersclients technology groups issues recommend advanced programming solutions install assist customer exposure systems essential procedures followed help define operating standards processes serve advisor coach lower level analysts appropriately assess risk business decisions made demonstrating particular consideration firms reputation safeguarding citigroup clients assets driving compliance applicable laws rules regulations adhering policy applying sound ethical judgment regarding personal behavior conduct business practices escalating managing reporting control issues transparency bachelors degreeuniversity degree,relevant systems analysis programming software applications managing implementing successful projects consultingproject management techniquesmethods pressure manage deadlines unexpected changes expectations conduct tasks feasibility time cost estimates planning risk technology development model establish implement revised programs meet specific business needs user areas monitor control phases process design construction testing implementation well operational support users utilize indepth specialty analyze complex problemsissues evaluation industry standards make evaluative judgement recommend develop security measures post usage functionality consult usersclients groups issues advanced solutions install assist customer exposure essential procedures followed help define operating processes serve advisor coach lower level analysts appropriately assess decisions made demonstrating particular consideration firms reputation safeguarding citigroup clients assets driving compliance applicable laws rules regulations adhering policy applying sound ethical judgment regarding personal behavior practices escalating reporting transparency bachelors degreeuniversity degree
6, Backup & Recovery  Database Mgmt Systems DBMS  Database Mgmt Systems DBMS  Oracle    ,backup recovery database mgmt systems dbms database mgmt systems dbms oracle,backup recovery database mgmt systems dbms oracle
7,  Backup & Recovery Database Mgmt Systems DBMS Database Mgmt Systems DBMS Oracle    ,backup recovery database mgmt systems dbms database mgmt systems dbms oracle,backup recovery database mgmt systems dbms oracle
8," Bachelorâs Degree in Computer Science OR demonstrated capability to perform job responsibilities with a High School Diploma/GED and at least four  4  years of previous experience  Five  5  years of experience in development operations environment Four  4  years of experience in database technologies Proficiency with MS-SQL 2005, 2008, 2012, 2014, 2016 â SSIS, SSRS Extensive knowledge of T-SQL  procedures, triggers, functions  Knowledge of DR and HA solutions and their use Knowledge of database models and database architecture Experience in working with cloud technologies Knowledge of cloud computing DB infrastructure and considerations for scalable, distributed systems Knowledge and experience working with Azure and CosmosDB.  Development and architecture experience of Azure/Cosmos database solutions.  Available for overnight travel  up to 10%  Able to work flexible hours and be available for emergency response on short notice Able to pass a ten  10  year background check and pre-employment drug test   Full database administration life-cycle including the maintenance, design, setup, installation, patching and implementation of databases in large scale environments.  Troubleshoot database degradations Work with internal application teams to assess and define database requirements inclusive of capacity planning as well as collaborate with the operational DBA team regarding upcoming releases and existing database challenges and ensure code adheres to best practices for existing and new systems.  Participate in regular code review for all new code deployment efforts as code is advanced through the development life cycle.  Build, monitor and maintain enterprise non-production database environments.  Analyze business and technical requirements to determine system design, database architecture, and potential issues.  Produce design documents to effectively hand over infrastructure architecture to other Operations departments for successful systems engineering and implementation.  Drive the adoption of reusable technology assets to improve efficiency.  Contribute to the architectural frameworks and standards to be used by the engineering teams to design technology solutions.  Identify regulatory risks related to architectural components and develops mitigation strategies.  Collaborate with other teams in improving communication and teamwork to drive efficiencies and improvements.  Other duties as assigned  ",bachelors degree computer science demonstrated capability perform job responsibilities school diplomaged least four previous five development operations four database technologies proficiency mssql ssis ssrs extensive tsql procedures triggers functions dr ha solutions use database models database architecture cloud technologies cloud computing db infrastructure considerations scalable distributed systems azure cosmosdb development architecture azurecosmos database solutions available overnight travel able flexible hours available emergency response short notice able pass ten year background check preemployment drug test full database administration lifecycle maintenance design setup installation patching implementation databases scale environments troubleshoot database degradations internal application teams assess define database inclusive capacity planning well collaborate operational dba team regarding upcoming releases existing database challenges code adheres best practices existing systems participate regular code review code deployment efforts code advanced development life cycle build monitor maintain enterprise nonproduction database environments analyze business technical determine design database architecture potential issues produce design documents effectively hand infrastructure architecture operations departments successful systems engineering implementation drive adoption reusable technology assets improve efficiency contribute architectural frameworks standards used engineering teams design technology solutions identify regulatory risks architectural components develops mitigation strategies collaborate teams improving communication teamwork drive efficiencies improvements duties assigned,bachelors degree computer science demonstrated capability perform job responsibilities school diplomaged least four previous five development operations database technologies proficiency mssql ssis ssrs extensive tsql procedures triggers functions dr ha solutions use models architecture cloud computing db infrastructure considerations scalable distributed systems azure cosmosdb azurecosmos available overnight travel able flexible hours emergency response short notice pass ten year background check preemployment drug test full administration lifecycle maintenance design setup installation patching implementation databases scale environments troubleshoot degradations internal application teams assess define inclusive capacity planning well collaborate operational dba team regarding upcoming releases existing challenges code adheres best practices participate regular review deployment efforts advanced life cycle build monitor maintain enterprise nonproduction analyze business technical determine potential issues produce documents effectively hand departments successful engineering drive adoption reusable technology assets improve efficiency contribute architectural frameworks standards used identify regulatory risks components develops mitigation strategies improving communication teamwork efficiencies improvements duties assigned
9," Current DBA role using Oracle, SQL Server, IBM DB2 or similar Current hands on working knowledge of AWS Databases such as RDS, RedShift, Aurora.  AWS Certified Developer Associate  preferred  AWS Certified SysOps Administrator Associate or Professional  preferred  Interest in being involved internally and growing a small business  entrepreneurial spirit  Ability to travel  up to 20%  and to work independently Experience working in an Agile environment.  Excellent leadership, peer management, and communication skills Management consulting experience  preferred  Bachelor's degree in related field     ",current dba role oracle sql server ibm db similar current hands aws databases rds redshift aurora aws certified developer associate aws certified sysops administrator associate professional interest involved internally growing small business entrepreneurial spirit travel independently agile leadership peer management communication management consulting bachelors degree,current dba role oracle sql server ibm db similar hands aws databases rds redshift aurora certified developer associate sysops administrator professional interest involved internally growing small business entrepreneurial spirit travel independently agile leadership peer management communication consulting bachelors degree
