,Corpus,Clean,UniqueClean
0,"    A Bachelorâs degree in electrical engineering, computer engineering, mathematics or a related discipline may be substituted for four years of general experience.  ",bachelors degree electrical engineering computer engineering mathematics discipline may substituted four general,bachelors degree electrical engineering computer mathematics discipline may substituted four general
1,"Experience with distributed computing technologies including Hadoop, HBase, Cassandra, Elasticsearch and Apache Spark Development experience with Java, C++, Scala, Groovy, Python, and/or shell scripting Experience with data warehousing tools and technologies Ability to work within UNIX/Linux operating systems AWS experience a plus This position requires U. S.  Citizenship and an active TS/SCI security clearance  Experience with distributed computing technologies including Hadoop, HBase, Cassandra, Elasticsearch and Apache Spark Development experience with Java, C++, Scala, Groovy, Python, and/or shell scripting Experience with data warehousing tools and technologies Ability to work within UNIX/Linux operating systems AWS experience a plus This position requires U. S.  Citizenship and an active TS/SCI security clearance  ",distributed computing technologies hadoop hbase cassandra elasticsearch apache spark development java c scala groovy python andor shell scripting data warehousing tools technologies within unixlinux operating systems aws plus position requires u citizenship active tssci security clearance distributed computing technologies hadoop hbase cassandra elasticsearch apache spark development java c scala groovy python andor shell scripting data warehousing tools technologies within unixlinux operating systems aws plus position requires u citizenship active tssci security clearance,distributed computing technologies hadoop hbase cassandra elasticsearch apache spark development java c scala groovy python andor shell scripting data warehousing tools within unixlinux operating systems aws plus position requires u citizenship active tssci security clearance
2," Minimum three  3  yearsâ experience in designing, developing, building, and implementing Big Data solutions or developing automated solutions to solve complex problems, a thoughtful ability to solve problems could outweigh years of experience.  Ability to identify and implement a data solution strategy Demonstrates intellectual curiosity in exploring new technologies and finding creative ways to solve data management problems Experience developing solutions with Python/Javascript/PERL Experience/knowledge of Spark, Impala, Hadoop, Streamsets, Kafka, Rest APIs Experience in SQL-based technologies Experience with at least one of the following NoSQL Database technologies  Arrango Mark Logic HBase Impala Parquet RedShift Experience in Linux administration/troubleshooting   Assist in the development and delivering of large scale data pipelines Leverage new database technologies to improve customer data solutions Develop and implement automated tests for data transformations and data migrations Research and apply big data solution technologies to complex datasets; make recommendations to data science team on new technologies   ",minimum three designing developing building implementing big data solutions developing automated solutions solve complex problems thoughtful solve problems could outweigh identify implement data solution strategy demonstrates intellectual curiosity exploring technologies finding creative ways solve data management problems developing solutions pythonjavascriptperl experienceknowledge spark impala hadoop streamsets kafka rest apis sqlbased technologies least one following nosql database technologies arrango mark logic hbase impala parquet redshift linux administrationtroubleshooting assist development delivering scale data pipelines leverage database technologies improve customer data solutions develop implement automated tests data transformations data migrations research apply big data solution technologies complex datasets make recommendations data science team technologies,minimum three designing developing building implementing big data solutions automated solve complex problems thoughtful could outweigh identify implement solution strategy demonstrates intellectual curiosity exploring technologies finding creative ways management pythonjavascriptperl experienceknowledge spark impala hadoop streamsets kafka rest apis sqlbased least one following nosql database arrango mark logic hbase parquet redshift linux administrationtroubleshooting assist development delivering scale pipelines leverage improve customer develop tests transformations migrations research apply datasets make recommendations science team
3," Bachelorâs degree At least 1 year of experience with leading big data technologies such as Apache Spark, Apache Hadoop, or Apache Kafka At least 2 years of professional experience with data engineering concepts     ",bachelors degree least year leading big data technologies apache spark apache hadoop apache kafka least professional data engineering concepts,bachelors degree least year leading big data technologies apache spark hadoop kafka professional engineering concepts
4," 6 or more years of experience in software/system development 2 or more years of experience working with data technologies Technologies  Bachelor's in Computer Engineering, Computer Science, Information Technology, or related field, or equivalent experience Must currently possess an active US government Top Secret clearance with the ability to obtain and maintain SCI access within a reasonable, customer-mandated time frame.  Must be willing and able to pass a counterintelligence  CI  polygraph examination   Interest In  Building data services Scaling systems on AWS - Elastic MapReduce Building and Managing large performant data pipelines Experience with  Working on a cross functional team Delivering big data solutions Amazon Web Services DevOps best practices - Jenkins Debugging data pipeline issues Comfortable with  Interaction with analysts to help drive big data analytics Agile development Hands on system engineering tasks   Manipulate and store large amounts of data with an eye to performance and efficiency Work with technologies in the Hadoop ecosystem such as HBase, Spark, Phoenix Automate deployment and ingestion of data Design and build data services for consumption by application developers   ",softwaresystem development data technologies technologies bachelors computer engineering computer science information technology must currently possess active us government top secret clearance obtain maintain sci access within reasonable customermandated time frame must willing able pass counterintelligence ci polygraph examination interest building data services scaling systems aws elastic mapreduce building managing performant data pipelines cross functional team delivering big data solutions amazon web services devops best practices jenkins debugging data pipeline issues comfortable interaction analysts help drive big data analytics agile development hands engineering tasks manipulate store amounts data eye performance efficiency technologies hadoop ecosystem hbase spark phoenix automate deployment ingestion data design build data services consumption application developers,softwaresystem development data technologies bachelors computer engineering science information technology must currently possess active us government top secret clearance obtain maintain sci access within reasonable customermandated time frame willing able pass counterintelligence ci polygraph examination interest building services scaling systems aws elastic mapreduce managing performant pipelines cross functional team delivering big solutions amazon web devops best practices jenkins debugging pipeline issues comfortable interaction analysts help drive analytics agile hands tasks manipulate store amounts eye performance efficiency hadoop ecosystem hbase spark phoenix automate deployment ingestion design build consumption application developers
5,"  Bachelor's Degree or higher in Computer Sciences or similarMinimum of 5-6 years Software Industry experience3+ years of development experience with AWS services Must have EC2, EMR , RedShift, Data Pipeline or Airflow, S3, Cloud Formation and CLI  must to have   and Jenkins4+ years of development experience with Apache Spark, Presto, SQL and NoSQL Implementation5+ years of extensive working knowledge in different programming Scala   Must  , Shell and Python  Must . Proficiency working with structured, semi-structured and unstructured data sets including social, web logs and real time streaming data feedsAble to tune Big Data solutions to improve performance and end-user experienceKnowledge on Visualization and Data Science Tools. Expert level usage with Jenkins, GitHub is preferredSpark developer certification is a plusAbility and eagerness to constantly learn and teach othersExperience in the media industry is a plusMust have the legal right to work in the United State  Bachelor's Degree or higher in Computer Sciences or similarMinimum of 5-6 years Software Industry experience3+ years of development experience with AWS services Must have EC2, EMR , RedShift, Data Pipeline or Airflow, S3, Cloud Formation and CLI  must to have   and Jenkins4+ years of development experience with Apache Spark, Presto, SQL and NoSQL Implementation5+ years of extensive working knowledge in different programming Scala   Must  , Shell and Python  Must . Proficiency working with structured, semi-structured and unstructured data sets including social, web logs and real time streaming data feedsAble to tune Big Data solutions to improve performance and end-user experienceKnowledge on Visualization and Data Science Tools. Expert level usage with Jenkins, GitHub is preferredSpark developer certification is a plusAbility and eagerness to constantly learn and teach othersExperience in the media industry is a plusMust have the legal right to work in the United State",bachelors degree higher computer sciences similarminimum software industry development aws services must ec emr redshift data pipeline airflow cloud formation cli must jenkins development apache spark presto sql nosql implementation extensive different programming scala must shell python must proficiency structured semistructured unstructured data sets social web logs real time streaming data feedsable tune big data solutions improve performance enduser experienceknowledge visualization data science tools expert level usage jenkins github preferredspark developer certification plusability eagerness constantly learn teach othersexperience media industry plusmust legal right united state bachelors degree higher computer sciences similarminimum software industry development aws services must ec emr redshift data pipeline airflow cloud formation cli must jenkins development apache spark presto sql nosql implementation extensive different programming scala must shell python must proficiency structured semistructured unstructured data sets social web logs real time streaming data feedsable tune big data solutions improve performance enduser experienceknowledge visualization data science tools expert level usage jenkins github preferredspark developer certification plusability eagerness constantly learn teach othersexperience media industry plusmust legal right united state,bachelors degree higher computer sciences similarminimum software industry development aws services must ec emr redshift data pipeline airflow cloud formation cli jenkins apache spark presto sql nosql implementation extensive different programming scala shell python proficiency structured semistructured unstructured sets social web logs real time streaming feedsable tune big solutions improve performance enduser experienceknowledge visualization science tools expert level usage github preferredspark developer certification plusability eagerness constantly learn teach othersexperience media plusmust legal right united state
6, 5+ years of related experience Active TS/SCI clearance DoD 8570 compliance or information assurance certification.     5+ years of related experience Active TS/SCI clearance DoD 8570 compliance or information assurance certification.  ,active tssci clearance dod compliance information assurance certification active tssci clearance dod compliance information assurance certification,active tssci clearance dod compliance information assurance certification
7," Master's Degree preferred, or a Bachelor's degree and 4 years' experience, or 10 years of specialized experience Minimum 4 years' experience working on complex data/database projects as a data analyst, data architect, or database engineer Top Secret Clearance with ability to obtain an SCI and CI poly   Certified Data Management Professional  CDMP , Microsoft Certified Solutions Associate  Business Intelligence  or equivalent certification s  strongly desired Experience building n-tier web-based applications using SQL and non-SQL back-ends Unix scripting  Ruby, Perl, Python, shell  Experience with Node. js, Spark, Neo4J, Graph Databases, Mule ESB, and Rest API Experience ingesting, analyzing, and visualizing data using Tableau Produce clear and concise documents and diagrams capturing networking and operational procedures and storage topology using MS Visio, MS Project, MS Excel and MS Word.     ",masters degree bachelors degree specialized minimum complex datadatabase projects data analyst data architect database engineer top secret clearance obtain sci ci poly certified data management professional cdmp microsoft certified solutions associate business intelligence certification strongly desired building ntier webbased applications sql nonsql backends unix scripting ruby perl python shell node js spark neoj graph databases mule esb rest api ingesting analyzing visualizing data tableau produce clear concise documents diagrams capturing networking operational procedures storage topology ms visio ms project ms excel ms word,masters degree bachelors specialized minimum complex datadatabase projects data analyst architect database engineer top secret clearance obtain sci ci poly certified management professional cdmp microsoft solutions associate business intelligence certification strongly desired building ntier webbased applications sql nonsql backends unix scripting ruby perl python shell node js spark neoj graph databases mule esb rest api ingesting analyzing visualizing tableau produce clear concise documents diagrams capturing networking operational procedures storage topology ms visio project excel word
8," 5 years of experience COMPTIA Security+ certification or CISSP certification Proficiency in two or more of the following programming languages  C , Java, . NET, Python, Perl, Ruby, or similar Familiarity with current Agile methods   5 years of experience COMPTIA Security+ certification or CISSP certification Proficiency in two or more of the following programming languages  C , Java, . NET, Python, Perl, Ruby, or similar Familiarity with current Agile methods  ",comptia security certification cissp certification proficiency two following programming languages c java net python perl ruby similar familiarity current agile methods comptia security certification cissp certification proficiency two following programming languages c java net python perl ruby similar familiarity current agile methods,comptia security certification cissp proficiency two following programming languages c java net python perl ruby similar familiarity current agile methods
9,"  Expertise in Java or Scala and in-depth knowledge of the JVM Expertise in Apache Spark or expertise in Computer Science fundamentals, such as analysis of algorithms Expertise in enterprise integration patterns and workflow management Experience and practical knowledge of OOP design patterns Distributed System Development for large-scale applications Experience with continuous integration and testing Experience with agile methodologies and short release cycles Strong attention to detail, good work ethic, ability to work on multiple projects simultaneously, and good communication skills  Design and develop data services, as part of an agile/scrum team Apply best practices in continuous integration and delivery Experience in translating high-level, ambiguous business goals into working software solutions.  Design and develop stream and batch processing data pipelines Work with product managers and other engineers to implement and document complex and evolving requirements  Technical Bachelorâs Degree required, e. g.  Comp Sci, Engineering, Math  Technical Bachelorâs Degree required, e. g.  Comp Sci, Engineering, Math",expertise java scala indepth jvm expertise apache spark expertise computer science fundamentals analysis algorithms expertise enterprise integration patterns workflow management practical oop design patterns distributed development largescale applications continuous integration testing agile methodologies short release cycles attention detail good ethic multiple projects simultaneously good communication design develop data services part agilescrum team apply best practices continuous integration delivery translating highlevel ambiguous business goals software solutions design develop stream batch processing data pipelines product managers engineers implement document complex evolving technical bachelors degree e g comp sci engineering math technical bachelors degree e g comp sci engineering math,expertise java scala indepth jvm apache spark computer science fundamentals analysis algorithms enterprise integration patterns workflow management practical oop design distributed development largescale applications continuous testing agile methodologies short release cycles attention detail good ethic multiple projects simultaneously communication develop data services part agilescrum team apply best practices delivery translating highlevel ambiguous business goals software solutions stream batch processing pipelines product managers engineers implement document complex evolving technical bachelors degree e g comp sci engineering math
