,CleanUnique,count
0,data,1156
1,experience,1021
2,skills,662
3,work,625
4,analysis,614
5,business,599
6,ability,572
7,management,530
8,degree,501
9,years,445
10,strong,444
11,sql,436
12,knowledge,405
13,support,370
14,related,364
15,tools,355
16,analytics,353
17,reports,348
18,team,344
19,communication,341
20,reporting,334
21,required,325
22,develop,324
23,analytical,322
24,excel,322
25,systems,316
26,information,295
27,written,291
28,including,289
29,technical,282
30,science,279
31,working,278
32,analyze,257
33,preferred,255
34,requirements,253
35,quality,250
36,development,245
37,provide,241
38,identify,240
39,field,239
40,projects,237
41,using,237
42,statistics,234
43,computer,234
44,tableau,228
45,excellent,222
46,processes,219
47,or,213
48,design,212
49,new,212
