,DSwords,DScount
0,data,638
1,science,497
2,python,445
3,machine,420
4,statistics,367
5,computer,362
6,analysis,361
7,degree,346
8,statistical,339
9,business,320
10,models,306
11,analytics,301
12,sql,299
13,engineering,293
14,tools,274
15,techniques,268
16,mathematics,254
17,modeling,252
18,team,236
19,develop,235
20,development,225
21,communication,222
22,design,220
23,algorithms,217
24,quantitative,216
25,research,213
26,programming,208
27,advanced,202
28,technical,201
29,problems,198
30,solutions,194
31,complex,189
32,understanding,185
33,masters,177
34,projects,177
35,analytical,170
36,teams,170
37,product,168
38,management,167
39,andor,167
40,results,165
41,predictive,162
42,bachelors,162
43,build,159
44,insights,153
45,deep,153
46,software,147
47,sets,147
48,languages,147
49,support,145
