SearchTitle,Title,Location,City,State,FullDescriptions,Corpus
Data Scientist,Data Scientist,"Berkeley, CA",Berkeley,CA,"About the company
KoBold Metals is using machine learning to discover new sources of the critical materials needed for electric vehicles. Our Machine Prospector™ software predicts the locations of potential ore deposits by applying advanced scientific computing techniques to geoscience data from around the globe. We use our models to decide where to acquire land and to guide our geologists’ exploration program in the field.

We are exploring for new sources of critical battery materials, such as cobalt and nickel. As electric vehicles become widespread, many new mines will be needed, but before we can mine new deposits, we have to find them. KoBold’s team combines the world’s top mineral explorers with an outstanding team of data scientists and engineers, and our objective is to discover many new ethical sources of battery materials.

KoBold Metals is backed by Andreessen Horowitz and Breakthrough Energy Ventures.

About the position
In this role, you will help develop software to accelerate discovery of battery metals, and you will help build a worldwide geospatial dataset that underlies our digital exploration program. You will join an outstanding team of data scientists and engineers and will work closely with KoBold’s world-renowned geoscientists. Ultimately, your role is to help build data tools to solve challenging scientific problems and to enable the widespread adoption of electric vehicles. As one of the early members of this team, you will help build these tools from the ground up.

Responsibilities
The Data Scientist will:

Help develop KoBold’s proprietary software called Machine Prospector™
Extract a wide variety of geophysical, geochemical, geologic, and geographic data from around the world
Curate and standardize the data and integrate it in a well-structured proprietary database
Find insights in unstructured data and work with the engineering team to ingest and extract key features from these datasets
Build models to predict the locations of mineral ore deposits
Create effective visualizations for evaluating model performance and enabling rapid interaction with the underlying data and key features
Support the exploration team with various custom geospatial analyses
Qualifications
A great Data Scientist candidate will have:

Proficiency in Python, including both data science packages and general software development
Proficiency in SQL and familiarity with non-relational databases
A technical stack that includes most or all of: Python, Postgres/PostGIS, GIS, Tensorflow, git
Experience building a wide variety of predictive models, applying them to different problems, and evaluating and interpreting the results
Experience working with a broad range of types of data and the inconsistencies and measurement errors that arise from field and laboratory measurements of physical properties
Broad skills in applied statistics
At least 3 years of relevant full-time professional work experience as a data scientist
The ability to work well with technical experts who aren’t software people
Excitement about joining a fast-growing early-stage company, comfort with a dynamic work environment, and eagerness to take on a range of responsibilities
Enjoyment in getting the details right
It is helpful but not required to have:

Experience with geospatial databases, analyses, and/or visualizations
Experience creating machine learning models on geospatial data
Experience with geostatistics
Experience in image processing or computer vision
A bachelor’s degree or higher in the physical sciences, engineering, computer science, or mathematics
KoBold Metals is an equal opportunity workplace and an affirmative action employer. We are committed to equal employment opportunity for people of any race, color, ancestry, religion, sex, gender identity, sexual orientation, marital status, national origin, age, citizenship, marital status, disability, or veteran status.

This position is full-time, exempt.

Location: KoBold Metals has an office in Berkeley, CA; partial remote work is an option.

Interested applicants should contact info@koboldmetals.com.","
Proficiency in Python, including both data science packages and general software development
Proficiency in SQL and familiarity with non-relational databases
A technical stack that includes most or all of: Python, Postgres/PostGIS, GIS, Tensorflow, git
Experience building a wide variety of predictive models, applying them to different problems, and evaluating and interpreting the results
Experience working with a broad range of types of data and the inconsistencies and measurement errors that arise from field and laboratory measurements of physical properties
Broad skills in applied statistics
At least 3 years of relevant full-time professional work experience as a data scientist
The ability to work well with technical experts who aren’t software people
Excitement about joining a fast-growing early-stage company, comfort with a dynamic work environment, and eagerness to take on a range of responsibilities
Enjoyment in getting the details right
   
Help develop KoBold’s proprietary software called Machine Prospector™
Extract a wide variety of geophysical, geochemical, geologic, and geographic data from around the world
Curate and standardize the data and integrate it in a well-structured proprietary database
Find insights in unstructured data and work with the engineering team to ingest and extract key features from these datasets
Build models to predict the locations of mineral ore deposits
Create effective visualizations for evaluating model performance and enabling rapid interaction with the underlying data and key features
Support the exploration team with various custom geospatial analyses
  "
Data Scientist,Senior Data Scientist,"Berkeley, CA 94710",Berkeley,CA,"About Pivot Bio
---------------

Fueled by an innovative drive and a deep understanding of the soil microbiome, Pivot Bio is pioneering game-changing advances in agriculture. Our first commercial product harnesses the power of naturally-occurring microbes to provide nutrients to crops. We are dedicated to providing new sustainable ways for farmers to improve yield as they work to help feed the world's growing population.

The Field Technology team measures and models the performance of Pivot's microbial product. We aim to use this proprietary data to increase the value of our product. The Senior Data Scientist will analyze large, complex data sets to create and optimize predictive models using machine learning and other statistical tools. They will own the prototyping and early development of data products that can complement our microbial nitrogen fertilizer.

Location: Berkeley, CA

Responsibilities:

Own the development of predictive analytics that quantify the impact and increase the value of our core microbial product.
Help develop Pivot's technical partnership strategy for creating value from data.
Work with Pivot's data engineering team to translate statistical models from R&D to production.
Communicate the impact of our work to internal and external stakeholders.

Required Skills and Experience:

Ph.D. in a quantitative discipline plus 2+ years experience in industry or M.S. and equivalent practical experience, particularly in agricultural/plant, remote sensing, or biological data.
Experience using Python and developing statistical models in a shared on-cloud database. Knowledge of R is a plus.
Understanding of how to structure and analyze problems with machine learning, from both a conceptual standpoint, as well as having practical knowledge of libraries such as sklearn, PyTorch, and TensorFlow
Experience working with complex structured spatial and time-series data, from exploratory analysis to hierarchical or ML modeling. Knowledge of Bayesian methods is a plus.
Must be authorized to work in the U.S.

What we offer:

Competitive package in an early-stage, disruptive startup
Health/Dental/Vision
401(k) plan
Flexible vacation policy
Exciting opportunity to work with a talented and fun team

","  
Ph.D. in a quantitative discipline plus 2+ years experience in industry or M.S. and equivalent practical experience, particularly in agricultural/plant, remote sensing, or biological data.
Experience using Python and developing statistical models in a shared on-cloud database. Knowledge of R is a plus.
Understanding of how to structure and analyze problems with machine learning, from both a conceptual standpoint, as well as having practical knowledge of libraries such as sklearn, PyTorch, and TensorFlow
Experience working with complex structured spatial and time-series data, from exploratory analysis to hierarchical or ML modeling. Knowledge of Bayesian methods is a plus.
Must be authorized to work in the U.S.
 
Own the development of predictive analytics that quantify the impact and increase the value of our core microbial product.
Help develop Pivot's technical partnership strategy for creating value from data.
Work with Pivot's data engineering team to translate statistical models from R&D to production.
Communicate the impact of our work to internal and external stakeholders.
  "
Data Scientist,Data Scientist,"Brisbane, CA 94005",Brisbane,CA,"Headquartered in Brisbane, Calif., CareDx, Inc. is a leading precision medicine solutions company focused on the discovery, development and commercialization of clinically differentiated, high-value healthcare solutions for transplant patients and caregivers. CareDx offers products, testing services and digital healthcare solutions along the pre- and post-transplant patient journey, and is the leading provider of genomics-based information for transplant patients.
Data Scientist
We are seeking a self-motivated data scientist to work in a Data Sciences & Bioinformatics group for development of new algorithms and data analysis pipelines for clinical tests relating to human organ transplantation. These tests include but are not limited to next generation sequencing, digital PCR, expression analysis of targeted regions of interest. The richness of the data-lake provides the opportunity for machine learning based approaches. Individual should have excellent working skills in multiple programming languages (R, Perl, bash shell, Java, Python), be familiar with manipulating large databases, especially SQL in Oracle databases and be comfortable with Docker, Linux environments.
Responsibilities:
Help design and produce analytical data pipelines
Implement statistical procedures necessary for data processing and algorithm development
Help develop new next generation sequencing tests for transplantation which include but not limited to data-mining and bioinformatic evaluation of markers, new marker signatures.
Prototype, develop, improve, maintain, and apply tools construct pipelines for the management and analysis for large amounts of complex data • Design, build, maintain and monitor current test and data flows
Produce well-written, well-documented, and well-behaved software components
Evaluates new technologies while keeping up to date with current literature
Work as part of the cross-functional team
Qualifications:
Ph.D in Physics, Computational Biology or Computer Science or equivalent experience
Proficiency in programming in R, Python and Unix / Linux Shell scripting
Experience using Linux command-line tools and writing shell scripts
Experience handling large complex datasets: sequencing (NGS) data
Ability to program against REST APIs is preferred
Experience with version control tools (preferably git)
Able to work well both independently and cross-functionally
Excellent communication skills, both verbal and written
Familiarity with cloud services and cloud management systems would be a plus
Experience with regulated environments, i.e. SOX, HIPAA, CLIA, FDA, a plus
Approximately 7 plus years data analysis/algorithm, development experience
Work experience with a large and complex data sets
Expertise and experience with data manipulation and analysis (ETL)
Professional level code documentation and version control
Familiarity with HL7 and EMRs (Epic preferred) is preferred
Additional Details:

Every individual at CareDx has a direct impact on our collective mission to improve the lives of organ transplant patients worldwide. We believe in taking great care of our people, so they take even greater care of our patients.
Our competitive Total Rewards package includes:
Competitive base salary and incentive compensation
Health and welfare benefits including a gym reimbursement program
401(k) savings plan match
Employee Stock Purchase Plan
Pre-tax commuter benefits
And more!
In addition, we have a Living Donor Employee Recovery Policy that allows up to 30 days of paid leave annually to a full-time employee who makes the selfless act of donating an organ or bone marrow.
With products that are making a difference in the lives of transplant patients today and a promising pipeline for the future, it’s an exciting time to be part of the CareDx team. Join us in partnering with transplant patients to transform our future together.","Ph.D in Physics, Computational Biology or Computer Science or equivalent experience
Proficiency in programming in R, Python and Unix / Linux Shell scripting
Experience using Linux command-line tools and writing shell scripts
Experience handling large complex datasets: sequencing (NGS) data
Ability to program against REST APIs is preferred
Experience with version control tools (preferably git)
Able to work well both independently and cross-functionally
Excellent communication skills, both verbal and written
Familiarity with cloud services and cloud management systems would be a plus
Experience with regulated environments, i.e. SOX, HIPAA, CLIA, FDA, a plus
Approximately 7 plus years data analysis/algorithm, development experience
Work experience with a large and complex data sets
Expertise and experience with data manipulation and analysis (ETL)
Professional level code documentation and version control
Familiarity with HL7 and EMRs (Epic preferred) is preferred
   Help design and produce analytical data pipelines
Implement statistical procedures necessary for data processing and algorithm development
Help develop new next generation sequencing tests for transplantation which include but not limited to data-mining and bioinformatic evaluation of markers, new marker signatures.
Prototype, develop, improve, maintain, and apply tools construct pipelines for the management and analysis for large amounts of complex data • Design, build, maintain and monitor current test and data flows
Produce well-written, well-documented, and well-behaved software components
Evaluates new technologies while keeping up to date with current literature
Work as part of the cross-functional team
  "
Data Scientist,Artificial Intelligence/Analytics Data Scientist - Consultant in Burbank!,"Burbank, CA",Burbank,CA,"Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and Deployment.

Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.


Qualifications

(Includes Data Modeler, Data Miner.) Responsible for importing, cleaning, transforming, validating and modeling data with the purpose of understanding and drawing conclusions from data (may be presented in charts, graphs, and/or tables). Also, design and develop relational databases for collecting and storing data and build and design data input and data collection mechanisms.

Required Skills and Experience:

You are responsible for data related activities such as data extraction, profiling, cleansing, de-duplication, standardization, conversion, transformation and loading, data mining, warehousing, archiving and reporting. Responsible for all activities required to ensure optimum performance and data integrity of databases in production environments, in line with the requirements. Responsible for providing support of server based databases in development and test environments including database software installation, database creation, performance and capacity design, backup and recovery design, security design, providing Analytical feedback as appropriate.

Qualifications: 1 – 3 years experience, Bachelor’s Degree.
Should have progressing skills in Software Engineering Techniques, Software Engineering Architecture, Software Engineering Lifecycle and Data Management.
Should have baseline skills in Business Analysis, Business Knowledge, Software Engineering Leadership, Architecture Knowledge and Technical Solution Design.

Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.
This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.
Click the following link for more information on your rights as an Applicant : http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law
About Capgemini
A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.

Visit us at www.capgemini.com. People matter, results count.","Qualifications: 1 – 3 years experience, Bachelor’s Degree.     "
Data Scientist,Data Scientist Manager - Hiring in Burbank!,"Burbank, CA",Burbank,CA,"5-10 years professional work experience as a data scientist or on advanced analytics / statistics projects.

Preferred sector focus with 3+ years’ experience in one of the following industries: Aerospace & Defense, Automotive, Banking, Consumer Products & Retail, Financial Services, Healthcare, High Tech, Industrial Products, Insurance, Life Sciences, Manufacturing, Public Sector, Telecom, Media & Entertainment, and Energy & Utilities.

Master’s degree from top tier college/university in Computer Science, Statistics, Economics, Physics, Engineering, Mathematics, or other closely related field.

PhD preferred.

Strong understanding and application of statistical methods and skills: distributions, experimental design, variance analysis, A/B testing, and regression.

Statistical emphasis on data mining techniques, Bayesian Networks Inference, CHAID, CART, association rule, linear and non-linear regression, hierarchical mixed models/multi-level modeling, and ability to answer questions about underlying algorithms and processes.

Experience with both Bayesian and frequentist methodologies.

Mastery of statistical software, scripting languages, and packages (e.g. R, Matlab, SAS, Python, Pearl, Scikit-learn, Caffe, SAP Predictive Analytics, KXEN, ect.).Knowledge of or experience working with database systems (e.g. SQL, NoSQL, MongoDB, Postgres, ect.)

Experience working with big data distributed programming languages, and ecosystems (e.g. S3, EC2, Hadoop/MapReduce, Pig, Hive, Spark, SAP HANA, ect.)Expertise in machine learning algorithms and experience using the following ML techniques: Logistic Regression, Decision Trees, Random Forests, Gradient Boosting, SVMs, Time Series, KMeans, Clustering, NMF).

Preferred experience with NLP, Graph Theory, Neural Networks (RNNs/CNNs), sentiment analysis, and Azure ML..

Experience building scalable data pipelines and with data engineering/ feature engineering.

Preferred experience with web-scrapping.

Experience building and deploying predictive models.

Expertise using PowerPoint and clearly articulating findings/ presenting solutions.

Excellent team-oriented interpersonal skills and demonstrated leadership.

Proven track record delivering successful data science projects and working with global teams.

Demonstrated leadership by building Data Science teams and fostering growth.


Candidates should be flexible / willing to work across this delivery landscape which includes and not limited to Agile Applications Development, Support and Deployment.
Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.
Qualifications
(Includes Data Modeler, Data Miner.) Responsible for importing, cleaning, transforming, validating and modeling data with the purpose of understanding and drawing conclusions from data (may be presented in charts, graphs, and/or tables). Also, design and develop relational databases for collecting and storing data and build and design data input and data collection mechanisms.

Required Skills and Experience:

You Supervise, mentor, guide other data analysts. Represent data analyst team in project team meetings.

Qualifications: 7 – 10 (3 years min relevant experience in the role), Bachelor’s Degree.
Must have experience in Software Engineering Techniques, Software Engineering Architecture, Software Engineering Lifecycle and Data Management.
Should be proficient in Business Analysis, Business Knowledge, Software Engineering Leadership, Architecture Knowledge and Technical Solution Design.

Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.
This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.
Click the following link for more information on your rights as an Applicant - http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law


About Capgemini
A global leader in consulting, technology services and digital transformation, Capgemini is at the forefront of innovation to address the entire breadth of clients’ opportunities in the evolving world of cloud, digital and platforms. Building on its strong 50 year heritage and deep industry-specific expertise, Capgemini enables organizations to realize their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. It is a multicultural company of 200,000 team members in more than 40 countries. The Group reported 2018 global revenues of EUR 13.2 billion.
Visit us at www.capgemini.com. People matter, results count.","Qualifications: 7 – 10 (3 years min relevant experience in the role), Bachelor’s Degree.     "
Data Scientist,Senior Lead Machine Learning Engineer/Data Scientist,"New York, NY 10020",New York,NY,"(We are not sponsoring for this role or in the future)
At Fareportal, we create technology that is driving innovation in the travel industry - one of the world's fastest-growing sectors. Our employees are the core of our organization and together we're revolutionizing the way people book travel.
Our portfolio of brands including CheapOair and OneTravel receive over 100 million visitors annually and drive over $4 billion in annual revenue.
We are looking for a Lead Machine Learning Engineer/Data Scientist to join our team. You will be handling hundreds of millions of events per day, responsible for creating and supporting machine learning models that will drive our business.
Machine Learning Engineers is at the heart of how Fareportal works and they are part software engineer and part machine learning / data scientist. You will focus on creating and supporting large scale models that we deploy to power our recommendation, pricing or other systems. The ideal candidate will participate in the design and implementation of the entire model pipeline, from project ideation, figuring out which data to capture and store, coming up with features, to creating the final model.
We are passionate about making data-driven decisions and you will have the opportunity to shape the team's direction and create large impact.
Our team loves Python and Scala (and is not afraid of Functional Programming) and we strongly encourage DevOps approaches.
Responsibilities:
Lead a team of machine learning engineers, data scientist, data engineers
Support our data modeling efforts to ensure we are capturing the data needed to improve our modeling capabilities.
Create features for our feature store
Build machine learning models
Use a variety of techniques including predictive modeling, recommendation engines, revenue management, conversion rate optimization, and site and user experience optimization.
Our ideal candidate:
Who You Are
You are smart and love to build systems that are well tested as well as flexible
You like being around smart people who will challenge you on a daily basis.
You love to ramp up on new technologies to build awesome things with us!
Passionate about working with large unstructured and structured data sets and developing new approaches to relevance problems
You like to share your knowledge and guide other fellow data scientist and engineers
Requirements
5+ years' experience developing, maintaining, and testing machine learning models.
A strong technical advocate with a background in Java, Scala, or Python. Preferably familiar with Jupyter notebook environments and Spark or pySpark.
Strong understanding of the machine learning tooling for either Python or Scala (e.g. Pandas, XGBoost, Spark)
Strong understanding of machine learning
Nice to have
Experience with CI/CD infrastructure and a strong supporter of unit / integration testing
fEvhxhNuhl","   
Lead a team of machine learning engineers, data scientist, data engineers
Support our data modeling efforts to ensure we are capturing the data needed to improve our modeling capabilities.
Create features for our feature store
Build machine learning models
Use a variety of techniques including predictive modeling, recommendation engines, revenue management, conversion rate optimization, and site and user experience optimization.  
5+ years' experience developing, maintaining, and testing machine learning models.
A strong technical advocate with a background in Java, Scala, or Python. Preferably familiar with Jupyter notebook environments and Spark or pySpark.
Strong understanding of the machine learning tooling for either Python or Scala (e.g. Pandas, XGBoost, Spark)
Strong understanding of machine learning
Nice to have
Experience with CI/CD infrastructure and a strong supporter of unit / integration testing"
Data Scientist,Data Scientist - Grid Analytics,"Burlingame, CA 94010",Burlingame,CA,"Description:
Sentient Energy is looking for a Data Scientist, a full-time position on the Data Science and Analytics team. This team is responsible for characterizing, classifying and predicting the behavior of its customers’ distribution grids. Our efforts help our customers streamline operations, save energy, and increase safety.

This position offers a unique opportunity to work with emerging technologies in the rapidly developing and highly visibility Smart Grid space within the Green Energy sector. The innovation and creativity with which we develop and implement utility solutions are among the distinctions that make Sentient Energy the leader in Distribution Network sensing and monitoring.

Position Location: Sentient Energy office in Burlingame, CA

Job Opportunity


Using historical distribution grid event and waveform data to develop proofs-of-concept for new customer features
Applying statistical and machine learning techniques to predict grid performance based on captured disturbance and outage data
Developing tools and visualizations to cross-validate feature behavior across tens of thousands of sensors.

Requirements:
Education and Experience


Degree in computer science, applied math, statistics, engineering, or related field.
Bachelor of Science with 4+ years experience or Masters with 2+ years experience

Systems and Software


Strong statistics and machine learning background.
Experience writing programs to support exploratory data analysis (EDA) and visualizations.
Experience working with and creating reports from large data sets.

Nice to Have


Database experience.
Strong programming and scripting skills (Python a plus).
Masters or continuing education in Data Science/Data Engineering.
Experience with Python libraries for signal processing, machine learning and visualization (e.g., scipy, scikit-learn, matplotlib).
Experience working with signals (e.g., digital signal processing, circuit analysis)

Attributes


Excellent written and verbal communications skills.
Persistent, self-motivated, flexible.
Strong sense of ownership and accountability.
Excellent organizational and time-management skills.
Demonstrated self-starter with an ability to work effectively in a matrix organization.
Compliance to Company Policies, Procedures and Core Values.

Compensation
Competitive salary and incentive bonuses, generous options grants, paid time off (vacation, floating holidays), paid holidays, medical, dental, vision and life insurance, 401(k) Plan.","     
Degree in computer science, applied math, statistics, engineering, or related field.
Bachelor of Science with 4+ years experience or Masters with 2+ years experience
"
Data Scientist,Data Scientist - Grid Analytics,"Burlingame, CA 94010",Burlingame,CA,"Description:
Sentient Energy is looking for a Data Scientist, a full-time position on the Data Science and Analytics team. This team is responsible for characterizing, classifying and predicting the behavior of its customers’ distribution grids. Our efforts help our customers streamline operations, save energy, and increase safety.

This position offers a unique opportunity to work with emerging technologies in the rapidly developing and highly visibility Smart Grid space within the Green Energy sector. The innovation and creativity with which we develop and implement utility solutions are among the distinctions that make Sentient Energy the leader in Distribution Network sensing and monitoring.

Position Location: Sentient Energy office in Burlingame, CA

Job Opportunity


Using historical distribution grid event and waveform data to develop proofs-of-concept for new customer features
Applying statistical and machine learning techniques to predict grid performance based on captured disturbance and outage data
Developing tools and visualizations to cross-validate feature behavior across tens of thousands of sensors.

Requirements:
Education and Experience


Degree in computer science, applied math, statistics, engineering, or related field.
Bachelor of Science with 4+ years experience or Masters with 2+ years experience

Systems and Software


Strong statistics and machine learning background.
Experience writing programs to support exploratory data analysis (EDA) and visualizations.
Experience working with and creating reports from large data sets.

Nice to Have


Database experience.
Strong programming and scripting skills (Python a plus).
Masters or continuing education in Data Science/Data Engineering.
Experience with Python libraries for signal processing, machine learning and visualization (e.g., scipy, scikit-learn, matplotlib).
Experience working with signals (e.g., digital signal processing, circuit analysis)

Attributes


Excellent written and verbal communications skills.
Persistent, self-motivated, flexible.
Strong sense of ownership and accountability.
Excellent organizational and time-management skills.
Demonstrated self-starter with an ability to work effectively in a matrix organization.
Compliance to Company Policies, Procedures and Core Values.

Compensation
Competitive salary and incentive bonuses, generous options grants, paid time off (vacation, floating holidays), paid holidays, medical, dental, vision and life insurance, 401(k) Plan.","     
Degree in computer science, applied math, statistics, engineering, or related field.
Bachelor of Science with 4+ years experience or Masters with 2+ years experience
"
Data Scientist,"Data Scientist - Product BURLINGAME, CALIFORNIADATA AND MACHINE LEARNINGFULL-TIME","Burlingame, CA 94010",Burlingame,CA,"Lyra is transforming mental health care by creating a frictionless experience for members, providers, and employers. We connect companies and their employees to mental health providers, therapy, and coaching programs that work, and we believe that data-driven technology is a critical part of solving the thorny, complex challenges of a broken system.

As a data scientist focused on product analytics, you will work closely with Lyra’s product team to understand the journey that our members take when entering care. We will look to you to discover actionable insights about our members’ behavior, informing both tactical and strategic product decisions. Your efforts will support the optimization of our members’ care journey through iteration, experimentation, and validation.
Qualifications:
3+ years of data analysis in an industry setting with preference for individuals who have experience in product analytics and have partnered with engineering and product teams in prior roles.
Demonstrated understanding of statistical applications and methods (experimentation, probabilities, regression). Experience applying hypothesis testing in an industry or research setting. Graduate level Statistics coursework with MS in a quantitative field preferred (statistics, econometrics, biostatistics, quantitative social sciences).
Experience with Python including cleaning and analyzing data as well as using Python to parse JSON structured data, call APIs, create user-defined functions and automate.
Experience developing comprehensive analyses using irregular data from disparate sources. Willing to do whatever it takes to clean messy data prior to deriving insights.
Strong SQL proficiency. Experience writing complex queries with multiple schemas and tables. Preference for candidates who have experience creating views. Experience with Tableau a plus.
Excellent written, communication, and presentation skills.
Ability to deliver time-sensitive ad-hoc analyses requested by leadership.
What we care about beyond technical skills:
You are interested in Agile product development and experimentation, and fascinated by human psychology and behavior
You are interested in partnering with both non-technical and technical stakeholders
You are organized and pay attention to detail
You are a self-starter and a quick study
Your desire to make a difference in people’s health and well-being. We all care deeply about making a difference in people’s lives, and we hope you do too!","
3+ years of data analysis in an industry setting with preference for individuals who have experience in product analytics and have partnered with engineering and product teams in prior roles.
Demonstrated understanding of statistical applications and methods (experimentation, probabilities, regression). Experience applying hypothesis testing in an industry or research setting. Graduate level Statistics coursework with MS in a quantitative field preferred (statistics, econometrics, biostatistics, quantitative social sciences).
Experience with Python including cleaning and analyzing data as well as using Python to parse JSON structured data, call APIs, create user-defined functions and automate.
Experience developing comprehensive analyses using irregular data from disparate sources. Willing to do whatever it takes to clean messy data prior to deriving insights.
Strong SQL proficiency. Experience writing complex queries with multiple schemas and tables. Preference for candidates who have experience creating views. Experience with Tableau a plus.
Excellent written, communication, and presentation skills.
Ability to deliver time-sensitive ad-hoc analyses requested by leadership.     "
Data Scientist,Data Scientist,"Houston, TX",Houston,TX,"[Job Details]

Position Overview:
The Data Scientist is innovative, experienced, and highly trained; passionate about moving our company to the next level of being data-driven and advancing our purpose. The Data Scientist will drive internal data analytics projects serving all areas of the company.

Essential Functions:

Timely completion of data mining, cleansing, and modeling of transactional and financial data from databases (JD Edwards, Oracle, MySQL, SQL) that ties to/matches GL account/financial Statements or operational systems.
Create best-in-class/compelling visualization of data, dashboards, tools and reports that supports the interpretation and merchandising of conclusions that drives key decisions for client management.
Create simulation models for business scenarios using advanced statistical tools.
Research and implement best practices for data analysis and builds appropriate models.
Perform quantitative analysis and develop complex statistical results/reports including developing predictive metrics.
Perform qualitative and quantitative assessments of all aspects of models including theoretical aspects, model design, and implementation. Assessing data quality, integrity and preparing recommendations on how to improve data quality.
Make insightful and relevant recommendations based on findings from data analytics.
Monitor and optimize the performance of ongoing campaigns to ensure maximal campaign success and continuous improvement.
Work cross-functionally with other teams at cPanel to define and prioritize short and long-term campaigns to drive web conversion and lead generation.

Adhere to the policies and procedures of the company.

Exemplify the Core Values of Integrity, Respect, Collaboration, and Follow-through.

Eligibility Requirements:

B.A./B.S. in Mathematics, Computer Science, or related STEM field (6) years of Business Intelligence work-related experience required in lieu of degree.
Proficiency in Python (Portfolio Preferred)
Ability to program in SQL or related language as well as experience in developing in BI Tools (Ex. Tableau) (Portfolio Preferred)
Experience with reporting tools like Microsoft Power BI, SAP Crystal Reports, or Tableau (preferred)

Qualifications

Communication skills: Able to effectively transfer thoughts and express ideas orally or in written form in individual or group situations and in a timely manner; presents oneself clearly and articulately when speaking; checks for understanding
Problem Solving skills: Able to take a logical approach to address problems or opportunities or manage the situation at hand by drawing on one's knowledge and experience
Team Player: Proactively collaborates within marketing and with cross-functional teams in a results-driven, team-oriented environment
Time Management: Able to manage work time in such a manner that ensures the accomplishment of specific objectives; sets priorities, goals, and timetables to achieve maximum productivity all while working in a fast-paced environment
Attention to Detail: Able to accomplish a task with concern for all the areas involved, carefully monitoring the detail and quality of own work
Results Oriented: Has concern for achieving or surpassing results against an internal or external standard or objective
Interpersonal skills: Able to get along with others effectively in a highly collaborative environment
Self-motivating: Must be proactive in staying up-to-date on current trends in both web hosting and marketing, while maintaining a high level of continuous development and self-learning.
Conflict resolution: Able to bring disagreements into the open and attempts to manage them collaboratively while providing and receiving constructive feedback.

In return for all the above, we offer the following:

Competitive Salary
Parental leave
Full Health, Vision, and Dental coverage
Flexible Spending Account
Free on-site lunch
Paid Vacation
Tuition Reimbursement
Casual Working Environment
401K Matching

EEO Statement
At our company, we take great pride in our diverse and talented workforce. We recognize that our continued success as a company depends largely on the collective strengths of our employees.
cPanel provides equal employment opportunities to all employees and applicants without regard to race, color, religious creed, sex, national origin, ancestry, citizenship status, pregnancy, childbirth, physical disability, mental disability, age, military status or status as a Vietnam-era or special disabled veteran, marital status, registered domestic partner or civil union status, gender (including sex stereotyping and gender identity or expression), medical condition (including, but not limited to, cancer related or HIV/AIDS related) or sexual orientation in accordance with applicable federal, state and local law. This policy applies to all terms and conditions of employment, including, but not limited to hiring, placement, termination, layoff, recall, transfer, leaves of absence, compensation, and training. Privacy is taken seriously at cPanel, Inc. Information submitted is kept internally and not shared with third parties.
If this description fits you, apply below. It's relatively easy and painless.","     
B.A./B.S. in Mathematics, Computer Science, or related STEM field (6) years of Business Intelligence work-related experience required in lieu of degree.
Proficiency in Python (Portfolio Preferred)
Ability to program in SQL or related language as well as experience in developing in BI Tools (Ex. Tableau) (Portfolio Preferred)
Experience with reporting tools like Microsoft Power BI, SAP Crystal Reports, or Tableau (preferred)
"
