,CleanUnique,count
0,experience,782
1,database,682
2,sql,482
3,data,448
4,performance,428
5,systems,412
6,server,402
7,databases,390
8,management,390
9,years,374
10,support,354
11,skills,352
12,security,332
13,design,328
14,ability,320
15,degree,316
16,knowledge,316
17,work,314
18,development,294
19,environment,278
20,team,268
21,tuning,264
22,recovery,262
23,related,260
24,oracle,258
25,procedures,252
26,administration,252
27,maintain,248
28,required,246
29,technical,236
30,issues,236
31,provide,234
32,system,230
33,working,214
34,strong,214
35,monitoring,210
36,communication,208
37,including,204
38,production,204
39,tools,204
40,software,202
41,application,200
42,computer,200
43,business,198
44,backup,196
45,requirements,196
46,develop,192
47,ensure,186
48,availability,186
49,maintenance,184
