,SEwords,SEcount
0,software,796
1,development,680
2,computer,628
3,design,626
4,science,598
5,degree,549
6,engineering,499
7,systems,468
8,team,434
9,code,420
10,java,384
11,technical,378
12,programming,377
13,bachelors,371
14,data,369
15,develop,347
16,communication,340
17,applications,334
18,web,299
19,technologies,298
20,understanding,297
21,tools,294
22,test,290
23,python,278
24,testing,276
25,solutions,256
26,javascript,251
27,product,241
28,developing,236
29,languages,225
30,written,222
31,agile,220
32,services,218
33,support,217
34,teams,216
35,management,213
36,andor,207
37,application,205
38,build,205
39,sql,204
40,performance,192
41,practices,192
42,business,190
43,complex,180
44,plus,179
45,architecture,176
46,integration,174
47,one,171
48,building,170
49,algorithms,168
