,CleanUnique,count
0,data,148
1,experience,137
2,statistical,115
3,analysis,113
4,skills,85
5,statistics,83
6,work,82
7,design,81
8,ability,77
9,methods,67
10,knowledge,64
11,years,63
12,research,61
13,development,59
14,related,58
15,required,55
16,management,53
17,projects,52
18,team,51
19,communication,51
20,including,50
21,sas,49
22,programming,48
23,quality,46
24,develop,46
25,review,46
26,ensure,46
27,or,45
28,technical,45
29,project,44
30,results,43
31,written,43
32,clinical,43
33,and,42
34,analyses,41
35,degree,40
36,studies,39
37,excellent,39
38,provide,39
39,phd,39
40,science,38
41,requirements,38
42,reports,38
43,study,38
44,biostatistics,37
45,relevant,36
46,support,36
47,preferred,34
48,plans,34
49,field,33
