,Corpus,Clean,UniqueClean
0," Proficiency in Python, including both data science packages and general software development Proficiency in SQL and familiarity with non-relational databases A technical stack that includes most or all of  Python, Postgres/PostGIS, GIS, Tensorflow, git Experience building a wide variety of predictive models, applying them to different problems, and evaluating and interpreting the results Experience working with a broad range of types of data and the inconsistencies and measurement errors that arise from field and laboratory measurements of physical properties Broad skills in applied statistics At least 3 years of relevant full-time professional work experience as a data scientist The ability to work well with technical experts who arenât software people Excitement about joining a fast-growing early-stage company, comfort with a dynamic work environment, and eagerness to take on a range of responsibilities Enjoyment in getting the details right     Help develop KoBoldâs proprietary software called Machine Prospectorâ¢ Extract a wide variety of geophysical, geochemical, geologic, and geographic data from around the world Curate and standardize the data and integrate it in a well-structured proprietary database Find insights in unstructured data and work with the engineering team to ingest and extract key features from these datasets Build models to predict the locations of mineral ore deposits Create effective visualizations for evaluating model performance and enabling rapid interaction with the underlying data and key features Support the exploration team with various custom geospatial analyses   ",proficiency python data science packages general software development proficiency sql familiarity nonrelational databases technical stack includes python postgrespostgis gis tensorflow git building wide variety predictive models applying different problems evaluating interpreting results broad range types data inconsistencies measurement errors arise laboratory measurements physical properties broad applied statistics least relevant fulltime professional data scientist well technical experts arent software people excitement joining fastgrowing earlystage company comfort dynamic eagerness take range responsibilities enjoyment getting details right help develop kobolds proprietary software called machine prospector extract wide variety geophysical geochemical geologic geographic data around world curate standardize data integrate wellstructured proprietary database find insights unstructured data engineering team ingest extract key features datasets build models predict locations mineral ore deposits create effective visualizations evaluating model performance enabling rapid interaction underlying data key features support exploration team various custom geospatial analyses,proficiency python data science packages general software development sql familiarity nonrelational databases technical stack includes postgrespostgis gis tensorflow git building wide variety predictive models applying different problems evaluating interpreting results broad range types inconsistencies measurement errors arise laboratory measurements physical properties applied statistics least relevant fulltime professional scientist well experts arent people excitement joining fastgrowing earlystage company comfort dynamic eagerness take responsibilities enjoyment getting details right help develop kobolds proprietary called machine prospector extract geophysical geochemical geologic geographic around world curate standardize integrate wellstructured database find insights unstructured engineering team ingest key features datasets build predict locations mineral ore deposits create effective visualizations model performance enabling rapid interaction underlying support exploration various custom geospatial analyses
1,"   Ph. D.  in a quantitative discipline plus 2+ years experience in industry or M. S.  and equivalent practical experience, particularly in agricultural/plant, remote sensing, or biological data.  Experience using Python and developing statistical models in a shared on-cloud database.  Knowledge of R is a plus.  Understanding of how to structure and analyze problems with machine learning, from both a conceptual standpoint, as well as having practical knowledge of libraries such as sklearn, PyTorch, and TensorFlow Experience working with complex structured spatial and time-series data, from exploratory analysis to hierarchical or ML modeling.  Knowledge of Bayesian methods is a plus.  Must be authorized to work in the U. S.    Own the development of predictive analytics that quantify the impact and increase the value of our core microbial product.  Help develop Pivot's technical partnership strategy for creating value from data.  Work with Pivot's data engineering team to translate statistical models from R&D to production.  Communicate the impact of our work to internal and external stakeholders.    ",ph quantitative discipline plus industry practical particularly agriculturalplant remote sensing biological data python developing statistical models shared oncloud database r plus understanding structure analyze problems machine conceptual standpoint well practical libraries sklearn pytorch tensorflow complex structured spatial timeseries data exploratory analysis hierarchical ml modeling bayesian methods plus must authorized u development predictive analytics quantify impact increase value core microbial product help develop pivots technical partnership strategy creating value data pivots data engineering team translate statistical models rd production communicate impact internal external stakeholders,ph quantitative discipline plus industry practical particularly agriculturalplant remote sensing biological data python developing statistical models shared oncloud database r understanding structure analyze problems machine conceptual standpoint well libraries sklearn pytorch tensorflow complex structured spatial timeseries exploratory analysis hierarchical ml modeling bayesian methods must authorized u development predictive analytics quantify impact increase value core microbial product help develop pivots technical partnership strategy creating engineering team translate rd production communicate internal external stakeholders
2,"Ph. D in Physics, Computational Biology or Computer Science or equivalent experience Proficiency in programming in R, Python and Unix / Linux Shell scripting Experience using Linux command-line tools and writing shell scripts Experience handling large complex datasets  sequencing  NGS  data Ability to program against REST APIs is preferred Experience with version control tools  preferably git  Able to work well both independently and cross-functionally Excellent communication skills, both verbal and written Familiarity with cloud services and cloud management systems would be a plus Experience with regulated environments, i. e.  SOX, HIPAA, CLIA, FDA, a plus Approximately 7 plus years data analysis/algorithm, development experience Work experience with a large and complex data sets Expertise and experience with data manipulation and analysis  ETL  Professional level code documentation and version control Familiarity with HL7 and EMRs  Epic preferred  is preferred    Help design and produce analytical data pipelines Implement statistical procedures necessary for data processing and algorithm development Help develop new next generation sequencing tests for transplantation which include but not limited to data-mining and bioinformatic evaluation of markers, new marker signatures.  Prototype, develop, improve, maintain, and apply tools construct pipelines for the management and analysis for large amounts of complex data â¢ Design, build, maintain and monitor current test and data flows Produce well-written, well-documented, and well-behaved software components Evaluates new technologies while keeping up to date with current literature Work as part of the cross-functional team   ",ph physics computational biology computer science proficiency programming r python unix linux shell scripting linux commandline tools writing shell scripts handling complex datasets sequencing ngs data program rest apis version control tools preferably git able well independently crossfunctionally communication verbal written familiarity cloud services cloud management systems would plus regulated environments e sox hipaa clia fda plus approximately plus data analysisalgorithm development complex data sets expertise data manipulation analysis etl professional level code documentation version control familiarity hl emrs epic help design produce analytical data pipelines implement statistical procedures necessary data processing algorithm development help develop next generation sequencing tests transplantation include limited datamining bioinformatic evaluation markers marker signatures prototype develop improve maintain apply tools construct pipelines management analysis amounts complex data design build maintain monitor current test data flows produce wellwritten welldocumented wellbehaved software components evaluates technologies keeping date current literature part crossfunctional team,ph physics computational biology computer science proficiency programming r python unix linux shell scripting commandline tools writing scripts handling complex datasets sequencing ngs data program rest apis version control preferably git able well independently crossfunctionally communication verbal written familiarity cloud services management systems would plus regulated environments e sox hipaa clia fda approximately analysisalgorithm development sets expertise manipulation analysis etl professional level code documentation hl emrs epic help design produce analytical pipelines implement statistical procedures necessary processing algorithm develop next generation tests transplantation include limited datamining bioinformatic evaluation markers marker signatures prototype improve maintain apply construct amounts build monitor current test flows wellwritten welldocumented wellbehaved software components evaluates technologies keeping date literature part crossfunctional team
3,"Qualifications  1 â 3 years experience, Bachelorâs Degree.      ",qualifications bachelors degree,qualifications bachelors degree
4,"Qualifications  7 â 10  3 years min relevant experience in the role , Bachelorâs Degree.      ",qualifications min relevant role bachelors degree,qualifications min relevant role bachelors degree
5,"    Lead a team of machine learning engineers, data scientist, data engineers Support our data modeling efforts to ensure we are capturing the data needed to improve our modeling capabilities.  Create features for our feature store Build machine learning models Use a variety of techniques including predictive modeling, recommendation engines, revenue management, conversion rate optimization, and site and user experience optimization.    5+ years' experience developing, maintaining, and testing machine learning models.  A strong technical advocate with a background in Java, Scala, or Python.  Preferably familiar with Jupyter notebook environments and Spark or pySpark.  Strong understanding of the machine learning tooling for either Python or Scala  e. g.  Pandas, XGBoost, Spark  Strong understanding of machine learning Nice to have Experience with CI/CD infrastructure and a strong supporter of unit / integration testing",lead team machine engineers data scientist data engineers support data modeling efforts capturing data needed improve modeling capabilities create features feature store build machine models use variety techniques predictive modeling recommendation engines revenue management conversion rate optimization site user optimization developing maintaining testing machine models technical advocate background java scala python preferably familiar jupyter notebook environments spark pyspark understanding machine tooling either python scala e g pandas xgboost spark understanding machine nice cicd infrastructure supporter unit integration testing,lead team machine engineers data scientist support modeling efforts capturing needed improve capabilities create features feature store build models use variety techniques predictive recommendation engines revenue management conversion rate optimization site user developing maintaining testing technical advocate background java scala python preferably familiar jupyter notebook environments spark pyspark understanding tooling either e g pandas xgboost nice cicd infrastructure supporter unit integration
6,"      Degree in computer science, applied math, statistics, engineering, or related field.  Bachelor of Science with 4+ years experience or Masters with 2+ years experience ",degree computer science applied math statistics engineering bachelor science masters,degree computer science applied math statistics engineering bachelor masters
7,"      Degree in computer science, applied math, statistics, engineering, or related field.  Bachelor of Science with 4+ years experience or Masters with 2+ years experience ",degree computer science applied math statistics engineering bachelor science masters,degree computer science applied math statistics engineering bachelor masters
8," 3+ years of data analysis in an industry setting with preference for individuals who have experience in product analytics and have partnered with engineering and product teams in prior roles.  Demonstrated understanding of statistical applications and methods  experimentation, probabilities, regression .  Experience applying hypothesis testing in an industry or research setting.  Graduate level Statistics coursework with MS in a quantitative field preferred  statistics, econometrics, biostatistics, quantitative social sciences .  Experience with Python including cleaning and analyzing data as well as using Python to parse JSON structured data, call APIs, create user-defined functions and automate.  Experience developing comprehensive analyses using irregular data from disparate sources.  Willing to do whatever it takes to clean messy data prior to deriving insights.  Strong SQL proficiency.  Experience writing complex queries with multiple schemas and tables.  Preference for candidates who have experience creating views.  Experience with Tableau a plus.  Excellent written, communication, and presentation skills.  Ability to deliver time-sensitive ad-hoc analyses requested by leadership.      ",data analysis industry setting preference individuals product analytics partnered engineering product teams prior roles demonstrated understanding statistical applications methods experimentation probabilities regression applying hypothesis testing industry research setting graduate level statistics coursework ms quantitative statistics econometrics biostatistics quantitative social sciences python cleaning analyzing data well python parse json structured data call apis create userdefined functions automate developing comprehensive analyses irregular data disparate sources willing whatever takes clean messy data prior deriving insights sql proficiency writing complex queries multiple schemas tables preference candidates creating views tableau plus written communication presentation deliver timesensitive adhoc analyses requested leadership,data analysis industry setting preference individuals product analytics partnered engineering teams prior roles demonstrated understanding statistical applications methods experimentation probabilities regression applying hypothesis testing research graduate level statistics coursework ms quantitative econometrics biostatistics social sciences python cleaning analyzing well parse json structured call apis create userdefined functions automate developing comprehensive analyses irregular disparate sources willing whatever takes clean messy deriving insights sql proficiency writing complex queries multiple schemas tables candidates creating views tableau plus written communication presentation deliver timesensitive adhoc requested leadership
9,"      B. A. /B. S.  in Mathematics, Computer Science, or related STEM field  6  years of Business Intelligence work-related experience required in lieu of degree.  Proficiency in Python  Portfolio Preferred  Ability to program in SQL or related language as well as experience in developing in BI Tools  Ex.  Tableau   Portfolio Preferred  Experience with reporting tools like Microsoft Power BI, SAP Crystal Reports, or Tableau  preferred  ",b b mathematics computer science stem business intelligence workrelated lieu degree proficiency python portfolio program sql language well developing bi tools ex tableau portfolio reporting tools like microsoft power bi sap crystal reports tableau,b mathematics computer science stem business intelligence workrelated lieu degree proficiency python portfolio program sql language well developing bi tools ex tableau reporting like microsoft power sap crystal reports
