,Corpus,Clean,UniqueClean
0," Bachelor's Degree or equivalent experience Outstanding academic performance  3. 0 or higher cumulative GPA  Preferred majors are Engineering, Computer Science/Engineering, Information Systems/Decision Sciences, Mathematics, Sciences, or other STEM related majors.     Skills Analyze test requirements, design/write test cases, and execute tests following standards and best practices.  Typical tests may include functional testing, regression testing, system testing, user acceptance testing, performance testing, architecture testing, security testing Test automation.  Create appropriate test data to effectively execute required test cases.  Follow, update, and maintain testing standards and procedures.  Fully document issues in accordance with the issue management system and procedures.  Work with the team to resolve any issues that arise in the testing process.  Other  Proactively seek to enhance knowledge and experience, drawing on senior colleagues as well as self-study.  When needed, seek guidance and direction from more seasoned Software Test Engineers, Software Engineers, Software Architects, or Leader.  Perform other work-related duties as assigned by Leader.     At least 3 year experience in a Quality Assurance or software delivery environment or equivalent demonstration of expertise Basic knowledge of the fundamental concepts of data communications and data processing hardware and software.  Knowledge of at least one test tool such as MS, HP  e. g.  Quality Center.  QTP , SAP TAO, IBM Rational Functional Tester, Open source  SoapUI, Selenium etc.   Knowledge of various technologies such as AngularJS, JavaScript, HTML/CSS, JAVA, . NET C , SQL, etc.  Other  Good oral and written communication and interpersonal skills Desire to work in an information systems environment and develop a career in Quality Assurance and Software delivery Ability to work independently and in a team-oriented, collaborative environment Ability to work creatively and analytically in a problem-solving environment Ability to accept and act upon criticism in a positive manner Ability to self-direct, effectively prioritize tasks, multi-task, and meet deadlines Ability to learn and adapt to new technologies, methods, and processes ",bachelors degree outstanding academic performance higher cumulative gpa majors engineering computer scienceengineering information systemsdecision sciences mathematics sciences stem majors analyze test designwrite test cases execute tests following standards best practices typical tests may include functional testing regression testing testing user acceptance testing performance testing architecture testing security testing test automation create appropriate test data effectively execute test cases follow update maintain testing standards procedures fully document issues accordance issue management procedures team resolve issues arise testing process proactively seek enhance drawing senior colleagues well selfstudy needed seek guidance direction seasoned software test engineers software engineers software architects leader perform workrelated duties assigned leader least year assurance software delivery demonstration expertise basic fundamental concepts data communications data processing hardware software least one test tool ms hp e g center qtp sap tao ibm rational functional tester open source soapui selenium various technologies angularjs javascript htmlcss java net c sql good oral written communication interpersonal desire information systems develop career assurance software delivery independently teamoriented collaborative creatively analytically problemsolving accept act upon criticism positive manner selfdirect effectively prioritize tasks multitask meet deadlines learn adapt technologies methods processes,bachelors degree outstanding academic performance higher cumulative gpa majors engineering computer scienceengineering information systemsdecision sciences mathematics stem analyze test designwrite cases execute tests following standards best practices typical may include functional testing regression user acceptance architecture security automation create appropriate data effectively follow update maintain procedures fully document issues accordance issue management team resolve arise process proactively seek enhance drawing senior colleagues well selfstudy needed guidance direction seasoned software engineers architects leader perform workrelated duties assigned least year assurance delivery demonstration expertise basic fundamental concepts communications processing hardware one tool ms hp e g center qtp sap tao ibm rational tester open source soapui selenium various technologies angularjs javascript htmlcss java net c sql good oral written communication interpersonal desire systems develop career independently teamoriented collaborative creatively analytically problemsolving accept act upon criticism positive manner selfdirect prioritize tasks multitask meet deadlines learn adapt methods processes
1,"     3+ years of experience in software development, product development preferred.  Bachelor's degree in Computer Science, Engineering or related field, or equivalent training, fellowship, or work experience.  Experience building enterprise grade applications Strong Java development experience Experience implementing REST APIs Experience working with SQL and relational data Experience with Unit testing or Test driven development Proficiency using Git Strong communication skills Willing to work in a collaborative environment Ability to adapt to changing technology ",software development product development bachelors degree computer science engineering training fellowship building enterprise grade applications java development implementing rest apis sql relational data unit testing test driven development proficiency git communication willing collaborative adapt changing technology,software development product bachelors degree computer science engineering training fellowship building enterprise grade applications java implementing rest apis sql relational data unit testing test driven proficiency git communication willing collaborative adapt changing technology
2,"   Design, develop, deliver, and maintain front-end and back-end applications  API services, microservices, data platform components, external or 3rd party services using Vue. js, Go, gRPC, SQL, etc.  Work with our Data Science team to establish and manage a common framework for measurement Ensure websites' performance, quality, and responsiveness Partner and communicate effectively with stakeholders and multi-functional teams   ",design develop deliver maintain frontend backend applications api services microservices data platform components external rd party services vue js go grpc sql data science team establish manage common framework measurement websites performance responsiveness partner communicate effectively stakeholders multifunctional teams,design develop deliver maintain frontend backend applications api services microservices data platform components external rd party vue js go grpc sql science team establish manage common framework measurement websites performance responsiveness partner communicate effectively stakeholders multifunctional teams
3,"     B. S.  in Computer Science  M. S or PhD is a plus  or related discipline 3+ years of industry experience with a proven track record of ownership and delivery Experience developed scalable low-latency, distributed data processing solutions Experience in multi-threaded programming Experience in running large scalable distributed services following micro service architecture Hands-on object-oriented programming experience  e. g. , Java, Scala  Experience with AWS or other cloud services Excellent verbal and written communication ",b computer science phd plus discipline industry proven track record ownership delivery developed scalable lowlatency distributed data processing solutions multithreaded programming running scalable distributed services following micro service architecture handson objectoriented programming e g java scala aws cloud services verbal written communication,b computer science phd plus discipline industry proven track record ownership delivery developed scalable lowlatency distributed data processing solutions multithreaded programming running services following micro service architecture handson objectoriented e g java scala aws cloud verbal written communication
4," Experience with distributed systems and data processing technologies.  Strong mathematical and/or computational background.  Knowledge of open source/industry standard data processing, storage, and serving technologies.  Excellent troubleshooting skills     ",distributed systems data processing technologies mathematical andor computational background open sourceindustry standard data processing storage serving technologies troubleshooting,distributed systems data processing technologies mathematical andor computational background open sourceindustry standard storage serving troubleshooting
5," 3+ yearsâ of experience in T-SQL, SQL, ETL performance tuning.  3+ yearsâ of experience in Microsoft SQL Server 2008R2 or newer.  3+ yearsâ of experience with SSIS or equivalent ETL tool.    3+ yearsâ of experience in T-SQL, SQL, ETL performance tuning.  3+ yearsâ of experience in Microsoft SQL Server 2008R2 or newer.  3+ yearsâ of experience with SSIS or equivalent ETL tool.   ",tsql sql etl performance tuning microsoft sql server r newer ssis etl tool tsql sql etl performance tuning microsoft sql server r newer ssis etl tool,tsql sql etl performance tuning microsoft server r newer ssis tool
6,"Bachelor's degree in Computer Science, Engineering or technical degree Minimum of 2 years' experience using . NET Framework and C  Multi-threading Experience with object-oriented development A passion for writing great software Exceptional troubleshooting abilities  Bachelor's degree in Computer Science, Engineering or technical degree Minimum of 2 years' experience using . NET Framework and C  Multi-threading Experience with object-oriented development A passion for writing great software Exceptional troubleshooting abilities    ",bachelors degree computer science engineering technical degree minimum net framework c multithreading objectoriented development passion writing great software exceptional troubleshooting abilities bachelors degree computer science engineering technical degree minimum net framework c multithreading objectoriented development passion writing great software exceptional troubleshooting abilities,bachelors degree computer science engineering technical minimum net framework c multithreading objectoriented development passion writing great software exceptional troubleshooting abilities
7,"    BS Degree in Computer Science or its equivalent in education and experience 2-3 years of software development experience in Java 2-3 years of experience using no-sql and relational datastores  e. g.  Cassandra, Elasticsearch, PostgreSQL  2-3 years of experience using Linux and the bash command line 2-3 years of experience with performance tuning techniques in Java.  Hands on experience within the AWS ecosystem  e. g.  EC2, Lambda  a plus Hands on experience in development technologies  e. g.  Spring, JDBC, Maven  Hands on experience with data processing and message frameworks  eg Apache Storm, Kafka  Hands on experience of version control systems such as Git, Bitbucket Experience with automated testing frameworks.    BS Degree in Computer Science or its equivalent in education and experience 2-3 years of software development experience in Java 2-3 years of experience using no-sql and relational datastores  e. g.  Cassandra, Elasticsearch, PostgreSQL  2-3 years of experience using Linux and the bash command line 2-3 years of experience with performance tuning techniques in Java.  Hands on experience within the AWS ecosystem  e. g.  EC2, Lambda  a plus Hands on experience in development technologies  e. g.  Spring, JDBC, Maven  Hands on experience with data processing and message frameworks  eg Apache Storm, Kafka  Hands on experience of version control systems such as Git, Bitbucket Experience with automated testing frameworks.  ",bs degree computer science education software development java nosql relational datastores e g cassandra elasticsearch postgresql linux bash command line performance tuning techniques java hands within aws ecosystem e g ec lambda plus hands development technologies e g spring jdbc maven hands data processing message frameworks eg apache storm kafka hands version control systems git bitbucket automated testing frameworks bs degree computer science education software development java nosql relational datastores e g cassandra elasticsearch postgresql linux bash command line performance tuning techniques java hands within aws ecosystem e g ec lambda plus hands development technologies e g spring jdbc maven hands data processing message frameworks eg apache storm kafka hands version control systems git bitbucket automated testing frameworks,bs degree computer science education software development java nosql relational datastores e g cassandra elasticsearch postgresql linux bash command line performance tuning techniques hands within aws ecosystem ec lambda plus technologies spring jdbc maven data processing message frameworks eg apache storm kafka version control systems git bitbucket automated testing
8,"  Experience in software development using C, C++, or Java Knowledge of Object-oriented design Familiarity with developing in Linux environments Experience with high-level or scripting languages  e. g. , Python, Perl, Linux shell scripting  U. S.  Citizenship status is required as this position will require the ability to access US only data systems.  U. S.  Citizenship status is required as this position will need an active U. S.  Security Clearance within 1 year of start date.  Except in rare circumstances, only U. S.  citizens are eligible for a Security Clearance.   Must have a MS / MA with a major in Computer Science, Computer Engineering, Electrical Engineering, Math, or other related field by Summer 2020 or have graduated within 18 months prior to start date.  ",software development c c java objectoriented design familiarity developing linux environments highlevel scripting languages e g python perl linux shell scripting u citizenship status position require access us data systems u citizenship status position need active u security clearance within year start date except rare circumstances u citizens eligible security clearance must ms major computer science computer engineering electrical engineering math summer graduated within months prior start date,software development c java objectoriented design familiarity developing linux environments highlevel scripting languages e g python perl shell u citizenship status position require access us data systems need active security clearance within year start date except rare circumstances citizens eligible must ms major computer science engineering electrical math summer graduated months prior
9," Engineering Degree in one of the fields stated below and Software Development experience Prior software coding experience though school projects, internships, or outside activities U. S.  Citizenship status is required as this position will need a U. S.  Security Clearance within 1 year of start date.  U. S.  Citizenship status is required as this position will require the ability to access US only data systems.  Except in rare circumstances, only U. S.  Citizens are eligible for a Security Clearance.   Must have a BS / BA with a major in Electrical Engineering, Computer Engineering, Computer Science, Software Engineering or related field by Summer 2020 or have graduated within 18 months prior to start date.  ",engineering degree one fields stated software development prior software coding though school projects internships outside activities u citizenship status position need u security clearance within year start date u citizenship status position require access us data systems except rare circumstances u citizens eligible security clearance must bs ba major electrical engineering computer engineering computer science software engineering summer graduated within months prior start date,engineering degree one fields stated software development prior coding though school projects internships outside activities u citizenship status position need security clearance within year start date require access us data systems except rare circumstances citizens eligible must bs ba major electrical computer science summer graduated months
10,"  Software development experience  i. e.  internship, co-op, or other work or academic project experience  Experience with C, C++, JAVA or Python Must be able to obtain an interim Secret security clearance within 1 year of start date.  This position requires the eligibility to obtain a security clearance.  Except in rare circumstances, only U. S.  citizens are eligible for a security clearance.  U. S.  Citizenship status is required as this position will need a U. S.  Security Clearance within 1 year of start date.  U. S.  Citizenship status is required as this position will require the ability to access US only data systems.    ",software development e internship coop academic project c c java python must able obtain interim secret security clearance within year start date position requires eligibility obtain security clearance except rare circumstances u citizens eligible security clearance u citizenship status position need u security clearance within year start date u citizenship status position require access us data systems,software development e internship coop academic project c java python must able obtain interim secret security clearance within year start date position requires eligibility except rare circumstances u citizens eligible citizenship status need require access us data systems
11," Bachelor's Degree in Engineering, Computer Science, or a related disciplineSpecific experience using programming languages and tools such as JAVA/JEE, SOAP, WSDL, WADL, and Oracle RDBMSExperience with User Interface development, knowledge of databases and structures, and experience working with XHTML, HTML, XML, XSLT, Windows, and UNIX and Linux operating systemsMust have a solid understanding of sound software development principles and practicesMust be able to plan and prioritize personal tasking and be able to communicate effectively verbally and in writingMust be an independent thinker, capable of performing high quality work, both independently and with a team, in a fast-moving environment  Bachelor's Degree in Engineering, Computer Science, or a related disciplineSpecific experience using programming languages and tools such as JAVA/JEE, SOAP, WSDL, WADL, and Oracle RDBMSExperience with User Interface development, knowledge of databases and structures, and experience working with XHTML, HTML, XML, XSLT, Windows, and UNIX and Linux operating systemsMust have a solid understanding of sound software development principles and practicesMust be able to plan and prioritize personal tasking and be able to communicate effectively verbally and in writingMust be an independent thinker, capable of performing high quality work, both independently and with a team, in a fast-moving environment ",bachelors degree engineering computer science disciplinespecific programming languages tools javajee soap wsdl wadl oracle rdbmsexperience user interface development databases structures xhtml html xml xslt windows unix linux operating systemsmust solid understanding sound software development principles practicesmust able plan prioritize personal tasking able communicate effectively verbally writingmust independent thinker capable performing independently team fastmoving bachelors degree engineering computer science disciplinespecific programming languages tools javajee soap wsdl wadl oracle rdbmsexperience user interface development databases structures xhtml html xml xslt windows unix linux operating systemsmust solid understanding sound software development principles practicesmust able plan prioritize personal tasking able communicate effectively verbally writingmust independent thinker capable performing independently team fastmoving,bachelors degree engineering computer science disciplinespecific programming languages tools javajee soap wsdl wadl oracle rdbmsexperience user interface development databases structures xhtml html xml xslt windows unix linux operating systemsmust solid understanding sound software principles practicesmust able plan prioritize personal tasking communicate effectively verbally writingmust independent thinker capable performing independently team fastmoving
12," 2+ years of experience in web application development  Ruby on Rails, Django, MVC, etc  Proficiency in at least one object-oriented or functional programming language  Ruby, Elixir, Go preferred  Extensive experience testing, debugging, and monitoring user applications Experience with frontend Javascript frameworks  Vue, Ember, etc  Experience with relational databases and SQL BS or BA in math, engineering, computer science, or equivalent experience    ",web application development ruby rails django mvc proficiency least one objectoriented functional programming language ruby elixir go extensive testing debugging monitoring user applications frontend javascript frameworks vue ember relational databases sql bs ba math engineering computer science,web application development ruby rails django mvc proficiency least one objectoriented functional programming language elixir go extensive testing debugging monitoring user applications frontend javascript frameworks vue ember relational databases sql bs ba math engineering computer science
13," 3-8 years of professional software development experience.  Agile software development team experience preferred BS or MS in Computer Science, Engineering, or equivalent technical degree Experience in all stages of the software development lifecycle Experience with multiple programming languages such as Java, C , Python, Ruby, Javascript Experience as a software engineer on several agile software development team release lifecycles Experience working with Continuous Integration and DevOps pipelines Excellent written and verbal communication skills   Collaborate with business teams, other developers, testers, and operations teams to define, implement, and deploy high-quality software applications in an agile environment Use agile techniques such as Test Driven Development and Continuous Integration when building application code Mentor younger developers in test-driven development, refactoring, and other agile development techniques Assist with the implementation, configuration, and deployment of software development tools required by teams to increase agility and productivity Participate in Thought Leadership activities by writing blogs and delivering internal knowledge sharing sessions Assist Coveros management in identifying potential consulting opportunities with new and current customers   ",professional software development agile software development team bs ms computer science engineering technical degree stages software development lifecycle multiple programming languages java c python ruby javascript software engineer several agile software development team release lifecycles continuous integration devops pipelines written verbal communication collaborate business teams developers testers operations teams define implement deploy highquality software applications agile use agile techniques test driven development continuous integration building application code mentor younger developers testdriven development refactoring agile development techniques assist implementation configuration deployment software development tools teams increase agility productivity participate thought leadership activities writing blogs delivering internal sharing sessions assist coveros management identifying potential consulting opportunities current customers,professional software development agile team bs ms computer science engineering technical degree stages lifecycle multiple programming languages java c python ruby javascript engineer several release lifecycles continuous integration devops pipelines written verbal communication collaborate business teams developers testers operations define implement deploy highquality applications use techniques test driven building application code mentor younger testdriven refactoring assist implementation configuration deployment tools increase agility productivity participate thought leadership activities writing blogs delivering internal sharing sessions coveros management identifying potential consulting opportunities current customers
14," 1-2 years of professional software development experience.  Agile software development team experience preferred BS in Computer Science, Software Engineering, or equivalent technical degree Familiarity with agile software development principles and/or frameworks such as eXtreme Programming  XP  Professional experience with at least one modern programming language such as Java, C , Python, Ruby, or Javascript Familiarity with Continuous Integration and DevOps pipelines Excellent written and verbal communication skills   Collaborate with business teams, other developers, testers, and operations teams to define, implement, and deploy high-quality software applications in an agile environment Assist in configuring software development tools required by teams to increase agility and productivity   ",professional software development agile software development team bs computer science software engineering technical degree familiarity agile software development principles andor frameworks extreme programming xp professional least one modern programming language java c python ruby javascript familiarity continuous integration devops pipelines written verbal communication collaborate business teams developers testers operations teams define implement deploy highquality software applications agile assist configuring software development tools teams increase agility productivity,professional software development agile team bs computer science engineering technical degree familiarity principles andor frameworks extreme programming xp least one modern language java c python ruby javascript continuous integration devops pipelines written verbal communication collaborate business teams developers testers operations define implement deploy highquality applications assist configuring tools increase agility productivity
15,"BS in Computer Engineering, Electrical Engineering, or Computer Science with relevant course work. Experience throughout the entire engineering life-cycle, such as system definition, design, build, test and deployment. Experience with agile development, configuration management and continuous integration processes and methodologies. Prior leadership experience such as a team lead or manager role with program/project management experience. Experience with complex electronics and embedded systems, such as FPGA and hardware development. Experience preparing system architectures and appropriate UML diagrams. Strong Xilinx FPGA design experience. Experience with Arm and PowerPC BSP creation. Minimum of 4-5 years of C/C++ and Python development experience.  Ability to lead and work in all aspects of the cyber architecture, systems engineering and operations support efforts associated with the development, integration, testing and demonstration of a system solution which aligns with all security and performance requirements. Strong mentoring skills and experience leading groups. Strong technical communication skills  experience communicating technical designs to non-technical customers and communicating customer desires to technical team . Experience with industry standard agile development tools, such as Jira and Confluence. Understanding of networking standards and network security. Demonstrated understanding of agile development within both a scrum team and waterfall development contract environment. Demonstrate organizational skills when handling multiple tasks at a time. Comfortable working with internal and external stakeholders to resolve issues. Ability to adapt well to change, as the working environment has evolving requirements and dynamic schedules.    ",bs computer engineering electrical engineering computer science relevant course throughout entire engineering lifecycle definition design build test deployment agile development configuration management continuous integration processes methodologies prior leadership team lead manager role programproject management complex electronics embedded systems fpga hardware development preparing architectures appropriate uml diagrams xilinx fpga design arm powerpc bsp creation minimum cc python development lead aspects cyber architecture systems engineering operations support efforts associated development integration testing demonstration solution aligns security performance mentoring leading groups technical communication communicating technical designs nontechnical customers communicating customer desires technical team industry standard agile development tools jira confluence understanding networking standards network security demonstrated understanding agile development within scrum team waterfall development contract demonstrate organizational handling multiple tasks time comfortable internal external stakeholders resolve issues adapt well change evolving dynamic schedules,bs computer engineering electrical science relevant course throughout entire lifecycle definition design build test deployment agile development configuration management continuous integration processes methodologies prior leadership team lead manager role programproject complex electronics embedded systems fpga hardware preparing architectures appropriate uml diagrams xilinx arm powerpc bsp creation minimum cc python aspects cyber architecture operations support efforts associated testing demonstration solution aligns security performance mentoring leading groups technical communication communicating designs nontechnical customers customer desires industry standard tools jira confluence understanding networking standards network demonstrated within scrum waterfall contract demonstrate organizational handling multiple tasks time comfortable internal external stakeholders resolve issues adapt well change evolving dynamic schedules
16," Bachelor Degree At least 2 years of Software Development experience    Full Stack Engineer capable of designing solutions, writing code, testing code, automating test and deployment Overall delivery of software components working in collaboration with product and design teams Collaborating with other technology teams to ensure integrated end-to-end design and integration.  Enforcing existing process guidelines; drives new processes, guidelines, team rules, and best practices.  Mentor and raise the game for teammates in all areas Full participation in the Agile Scrum process including speaking up and giving your opinion! Ready, willing, and able to pick up new technologies and pitch in on story tasks  design, code, test, CI/CD, deploy, etc  Able to research and learn new methodologies and technologies and bring knowledge to the team Youâre a tinkerer and love technology - Myo, Amazon Echo, Arduino and IoT, AR/VR, Creative Coding; you like hackathons and innovation sprints!   ",bachelor degree least software development full stack engineer capable designing solutions writing code testing code automating test deployment overall delivery software components collaboration product design teams collaborating technology teams integrated endtoend design integration enforcing existing process guidelines drives processes guidelines team rules best practices mentor raise game teammates areas full participation agile scrum process speaking giving opinion ready willing able pick technologies pitch story tasks design code test cicd deploy able research learn methodologies technologies bring team youre tinkerer love technology myo amazon echo arduino iot arvr creative coding like hackathons innovation sprints,bachelor degree least software development full stack engineer capable designing solutions writing code testing automating test deployment overall delivery components collaboration product design teams collaborating technology integrated endtoend integration enforcing existing process guidelines drives processes team rules best practices mentor raise game teammates areas participation agile scrum speaking giving opinion ready willing able pick technologies pitch story tasks cicd deploy research learn methodologies bring youre tinkerer love myo amazon echo arduino iot arvr creative coding like hackathons innovation sprints
17," About 2+ years of software engineering experience Proficient in at least one modern programming language and relational databases We work in Agile environment, so any Agile experience or CI/CD concepts is helpful Knowledge of Unix/Linux, SQL, RESTful API, and various other technologies is helpful   Design and develop code on an agile team of Engineers, a Scrum Master, a Product Owner, and Experience Designer Collaborate with team members to promote productivity and effectiveness; share business and technical insights with the broader engineering and product organization Develop knowledge and domain expertise.  Take ownership of what you and the team builds and coordinate your efforts across the teams to ensure proper completion  ",software engineering proficient least one modern programming language relational databases agile agile cicd concepts helpful unixlinux sql restful api various technologies helpful design develop code agile team engineers scrum master product owner designer collaborate team members promote productivity effectiveness share business technical insights broader engineering product organization develop domain expertise take ownership team builds coordinate efforts across teams proper completion,software engineering proficient least one modern programming language relational databases agile cicd concepts helpful unixlinux sql restful api various technologies design develop code team engineers scrum master product owner designer collaborate members promote productivity effectiveness share business technical insights broader organization domain expertise take ownership builds coordinate efforts across teams proper completion
