,Corpus,Clean,UniqueClean
0,"  Work with the Audit Risk Analytics team to work with and lead teams in building quantitative models; Scope includes data preparation, data profiling, building models, writing documentation and white papers, performing quality control procedures, visualization and presenting to the business audience the practical implications of the results Build predictive and other analytical models using statistical and data mining methods in the areas of audit risk, staffing needs for engagements, monitoring and other areas; Principal investigator on other analytics projects Develop innovative and customized analytics approaches to business problems Translate the results of the quantitative models into practical business implications Develop and propose new analytics ideas about our markets, services, competitors and regulatory environment; Recommendations should advance thinking on critical issue and ultimately impact firm strategy Communicate progress, barriers, risks and benefits to internal clients, to achieve project success Gain a broad understanding of business fundamentals and of the organization Conduct high quality analytics work with the Audit Risk Analytics team; This will include developing leading practices for all phases of the analytics development cycle such as conceptualizing, determining data needs, overseeing or performing quality control procedures and presenting results Establish leading practices for key analytical processes, including model development, visualization and implementation, quality control procedures and documentation to enhance the performance of the organization Oversee other analysts on the team and serve as a mentor or counselor for other team members   ",audit risk analytics team lead teams building quantitative models scope includes data preparation data profiling building models writing documentation white papers performing control procedures visualization presenting business audience practical implications results build predictive analytical models statistical data mining methods areas audit risk staffing needs engagements monitoring areas principal investigator analytics projects develop innovative customized analytics approaches business problems translate results quantitative models practical business implications develop propose analytics ideas markets services competitors regulatory recommendations advance thinking critical issue ultimately impact firm strategy communicate progress barriers risks benefits internal clients achieve project success gain broad understanding business fundamentals organization conduct analytics audit risk analytics team include developing leading practices phases analytics development cycle conceptualizing determining data needs overseeing performing control procedures presenting results establish leading practices key analytical processes model development visualization implementation control procedures documentation enhance performance organization oversee analysts team serve mentor counselor team members,audit risk analytics team lead teams building quantitative models scope includes data preparation profiling writing documentation white papers performing control procedures visualization presenting business audience practical implications results build predictive analytical statistical mining methods areas staffing needs engagements monitoring principal investigator projects develop innovative customized approaches problems translate propose ideas markets services competitors regulatory recommendations advance thinking critical issue ultimately impact firm strategy communicate progress barriers risks benefits internal clients achieve project success gain broad understanding fundamentals organization conduct include developing leading practices phases development cycle conceptualizing determining overseeing establish key processes model implementation enhance performance oversee analysts serve mentor counselor members
1,"    Active TS/SSBI  SCI preferred  Bachelor's degree- Mathematics, Engineering, Operations Research or Statistics 5+ years of relevant experience supporting DoD/IC Background in Statistics, engineering and/or operations research Minimum one  5  year of experience using modeling and simulation to solve problems Minimum one  5  year of experience with statistical methods applied to large output data files ",active tsssbi sci bachelors degree mathematics engineering operations research statistics relevant supporting dodic background statistics engineering andor operations research minimum one year modeling simulation solve problems minimum one year statistical methods applied output data files,active tsssbi sci bachelors degree mathematics engineering operations research statistics relevant supporting dodic background andor minimum one year modeling simulation solve problems statistical methods applied output data files
2," A.  Degree  that included 15 semester hours in statistics  or in mathematics and statistics, provided at least 6 semester hours were in statistics , and 9 additional semester hours in one or more of the following  physical or biological sciences, medicine, education, or engineering; or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health sociology, political science, public administration, psychology, etc.  Credit toward meeting statistical course requirements should be given for courses in which 50 percent of the course content appears to be statistical methods, e. g. , courses that included studies in research methods in psychology or economics such as tests and measurements or business cycles, or courses in methods of processing mass statistical data such as tabulating methods or electronic data processing.    Plan, schedule, carry out, monitor, and report status of activities for survey research projects.  Oversee and direct the work of individuals and teams.  Design, conduct, and report finding and recommendations of methodological research associated with instrument development, measurement error, nonresponse reduction and respondent burden in establishment surveys.  Work collaboratively with clients, co-workers, peers, and colleagues to develop products to meet customer needs.  Communicate with a variety of customers, management, stakeholders, and internal workgroups.    30% or more disabled veteran Person with Disability CTAP ICTAP  U. S.  citizen.  Suitable for Federal employment.  Registered for Selective Service if applicable.   www. sss. gov  You may be required to complete a financial disclosure  OGE-450 .  ",degree included semester hours statistics mathematics statistics provided least semester hours statistics additional semester hours one following physical biological sciences medicine education engineering social sciences demography history economics social welfare geography international relations social cultural anthropology health sociology political science public administration psychology credit toward meeting statistical course given courses percent course content appears statistical methods e g courses included research methods psychology economics tests measurements business cycles courses methods processing mass statistical data tabulating methods electronic data processing plan schedule carry monitor report status activities survey research projects oversee direct individuals teams design conduct report finding recommendations methodological research associated instrument development measurement error nonresponse reduction respondent burden establishment surveys collaboratively clients coworkers peers colleagues develop products meet customer needs communicate variety customers management stakeholders internal workgroups disabled veteran person disability ctap ictap u citizen suitable federal employment registered selective service applicable www sss gov may complete financial disclosure oge,degree included semester hours statistics mathematics provided least additional one following physical biological sciences medicine education engineering social demography history economics welfare geography international relations cultural anthropology health sociology political science public administration psychology credit toward meeting statistical course given courses percent content appears methods e g research tests measurements business cycles processing mass data tabulating electronic plan schedule carry monitor report status activities survey projects oversee direct individuals teams design conduct finding recommendations methodological associated instrument development measurement error nonresponse reduction respondent burden establishment surveys collaboratively clients coworkers peers colleagues develop products meet customer needs communicate variety customers management stakeholders internal workgroups disabled veteran person disability ctap ictap u citizen suitable federal employment registered selective service applicable www sss gov may complete financial disclosure oge
3,"Advanced degree  M. S.  or Ph. D.   in a biological, biomedical, or computational science field.  Minimum of four  4  yearsâ experience in research, science management, data science, bioinformatics, or other biocomputational fields.  Experience in R, Python or other data science tools.  Excellent critical thinking and analytical skills, including exceptional attention to detail.  Experience with statistical methods.  Excellent oral and written communication skills.  Strong interpersonal skills and an ability to work with staff at all levels.  Experience in conducting scientific and bibliometric portfolio analyses.  Familiarity with research programs/databases related to NIAID, other NIH Institutes, other Government organizations or private and non-profit institutions.  The education, skills and relevant years of experience required for each support position are consistent with those identified as the minimum requirements for the labor categories specified in the contract.   Design, analyze and evaluate scientific portfolios on a quantitative or qualitative basis that can be used to evaluate the effectiveness of programs in meeting established goals and objectives.  Review, monitor, and analyze narrative and statistical reports and program data to identify programmatically significant findings.  Interpret findings resulting from studies that are independently developed.  Contribute to development of portfolio analysis tools including the design, testing and implementation of new tools and the improvement of existing tools.  Communicate research results through multiple venues such as internal presentations, newsletter articles, conference presentations, scientific publications, or project reports.  Remain knowledgeable of NIAID, NIH and bibliometric data, data infrastructure, and data management requirements.  Maintain knowledge of Public Health concepts, epidemiology and Biostatistics and computational biology and informatics.  Foster and conduct investigations of new approaches and methods to enhance existing portfolio analysis techniques.  Inform OSPIDA/DARB senior analysts of important changes in portfolio analysis methods, techniques, and theory.  Collaborate and consult with OSPIDA/DARB staff in support of portfolio analysis activities.  Interact with NIAID program staff, other NIH IC staff and broad biomedical, knowledge management, and business intelligence communities to collaborate, and exchange knowledge and strategies to achieve the Office's goals of improved scientific portfolio analysis.  Seek outside opinions, when appropriate, and give fair and objective evaluation of ideas to produce the highest quality work products and services.  Organize and lead meetings about portfolio analysis activities as appropriate.  Develop and update project plans that accurately reflect milestones, and resources for assigned or self-initiated projects.  Assist in other analysis tasks as related to scientific coding, categorization, or similar, as requested.    ",advanced degree ph biological biomedical computational science minimum four research science management data science bioinformatics biocomputational fields r python data science tools critical thinking analytical exceptional attention detail statistical methods oral written communication interpersonal staff levels conducting scientific bibliometric portfolio analyses familiarity research programsdatabases niaid nih institutes government organizations private nonprofit institutions education relevant support position consistent identified minimum labor categories specified contract design analyze evaluate scientific portfolios quantitative qualitative basis used evaluate effectiveness programs meeting established goals objectives review monitor analyze narrative statistical reports program data identify programmatically significant findings interpret findings resulting independently developed contribute development portfolio analysis tools design testing implementation tools improvement existing tools communicate research results multiple venues internal presentations newsletter articles conference presentations scientific publications project reports remain knowledgeable niaid nih bibliometric data data infrastructure data management maintain public health concepts epidemiology biostatistics computational biology informatics foster conduct investigations approaches methods enhance existing portfolio analysis techniques inform ospidadarb senior analysts important changes portfolio analysis methods techniques theory collaborate consult ospidadarb staff support portfolio analysis activities interact niaid program staff nih ic staff broad biomedical management business intelligence communities collaborate exchange strategies achieve offices goals improved scientific portfolio analysis seek outside opinions appropriate give fair objective evaluation ideas produce highest products services organize lead meetings portfolio analysis activities appropriate develop update project plans accurately reflect milestones resources assigned selfinitiated projects assist analysis tasks scientific coding categorization similar requested,advanced degree ph biological biomedical computational science minimum four research management data bioinformatics biocomputational fields r python tools critical thinking analytical exceptional attention detail statistical methods oral written communication interpersonal staff levels conducting scientific bibliometric portfolio analyses familiarity programsdatabases niaid nih institutes government organizations private nonprofit institutions education relevant support position consistent identified labor categories specified contract design analyze evaluate portfolios quantitative qualitative basis used effectiveness programs meeting established goals objectives review monitor narrative reports program identify programmatically significant findings interpret resulting independently developed contribute development analysis testing implementation improvement existing communicate results multiple venues internal presentations newsletter articles conference publications project remain knowledgeable infrastructure maintain public health concepts epidemiology biostatistics biology informatics foster conduct investigations approaches enhance techniques inform ospidadarb senior analysts important changes theory collaborate consult activities interact ic broad business intelligence communities exchange strategies achieve offices improved seek outside opinions appropriate give fair objective evaluation ideas produce highest products services organize lead meetings develop update plans accurately reflect milestones resources assigned selfinitiated projects assist tasks coding categorization similar requested
4,  Statisticians   U. S.  Citizenship required.  Subject to background/suitability investigation/determination.  Federal payments are required to be made by Direct Deposit.  Requires registration for the Selective Service.  Visit www. sss. gov.  Pre-employment drug testing required.  1-year supervisory probationary period may be required.  Submit all required documentation.  ,statisticians u citizenship subject backgroundsuitability investigationdetermination federal payments made direct deposit requires registration selective service visit www sss gov preemployment drug testing year supervisory probationary period may submit documentation,statisticians u citizenship subject backgroundsuitability investigationdetermination federal payments made direct deposit requires registration selective service visit www sss gov preemployment drug testing year supervisory probationary period may submit documentation
5, Bachelor's Degree or equivalent experience within related field.  0-3 Years of relevant experience.     Bachelor's Degree or equivalent experience within related field.  0-3 Years of relevant experience.   Bachelor's Degree or equivalent experience within related field.  0-3 Years of relevant experience. ,bachelors degree within relevant bachelors degree within relevant bachelors degree within relevant,bachelors degree within relevant
6," Optional Form 306, Declaration of Federal Employment and the Background/Suitability Investigation - A background and suitability investigation will be required for all selectees.  Appointment will be subject to the successful completion of the investigation and favorable adjudication.  Failure to successfully meet these requirements may be grounds for appropriate personnel action.  In addition, if hired, a reinvestigation or supplemental investigation may be required at a later time.  If selected, the Optional Form 306 will be required prior to final job offer.  Click here to obtain a copy of the Optional Form 306.  Form I-9, Employment Verification and the Electronic Eligibility Verification Program - CMS participates in the Electronic Employment Eligibility Verification Program  E-Verify .  E-Verify helps employers determine employment eligibility of new hires and the validity of their Social Security numbers.  If selected, the Form I-9 will be required at the time of in-processing.  Click here for more information about E-Verify and to obtain a copy of the Form I-9.  Standard Form 61, Appointment Affidavits - If selected, the Standard Form 61 will be required at the time of in-processing.  Click here to obtain a copy of the Standard Form 61.    Identify specific statistical research areas that merit investigation, develop options and approaches for studies, and evaluate the feasibility of such endeavors.  Conduct research and statistical studies or projects related to statistical computation in the preparation of health cost estimates, human/health services programs, and/or pharmaceutical and medical disease research.  Provide authoritative interpretations of statistical policies for various State systems that conform to HHS requirements.  Initiate, formulate, plan, and execute analytic research projects and researches the quality of methodologies and measures pertaining to the assessment of the subject matter being studied.    Optional Form 306, Declaration of Federal Employment and the Background/Suitability Investigation - A background and suitability investigation will be required for all selectees.  Appointment will be subject to the successful completion of the investigation and favorable adjudication.  Failure to successfully meet these requirements may be grounds for appropriate personnel action.  In addition, if hired, a reinvestigation or supplemental investigation may be required at a later time.  If selected, the Optional Form 306 will be required prior to final job offer.  Click here to obtain a copy of the Optional Form 306.  Form I-9, Employment Verification and the Electronic Eligibility Verification Program - CMS participates in the Electronic Employment Eligibility Verification Program  E-Verify .  E-Verify helps employers determine employment eligibility of new hires and the validity of their Social Security numbers.  If selected, the Form I-9 will be required at the time of in-processing.  Click here for more information about E-Verify and to obtain a copy of the Form I-9.  Standard Form 61, Appointment Affidavits - If selected, the Standard Form 61 will be required at the time of in-processing.  Click here to obtain a copy of the Standard Form 61.   You must be a U. S.  Citizen or National to apply for this position.  You will be subject to a background and suitability investigation.  ",optional form declaration federal employment backgroundsuitability investigation background suitability investigation selectees appointment subject successful completion investigation favorable adjudication failure successfully meet may grounds appropriate personnel action addition hired reinvestigation supplemental investigation may later time selected optional form prior final job offer click obtain copy optional form form employment verification electronic eligibility verification program cms participates electronic employment eligibility verification program everify everify helps employers determine employment eligibility hires validity social security numbers selected form time inprocessing click information everify obtain copy form standard form appointment affidavits selected standard form time inprocessing click obtain copy standard form identify specific statistical research areas merit investigation develop options approaches evaluate feasibility endeavors conduct research statistical projects statistical computation preparation health cost estimates humanhealth services programs andor pharmaceutical medical disease research authoritative interpretations statistical policies various state systems conform hhs initiate formulate plan execute analytic research projects researches methodologies measures pertaining assessment subject matter studied optional form declaration federal employment backgroundsuitability investigation background suitability investigation selectees appointment subject successful completion investigation favorable adjudication failure successfully meet may grounds appropriate personnel action addition hired reinvestigation supplemental investigation may later time selected optional form prior final job offer click obtain copy optional form form employment verification electronic eligibility verification program cms participates electronic employment eligibility verification program everify everify helps employers determine employment eligibility hires validity social security numbers selected form time inprocessing click information everify obtain copy form standard form appointment affidavits selected standard form time inprocessing click obtain copy standard form must u citizen national apply position subject background suitability investigation,optional form declaration federal employment backgroundsuitability investigation background suitability selectees appointment subject successful completion favorable adjudication failure successfully meet may grounds appropriate personnel action addition hired reinvestigation supplemental later time selected prior final job offer click obtain copy verification electronic eligibility program cms participates everify helps employers determine hires validity social security numbers inprocessing information standard affidavits identify specific statistical research areas merit develop options approaches evaluate feasibility endeavors conduct projects computation preparation health cost estimates humanhealth services programs andor pharmaceutical medical disease authoritative interpretations policies various state systems conform hhs initiate formulate plan execute analytic researches methodologies measures pertaining assessment matter studied must u citizen national apply position
7,"  Provide statistical leadership in support of the Global Product Statistician  GPS , be a newly appointed GPS, or lead strategic capability or business area improvements with minimal supervision. Serve as primary author for statistical sections of protocol concept sheets  PCS , protocols, clinical development plans  CDP , and integrated product development plans  iPDP . Perform statistical analyses and create statistical text for clinical publications and other communicationsProvide direction and statistical oversight to outsourcing partners/providers regarding requirements and standards for study-level work, holding partners/providers accountable for the quality of their deliverablesDefine and lead analysis of relevant internal and external information to inform design decisionsProvide statistical support and leadership to clinical trial teams  CTT , clinical sub-teams  CST  and product development teams  PDT  on the development of Target Product Profile and Target Product Claims  TPP/TPC , Benefit, Risk, Value and Uncertainty  BRV U  , clinical development plans  CDP , and regulatory strategyLead development of components of regulatory submissions  e. g. , briefing documents, response to FDA requests, BLA/NDA, and sBLA/sNDA  and may represent MedImmune/AZ Statistics to Health Authorities  e. g. , Pre-IND and End of Phase II meetings May provide highly experienced expert statistical leadership to the development of the capability area and to PDTs, promoting good statistical practiceMay represent the companyâs position in their contacts with external expertsMay also participate in providing statistical support/strategy for post-marketing/Medical Scientific Affairs activities  ",statistical leadership support global product statistician gps newly appointed gps lead strategic capability business area improvements minimal supervision serve primary author statistical sections protocol concept sheets pcs protocols clinical development plans cdp integrated product development plans ipdp perform statistical analyses create statistical text clinical publications communicationsprovide direction statistical oversight outsourcing partnersproviders regarding standards studylevel holding partnersproviders accountable deliverablesdefine lead analysis relevant internal external information inform design decisionsprovide statistical support leadership clinical trial teams ctt clinical subteams cst product development teams pdt development target product profile target product claims tpptpc benefit risk value uncertainty brv u clinical development plans cdp regulatory strategylead development components regulatory submissions e g briefing documents response fda requests blanda sblasnda may represent medimmuneaz statistics health authorities e g preind end phase ii meetings may highly experienced expert statistical leadership development capability area pdts promoting good statistical practicemay represent companys position contacts external expertsmay also participate providing statistical supportstrategy postmarketingmedical scientific affairs activities,statistical leadership support global product statistician gps newly appointed lead strategic capability business area improvements minimal supervision serve primary author sections protocol concept sheets pcs protocols clinical development plans cdp integrated ipdp perform analyses create text publications communicationsprovide direction oversight outsourcing partnersproviders regarding standards studylevel holding accountable deliverablesdefine analysis relevant internal external information inform design decisionsprovide trial teams ctt subteams cst pdt target profile claims tpptpc benefit risk value uncertainty brv u regulatory strategylead components submissions e g briefing documents response fda requests blanda sblasnda may represent medimmuneaz statistics health authorities preind end phase ii meetings highly experienced expert pdts promoting good practicemay companys position contacts expertsmay also participate providing supportstrategy postmarketingmedical scientific affairs activities
8,"Familiarity with MS Office, data mining, ability to develop and manipulate, and maintain databases.  Demonstrated experience using COTS statistical software  SPSS, SAS, MatLab etc.  , COTS desktop software  MS Office and Access , and the Windows operating environment.  Of particular importance is software packages used for advanced statistical analysis of operational data and tools for data visualization.  Ability to develop mathematical algorithms and applications in response to complex requirements.  Ability to identify systems enhancements and new capabilities, concept demonstrators, capability business cases.  Ability to provide training as new systems and capabilities move into operational use.  Must be able to take leadership roles on technical teams.  Demonstrated participation in and/or directing the activities of highly skilled technical and analytical teams responsible for developing solutions to highly complex analytical/intelligence problems.  Ability to develop and lead teams in the support of GEOINT regional offices and divisions.  Proven ability to interact and provide technical support to Office-level leadership and management internally as well as externally.    Works with various stakeholders to develop business questions and identify the data necessary to analyze to answer those questions.  Collaborate across a diverse team of statisticians/data analysts.  Utilizes industry standard communication and visualization tools to visualize and communicate complex quantitative information and analysis to senior executives.  Applies business analytics and customer segmentation techniques in any corporate function, e. g.  marketing analytics, consumer analytics, operations analysis, human capital analytics, or other relevant fields.  Uses data mining for structured and unstructured information to join and explore relationships in disparate data sets.  Applies advanced analytics capabilities to derive insights from a combination of unstructured, semi-structured, and structured data.  Maintains, moves, and manipulates data between applications, using appropriate software  Apache Spark, ElasticSearch, R, Python, Kibana and others as technology evolves.  Strength in collaboration and teamwork within, between, and across organizational boundaries.  Demonstrates good oral and written communication skills, along with good interpersonal skills and an ability to work cooperatively and effectively as a team member.   Speaking, Listening, Sight, and Use of Hands/Fingers to Handle/Feel  Speaking, Listening, Sight, and Use of Hands/Fingers to Handle/Feel ",familiarity ms office data mining develop manipulate maintain databases demonstrated cots statistical software spss sas matlab cots desktop software ms office access windows operating particular importance software packages used advanced statistical analysis operational data tools data visualization develop mathematical algorithms applications response complex identify systems enhancements capabilities concept demonstrators capability business cases training systems capabilities move operational use must able take leadership roles technical teams demonstrated participation andor directing activities highly skilled technical analytical teams responsible developing solutions highly complex analyticalintelligence problems develop lead teams support geoint regional offices divisions proven interact technical support officelevel leadership management internally well externally works various stakeholders develop business questions identify data necessary analyze answer questions collaborate across diverse team statisticiansdata analysts utilizes industry standard communication visualization tools visualize communicate complex quantitative information analysis senior executives applies business analytics customer segmentation techniques corporate function e g marketing analytics consumer analytics operations analysis human capital analytics relevant fields uses data mining structured unstructured information join explore relationships disparate data sets applies advanced analytics capabilities derive insights combination unstructured semistructured structured data maintains moves manipulates data applications appropriate software apache spark elasticsearch r python kibana others technology evolves strength collaboration teamwork within across organizational boundaries demonstrates good oral written communication along good interpersonal cooperatively effectively team member speaking listening sight use handsfingers handlefeel speaking listening sight use handsfingers handlefeel,familiarity ms office data mining develop manipulate maintain databases demonstrated cots statistical software spss sas matlab desktop access windows operating particular importance packages used advanced analysis operational tools visualization mathematical algorithms applications response complex identify systems enhancements capabilities concept demonstrators capability business cases training move use must able take leadership roles technical teams participation andor directing activities highly skilled analytical responsible developing solutions analyticalintelligence problems lead support geoint regional offices divisions proven interact officelevel management internally well externally works various stakeholders questions necessary analyze answer collaborate across diverse team statisticiansdata analysts utilizes industry standard communication visualize communicate quantitative information senior executives applies analytics customer segmentation techniques corporate function e g marketing consumer operations human capital relevant fields uses structured unstructured join explore relationships disparate sets derive insights combination semistructured maintains moves manipulates appropriate apache spark elasticsearch r python kibana others technology evolves strength collaboration teamwork within organizational boundaries demonstrates good oral written along interpersonal cooperatively effectively member speaking listening sight handsfingers handlefeel
9,"Pre-employment physical required  NO Drug testing required  NO License required  NO Mobility agreement required  NO Immunization required  NO Bargaining Unit Position  YES, 3591 Financial disclosure statement, OGE-450, required  Please be advised that this position may be subject to FDA's prohibited financial interest regulation and may require the incumbent of this position to divest of certain financial interests.  Applicants are advised to seek additional information on this requirement from the hiring official before accepting this position.    Reviews statistical methods for the analysis of data, primarily from clinical studies.  Verifies applicants' critical statistical analyses and performs additional analyses as needed.  Suggests changes to clinical trial protocols, including statistical methods and trial design and conduct issues.  Performs statistical reviews of marketing applications such as BLAs, NDAs, PMAs and 510 k s and supplements for adequacy of design conduct, analysis, and appropriateness of resulting inferences and conclusions.  Serves as a specialist in statistical methodology and its applications and collaborates with other FDA scientists in the evaluation of regulated studies and the conduct of primary research activities.   Pre-employment physical required  NO Drug testing required  NO License required  NO Mobility agreement required  NO Immunization required  NO Bargaining Unit Position  YES, 3591 Financial disclosure statement, OGE-450, required  Please be advised that this position may be subject to FDA's prohibited financial interest regulation and may require the incumbent of this position to divest of certain financial interests.  Applicants are advised to seek additional information on this requirement from the hiring official before accepting this position.   This position may be subject to completion of a 1-year probationary period  unless you have already satisfied this obligation .  Citizenship Requirement  You must be a U. S.  Citizen or U. S.  National to be considered for this advertisement.  Foreign nationals or legal permanent residents are not eligible for consideration.  Direct Deposit  All Federal employees are required to have Federal salary payments made by direct deposit to a financial institution of their choosing.  Background Investigation Requirement  All employees must pass a security investigation.  Failing to pass the background check may be grounds for removal or legal action.  If hired, you may be subject to additional investigations at a later time.  FDA participates in e-Verify  All new hires must complete the I-9 form; this information will be processed through e-Verify to determine your employment eligibility.  If a discrepancy arises, you must take affirmative steps to resolve the matter.  Research Positions may require evaluation of the scientific contributions, recognition, and professional standing of the researcher, and may be subject to peer review.  A writing sample or publication portfolio may also be required.  If you were born male, after, December 31st 1959, you must be registered with the Selective Service System, or have an approved exemption.  Learn more at www. SSS. gov.  Additional selections may be made from this vacancy, within the same geographical area, by other organizational elements from within FDA, through shared corporate recruiting activities.  Your application may be shown to multiple hiring offices.  You may be asked to provide additional information at a later time.  All interviews requests and selection decisions are at the full discretion of the hiring office.  Certification of Accuracy  All information concerning eligibility and qualification is subject to investigation and verification.  False representation may be grounds for non-consideration, non-selection, or appropriate legal action.  ",preemployment physical drug testing license mobility agreement immunization bargaining unit position yes financial disclosure statement oge please advised position may subject fdas prohibited financial interest regulation may require incumbent position divest certain financial interests applicants advised seek additional information requirement hiring official accepting position reviews statistical methods analysis data primarily clinical verifies applicants critical statistical analyses performs additional analyses needed suggests changes clinical trial protocols statistical methods trial design conduct issues performs statistical reviews marketing applications blas ndas pmas k supplements adequacy design conduct analysis appropriateness resulting inferences conclusions serves specialist statistical methodology applications collaborates fda scientists evaluation regulated conduct primary research activities preemployment physical drug testing license mobility agreement immunization bargaining unit position yes financial disclosure statement oge please advised position may subject fdas prohibited financial interest regulation may require incumbent position divest certain financial interests applicants advised seek additional information requirement hiring official accepting position position may subject completion year probationary period unless already satisfied obligation citizenship requirement must u citizen u national considered advertisement foreign nationals legal permanent residents eligible consideration direct deposit federal employees federal salary payments made direct deposit financial institution choosing background investigation requirement employees must pass security investigation failing pass background check may grounds removal legal action hired may subject additional investigations later time fda participates everify hires must complete form information processed everify determine employment eligibility discrepancy arises must take affirmative steps resolve matter research positions may require evaluation scientific contributions recognition professional standing researcher may subject peer review writing sample publication portfolio may also born male december st must registered selective service approved exemption learn www sss gov additional selections may made vacancy within geographical area organizational elements within fda shared corporate recruiting activities application may shown multiple hiring offices may asked additional information later time interviews requests selection decisions full discretion hiring office certification accuracy information concerning eligibility qualification subject investigation verification false representation may grounds nonconsideration nonselection appropriate legal action,preemployment physical drug testing license mobility agreement immunization bargaining unit position yes financial disclosure statement oge please advised may subject fdas prohibited interest regulation require incumbent divest certain interests applicants seek additional information requirement hiring official accepting reviews statistical methods analysis data primarily clinical verifies critical analyses performs needed suggests changes trial protocols design conduct issues marketing applications blas ndas pmas k supplements adequacy appropriateness resulting inferences conclusions serves specialist methodology collaborates fda scientists evaluation regulated primary research activities completion year probationary period unless already satisfied obligation citizenship must u citizen national considered advertisement foreign nationals legal permanent residents eligible consideration direct deposit federal employees salary payments made institution choosing background investigation pass security failing check grounds removal action hired investigations later time participates everify hires complete form processed determine employment eligibility discrepancy arises take affirmative steps resolve matter positions scientific contributions recognition professional standing researcher peer review writing sample publication portfolio also born male december st registered selective service approved exemption learn www sss gov selections vacancy within geographical area organizational elements shared corporate recruiting application shown multiple offices asked interviews requests selection decisions full discretion office certification accuracy concerning qualification verification false representation nonconsideration nonselection appropriate
