,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Lead Data Analyst, Service Delivery Analytics","Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Customer contacts with Wayfair s 2000+ Sales & Service agents exhibit many different traits that have an impact on Wayfair s KPIs. The Service Delivery Analytics team plays a vital role in exploring the data we have on those traits and defining what represents a Quality interaction, which in turn drives strategic and tactical opportunities to improve the business. You will be part of an innovative team dedicated to developing top-notch analytical talent through problem-solving and driving the business through data analysis. You will apply analytical anddata presentationskills to provide insights and recommendations addressing some of Wayfair s most important problems.
What You'll Do
Create and manage visualizations and dashboards to effectively communicate insights from various analyses using tools such as Tableau
Work with stakeholders and internal data science organization tosophisticated outputto field service employees in a consumable format (ex. Recommended behavior opportunities based on data sciencemodels)
Understand, clean, and work with data from multiple sources to conduct data analysis leading to meaningful conclusions. This includes data from traditional sources as well as unstructured sources such as text-based data.
Collaborate closely with the data science team to develop processes and productionize models
Partner with business stakeholders to understand business process and data requirements, and to drive change within the organization based on our analysis
Perform basic data modeling tasks and refine live models using tools such as Python and R
Use audio transcription data to build models for various factors based on content of call (ex. Disposition codes, proxy customer satisfaction, etc.)
Construct optimization models to weight and score the impact of generalized call behaviors which impact multiple performance metrics
What You'll Need
4+ years of experience in a quantitative or technical work environment
Working knowledge of Tableau software and the ability to author content from scratch
Strong quantitative and problem solving skills to be able to analyze large, unstructured data sets, draw out insights, proactively communicate those insights and drive business decisions
Ability to thrive in a dynamic environment where there can be degrees of ambiguity
Ability toanalyze datausing unstructured data inputs with languages such as Python or R
SQL familiarity a plus, including motivation to learn and develop the skill-set
Advanced degree (Masters or PhD) in Mathematics, Engineering, Economics, Statistics, Physics, Computer Science or other concentrations with heavy quantitative focusa plus
About Us
Wayfair is one of the world s largest online destinations for the home. Whether you work in our global headquarters in Boston or Berlin, or in our warehouses or offices throughout the world, we re reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If you re looking for rapid growth, constant learning, and dynamic challenges, then you ll find that amazing career opportunities are knocking. No matter who you are, Wayfair is a place you can call home. We re a community of innovators, risk-takers, and trailblazers who celebrate our differences, and know that our unique perspectives make us stronger, smarter, and well-positioned for success. We value and rely on the collective voices of our employees, customers, community, and suppliers to help guide us as we build a better Wayfair and world for all. Every voice, every perspective matters. That s why we re proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information."
1,CRM Business Analyst,"Boston, MA 02110",Boston,MA,02110,None Found,None Found,None Found,None Found,None Found,"
BA/BS required

1-3 years of business/data analyst experience in the financial services/investment management industry

Prior experience within a Business Development/Marketing team would be ideal.

CRM Platform knowledge preferred such as Microsoft Dynamics or SalesForce.

Experience as a liaison with Information Technology a plus

Strong communication (verbal and written) and presentation skills. A concise and collaborative communication style preferred.

Strong interpersonal, analytical, problem solving, influencing, facilitation, and organizational skills needed

Provide support to the audit program as needed with regard to business controls, reporting, etc.

Ability to multi-task and work under deadline pressure

Highest standards of honesty, integrity, and confidentiality

Strong Excel, Word & PowerPoint skills
","Firm Overview
We are a leading global investment firm and aim to help endowments & foundations, pension plans, and high net worth private clients implement and manage custom investment portfolios that generate outperformance and enable them to maximize their impact on the world. Working alongside its early clients, Cambridge Associates pioneered the strategy of high-equity orientation and broad diversification, which since its inception in the 1980s has been a primary driver of performance for institutional investors. Today, we deliver a range of portfolio management services, including outsourced CIO, non-discretionary portfolio management, investment staff extension, and asset class mandates. Cambridge Associates maintains offices in major financial centers across the globe, with headquarters in Boston, MA.

Working with some of the world’s most sophisticated institutional investors, we bring a deep knowledge of portfolio management best practices to the clients we serve, and select our colleagues with great attention to their potential to become a valuable member of a collaborative, intelligent and hard-working team.

Job Description

Cambridge Associates (C|A) has been at the forefront of innovative investment portfolio strategies for over 40 years. Headquartered in the financial district of Boston, we serve clients from 10 offices across the US and around the world. We are currently seeking a Business Analyst in Global Business Development (GBD). This position will report to the Senior Director and will work on a variety of projects including the CRM (Customer Relationship Management).

Primary Duties

Stakeholder Engagement

Document business requirements for various business partners within GBD to enable business development, customer relationship management and marketing strategies.

Work closely with other business groups in the firm such as; Compliance & Legal, Enterprise Risk & Audit, Global Investment Services, Global Investment Research, Portfolio Services, Client Services, etc.
Project Execution & Delivery

Work closely with Information Technology (IT) to ensure the business outcomes meet the project objectives.

Become proficient in Microsoft Dynamics CRM to understand the functionality, run reports and create dashboards for various stakeholders.

Provide data analysis support as needed

Assist with production support tasks working closely with IT

Create various project deliverables including; requirements documents, project charters, enhancement documentation user documentation and training artifacts.

Develop Change Management and Training Plans as needed

Create Process Flow documentation and supporting procedures as required

Developer User Acceptance Testing (UAT) Plans and coordinate UAT Testing within the business team for various IT initiatives
Requirements

BA/BS required

1-3 years of business/data analyst experience in the financial services/investment management industry

Prior experience within a Business Development/Marketing team would be ideal.

CRM Platform knowledge preferred such as Microsoft Dynamics or SalesForce.

Experience as a liaison with Information Technology a plus

Strong communication (verbal and written) and presentation skills. A concise and collaborative communication style preferred.

Strong interpersonal, analytical, problem solving, influencing, facilitation, and organizational skills needed

Provide support to the audit program as needed with regard to business controls, reporting, etc.

Ability to multi-task and work under deadline pressure

Highest standards of honesty, integrity, and confidentiality

Strong Excel, Word & PowerPoint skills
Cambridge Associates is an equal opportunity employer. Diversity and inclusion are essential elements of our culture. We are committed to fostering an environment where individual perspectives, backgrounds, and life experiences make the firm a great place to work and result in a more satisfying client experience."
2,Data Programmer Analyst,"Boston, MA 02115",Boston,MA,02115,None Found,None Found,None Found,None Found,None Found,None Found,"Overview
This position is key to the completion of clinical and social behavioral research studies and programming within the breast oncology center (BOC). This position works closely with investigators, directors, program managers, research nurses, clinical research coordinators, and biostatisticians to maintain the integrity of center’s research databases. It requires increasingly more complex and independent contributions by a technically skilled and knowledgeable data programmer and analyst.
Responsibilities
Study and program start up
As needed, with study staff, monitor patient accrual and registrations for in-house protocols.
Designs research and program forms for data collection.
Maintains follow-up status of patients in the database.
Programming
Develop, add to and maintain study, clinical and program databases, including collecting and computerizing data.
Will program queries and reports and additional data fields within existing and new databases as needed.
Generates query reports for study and program staff.
Experience in manipulating and merging datasets to support research
Quality control
Design and review all forms pertaining to protocols and program standard operating procedure (SOP) manuals; reporting of questions, discrepancies and violations to protocol investigator and study staff.
Develops logic checks and ensures integrity of data in the research, clinical and program databases.
Produces monthly/quarterly checks for missing data and study updates. Helps troubleshoot and resolve all issues.
Cleans data using appropriate programming (SAS, Access, R, etc.) prior to biostatistical analysis or reporting data.
Data Analysis
May conduct basic to intermediate analysis of data (in SAS and other statistical programs) and provide increasingly more sophisticated reporting of study progress/results as needed by the study team
Other Responsibilities
Coordinates study team meetings as needed throughout the conduct of the program or clinical/socio-behavioral trial.
May participate in grant application process, audits, and manuscript preparation as directed.
Qualifications
Bachelors of Science or BA in Computer Science or Biostatistics required, or equivalent job experience. 3+ years programming experience or Masters with 0-2 years experience. Experience working in a scientific research setting or comparable technology-oriented business. More complex computer programming skills required (SAS, Access, relational databases, UNIX). Ability to learn new programs as needed (REDCap, R, etc.). Excellent English language reading, writing, and speaking skills required.

Works independently and takes a lead role in developing computerized systems to efficiently build systematic procedural checks and programs to initiate, maintain, clean, and report data. This involves considerable training and expertise requiring at least 2 years of experience or equivalent coursework in statistical programming. Extensive knowledge and experience with research, clinical and program data management procedures preferred.

Located in Boston and the surrounding communities, Dana-Farber Cancer Institute brings together world renowned clinicians, innovative researchers and dedicated professionals, allies in the common mission of conquering cancer, HIV/AIDS and related diseases. Combining extremely talented people with the best technologies in a genuinely positive environment, we provide compassionate and comprehensive care to patients of all ages; we conduct research that advances treatment; we educate tomorrow's physician/researchers; we reach out to underserved members of our community; and we work with amazing partners, including other Harvard Medical School-affiliated hospitals.

Dana-Farber Cancer Institute is an equal opportunity employer and affirms the right of every qualified applicant to receive consideration for employment without regard to race, color, religion, sex, gender identity or expression, national origin, sexual orientation, genetic information, disability, age, ancestry, military service, protected veteran status, or other groups as protected by law."
3,Data Analyst at Sterling Planning Alliance,"Boston, MA 02110",Boston,MA,02110,None Found,None Found,None Found,None Found,None Found,None Found,"Boston Office
Sterling Planning Alliance is a healthcare consulting firm specializing in strategic planning, facilities planning, and process improvement. Our goal is to improve healthcare delivery by helping providers manage their planning process, maximize resources, and identify achievable strategic, facility and program options.
Sterling Planning Alliance provides clients with the resources necessary to meet and exceed planning and program development expectations. Our team members work with an executive leadership committee and internal user groups to analyze, prioritize, rethink, redesign, and create an attainable, cost-conscious plan for development. Together we help maximize resources, overcome traditional organizational barriers, create consensus, avoid implementation obstacles, and achieve results.
Sterling is looking for highly motivated individuals to join the Sterling team. We are interested in talking to healthcare professionals who want to work in a friendly, challenging, and, we think, fun environment. Sterling is a small team of collaborative, passionate, and innovative healthcare consultants. New members would be an integral and highly valued part of this small team with ample opportunities for growth and professional development. The position is based in Boston, however, it requires local, regional, and occasional International travel.
Tasks:
DATA ANALYSIS
Performs capacity and throughput analyses, creates charts, graphics and presentations
Organizes and analyzes client and industry data
Independently creates new templates and analytical tools as needed
RESEARCH
Conducts research on industry trends and client-specific topics
Prepares summaries of research assignments
CLIENT INTERACTION
Interacts directly with clients to review and interpret results of quantitative and qualitative analyses
Creates client-specific data, workflow and model of care questionnaires
Attends client meetings, records notes of meetings, and prepares meeting minutes
TEAM SUPPORT
Supports consultant project teams
Assists principals in developing work plans, schedules, and resource requirements to support consulting engagements
Requirements:
Must have advanced spreadsheet skills, including: independently creating formula-based spreadsheets, manipulating pivot tables and the like. Must also have advanced PowerPoint skills.
Qualified applications will have a MPH, MHA, or MBA with a concentration in Healthcare. Experience desired but not required.

Contact
If interested please send resume and cover letter to US_careers@steffian.com.
Steffian Bradley is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, sex, sexual orientation, gender identity, national origin, disability or protected veteran status, or any other legally protected basis, in accordance with applicable law."
4,Nift Data Analyst,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"#ZRNift brings new customers through the doors of neighborhood businesses better than anything else out there. Join the team that's giving millions of people gifts they love while bringing in the foot traffic that makes neighborhood businesses thrive.
Data Science is the heart and core of our company. Algorithms and models are the foundation upon which our product is built, with data driving our key decisions, testing and growth. Our Chief Scientist, David C Parkes, is the former Area Dean of Computer Science at Harvard, the founder of Harvard's EconCS Group, and the Co-Director of Harvard's Data Science Initiative. Our data doubles every two months with even more sources waiting to be added. Our product represents a completely new kind of marketplace and the science around it has yet to be defined. We're looking for a Data Analyst to join our core team and drive growth and revenue.
This position is based in Boston, MA.
Examples of projects we currently need help with:
Analyze real-time data market economic data
Evaluate experimental results - On simulated data, real-time data and concurrent AB tests.
Collect data, build analysis and present it to monitor and understand the company revenue.
Estimate the demand in multiple local markets (in different sizes, locations and development stages).
Segment customers and businesses; offer insights and identify revenue growth opportunities within existing core verticals and new ones.
Monitor marketplace metrics and system performance and suggest corrective actions when needed.

We have an outstanding core team with deep understanding of algorithmic economics and data science. Our work is highly sought-after and is critical to the success of our business. If you have a proven track-record, want to make an impact and you get excited about the prospects of being part of something really special, we should talk.
Traits we value:
Solid understanding of statistics, economics, and math.
A keen eye for detail and thoughtful investigation of data.
A steadfast focus on creating impactful change and ability to prioritize between many tasks to maximize the improvement of the business.
2+ years of commercial experience is a plus.
A minimum of a Bachelor's degree, a Master's degree is preferred.
Collaborative team player who values the contribution of others.

We believe it's time technology starts working for Main Street's small businesses. Launched in Boston in the Summer of 2016, our start-up is helping millions of people discover great local businesses.

#ZR


pgAzhcsSW8"
5,Sr. PL Data Analyst/Data Analyst II,"Quincy, MA",Quincy,MA,None Found,None Found,None Found,None Found,"Analyze strategic and tactical growth opportunities by line of business and/or geography and assist in the development of programs to capitalize on these opportunities. This will include analysis of profit pockets in the business, new and lost business trends, competitive advantage that is underutilized and agent performance.
Conduct analysis and communicate findings as required.
Work directly with the underwriting team and all members of PL Management to support agency profitability efforts.
Increase efficiency through automation and monitoring of regular data and reporting processes.
Identify new areas of opportunity to improve and enhance existing report processes.
Lead company-wide committees/project work as Personal Lines representative or SME.
Maintain current skills and increase professional development of underwriting and technology skills through ongoing education and training.
",None Found,"
Bachelor’s Degree or the equivalent experience in the insurance field.
Three to five years of progressive insurance experience. Possesses sound knowledge of Arbella's policies, procedures and underwriting philosophies.
Experience and skill in data extraction, transformation, cleansing, analysis, and visualization.
Demonstrates high level of effective and diplomatic oral and written communication skills.
","As a Sr. Data Analyst/Data Analyst II, you’ll be a point person responsible for completing analytical reporting in the Arbella Personal Lines Product Department that brings value to the business and produces actionable insights. You’ll work alongside other Data Analysts and Product Analysts leading efforts to perform analyses, build tools and reports that provide frontline analytical support to the PL management team and underwriters to improve effectiveness and help drive strategic initiatives. The right candidate will be hired at the appropriate level commiserate with their skills and work experience.
Key Responsibilities:
Analyze strategic and tactical growth opportunities by line of business and/or geography and assist in the development of programs to capitalize on these opportunities. This will include analysis of profit pockets in the business, new and lost business trends, competitive advantage that is underutilized and agent performance.
Conduct analysis and communicate findings as required.
Work directly with the underwriting team and all members of PL Management to support agency profitability efforts.
Increase efficiency through automation and monitoring of regular data and reporting processes.
Identify new areas of opportunity to improve and enhance existing report processes.
Lead company-wide committees/project work as Personal Lines representative or SME.
Maintain current skills and increase professional development of underwriting and technology skills through ongoing education and training.
Key Requirements:
Bachelor’s Degree or the equivalent experience in the insurance field.
Three to five years of progressive insurance experience. Possesses sound knowledge of Arbella's policies, procedures and underwriting philosophies.
Experience and skill in data extraction, transformation, cleansing, analysis, and visualization.
Demonstrates high level of effective and diplomatic oral and written communication skills.
#LI-CL1"
6,Charles River Business Support Analyst,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Man Group is a global active investment management firm, which runs $114.4bn* of client capital in liquid and private markets, managed by investment specialists based around the world. Headquartered in London, the firm has 15 international offices and operates across multiple jurisdictions. Our business has five specialist investment engines, which represent the range of our capabilities: Man AHL, Man Numeric, Man GLG, Man FRM and Man GPM.
These engines house numerous investment teams, working collaboratively within the framework of Man Group, with a high degree of investment autonomy. Each team benefits from the strength and resources of the firm's single operating platform, enabling their primary focus to be seeking to generate alpha for clients. The teams invest across a diverse range of strategies and asset classes with highly specialised approaches, with long only and alternative strategies run on a discretionary and quantitative basis in single and multi-manager formats. Our clients are at the heart of everything we do and we engage in close dialogue with our investors as strategic partners, to understand their particular needs and constraints. Man Group's investment teams are empowered and supported by our institutional infrastructure and technology, which aims to facilitate the efficient exposure to markets and effective collaboration across the organisation.
Through the Man Charitable Trust, Man Group is committed to promoting literacy and numeracy on a global scale, and to supporting charitable causes more broadly.
Man Group plc is listed on the London Stock Exchange under the ticker EMG.LN and is a constituent of the FTSE 250 Index. Further information can be found at www.man.com
For more information about Man Group's commitment to diversity and inclusion, please visit www.man.com/diversity
As at 30 June 2019. All investment management and advisory services are offered through the investment ""engines"" of Man AHL, Man Numeric, Man GLG, Man FRM and Man Global Private Markets (GPM).
About Man Numeric
Man Numeric employs systematic security-selection processes that are underpinned by a bottom-up, fundamental approach, offering both long only and alternative strategies. The team's highly experienced professionals operate collaboratively, distilling their analytical and investment expertise into systematic processes which are applied across regions, styles, and capitalisations.
Man Numeric has a strong history in public equities, focusing on bottom-up stock selection processes based on fundamental, causal market relationships and reinforced by continuous research. Its approach seeks to capitalise on temporary market inefficiencies, with models that look to identify mispricing opportunities. Furthermore, the engine seeks to innovate continually and research new areas and opportunities. Man Numeric has significant capabilities in systematic responsible investing, with around half of its assets managed employing some form of sustainability screen.
Founded in 1989 and becoming part of Man Group in 2014, Man Numeric's funds under management were $35.0bn at 30 June 2019. Further information can be found at www.man.com/numeric.
Purpose of the role:
As a key member of the team, the Business Analyst will have ownership / responsibilities throughout all project lifecycles, with an emphasis on Charles River initiatives and delivery
Specific responsibilities:
Working closely with the business to analyze and understand their processes and requirements
Provide support where required to support desk and direct to business areas
Working closely with the business and Product Owner's to ensure requirements are challenged, validated and add business value and with competing business demands and priorities
Have a positive attitude and approach tasks with enthusiasm, challenges requirements appropriately
Ensure that in respect of all matters in your role, (including the planning and delivery of work), you understand and comply with all company policies, practices and statements relating to risk, compliance and confidentiality
Anticipate, identify and manage risk issues in accordance with those policies, practices and statements and escalate risk issues to the appropriate management level or committee as necessary
Essential skills and experiences:
Proven track record working as a Business analyst in the financial services sector
A broad asset class knowledge base, covering n understanding of Equity, Fixed Income and Credit products, would be advantageous but not essential
At least 3 years Charles River experience, providing in depth knowledge of the platform, as well the ability to make configuration changes, as requested by business users and sponsors
Excellent analysis process can talk through clearly how they go about understanding and documenting challenges, turning them into requirements and solutions
Ability to document in a very clear and unambiguous fashion
Strong interpersonal skills; able to establish and maintain a close working relationship with traders, fund managers and senior business people alike
Confident communicator; able to argue a point concisely and deal positively with conflicting views
Solid industry experience, ideally buy side / asset management but strong business experience on the sell side may suffice
Understanding of the overall operating model of a hedge fund desirable
Solid organizational skills including attention to detail and multi-tasking skills
Excellent problem solving, analysis and interpretation skills
Experience in an Agile software development and project delivery processes
Highly desirable (nice to have):
Understanding of Investment management Trading operations (front to back) including areas such as operations and compliance
Commercial experience working previously within a technology team either as developer, business analyst, data analyst or support role
Experience of building and executing test plans
Basic knowledge of SQL, particularly MS SQL Server"
7,"Data Analyst -Business Intelligence, SSIS required","Needham, MA 02492",Needham,MA,02492,None Found,"
Bachelor's degree in Engineering, Computer Science or related required.
1-3 years related work experience required in healthcare data analysis.
Proficiency in SQL Server Integration Services / SSIS. One year of hands on experience with SSIS (SQL Server Integration Services)
Proficiency in SQL Server Management Studio / SQL.
Experience with a data visualization solution.
Advanced technical computer skills as required for technical support specific to functional area and related systems.",None Found,"Extract, analyze and interpret health care data utilizing software (e.g. SQL Server Management Studio) for data analysis, extraction and manipulation.
Design and maintain SSIS packages to migrate data from various sources into databases and the data warehouse. Troubleshoot SSIS packages to resolve issues.
Support end users in their adoption and understanding of CRM, Tableau and other technologies.
Perform analysis to assess effectiveness of initiatives and new products. Utilize analytical automation (e.g. scripting, macros) to produce timely and accurate ad hoc monthly and/or quarterly reporting to business owners.
Serve as subject matter expert on two or more data and business areas (e.g. SQL, analytics automation, addiction medicine, provider access, EMR reporting).",None Found,None Found,"Department Description: Beth Israel Deaconess HealthCare is a network of more than 100 highly-skilled primary care physicians and specialists who are affiliated with the renowned Beth Israel Deaconess Medical Center in Boston, Beth Israel Deaconess Hospital-Needham, Beth Israel Deaconess Hospital-Milton and Beth Israel Deaconess Hospital-Plymouth. Our Central Office is located in Needham, MA.

Job Location: Needham, MA

Req ID: 30778BR

Job Summary: Reporting to the Business Intelligence Manager, the Data Analyst will support analytics, and compile system and report design specifications to meet the primary care organization's needs. The Data Analyst will use SSIS, SQL, CRM and reporting tools, like Tableau, to perform analysis to assess effectiveness of initiatives, measure performance and meet business owner's workflow and performance measurement needs. This position will support data governance functions, flexible reporting, and facilitate improved performance on key metrics. The Analyst will participate in team project management activities, database architecture, and addition of new data sources to the Beth Israel Deaconess HealthCare (BIDHC) data warehouse.

Essential Responsibilities:
Extract, analyze and interpret health care data utilizing software (e.g. SQL Server Management Studio) for data analysis, extraction and manipulation.
Design and maintain SSIS packages to migrate data from various sources into databases and the data warehouse. Troubleshoot SSIS packages to resolve issues.
Support end users in their adoption and understanding of CRM, Tableau and other technologies.
Perform analysis to assess effectiveness of initiatives and new products. Utilize analytical automation (e.g. scripting, macros) to produce timely and accurate ad hoc monthly and/or quarterly reporting to business owners.
Serve as subject matter expert on two or more data and business areas (e.g. SQL, analytics automation, addiction medicine, provider access, EMR reporting).
Required Qualifications:
Bachelor's degree in Engineering, Computer Science or related required.
1-3 years related work experience required in healthcare data analysis.
Proficiency in SQL Server Integration Services / SSIS. One year of hands on experience with SSIS (SQL Server Integration Services)
Proficiency in SQL Server Management Studio / SQL.
Experience with a data visualization solution.
Advanced technical computer skills as required for technical support specific to functional area and related systems.
Preferred Qualifications:
Proficiency in automated analytics (e.g. scripting, macros), using Excel
Understanding of administrative claims data and experience with EHRs and clinical data.
Experience with Tableau strongly preferred.
Competencies:
Decision Making: Ability to make decisions that are guided by general instructions and practices requiring some interpretation. May make recommendations for solving problems of moderate complexity and importance.
Problem Solving: Ability to address problems that are varied, requiring analysis or interpretation of the situation using direct observation, knowledge and skills based on general precedents.
Independence of Action: Ability to follow precedents and procedures. May set priorities and organize work within general guidelines. Seeks assistance when confronted with difficult and/or unpredictable situations. Work progress is monitored by supervisor/manager.
Written Communications: Ability to summarize and communicate in English moderately complex information in varied written formats to internal and external customers.
Oral Communications: Ability to comprehend and communicate complex verbal information in English to medical center staff, patients, families and external customers.
Knowledge: Ability to demonstrate in-depth knowledge of concepts, practices and policies with the ability to use them in complex varied situations.
Team Work: Ability to act as a team leader for small projects or work groups, creating a collaborative and respectful team environment and improving workflows. Results may impact the operations of one or more departments.
Customer Service: Ability to provide a high level of customer service and staff training to meet customer service standards and expectations for the assigned unit(s). Resolves service issues in the assigned unit(s) in a timely and respectful manner.

Physical Nature of the Job:
Sedentary work: Exerting up to 10 pounds of force occasionally in carrying, lifting, pushing, pulling objects. Sitting most of the time, with walking and standing required only occasionally"
8,Business Data Analyst,"Boston, MA 02298",Boston,MA,02298,None Found,None Found,None Found,None Found,None Found,None Found,"We're reimagining sports and technology.
DraftKings is bringing sports fans closer to the games they love and becoming an essential part of their experience in the process. An industry pioneer since our founding in 2012, we believe we can continue to define what it means to be a technology company in sports entertainment. We love what we do and we think you will too.

We're reimagining sports and technology. DraftKings is bringing sports fans closer to the games they love and becoming an essential part of their experience in the process. An industry pioneer since our founding in 2012, we believe we can continue to define what it means to be a technology company in sports entertainment. We love what we do and we think you will too.

Love data? We do too.We're growing quickly and are looking for a Business Data Analyst to help us scale through data-driven action. When you join our analytics team, you will play a vital role in solving problems across a wide array of business areas, which will provide you an opportunity to see the impact of your personal work right away. Sound good to you? Join us.


What you'll do as a Business Data Analyst:
You will analyze and understand customer behavior throughout our platform.
Identify improvements to gameplay through on-site changes.
You will measure how new features are driving changes to customer behavior.
Develop standard reporting for key business results like contest performance, player activity, and segment performance.
You will also build and execute test plans and drive the learning agenda for your focus area.


What skills you will use:
Ideally, you have 0-1 year of analytics experience, preferably at an e-commerce company.
You have experience with SQL, SAS, and Matlab. Additional programming language experience is a plus.
Knowledge of statistics and hypotheses testing. Model building experience is a plus.
You thrive in a fast-paced environment.
You have a BS in Mathematics, Business, or a related field.


Who are we a good fit for? We love working with talented people but more than that, we seek out compassionate co-workers with a collaborative spirit. Our work moves quickly and we're great at coming together to find creative solutions to some of tech's most interesting problems. If that sounds good to you, join us.

Apply nowWe're proud to believe that your gender, race, nationality, religion, sexual orientation, status as a protected veteran, or status as an individual with a disability should have nothing to do with our hiring practices. We'll never discriminate against anyone's background or creed. If you're good at what you do, we want you to do it at DraftKings.




Who are we a good fit for?
We love working with talented people but more than that, we seek out compassionate co-workers with a collaborative spirit. Our work moves quickly and we're great at coming together to find creative solutions to some of tech's most interesting problems. If that sounds good to you, join us.

Apply now
We're proud to believe that your gender, race, nationality, religion, sexual orientation, status as a protected veteran, or status as an individual with a disability should have nothing to do with our hiring practices. We'll never discriminate against anyone's background or creed. If you're good at what you do, we want you to do it at DraftKings."
9,Research Data Analyst,"Boston, MA 02210",Boston,MA,02210,None Found,None Found,None Found,None Found,None Found,None Found,"SUMMARY
Responsible for conducting research and data analysis for a variety of organizational projects and initiatives.

KEY RESPONSIBILITIES
Assists in collection, aggregation and input of data (comps, Tenants in Markets, properties, availabilities, new constructions etc.) into CBRE property database.
Performs periodic data audits and change reports to ensure that quantity and quality of our data is top notch.
Picks up basic data visualization and programming skills to assist the Senior Analyst and DI manager on special projects.
Other duties as assigned.
No formal supervisory responsibilities in this position. May provide informal assistance such as technical guidance, and/or training to coworkers. May coordinate and assign tasks to co-workers within a work unit and/or project.


QUALIFICATIONS
Bachelor's degree from four-year college or university; or Associate degree and a minimum of two years related experience and/or training; or equivalent combination of education and experience.
0-4 years of experience in commercial real estate or other market research role
Excellent written and verbal communication skills. Strong organizational and analytical skills. Ability to provide efficient, timely, reliable and courteous service to customers. Ability to effectively present information.
Requires knowledge of financial terms and principles. Ability to calculate intermediate figures such as percentages, discounts, and/or commissions. Conducts basic financial analysis.
Ability to comprehend, analyze, and interpret documents. Ability to solve problems involving several options in situations. Requires intermediate analytical and quantitative skills.
Ability to handle and manipulate large amounts of data.
Intermediate experience with Microsoft Office and Tableau.
Possess a positive work attitude and ability to work in a team environment.
Decisions made with understanding of procedures and company policies to achieve set results and deadlines. Responsible for setting own project deadlines. Errors in judgment may cause short-term impact to co-workers and supervisor."
