,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Digital Marketing Data Analyst,"Mountain View, CA 94043",Mountain View,CA,94043,None Found,None Found,None Found,None Found,None Found,None Found,"Synopsys is looking for an experienced Data Analyst who will lead the development and execution of fact-based reporting, analysis and analytical models used to enhance decision making across the marketing function. This role will support the organization with insights used to produce improved results.
Responsibilities
Lead efforts to define and implement frameworks for measuring, reporting and analyzing marketing results
Create and maintain appropriate marketing key performance indicators and ROI models for marketing campaigns to determine effectiveness
Develop dashboards and standardized reports to provide ongoing insight to marketing stakeholders, then work to ensure utilization and adoption of reporting by these stakeholders
Develop data processes, integrate data from various sources, perform audits, update analytics configurations and improve data quality to support marketing analytics and enhance business intelligence
Effectively integrate, analyze and mine both structured and unstructured data from a variety of sources to drive product centric as well as user centric insights
Ensure analytics data is flowing through various stages of digital customer journeys using a variety of tools including Adobe Analytics, Adobe Dynamic Tag Management (DTM), Adobe Target, Audience Manager, etc.
Develop multi-touch attribution methodologies to assess effectiveness of multi-vehicle marketing campaigns
Respond to ad hoc data and analytics requests from business leaders
Perform weekly and monthly analyses of KPIs for business leads
Requirements
Bachelor's degree in Marketing, Computer Science, Data Management, or similar technical discipline
4+ years of experience in web analytics-focused roles, with experience in digital marketing analytics capture and reporting a plus
3+ years of hands-on experience with reporting tools (i.e. Adobe Analytics, Tableau, Domo, Adobe Insights, etc.)
Experience in creating polished, repeatable and actionable dashboards and reports
Experience building and running multi-touch attribution framework for Growth channels and campaigns
Experience with relational and un-structured databases is a plus
Experience with Python, R and Statistical modeling is a big plus
Familiarity with leading marketing technologies and tools such as Google Analytics, DMPs, DTMs, automation, etc.
Ability to convey complex information simply and clearly to Sr. business leaders and executives and to effectively communicate with business, marketing and engineering teams
Excellent verbal and written communication skills with the ability to work cross-functionally
#LI-DNI

Job CategoryBusiness Development
Hire Type

Employee

CountryUnited States"
1,Business Analyst,"Santa Clara, CA",Santa Clara,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 103,000 colleagues serve people in more than 160 countries.
Job Description
The Business Analyst plans and performs business process reviews at a department or company level.
ResponsibilitiesIdentifies opportunities to improve the efficiency and effectiveness of the systems and process being examined (process improvement/reengineering projects).Evaluates internal control systems and recommends improvements in controls (control projects).Works with the co-sourcing partners to plan the project, draft project reports and conduct the fieldwork, which includes interviews, process flow determination, critical analysis of activities as value added/non-value added, financial analysis, system data analysis and transaction testing.Administers the project time, budgeting and reporting and coordination of team schedules.Participates in special projects as they arise, including compliance reviews, financial audits, and due diligence reviews.Begins establishing and cultivating a network of internal resources to facilitate completion of tasks.Individual influence is typically exerted at the peer level.Completes daily work to meet established schedule with guidance from supervisor on prioritization of tasks.May exercise authority within pre-established limits and approval.
Qualifications
Bachelors Degree and 0-2+ years experience or an equivalent combination of education and experience.
Experience/skills
Minimum 2 years related work experience with a basic understanding of specified functional area.
General knowledge and basic application of business concepts, procedures and practices.
Will perform this job in a quality system environment.
Failure to adequately perform tasks can result in noncompliance with governmental regulations.
Learns to use professional concepts and company policies and procedures To solve routine problems. Works on problems of limited scope.
Minimal independent decision making.
NO RELOCATION ASSISTANCE IS AVAILABLE FOR THIS POSITION."
2,Data Analytics Teaching Assistant - UC Berkeley (Belmont),"Belmont, CA",Belmont,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
Python Pandas
Matplotlib
Beautiful Soup
JavaScript
HTML5
CSS3
D3
Leaflet
SQL, noSQL
Tableau
Machine Learning, Hadoop
","Trilogy Education partners with universities to offer programs in Web Development, Data Analytics, UX/UI Design, and Cybersecurity. Our platform combines a market-driven curriculum, robust career services, and a multinational community of universities, instructors, and employers to prepare adult learners for careers in the digital economy.

The Job:
Trilogy Education is seeking an experienced Data Analyst who has a passion for teaching individuals how to code. Our students have a diverse background, from working professionals to fresh-out-of-college people who seek to transition into careers in web development positions.

Why teach why us?

Instructors lead classroom discussions, guide inquiry, emphasize the meta-skills and core concepts, support students in their projects and challenges, and provide feedback to students and teaching assistants.

You don't have to have a ton of experience instructing! You just have to be a lifelong learner, proven teacher or mentor and love to help people change their lives and succeed.

What You Will Do:

Take attendance at the start of class via Bootcampspot
Ensure the Instructor is staying on track with regards to time
Walk around class during code activities and projects to assist students
Research and answer student questions when the instructor is unable to
Grade all homework assignments

What makes your a great fit (Requirements):
Proficient in the following languages:

Python Pandas
Matplotlib
Beautiful Soup
JavaScript
HTML5
CSS3
D3
Leaflet
SQL, noSQL
Tableau
Machine Learning, Hadoop

Pay is commensurate with experience for this contract role."
3,Software Engineer,"San Mateo, CA 94402",San Mateo,CA,94402,None Found,None Found,None Found,"Research, design, and update computer programs to build and maintain the Company’s interactive on-line new media platform
Work with the UI/UX designer to modify the user interface of the company’s interactive online new media platform
Implement the whole platform on AWS.
Involved in backend coding based on user’s information, retrieve, store and analyze user’s data, provide suggestions on improvement
Work with data analyst to develop the information analysis system based on users’ data（age, gender, education level, etc. to determine the demographics of users of Tech Trends Inc.) using Python and SQL.
Prepare test plans, write Unite Test to improve the efficiency of basic tests, verity accuracy and validity of programs
Compile and document the program development and subsequent revisions, insert comments on the coded instructions so other contract software developers can understand the program.
Perform search engine analysis and conduct search engine optimization and marketing to improve website traffic for the purpose of attracting potential advertising clients.
",None Found,"Python, Django, React and AWS
PHP, MySQL, Python, Assembly
Linux, CodeIgniter (MVC), Wireshark, OPNET, MATLAB
Knowledge of C, C++, C#, and Java;
Skill with Haskell, or JavaScript
Relational databases and SQL;
Software development tools: Code editors (VIM or Emacs), and revision control systems (Subversion, GIT, or Perforce)
Core web technologies: HTML, CSS, RESTful API.
Data processing, programming languages, databases, networking, operating systems, computer graphics, or human-computer interaction.
Applying algorithms and core computer science concepts to real world systems
Fluent in Both English and Chinese Mandarin","If you fit the jobs, do not hesitate to contact us: info@gotechtrends.com
Responsibilities:
Research, design, and update computer programs to build and maintain the Company’s interactive on-line new media platform
Work with the UI/UX designer to modify the user interface of the company’s interactive online new media platform
Implement the whole platform on AWS.
Involved in backend coding based on user’s information, retrieve, store and analyze user’s data, provide suggestions on improvement
Work with data analyst to develop the information analysis system based on users’ data（age, gender, education level, etc. to determine the demographics of users of Tech Trends Inc.) using Python and SQL.
Prepare test plans, write Unite Test to improve the efficiency of basic tests, verity accuracy and validity of programs
Compile and document the program development and subsequent revisions, insert comments on the coded instructions so other contract software developers can understand the program.
Perform search engine analysis and conduct search engine optimization and marketing to improve website traffic for the purpose of attracting potential advertising clients.

Requirements:

Employer will accept a Master’s degree in Electrical Engineering, Computer science, or related field and 24 months of experience in the job offered or in a computer-related occupation.

Special skills required:
Python, Django, React and AWS
PHP, MySQL, Python, Assembly
Linux, CodeIgniter (MVC), Wireshark, OPNET, MATLAB
Knowledge of C, C++, C#, and Java;
Skill with Haskell, or JavaScript
Relational databases and SQL;
Software development tools: Code editors (VIM or Emacs), and revision control systems (Subversion, GIT, or Perforce)
Core web technologies: HTML, CSS, RESTful API.
Data processing, programming languages, databases, networking, operating systems, computer graphics, or human-computer interaction.
Applying algorithms and core computer science concepts to real world systems
Fluent in Both English and Chinese Mandarin"
4,Assessment & Evaluation Associate,"Stanford, CA",Stanford,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Title: Data Analyst 1
Working Title: Assessment & Evaluation Associate
Job Code: 4744
Salary Level: G
Schedule: Part-Time (75% FTE)
Exemption: Exempt
Appointment Duration: Fixed Term for one year

The Haas Center for Public Service is seeking an Assessment and Evaluation Associate who is instrumental to our overall assessment and evaluation efforts at the Haas Center for Public Service.

The Assessment and Evaluation Associate position is a part-time (0.75FTE), 12-month appointment. This position is ideal for an individual interested in pursuing a career in higher education and has a passion for data and evaluation. Successful applicants will have an interest in, and understanding of student culture in university environments, particularly as it relates to public service. They must possess excellent analytic, communication and organizational skills along with an ability to prioritize, complete assignments in a timely manner and possess an attention to detail. The Assessment and Evaluation Associate is expected to maintain confidentiality when dealing with sensitive information and use tact and diplomacy in interactions with students, faculty, staff, and external partners. Be a part of a dynamic and collegial team highlighting campus-wide service!

JOB PURPOSE:

Under general direction, you will process a wide variety of analytical data and produce routine, single data sources’ information requests. To assist with efforts to investigate the effectiveness of undergraduate public service related programs, this position will analyze, synthesize, and create graphs and presentation/reports using quantitative and qualitative data related to students experiences with Cardinal Service.

Your responsibilities will include:
Assess and produce relevant, standard, or custom information (reports, charts, graphs and tables) from structured data sources related to Cardinal Service programs by querying data repositories (i.e. student involvement database, event check-in system, results from surveys, etc.) and generating the associated information (i.e. reports, charts, graphs and tables).

Distribute and disseminate reports to management and other internal end-users such as program staff, Haas
Identify new sources of data and methods to improve data collection, analysis and reporting.
May test prototype software and participate in approval and release process for new software.
Conduct or assist with focus groups/interviews with students, staff and/or other key stakeholders as needed based on assessment and evaluation priorities as established by the Haas Center.
- Other duties may also be assigned

To be successful in this position, you will bring:
Bachelor's degree or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, ﬁnance, statistics or engineering.
Basic knowledge and demonstrated experience using and applying analytical software, database management system software, database reporting software, database user interface and query software, and data mining software.
Demonstrated ability to produce data in a clear and understandable manner meeting user requirements.
Demonstrated ability to work independently under minimum supervision and take ownership of projects.
Demonstrated ability to perform duties with a high level of professionalism, confidentiality, flexibility, discretion, judgement, diplomacy and tact.
High degree of accuracy and attention to detail.
Strong listening, verbal and written communication skills.
In addition, preferred requirements include:
Master’s degree
Experience and interest in mixed methods research
Experience recruiting and/or conducting focus groups/interviews, coding, and analysis of qualitative data
Intermediate/Advanced experience with qualitative data analysis skills (experience with NVivo or Dedoose, a plus)
Strong familiarity with Stanford University’s Cardinal Service initiative and Principles of Ethical & Effective Service
Working knowledge of the Pathways of Public Service and Civic Engagement framework and tool
Ability to manage multiple activities in a deadline-oriented environment; highly organized, ﬂexible and rigorous attention to detail
Ability to use logic to calculate data; eﬃciently construct a database or scrutinize the form of a question. Ability to work with data of varying levels of quality and validity
Ability to work eﬀectively with multiple internal and external stakeholders
Demonstrated ability to communicate complex information to a lay audience

About the Haas Center for Public Service

Stanford University’s Haas Center for Public Service serves as the hub of Cardinal Service, a campus-wide initiative to make service a distinctive feature of a Stanford education. The Haas Center inspires and prepares students to create a more just and sustainable world through service, scholarship, and community partnerships. Guided by the Center’s Principles of Ethical and Effective Service, students engage in local, national, and global service across diverse pathways—community engaged learning and research, community organizing and activism, direct service, philanthropy, policy and governance, and social entrepreneurship and corporate social responsibility.

Cardinal Service focuses on four dimensions that have proven transformative in the lives of students: a full-time, quarter-long service experience (Cardinal Quarter); community engaged learning classes (Cardinal Courses); sustained service engagement (Cardinal Commitment); and support to integrate service into any career and pursue work in the public interest (Cardinal Careers).


Why Stanford is for You

Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven individuals to impact the future of our legacy. Our culture and unique perks empower you with:
Freedom to grow. We offer career development programs, tuition reimbursement, or course auditing opportunities. Join a TedTalk, film screening, or listen to a renowned author or global leader speak.
A caring culture. We provide superb retirement plans, generous time-off, and family care resources.
A healthier you. Climb our rock wall or choose from hundreds of health or fitness classes at our world-class exercise facilities. We also provide excellent health care benefits.
Discovery and fun. Stroll through historic sculptures, trails, and museums.
Enviable resources. Enjoy free commuter programs, ridesharing incentives, discounts and more!"
5,Senior Data Engineer,"Mountain View, CA 94040",Mountain View,CA,94040,None Found,"
BS or MS in Computer Science , MIS or related degrees
Experience with at least one scripting language (e.g. Python)
2+ years of experience with relational databases and SQL
Extensive experience in designing OLAP data warehouses
Great knowledge of dimensional modeling, SCD concepts
Prior experience with data cleaning and modeling
Prior experience with product behavior data preferred
Working knowledge of Spark is preferred
Advanced SQL skills is a must
Expressive personality who is willing to reach out to folks, brainstorm possible solutions and come up with an action plan
",None Found,"
Design and develop ""fact stores"" for the core data sets that makes up the entire company business flows
Architect and develop data models and schemas for our core data using Spark and SQL
Work across multiple data analyst to brainstorm the data points behind their dashboard and generalize it in form of ""fact stores""
Produce high quality readable code in an agile setting.
Work with the data scientists to make sure we can build feature engineering data sets from
",None Found,None Found,"Udacity's mission is to democratize education. We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, and more. Focused on self-empowerment through learning, Udacity is making innovative technologies such as self-driving cars available to a global community of aspiring technologists, while also enabling learners at all levels to skill up with essentials like programming, web and app development. If you love a challenge, and truly want to make a difference in the world, read on!

The Data Team is looking for a Senior Data Engineer to help us architect, design and develop fact tables for managing all of the data that drives our products across consumer and enterprise. The ideal candidate will be comfortable talking to data analysts, understand the data that power their product, generalize it and implement common fact tables across the company.

This is an opportunity to be a part of a team which includes Data Engineers, Data Analysts and Data Scientists. Some of the tools we use are Python, Spark, Docker, Postgres, Git, Airflow and Redshift.

Responsibilities:
-----------------


Design and develop ""fact stores"" for the core data sets that makes up the entire company business flows
Architect and develop data models and schemas for our core data using Spark and SQL
Work across multiple data analyst to brainstorm the data points behind their dashboard and generalize it in form of ""fact stores""
Produce high quality readable code in an agile setting.
Work with the data scientists to make sure we can build feature engineering data sets from

Fact stores


Develop tools to monitor, debug and analyze the generic ""Fact stores""
Come with a Quality check framework for fact stores accuracy
Build a process to come up with feature changes/additions, refactoring to fact stores

Qualifications:
---------------


BS or MS in Computer Science , MIS or related degrees
Experience with at least one scripting language (e.g. Python)
2+ years of experience with relational databases and SQL
Extensive experience in designing OLAP data warehouses
Great knowledge of dimensional modeling, SCD concepts
Prior experience with data cleaning and modeling
Prior experience with product behavior data preferred
Working knowledge of Spark is preferred
Advanced SQL skills is a must
Expressive personality who is willing to reach out to folks, brainstorm possible solutions and come up with an action plan

We are an equal opportunity employer and value diversity at our company. Women, people of color, members of the LGBTQ community, individuals with disabilities, and veterans are strongly encouraged to apply.

Udacity's Terms of Use and Privacy Policy ( https://www.udacity.com/legal/privacy )"
6,Business Systems Analyst,"Fremont, CA",Fremont,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Facebook is seeking a passionate Business Systems Analyst who will use data to assist decision-making and implement solutions in support of our Enterprise Engineering Operations services. This position is responsible for partnering with internal stakeholders/teams to design scalable solutions that provide business critical insights and metrics that will impact our internal customers every day. Successful candidates for this team will have a bias toward action and enjoy finding patterns amid chaos, and aren't afraid of being wrong. The perfect candidate will be an experienced business analyst or data analyst with solid contributions in a data-driven environment, is focused on results, a self-starter, and have demonstrated success in contributing to the growth and success of a business. A diverse and flexible skillset is required for supporting a wide set of IT services and business needs using large and varied datasets.
RESPONSIBILITIES
Work with internal stakeholders and cross-functional product development and data teams, to support delivery of internal digital products
Analyze and interpret high impact business needs and translate them into project requirements
Develop deep understanding of the products/tools used by the team, and analyze for continuous improvements
Work with Business Systems Analysts and Data Analysts in other regions to achieve same
Simplify and document requirement workflows for the product development/support teams
Use data to define metrics for the initiatives, measure current state and track attainment of key indicators driving improvement iteratively
Assist with product adoption, internal product marketing, review and feedback gathering
MINIMUM QUALIFICATIONS
BS/MS in Business/Data Analytics, Computer Science, Digital Innovation, Engineering, or equivalent experience
3+ years experience in systems analysis, product consulting or implementing digital products for internal business functions
3+ years experience in building/developing digital products
Demonstrated experience using data to solve business problems
Knowledge of the technical architecture of scalable solutions
Communication and presentation experience
PREFERRED QUALIFICATIONS
Ability to deal with ambiguity, is self-driven and results focused
Creative, data driven, process & detail oriented
Familiar with data tools is an advantage
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com."
7,Conversational Designer,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,"
Take ownership of the Sage Intacct Chatbot, AI Bot and related tools, expanding the applications across the enterprise over time
Perform weekly analysis of trends in chatbot conversations to identify topics and unanswered questions with the biggest opportunity to automate
Analyze customer support cases to identify new topics to automate and publish via KBA and Chatbot solutions
Tune and refine the AI Bot natural language processing (NLP), workflows and intents, as well as publish new workflows daily
Set KPI’s and meet goals that improve AI Chatbot performance month-over-month
Responsible for maintaining existing reports on Customer Support Cases
Responsible for developing and maintaining new reports and insights
Perform trend analysis, distribute data and insights to drive business decisions within Customer Support
Using Salesforce, Excel, BI, SQL, OBIEE, Tableau or other similar solutions
Teach others how to use data effectively
Maintain knowledge of current and emerging technologies/products/trends related to Bots, AI and analytical tools",None Found,"
2+ years’ experience with Salesforce or similar enterprise reporting tools important
2+ years’ experience with any major chatbot solutions a plus
Strong interest in natural language processing, NLU, machine learning and related fields
Experience working with 3rd party tools/plugins that integrate with analytical tools
You effortlessly use data and business knowledge to find trends, patterns, and new ways to answer key business questions and drive improvements in the customer experience
You can take any data from anywhere and convert that into transportable, automated processes that push the information via channels such as WNS, Notification Services, Ops Data Walls (TV’s), dashboards, and other impactful channels that people can consume in real-time, other than standard reports.
Able to demonstrate that you can enable others to make fast data-driven decisions by comprehending information, spotting patterns, and telling a story so they can make informed decisions, and take appropriate actions
Extremely strong language skills with attention to detail, accuracy, grammar, spelling and phraseology
2+ years’ experience in embedding Machine Learning, Deep Learning, NLP/NLU into applications
2+ years’ experience with developing chatbots or voice assistant solutions (i.e.: Alexa skills)
Having experience with Customer Support methodologies a plus","Sage Intacct is seeking Conversational Designer with a twist to join our Customer Support Operations team. This exciting new role brings together the traditional world of a Data Analytics with the growing and exciting areas of Machine Learning and AI Chatbot Analytics.
As our Conversational Designer (Chatbot Data Analyst), you will have a unique role that is sure to challenge and excite the right candidate. You will work closely with the Customer Support team, Knowledge Program Manager, and Support Operations managing our growing chatbot solutions, working to identify opportunities that drive continuous improvement and effectiveness of our self-service solutions.
The ideal candidate has solid interest in conversational experiences such as Chat/Messenger bots, Slack bots, Alexa bots, etc. as well as a proven ability to deliver meaningful reports and explain complex issues in clear, non-technical language. You are an analytical thinker who is motivated by leveraging data to shape meaningful initiatives to improve our customers’ experiences.
Responsibilities:
Take ownership of the Sage Intacct Chatbot, AI Bot and related tools, expanding the applications across the enterprise over time
Perform weekly analysis of trends in chatbot conversations to identify topics and unanswered questions with the biggest opportunity to automate
Analyze customer support cases to identify new topics to automate and publish via KBA and Chatbot solutions
Tune and refine the AI Bot natural language processing (NLP), workflows and intents, as well as publish new workflows daily
Set KPI’s and meet goals that improve AI Chatbot performance month-over-month
Responsible for maintaining existing reports on Customer Support Cases
Responsible for developing and maintaining new reports and insights
Perform trend analysis, distribute data and insights to drive business decisions within Customer Support
Using Salesforce, Excel, BI, SQL, OBIEE, Tableau or other similar solutions
Teach others how to use data effectively
Maintain knowledge of current and emerging technologies/products/trends related to Bots, AI and analytical tools
Requirements:
2+ years’ experience with Salesforce or similar enterprise reporting tools important
2+ years’ experience with any major chatbot solutions a plus
Strong interest in natural language processing, NLU, machine learning and related fields
Experience working with 3rd party tools/plugins that integrate with analytical tools
You effortlessly use data and business knowledge to find trends, patterns, and new ways to answer key business questions and drive improvements in the customer experience
You can take any data from anywhere and convert that into transportable, automated processes that push the information via channels such as WNS, Notification Services, Ops Data Walls (TV’s), dashboards, and other impactful channels that people can consume in real-time, other than standard reports.
Able to demonstrate that you can enable others to make fast data-driven decisions by comprehending information, spotting patterns, and telling a story so they can make informed decisions, and take appropriate actions
Extremely strong language skills with attention to detail, accuracy, grammar, spelling and phraseology
2+ years’ experience in embedding Machine Learning, Deep Learning, NLP/NLU into applications
2+ years’ experience with developing chatbots or voice assistant solutions (i.e.: Alexa skills)
Having experience with Customer Support methodologies a plus
You Are Also:
Competent working with API’s, DB, Data extracts, and reporting tools
Great with one or more of these tools: Power BI, OBIEE, Tableau etc.
A self-motivated person, a problem-solver, results oriented and delivers on deadlines
A person with excellent organizational skills and follow-through
Highly enthusiastic, positive-minded, customer focused, service-orientated
Someone that has proven success in a team environment and collaborating across teams
Inquisitive and like to experiment with various reporting technologies and have some experience in 1 or more coding languages to deliver creative solutions
You have a bachelor's degree in one of the following areas; Business Administration, Accounting, Management Information System, Math or equivalent experience"
8,Data Analyst,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"GSN Games, the leading developer in mobile and social games, is seeking a Data Analyst with a passion for problem-solving and real world application to join our casual games studio based in Palo Alto and San Francisco.

About the GSN Casual Games Studio:
Our studio consists of a talented group of game artists, designers, engineers, product people and marketers who craft industry-leading mobile games providing very high quality experiences. This studio is the home of Solitaire Tripeaks by GSN, the #1 revenue solitaire game on mobile that has quickly grown into one of the top grossing games on both iOS and Android.

What You’ll Do:
As a Data Analyst in our Analytics group, your goal will be to help the team understand the most important behaviors of our players. You’ll use problem-solving skills, sound logic, and data tools like SQL, in order to identify and evaluate trends, determine real value of team initiatives, and clearly communicate results and outcomes. You’ll work with the entire team and provide analytics grounding to business decisions we make every day. You’ll learn our tables, do ad hoc analysis as requested, help our team figure out what they really should be asking, create dashboards where needed, and generally use our data to be the real backbone of our data-driven culture. Most importantly, you’ll use situational awareness to make sure you understand our game, our funnels, our current KPIs and our player behaviors to make sure that your analyses make sense and help the team learn.

You Will:

Work with marketing, product, engineering, game design, DBAs and other teams to deliver actionable insights into our games in order to improve our user acquisition, engagement and monetization, including creating and updating ad hoc queries and Tableau/Excel/Google Sheet dashboards
Design and implement new analytics events and queries for new game features, game events and player offers, to make sure the team gets the information they need to evaluate and improve the game
Design, implement, organize and analyze advanced statistical testing for specific problem-solving needs (e.g. A/B testing).
Identify problems, anomalies, trends, issues, and opportunities, by looking at the data and coming to your own conclusions
Answer business-related questions through exploratory data analyses and ad-hoc reporting.
Participate in data retention management processes, including defining and updating retention policies and creating/updating tables to optimize data analysis workflow and cost

About You:

BS in Analytics, Business Intelligence, Finance, Statistics or Computer Science, or other analytical discipline
2+ years of experience as a data or financial analyst applying statistical analysis to B2C consumer behaviors (mobile apps, advertising, market activities)
Outstanding problem-solving skills, including the ability to:
analyze situations and determine the best metrics for a situation
conceptualize player behaviors based on data
identify meaningful proxies of player behaviors where data doesn’t exist
Strong work ethic, intellectual curiosity, and drive to complete projects
Experience using SQL, including complex queries from multiple data sources
Experience creating, operating and analyzing multiple simultaneous A/B tests
Strong communication and presentation skills, including extensive use of chart and table tools
Ability to understand and act on changing priorities, and execute multiple competing projects based on business case and expected impact
Familiarity with data and BI presentation tools (Tableau, Excel, pivot tables)

Bonus Points!

2+ years experience (video gaming, e-commerce, consumer entertainment, etc.)
Experience with Python, JavaScript, Java or other programming language
A passion for playing world class mobile, social and casual games a huge plus
Experience in making world-class social/casual/casino games a huge plus

If you’re serious about joining our Puzzle Studio and you enjoy solving problems, we’ll look first at people who can answer these 4 questions:
https://www.surveymonkey.com/r/8WVDYGR"
9,"Senior Data Analyst, Analytics and Data Science","Redwood City, CA 94063",Redwood City,CA,94063,None Found,None Found,None Found,None Found,None Found,None Found,"Shopkick is on a mission to bring delight and reward to the consumer shopping experience. As part of the Trax Retail family, we are a pre-IPO unicorn looking to accelerate our growth trajectory as we partner with major brands and retailers, ranging from H&M and Unilever to Best Buy and Purina, to transform the way people engage with stores and products, both online and in the physical world.

We are in search of a detail-oriented Data Analyst to join our Analytics & Data Science team. If obscure Excel functions permeate your dreams, or you view your life as a series of complex joins, then this might be the role for you. You will be responsible for supporting our various product, marketing and business teams in making better decisions.

What you’ll be doing

Essential duties and responsibilities may include, but are not limited to:


Develop learning plans, recommending analytics approaches to address questions or validate hypotheses, working with marketing, product and business owners
Work with the business stakeholders, to define actionable reporting and visualization requirements
Implement and scale the tools, systems and processes for delivering data and insights to stakeholders & leadership
Challenge assumptions and push teams to ask the right questions, and then deliver the right answers
Take the initiative to find patterns and propose experiments against core product, marketing and business goals
Be a steward of experiment design, analysis and reporting by standardization of success metrics and setting up process
Scale up experimentation by either looking at external platforms or by driving changes to the internal experimentation platform

Some cool projects we are working on currently or are planning to, in 2019, include:


Evaluate & create a better user engagement metric(s): what user behavior is better predictive of strong engagement and retention?
Build a predictive churn model, to identify users at risk of attrition and proactively mitigate the risk
Upgrade our Life Time Value (LTV) model based on the above improvements
Identify High Value Users to build Loyalty program
Assessment of non-digital user acquisition channels (Direct Mail, Radio, TV etc.)

Do any of these pique your interests? If it does, then let’s talk!

Who we are looking for

You are innately curious, a self-starter and multi-tasker. You believe in “Done is better than Perfect”, but also strive to produce the best work possible, in everything you do. You are adept at navigating through organised chaos by approaching things with a logical and analytical mind, using process where needed, while not letting it stall progress if you face blockers. You are a good storyteller, and are able to communicate effectively using oral, written & presentation mediums. In addition, you:


Have the confidence to make quick decisions & the courage to fail forward in doing so
Have 4+ years of experience as a marketing or growth data analyst. Experience with both consumer and advertising technologies is a big plus
In depth knowledge of inferential statistics and experimentation design and analyses
Have the ability to teach a masterclass in query writing and data visualization, with an emphasis on choosing the best approach and tools for the job
Have experience writing complex queries on Google Cloud Platform (GCP) is a big plus
Are comfortable working in scripting languages such as Python and R
Have a strong understanding of hypothesis testing and experiment design
Have a Bachelor’s degree in Statistics, Mathematics, Economics (quantitative) or equivalent
Have awesome stories to tell of the impact you have had on other products and businesses in your career

Before you apply, we encourage you to take a few minutes to read and consider this blog post by our CPO/CTO: https://blog.usejournal.com/getting-the-pm-interview-and-then-cracking-it-94095a69b3c6

Any unsolicited resumes/candidate profiles submitted through our website or to personal email accounts of employees of Shopkick are considered the property of Shopkick and are not subject to payment of agency fees."
