,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Data Analyst, Naturally Slim","Dallas, TX",Dallas,TX,None Found,None Found,"
Bachelor’s degree in Computer Science, Information Systems, or related field
2+ years of database analysis and/or design preferred
Strong competency in Microsoft Word, Excel, PowerPoint, and Outlook is required.","
Self-starter who can handle several work items independently
Eagerness to learn new technologies and technology tools
Results-driven/detail-oriented
Strong analytical, quantitative and problem-solving abilities
Strong customer service skills
Experience working with SQL Server Database and cloud-based Salesforce database
Ability to implement ETL using SSIS
Knowledge of dashboard and reporting tools a positive (Power BI, Conga Composer)
Thorough knowledge of relational database theory and practice
Ability to work both independently and collaboratively with cross-functional teams
Excellent oral and written communication skills",None Found,None Found,None Found,"Does organizing and interpreting data make you giddy? Have you ever worked for a company whose motto is “Work hard, play hard, and love who you do it with,” who’s passionate about challenging you to think differently, and who cares about YOU the employee?
This describes Holmes Murphy to a “T” as well as one of our latest job openings! Plus, did we mention we also have a flexible environment and a competitive benefits and salary package? If this sounds like an awesome opportunity and you think you’re a perfect fit to join our team as a Data Analyst for our Naturally Slim office in Dallas, TX, keep reading! We are seeking an organized, personable, and detail-oriented professional to serve in this role for in our organization.
Duties:
Collaborate with business and IT teams
Work with stakeholders to identify valuable information needed for daily operations
Design and develop custom reports and dashboards for various departments within the organization
Perform ad-hoc data pulls and analysis and present results in a clear manner
Processing, cleansing, and verifying the integrity of data used for reporting and dashboards
Create, maintain and design database diagrams, table relationships, and indexes
Work in ETL, reporting, business intelligence, and workflow tools
Create and modify data queries
Write policies, procedures, and technical documents
Other tasks as assigned by stakeholders in assigned business unit
Knowledge, Skills and Abilities:
Self-starter who can handle several work items independently
Eagerness to learn new technologies and technology tools
Results-driven/detail-oriented
Strong analytical, quantitative and problem-solving abilities
Strong customer service skills
Experience working with SQL Server Database and cloud-based Salesforce database
Ability to implement ETL using SSIS
Knowledge of dashboard and reporting tools a positive (Power BI, Conga Composer)
Thorough knowledge of relational database theory and practice
Ability to work both independently and collaboratively with cross-functional teams
Excellent oral and written communication skills
Qualifications:
Bachelor’s degree in Computer Science, Information Systems, or related field
2+ years of database analysis and/or design preferred
Strong competency in Microsoft Word, Excel, PowerPoint, and Outlook is required.
If you’re ready for a new and exciting opportunity to work for an amazing company and you think you have what it takes to be a Data Analyst for Naturally Slim, apply today!"
1,DALLAS Campus Recruiting 2018 - I&D - Data Analyst,"Dallas, TX 75247",Dallas,TX,75247,None Found,None Found,None Found,None Found,None Found,None Found,"About Capgemini
With more than 190,000 people, Capgemini is present in over 40 countries and celebrates its 50th Anniversary year in 2017. A global leader in consulting, technology and outsourcing services, the Group reported 2016 global revenues of EUR 12.5 billion (about $13.8 billion USD at 2016 average rate). Together with its clients, Capgemini creates and delivers business, technology and digital solutions that fit their needs, enabling them to achieve innovation and competitiveness. A deeply multicultural organization, Capgemini has developed its own way of working, the Collaborative Business ExperienceTM, and draws on Rightshore�, its worldwide delivery model.
Learn more about us at www.capgemini.com.

Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law.


This is a general description of the Duties, Responsibilities and Qualifications required for this position. Physical, mental, sensory or environmental demands may be referenced in an attempt to communicate the manner in which this position traditionally is performed. Whenever necessary to provide individuals with disabilities an equal employment opportunity, Capgemini will consider reasonable accommodations that might involve varying job requirements and/or changing the way this job is performed, provided that such accommodations do not pose an undue hardship.


Responsibilities:

As part of the Capgemini Technology Services Group, this person will be responsible for the full systems lifecycle from requirements gathering through implementation of data analysis solutions. This person will work closely with our clients and must demonstrate professional knowledge to ensure that the work products and deliverables are of the highest caliber to ensure client satisfaction. This person will also apply subject matter expertise to identify, develop, and implement techniques to improve engagement productivity, increase efficiencies, mitigate risks, resolve issues, and optimize cost savings and efficiencies for each client.

Click the following link for more information on your rights as an Applicant : http://www.capgemini.com/resources/equal-employment-opportunity-is-the-law

Qualifications

(Includes Data Modeler, Data Miner.) Responsible for importing, cleaning, transforming, validating and modeling data with the purpose of understanding and drawing conclusions from data (may be presented in charts, graphs, and/or tables). Also, design and develop relational databases for collecting and storing data and build and design data input and data collection mechanisms.

Required Skills and Experience:

You are responsible for data related activities such as data extraction, profiling, cleansing, de-duplication, standardization, conversion, transformation and loading, data mining, warehousing, archiving and reporting. Responsible for all activities required to ensure optimum performance and data integrity of databases in production environments, in line with the requirements. Responsible for providing support of server based databases in development and test environments including database software installation, database creation, performance and capacity design, backup and recovery design, security design, providing Analytical feedback as appropriate.

Qualifications: 1-4 years experience, Bachelor’s Degree.
Should have progressing skills in Software Engineering Techniques, Software Engineering Architecture, Software Engineering Lifecycle and Data Management.
Should have baseline skills in Business Analysis, Business Knowledge, Software Engineering Leadership, Architecture Knowledge and Technical Solution Design."
2,First Mortgage Pricing Analyst III,"Plano, TX 75024",Plano,TX,75024,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:
Responsible for performing more complex analysis and modeling for multiple products with the goal of maximizing profits and asset growth and minimizing risk and operating losses and/or other financial and marketing exposures. Develops complex program models to extract data and uses multiple databases to acquire statistical and financial data. Utilizes portfolio trends to propose policy/procedural changes within segmentation structure to produce optimal results. Excels at risk/reward trade off. Build relationships with external agencies. Participates in the rollout of company-wide pilot programs developed as a result of programmed models. Duties primarily include the regular use of discretion, independent judgment, the ability to communicate with multiple levels of management and the utilization of core leadership behaviors. SAS and/or MicroStrategy experience preferred; 2-5 years experience preferred.
Additional Job Description
Responsible for reviewing and pricing products and services. Analyzes the profitability of the client and/or specific services, works up pricing recommendations, and implements and verifies pricing. Must work closely with Product managers on pricing strategies and involve Product managers on deals when necessary. Is responsible for communicating with sales officers and addressing pricing questions and/or issues from the Sales team. Must also be aware of the deal size and arrange for senior management approval calls. May act as an individual contributor or may lead a smaller team in developing and/or influencing pricing strategies and profitability. Provides comprehensive solutions to complex problems or needs. Has extensive technical or functional knowledge of pricing strategies and models.
Required:
Must have 1st Mortgage Pricing Experience
Advanced Microsoft Sql Server
Advanced Microsoft Excel
Experienced data analyst. Able to perform root cause analysis on data and clearly summarize findings.
Ability to perform end-to-end data analysis, from developing queries to pull data, performing analysis on data, to developing managerial level summary of findings.
Critical thinker; ability to solve complex and sometimes ambiguous problems.
Good Communication Skills (Written and Verbal)
Preferred:
Experience developing executive level presentations in PowerPoint
SharePoint Maintenance and Development
Experience with SSIS Package, Visual Studio, VBA and Visio
Tableau or Micro Strategy experience
Finance Background
Shift:
1st shift (United States of America)
Hours Per Week:
40"
3,Agile Software Development Business Analyst,"Addison, TX 75001",Addison,TX,75001,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:Facilitate discussions related to developing technical requirements for systems that support business processes; translate business requirements into technical requirementsActively participate in the creation of technical requirements; at times, owning the publication of those requirements
Developing use cases to explain/ demonstrate specifications to business partnersSupport ad hoc report and/or ad hoc strategic efforts/projectsSupport weekly, monthly and quarterly routinesPartnering closely with technology team to elicit and document the functional requirements, generating process/data flow diagrams, and crafting user guides
Desired Experience8+ years process design and/or technology developmentStrong business partnering experience / skills including the ability to interact, communicate and influence equally well at all levels of the organizationAbility to deliver high quality work in a dynamic environment with overlapping deadlines and tight time constraints
Ability to effectively juggle multiple high priority activities and deliver in a fast paced environmentStrong data analytics skillsMS Office proficiency (Outlook, Excel, Power Point, Word, Visio); ability to quickly learn how to use new toolsProven ability to think strategically and execute tacticallyMotivated self-starter who can deliver results with minimal directionHighly organized and motivated to deliver results with minimal direction
Creative and proactive problem solver – ability to understand what the team needs and offer suggestions above and beyond what they desire
Naturally curious individual with the ability to quickly become the authority in the various procedures, data and systems used by the teamExperience writing user stories for Agile development (user story and acceptance criteria)Knowledge of software acceptance testing including regression testingExperience with end-to-end Change Management and DeliveryWorking knowledge of Agile or Waterfall methodology and a deep understanding of various phases of the Software Development Life Cycleprior software development/coding experience a plusInformation Security, Auditing, or Control Function background is desired, but not required
Bachelor’s degree from an accredited institution (Not Required but you can list as desired or helpful. Also, equivalent/related work experience)
Shift:
1st shift (United States of America)
Hours Per Week:
40"
4,Logistics Data Analyst,"Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"HollyFrontier Corporation is seeking a Logistics Data Analyst in our Dallas, TX office. The Logistics Data Analyst will work with the global logistics team to identify, develop, and communicate key operational performance metrics. The Logistics Data Analyst will support network optimization efforts by building and maintaining optimization tools to drive key business decisions and identify improvement opportunities in the existing logistics network. The Logistics Data Analyst will also analyzes impact of business changes and provide analytical support for RFQ’s, RFP’s and RFI’s as needed.
This position is not eligible for International Relocation Program benefits.
ESSENTIAL JOB DUTIES/RESPONSIBILITIES: (functions considered essential as defined by ADA)
Identify data sources, develop integrated KPI tools and methodology.
Identify, track, and report regularly on key operational performance metrics.
Develop quantitative analysis, ad-hoc reports, and models to support key operations decisions, including process optimizations and logistics management.
Compile and create reports, graphs, charts, documents and slide presentations using Microsoft PowerPoint, Excel, Word, and Tableau.
Design, build, and maintain optimization tools to identify global supply chain network opportunities and determine optimal distribution sites.
Develops metrics and track the success of key projects.
Supports supplier/carrier relationship management process, supplier/carrier performance reviews, and supplier/carrier development initiatives by providing data driven vendor scorecards.
Provides savings tracking activities and reports realized savings; ensures realized savings tie back to departmental budgets.
Researches and extracts logistics data from HollyFrontier systems and creates meaningful reporting to identify trends, performance metrics and issues.
Leverages use of SAP, Transportation Management Systems and related technologies to create logistics analytics .
Compile and distribute monthly logistics financial reports by business unit.
EXPERIENCE:
A minimum of 5 years of experience in Logistics, Procurement, Transportation, Finance, or Supply Chain is required.
PREFERRED EXPERIENCE:
A minimum of two (2) years experience in oil and gas refining, chemicals, energy, and/or heavy manufacturing industry is preferred.
EDUCATION:
A minimum of a Bachelor’s Degree in Business Administration, Supply Chain or quantitative/analytical related field, or equivalent work experience in lieu of a degree, is required.
REQUIRED SKILLS:
Advanced proficiency in Microsoft Office applications including Excel (e.g., V-Lookup, pivot tables); written and verbal communication; and strong analytical skills
Ability to analyze large, complex data sets using a variety of software and tools
Experience using network modeling software and understanding of network optimization methodology
Analytical and detail oriented
Projects comfort and credibility across organization
Strong organization and problem solving skills as well as the ability to work independently with changing priorities
Ability to communicate with others, both written and verbal communication and across multiple department lines
Advanced reading and writing skills, and ability to perform complex mathematical calculations
Embraces fact-based decision making; naturally seeks to leverage and/or integrate market data, spend analytics, and cost modeling
Able to connect and build long-term trusting relationships with internal and external stakeholders
Excellent teamwork and collaboration skills; strong listening skills; naturally inclusive in decision-making environments
Easily accepts constructive input from others
Aptitude for, and/or interest in, the operational and technical challenges common to a major refining and lubricants company
Works well in multi-regional settings; able to facilitate teamwork across boundaries
A flexible, dynamic, self-demanding and proactive individual; able to motivate themselves and others
PREFERRED SKILLS:
Knowledge of logistics spend categories. Experience with SAP (BI, BPC) and logistics systems (TMS, Freight Audit and Payment, Sourcing). Tableau, SQL and advanced database querying and analysis experience preferred.
WORK CONDITIONS:
Office based with travel required up to 20% by land and air with occasional visits into a refinery environment. Subject to varying road and weather conditions.
ENVIRONMENTAL, HEALTH, & SAFETY RESPONSIBILITIES:
Our primary values at HollyFrontier are: We put health and safety first; We care about the environment.
All HollyFrontier employees are expected to work safely every day and be safety & environmental leaders. This includes active participation in the following:
Stops and/or reports any unsafe work or conditions
Follows safety & environmental policies and procedures
Supports safety & environmental goals and initiatives
Participates in safety & environmental meetings, training, emergency drills and hazard recognition programs
Reports all accidents, injuries and near misses, and participates in associated investigations
Participates in industrial hygiene, medical surveillance and behavior based safety programs
About HollyFrontier Corporation
HollyFrontier Corporation, headquartered in Dallas, Texas, is an independent petroleum refiner and marketer that produces high value light products such as gasoline, diesel fuel, jet fuel and other specialty products. HollyFrontier owns and operates refineries located in Kansas, Oklahoma, New Mexico, Wyoming and Utah and markets its refined products principally in the Southwest U.S., the Rocky Mountains extending into the Pacific Northwest and in other neighboring Plains states. In addition, HollyFrontier produces base oils and other specialized lubricants in the U.S., Canada and Netherlands, and exports products to more than 80 countries. HollyFrontier also owns a 57% limited partner interest and a non-economic general partner interest in Holly Energy Partners, L.P., a master limited partnership that provides petroleum product and crude oil transportation, terminalling, storage and throughput services to the petroleum industry, including HollyFrontier.
Join HollyFrontier where you have the opportunity to develop and own your career!
HollyFrontier Corporation is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, veteran status or any other prohibited ground of discrimination.
#LI-CM1"
5,Business Analyst,"Plano, TX 75074",Plano,TX,75074,None Found,None Found,None Found,None Found,None Found,None Found,"Job purpose
KT&G USA is headquartered in Plano, Texas. We currently ship our
products to 40+ States through 450+ distributor partners and are ranked as the
5th largest tobacco manufacturer in the U.S.A . We stand behind our products,
value our people and strive to offer all our customers and business partners,
best in class service.
Duties and responsibilities
The Business Analyst
will work within the Marketing department
at KT&G USA headquarters in Plano, TX. Reporting directly to the Director
of Operations. The position will focus on forecasting projections, analyzing and
reporting data for the company, ensuring that all data purchased are compliant
according to the company’s guidelines.
Drive current and future firm strategy by leveraging you analytical skill
Build and use models to test and validate data
Generating useful business reports and analyzing data to obtain
crucial information for firm management
Using data to create models that depict trends across the firm
Identifying and implementing process, data, and reporting improvements for the firm
Working with large and complex databases
Compiles Forecasts and Meets with Operations/Sales Directors to gather information to bring to the planning team
Ad Hoc report data analysis (as needed).
Analyze MSA data.
Monitor in weekly basis the performance of the assigned KPI’s and identify root causes, corrective and preventive actions for low performance results
Maintain in weekly/Monthly basis the results of the assigned KPI’s in the official template.
Qualifications
SQL
Relational database and data analysis
Oracle and Unix
Experience with third party reporting and master data management tools
Highly detail oriented
Comfortable in learning new analytical techniques.
Able to interpret the data generated and present the findings in a concise manner.
Able to work independently, but also as part of a team when needed.
Expert in MS. Office, particularly Excel
Prior experience using Sales Force or other CRM platforms
Previous experience in analyzing (preferred)
Strong interpersonal, written, and oral communication skills.
Self-motivated with ability to work with minimal direction to prioritize and execute tasks.
Ability to sit for extended periods of time in front of a computer screen
Education
Bachelor’s Degree in a quantitative
field (Business, Math, Economics, Finance, Statistics, Science, Engineering)
Benefits
Enjoy a competitive
salary commensurate with the experience and responsibility requirements.
Excellent employee environment with a competitive benefits package including:
Annual Merit Increase
Incentives based on performance
Health insurance
Dental insurance
Vision insurance
Paid Time Off"
6,SAP Master Data Analyst,"Irving, TX 75062",Irving,TX,75062,None Found,None Found,None Found,None Found,None Found,None Found,"The Company and the Role:
Lehigh Hanson is one of the largest construction materials companies in North America with more than 550 active operations in the U.S. and Canada. Our core activities include the production and distribution of cement and aggregates, the two essential raw materials in concrete. Lehigh Hanson companies also produce ready-mixed concrete, asphalt and other concrete products.
Lehigh Hanson is part of the HeidelbergCement Group, a global leader in aggregates, cement, concrete, and other downstream activities. The Group employs over 60,000 people at more than 3,000 locations in 60 countries.

Reporting to the SAP Process Stream Leads with a dotted line to the SAP Master Data Director. Ensuring all SAP master data information is processed and created accurately. Must work hand-in-hand with the business, SAP Project Team, IT and Global process owners across multiple business lines and with multiple end-to-end process working teams.

While focusing on developing data migration strategy and standards, you will begin your career with an industry leader.

This position will reside in Irving Texas. Our corporate office supports the Lehigh Hanson plants in North America and offers a competitive benefits package that includes a 401(k) savings plan with company match, tuition reimbursement, and employee purchase program. Amenities include an on-site deli, free covered parking, and free fitness center.

Equal Opportunity Employer – Minority / Female / Veteran / Disabled

What you’ll get to do:

Work with process teams to discuss business rules for data conversions
Apply Data quality governance for SAP master data through data coordination and integration to ensure efficient processes and consistent data flows to business and stakeholders
Focusing on Continuous improvement with master data
Ensures data integrity and compliance by performing data cleansing, data audits, and data validation
Strict adherence to master data rules, procedures and governance
Creation of new SAP master data
Performs root-cause analysis on master data-related system problems and recommends or executes corrective action
Collaborates with the SAP support team in the creation and implementation of new or revised designs that affect master data

Who we are looking for:

Strong knowledge of SAP data ecosystem for functional area
Detail oriented
Ability to multi-task and prioritize
Strong oral and written communication skills
Must Function well in a team environment and be able to function productively within an ambiguous work environment
3 or more years’ experience working with SAP master data including data quality clean-up
SAP experience required
Equal Opportunity Employer - Minority / Female / Veteran / Disabled"
7,Network Data Scientist,"Richardson, TX 75081",Richardson,TX,75081,None Found,None Found,None Found,None Found,None Found,None Found,"What you’ll be doing...
You believe data can help reshape the future and you love to dig into the details. Coming up with recommendations that have a big impact is motivating to you. Communicating with others comes naturally to you and you have a knack for explaining complex data in a way people can relate to. Your natural curiosity to solve complex issues serves you well as you enjoying seeing the results of your hard work.As new/existing tools evolve over time, your ability to quickly adapt and learn is key to long-term solutions.
Establish reporting dashboards with multi-dimensional layers for high level summary to detailed widget info.
Will utilize Tableau for data analysis and/or SQL Scripting is a plus.
What we’re looking for...
Data drives our business and analytical tools allow us to have the ability to visualize and make sense of its meaning and intent. Having the ability to utilize current tools and applications as well as the capability to quickly adapt to new tools and applications will be critical to successfully implementing the needed solutions to our business.
You’ll need to have:
Bachelor’s degree or four or more years of work experience.
Six or more years of relevant work experience.
Willingness to travel.
Even better if you have:
A degree in Computer Science, Mathematics, or Applied Statistics.
Experience in Splunk business intelligence/visualization software.
Experience in Java, Spotfire, OBIEE, SQL Query, and/or Tableau.
Splunk certified power-user or higher certification.
Splunk deployment, custom application development and infrastructure planning experience.
Experience with Hadoop cluster utilizing map/reduce including Pig, Hbase, Hive, Spark, Storm, and Scoop.
Relational database experience, including Oracle.
Experience in a Data Analyst and/or Software Development role.
Experience in Data mining, preparation and modeling.
Experience in Statistical analysis language.
Experience with Data preparation tool.
When you join Verizon...
You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.
Equal Employment Opportunity
We're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better."
8,Network QA Engineer -Performance Assurance,"Plano, TX",Plano,TX,None Found,None Found,None Found,Bachelor’s Degree is EE/CS is required,None Found,Bachelor’s Degree is EE/CS is required,None Found,"As a Performance Engineering Services – Data Analyst Your principal responsibility is to participate within the Performance Assurance Monitoring assisting other team members with SQL queries automation necessary to extract, transform, or load data as part of integration and analysis development. You will be responsible to cooperate with Operations/ IT team to deploy software and hardware upgrades that make it possible for us to leverage big data use cases. You will be responsible for utilizing a variety of reporting tools and software (Tableau and Business Objects), develops queries to generate reports and/or gather data from multiple sources. Focuses on client needs in defining data requirements and retrieving accurate information reporting requirements from start to finish to minimize future revisions. Also, you will be responsible for the identification, analysis, and diagnostics of wireless telecommunications networks performance characteristics. You will be responsible for monitoring KPIs, spotting trends, and correlating metrics across a diverse network infrastructure. You will answer technical questions as well as day to day operational questions. You will work independently with limited guidance to accomplish goals and objectives.
Specific Responsibilities include:
Comprehensive knowledge of database administration (design, installation & troubleshooting)Experience performing indexes and stored procedure tuning; handling security, backups and recovery.Extensive familiarity with SQL queries.Analyze and address database resource contention issues including inefficient queries.Analyze, design, build and support current and new data feeds from various data sources to the data warehouse.Writes and modifies SQL queries, Views and stored procedures for Automation producing reports that track KPIs performance metrics and systematizes automated reporting processes.Build dashboards (using Tableau, Python and other BI tools) that illustrate how key performance indicators (KPIs) and metrics are changing over time.Develop presentations to communicate findings to internal and external customers.Exercise judgment within generally defined practices and policies in selecting methods and techniques for obtaining solutions and results.Present ideas, technical and non-technical, in a logical, compelling manner in a written format and verbally in both small and large group settingsWork with the Network Engineering and Operations Teams on the cell site’s antenna and RF equipment configuration and database parameters
Background & Competencies Required:
Bachelor’s Degree in Computer Science or Electrical Engineering; Master’s Degree a plus; 5-10 years’ work experience in the wireless industry3+ years of experience developing SQL/Oracle server objects e.g., store procedures, tables, triggers, views and functions.3+ years of experience developing Oracle server objects e.g., store procedures, tables, triggers, views and functions.3+ years of experience with at least one of the common industry data visualization tools (Tableau, Spotfire, Business Objects, Power BI, etc.) for data correlation, analysis, reporting, etc.3+ years of experience of wireless network KPI monitoring, trouble shooting and optimization, prefer with wireless infrastructure providers and /or operators.Strong knowledge on 3G/4G/5G KPI definitions and formulas; good understanding of 3GPP protocols.3+ years hands on working experience with one of more wireless EMS system; building analysis reports using CM/PM/FM dataAdvanced working knowledge of Base Station Vendor equipment (Samsung, Alcatel Lucent, Ericsson)Demonstrated problem solving skills via prior work experience.A solid understanding of RF fundamentals and data network protocolsMust have a strong work ethic, integrity and work extremely well in a team environmentMust have an aptitude for creativity and innovationProgramming knowledge and experience a plus: SQL, Python, RDatabase design and administration a plus3+ years working experience with one of more EMS system; Advanced working knowledge of Base Station Vendor equipment (Samsung, Alcatel Lucent, Ericsson)Advanced working experience on Microsoft Excel, PowerPivot, PowerPointStrong interpersonal communication skillsProven ability to manage multiple priorities in a fast paced environmentTableau Desktop Certified Professional Certification (preferred)Python (preferred)Database Administration Certification(preferred)Bilingual in Korean (preferred)
Primary Skills
Data Analyst, SQL/Oracle server objects e.g., store procedures, tables, triggers, views and functions. one of the common industry data visualization tools (Tableau, Spotfire, Business Objects, Power BI, etc.) for data correlation, analysis, reporting, etc.
experience with one of more wireless EMS system; building analysis reports using CM/PM/FM data
Python experience preferred
Education
Undergraduate Degree in engineering with 10-12 years of directly related experience is required. A Masters with 10+ years’ experience is preferred
Bachelor’s Degree is EE/CS is required"
9,Senior Analyst Business Operations,"Richardson, TX 75081",Richardson,TX,75081,None Found,None Found,None Found,None Found,None Found,None Found,"What you’ll be doing...
Verizon is in the process of modernizing our core networks to enable new, groundbreaking products and technologies. This new 'Intelligent Edge Network' leverages virtualization and software defined networking and will transform how we provide products and service, and maintain our position as the industry leader. Verizon is seeking motivated and driven Engineering professionals to support the Intelligent Edge network. In this position, you will be responsible for.”
This position within the Wireline Engineering Core Equipment Engineering Team will be responsible for collecting, tracking and analyzing network project and program level data from multiple sources and IT systems. You will be responsible for the following:
Interpret data, analyze results using statistical techniques and provide ongoing reports.
Acquire data from primary or secondary data sources and preserve the data integrity of these sources.
Identify, analyze, and interpret trends or patterns in complex data sets.
Work with management to prioritize business and information needs.
Locate and define new process improvement opportunities garnered from the data analysis.
Summarize, group and visualize data sets and information for management and executive review.
What we’re looking for...
You’re analytical, organized, and detail oriented. A self-starter and quick learner who can work independently, but you’re also great to have on a team. You’re no stranger to a fast-paced environment and tight deadlines, and you adapt to changing priorities and juggle multiple projects with ease. You take a lot of pride in your work, and that’s why people count on you to deliver.
You'll need to have:
Bachelor’s degree or four or more years of work experience.
Three or more years of relevant work experience.
Even better if you have:
BA/BS degree with a concentration in MIS, IT, Project Management, or relevantwork experience.
Experience as a data analyst or business data analyst.
Technical experience regarding data models, data mining and segmentation techniques.
Knowledge of and experience with reporting packages Oracle OBIEE 12g, SQL, Tableau, Power BI.
Knowledge of statistics and experience using statistical software for analyzing datasets.
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.
Intermediate SQL skills for use in data analysis, issues research, and data quality assurance.
Team player with experience working with business users; will report to an Associate Director.
When you join Verizon...
You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.
Equal Employment Opportunity
We're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better."
