,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Analyst,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"In this role you will:
Use data to drive business decisions across multiple organizations within the company
Design, automate, and optimize pipelines, dashboards, and insight delivery methods
Support ideation of new features and business initiatives from beginning to end by evaluating potential impact, implementing new tracking, and performing post analysis
Conduct ad hoc analyses as well as deep dives with a focus on growing and improving the business
Recommend improvements and optimizations highlighted by data across all elements of company’s activities and eco-system
Become an expert of our data and evangelize data driven decision making
Be flexible to manage other assignments as they come up
We are looking for:
2+ years experience in data analytics, ideally in e-commerce or at a startup
Mastery of SQL
Excellent communication and relationship building skills with an ability to prioritize, negotiate, and work with a variety of internal and external stakeholders
A quick learner, a self-starter, able to work independently, and you're willing (and able) to handle the pressures of an increasing level of responsibility
Benefits and perks:
Join the early team and work closely with founders on all aspects of the company
Medical, dental and vision coverage
Competitive salary and generous equity grants
Daily catered lunches from LA’s best restaurants
Unlimited vacation"
1,Sales and Marketing Data Analyst I,"Los Angeles, CA 90017",Los Angeles,CA,90017,None Found,None Found,None Found,None Found,None Found,None Found,"Established in 1997, L.A. Care Health Plan is an independent public agency created by the state of California to provide health coverage to low-income Los Angeles County residents. We are the nation’s largest publicly operated health plan. Serving more than 2 million members in five health plans, we make sure our members get the right care at the right place at the right time.

Mission: L.A. Care’s mission is to provide access to quality health care for Los Angeles County's vulnerable and low-income communities and residents and to support the safety net required to achieve that purpose.

Job Summary

The Sales & Marketing Data Analyst I will assist with compiling and organizing sales and marketing data, to identify key trends and opportunities for optimization work and decision making. Provide weekly reporting to the Sales and Marketing Leadership team, conduct basic analysis to gain deeper insights for Sales opportunities by maintaining the functional areas of data management, forecasting, leads, dashboards, reports, and ensuring the data integrity throughout the CRM system. This position will be responsible for creating the metrics to evaluate sales efficiency and productivity and will establish an effective ongoing analysis of sales trends and performance to identify opportunities for increased sales. This position will assess and consolidate information, perform ad hoc reports, and provide data support for business decision for the department, support technical projects such as using GIS-Mapping for territory analysis, webpage building and maintenance for Sales; create advanced MS Office files; technical assistance and training to other users.

Duties
Assists with preparing sales forecasts and collects and analyzes data to evaluate current sales goals. Assists in the development of sales quotas and forecasts for the sales team. Recommends changes to current sales techniques, procedures or promotional efforts based on market research and new trends.

Recommends strategy for targeted marketing campaigns and is responsible for data extraction and list or lead generation. Help segment and manage lead data and QA new process updates and automation. Assigns prospective leads to sales teams.

Develops and generates data required for weekly/monthly/annual reports and other ad hoc reports. Assists in development of new reports. Assess, researches and confirms reports requests. Provides compliance reports as needed.

Assist in developing or implementing systems to capture business operations information.

Performs routine business analysis using various techniques and ensures that the database is updated and maintained in a timely fashion.

Recommends revisions to policies and procedures to meet sales and marketing compliance requirement by CMS/DHCS/Covered CA.

Perform other duties as assigned.

Education Required
Associate's Degree
In lieu of degree, equivalent education and/or experience may be considered.
Education Preferred
Bachelor's Degree
Experience
Required:
At least 0-2 years in industrial and systems engineer, health care administration, mathematics, statistics or related field.

Experience with database programming languages such as SQL, data manipulation, data visualization tools, data management application.

Sales data experience.

Experience creating / maintaining MS Access databases, maintaining/upgrading CRM (GoldMine/Salesforce), creating basic webpages, and creating MS Excel Reports. HTML and SQL experience.

Experience providing database support, strong extensive experience in multiple database environments and versions.

Skills
Required:
Knowledge of and the ability to store and transfer an organization's data effectively, in order to meet business needs.

Knowledge of marketing and sales and product lines: Medicare, Medi-Cal, Covered CA, Cal MediConnect.

Excellent analytical, critical thinking, and problem-solving skills.

Excellent multi-tasking and organizational skills.

Strong Word and PowerPoint skills; Advanced Excel and Access skills;Proficient CRM skills.

Excellent interpersonal skills. Displays a positive attitude and professional image at all time.

Strong written and verbal communication skills.

Ability to approach tasks with a sense of urgency and meet deadlines.

Knowledge of how to collect data from different information sources and distribute them to users.

Ability to use this information to simplify information systems and make sound business decisions.

Knowledge of and the ability to establish a data model for an organization's database in order to effectively manage information.

Knowledge of Information Architecture and Information Management (IM) Methodology.

Licenses/Certifications Required
Licenses/Certifications Preferred
Required Training
Additional Information
L.A. Care offers a wide range of benefits including
Paid Time Off (PTO)
Tuition Reimbursement
Retirement Plans
Medical, Dental and Vision
Wellness Program
Volunteer Time Off (VTO)"
2,Data Analyst Intern,"Los Angeles, CA 90064",Los Angeles,CA,90064,None Found,None Found,None Found,"
 Analyzing project/product needs, anticipating and collecting requirements, uncovering areas for improvement and suggesting solutions to the Engineering team
Performing independent research of medical concepts, competition landscape and regulation affairs regarding medical devices, and organizing and presenting findings to the R&D team
Documenting supportive materials of product development, deployment and maintenance which includes but not limited to product manuals and sprint meeting records
Analyzing medical records data (EMR) and product usage data
Collecting product/project needs by communicating with Chinese and U.S. medical professionals and other collaborators
Performing simple feature and product testing and working closely with developers for refinements
Gathering critical information from meetings with various stakeholders and producing useful reports",None Found,None Found,"Job Description

We are hiring a Data Analyst Intern to join our product team. You will work alongside Software Developers, Data Engineers and Machine Learning Engineers and report directly to project managers. Your main tasks include performing detailed requirements analysis, documenting supporting materials, performing software testing and simple analytics to multiple product/projects. To succeed in this role, you should have a natural analytical thinking, be well organized and be able to explain difficult concepts to non-technical users especially medical professionals.
Responsibilities:
 Analyzing project/product needs, anticipating and collecting requirements, uncovering areas for improvement and suggesting solutions to the Engineering team
Performing independent research of medical concepts, competition landscape and regulation affairs regarding medical devices, and organizing and presenting findings to the R&D team
Documenting supportive materials of product development, deployment and maintenance which includes but not limited to product manuals and sprint meeting records
Analyzing medical records data (EMR) and product usage data
Collecting product/project needs by communicating with Chinese and U.S. medical professionals and other collaborators
Performing simple feature and product testing and working closely with developers for refinements
Gathering critical information from meetings with various stakeholders and producing useful reports

Qualifications

B.S. degree in business or science major, bio/pre-med strongly preferred.
Excellent communication skills, bilingual (Chinese and English) preferred.
Exceptional analytical and conceptual thinking skills, must be a quick learner
Excellent documentation skills
Engineering background, especially software development experience, is preferred
Competency in Microsoft applications including Word, Excel and PowerPoint
Excellent planning, organizational and time management skills
Proficiency in Python / R / SQL or similar programming language is a plus.
Based in or near Los Angeles: this position is for our LA office.
Additional Information

All your information will be kept confidential according to EEO guidelines."
3,Marketing Analytics – Data Analyst,"Brea, CA",Brea,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Position Summary:
The primary job function, under general supervision, is to work with the various functional areas (UW, Claims, Marketing, Advertising) in an effort to provide data-driven analysis of our many processes. This position will require a solid background of statistical concepts and statistical tools. The employee will conduct analysis using statistical techniques in order to extract information from data, which will be of value in process efficiency and product design. Employee must have a passion for problem solving, comfort with ambiguity and the ability to think conceptually, analytically and creatively, and will be expected to manage projects and program execution of high complexity.

Essential Job Functions
Analyzes data available and identify issues and opportunities in different business areas. Understands the processes in departments (UW, Claims, Marketing, Advertising, etc.). Creates statistical models to generate insights on different business issues, and provide suggestion on approaches to problems. Conducts small-scope project work as assigned and performs ad hoc analyses. Works independently with guidance and direction from advanced level analysts and management. Participates in discussions with colleagues regarding analysis needs. Reviews and discusses analyses with colleagues and managers as necessary. Supports projects by applying general knowledge of the business area processes, including best practices. Provides analysis to better understand implementation options for analytical models / procedures, and work closely with other groups through implementation processes.
Retrieves data from various sources and prepares data for analysis. Reviews data for accuracy and revises methods of data retrieval when necessary. Prepares basic reports, graphs and charts based on research and analyses. Analyzes algorithms using intermediate SAS programming and MS Excel. Create procedures to streamline analysis procedures. Provides suggestions for process improvements and/or goal changes. Develops and designs presentations to show findings of analyses. Develops spreadsheets and tools for management use. Serves as a contact for basic reporting needs/issues regarding various data.
Communicates proactively, clear and consistently with SME’s and Management in the various functional areas in order to understand each job function. Through this communication, the employee will be expected to increase the breadth of his/her understanding of the processes associated with these functions, and of the various KPI’s that drive business results in each area and overall.
Creates presentations breaking down problems identified, potential solutions. May attend management meetings to present findings and recommendations. Employee should have a strong background in creating and explaining meaningful graphs and also be skilled at assembling and presenting PowerPoint presentations.
Education:
Worker characteristics are normally acquired through the successful completion of a Bachelor's in an analytical concentration, such as math, statistics, engineering, etc. Master's Degree recommended.
Experience: 2 years experience in insurance analytics 2 years experience in P&C product research and development 2 years experience in risk management and modeling in financial service industry
Knowledge and Skills
Knowledge of SAS, SPSS, and/or other statistical softwares required.
Knowledge of statistics and general model building / validation procedures required.
Intermediate-level skills in MS Excel and MS Access required.
Strong data skills and ability to work with massive datasets.
Familairity with CRM, Direct & Digital Marketing, and/or Database Marketing
Good problem solving skills required.
Good analytical and critical thinking required.
Good written and verbal communication skills required.
.
Experience
Preferred
4-5 years experience in marketing analytics, Familairity with CRM, Direct & Digital Marketing, and/or Database Marketing in lieu of Masters degree"
4,Media Data Analyst,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,"Strong proficiency with MS Excel, PowerPoint or Keynote are a mustExperience/familiarity in ad-serving and web analytics tools (Google DFA, Atlas, Google Analytics, Omniture, etc.)Experience or familiarity with syndicated research sources/tools (MRI, Simmons, Scarborough, IMS, Nielsen, comScore)Experience or familiarity with digital ad effectiveness researchExperience or familiarity with visualization tools such as Tableau/QlikView are a plusExperience/familiarity with concepts of database design and SQL are a plusFamiliarity with web technologies including HTML and Java script",None Found,"Bachelor’s degree in Statistics, Math, Business, Marketing, Economics, Social Science or other related field of study is required at a minimum","1-3 years of experience working with data driven field, utilizing quantitative techniques to solve problems such as campaign analysis, optimization, customer segmentation, and/or predictive modelingA strong desire to learn and passion for digital marketing, research and analyticsAbility to work well with others and work in cross functional teamsAbility to manage and prioritize a number of concurrent tasks in a fast-paced environmentAbility to clearly explain complex technical ideas to multiple audiences both verbally and in writingStrong attention to detail","Los Angeles, CA (Local Candidates Only)
At Bloom Ads, we provide our clients with powerful and innovative media strategies, along with big ideas that are driven by insights. Blooms’ data science practice is at the forefront of this process, helping to uncover these insights via sophisticated and rigorous data analysis.
As an Analyst you will develop compelling actionable insights through quantitative analysis, innovative thinking, and storytelling with data. You will work a to identify new reporting needs, automate recurrent report requests where possible, identify data trends, and propose changes to improve the quality of the information that is processed. You will contribute to the delivery of smart marketing and strategic advice through the combination of data & insight.
Areas of Responsibility:Production of campaign reports and analyses according to measurement plansDevelopment of observations and actionable insights around campaign resultsData Storytelling of results and analyses in presentation decks/slidesConsolidation of learnings across similar campaignsIdentification of opportunities to automate any/all analyses and identify processes for efficienciesMaintenance of data systems and processes used for reporting and on-going data analysisDevelopment of Dashboards in visualization tools such as TableauOn-going data QA to ensure data used for reporting and analysis is accurate
Education:Bachelor’s degree in Statistics, Math, Business, Marketing, Economics, Social Science or other related field of study is required at a minimum
Requirements:1-3 years of experience working with data driven field, utilizing quantitative techniques to solve problems such as campaign analysis, optimization, customer segmentation, and/or predictive modelingA strong desire to learn and passion for digital marketing, research and analyticsAbility to work well with others and work in cross functional teamsAbility to manage and prioritize a number of concurrent tasks in a fast-paced environmentAbility to clearly explain complex technical ideas to multiple audiences both verbally and in writingStrong attention to detail
Desired Technical Skills:
These technical skills are listed to give you a general idea about the tools and techniques we use. The tools and techniques you will be using in your specialization unit will be a subset of the below.
Strong proficiency with MS Excel, PowerPoint or Keynote are a mustExperience/familiarity in ad-serving and web analytics tools (Google DFA, Atlas, Google Analytics, Omniture, etc.)Experience or familiarity with syndicated research sources/tools (MRI, Simmons, Scarborough, IMS, Nielsen, comScore)Experience or familiarity with digital ad effectiveness researchExperience or familiarity with visualization tools such as Tableau/QlikView are a plusExperience/familiarity with concepts of database design and SQL are a plusFamiliarity with web technologies including HTML and Java script
About the Company:
At Bloom Ads Global Media Group, we are obsessed with bringing innovative perspective to our carefully crafted media plans by creating stories that resonate with today’s consumer. Since our agency’s founding we have had a distinct focus on results and accountability. Our clients get the attention of a boutique advertising agency and the support of a big fish firm without the big fish fees.
To apply, please send your resume, cover letter and salary requirements to hr@bloomads.com and use “Applying for Media Data Analyst at Bloom” in the subject line.
Note: Some light travel in personal vehicle, is required in this position. The preceding functions have been provided as the types of work performed by the employees assigned to this job classification. Management reserves the right to add, modify, change or rescind the work assignments of different positions and to make reasonable accommodations so that qualified employees can perform the essential functions of the job. This job description does not promise or imply that the functions listed are the only duties to be performed or that the position may not change or be eliminated."
5,Senior Data Analyst - HEDIS and Medicare Star,"Long Beach, CA",Long Beach,CA,None Found,None Found,None Found,None Found,None Found,None Found,"5+ years of analytical experience, including a 2 - 3 years healthcare data analysis experience.
Superior analytical skills required.
Ability to effectively interact with, and present findings to customers at all levels of the organization including operational managers, medical directors and executives required.
Advanced SAS data step, SAS macro language, and other SAS procedures required.
Proficiency with MS SQL (queries) preferred.
Clinical code knowledge related to claims/utilization preferred.
Experience with managed care contract terms/analysis preferred.
Ability to document processes and analyses for reference/re-use required.
Experience in a Medicare Advantage environment preferred.
Excellent technical, interpersonal, written and oral communication skills required.
Proficient in MS Office.","Senior Data Analyst - HEDIS and Medicare Star
Long Beach, CA
Full-time

About SCAN
As one of the nation’s largest not-for-profit Medicare Advantage plans, serving more than 200,000 members in California, SCAN Health Plan has been a mission-driven organization dedicated to keeping seniors healthy and independent for over 40 years. SCAN employees are passionate about what they do, and understand that success is based on achieving the mission. Employees are afforded with the training and tools necessary to do their jobs and are rewarded for their efforts and recognized as experts in their fields. To learn more, visit scanhealthplan.com or follow us on social media: LinkedIn; Facebook; and Twitter.

The Job
Responsible for development, quality control, documentation, and programming for 5-Star projects and in-house initiatives. In pursuit of high 5-Star ratings, conducts in-depth data analysis and interpretation, HEDIS reporting, and other related tasks.

You Will
Designs and produces timely and meaningful analysis and data interpretation regarding large and complex health care related datasets, related to 5-Star ratings, HEDIS, and other associated company initiatives.
Utilizes software programs such as SAS, SQL, Excel and/or other business intelligence tools to extract needed data. Writes original code and modifies existing code, as needed, to execute projects to specifications, and assists in the development of these specifications.
Interprets data accurately and produces clear and comprehensive written analyses, graphics, tables, etc. for diverse internal and external audiences.
Independently plans, organizes, and prioritizes assigned projects, creating and managing work plans that reflect the tasks, timeframes, and processes required to successfully complete each.
Develops, implements, and documents quality assurance (QA) processes to ensure that reported data is accurate and reliable.
Participates in the peer review of analyses and reports produced by others.
Documents data collection processes with other teams in Healthcare Informatics to transition data collection from one team to another.
Contributes to and advances group knowledge about the Medicare population.
Mentors junior team members on analytical, programming, and other technical concepts. Serves as a resource and assists with escalated issues and tasks.
Demonstrates a commitment to customer service through timely, accurate, and supportable deliverables.
Ensures understanding of customer needs by proactively clarifying scope and requirements and keeping customers apprised of project status through effective communication.
Supports customer understanding of analytical findings through effective presentation of results to individuals and groups.
Achieves high-quality deliverables by assuring accuracy and thoroughness in executing projects.
Manages multiple projects by effectively prioritizing work and communicating workload issues to management.
Contributes to team effort by accomplishing related results as needed.

Requirements
Your qualifications
5+ years of analytical experience, including a 2 - 3 years healthcare data analysis experience.
Superior analytical skills required.
Ability to effectively interact with, and present findings to customers at all levels of the organization including operational managers, medical directors and executives required.
Advanced SAS data step, SAS macro language, and other SAS procedures required.
Proficiency with MS SQL (queries) preferred.
Clinical code knowledge related to claims/utilization preferred.
Experience with managed care contract terms/analysis preferred.
Ability to document processes and analyses for reference/re-use required.
Experience in a Medicare Advantage environment preferred.
Excellent technical, interpersonal, written and oral communication skills required.
Proficient in MS Office.

What's in it for you?
A competitive compensation and benefits program
An annual employee bonus program
Generous paid-time-off (PTO)
Ten paid holidays per year
Excellent 403(b) Saving Plan, providing up to 4% match and vesting after three years
Casual attire
A work-life balance and much more!

We're always looking for talented people to join our team! Qualified applicants are encouraged to apply now!
SCAN is an equal opportunity employer and it is our policy to abide by all federal, state and local laws prohibiting employment discrimination. All qualified applicants will receive consideration for employment.
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information."
6,Data Analyst : 19-03941,"Burbank, CA 91504",Burbank,CA,91504,None Found,"Data Analysis.
Tableau reporting required.
Alteryx.
Informatica
Splunk .
5 or more years of experience in SQL required .
Good oral and communication skills .
Excellent creative, analytical and problem solving skills.
","Data Analysis.
Tableau reporting required.
Alteryx.
Informatica
Splunk .
5 or more years of experience in SQL required .
Good oral and communication skills .
Excellent creative, analytical and problem solving skills.
",None Found,"Data Analysis.
Tableau reporting required.
Alteryx.
Informatica
Splunk .
5 or more years of experience in SQL required .
Good oral and communication skills .
Excellent creative, analytical and problem solving skills.
",None Found,"Primary Skills: Data Analysis, Tableau/ Power BI, Alteryx, Informatica, Splunk, Strong in SQL
Duration: 6 Months with Contract to Hire
Contract Type: W2 Only

Job Details:
Education: Bachelors
Candidates local to Burbank or who can work onsite will be considered
Basic Qualifications:
Data Analysis.
Tableau reporting required.
Alteryx.
Informatica
Splunk .
5 or more years of experience in SQL required .
Good oral and communication skills .
Excellent creative, analytical and problem solving skills.
 To follow up with any questions, please contact Swapnil at 408-907-3201

Akraya is an award-winning IT staffing firm and the staffing partner of choice for many leading companies across the US. We offer comprehensive benefits including Health Insurance (Medical, Dental, and Vision), Section 125 Cafeteria Plan (HSA, FSA, and dependent care), 401(k) (enrollment subject to eligibility), and Sick Pay (varies based on city and state laws).

If this position is not quite what you're looking for, visit akraya.com and submit a copy of your resume. We will get to work finding you a job that is a better fit at one of our many amazing clients.

Akraya is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. Akraya is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation."
7,Senior Digital Analyst,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Sr. Data Analyst – Los Angeles

The Data Science and Analytics team at Tillster is looking for a motivated Senior Data Analyst with excellent facility in problem solving, data wrangling and analytical storytelling. You will be exploring data from multiple tools & sources, deriving insights and prioritizing, recommending & executing strategies to improve the consumer experience and ROI for global restaurant brands. Your presence in the team will elevate Tillster's data accessibility and literacy, analytical efficiency, and the quality of our insights and data products.

What you will be doing:
You are an experienced query writer and technical analyst who is both a generalist in being able to answer multiple types of questions with data (descriptive, diagnostic, and some predictive). You have a high degree of emotional intelligence, listening skills, and act like a product manager (putting yourself in the customer's shoes). You are comfortable pulling and massaging data from multiple sources, analyzing it with a variety of tools, and finding actionable insights from the data. You focus on discovering high-ROI sources of traffic, increasing conversion rates, improving average order value and finding loyal segments of customers to encourage repeat purchases. You form hypotheses to test based on data and work with cross-functional teams to execute and analyze experiment results. You effectively communicate analyses, visualizations & insights to broad audiences having varying degrees of data sophistication. You are a great presenter and have significant client interaction experience. You are detailed, quick-thinking, and great at solving problems. You are both a great collaborator and also comfortable being independent. You live and breathe continuous improvement, self-motivation, and thrive in a fast-paced environment.

Key Responsibilities


Work with stakeholders across business functions including marketing, product, engineering, sales/account management, finance and operations to build analytics products that enable data-driven decision making
Guide analytics projects from discovery to solution and help Tillster raise the bar for how we should apply our data to business decisions
Explore data to find actionable insights through funnel analysis, user segmentation & cohort analysis (and other modelling approaches)
Develop and present analyses, actionable insights & recommendations to key stakeholders including senior executives & clients in forums and periodic business review meetings

Must Haves


Proficiency in at least 2 flavors of SQL used with the following datasources: mysql, postgresql, sql-server, bigquery, or redshift
""Set Theory""-type thinking patterns when solving a technical problem (think Venn diagrams)
Expert SQL syntactical knowledge - window functions, correlated queries, system tables, performance tweaks, query plans, optimizations, etc
Ability to quickly translate business requirements, questions, investigations into a set of queries
Ability to search data and meta-data without mature documentation
Advanced Excel/Google Sheet/Tableau proficiency to present data as an intuitive story
Ability to make data interoperate between different environments/systems (ELT/ETL chops)
Mastery in complex CRUD operations for new requirements and also for debugging purposes
Bachelor's degree or higher in quantitative or related field.

Nice to Haves


Scripting and modeling using Python with Pandas, NumPy, Matplotlib, Sklearn, R
Knowledge of statistics, probability, experimentation & underlying mathematical concepts
Digital marketing experience in SEO, SEM, social media, email, push notifications and common channels/tools to reach customers
Understanding of Data Mining & Machine Learning principles
Experience using Google Analytics, Google Tag Manager, Data Studio
Experience managing and executing AB & multivariate tests in optimizing customer experience and behavior using tools such as Optimize, Optimizely, Test & Target etc.
Experience with ML models such as product recommendations, churn prediction, classification/clustering, and propensity scoring
Experience as a data product manager

About Tillster

Tillster is the global leader in digital ordering and customer engagement solutions. For over a decade we've developed revolutionary self-service, ordering and payments solutions – for mobile, tablet, online, kiosk, call center, and more – creating personalized interactions based on consumer preferences, language, and currency. Our platform is compatible with 15+ unique POS systems, representing over 90% coverage in multi-unit restaurants. We offer one platform; one scalable, enterprise class solution – to create world-class digital engagement solutions.

Tillster is proudly an Equal Opportunity Employer
Local Candidates Strongly Preferred
Relocation Assistance Considered
No visa sponsorship
Principals only – no Agencies or calls please"
8,Strategic Sourcing/Data Analyst,"Santa Fe Springs, CA 90670",Santa Fe Springs,CA,90670,None Found,None Found,None Found,"Review and validate customer data as it is collected.
Develop policies and procedures for the collection and analysis of data.
Create or discover new data procurement and processing programs.
Cooperate with our Information Systems (I.S.) Department to deploy software and hardware upgrades that make it possible for us to leverage big data use cases.
Implement new data analysis methodologies.
Review customer files to ensure integrity of data collection and utilization.
Perform data profiling to identify and understand anomalies.
Design and develop enterprise-wide data analysis and reporting solutions.
Review and analyze data from multiple internal and external sources.
Communicate analysis results and make recommendations to Executive and senior management.
Develop data cleansing rules for the company.
Review Subcontracts/Purchase Orders from General Contractors/Clients before CFO signs
Understand Liquidated Damages
Review contract language and indemnifications
Review for Project Requirements; OCIP, Certified Payroll
Review Insurance Requirements
Review License Requirements
Review Subcontract change orders for accuracy prior to CFO's signature
Match Change Orders with Hedberg Order(s)
Review Client Terms/Account for Credit Hold Release
Bondability Letters
Financials
Project History
Current Project Backlog
Insurance
Request and order Bid Bonds and Performance and Payment Bonds
","High school diploma or general education degree (GED) required; Bachelor’s Degree in Business Administration, Business Intelligence, Business Accounting, Computer Science, or related curriculum preferred
3-5 years experience with commercial bonds, contracts and OCIP/CCIP preferred.
Must have strong computer skills and the ability to learn the Hedberg distribution and accounting system.
","General business and Accounting Acumen
Accounting/Invoicing/Distribution Software
Commercial contracts, bonds and OCIP/CCIP procedures
Microsoft Office applications (Word and Excel).
Proper English, grammar and punctuation.
Good interpersonal skills.
Standard office procedures.
","Summary:

This position is responsible for data analytics, metrics optimization and contracts review and administration. The Financial Analyst recommending and instituting new policies, procedures and programs from the ground up. This position will lead the efforts to collect needed data and propose methods the company can put it to practical use, with the end goal of maximizing profits and increasing company efficiency. The Analyst will process several different types of data, including those related to our website and online presence. This role will also assist with timely review, fulfilling and managing contracts/subcontracts, bonds, completing OCIP/CCIP contracts/applications and insurance requirements for projects and opportunities for Tangram’s Flooring division.

Essential Duties & Responsibilities:

This job description in no way states or implies that these are the only duties to be performed by the incumbent. The individual will be required to follow any other instructions and to perform any other duties requested by his/her supervisor. Essential duties and responsibilities may include, but are not limited to the following:
Review and validate customer data as it is collected.
Develop policies and procedures for the collection and analysis of data.
Create or discover new data procurement and processing programs.
Cooperate with our Information Systems (I.S.) Department to deploy software and hardware upgrades that make it possible for us to leverage big data use cases.
Implement new data analysis methodologies.
Review customer files to ensure integrity of data collection and utilization.
Perform data profiling to identify and understand anomalies.
Design and develop enterprise-wide data analysis and reporting solutions.
Review and analyze data from multiple internal and external sources.
Communicate analysis results and make recommendations to Executive and senior management.
Develop data cleansing rules for the company.
Review Subcontracts/Purchase Orders from General Contractors/Clients before CFO signs
Understand Liquidated Damages
Review contract language and indemnifications
Review for Project Requirements; OCIP, Certified Payroll
Review Insurance Requirements
Review License Requirements
Review Subcontract change orders for accuracy prior to CFO's signature
Match Change Orders with Hedberg Order(s)
Review Client Terms/Account for Credit Hold Release
Bondability Letters
Financials
Project History
Current Project Backlog
Insurance
Request and order Bid Bonds and Performance and Payment Bonds
Qualification Requirements:

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Knowledge of:
General business and Accounting Acumen
Accounting/Invoicing/Distribution Software
Commercial contracts, bonds and OCIP/CCIP procedures
Microsoft Office applications (Word and Excel).
Proper English, grammar and punctuation.
Good interpersonal skills.
Standard office procedures.
Ability to:
Translate business needs to technical specifications.
Design, build and deploy BI solutions (e.g. reporting tools).
Maintain and support data analytics platforms (e.g. MicroStrategy)
Evaluate and improve existing BI systems
Collaborate with teams to integrate systems
Develop and execute database queries and conduct analyses
Create visualizations and reports for requested projects
Develop and update technical documentation.
Analyze contracts and legal documents and understand compliance expectations.
Conduct research and apply problem solving techniques.
Effectively work as a liaison with internal and external customers to obtain necessary information to fulfill project contract, bond and insurance provisions.
Operate PC in Windows environment.
Operate standard office equipment.
Perform mathematical computations such as addition, subtraction, multiplication and division.
Read and comprehend simple instructions, correspondence, and memos.
Communicate effectively and accurately via speech and written correspondences.
Effectively present information in one-on-one or small group situations to customers, clients, and other employees of the organization.
Perform mathematical computations such as addition, subtraction, multiplication and division.
Carry out written and oral instructions.
Understand and find appropriate applications for data and results.
Education and/or Experience:
High school diploma or general education degree (GED) required; Bachelor’s Degree in Business Administration, Business Intelligence, Business Accounting, Computer Science, or related curriculum preferred
3-5 years experience with commercial bonds, contracts and OCIP/CCIP preferred.
Must have strong computer skills and the ability to learn the Hedberg distribution and accounting system.
Licenses/Certificates:
California Class C Driver’s License (if required to travel, perform essential job duties).
Physical Requirements:
Communicates orally with management, co-workers and the public in face-to-face, one-on-one and group settings.
Regularly uses a telephone for communication.
Uses office equipment such as a PC, copier and Fax machine.
Sits for extended periods.
Hearing and vision within normal ranges."
9,Associate Data Quality Analyst,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Summary of Essential Job Duties
Supports the Institution's Enterprise Data Quality Management program. The goal is to improve data integrity and information usability for internal decision making and for the increasing external data demands. This is accomplished by applying data quality management principles in cross functional settings specifically across the administrative and financial information supply chain as well as clinical progression of care. The Enterprise Data Quality Analyst will interact with various business data owners, data production system staff, data analysts, and decision makers to develop and implement proactive data quality practices.
Performs data and process validations for recurring and ad hoc data loads and analytics for internal and external customers.Ensures adherence to data quality standards.Resolves data quality incidents reported to Data Quality & Governance (DQG) from data users across Cedars-Sinai.Uses data quality tools to proactively identify data integrity issues.Develops and implements proactive data quality monitoring procedures and practices.Monitors, maintains, and extends the effectiveness of DQG’s process and help documentation.Innovates and provides collaborative leadership for DQG in documentation and support including advocating for excellence in quality and customer service, increased automation and efficiency, and proactive business process improvements.
Educational Requirements:
Bachelor’s degree in Information Science, Computer Science, a quantitative discipline in science, Health Administration, Public Health or related healthcare field.
Experience:
1. Typically requires minimum 1-2 years of relevant work experience.
2. Relational Database programming experience such as Oracle, SQL.
 3.Demonstrated understanding in data/information quality principles and practices.
4. Knowledgeable in database development cycle including requirements gathering, modeling, coding, and testing.
5. Must possess excellent verbal and written communication skills
6. Display intellectual curiosity and ability to articulate business context relevant to the job
7. Strong problem-solving skills and persistence to solve difficult problems.
8. Ability to work in teams, ability to follow directions, ability to manage completion of multiple tasks within specified timeframes."
