,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Analyst,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"GSN Games, the leading developer in mobile and social games, is seeking a Data Analyst with a passion for problem-solving and real world application to join our casual games studio based in Palo Alto and San Francisco.

About the GSN Casual Games Studio:
Our studio consists of a talented group of game artists, designers, engineers, product people and marketers who craft industry-leading mobile games providing very high quality experiences. This studio is the home of Solitaire Tripeaks by GSN, the #1 revenue solitaire game on mobile that has quickly grown into one of the top grossing games on both iOS and Android.

What You’ll Do:
As a Data Analyst in our Analytics group, your goal will be to help the team understand the most important behaviors of our players. You’ll use problem-solving skills, sound logic, and data tools like SQL, in order to identify and evaluate trends, determine real value of team initiatives, and clearly communicate results and outcomes. You’ll work with the entire team and provide analytics grounding to business decisions we make every day. You’ll learn our tables, do ad hoc analysis as requested, help our team figure out what they really should be asking, create dashboards where needed, and generally use our data to be the real backbone of our data-driven culture. Most importantly, you’ll use situational awareness to make sure you understand our game, our funnels, our current KPIs and our player behaviors to make sure that your analyses make sense and help the team learn.

You Will:

Work with marketing, product, engineering, game design, DBAs and other teams to deliver actionable insights into our games in order to improve our user acquisition, engagement and monetization, including creating and updating ad hoc queries and Tableau/Excel/Google Sheet dashboards
Design and implement new analytics events and queries for new game features, game events and player offers, to make sure the team gets the information they need to evaluate and improve the game
Design, implement, organize and analyze advanced statistical testing for specific problem-solving needs (e.g. A/B testing).
Identify problems, anomalies, trends, issues, and opportunities, by looking at the data and coming to your own conclusions
Answer business-related questions through exploratory data analyses and ad-hoc reporting.
Participate in data retention management processes, including defining and updating retention policies and creating/updating tables to optimize data analysis workflow and cost

About You:

BS in Analytics, Business Intelligence, Finance, Statistics or Computer Science, or other analytical discipline
2+ years of experience as a data or financial analyst applying statistical analysis to B2C consumer behaviors (mobile apps, advertising, market activities)
Outstanding problem-solving skills, including the ability to:
analyze situations and determine the best metrics for a situation
conceptualize player behaviors based on data
identify meaningful proxies of player behaviors where data doesn’t exist
Strong work ethic, intellectual curiosity, and drive to complete projects
Experience using SQL, including complex queries from multiple data sources
Experience creating, operating and analyzing multiple simultaneous A/B tests
Strong communication and presentation skills, including extensive use of chart and table tools
Ability to understand and act on changing priorities, and execute multiple competing projects based on business case and expected impact
Familiarity with data and BI presentation tools (Tableau, Excel, pivot tables)

Bonus Points!

2+ years experience (video gaming, e-commerce, consumer entertainment, etc.)
Experience with Python, JavaScript, Java or other programming language
A passion for playing world class mobile, social and casual games a huge plus
Experience in making world-class social/casual/casino games a huge plus

If you’re serious about joining our Puzzle Studio and you enjoy solving problems, we’ll look first at people who can answer these 4 questions:
https://www.surveymonkey.com/r/8WVDYGR"
1,eBook Data Analyst (6 months contract),"Santa Clara, CA 95054",Santa Clara,CA,95054,None Found,None Found,None Found,"
Work in a team environment
Maintain monthly eBook sales reports
Distribute monthly eBook sales reports externally and internally
Investigate eBook sales trends in relation to pricing and print relationship
Track and maintain inventory of eBook publisher contracts
Support ingestion of content metadata
Perform ad hoc analyses and projects as required",None Found,"
Must be excellent at Microsoft Excel or similar
Strong knowledge of SQL scripting or equivalent
Attention to detail a must
Excellent analytical and problem solving skills
Ability to prioritize and deliver within a fast-paced, dynamic environment with minimal supervision
High School or equivalent degree required
Available to work in this contract role for 6 months, 40 hours/week","eBook Sales/Content Analyst (Contractor)
6 months contract
Required Materials Team | Santa Clara, CA

The Problem:


This role will help maintain dozens of accurate monthly eBook sales reports assuring partners are receiving proper compensation while assuring proper Chegg margins. The ideal candidate will also add analysis around pricing and sales trends for both Chegg and publisher partners.

The Organization:


Chegg is the student-first connected learning platform, empowering students to take control of their education to save time, save money, get smarter and achieve better outcomes. As Chegg’s largest business unit, the Required Materials business annually rents 6 million print and digital textbooks to over 2 million students, saving students $550 million each year. The eBook group is a core function in the Required Materials business using analytical insights to help Chegg reduce costs, expand revenue and improve customer service.

The Role:

As an eBook Sales/Content Analyst, (contractor) you will assist in the operation of several support programs within the eBooks group including but not limited to sales reporting, content metadata ingestion, and contract analysis. This is a contract position lasting 3+ months.

Responsibilities:
Work in a team environment
Maintain monthly eBook sales reports
Distribute monthly eBook sales reports externally and internally
Investigate eBook sales trends in relation to pricing and print relationship
Track and maintain inventory of eBook publisher contracts
Support ingestion of content metadata
Perform ad hoc analyses and projects as required
Requirements:
Must be excellent at Microsoft Excel or similar
Strong knowledge of SQL scripting or equivalent
Attention to detail a must
Excellent analytical and problem solving skills
Ability to prioritize and deliver within a fast-paced, dynamic environment with minimal supervision
High School or equivalent degree required
Available to work in this contract role for 6 months, 40 hours/week
What is Chegg?
An ‘always on’ digital learning platform.
Chegg puts students first…Everything we build in this company is student-focused, making us the leading student-first connected learning platform. Chegg strives to improve the overall return on investment in education by helping students learn more in less time and at a lower cost. This is achieved by providing students a multitude of educational tools from affordable textbook rentals to Chegg Study which supplements their learning through 24/7 tutor access, step-by-step help with questions, and more. Chegg is a publicly-held company based in Santa Clara, California and trades on the NYSE under the symbol CHGG.
Why do we exist?
Students are working harder than ever before to stabilize their future. Our recent research study called State of the Student shows that nearly 3 out of 4 students are working to support themselves through college and 1 in 3 students feel pressure to spend more than they can afford. We founded our business on provided affordable textbook rental options to address these issues. Since then, we’ve expanded our offerings to supplement many facets of higher educational learning through Chegg Study, Chegg Math, and Chegg Internships and more to support students beyond their college experience. These offerings lower financial concerns for students by modernizing their learning experience. We exist so students everywhere have a smarter, faster, more affordable way to student.
Video Shorts - Life at Chegg: https://jobs.chegg.com/Video-Shorts-Chegg-Services
Certified Great Place to Work!: http://reviews.greatplacetowork.com/chegg
Chegg Corporate Career Page: https://jobs.chegg.com/
Chegg India: http://www.cheggindia.com/
Chegg Israel: http://insider.geektime.co.il/organizations/chegg
Chegg is an equal opportunity employer"
2,Senior Data Analyst,"Palo Alto, CA 94301",Palo Alto,CA,94301,None Found,None Found,None Found,None Found,None Found,None Found,"Based in Palo Alto, California, Cardinal Analytx Solutions is a predictive analytics company that leverages machine learning and clinical expertise to identify future cost and rising risk. We were founded with the vision of helping patients obtain better care, sooner. Most of healthcare today is very reactive – with care being delivered when someone is already ill. We believe that healthcare should be about keeping individuals and their families well – to prevent them from ever becoming sick. Through machine learning and the extensive experience of our founders, team, and advisers in healthcare, we are committed to helping healthcare organizations see around the corner so that they can take a proactive approach to helping patients.
On the Product team, our mission is to discover, improve and deliver products that meet customer pain points and revolutionize the healthcare industry. You will work closely with product managers, data scientists, engineers and customer teams to understand how our data can be used to tell a compelling story to customers and find opportunities to productize analytics. In addition to strong analytical skills, this person has solid business acumen, communication skills and ability to drive at customer pain points.
As a Data Analyst on the Product Team, You Will:
Develop deep understanding our products, machine learning methodology and outputs, and our customers analytic pain points and needs.
Translate your insights into stories, visuals and analytics that help drive product understanding and adoption.
Collaborate and influence across cross functional stakeholders including sales, marketing, engineering, data science and clinical
Be an integral part of the product team, contributing to and innovating on analytics and business intelligence
Assess business value and feasibility of productizing analytics
Document and translate analytical methodology into engineering requirements for scale / productization
Present complex analytical concepts to internal and external stakeholders and executives.
You Will Love this Job If:
You are curious. You thrive in the unknown, the chaotic and the ambiguous. You are tenacious and courageous, moving people and projects forward.
You can see the bigger picture while also getting into the details.
You are passionate about making an impact in healthcare and want to work in a fast-paced environment.
You excel not only at running analyses, but finding creative ways to visualize and tell a story with data that solves customer pain points
You enjoy working with internal and external customers, discovering how to solve pain points and business needs with data and analytics
You enjoy working with people and presenting your work
You enjoy the details and appreciate the foundation of rigorous code, methodology, documentation, and QA
You Should Get in Touch if You:
Have at least 4+ years of industry experience
Have extensive experience in advanced SQL
Nice to have: Experience with at least one scripting language (e.g., R, Python)
Have experience with multi-million record data sets and across many databases
Have experience working with healthcare data
Have experience working with both business leaders and technical experts
Have a Bachelors Degree-required.

**This is an onsite position located in the SF Bay Area of California!**
*No recruiter submissions without prior agreement/ consent*
TQe95kSjDo"
3,Principal Data Analyst,"Sunnyvale, CA 94087",Sunnyvale,CA,94087,None Found,"Master’s degree in Business Administration, Computer Science, Engineering, or related field with supervisory experienceExcellent written and verbal communication skills for varied audiences on analytical subject matterExtensive experience in analytical modeling, root cause analysis and generating data insightsAdvanced knowledge of SQL, Python/R and Statistics",None Found,None Found,None Found,None Found,"Position Description
By bringing together online, mobile, and physical with our 11,000+ stores and clubs around the world, Walmart Supply Chain Technology team is creating products that enable a seamless experience for customers and members to shop in the way that’s most convenient for them—anytime and anywhere. When you combine our unmatched assets in retail with our commitment to building best-in-class supply chain capabilities, we’re positioned to serve customers in ways no one else can. At Walmart Labs, our Walmart.com, SamsClub.com and technology teams, collaborate to drive billions of better customer experiences for the world’s largest global retailer. What’s the next big thing? See for yourself at Walmart Labs. As idea explorers for @WalmarLabs, our engineers, scientists, consumer internet professionals and visionaries design, prototype and build extraordinary products. With over 3,000 associates in Silicon Valley, Sao Paulo, San Diego, Portland and Bangalore, we’re bringing together some of the best professionals around the world. If you’re inspired by the opportunity to solve hard problems at scale and make a difference for our customers and members, join us.
Position Description
Ideal candidate will lead the formulation of analytics vision and strategy for eCommerce supply chain products; helping Product Managers understand customer behavior and measure the efficiency of supply chain products/tools. This role will be the analytics leader responsible for post purchase customer experience starting from when the customer decides to purchase to the time their packages are delivered to them. The candidate will be responsible to cultivate an environment that is rooted in data based decision making while adhering to company standards of integrity and ethics.
Minimum Qualifications
Master’s degree in Business Administration, Computer Science, Engineering, or related field with supervisory experienceExcellent written and verbal communication skills for varied audiences on analytical subject matterExtensive experience in analytical modeling, root cause analysis and generating data insightsAdvanced knowledge of SQL, Python/R and Statistics
Additional Preferred Qualifications
Advanced Knowledge of SQL, HIVE, TableauExperience with SAS, R, and/or Python for data manipulationA/B testing experience is a plusSupply chain experience is a plusSupervisory experience is a plusYou have excellent analysis and critical reasoning skills with a strong focus on executionYou are a proactive problem solver who operates effectively and independently, even in areas of uncertainty and ambiguityYou are a team player, with the courage to drive change through disruption while maintaining a respect for the teamYou possess strong collaboration skills and approach problems with positive intent while driving towards resolutionYou have the ability to simplify strategy into simple actionsYou empower and inspire your colleagues and team mates to take action and embrace the mindset that, ""Everything can be made better”You are curious, and are not afraid to dig deep and look in places that others ignore
Company Summary
The Walmart eCommerce team is rapidly innovating to evolve and define the future state of shopping. As the world’s largest retailer, we are on a mission to help people save money and live better. With the help of some of the brightest minds in technology, merchandising, marketing, supply chain, talent and more, we are reimagining the intersection of digital and physical shopping to help achieve that mission.
Position Summary
By bringing together online, mobile, and physical with our 11,000+ stores and clubs around the world, Walmart Supply Chain Technology team is creating products that enable a seamless experience for customers and members to shop in the way that’s most convenient for them—anytime and anywhere. When you combine our unmatched assets in retail with our commitment to building best-in-class supply chain capabilities, we’re positioned to serve customers in ways no one else can. At Walmart Labs, our Walmart.com, SamsClub.com and technology teams, collaborate to drive billions of better customer experiences for the world’s largest global retailer. What’s the next big thing? See for yourself at Walmart Labs. As idea explorers for @WalmarLabs, our engineers, scientists, consumer internet professionals and visionaries design, prototype and build extraordinary products. With over 3,000 associates in Silicon Valley, Sao Paulo, San Diego, Portland and Bangalore, we’re bringing together some of the best professionals around the world. If you’re inspired by the opportunity to solve hard problems at scale and make a difference for our customers and members, join us.
Position Description
Ideal candidate will lead the formulation of analytics vision and strategy for eCommerce supply chain products; helping Product Managers understand customer behavior and measure the efficiency of supply chain products/tools. This role will be the analytics leader responsible for post purchase customer experience starting from when the customer decides to purchase to the time their packages are delivered to them. The candidate will be responsible to cultivate an environment that is rooted in data based decision making while adhering to company standards of integrity and ethics."
4,"Marketing Data Scientist, Apple Media Products Data Science","Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: May 14, 2019
Role Number: 200060545
At Apple, new ideas have a way of becoming phenomenal products, services, and customer experiences very quickly. If you are an ambitious, high-energy individual who is not afraid of challenges, we’re looking for you.
Apple is seeking an expert Data Scientist to join a team passionate about Data Science & Analytics for Apple Media Products (AMP), covering the App Store, Apple Music, Apple TV and other services.
This role will involve working with Internet-scale data across numerous product and customer touch points, undertaking in-depth quantitative analysis and building models to drive strategy.
The team’s culture centers around rapid iteration with open feedback and debate along the way, plus strong collaboration with product, content, business, and marketing partners.
We encourage independent decision-making and taking calculated risks. AMP Analytics collaborates with partners across product, design, engineering, and business teams: our mission is to drive innovation at Apple through deep quantitive research of the App Store, Music, Apple Books and Apple Podcasts amongst other services.
Key Qualifications
3+ years of experience in a Data Scientist or Data Analyst role, preferably for a digital video or digital subscription business.
You have a strong proficiency with SQL-based languages. Experience with large scale analytics technologies such as Hadoop and Spark preferred.
Familiarity with Python or R and data visualization tools such as Tableau for full-stack data analysis, insight synthesis and presentation.
You have experience using relevant statistical packages to build predictive/ML models and knowledge of A/B test experimentation design.
Curious business mindset with an ability to condense complex concepts and analysis into clear and concise takeaways that drive action.
Excellent communication, social and presentation skills with meticulous attention to detail.
Strong time management skills with the ability to handle work to tight deadlines and the pressure of executive requests.
Description
Dive deep into large-scale data to uncover trends and identify key insights that will propel the Apple TV business and marketing strategy.
Craft how best to monitor, measure and understand business performance.
Collaborate with business, marketing, finance and executive teams to generate regular presentations for C-level.
Partner with other Apple organizations on data gathering, data governance, evangelizing key performance indicators and democratizing data.
Your creative solving skills will be utilized daily.
Education & Experience
Minimum of a Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, Economics or related field. Ideally, Masters or PhD in related field."
5,Assessment & Data Analyst,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,"
Support, and monitor the annual state testing process for and state mandated assessments such as the CAASPP, CAST, and ELPAC; train faculty on testing process, support the security of testing documents, and ensures state-mandated communication/notifications to parents occur
Support site based staff in planning for and implementation of local assessments (NWEA, WPA, etc.)
",None Found,None Found,"About the Organization

DCP's success with first-generation college students is at the forefront of a national movement for college access and educational equity. The first charter high school in Silicon Valley, Downtown College Prep (DCP) was founded in San Jose in 2000 with the belief that all students, regardless of background and prior academic achievement, can and should be prepared for college success. Through our singular commitment to college success, we ensure our largely low-income Latino students and families are fully supported in the pursuit of a college degree.

DCP has graduated over 1000 alumni and currently serves 1800 students in grades 5-12 on four campuses and 500 college-aged alumni. In fall of 2018, 93% of the Class of 2018 ( https://myemail.constantcontact.com/DCP-Class-of-2018-launches-their-college-career.html?soid=1109043703967&aid=Nrqa64i9IW8 ) matriculated to college. 53% of DCP grads have completed college or are on track to complete college in six years compared to 9% of low-income students nationwide. DCP is deeply committed to supporting, measuring and reporting college completion for our graduates, and serving as a replicable national model of college and career readiness for first-generation students.

Our vision is to ensure that more first-generation students have the vision, confidence, and academic skills to succeed in college and beyond, realizing their fullest potential and harnessing their power to become leaders in their field and community.

Position Summary:
The role of the Assessment and Data Analyst , under the direction of the Assessment and Data Coordinator, is to support ongoing and annual assessment activities for DCP Schools and to develop data visualization tools that facilitate better more efficient work for our school personnel. The Assessment and Data Analyst will support communication with school leadership to discuss the updating, maintenance, and publishing of data to various constituent groups as needed, using Schoolzilla and other forums. The Assessment and Data Analyst will also support the use of internal data systems such as Schoolzilla Data Platform, PowerSchool Student Information System and Illuminate Data and Assessment Platform

Essential Duties and Responsibilities:
State & Local Testing Coordination:

Support, and monitor the annual state testing process for and state mandated assessments such as the CAASPP, CAST, and ELPAC; train faculty on testing process, support the security of testing documents, and ensures state-mandated communication/notifications to parents occur
Support site based staff in planning for and implementation of local assessments (NWEA, WPA, etc.)

Data Management, Reporting, and Analysis:

Review assessment results for accuracy and update relevant data as needed.
Regularly provide data dashboard reports to central office and site-based teams; provide other reports as needed.
Support data collection and reporting for LCAP, SARC, WASC, Charter Submission, Revision, and/or Renewal, etc.
As directed, create charts, graphs, and other reports that present data in formats that are comprehensible and targeted to various audiences

Technical Support and Training:

Manage login information for internal data systems such as Schoolzilla, PowerSchool, Illuminate etc.
Provide support to staff as needed in how to use various software, including PowerSchool, CAASPP & ELPAC TOMS, NWEA, Illuminate and Schoolzilla

General:

Work confidentially and with discretion.
Communicate effectively both orally and in writing.
Be able to manage and meet State required timelines.
Maintains regular and punctual attendance to fully meet work responsibilities.
Performs other duties as assigned

Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. While performing the duties of this job, the employee is continuously required to speak and listen for extended periods. The employee is also required to sit or stand for long periods, and to regularly to walk; use hands or fingers to handle, or feel objects, tools, or controls; reach with hands and arms; and stoop, kneel, crouch or crawl. The employee must regularly lift and move up to 25 pounds. Specific vision abilities required for this job include close vision, peripheral vision, depth perception, and the ability to adjust focus. The employee is further required to have the physical, mental, and emotional stamina to fully perform the duties and responsibilities of the position, and the mental acuity to collect, evaluate, and interpret data; to reason; to define problems; to establish facts; to draw valid conclusions; and to make effective judgments and decisions.

Work Environment:
The work environment characteristics are representative of those in a normal office, building, classroom/school setting which one might encounter while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Qualifications


Bachelor's or higher
Highly Proficient in Excel and/or similar software
Knowledge, Skills and Abilities
Must type at least 30WPM.
Knowledge of Federal/State, and local test administration processes and procedures.
Strong oral and written communication skills.
Familiar with data collection and organization and systems for data management
Experience with Student Information systems.
Preferred: Experience with Data Warehouse, and State Longitudinal Data System as it relates to student assessment, including English Learner and reclassified students.
2 years minimum of relevant professional work experience coordinating school wide-testing activities

FLSA: Non-Exempt

This position description intends to describe the general nature and level of work being performed by people assigned to this position. It is not intended to include all duties and responsibilities. The order in which duties and responsibilities are listed is not significant. Also, this job description reflects management's assignment of essential functions; and nothing in this herein restricts management's right to assign or reassign duties and responsibilities to this job at any time."
6,Research Data Analyst 1,"Stanford, CA",Stanford,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"The Stanford University School of Medicine and the Parker Institute for Cancer Immunotherapy are seeking a Research Data Analyst 1 to use existing and novel large genomic datasets to understand the immune response to cancer in patients. The Research Data Analyst 1 will be a joint member of the Satpathy laboratory at Stanford University and the Informatics group at the Parker Institute (San Francisco) and work at the interface of cancer immunology and data science. Projects will include multi-omic and single-cell analysis of samples from cancer patients receiving immunotherapy, in order to understand fundamental principles of immunity, as well as to rationally design novel therapeutic strategies. The Research Data Analyst will generate, manage and analyze large amounts of genomic data, in collaboration with project researchers at both Institutes. The goal of this position is to expose and train the Research Data Analyst in quantitative genome science and data analysis, as well as in cancer immunology. Applicants who work well in a team environment and enjoy thinking outside of the box are encouraged to apply.
Duties include:
Collect, manage and clean datasets.
Employ new and existing tools to interpret, analyze, and visualize multivariate relationships in data.
Create databases and reports, develop algorithms and statistical models, and perform statistical analyses appropriate to data and reporting requirements.
Use system reports and analyses to identify potentially problematic data, make corrections, and determine root cause for data problems from input errors or inadequate field edits, and suggest possible solutions.
Develop reports, charts, graphs and tables for use by investigators and for publication and presentation.
Analyze data processes in documentation.
Collaborate with faculty and research staff on data collection and analysis methods.
Provide documentation based on audit and reporting criteria to investigators and research staff.
Communicate with government officials, grant agencies and industry representatives.
- Other duties may also be assigned

EDUCATION & EXPERIENCE (REQUIRED):

Masters degree or PhD in data science, bioinformatics, computer science, applied mathematics, or similar.
KNOWLEDGE, SKILLS AND ABILITIES (REQUIRED):
Have experience programming in R
Have experience manipulating, exploring, and cleaning tabular data
Have experience reading and understanding scientific papers, ideally in cancer immunotherapy, clinical trials, and/or immunology
Have a passion for collaborative, interdisciplinary scientific research that generates real impact
Be highly motivated and able to work independently
CERTIFICATIONS & LICENSES:
None
PHYSICAL REQUIREMENTS*:
Sitting in place at computer for long periods of time with extensive keyboarding/dexterity.
Occasionally use a telephone.
Rarely writing by hand.
- Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job.


WORKING CONDITIONS:
Some work may be performed in a laboratory or field setting."
7,Data Analyst Intern,"Palo Alto, CA 94304",Palo Alto,CA,94304,None Found,None Found,None Found,None Found,"
Prefer student studying for B.S. or M.S. in Science in Computer Sciences, IT, Information Sciences or similar fields.
",None Found,"HP’s growing Marketing Media and Data Sciences team is responsible for enhancing the digital media and marketing performance through the use of data sciences and analytics platforms.
The data sciences team has the mandate to build customer and audience profiles, develop predictive models, and develop segmentation approaches to enable the planning and execution of marketing and advertising campaigns for both B2B and B2C product markets.
The current position is for a 12-week paid summer internship with the data sciences team and is designed to let you apply your classroom learnings to real world challenges.
We are looking for an intern to work with our data & data sciences team to incorporate advanced analytics output into executive presentation for business review.
The summer internship project scope may include one or more of the following - analysis of customer data, mining of data both structured and unstructured for insights, visualization and reporting of key findings for use in decision making.
This role requires proficiency with SQL and some exposure to BI and data analysis and visualization tools. Additional hands-on skills in analytics platforms and/or software such as R, Python, Scala or Java would be helpful.
Key responsibilities:
Build executive level dashboards to measure marketing KPIs. Provide insights on leads, sales opportunities and customer segmentation.
Incorporate advanced analytics output into executive presentation for business review.
Education:
Prefer student studying for B.S. or M.S. in Science in Computer Sciences, IT, Information Sciences or similar fields.

Experience:
Knowledge of data manipulation and data bases
Knowledge of programming background (Java, PHP, Python etc.)
Knowledge of BI & Analytics & visualization tools like R, Tableau, Power BI."
8,"Analytics Program Manager, Real Estate and Workplace Services","Sunnyvale, CA",Sunnyvale,CA,None Found,None Found,None Found,None Found,"
Inspire and influence the organization to move from descriptive analysis to decision-making support, and grow the Analytics team to scale.
Understand the business context and client needs, and Real Estate and Workplace landscape, from strategic real estate planning and supply/demand portfolio management to employee needs around commuting and eating.
Drive the collaboration of many technical partners towards a shared broader roadmap; Establish cross-functional relationships with client groups owning various elements of workplace operations and leadership to build long-term product usefulness and adoption.
Influence evolution of analytics/BI infrastructure to drive the long-term development of REWS’ data infrastructure. Communicate through data visualization and analytics to simplify business problems.
Work partners to support them with data driven narratives to communicate with leaders about workplace decisions.
",None Found,None Found,"Minimum qualifications:

6 years of experience in an analytical role defining strategy or making recommendations based on data analyses and communicating solutions to clients/audiences.
Experience with SQL, writing database queries, and working with datasets.
Experience managing products or programs, taking a team, tool, or idea from initial scoping to delivery and adoption.


Preferred qualifications:

MBA, or Master's degree in a quantitative discipline (e.g., Statistics, Physics, Industrial Engineering, etc.).
Experience with data visualization tools (e.g. Tableau, GIS), statistical software (e.g., R, Python), code repositories (e.g., Git, SVN, etc), and code review processes.
Experience in consulting, finance, technology, operations research/supply chain management or domain leveraging analytical practices.
Experience with changes to strategy, process, or systems and tools needed to enable data-driven decision making.
Experience translating business questions into analyses, and results into actionable recommendations.
Interpersonal skills, experience teaching data literacy, ability to influence stakeholders and leverage interpersonal relationships.
About the job
Our team seeks to gain insights from data to help make better workplace decisions. As the Analytics Program Manager, you will be part Data Analyst and one part Program Manager - adding value today by analyzing what data we do have and guiding technology and infrastructure projects that will help us answer the big questions of tomorrow.
The Real Estate and Workplace Services (REWS) team creates inspiring spaces and innovative services that bring Google’s culture and values to life. We build and maintain all aspects of what keeps our Googley workspaces operating seamlessly across multiple cities and regions globally. We also manage the industry-leading services that help make Google a great place to work - from how we design healthy and collaborative workspaces, create energizing food experiences, provide convenient transportation and fitness options, to delivering inclusive environments where Google and our employees can thrive.
Responsibilities
Inspire and influence the organization to move from descriptive analysis to decision-making support, and grow the Analytics team to scale.
Understand the business context and client needs, and Real Estate and Workplace landscape, from strategic real estate planning and supply/demand portfolio management to employee needs around commuting and eating.
Drive the collaboration of many technical partners towards a shared broader roadmap; Establish cross-functional relationships with client groups owning various elements of workplace operations and leadership to build long-term product usefulness and adoption.
Influence evolution of analytics/BI infrastructure to drive the long-term development of REWS’ data infrastructure. Communicate through data visualization and analytics to simplify business problems.
Work partners to support them with data driven narratives to communicate with leaders about workplace decisions.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
9,"Business Systems Analyst, Master Data","Sunnyvale, CA",Sunnyvale,CA,None Found,None Found,None Found,None Found,"
Help deliver solutions to meet the data, reporting, and analytics needs of Googlers. Lead projects to drive data management and analytical solutions for our business partners across corporate functions and demonstrate an innovative, creative mindset.
Lead data warehouse projects, including gathering requirements, performing analysis, solution design, and ensuring successful delivery of solution.
Integrate third-party products into internal systems and support and upgrade implemented systems.
Manage project and create SDLC artifacts as needed in order to meet deliverable commitments.
Ensure quality of deliverable by taking end-to-end accountability including testing and ongoing production quality assurance.
",None Found,None Found,"Note: By applying to this position your application is automatically submitted to the following locations: Austin, TX, USA; Sunnyvale, CA, USA
Minimum qualifications:

Bachelor's degree in Business, Engineering, related field, or equivalent practical experience.
Experience in system development in one or more of the following: Master Data Services, Master Data Management (MDM), Master Data Governance (MDG), SAP, 4HANA.
5 years of experience integrating third-party business applications.

Preferred qualifications:

Master's degree.
Experience working with third-party system APIs and web services.
Experience in development with Python other relevant programming languages.
Experience in systems integration using message based middleware (e.g., Java Message Service).
10 years of experience with end to end solution design
About the job
At Google, we work at lightning speed. So when things get in the way of progress, the Business Systems Integration team steps in to remove those roadblocks. The team identifies time-consuming internal processes and then builds solutions that are reliable and scalable enough to work within the size and scope of the company. You listen to and translate Googler needs into high-level technical specifications, design and develop recommended systems and consult with Google executives to ensure smooth implementation. Whether battling large system processes or leveraging our homegrown suite of Google products for Googlers themselves, you help Googlers work faster and more efficiently.
Google Works is a team for Googlers by Googlers. Our internal products touch every employee’s life including Finance, People Operations, Marketing, Cloud, and more. We invest heavily in engineering excellence through our horizontal teams, such as Data Works, who are tasked with making it easier for Googlers to do self-service analytics and reporting. We foster a warm and inclusive environment and pride ourselves on helping one-another, crossing project or task boundaries to share advice and lessons learned.

As a Business Systems Analyst, you will help the Master Data Services team under Data Works manage Data Architecture, Data Engineering, and Reporting and Analytics technologies that empower our partners in Engineering and Business to deliver critical corporate functions.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.

Responsibilities
Help deliver solutions to meet the data, reporting, and analytics needs of Googlers. Lead projects to drive data management and analytical solutions for our business partners across corporate functions and demonstrate an innovative, creative mindset.
Lead data warehouse projects, including gathering requirements, performing analysis, solution design, and ensuring successful delivery of solution.
Integrate third-party products into internal systems and support and upgrade implemented systems.
Manage project and create SDLC artifacts as needed in order to meet deliverable commitments.
Ensure quality of deliverable by taking end-to-end accountability including testing and ongoing production quality assurance.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
