,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Business Intelligence Analyst,"Bellevue, WA",Bellevue,WA,None Found,None Found,None Found,None Found,"Evaluate business requirements and translate data into visually informative dashboards and customized reporting solutions
Maintain existing BI reporting processes, and introduce new and innovative data visualization techniques
Adhere to required security and confidentiality standards for highly sensitive data
Participate in data analysis for a wide range of requests, compiling data from various platforms
Work closely with the Senior Database Engineer to support the maintenance of company production database systems
Perform general maintenance and ETL support for data warehouse and BI source material
Effectively present technical solutions to professional audiences
Design and deliver end-user training, materials, and project documentation
Collaborate with project managers, engineers, and other members of the ScrumPoint team to deliver exceptional results
",None Found,None Found,"We are actively seeking a Business Intelligence Analyst based in the Seattle/Eastside area. In this role, you will join a core development team and tackle complex, mission-critical enterprise projects, building business intelligence reporting solutions. Daily responsibilities will cover the full spectrum, from initial research and requirements gathering to reporting/dashboard design and development. Our ideal candidate will be excited to work closely with a fast-growing, dedicated team, handling a new challenge every day!
Essential Responsibilities:
Evaluate business requirements and translate data into visually informative dashboards and customized reporting solutions
Maintain existing BI reporting processes, and introduce new and innovative data visualization techniques
Adhere to required security and confidentiality standards for highly sensitive data
Participate in data analysis for a wide range of requests, compiling data from various platforms
Work closely with the Senior Database Engineer to support the maintenance of company production database systems
Perform general maintenance and ETL support for data warehouse and BI source material
Effectively present technical solutions to professional audiences
Design and deliver end-user training, materials, and project documentation
Collaborate with project managers, engineers, and other members of the ScrumPoint team to deliver exceptional results
We are looking for at least 5 years of demonstrated experience in business intelligence analyst or data analyst positions, with particular emphasis on the following knowledge areas
Full Microsoft Business Intelligence Stack (SSIS, SSRS, SSAS, PowerBI)
SQL Server 2014/2016
We are especially interested in candidates with these qualifications:
BA/BS in an applicable discipline, such as software development, information systems, engineering, or mathematics
Prior experience with Kimball Data Warehouse principles
Familiarity with Scrum/Agile methodologies
Excellent analytical, problem-solving, and innovative thinking skills
Effective collaborator in a rapidly changing environment
Ability to juggle complex projects under strict deadlines
Commitment to continuous professional improvement
Enthusiasm for steep learning curves!
please submit your resume, a brief cover letter, and portfolio samples (if applicable) to working@scrumpoint.com. No openings listed? We would still love to hear from you – send us a note explaining why your skills would make you the perfect addition to the ScrumPoint crew."
1,Senior Technical Business Analyst,"Redmond, WA",Redmond,WA,None Found,None Found,"
5 or more years of experience in a data analyst role.
Experience with agile principles & practices, GIT/VSO preferred.
Ability to understand and translate business and product questions into data & analytics projects.
Ability to articulate vision, requirements, and benefits to business and engineering partners.
Effective communication skills and the ability to work collaboratively with stakeholders, partner engineering teams, and subject matter experts.
Creativity to find pragmatic paths through ambiguity.
Ability to communicate and collaborate with people representing diverse points of view.
Willingness to work in a start-up type environment with evolving responsibilities and a wide variety of work.
Bachelors degree in Computer Science, Engineering, Mathematics or related fields, or sufficient experience in these areas.",None Found,"
5 or more years of experience in a data analyst role.
Experience with agile principles & practices, GIT/VSO preferred.
Ability to understand and translate business and product questions into data & analytics projects.
Ability to articulate vision, requirements, and benefits to business and engineering partners.
Effective communication skills and the ability to work collaboratively with stakeholders, partner engineering teams, and subject matter experts.
Creativity to find pragmatic paths through ambiguity.
Ability to communicate and collaborate with people representing diverse points of view.
Willingness to work in a start-up type environment with evolving responsibilities and a wide variety of work.
Bachelors degree in Computer Science, Engineering, Mathematics or related fields, or sufficient experience in these areas.",None Found,None Found,"The Microsoft Education organization is looking for a strong Technical Data & Business Analyst to join our Customer Insights & Data team to enable us to deeply understand and drive data-informed, high impact business decisions in our org, E&D, as well as the company-wide Education space.
Responsibilities
In this role, you’ll be joining a team eager to learn, leverage your expertise in building our Data & Analytics capabilities, and nourish our data-informed culture. You will have the opportunity to apply your skills in business analytics and reporting to define and measure the success of our businesses and help deliver insights to inform decisions for creating value for our customers, business and engineers. As part of this position, you will work on many different challenging data modeling & analytics problems across the breadth of the org to answer business questions, define hypotheses, and establish success criteria.

The successful candidate will have experience analyzing data from a wide range of datasets and across a breadth of technology platforms to model and build data solutions that address our unique business. We are looking for people who see challenges as opportunities, who can look at complex data problems, model & visualize them, provide actionable insights and build sustainable and effective data solutions to enable informed decisions.

If you enjoy variety in projects, have strong data modeling, analytical, presentation, and business data visualization skills, and want to work in a fun and highly collaborative environment, then this is the job for you.
Qualifications
For this senior technical data and business analyst position, the ideal candidate will have ample experience in working with across multi-discipline teams to identify analytical needs and create analysis plans, identify and source required data and measures to ultimately deliver and present insights to broad audiences, ranging from engineers to CVPs.

On the reporting front, ability to design report navigation and multi-level reports to drill into details as well as dashboards & scorecards, as well as knowledge of proper & optimal data visualization techniques (e.g. Tufte, Stephen Few) partnered with effective storytelling capabilities is a must.

On the technical front, we are looking for strong SQL and Excel skills, U-SQL and/or Scope knowledge (at minimum willingness to learn) and solid understanding of Power BI (reports, dashboards, Scorecards; metrics, KPIs). We have bet on Azure, so experience on it, especially Databricks, is very desirable.

On the collaboration front, the ideal candidate will have experience driving partnerships, managing dependencies, collaborative prioritization, sizing/estimation of tasks into realistic schedules, and Agile development practices.

We look for the closest fit to this profile as possible, and a willingness to learn and grow in the other areas as we work on our challenging projects.

Other Qualifications:
5 or more years of experience in a data analyst role.
Experience with agile principles & practices, GIT/VSO preferred.
Ability to understand and translate business and product questions into data & analytics projects.
Ability to articulate vision, requirements, and benefits to business and engineering partners.
Effective communication skills and the ability to work collaboratively with stakeholders, partner engineering teams, and subject matter experts.
Creativity to find pragmatic paths through ambiguity.
Ability to communicate and collaborate with people representing diverse points of view.
Willingness to work in a start-up type environment with evolving responsibilities and a wide variety of work.
Bachelors degree in Computer Science, Engineering, Mathematics or related fields, or sufficient experience in these areas.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
2,Product Manager,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Zipwhip is a Seattle-based SaaS (Software-as-a-Service) company providing text messaging to businesses across North America through cloud-based software and a best-in-class API solution. One of the 10 fastest-growing companies in Seattle ( https://www.zipwhip.com/blog/zipwhip-named-on-inc-5000-list-2018-and-is-one-of-the-fastest-growing-companies-in-seattle/ ) as ranked by Inc., Zipwhip invented the technology that enables businesses to text using their existing landline, VoIP or toll-free phone number and communicate with consumers the modern way.

Zipwhip is aggressively investing in our people, product offerings and processes. We are backed by Goldman Sachs, Microsoft Ventures, OpenView, Voyager Capital and a host of other investors, and are seeing rapid growth in both employees and revenue. Zipwhip is the only business-texting provider with direct connections to all Tier 1 and 2 wireless operators in the U.S., and we've delivered billions of texts to consumers nationwide.

Zipwhip employees come to work every day (to one of Seattle's coolest offices ( https://www.geekwire.com/2018/geekwire-awards-2018-time-vote-geekiest-office-space-seattle/ )) inspired and ready to live out our DIRECT values: Determination, Innovation, Respect, Enthusiasm, Collaboration and Trust. If you want to be part of an organization where highly motivated thinkers are empowered to change the way we communicate with the world around us, then we'd like to hear from you.

What we're looking for:
We are looking for a creative problem-solver that is interested in working on a product that is transforming the way businesses communicate with their customers. This job is right for you if...


You get excited about tackling big, complicated, and often ambiguous problems
You understand that human behavior is complex and changing behavior is a lot harder than building features
You love products, trying new things, asking yourself why did they build it that way
You sweat the small stuff but keep your eye on the big picture
You are comfortable collaborating cross-functionally
You've got good UX instincts - you won't need to do your own design but you'll need to work effectively with your designer and researcher peers
You enjoy thinking analytically - you won't be expected to write SQL queries but you'll need to work effectively with your data analyst peer

What's the job really?


Become an expert and evangelist for how text messaging can transform businesses
Lead cross-functional teams of UX, Design, Analytics, Customer success, Marketing to deliver features from conception to launch
A/B test everything (including our own instincts and assumptions)
Build iteratively, and ship quickly - it keeps us humble
Be hands on, analyze customer and competitive data, and write product specifications with a clear hypothesis and measurable success metrics - it keeps us grounded
Be responsible for communicating all aspects of your product to the entire company

What you bring to the table:

2+ years of customer facing product management
You have experience building products for businesses both large and small
Bachelor's degree. MBA preferred - or equivalent experience

What we offer:

A fun, lively startup culture and one of Seattle's coolest offices. ( https://www.geekwire.com/2018/geekwire-awards-2018-time-vote-geekiest-office-space-seattle/ )
Core values-based leadership.
A culture of employee engagement-lively weekly company updates as 1 example.
Competitive salary and stock options.
Complimentary access to a fitness center.
Stipend for transportation and cell phone usage.
Full benefits package including parental leave, a matching 401k program, PTO, and medical, dental, vision, disability, and life insurance.
Complimentary snacks, complimentary beverages, a subsidized cafeteria with lunch made fresh every day, and free lunch on Fridays catered by local chefs.
Complimentary shuttle access to office from King Street Station, Ferry Terminal and Yesler/Occidental.

Zipwhip values a diverse team.

We are an equal opportunity employer. In accordance with applicable law, we prohibit discrimination against any applicant or employee based on any legally-recognized basis, including, but not limited to: race, color, national origin or ancestry, citizenship status, creed, religion, sex, pregnancy, sexual orientation, gender identity or expression, age, marital status, veteran status or any other status protected by federal, state or local law.

We are an E-verify participating employer."
3,Master Data Analyst III,"Kent, WA",Kent,WA,None Found,None Found,"Minimum of 5 years' experience in Master Data Management activities
Proficiency in interrogating SQL and NoSQL Databases
Demonstrated effectiveness in leading/directing small project teams
Strong ability to self-manage and drive toward high quality results
Experience in complex and fast pace environments
Strong analytic skill set and a high degree of proficiency in data profiling
Excellent written communication and presentation skills
Must be a U.S. citizen or national, U.S. permanent resident (current Green Card holder), or lawfully admitted into the U.S. as a refugee or granted asylum.
",None Found,"Facilitating and driving strategic decisions regarding Master Data policy, procedures, and standards
Executing Master Data related projects and initiatives
Performing audits and data validation against Master Data definitions
Ensuring and enforcing compliance with Master Data policies and procedures
Maintaining Metadata stores for Master Data Attributes, Definitions and Usages
",None Found,None Found,"Description:
As part of a small, passionate and accomplished team of experts, you will work the full spectrum of Master Data Management from establishing policy, procedures and standards, to implementation of tools for executiion and documentation. You will work directly with Data Owners and Data Stewards to define Master Data entities and attributes, and construct processes for ensuring data validity and consistency across authoritative systems and other data consuming and data producing systems. Ensuring the business has the most accurate and reliable core information will play a key role in the progressing our technology and shaping future of human spaceflight.
Responsibilities:
Facilitating and driving strategic decisions regarding Master Data policy, procedures, and standards
Executing Master Data related projects and initiatives
Performing audits and data validation against Master Data definitions
Ensuring and enforcing compliance with Master Data policies and procedures
Maintaining Metadata stores for Master Data Attributes, Definitions and Usages
Qualifications:
Minimum of 5 years' experience in Master Data Management activities
Proficiency in interrogating SQL and NoSQL Databases
Demonstrated effectiveness in leading/directing small project teams
Strong ability to self-manage and drive toward high quality results
Experience in complex and fast pace environments
Strong analytic skill set and a high degree of proficiency in data profiling
Excellent written communication and presentation skills
Must be a U.S. citizen or national, U.S. permanent resident (current Green Card holder), or lawfully admitted into the U.S. as a refugee or granted asylum.
Desired:
Experience implementing Master Data Management Tools
Experience in Manufacturing (specifically Aerorspace) Processes
Experience in Integrated Supply Chain, Supplier Management and Product Management
Blue Origin offers a phenomenal work environment and awesome culture with competitive compensation, benefits, 401K, and relocation.


Blue Origin is an equal opportunity employer . In addition to EEO being the law, it is a policy that is fully consistent with Blue's principles. All qualified applicants will receive consideration for employment without regard to status as a protected veteran or a qualified individual with a disability, or other protected status such as race, religion, color, national origin, sex, sexual orientation, gender identity, genetic information, pregnancy or age. Blue Origin prohibits any form of workplace harassment."
4,SOFTWARE ENGINEER,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Notes: As a UW employee, you will enjoy generous benefits and work/life programs. For detailed information on Benefits for this position, click here.


As a UW employee, you have a unique opportunity to change lives on our campuses, in our state and around the world. UW employees offer their boundless energy, creative problem solving skills and dedication to build stronger minds and a healthier world.


UW faculty and staff also enjoy outstanding benefits, professional growth opportunities and unique resources in an environment noted for diversity, intellectual excitement, artistic pursuits and natural beauty. All of which has allowed the UW to be nationally recognized as a “Great College to Work For” for four consecutive years.


The Brotman Baty Institute for Precision Medicine (BBI) is a recently launched, joint venture of the University of Washington, the Fred Hutchinson Cancer Research Center and Seattle Children’s Hospital, made possible by a $50 million gift from the Brotman and Baty Families. The BBI Advanced Technology Lab is a new entity within this institute tasked with making cutting-edge ‘-omics’ technologies broadly available to the Institute’s research community. Through the BBI Advanced Technology Lab, the institute will have the capacity to generate transcriptomic profiles from at least 10 million single cells across 30 investigator-initiated projects from all three institutions. We will soon start operating as a cost center, taking on projects first from BBI members followed by an expansion to the wider research community.


The Department of Genome Sciences currently has an outstanding opportunity for a SOFTWARE ENGINEER.


Position purpose:

The purpose of the BAT-lab Analysis Team is to train BBI member labs in currently available single cell informatics in order to glean biological insights from the data generated by the BAT-lab. In addition, the team will continue to develop novel algorithms to integrate and visualize data across projects, tissues, time courses, etc. The BBI anticipates the capacity to generate additional datasets including single-cell chromatin accessibility profiling and co-assays as appropriate for specific projects. As a Lead Single Cell Genomic Data Analyst for BAT-lab Analysis team the candidate would be responsible for:


Software Engineering and Data Analysis: 85%

Optimizing and maintaining the data processing pipeline (either in the cloud or on UW Genome Sciences servers) that will mesh with BAT-lab sample tracking.

Developing analytic and/or visualization tools for a cohesive single cell atlas.

Managing a junior analyst.

Holding office hours with individual single cell collaborators to guide data analyses.

Holding video or in-person training workshops to teach collaborators how to use single cell analysis software tools. (i.e. Developing workshops for the BBI Single Cell Symposia and smaller training sessions).

Use BAT-lab project management tools.

Be open to the eventual management of more employees.

Attend conferences to keep up with the field.


Lab Meetings: 10%

Attend Trapnell and/or Shendure lab meetings and BAT-lab huddles.


Publications: 5%

Even though the BATLab Platform is a service, any BBI collaborative project with excessive hand-holding for data analysis will include the software engineer as an author. The software engineer’s contributions will be recognized not only in Seattle by the BBI community but nationally and internationally, as he/she will have ample opportunities to lead publications describing new data analysis or visualization tools as well as to attend/present at conferences. We anticipate this role has growth potential analogous to that of Institute Scientists at the Broad Institute many of whom are well recognized leaders in their field.

You would communicate results and progress directly to Dr. Lea Starita and Dr. Jay Shendure. You would participate in Shendure and Trapnell lab meetings to help maintain communications between the BAT-lab and their groups. The software engineer will also communicate with Dr. Cole Trapnell regarding new analyses and pipeline work. The software engineer will spend time at UW in the H-wing to work with the BAT-lab, Genome Sciences for lab meetings, and hold office hours at Seattle Children’s Research Institute and Fred Hutch.

As an early member of the BAT-lab, you will have the opportunity to shape that lab’s organization and culture, as well as that of the BBI more generally. The BAT-lab has a large budget and broad institutional support which will help us achieve maximum success. We expect that the single cell projects and your contributions will be recognized not only in Seattle by the BBI community but nationally and internationally.


Minimum requirements:

Ph.D. in genomics, computational biology, or related field.

At least four years relevant experience in software development for genomics.

Candidate should have outstanding academic and professional track record.

Candidate should be an analytical thinker with outstanding interpersonal and communication skills. Must be highly disciplined and organized.

Candidate should be enthusiastic about outreach to the local research community

Successful candidate will be highly self-motivated and eager to a hands-on approach to collaborative scientific discovery efforts.


Preferred qualifications:

Expert R and/or Python programming skills – ideally both

Experience with pipeline development tools like Nextflow or Snakemake

Experience with cluster use (Sun Grid Engine or similar)


Application Process:

The application process for UW positions may include completion of a variety of online assessments to obtain additional information that will be used in the evaluation process. These assessments may include Work Authorization, Cover Letter and/or others. Any assessments that you need to complete will appear on your screen as soon as you select “Apply to this position”. Once you begin an assessment, it must be completed at that time; if you do not complete the assessment you will be prompted to do so the next time you access your “My Jobs” page. If you select to take it later, it will appear on your ""My Jobs"" page to take when you are ready. Please note that your application will not be reviewed, and you will not be considered for this position until all required assessments have been completed.

Committed to attracting and retaining a diverse staff, the University of Washington will honor your experiences, perspectives and unique identity. Together, our community strives to create and maintain working and learning environments that are inclusive, equitable and welcoming.
The University of Washington is a leader in environmental stewardship & sustainability, and committed to becoming climate neutral.
The University of Washington is an equal opportunity, affirmative action employer. To request disability accommodation in the application process, contact the Disability Services Office at 206-543-6450 / 206-543-6452 (tty) or dso@uw.edu."
5,Solutions Consultant,"Seattle, WA 98104",Seattle,WA,98104,None Found,None Found,None Found,None Found,None Found,None Found,"Job Title: Solutions Consultant
Location: New York, NY or Seattle, WA

The Company:
Placements.io [https://placements.io/] is changing the way digital media publishers manage their advertising businesses. Our SaaS platform makes advertising sales, operations, billing and revenue reporting painless for digital media publishers and eCommerce.

In an increasingly fragmented ad tech landscape, Placements understands the importance of creating a connected ecosystem for its customers, who depend on Placements to help them scale. A product-first company, Placements is engineering focused and the team is comprised of industry leading talent from Amazon, Microsoft, Salesforce.com, FreeWheel, Operative, AppNexus, and OpenX.

Headquartered in Seattle where Placements.io was founded, the company launched its New York office in early 2018. We have plans to expand to London in Q1 2019.

The Solutions Consulting Team:
The Solutions Consulting team is the face of the company during implementation and ongoing growth. Our team helps our customers by solving problems, scaling solutions, incubating new products, and sharing user feedback with internal teams to influence product development. They act as key partners to our customers and our internal teams and work with our internal partners to make our customers successful.

You'll enjoy significant ownership of and responsibility for what you work on, every day. And you'll have a life. Personal development is important and we allow you to play to your strengths while stretching you with new challenges. We respect your time and rarely work outside of normal business hours.

The Position:
As a Solutions Consultant, you will be responsible for on-boarding new clients onto the Placements platform. Since our clients have unique needs, you will have exposure to a wide variety of projects and no two days are alike.

Based on customer requirements, you will provide consultative recommendations on how to best use and configure the Placements platform. You will configure and present tailored Placements.io product demonstrations to customer throughout various implementation and end user trainings.

You will also work with internal teams to ensure customer success and will serve as a customer advocate with our product team. You will need to exhibit a strong combination of analytical prowess, technical aptitude and business judgment. You will be expected to focus on results, be a self-starter and demonstrate success in using analytics to drive the understanding, progression and excellence in product and operations.

Candidate must quickly become an expert in the functional and technical aspects of Placements.io product and related integration points. Candidate must be a skilled presenter of product features and associated benefits related subject matter important to the customer.

This position reports to the Director of Solutions Consulting.

The ideal candidate will have:

Excellent written and verbal communication skills
Strong leadership skills
The ability to present complex technical capabilities and solutions
4-8 years as a management or systems integration consultant, business analyst, or data analyst
Strong experience working with client and stakeholders during full cycle software implementations
Enterprise implementation experience in aspects of the implementation lifecycle including: Requirements Gathering and Documentation, Product Configuration, Data Import/Export, Testing, and Training
Ability to creatively find product solutions to solve client requirements
Demonstrated experience in systems implementation rollouts across cross-functional groups
Ideally the candidate will have admin-level experience with systems such as Salesforce.com, NetSuite, Oracle, and ad servers (e.g. DFP, Freewheel, AppNexus)
Bonus: SQL and/or Python experience
Bonus: Top-Tier BA/BS, Masters Degree

The positions is based in New York, NY, but we are willing to consider candidates based in Seattle, WA. Approximately 15% - 20% travel to client locations

Benefits :

Competitive Salary
Early- Stage Stock Options
Unlimited PTO
401k match
Company Paid Medical, Dental, Vision, Life
Regular Company Lunches & Happy Hours
Gym membership reimbursement

"
6,Senior Data Analyst (Local Candidates Only),"Redmond, WA",Redmond,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Rational Consulting is growing, and we need amazing talent to join our team. If you have an entrepreneurial attitude with a deep spirit of service and killer subject expertise, we want to talk to you. We are always looking for the next great consultant to raise the bar and push Rational Consulting to be better than we were yesterday. Staying hungry, curious, and looking forward to what?s next is part of our DNA.
We are currently looking for a Data Analyst to consult on projects with our tech client in Redmond, WA. This is an 18-month contract position. Rational is currently providing strategy and analysis support to our client?s retail team. In this role you will help translate the data across all of the client?s storefronts to understand the greater themes and represent the data in a consumable format.
What You Will Do:
Work across multiple projects at any given time
Develop and build out comprehensive slide decks to be presented at executive-level meetings
Work with multiple stakeholders across multiple projects
Always look for opportunities to better represent the data
What You Will Bring:
5+ years of professional Data Analysis experience
Strong quantitative and analytical skills (e.g. write SQL and query directly off of databases, build PowerBI reporting and use of APIs, predictive modeling, data analysis, ability to create and manipulate pivot tables, write formulas, etc.)
Experience with Azure Data Lake preferred, but not required
Executive communication experience (e.g. PowerPoint storyboarding, being able to tell an end to end story, comprehensive slide development, memo writing, etc.)
Ability to see the bigger picture
Experience working across a wide variety of backgrounds and personalities
Retail Experience is a major plus, physical or online
Who You Are:
Analytical. Values data, understands the story it tells and can forecast outcomes.
Solution-oriented. You are an idea person & enjoy coming up with smart solutions to new & existing challenges.
Data Lover. You know your numbers and value the metrics behind the buyer story
Self-sufficient.?You get stuff done, you?are able to?work with little direct supervision but know when to ask for help.??
Adaptable. Change happens at lightning speed (especially at Rational), you are flexible, enjoy challenge, and get behind new ideas
Rational Consulting is a results-oriented consultancy designing premium customer experiences. Each of our business practices are deeply rooted in delivering client success. We see ourselves as partners to our clients, and we invest in each of their business goals, ensuring that our work helps deliver on these goals. Client success is our ultimate metric, and what drives our mindset, skillset, and company culture.
Incredible people are our non-negotiable. Our experienced team of consultants spans the globe. We love what we do, and who we do it with ? let?s begin our next chapter together.?"
7,Data Analyst,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Data Analyst-190018G6


Detailed Description and Job Requirements

Manage the development and implementation process of a specific company product.

Manage the development and implementation process of a specific company product involving departmental or cross-functional teams focused on the delivery of new or existing products. Plan and direct schedules and monitor budget/spending. Monitor the project from initiation through delivery. Organize the interdepartmental activities ensuring completion of the project/product on schedule and within budget constraints. Assign and monitor work of systems analysis and program staff, providing technical support and direction.

Work involves some problem solving with assistance and guidance in understanding and applying company policies and processes. Gaining competence in own area and acquiring a higher level understanding of role, processes and procedures. BS degree or equivalent experience relevant to functional area. 0-2 years of previous project management, product design or related experience needed.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law."
8,Business Analyst,"Seattle, WA 98144",Seattle,WA,98144,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:
This position provides project administration support and data analysis for a large account. Focus will be the implementation of organizational best practices, customer satisfaction, and service communication with the oversight from the Account Project Manager.

Key Responsibilities:
Collect and analyze data from various sources and create new features to expand analytic and forecast processes.
Work with internal teams to understand business needs and changing strategies.

Analyzes, interprets and audits project plans and processes to identify trends, draw conclusions, ensure compliance, and make recommendations; responds to inquiries regarding project plans, tasks, deliverables, status, process, policies, and procedures to ensure timely completion of deliverables, make recommendations and improve the process.

Create compelling visualizations for management presentations

Work along side Account Project Manager to communicate project details, through written materials such as proposals, reports, presentations, correspondence and agendas for clear understanding and facilitation.

Identify new approaches to challenge the status quo with how to introduce, evaluate, and implement emerging Information Technology Infrastructure trends

Perform other general administrative functions as assigned.

Performs other duties as assigned or requested.

Job Requirements:
Knowledge, Skills & Abilities:
Bachelor’s degree in business, science, finance or equivalent field that demonstrates quantitative and analytical orientation.

Minimum of 2 years of work-related experience such as Project Admin, Admin Assistant, and/or Data Analyst.

Experience in a position requiring problem solving and independent thinking.

Experience researching and analyzing data and presenting recommendations/observations.

Self-starter who can effectively manage priorities and work collaboratively with others.

Demonstrated ability to think creatively, to work independently and effectively in a competitive and changing environment.

Candidate must be proficient in the use of Word, Excel, PowerPoint and SharePoint.

Ability to take responsibility and ownership for delivering on all assigned tasks.
Travel Required : 10 – 25%

Preferred Qualifications:
Proficiency in query/reporting tools, SQL, Advanced Excel, Tableau (or similar visualization tool)"
9,Business Systems Analyst,"Federal Way, WA",Federal Way,WA,None Found,None Found,None Found,None Found,None Found,None Found,"
Proven working experience as a data analyst or business data analyst.
Develop strong business and technical understanding of Master Data Management product and data warehouse.
Proficient in processing different data formats and tables from kinds of data sources.
Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy.","Job Description:

We are looking for a BSA with deep skills in performance analytics and usage.

Specific roles and responsibilities include:

Adept at queries, report writing and presenting findings.
Interpret data, analyze results using statistical techniques and provide ongoing reports.
Create test bed scenrios ,test bed data , Source to target mappings.
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality.
Acquire data from primary or secondary data sources and maintain databases/data systems.
Identify, analyze, and interpret trends or patterns in complex data sets.
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems.
Work with management to prioritize business and information needs.
Locate and define new process improvement opportunities.
Test and deploy standard and custom reports to internal and/or external end users for strategic and operational analysis.
Requirements for this position include:

Proven working experience as a data analyst or business data analyst.
Develop strong business and technical understanding of Master Data Management product and data warehouse.
Proficient in processing different data formats and tables from kinds of data sources.
Technical expertise regarding data models, database design development, data mining and segmentation techniques.
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy."
