,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Analyst,"McLean, VA",McLean,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Data Analyst
Log in
Share this
Find similar career opportunities
Data Analyst
Category: Development/Engineering
City: McLean, Virginia, United States
Position ID: J0919-1524
Employment Type: Full Time
Meet our professionals
CGI: A place to build an IT career
Position Description:
CGI is seeking to hire a Data Architect/Analyst in McLean, VA. In this role, you will be responsible for working directly with the client to support management reporting activities for a Top initiative at a Large Financial Institution. This is an exciting opportunity to work with CGI’s Cyber Security practice, in a high impact part of a global bank. You will be exposed to and work with seasoned client personnel in helping them satisfy critical regulatory obligations. The role requires working with both business and technology groups and has high upward visibility – reporting directly to the team leader of this initiative.
Your future duties and responsibilities:
Maintain and manage the Data Analytics architecture, including: Physical / logical Data Model, Data Warehouse and ETL
Design, develop, implement and maintain programs to load, aggregate, and extract data to meet a wide range of business requirements
Provide Data Services for Chief Security Office and Regulatory Reporting
Analyze multiple data sources and prepare senior management reports
Review and maintain data models and data quality in association with other Data analysts
Optimize reporting capabilities
Prepare comprehensive documentation and ensure timely completion of assigned work
Maintain and manage the Data Analytics architecture, including: Physical / logical Data Model, Data Warehouse and ETL
Design, develop, implement and maintain programs to load, aggregate, and extract data to meet a wide range of business requirements
Provide Data Services for Chief Security Office and Regulatory Reporting
Analyze multiple data sources and prepare senior management reports
Review and maintain data models and data quality in association with other Data analysts
Optimize reporting capabilities
Prepare comprehensive documentation and ensure timely completion of assigned work
Required qualifications to be successful in this role:
Skill Sets
Data Modeling - 7+Years - Senior
Experience in ETL, Oracle, MSSQL and related technologies -5+ Years - Senior
Data Analysis - 5+ Years - Senior
Business Intelligence 5+ Years Senior
MS Access 2+ Years Novice to Intermediate
Python 2+ Years Novice to Intermediate
What you can expect from us:
Build your career with us.
It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.
At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.
Be part of building one of the largest independent technology and business services firms in the world.
Learn more about CGI at www.cgi.com .
No unsolicited agency referrals please.
CGI is an equal opportunity employer.
Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.
CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at USEmploymentCompliance@cgi.com . You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned .
We make it easy to translate military experience and skills! Click here at https://cgi-veterans.jobs/ to be directed to our site that is dedicated to veterans and transitioning service members.
All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held.
CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI’s legal duty to furnish information."
1,Data Analyst,"Washington, DC",Washington,DC,None Found,None Found,"Bachelor’s Degree
5+ years of experience in using statistical methodologies to identify vulnerabilities in the Medicare, Medicaid, and Managed Care programs.
Demonstrated experience and knowledge of health care information. ICD-9 and ICD-10 codes, physician specialty codes, and provider/supplier identifiers.
Experience and proficiency in programming, web programming and data manipulation
Knowledge of Medicare parts A, B, C, and D benefits.
Experience in the design, management, and oversight of databases.
Proficiency in SAS, SQL, Microsoft Access and Microsoft Excel.
",None Found,"Statistical analysis and model development using programming languages.
Work with project stakeholders and the software development team to develop data analysis and machine learning algorithms for business stakeholders.
Develop analytics solutions that are scalable, repeatable, effective, and meet the expectations of the decision-makers and stakeholders.
Directly support users by developing advanced reporting and analytics.
Assisting users in choosing data sources and discovering new methods for achieving goals.
",None Found,None Found,"Analytica is seeking a Data Analyst to support a federal government client in Baltimore, MD. Analytica has been recognized by Inc. Magazine as the fastest-growing private US small business. We work with U.S. government customers in health, civilian, and national security missions. As a core member you’ll work with a diverse team of professionals to develop application systems for clients in a platform-diverse environment. We offer competitive compensation with opportunities for bonuses, employer paid health care, training and development funds, and 401k match.

Responsibilities:
Statistical analysis and model development using programming languages.
Work with project stakeholders and the software development team to develop data analysis and machine learning algorithms for business stakeholders.
Develop analytics solutions that are scalable, repeatable, effective, and meet the expectations of the decision-makers and stakeholders.
Directly support users by developing advanced reporting and analytics.
Assisting users in choosing data sources and discovering new methods for achieving goals.


Basic Qualifications:
Bachelor’s Degree
5+ years of experience in using statistical methodologies to identify vulnerabilities in the Medicare, Medicaid, and Managed Care programs.
Demonstrated experience and knowledge of health care information. ICD-9 and ICD-10 codes, physician specialty codes, and provider/supplier identifiers.
Experience and proficiency in programming, web programming and data manipulation
Knowledge of Medicare parts A, B, C, and D benefits.
Experience in the design, management, and oversight of databases.
Proficiency in SAS, SQL, Microsoft Access and Microsoft Excel.
About ANALYTICA: Analytica is a leading consulting and information technology solutions provider to public sector organizations supporting health, civilian, and national security missions. Founded in 2009 and headquartered in Washington D.C., the company is an established SBA certified HUBZone and 8(a) small business that has been recognized by Inc. Magazine each of the past three years as one of the 250 fastest-growing companies in the U.S. Analytica specializes in providing software and systems engineering, information management, analytics & visualization, agile project management, and management consulting services. The company is appraised by the Software Engineering Institute (SEI) at CMMI® Maturity Level 3 and is an ISO 9001:2008 certified provider."
2,Systems/Data Analyst FD,"Herndon, VA 20170",Herndon,VA,20170,None Found,None Found,None Found,None Found,None Found,None Found,"SyApps is a technology and management consulting services firm focused on providing solutions in strategy, processes, technology and management. As a diverse end-to-end IT and management solution provider, SyApps offers a range of technical expertise to help customers compete successfully in an ever-changing marketplace.

Please visit us at www.syapps.com.

Tax Terms: Contract


 Responsibilities:

Understand logical database model and physical database model of the data warehouse.
Perform data variance analysis using PL/SQL between legacy and target state for attributes in scope.
Review the attributes in scope and their logical and physical data model (ELDM) mappings to understand the subject
area as this will be an input to the technical STTM.
Create the technical STTM for attributes in scope based on mappings from source to target.
Review STTM (Source To Target Mapping) with the Scrum Team. Be the liaison between Scrum Team and Advanced Team.
Create data integration and data survival scenarios based on attributes in scope.
Review the interface data requirements to understand the specifics of the interface/source that team is going to work on.
Work with product owner to define all the business and exception scenarios required to be implemented and tested.
Experience creating test data for data scenarios. Validate source files.
Help Product Owner by creating user stories in JIRA
Experience working in Agile Scrum/Kanban process.
Create documentation based on the team needs.
Technical Skills Needed:

Experience using Oracle PL/SQL for data analysis
Experience required in understanding logical and physical data model
Experience required in data comparison and gap analysis
Experience in JIRA is desirable
Education/Experience:

Bachelor's degree in a technical field such as computer science, computer engineering or related field required.
5-7 years’ experience required as Systems Analyst or Data Analyst.


Location: Herndon, VA

SyApps LLC is a Winner of the SmartCEO/Grant Thornton Future 50 Award for being recognized as one of 50 fastest growing companies in the Greater Washington Area.

We are proud of our diverse environment, Equal Opportunity Employer. SyApps is committed to a policy of equal employment opportunity. SyApps participates in E-Verify."
3,Data Scientist - Data Analyst - Experienced Associate,"Washington, DC 20006",Washington,DC,20006,None Found,"
Statistical analysis;
Advanced analytics such as predictive modelling, simulation, artificial intelligence, and machine learning;
Quantitative business and operations analysis;
Human capital analytics or financial management;
Advanced proficiency in an analytics programming language, such as R, Python, or SAS;
Visualization skills such as Tableau, Power BI, or R Shiny.
Knowledge of defense, national security, financial, healthcare, international development, or state and local government environment.","
Analyzing large and complex data sets, with strong aptitude for conducting quantitative and qualitative analysis;
Selecting and applying the appropriate analytical techniques to increase organizational efficiency;
Contributing as a team member: understanding personal and team roles, contributing to a positive working environment by building strong, collaborative relationships with team members;
Identifying and addressing client needs, building relationships with clients, demonstrating flexibility in prioritizing and completing tasks, communicating potential conflicts to a supervisor;
Communicating effectively to various audiences, including various levels of management and external clients, in a professional environment;
Collaborating and working in a team environment, as well as the ability to work independently.
Professionals in Guidehouse LLP may be subject to a government security investigation and may need to meet related eligibility requirements for access to classified information.","
Statistical analysis;
Advanced analytics such as predictive modelling, simulation, artificial intelligence, and machine learning;
Quantitative business and operations analysis;
Human capital analytics or financial management;
Advanced proficiency in an analytics programming language, such as R, Python, or SAS;
Visualization skills such as Tableau, Power BI, or R Shiny.
Knowledge of defense, national security, financial, healthcare, international development, or state and local government environment.","
Statistical analysis;
Advanced analytics such as predictive modelling, simulation, artificial intelligence, and machine learning;
Quantitative business and operations analysis;
Human capital analytics or financial management;
Advanced proficiency in an analytics programming language, such as R, Python, or SAS;
Visualization skills such as Tableau, Power BI, or R Shiny.
Knowledge of defense, national security, financial, healthcare, international development, or state and local government environment.","This position requires successful completion of a background check and employment verification.
The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.","Overview
What do you get when you bring together the brightest minds and place them into an exciting, fast-paced environment that fosters intellectual growth and rewards based on impact, not tenure?

You get one of the fastest growing consulting companies in the United States. While we may be a new name in consultancy, we were born from a storied one. Guidehouse was founded in 2018 as an evolution of PwC Public Sector with a mission to help our clients deliver on their mission; providing bold new strategies that catalyze transformative results across all ends of the enterprise. We embrace brilliance. We embrace independence. Join us.
Responsibilities
Guidehouse LLP provides business advisory services, including risk consulting, management consulting, and technology consulting to U.S. federal government and state and local governments. Guidehouse LLP (formerly PwC Public Sector) was founded in 2005. Guidehouse LLP is one of four organizations to receive the 2014 Malcolm Baldridge National Quality Award. The Baldridge Award is the nation’s highest Presidential honor for performance excellence.

Our consultants on the Data Analytics team help clients maximize the value of their data. This high performing team helps clients implement advanced analytical techniques such as machine learning and artificial intelligence to define their information strategy, enable mission critical insights, reduce cost and complexity, increase trust, and improve operational effectiveness.
Qualifications
Minimum Security Clearance: None
Minimum Years of Experience: 1
Minimum Education: Bachelor's degree in: Statistics, Mathematics, Operations Research, Computer Science, Information Systems, Engineering, Economics, or similar quantitative discipline. Graduate degree preferred.
This role contractually requires US Citizenship

Knowledge Preferred:
Demonstrates significant experience working with analytical models, methods, or techniques and the ability to apply them within the public sector. This background should include:
Statistical analysis;
Advanced analytics such as predictive modelling, simulation, artificial intelligence, and machine learning;
Quantitative business and operations analysis;
Human capital analytics or financial management;
Advanced proficiency in an analytics programming language, such as R, Python, or SAS;
Visualization skills such as Tableau, Power BI, or R Shiny.
Knowledge of defense, national security, financial, healthcare, international development, or state and local government environment.

Skills Preferred:
Demonstrates thorough skills and/or proven success in project roles including the following:
Analyzing large and complex data sets, with strong aptitude for conducting quantitative and qualitative analysis;
Selecting and applying the appropriate analytical techniques to increase organizational efficiency;
Contributing as a team member: understanding personal and team roles, contributing to a positive working environment by building strong, collaborative relationships with team members;
Identifying and addressing client needs, building relationships with clients, demonstrating flexibility in prioritizing and completing tasks, communicating potential conflicts to a supervisor;
Communicating effectively to various audiences, including various levels of management and external clients, in a professional environment;
Collaborating and working in a team environment, as well as the ability to work independently.
Professionals in Guidehouse LLP may be subject to a government security investigation and may need to meet related eligibility requirements for access to classified information.
Additional Requirements
This position requires successful completion of a background check and employment verification.
The successful candidate must not be subject to employment restrictions from a former employer (such as a non-compete) that would prevent the candidate from performing the job responsibilities as described.
Disclaimer
Guidehouse is an affirmative action and equal opportunity employer. Employment decisions will be made without regard to race, color, religion, sex, age, national origin, military status, veteran status, handicap, physical or mental disability, sexual orientation, gender identity, genetic information or other characteristics protected by law.

If you have visited our website for information about employment opportunities, or to apply for a position, and you require an accommodation, please contact Guidehouse Recruiting at 1-571-633-1711 or via email at RecruitingAccommodation@guidehouse.com. All information you provide will be kept confidential and will be used only to the extent required to provide needed reasonable accommodation.

Guidehouse offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflects our commitment to creating a diverse and supportive workplace.

Benefits include:
Medical, Rx, Dental & Vision Insurance
Personal and Family Sick Time & Company Paid Holidays
Parental Leave and Adoption Assistance
401(k) Retirement Plan
Student Loan Paydown
Basic Life & Supplemental Life
Health Savings Account, Dental/Vision & Dependent Care Flexible Spending Accounts
Short-Term & Long-Term Disability
Tuition Reimbursement, Personal Development & Learning Opportunities
Skills Development & Certifications
Employee Referral Program
Corporate Sponsored Events & Community Outreach
Emergency Back-Up Childcare Program"
4,Mid-Level Data Analyst - EEOD,"Bethesda, MD",Bethesda,MD,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Mid-Level Data Analysts – EEOD
Xator Corporation is looking for candidates for Mid-Level Data Analyst to support our client in Bethesda, MD. The ideal candidate will have experience in all areas listed below, and must have a current TS/SCI clearance with a current polygraph – no exceptions.
Mid-level Data Analyst to assist IC EEOD in researching, preparing or writing, assembling, and uploading web- hosting materials and information (including visualizations) related to IC-wide EEOD topics, including, but not limited to, EEOD programs, resources, and policies for content creation for the IC EEOD website and associated graphics for various events;
Collect pertinent workforce data from all 17 IC agencies (including ODNI); track submissions and ensure verification, timeliness, and completion of data collected and establish benchmarks using similar data collected from other federal agencies. Adhere to associated reporting period dates from Oct. 1- Sept. 30;
Provide support through responding to inquiries, requests for presentations, assistance in preparing presentations, and ad hoc data meetings during the reporting timeframes of Oct.1-Sept. 30;
Facilitate working groups and/or on-site meetings with IC elements, as needed, before, during, and after the data call, to ensure understanding of IC element data issues-historic and emerging-and devise solutions acceptable to stakeholders;
Manipulate, analyze, assess, and prepare tables and visualizations required for IC EEOD Congressional Budget Justification Book (CBJB) submissions, briefings, and other ad hoc data queries, and
On occasion (as directed) represent IC EEOD (with prior approval of the EEOD COTR or designated POC) in IC element and inter-agency engagements (meetings, phone calls, briefings) to facilitate coordination of activities, but not to commit the Government to any course of action. As appropriate, shape the agenda for such meetings to achieve the ODNl's strategic EEOD objectives.
Required:
Bachelor's degree in computer science, information systems, or other technology related field.
Four (4) years of relevant analytic experience.
Demonstrated ability to develop methodological designs to address research questions and the ability to present analysis clearly.
Excellent presentation skills to include data visualization.
Excellent presentation skills, to include data visualization.
Experience delivering presentations to senior level officials with minimal guidance and on short notice; seasoned facilitation skills; polished oral communication skills that encourage collaboration; and superb written communication skills that require minimal edits.
Desired:
Experience with annual and quarterly congressional reporting requirements.
Experience working in an intelligence community organization
Equal Opportunity Statement
Xator Corporation provides equal opportunity to all applicants for employment as required by and/or consistent with applicable country law and company policy. Consistent with the foregoing, Xator Corporation provides qualified applicants consideration for employment without regard to race, color, religion, sex, national origin, age, disability,
veterans' status, citizenship, sexual orientation, gender identity or any other status(s) protected by law. In the United States, Xator Corporation ensures nondiscrimination in all programs and activities in accordance with Title VI of the Civil Rights Act of 1964.

IND123
kppBTwV5IB"
5,Senior Data Analyst,"Alexandria, VA",Alexandria,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Archimedes Global is currently seeking a Data Analyst to join our team in Alexandria, VA.

The selected Data Analyst will be responsible to:
Perform qualitative and quantitative statistical analyses using multiple disparate data sets from numerous sources to inform senior decision makers to improve TAPExtract pertinent data from DoD data sources and integrates complex data from additional sources, creates composite variables, merges multiple datasets, performs t-tests, ANVOAs, correlations, multiple regression, and longitudinal trend analysis using statistical software such as STATA, SPSS, or SAS to resolve data problems and identify trends across monthly/quarterly data to interpret data and identify policy or program implicationsManipulate large data files by populating data into templates and performs analyses to interpret data by creating pivot tables, conditional formatting, and generating complex data figures and tablesCompile and analyze TAP data to support veteran transition strategies and endeavorsRespond to RFIs and conduct ad-hoc statistical analyst for TVPO, interagency partners, and stakeholders
Required Qualifications:
Bachelor's degree and 8+ years of experience
An Active NACLC security clearance required; Secret security clearance strongly desired

Archimedes Global, Inc. is a diversified technology company providing information and engineering solutions to government and businesses worldwide. Archimedes delivers superior results by combining deep domain expertise with technology-enabled innovations. We are proud to offer highly competitive compensation packages and outstanding benefits. If you feel you have what it takes, turn your interest into action & apply now!"
6,Data Analyst - Capture Operations,"Centreville, VA",Centreville,VA,None Found,None Found,None Found,None Found,"
Work directly with Executive Leadership to provide analytics, metrics, intelligence through custom reports and market research.
Work with Executive Leadership to define and create data parameters for new reporting requirements and to establish/update reports that align with current and new strategies (Growth Days, Monthly Management Reviews, Competitor Reports, Proposal Operations, adhoc reports, etc.)
Utilize Salesforce Sales Cloud CRM and Salesforce Einstein to create custom reports, dashboards, exception reports, and other adhoc reporting",None Found,None Found,"Being well organized is a quality we greatly admire!
You know that in order to keep organized you need an active presence of mind. And that is your best asset. You have that keen eye and that sharp power of observation that are required to scan the working environment. You easily identify fragments and put them together with the skill of a puzzle-builder. You are able to identify loose ends and rapidly tie them together to create coherence. If you have such organizational skills and the capacity to sharpen them to their finest point if and when necessary, please apply.
Over View
Requires the ability to comprehend and process a vast amount of information related to the needs of the organization, with an unwavering commitment to ensuring data integrity i.e., one version of the truth. Required to quickly understand the data challenges and be able to provide solutions in a timely manner. Must review and edit specific requirements, specifications, business processes and recommendations to ensure successful outcomes. Also responsible for identifying strengths and weaknesses in Salesforce Sales Cloud CRM and proposing solutions. Must also develop and support functional specifications and system design details related to group goals and requirements. Must possess knowledge specific to the business/market requirements. Drive the compliance with deliverable deadlines and schedules by providing effective communication, defining and applying standards, managing resources in accordance with project schedules and delivering quality outcomes to management.
Responsibilities:
Executive Reporting
Work directly with Executive Leadership to provide analytics, metrics, intelligence through custom reports and market research.
Work with Executive Leadership to define and create data parameters for new reporting requirements and to establish/update reports that align with current and new strategies (Growth Days, Monthly Management Reviews, Competitor Reports, Proposal Operations, adhoc reports, etc.)
Utilize Salesforce Sales Cloud CRM and Salesforce Einstein to create custom reports, dashboards, exception reports, and other adhoc reporting
Data Analytics
Work directly with Executive Leadership to define data requirements to support group goals
Utilize Salesforce Sales Cloud CRM and Salesforce Einstein to identify data deficiencies and provide mitigation strategies to ensure data integrity
Provide data supported strategies to Executive Leadership based on data analytics
Provide training on Salesforce Sales Cloud CRM and Salesforce Einstein
Data Management
Regularly work to analyze work flows and makes recommendations for streamlining or improving the process and function related to all data in Salesforce Sales Cloud CRM
Define and provide Salesforce Sales Cloud CRM training on new data requirements from Corporate
Continue to lead the automation and process to drive data integrity within Salesforce Sales Cloud CRM system
Incorporate needs from disparate groups to provide solutions that support the whole
Market Intelligence Analyst
Work directly with Executive Leadership to provide market and competitive intelligence
Key role in researching data and developing formal presentation to major clients (Internal & External)
Partner with Market Business Development (BD) Leads to continually define and determine the market intelligence needs and goals for meeting corporate requirements
Salesforce Sales Cloud CRM Product Manager
Advise and support in cross-functional product development and product strategy
Provide Salesforce Sales Cloud CRM product expertise
Act as internal expert on changes to Salesforce Sales Cloud CRM
Maintain ongoing and thorough understanding of Salesforce Sales Cloud CRM strengths and weaknesses and provide solutions
Provide input into longterm vision and strategy for Salesforce Sales Cloud CRM and Salesforce Einstien
Receive ongoing/periodic training and certifications related to Salesforce Sales Cloud CRM administration and reporting
PREFERRED EDUCATION/EXPERIENCE
The Salesforce Sales Cloud CRM Data Analyst position ideally would require a minimum of 5 years direct experience with Salesforce Sales Cloud CRM and a Bachelors degree in data analytics. Exposure to reporting and data related to the engineering and construction critical infrastructure solutions and products field is preferred. Applicants must have demonstrated proficiency in Salesforce Sales Cloud CRM and have successfully completed Salesforce Sales Cloud Consultant and Salesforce Administration certifications.
SKILLS/COMPETENCIES
The successful candidate will need to have demonstrated high achievement with limited resources, the ability to influence others through effective collaboration and excellent verbal and written communication skills. Excellent analytic and understanding of data is essential. Advanced MS Excel and PowerPoint proficiency is a must.
_
Ready for action? Were looking for the kind of people who see this opportunity and dont hesitate to act. Parsons is a leader in the world of Technical Services and Engineering. We hire people with a broad set of technical skills who have proven experience tackling some of the greatest challenges. Take your next step and apply today."
7,Records Examiner / Analyst Supporting the FBI - FAM,"Washington, DC 20535",Washington,DC,20535,None Found,None Found,None Found,None Found,None Found,None Found,"Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA, a rapidly growing joint venture owned by trusted solutions providers SAIC and AECOM, has a vacancy for a Records Examiner/Analyst. In this role, you will be supporting the overall mission of the FBI.

A Records Examiner/Analyst will provide Data Analyst tasks and executes the following duties:


Review Data and information from multiple sources
Establish case/project files
Enter and retrieve data from data bases
Prepare and format management reports
Manipulate, transfer, compute and print information
Create and manipulate spreadsheets
Prepare and correct reports and correspondence using word processing software
Conduct validation and verification of case files and case data system

The Records Examiner / Analyst may serve as the contractor's supervisor in small offices. The Records Examiner / Analyst shall have the ability to:


Be responsible for the day to day supervision of contractor assignments
Provide on-site supervision for Contractor workforce
Provide on-the-job training for new personnel
Ensure Contractor personnel meet periodic training requirements
Schedule Contractor employees
Provide on-site quality assurance and quality control of work performed by Contractor personnel

The Department of Justice (DOJ) Asset Forfeiture Program encompasses the seizure and forfeiture of assets that represent the proceeds from or were used to facilitate federal crimes. The primary mission of the Program is to employ asset forfeiture powers in a manner that enhances public safety and security. This is accomplished by removing the proceeds of crime and other assets relied upon by criminals and their associates to perpetuate their criminal activity against our society. Asset forfeiture has the power to disrupt or dismantle criminal organizations that would continue to function if we only convicted and incarcerated specific individuals.

NOTE: Applicants with an ACTIVE Top Secret Clearance preferred

A Records Examiner/Analyst required and preferred qualifications:


A four year undergraduate degree is preferred
Must have one year's experience in a field related to law enforcement
Applicants with skill and experience as a legal assistant/legal aid are preferred
Attention to detail and the ability to read and follow directions is very important
Good oral and written communications skills are highly desirable
Must possess a demonstrated ability to analyze documents to extract information
Ability to review and analyze data and information from multiple sources
Ability to establish case/project files
Ability to enter and retrieve data from data bases
Ability to prepare and format management reports
Ability to manipulate, transfer, and compute and print information
Ability to create and manipulate spreadsheets
Ability to prepare and correct reports and correspondence using word processing software

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.

Preference will be given to applicants that already possess an Active Top Secret clearance.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law."
8,Data Analyst,"Sterling, VA",Sterling,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Location : 21165 Whitfield PL, #106, Sterling, VA 20165, USA
Job Description: : Hold and facilitate test plan/case reviews with cross-functional team members.Interpret data, analyse results using statistical techniques and provide ongoing reports.Develop and implement data collection systems and other strategies that optimize statistical efficiency and data quality.Acquire data from primary or secondary data sources and maintain databases/data systems.Identify, analyse, and interpret trends or patterns in complex data sets.Filter and ""clean"" data, and review computer reports, printouts, and performance indicators to locate and correct code problems.Work closely with management to prioritize business and information needs. Locate and define new process improvement opportunities.Identify any potential quality issues per defined process and escalate potential quality issues immediately to management.Ensure that validated deliverable meet functional and design specifications and requirements.Isolate, replicate, and report defects and verify defect fixes.
Bachelor’s degree or equivalent combination of education and experience.Bachelor’s degree in computer science, or related field preferred
Contact: US Software & Consulting Inc, Mr.UmeshVeeraiah, Vice-President, Email:Umesh@ussc-corp.com Fax:(703) 636-7793"
9,Data Analyst SME,"Lorton, VA",Lorton,VA,None Found,None Found,None Found,None Found,None Found,"
Bachelor’s degree in a business related discipline and demonstrate knowledge and experience of data analysis techniques and methodologies with ten or more years of experience conducting comprehensive acquisition and data analysis.",None Found,"Overview
Data Analyst-SME
EOD Suitability
Lorton, VA

Job Description
Demonstrate experience, skill and knowledge in the area of acquisition and data analytics.
Provide support of analysis of the cost, schedule, and performance parameters of all active contracts within CBP/OIT.
Maintain and update all the data analysis, through a live action dashboard that provides near real-time statistics of all OIT active contracts.
Demonstrate strong knowledge of various DHS contract vehicles as well as appropriately quantifying acquisition data.
Experience/Education
Bachelor’s degree in a business related discipline and demonstrate knowledge and experience of data analysis techniques and methodologies with ten or more years of experience conducting comprehensive acquisition and data analysis."
