,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Big Data Engineer,"Bellevue, WA",Bellevue,WA,None Found,None Found,"
4+ years of relevant technical experience, including 2+ years with noSQL databases (MongoDB preferred) as well as experience with SQL
Strong Python coding skills
Experience developing and implementing ETL architectures with large, complex data sets
Understanding of database architecture and data lakes
Distributing computing (parallel processing, multi-threading) – Hadoop, MapReduce, Spark
Hands-on experience with web crawling/web scraping required (6+ months)
Experience developing APIs
Experience with Node.js and familiarity with Machine Learning are pluses
Strong quantitative data analysis skills
Beyond the technical, strong business thinking is required, including experience or interest in consumer apps/consumer tech
Curiosity about anomalies in the data and the ability to identify the business opportunities they represent.
Strong communication skills and excitement around championing your great ideas and insights to stakeholders at all levels
Azure experience is a plus
",None Found,None Found,None Found,"
4+ years of relevant technical experience, including 2+ years with noSQL databases (MongoDB preferred) as well as experience with SQL
Strong Python coding skills
Experience developing and implementing ETL architectures with large, complex data sets
Understanding of database architecture and data lakes
Distributing computing (parallel processing, multi-threading) – Hadoop, MapReduce, Spark
Hands-on experience with web crawling/web scraping required (6+ months)
Experience developing APIs
Experience with Node.js and familiarity with Machine Learning are pluses
Strong quantitative data analysis skills
Beyond the technical, strong business thinking is required, including experience or interest in consumer apps/consumer tech
Curiosity about anomalies in the data and the ability to identify the business opportunities they represent.
Strong communication skills and excitement around championing your great ideas and insights to stakeholders at all levels
Azure experience is a plus
","About us

Launched in October 2018, the Likewise app is the fun, social and incredibly useful way for people to discover, curate, and share recommendations on TV shows, movies, books, podcasts, restaurants, travel and more. Best of all, Likewise helps people quickly find recommendations from their friends, family, and other trusted sources.
Imagined and backed by Bill Gates’ private office, Likewise is a rare early-stage startup that is thinking big, playing to win, and investing to continue its rapid growth trajectory. If you are passionate about what you do, and want to be a core part of creating a household consumer name, then come talk to us about getting in on the fun!
Here's a link to a Geekwire article about us: https://bit.ly/2RuxBlx. And Built In Seattle named us one of Seattle’s 50 Startups to Watch in 2019! https://bit.ly/2VXup3o
Role
With the Likewise app launched, we have a lot of fun and creative work ahead of us in making Likewise’s AI into the end-all-be-all for determining the best recommendations to consumers across any category – movies, podcasts, books, restaurants, travel, and more! The work you will be doing is the foundation to making Likewise AI real, and it won’t happen without you. You’ll redefine how AI makes recommendations, and in doing so, change people’s lives for the better. We expect to grow the team as the company grows, and the right candidate will have the potential to lead that growth.
Objectives
Create a process that handles our disparate internal and external data sources and automatically converts that unstructured data into structured data to be consumed by machine learning and our product, marketing, and executive teams
Build data process pipelines for new and existing data sources
Glean insights and business opportunities from the data, and champion ideas for improvement based on those insights to the product team
Lead the external data sources collection effort, and creatively identify new, relevant data sources that will positively impact our products and users
Work closely with the Data Science team to complete all data needs
Find the handful of outliers in massive data sets and define processes to handle them
Requirements
Qualifications
4+ years of relevant technical experience, including 2+ years with noSQL databases (MongoDB preferred) as well as experience with SQL
Strong Python coding skills
Experience developing and implementing ETL architectures with large, complex data sets
Understanding of database architecture and data lakes
Distributing computing (parallel processing, multi-threading) – Hadoop, MapReduce, Spark
Hands-on experience with web crawling/web scraping required (6+ months)
Experience developing APIs
Experience with Node.js and familiarity with Machine Learning are pluses
Strong quantitative data analysis skills
Beyond the technical, strong business thinking is required, including experience or interest in consumer apps/consumer tech
Curiosity about anomalies in the data and the ability to identify the business opportunities they represent.
Strong communication skills and excitement around championing your great ideas and insights to stakeholders at all levels
Azure experience is a plus
Benefits
Working here
Located in downtown Bellevue, close to restaurants, shopping, parks and transit, we are proud to offer a competitive benefits package including stock options, health care where we pay 100% of employee premiums, 401(k) plan, commuter benefits, flexible paid time off, and a culture that’s team-based, open, casual and fun. If you’re looking for a rare opportunity to be a part of an innovative, exciting company and become a key member on our team, join us!
We support workplace diversity and do not discriminate on the basis of race, color, religion, gender identity or expression, national origin, age, military service eligibility, veteran status, sexual orientation, marital status, physical or mental disability, or any other protected class."
1,"Data Engineer I, Amazon Payment Products","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We are looking for Data Engineer who has a passion for their customers and a passion for working with data. You like working with your customers, understanding their challenges, and partnering with them to invent great solutions. You like working with large data sets, and bringing data together from multiple systems to answer critical business questions and drive change. You are analytical and creative. You should also have the following skills or experiences:Bachelor’s degree in Computer Science, Mathematics, Statistics, Finance or related technical field.
3+ years developing end-to-end Business Intelligence solutions: data modeling, ETL and reporting3+ years in relational database concepts with a solid knowledge of star schema, Oracle, SQL, PL/SQL, SQL Tuning, OLAP, Big Data technologiesExperience with coding languages like Python/Java/ScalaExperience in working with business customers to drive requirements analysisHave analytical skills and be creativeExperience with Big Data solutions: Hadoop, Hive or other frameworksExposure to large databases, BI applications, data quality and performance tuningExcellent written and spoken communication skill

Hundreds of millions of customers, billions of transactions, petabytes of data… How to use the world’s richest collection of e-commerce data to provide superior value and better paying experience to customers ? The Amazon Payments Team manages all Amazon branded payment offerings globally. These offerings are growing rapidly and we are continuously adding new market-leading features and launching new products. Amazon.com has a culture of data-driven decision-making and demands business intelligence that is timely, accurate, and actionable. This team provides a fast-paced environment where every day brings new challenges and new opportunities.

Our team of high caliber software developers, data scientists, statisticians and product managers use rigorous quantitative approaches to ensure that we target the right product to the right customer at the right moment, managing tradeoffs between click through rate, approval rates and lifetime value. In order to accomplish this we leverage the wealth of Amazon’s information to build a wide range of probabilistic models, set up experiments that ensure that we are thriving to reach global optimums and leverage Amazon’s technological infrastructure to display the right offerings in real time.

As a Data Engineer you will be working in one of the world's largest and most complex data warehouse environments. You should be passionate about working with huge data sets and be someone who loves to bring datasets together to answer business questions. You should have deep expertise in creation and management of datasets. You will build data analytical solutions that will address increasingly complex business questions.

You should be expert at implementing and operating stable, scalable data flow solutions from production systems into end-user facing applications/reports. These solutions will be fault tolerant, self-healing and adaptive. You will be working on developing solutions that provide some of the unique challenges of space, size and speed. You will implement data analytics using cutting edge analytics patterns and technologies that are inclusive of but not limited to various AWS Offerings -EMR, Lambda, Kinesis, and Spectrum. You will extract huge volumes of structured and unstructured data from various sources (Relational /Non-relational/No-SQL database) and message streams and construct complex analyses. You will write scalable code and tune performance running over billion of rows of data. You will implement data flow solutions that process data on Spark ,Redshift and store in Redshift ,Filebased system (S3) for reporting and adhoc analysis.

You should be detail-oriented and must have an aptitude for solving unstructured problems. You should work in a self-directed environment, own tasks and drive them to completion.

You should have excellent business and communication skills to be able to work with business owners to develop and define key business questions and to build data sets that answer those questions. You own customer relationship about data and execute tasks that are manifestations of such ownership, like ensuring high data availability, low latency, documenting data details and transformations and handling user notifications and training.

Experience partnering with business owners directly to understand their requirements and provide data which can help them observe patterns and spot anomalies.Experience with web technology to develop dashboards.Practical Knowledge of Linux or Unix shell scriptingExperience in processing large volume of data.Strong troubleshooting and problem solving skillsDemonstrated experience in dealing with Senior Management on addressing their reporting and metrics requirements"
2,HR Finance Data Engineer III,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Bachelor's degree or higher in a quantitative/technical field (e.g. Computer Science, Statistics, Engineering).5+ years of relevant experience in one of the following areas: Data engineering, database engineering, business intelligence or business analytics.5+ years of hands-on experience in writing complex, highly-optimized SQL queries across large data sets.5+ years of experience in scripting languages like Python, Scala, etc.Demonstrated strength in data modeling, ETL development, and Data warehousing. Data WarehousingExperience with Redshift, Oracle, NoSQL etc.Experience with AWS services including S3, Redshift, EMR, Kinesis and RDS.Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)Experience in working and delivering end-to-end projects independently.Knowledge of distributed systems as it pertains to data storage and computing.

The Human Resources Finance Technology team within Amazon's Financial Planning & Analysis organization is seeking a highly skilled and motivated Data Engineer to join our team in Seattle. You will be building world class big data applications to support Amazon Human Resources. If you enjoy innovating, thinking big and want to contribute directly to the success of a growing team, you may be a prime candidate for this position.

As a Sr. Data Engineer on the HR Finance Tech team, you will
Build robust and scalable data integration (ETL) pipelines using SQL, EMR, Python, Spark, Redshift, Lambda, and MatillionBuild and deliver high quality data architecture to support business intelligence engineer and program managers’ reporting needs.Interface with other technology teams to extract, transform, and load data from a wide variety of data sources.Drive both business and technology solutions to improve visibility into key Amazon HR metrics.Continually improve ongoing reporting and analysis processes, automating or simplifying self-service support for customers.Translate data into actionable insights for the stakeholders.

Proven success in communicating with users, other technical teams, and senior management to collect requirements, describe data modeling decisions and data engineering strategyExperience providing technical leadership and mentoring other engineers for best practices on data engineeringKnowledge of software engineering best practices across the development lifecycle, including agile methodologies, coding standards, code reviews, source management, build processes, testing, and operationsMasters in computer science, mathematics, statistics, economics, or other quantitative field
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation/Age"
3,Business Intelligence Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Bachelors in engineering, science, math, statistics or computer science3+ years of work experience as a business intelligence engineer, data engineer or data scientist role3+ years of experience in SQL programming3+ years of experience in building data warehouses and dimensional modeling3+ years of experience with business intelligence and data visualization tools (e.g. Tableau)3+ years of experience with a modern programming language (e.g. Python, R, Scala etc.)Experience with AWS Suite

Amazon Lab126 is an inventive research and development company that designs and engineers high-profile consumer electronics. Lab126 began in 2004 as a subsidiary of Amazon.com, Inc., originally creating the best-selling Kindle family of products. Since then, we have produced groundbreaking devices like Fire tablets, Fire TV, Amazon Echo and Amazon Show. The Amazon Devices group delivers delightfully unique Amazon experiences, giving customers instant access to everything, digital or physical.

Are you interested in a fast-paced, high-growth environment with the opportunity to work on business-critical decisions? Amazon Device Accessories is looking for an outstanding Business Intelligence Engineer to join our Operational Excellence Team. We’re looking for someone who can provide insight on KPI’s, understand inferential statistics and advise business teams on how to optimize for profit.

As an engineer on the team, you'll leverage tools and services including Amazon Redshift, Tableau, AWS Glue, AWS Athena, Spark, EMR, Machine Learning and Time Series models to build solutions that deliver data-driven reports, dashboards, and recommendations to high level leadership.

You'll work directly with business leaders and stakeholders to understand different business problems and use cases. You'll work with Finance, Tech and Business teams to identify and consume data sources, transform the data, and build the reports and visualizations needed to meet the requirements. You’ll have the opportunity to get hands on experience with Machine Learning, Time Series Modelling and high impact business analysis.

Developing this capability will provide insights that are used to lead decision making around product allocation, product effectiveness, productivity analysis and business impact. Consumers of these insights will include Directors, VP’s and SVP’s.

Our tenets for analytics team members are as follows:
Utilizing the Scientific Method to make tangible business impactMetrics before Messes
o Ensuring we’re measuring the right business metrics to guide the business
Forecast or be Last
o Developing state of the art predictive models for ensuring we’re moving in the right direction

Roles and Responsibilities:
Build data solutions using AWS services that deliver data-driven reports, dashboards, and tools.Develop and implement Time Series and Machine Learning Forecast ModelsManage marketing and sales data for the organizationManage ETL pipelines using AWS EMR and SparkDistill problem definitions, models, and constraints from informal business requirements.Provide innovative self-service tools to our customers to self-serve and scale dataFollow established engineering best practices and define new best practices where required.Identify critical metrics/reports that measure product performance, efficiency/effectiveness and create client facing dashboards to facilitate decision making.Collaborate on the design, development, maintenance, and delivery/presentation of forecasting models, metrics, reports, analyses, tools, and dashboardsPerform proactive diagnostic analysis on the various product measures and surface meaningful insights to the leadership team.Collaborate with Data Scientists, Data Engineers and Economists to develop Product Insights on Marketing and Sales data.

Masters in engineering, science, math, statistics or computer scienceExperience using AWS services for data analytics (i.e., Athena, Glue, Redshift, EMR, etc.)Experience developing custom ETL solutions using Python and SQLExperience with Tableau Desktop and Tableau ServerStrong written and verbal communications skills. Having the ability to translate scientific findings into business recommendations and outputs.The ability to influence stakeholders through delivering results and earning trustBasic statistical tests (but not limited to) t-tests, chi-square and regressionExpert SQLProficiency in PythonExperience delivering the best Products to customers
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age."
4,"Data Engineer, Global Specialty Fulfillment","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"BS in Computer Science, Math, Physics, or Engineering6+ years relevant work experience in software development or related data-driven fieldKnowledge of data management fundamentals and data storage principlesKnowledge of distributed systems as it pertains to data storage and computingDemonstrated experience in relational database concepts with an expert knowledge of SQLDemonstrated ability in data modeling, ETL development, and Data warehousing

Love food? We do! The AmazonFresh and Prime Now operations finance team is seeking an experienced and innovative Data Engineer to build tools that support Operations teams in AmazonFresh and Prime Now. We are an analytics team responsible for building tools, analysis, and reporting to support internal leaders within fulfillment, last mile, and supply chain operations. This is a unique opportunity for someone interested in Amazon’s start-up consumables-focused environment. AmazonFresh and Prime Now experiment, fail fast, learn, and scale rapidly.

Ultra-fast delivery delights Amazon customers by delivering what they want quickly: medication for a sick kid, lunch at work when you forgot, food and drinks for a party, last minute gifts, dinner from a local restaurant, and so many more uses.

The business model of ultra-fast delivery is attractive, and offers our Engineering team the opportunity to work on any number of complex technical problems. Our team designs, builds and owns our end-to-end services from the ground up and works on large scale back-end systems to support the entirety of our order and inventory pipelines.

We are seeking Data Engineer. In this role you will:

You help build the infrastructure to answer questions with data, using software engineering best practices, data management fundamentals, data storage principles, and recent advances in distributed systems
You manage AWS resources.
You collaborate with Business Intelligence Engineers (BIEs) to recognize and help adopt best practices in reporting and analysis: data integrity, test design, analysis, validation, and documentation
You help drive the architecture and technology choices that enable a world-class user experience
You develop expertise in a broad range of Amazon’s data resources and know when, how, and which to use and which not to use
You encourage the organization to adopt next-generation data architecture strategies, proposing both data flows and storage solutions
You are comfortable with a degree of ambiguity and willing to develop quick proof of concepts, iterate and improve
You create extensible designs and easy to maintain solutions with the long term vision in mind
You have an understanding and empathy for business objectives, and continually align your work with those objectives and seek to deliver business value. You listen effectively.
You are comfortable presenting your findings to large groups

We have a very flat team structure, and offer a unique opportunity for technical leaders who want to work closely with the business in defining, designing, building and operating products that are in the early stage of fast expansion.

Experience working with AWS Big Data TechnologiesExperience working with Open Source Big Data toolsProven track record of delivering a big data solutionExperience developing tools for data engineers and machine learningExperience working with both Batch and Real Time data processing systems
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Vet / Gender Identity / Sexual Orientation / Age"
5,Business Intel Engineer III,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"BA/BS in Computer Science, Engineering, Statistics, Mathematics, Finance or related field.5+ years’ experience as a BIE, data scientist, data engineer or similar job function with a technology company.Demonstrated strength in SQL, data modeling, ETL development, and data warehousing.Advanced skills in Excel as well as any data visualization tools like Quicksight, Tableau or similar BI tools.Experience of working in very large data warehouse environment and multi data sources.Familiarity with AWS solutions such as Redshift, S3.Advanced ability to draw insights from data and clearly communicate them to the stakeholders and senior management.Have ability to influence and drive program from end to end.

Amazon seeks an experienced Business Intelligence Engineer (BIE) to join Enterprise Risk Management and Compliance (ERMC) team. Our mission is to prevent denied parties from transacting with Amazon businesses, including AWS, customers, vendors, sellers, subsidiaries etc. We screen events in billion every day.

You efficiently and routinely deliver the right things. You are seasoned BI. You have broad knowledge on Amazon businesses, data, systems and tools. You have a department-wide view of the analytical solutions that you build, and you consistently think in terms of automating or expanding the results beyond our business. You are a key influencer in your team’s strategy and contribute significantly to team projects. You will drive reporting/analytics projects from end-to-end. You supervise the creation and implementation of BI projects, provide mentor and guidance to team members, help them to achieve their goals.

This role has opportunity to grow to a BI manager in the future.

Duties & responsibilities for this role will include:

Interface with business customers to gather requirements, drive reporting or analytic projects to help solve complex challenges.
Design, implement, and support datasets that provide structured data for reporting and analysis.
Develop Tableau/QuickSight dashboards across various business teams to drive adoption and increase visibility into key measures of business performance.
Analyze billions of rows of data to find the root causes behind variances and drive business insights.
Investigate and implement new big data technologies to provide automatic resolutions to address business needs.
Mentor junior team members and help them grow.
The successful candidate will demonstrate good business acumen, experience in developing reports and conducting analysis, strong communication skills, an ability to work effectively with cross functional teams, and an ability to work in an ever-changing environment.

MBA or Master’s in Computer Science, Engineering, Statistics, Mathematics, Finance or related field.Experience in projects involving complex data sets and high variability.Working knowledge of statistical methodologies.Experience to conduct complex data analysis and use ML models.A history of teamwork and willingness to roll up one’s sleeves to get the job done.Excellent communication (verbal and written) and interpersonal skills and an ability to effectively communicate with both business and technical teams.Experience to handle confidential and sensitive data.Design and develop data infrastructure to support business growth."
6,"Manager III, Data Engineer","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Experience mentoring and managing other Data Engineers or Software Development Engineers, ensuring data engineering best practices are being followedA desire to work in a collaborative, intellectually curious environment.Bachelors degree in Computer Science, Mathematics, Physical Sciences or a related STEM field5+ Years of Data Warehouse Experience with Oracle, Redshift, PostgreSQL, etc.Experience in maintaining data warehouse systems and working on large scale data transformation using EMR, Hadoop, Hive, or other Big Data technologiesDemonstrated strength in SQL, data modeling, ETL development, and data warehousingExperience with administering and supporting multiple relational and non relational DBs managing data at peta byte scaleExperience with hardware provisioning, forecasting hardware usage, and managing to a budget

The S3C Compliance team owns the end-to-end compliance experience for over two million active Selling Partners. We own innovation in food and product safety, compliance for global trade, and accuracy for dangerous goods classifications. We support worldwide product, program, data science, and analytics teams. We provide scalable technology to improve safety and compliance in throughout the supply chain.

We are looking for an experienced Data Engineering Manager to lead the Risk Data Technologies team, manage existing data resources, implement new technologies and tooling to further enable science and analytics, as well as help drive scalable data sharing practices. In this role you will split your time between hands on development and managerial activities. You will own data environments, integrate with new technologies, and oversee the development of new processes that support teams across the global compliance organization. You will gather requirements through direct interaction with business, science, as well as software development teams. You will track the performance of our resources and related capabilities, constantly evolving our offering in order to scale our capability set with the growth of the business and needs of our customers.

The ideal candidate will have outstanding communication skills, proven data infrastructure design and implementation capabilities, strong business acumen, and an innate drive to deliver results. He/she will be a self-starter, comfortable with ambiguity and will enjoy working in a fast-paced dynamic environment.

Extensive experience working with AWS with a strong understanding of Redshift, EMR, Athena, Aurora, DynamoDB, Kinesis, Lambda, S3, EC2, etc.Extensive Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)Strong interpersonal skills and the ability to communicate complex technology solutions to senior leadership, gain alignment, and drive progress
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age."
7,"Data Engineer, Talent Assessment","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Degree in Computer Science, Engineering, Mathematics, or a related field, or substantial industry experience5+ years of experience data warehousingExpertise in Redshift, Netezza, Teradata or other MPP databasesExperience with data modeling and ETL (load/transform) developmentExceptional command of SQLHands on experience with a business intelligence tool such as Tableau, OBIEE, Cognos, SSRS/SSAS, or QuickSightKnowledge of a programming or scripting language (Python, Perl, or Javascript)

Amazon’s Talent Assessment team designs and implements groundbreaking hiring solutions for one of the world’s fastest growing companies. We work in a fast-paced, global environment where we must solve complex problems (ranging from research-based to technical) and deliver solutions that have impact.

We are seeking a Data Engineer who can lead the development and support of the analytic technologies as we use data-based solutions to design and experiment with new hiring solutions that predict success for highly complex roles (technical and non-technical). Be part of a global team that helps select for roles having great impact on Amazon globally (for example, AWS, Kindle, Retail, and Business & Development). You will enable flexible and structured access to our global candidate data to support our strategies. This includes implementation of a BI platform, promotion of scalability through automation and reporting tools, and adherence to the highest data quality and governance standards. The candidate will also drive the design and implementation of world class big data infrastructure to support machine learning and econometric analysis. This role is based in Seattle, WA.

Master’s degree in Information Systems or a related fieldExperience with Java and Map Reduce frameworks such as Hive/Hadoop.Familiarity with EMR, NoSql, Dynamo DBStrong organizational and multitasking skills with ability to balance competing priorities.Exceptional written communication skills"
8,Big Data Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"A desire to work in a collaborative, intellectually curious environment.Degree in Computer Science, Engineering, Mathematics, Physics, or a related field and at least 4 years work experienceIndustry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets.Demonstrated ability in data modeling, ETL development, and data warehousing.Experience with Oracle, Redshift, Teradata, etc.Experience with Big Data Technologies (Hadoop, Hive, Hbase, Pig, Spark, etc.)Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc)

Machine Learning is changing the way new products, programs and services are created and intelligently marketed to customers to increase customer engagement. The Consumer Analytics team is uniquely organized with SDEs, DEs, BIEs and Research Scientists to solve challenging predictive analytics problems at Amazon scale. Are you passionate about Big Data (Amazon scale), Machine Learning and Predictive Analytics software?

Big Data Processing
We are responsible for the production, processing, and analysis of several TB’s of customer grain data on a daily basis. We analyze data coming from various traffic channels such as onsite, free search, paid search, social, paid social email, associates etc. We heavily use AWS services such as AWS Flow, S3, EC2, EMR (Hadoop/Spark), Kinesis, DynamoDb to manage our data workflows.

Machine Learning
We build various Machine Learning solutions that learn and become better with time by the addition of new data and validation methodologies. We work with both supervised and unsupervised machine learning approaches not limited to regression, classification, clustering etc.

Our products have become Amazon wide programs and are accelerating in adoption across businesses. We have services that provide predictions from our models to influence Amazon customer experience. However, as we look forward our rate of innovation is dependent on the quality and breadth of data we input to these models. As Amazon is pivoting towards worldwide simultaneous launches of programs like Prime and Amazon Video our fundamental data models need to be re-engineered. We also need serious engineering behind the data pipelines to establish and support stronger SLAs as businesses take dependency on our outputs.

We are looking for an outstanding individual who combines superb technical, communication, and analytical capabilities with a demonstrated ability to get the right things done quickly and effectively. This person must be comfortable working with a team of software development engineers to raise the bar of the data pipelines we build and maintain. Given the cross Amazon nature of our products, the individual should be highly self-directed having good cross-team collaboration skills.

The ideal candidate for our team is a thinker and a doer: someone who loves sophisticated algorithms and mathematical precision, but at the same time enjoys implementing real systems, and is motivated by the prospect of spectacular business returns.

Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data setsExperience building data products incrementally and integrating and managing datasets from multiple sourcesExperience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologiesExperience providing technical leadership and mentor other engineers for the best practices on the data engineering spaceExperience using machine learning and statistical tools such as Python/Pandas, R etc .Linux/UNIX including to process large data sets.
Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation."
9,Data Engineer I,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"A desire to work in a collaborative, intellectually curious environment.Degree in Computer Science, Engineering, Mathematics, or a related field and 4-5+ years industry experienceOne year of experience in the following skill(s):Developing and operating large-scale data structures for business intelligence analytics using: ETL/ELT processes; OLAP technologies; data modeling; SQL;Experience with at least one relational database technology such as Redshift, Oracle, MySQL or MS SQLExperience with at least one massively parallel processing data technology such as Redshift, Teradata, Netezza, Spark, or Hadoop based big data solution

Health, Safety, Security, and Compliance (HS3C) is responsible for keeping our Customers and partners safe, and ensuring we maintain WW compliance. We build scalable solutions that grow with the Amazon business. HS3C-Compliance team collects petabytes of data from thousands of data sources inside and outside Amazon including the Amazon catalog system, inventory system, customer order system, and page views on the website. We provide interfaces for our internal customers to access and query the data hundreds of thousands of times per day, using Amazon Web Service’s (AWS) Redshift, Hive, and Spark.

HS3C-Compliance is growing, and the data processing landscape is shifting. Our data is consumed by teams across HS3C including Research Scientists, Machine Learning Specialists, Business Analysts, and Data Engineers. We are seeking an outstanding Data Engineer to join the HS3C-Compliance data technologies team. The HS3C-Compliance data technologies team manages the core HS3C business data from hundreds of source systems. Amazon has culture of data-driven decision-making, and demands business intelligence that is timely, accurate, and actionable. If you join the HS3C-Compliance data technologies team, your work will have an immediate influence on day-to-day decision making at Amazon.

As an Amazon Data Engineer II, you will be working in one of the world's largest cloud-based data lakes. You should be skilled in the architecture of data warehouse solutions for the Enterprise using multiple platforms (EMR, RDBMS, Columnar, Cloud). You should have extensive experience in the design, creation, management, and business use of extremely large datasets. You should have excellent business and communication skills to be able to work with business owners to develop and define key business questions, and to build data sets that answer those questions. Above all you should be passionate about working with huge data sets and someone who loves to bring datasets together to answer business questions and drive change.
As a Data Engineer II on the HS3C-Compliance data technologies team, you will design, develop, implement, test, document, and operate large-scale, high-volume, high-performance data structures for analytics and deep learning. Implement data ingestion routines both real time and batch using best practices in data modeling, ETL/ELT processes leveraging AWS technologies and Big data tools. Gather business and functional requirements and translate these requirements into robust, scalable, operable solutions that work well within the overall data architecture. Analyze source data systems and drive best practices in source teams. Participate in the full development life cycle, end-to-end, from design, implementation and testing, to documentation, delivery, support, and maintenance. Produce comprehensive, usable dataset documentation and metadata. Evaluate and make decisions around dataset implementations designed and proposed by peer data engineers. Evaluate and make decisions around the use of new or existing software products and tools. Mentor junior data engineers.

Industry experience as a Data Engineer or related specialty (e.g., Software Engineer, Business Intelligence Engineer, Data Scientist) with a track record of manipulating, processing, and extracting value from large datasets.Coding proficiency in at least one modern programming language (Python, Ruby, Java, etc)Experience building/operating highly available, distributed systems of data extraction, ingestion, and processing of large data setsExperience building data products incrementally and integrating and managing datasets from multiple sourcesQuery performance tuning skills using Unix profiling tools and SQLExperience leading large-scale data warehousing and analytics projects, including using AWS technologies – Redshift, S3, EC2, Data-pipeline and other big data technologiesExperience providing technical leadership and mentor other engineers for the best practices on the data engineering spaceLinux/UNIX including to process large data sets.Experience with AWS
Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age."
