,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Scientist and Visualization Specialist,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Aug 26, 2019
Weekly Hours: 40
Role Number: 200093152
We are seeking an enthusiastic teammate to join our small, inclusive, and dynamic team who will collaborates with a broad array of partners within Apple to distill data into actionable and intuitive visualizations that drive informed decisions. We work to understand challenging problems that arise during all stages of product design at Apple. The job requires fluency using statistics and visualizations to answer specific questions about datasets, proficient programming skills in R, Python, and/or MATLAB, and most importantly, a passion for creating informative visualizations and presentations to communicate results to all levels of the company. You are a person who approaches problem solving with curiosity and imagination, with a desire to learn new skills and a mindset that challenging questions are opportunities for insight. We are committed to professional development across all aspects of data visualization with mentorship and training opportunities both within and outside Apple. This includes, but is not limited to, providing team members opportunities to improve their skills in: graphic design, coding, visual arts, statistics, communication, and presentation. The DataViz team enables data-driven decision making by developing and performing analysis, modeling, and visualization of unstructured data for engineering and research design teams. Our unique position within the organization allows us to assist other teams on a wide range of products designed at Apple. Our work impacts products used by millions of people worldwide.
Key Qualifications
Fluency using statistics and visualizations to answer questions about data sets.
Effective communication skills. Specifically, explaining complex issues to a variety of audiences, considering the big picture when communicating, and can summarize technical details succinctly.
Strong programming skills in R, Python, and/or MATLAB. You have experience using these tools to import, clean, analyze, and visualize data to enable data-driven decision making.
Experience working with multivariate and/or “large” datasets using conventional statistical techniques. Our datasets are typically not large enough to employ machine learning techniques.
Strong interest in peer collaboration with a willingness to solicit input and accept feedback.
An appreciation of functional design or interested in developing your design aesthetic.
Experience or interest in analyzing and visualizing 3D data sets or enthusiastic about delving deeper into 3D data analysis and visualization. Our datasets include human anthropometric and biometric data, acoustic data, and inertial motion unit data (accelerometers, gyroscopes, altimeters).
Familiar with SQL and database design or curious to learn more.
Familiar with Github and software development workflows or eager to adopt these software collaboration practices.
Ability to juggle multiple projects.
Excited to learn to communicate important information in an easily understandable manner.
Description
As a member of this team-oriented, group, you will be an integral partner, working on the latest, most innovative Apple products together with many cross-functional teams. Your responsibilities will include some of the following activities: •Gathering large quantities of unstructured data from many different sources. •Conducting data exploration, QA/QC, visualization, statistical and data analyses, and modeling. •Creating custom algorithms for large datasets to enable visualizations that help decision makers quickly understand the data. •Defining data capture formats to enable useful and efficient analysis. •Collaborating with teams to automate processes, conduct systems analysis, and build visualization workflows by building and deploying software tools. •Creating systems for real-time or near real-time data analysis to improve precision machine performance in factories •Sharing results and concepts across the company through presentations and other communication channels •This small but growing team strongly inspires collaboration but also offers freedom and autonomy. Creative and outside-the-box thinking is required, and original ideas are supported by the team.
Education & Experience
Masters degree in an analytical field such as Human Computer Interaction, Climate or Environmental Science, Applied Math, Economics, Social Sciences, Engineering, Physics, Biological Sciences, Statistics, or Robotics along with 2+ years relevant work experience. Ph.D. degree preferred."
1,"Data Scientist, Engineering","Mountain View, CA",Mountain View,CA,None Found,None Found,None Found,None Found,"
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product development.
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.
",None Found,None Found,"Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA
Minimum qualifications:

Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent practical experience.
2 years of work experience in data analysis related field.
Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)

Preferred qualifications:

PhD degree in a quantitative discipline.
4 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.
Applied experience with machine learning on large datasets.
Experience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.
Demonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.
Demonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills.
About the job
As a Data Scientist, you will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring scientific rigor and statistical methods to the challenges of product creation, development and improvement with an appreciation for the behaviors of the end user.
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Responsibilities
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product development.
Interact cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
2,Senior Data Scientist,"Cupertino, CA",Cupertino,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Description:
Are you looking for an opportunity to analyze petabytes of data in a world-class Hadoop cluster and generate insights to help consumers achieve their health ambitions, whether its running the Inca Trail Marathon or playing tackle football with their grandchildren? Aetna's Member Analytics team is focused on delivering strategically impactful programs and tools to help members across all life stages feel the joy of achieving their best health in their own way.
This position lies within the Attain team. Attain (http://attainbyaetna.com) is an app developed by Aetna in collaboration with Apple that leverages the sensor data from the Apple Watch and the medical claims data from Aetna in order to create personalized health recommendations for our members. Attain relies on a powerful rewards mechanism to incentivize our members to stay active and complete key healthy actions like getting a flu shot and adhering to medications.
Position is based in Cupertino CA.
62870

Fundamental Components:
The Senior Data Scientist, Product Data Science will be responsible for:
Evaluating the efficacy of Attain in terms of medical cost savings and health outcomes for our members
Establishing KPIs and core metrics for product evaluation
Working closely with Product and Marketing teams to provide insights and determine opportunities for optimization
Determining the optimal analytical approach to solving critical problems and informing the Product roadmap
Presenting findings to executive leadership within both Aetna and Apple

Background Experience:
3-5 years of experience as a data scientist in a big data environment (knowledge of Hadoop and/or Hive a plus)
Proficiency in data science techniques including machine learning, statistical modeling, experimentation, and visualization
Expertise in SQL and Python/R (knowledge of Spark a plus)
Excellent problem solving skills
Excellent communication skills with the ability to work well with people from various disciplines (Product, Marketing, Finance, etc.)

Additional Job Information:
Aetna is about more than just doing a job. This is our opportunity to re-shape healthcare for America and across the globe. We are developing solutions to improve the quality and affordability of healthcare. What we do will benefit generations to come.

We care about each other, our customers and our communities. We are inspired to make a difference, and we are committed to integrity and excellence.

Together we will empower people to live healthier lives.

Aetna is an equal opportunity & affirmative action employer. All qualified applicants will receive consideration for employment regardless of personal characteristics or status. We take affirmative action to recruit, select and develop women, people of color, veterans and individuals with disabilities.

We are a company built on excellence. We have a culture that values growth, achievement and diversity and a workplace where your voice can be heard.

Potential Telework Position:
No

Percent of Travel Required:
0 - 10%

EEO Statement:
Aetna is an Equal Opportunity, Affirmative Action Employer

Benefit Eligibility:
Benefit eligibility may vary by position. Click here to review the benefits associated with this position.

Candidate Privacy Information:
Aetna takes our candidate's data privacy seriously. At no time will any Aetna recruiter or employee request any financial or personal information (Social Security Number, Credit card information for direct deposit, etc.) from you via e-mail. Any requests for information will be discussed prior and will be conducted through a secure website provided by the recruiter. Should you be asked for such information, please notify us immediately."
3,Quantitative Data Scientist,"Silicon Valley, CA",Silicon Valley,CA,None Found,None Found,None Found,None Found,None Found,"
Master’s degree in computer science or an engineering/math/statistics/science discipline with a strong computer science component
",None Found,"Santa Clara, CA (Silicon Valley)

Employment Type

Regular full time

Company

Big Data Federation, Inc. is an artificial intelligence-driven financial technology company which develops and applies innovative machine-learning technologies to big data to predict financial and economic fundamentals metrics. We are a team of technologists, mathematicians, data scientists, and software programmers.

Job Profile

We are seeking a creative machine learning and quantitative researcher to drive algorithmic trading for our evolving AI-based asset management products. You will be responsible for end-to-end design and implementation of trading algorithms as well as testing, execution, and performance monitoring. You will have the opportunity to contribute to investment strategy development, portfolio construction, and risk management. You will work closely with a team of data scientists and software engineers.

We seek a professional developer with a track record of developing quantitative models for actual profitable trading to conduct the following duties:

Design and develop execution-efficient trading algorithms
Work closely with data platform team to implement infrastructure to source and process large real-time and historical market data
Real-time risk modeling, portfolio management analysis, and discovering momentum of securities, futures, and other derivatives of interest
Build process automation logic to support trading operations
Experience

5+ years of professional experience in an algorithmic trading/model development environment with focus on global equities, commodities, fixed income instruments and/or related derivatives (such as futures, warrants, etc.)
Strong background in classical machine learning and deep knowledge in a variety of techniques in feature selection, regression, classification, and clustering, together with their real-world advantages and drawbacks
Advanced understanding of order types and adaptive trading algorithms such as VWAP, TWAP, trailing limit, Iceberg, and Reserve
Experience with market data sets including tick data, extended market hours, futures, options data
Hands-on experience with applied mathematics, e.g. linear algebra, probability, and statistics
Proficient with C++, Python, R and their respective library ecosystems
Knowledge of with SQL and NoSQL databases
Familiar with Agile/Scrum processes
Past experience with development of high frequency trading strategies is a plus
High ethical standards
Education

Master’s degree in computer science or an engineering/math/statistics/science discipline with a strong computer science component
Compensation

Competitive salary
Performance bonus
Stock options
Full health benefits: medical, vision and dental
401(k)
Paid time off
Life insurance
Short-term and long-term disability coverage
Please send cover letter and resume to jobs@bigdatafed.com"
4,Sr. Data Scientist/ NLP Researcher,"Menlo Park, CA",Menlo Park,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Senior Data Scientist, Machine Learning

The JLL Digital Products team aims to bring successful technology-based products to market in a high-growth environment. The team’s mission is focused on accelerating technology adoption in commercial real estate by bringing creative, innovative and technical solutions to solve large, complex problems for our clients.

What this job involves:
The Sr. Data Scientist is a member of the Digital Products team, responsible for leading the projects by selecting appropriate machine learning and data science technologies to solve business problems, with the focus on Digital Markets.
This position requires interaction with different stakeholders and you will be working in a fast-paced environment. You will have full ownership of the problems you will work on.

As a Senior Data Scientist, you will be responsible for:
Converting the business problem into a data science problem
Selecting the most appropriate ML technologies to solve the business problems of interest to JLL
Staying on top of the state of the art in ML and DS techniques
Interacting with business owners at JLL to identify the problems of greatest value to JLL
Productizing the DS research as appropriate
Participating in Industry and Academic conferences and workshops to stay on top of the latest enhancements in the field

Sound like you? Before you apply it’s worth knowing what we are looking for:
3-5 years with hands-on industry experience designing and implementing ML algorithms
Strong in CS fundamentals of algorithms and data structures
Strong data bent, preferably with a background in Statistics
Experience with NLP is REQUIRED.
Hands-on, with strong programming skills
Team player, with very good communication skills
MS in CS/EE/Applied Sciences/Statistics required, PhD preferred.

What you can expect from us:
We’re an entrepreneurial, inclusive culture. We succeed together—across the desk and around the globe. We believe the best inspire the best, so we invest in supporting each other, learning together and celebrating our success.
Our Total Rewards program reflects our commitment to helping you achieve your ambitions in career, recognition, well-being, benefits and pay. We’ll offer you a competitive salary and benefits package.
With us, you’ll develop your strengths and enjoy a career full of varied experiences. We can’t wait to see where your ambitions take you at JLL.

Apply today!

#LI"
5,Asr/ai/machine learning scientist,"Menlo Park, CA",Menlo Park,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Menlo Park, CA
Job overview
We are seeking experienced Applied ML/AI Scientists with strong background in Automatic Speech Recognition and solid Software Engineering skills to join our Speech Processing effort.
The ideal candidate will have practical experience in developing speech recognition systems and strong expertise in neural networks and representation/deep learning.
Experience in neural network based acoustic and language modeling with OSS toolkits such as Kaldi, Torch, TensorFlow, Torch, Cafe, Keras or Theano is a plus.
You are
You are high energy with a ‘can-do’ attitude
You don’t take ‘no’ for an answer, and you are always curious and inquisitive
You love to experiment and have no ego
You are creative, empathetic, and aware of the latest trends
You are data driven
Your colleagues think of you as someone who is detail oriented and organized
Minimum qualifications
MSc or PhD degree in computer science or another engineering discipline with emphasis on machine learning or a BSc with 5+ years of relevant experience
Knowledge of neural network based modeling
Experience building systems based on machine learning and/or deep learning methods
Knowledge developing and debugging skills in e.g. C/C++, Java, Python, Lua, Scala (for Spark) or Julia
Experience with filesystems, server architectures, and distributed systems
Use the form below to apply online or send your latest resume to jobs@voicea.com"
6,Data Integrity Analyst (Data Scientist),"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Nov 1, 2018
Role Number: 200007139
At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. If you are a self-motivated, high-energy individual who is not afraid of challenges, we’re looking for you.
Apple is seeking a tried Data Integrity Analyst (Data Scientist) to join the Apple Media Products Analytics and Data Products team. The Data Integrity Analyst plays an important role in detecting, tracking data integrity issues and taking them to resolution end to end. This is a multi-functional role working with production support, engineering, operations, QA, legal etc. teams in assessing data integrity issues, performing data analysis, impact analysis, root cause analysis, QA and production rollouts.
Key Qualifications
6+ years of industry experience passionate about improving quality of the data in big data environment
Strong working knowledge of supervised and unsupervised machine learning models.
Experience with Python, Scala, or another high-level programming language.
A good understanding of Spark. Experience using Spark is a great advantage.
Experience working with large volumes of data and knowledge of big data challenges is highly desirable.
Experienced in leading and coordinating multi-functional activities between QA, Engineering, Business, Legal etc.
Experienced in data quality issue tracking and resolution activities end to end (impact analysis, root cause analysis, data analysis etc.)
Reciprocal; able to build consensus and drive valuable meetings among cross-functional teams while also challenging assumptions in a relevant way
Experience in working with ETL applications, data pipelines, and Big Data
Knowledge of Data Integration tools, SQL, Talend, BI tools.
Knowledge of Hadoop related technologies such as HDFS, Azkaban, Oozie, Impala, Hive, and Pig
Excellent oral and written communication and presentation skills
Description
- Work with large-scale datasets to do feature engineering and selection, train and build machine learning models, evaluate and measure model performance, and work with partners on model adoptions.
- Work closely with data engineers, program managers and business partners to understand problems, define and build solutions, measure and communicate results.
- Performs data analysis, impact analysis, root cause analysis of the data quality issues and drives corrective actions.
- Monitors data quality results, reports and dashboard, and consults on data quality corrective action plans.
- Builds/Enhances data quality dashboard/scorecard to help monitor the quality of the data pipeline.
- Partners with business / reporting teams to assess the impact of data integrity issues, qualifies the issues with a priority.
- Partners with EPM team to drive corrective actions.
- Partners with operations team to perform root cause analysis.
- Partners with engineering teams on the development and implementation of the fixes / corrective actions.
- Partners with QA teams to build and implement test cases to improve data quality and stability of the data pipeline.
Education & Experience
Bachelor's degree or equivalent work experience in Engineering, Computer Science, Business Information Systems.
Additional Requirements
Broad knowledge of existing machine learning algorithms and creativity to invent and customise the algorithms when necessary
Knowledge of building dashboards using Tableau, Qlikview or similar tools
Experience with Spark or streaming technologies would be a bonus
Experience working with Music, Video, Click stream event data"
7,"Senior Data Scientist, Business Analytics","Mountain View, CA 94039",Mountain View,CA,94039,None Found,"
5+ years of experience in generating and sharing insights from product data
Fluency in data analysis, including defining KPIs, statistical and predictive modeling concepts, descriptive statistics, experimental design and A/B testing
Exceptional SQL skills, some form of coding (Python, Scala, R etc.), and ETL/scheduling tools such as Airflow/Tidal
Experience with data visualization tools such as Tableau etc.
Experience working with SaaS-based subscription metrics including conversion, retention and product usage is preferred
Entrepreneurial spirit and passionate about data
Undergrad Degree in a Quantitative Field (Masters preferred)",None Found,"
Be an analytical thought partner to the business, using data to influence the future direction of the business
Solve product analytics problems by doing work such as developing data structures, pipelines, and data visualizations that enable us to find insights and take action by working with click data, event data, user provided data, third party data, risk data and more
Perform analyses that inform decisions on everything from retention strategy to product experience using predictive and descriptive analytical techniques
Communicate findings from analyses in a way that enables business leaders to make better decisions
Partner with product analysts and engineers to understand the product roadmap and institute tracking for new features
Ability to help design and execute product experiments through A/B testing
Champion data-driven decision-making in your team and throughout the company, including coaching and mentoring others on best practices",None Found,None Found,"Overview
We are looking for a high performing data scientist for our Quickbooks Capital business. QuickBooks Capital is a nimble and high-priority start-up within Intuit that is looking to reinvent small business borrowing and we are the team responsible for using our data to answer the most critical questions facing the Capital Product Managers. We are growing rapidly and need great people to generate analytical insights to understand our product and customers.

What does it take to thrive on our team? You need to be a top-notch problem solver and problem identifier as there are no points for an elegant solution to the wrong problem. It’s also a good idea to know the standard suite of analytical tools - SQL, R/Python, some sort of data visualization tool - but more importantly you must know how to learn tools quickly. We also often find that having a bit of a software engineering mindset is valued too - much like good software solutions, good analytical solutions are scalable and repeatable as this is what allows us to solve a problem once and go tackle the next one. Last, knowing that in most cases done is better than perfect is important - getting the current problem right to the sixth decimal place is almost always less impactful than getting to the next problem.

We are looking for team members that love new challenges, cracking tough problems and working cross-functionally. If you are looking to join a fast-paced, innovative and incredibly fun team go check out the product (quickbookscapital.com) and if you find this exciting, then we look forward to hearing from you!
Responsibilities
Be an analytical thought partner to the business, using data to influence the future direction of the business
Solve product analytics problems by doing work such as developing data structures, pipelines, and data visualizations that enable us to find insights and take action by working with click data, event data, user provided data, third party data, risk data and more
Perform analyses that inform decisions on everything from retention strategy to product experience using predictive and descriptive analytical techniques
Communicate findings from analyses in a way that enables business leaders to make better decisions
Partner with product analysts and engineers to understand the product roadmap and institute tracking for new features
Ability to help design and execute product experiments through A/B testing
Champion data-driven decision-making in your team and throughout the company, including coaching and mentoring others on best practices
Qualifications
5+ years of experience in generating and sharing insights from product data
Fluency in data analysis, including defining KPIs, statistical and predictive modeling concepts, descriptive statistics, experimental design and A/B testing
Exceptional SQL skills, some form of coding (Python, Scala, R etc.), and ETL/scheduling tools such as Airflow/Tidal
Experience with data visualization tools such as Tableau etc.
Experience working with SaaS-based subscription metrics including conversion, retention and product usage is preferred
Entrepreneurial spirit and passionate about data
Undergrad Degree in a Quantitative Field (Masters preferred)"
8,Chief Data Scientist,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"[24]7.ai is a leader in the Conversational AI market, with over 250+ Fortune 500/1000 customers. We continue to transform our business to drive greater value to our team, shareholders, customers through new product development and market growth.

We are looking for an energetic, unstoppable Chief Data Scientist in either, San Jose, CA, Toronto or Bangalore to join our team! Reporting into COO, the Chief Data Scientist will help to define new [24]7 product ideas with predictive and goal-oriented capabilities to market.

Chief Data Scientist has responsibility for leading the research, development, and delivery of big data-based NLP/NLU solutions in the speech and digital segments. Predictive intents that drive goal oriented models are key to powering [24]7.ai's conversational AI platform. You will lead the data sciences strategy for our AI technology roadmap and deploying global solutions incorporating our advanced predictive models to meet client business objectives. You will manage a cross-geo team of Data Scientists, Speech Scientist and Data Analysts. Your role is highly influential within the company setting the AI R&D roadmap and evangelizing the vision internally and externally for our AI technology. You will also interface cross-functionally with other key stakeholders in the organizations including Product Engineering, Product Management, Marketing, and Sales facilitating discussions on roadmaps, leading customer workshops, speaking with industry analysts, and being hands-on in the selling of our capability. As the Chief Data Scientist, this role also involves significant collaboration with leading universities and research institutions worldwide as well as client interactions.

You will be expected to be an advocate for [24]7's AI product set and its benefits - driving demand and usage of our offerings.

----------------------------
How will you make an impact?
----------------------------


Lead the Data Sciences teams in the development and delivery of big data, predictive technologies/models with specific focus on Natural Language Processing (NLP), Natural Language Understanding, Conversational Models , Personalization, Speech Recognition, Text, Digital Signal Processing, Data Mining, Sentiment Analysis and Online targeting.
Define and articulate the AI vision, R&D roadmap and develop standardized industry-specific solution components to accelerate our customer delivery time and scale within the vertical.
Incorporate Data Standardization across channels, models and journeys .
Work jointly with products on architecting and developing the next generation conversational platform to allow extension of existing form based chatbot interfaces to fully conversational systems.
Work closely with clients providing strategic leadership and direction, analyzing current metrics and funnels, developing roadmaps for optimization, and improving their KPIs for automation / uplifts.
Responsible for meeting and exceeding financial targets for billable utilization, ACV, and TTR
Responsible for meeting and exceeding client business objectives for optimizing CSAT, NPS, self-service rates, and sales conversion targets
Actively support Sales and Marketing in responding to RFPs, supporting sales calls, delivering presentations, fielding questions from analysts, leading webinars, and traveling onsite to support sales meetings.
Responsible for sizing new sales opportunities developing the LOE for delivery, estimating expected containment rates for self-service and conversion rates for sales, providing timelines for delivery
Responsible for working with Finance on billing metrics and reports ensuring Finance has the data and support they need
Responsible for working with Legal reviewing contracts and ensuring outcome based formulas and associated containment / conversion rates are numbers the team can deliver
High level of travel is required. Both International (~20%) and Domestic travel (within US) ( >35%) is required. Significant support for sales meetings and onsite support at client sites for QBRs, kickoffs, escalations.
Responsible for hiring top talent and building teams leading the next generation AI solutions

------------
Requirements
------------


PhD in STEM (SAS is a plus) with emphasis in Machine Learning.
10+ years industry experience developing machine learning models at scale owning from inception to deployment with proven business impact.
10+ years industry experience leading and managing client engagements and meeting targets for TTR, SSR, RPC, FCR, NPS, and AOV.
Proven track record of leading high-performance teams with 5+ years' experience successfully managing large cross-geo teams in Data Sciences and Professional Services.
Strong publication record (ACM, IEEE and top leading journals in the field ) and experience presenting at peer-reviewed industry conferences.
Demonstrated customer skills and excellent presentation skills.
A doer with the ability to be hands-on, designing processes and systems, digging into the details and operating comfortably in a cross-geo environment.

#LI-OC1"
9,Data Scientist,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
MS/PhD in Computer Science, Engineering, or similar computational discipline, e.g. physics, mathematics, or statistics (or equivalent experience)
Strong machine learning and/or statistical modeling expertise with experience applying the techniques to real world problems
Python programming experience
Computational programming experience: R, Python/Pandas, Matlab/Octave
","Vectra Networks delivers a new class of real-time threat detection and advanced analysis of active network intrusions. Vectra Networks picks up where perimeter security leaves off using AI to provide deep, continuous analysis of both internal and Internet-facing network traffic for all phases of the attack progression as attackers attempt to breach, spy, spread, and steal within networks.

Vectra directly analyzes network traffic in real time using combination of patent-pending data science, machine learning, and behavioral analysis to detect attacker behaviors and user anomalies in the network. All detections are algorithmically correlated and prioritized to show an attack in context, and Vectra Networks' machine learning adapts as attacks evolve.

Position Overview:

Apply cutting edge machine learning, artificial intelligence, and modeling techniques to stop hackers in real time as they attack networks. As part of the data science team you will directly impact the product by developing and implementing the core algorithms that detect malicious and anomalous behaviors on the network.

Requirements:

MS/PhD in Computer Science, Engineering, or similar computational discipline, e.g. physics, mathematics, or statistics (or equivalent experience)
Strong machine learning and/or statistical modeling expertise with experience applying the techniques to real world problems
Python programming experience
Computational programming experience: R, Python/Pandas, Matlab/Octave
Desired Experience:

Tensorflow
Object oriented programming, C++ or Java
Spark or Map Reduce
SQL and noSQL database experience
Linux
Source control experience, preferably GIT"
