,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Senior Database Analyst,"Santa Clara, CA",Santa Clara,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Description:
Design, develop, automate, compile, and prepare reports, self-service tools, ad-hoc capabilities, dashboards, cubes, etc.

Job Description:
Design Tables, Constraints, Views, and Indexes, and created the Cubes for Business Intelligence.Experience in relational database concept and query toolsSQL Stored Procedures and User Defined Functions.Views to facilitate easy User Interface Implementation and Triggers on them to facilitate consistent data entry into the database.Knowledge on in memory database system as a cache and the Microsoft sql as backend databaseDeveloping logical and physical desgins for Database projectsDesign SSIS packages dynamically that could run on various Environments by creating XML and SQL Server Configuration Files.Create SSIS Script Task, Look Up Transformations and Data Flow Tasks using T- SQL and (VB) Scripts.
Develop OLAP model based on Dimension and Facts for efficient loads of data mainly based on Star Schema.Experience in creating Jobs, Alters, SQL Mail Agent, scheduling DTS/SSIS Packages and Backup/Restore of a databaseMaintaing security at Database & File level and have skill to recover them back from disastersCreate the New Dimensions, Shared Dimensions, and Time Dimensions and implemented those dimensions while generating Cubes from SSAS.Creation and maintenance of Analysis Service objects such as Cube, Dimensions, MDX Queries, Perspectives, KPIs, Scorecards and Dashboards.Created Partitions and designed various Storage Modes to increase the performance of cubes using SSAS.Involved in Scheduling, Creating Snapshots, Creating Report Subscriptions and Data Driven Subscriptions.Developed MDX Scripts to create datasets to generate various reports which included Interactive Drill down Reports and Report Models.Deploying database projects, Integration Services packages, SSRS reports
Requirements:
Requires in Computer Science or related fields +24 months experience.Requires experience in MS SQL Server, SQL server management studio, TSQL Profiler, OLAP, Visual Studio 2010, Business Intelligence Development Tools (SSRS/SSIS/SSAS)
Job Location:
4701 Patrick Henry Dr., Bldg 16 Ste 11, Santa Clara, CA 95054
Position:
Full time
Hours Per Week:
40
Work Schedule:
9:00 AM to 5:00 PM
Rate of pay:
$74,339"
1,"AWS Database Services SDE, Amazon Redshift","East Palo Alto, CA",East Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"3 + years experience writing large scale systems in Java and/or C/C++Bachelors in Computer Science or Engineering, or equivalent experience

Amazon Web Services (AWS) provides companies of all sizes with an infrastructure web services platform in the cloud. With AWS, you can requisition compute power, storage, and other services – paying as you go for only the resources you need. Amazon Redshift is rapidly growing, fast and powerful, fully managed, petabyte-scale data warehouse service in the cloud. It enables customers to dramatically increase their query performance when analyzing virtually any size data set using the same SQL-based business intelligence tools they use today. They can launch a fully operational service with a few clicks for as low as under $1000 per terabyte per year. Amazon Redshift manages all the work needed to set up, operate, and scale a data warehouse, from provisioning capacity and installing software to monitoring and backing up the cluster, to applying patches and upgrades. By automating these labor-intensive tasks, Amazon Redshift enables customers to spend their time focusing on their data and business insights, rather than on procuring and managing infrastructure.

Joining the Amazon Redshift team gives you the opportunity to:
Work on a disruptive product that’s still in its early stagesSolve challenging problems that will revolutionize database computing in the cloudBuild a product that will leverage the scale of resources available in the cloudWork for a company that’s a recognized leader in the cloud computing spaceBe involved in the fast growing, big data space
We are looking for developers with expertise and passion for building large scale distributed systems. Experience with parallel query optimization and execution, large scale data analytics, highly available/fault tolerant systems, replicated data storage, and operating complex services running in the cloud are all pluses.

In this role, you will have responsibility for:
Translating functional and technical requirements into detailed architecture and designCoding and testing complex system componentsParticipating in code and design reviews to maintain our high development standardsWorking with other teams to deliver and operate large scale, distributed services in the cloudOverall system architecture, scalability, reliability, and performanceMentoring other engineers, defining our challenging technical culture, and helping to build a fast-growing team

Strong knowledge of data structures and algorithmsExperienced writing multi-threaded programs requiring concurrency and synchronization primitivesWrite very high quality code that is robust and easy to maintainExperienced debugging, diagnosing, and trouble-shooting complex, production softwareStrong understanding of system performance and scalingAbility to drive tasks to completion and take ownership of projectsAbility to work in a fast paced and agile development environmentPossess excellent communication, sharp analytical abilities, and proven design skillsExperience delivering and operating large scale, highly available distributed systems is a plusExperience with database systems internals, query optimization, and storage systemsExperience with large-scale data analytics and data warehousing is a plusMasters or PhD in Computer Science
** For more information on Amazon Web Services, please visit http://aws.amazon.com **

LI-JF1
aws-sdesdm-na

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
2,Software Engineer - Database Internals,"San Jose, CA",San Jose,CA,None Found,None Found,"
Experience with database internals such as transactions, indexing, schema design, concurrency, availability and distributed systems development
Experience in C++
Strong data structures and algorithm skills
Knowledge of Query execution, plans and optimization
Excellent communication skills and experience working in high-performance teams
Interested in working at a fast-paced, early-stage startup
M.S. or Ph.D. with 5+ years’ experience in database internals development",None Found,None Found,None Found,None Found,"Xcalar is pushing the limits of technology to help people discover meaningful insights from modern data. Our mission is to be the industry standard for next generation big data processing and analytics engines. We are looking to hire Database Internals Software Engineers to join us.

As a Database Internals Software Engineer, you will be a crucial member of our engineering team, developing software that extends Xcalar’s instruction set architecture into complex SQL operators using modern languages.

Xcalar’s engineering team is responsible for developing a cutting-edge product that will transform how big data is parsed, processed, and visualized in the financial services industry, government institutions, and high-tech enterprises.

*Principals only, no recruiters please*
Duties
Design and develop core database functions to optimize Xcalar’s instruction set architecture that provide an SQL interface to our distributed database microkernel
Participate in all phases of the product development lifecycle, including system testing and performance assessment
Deliver the highest levels of robustness, performance, scalability, modularity, and simplicity in a distributed, multi-threaded environment
Work with engineering leadership to ensure the design and development are on track and meet our product goals and quality metrics
Create clear and concise documentation for all the work performed, including architecture and design documents, code comments, technical notes, internal application notes, bug fixes, and root cause analysis
Write automated tests and help with issue triage and resolution as needed during the product development process
Required Qualifications
Experience with database internals such as transactions, indexing, schema design, concurrency, availability and distributed systems development
Experience in C++
Strong data structures and algorithm skills
Knowledge of Query execution, plans and optimization
Excellent communication skills and experience working in high-performance teams
Interested in working at a fast-paced, early-stage startup
M.S. or Ph.D. with 5+ years’ experience in database internals development
Xcalar is committed to diversity in its workforce and is proud to be an equal opportunity employer. Xcalar considers qualified applicants without regard to race, color, religion, creed, gender, national origin, age, disability, veteran status, marital status, pregnancy, sex, gender expression or identity, sexual orientation, or any other legally protected class.

Please reference http://www1.eeoc.gov/employers/upload/eeoc_self_print_poster.pdf and
https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf for more information."
3,Database Administrator - Identity Cloud Services,"Redwood City, CA 94065",Redwood City,CA,94065,None Found,"Influence the design, capacity planning tuning and the actual build out of Exadata DB instancesEnsure the DB system is always up to date and patched to the latest version in an automated fashionDevelop solutions that ensure DB health check are done in an automated and proactive fashionInteract with customers and developers for any priority situations and react/respond timely manner.Contribute to the architecture, design and development of data tier for Oracle’s next-generation Identity Cloud Service.Play a key role in the design of HA/DR solutions for the new Identity cloud service.Get involved in Performance, Scalability and Reliability Analysis and database query tuningTroubleshoot HA/DR and Database Performance issues on the existing cloud serviceBe part of the on-call roasterWork with architects and development managers in requirements specification definition and detailed engineering analysis from data requirements perspective.Own database/schema design documentation at component and product level.Do design reviews and code reviews for peers and team members.Participate in rapid delivery in planning, building, configuring, deploying, monitoring and documenting for Oracle Cloud projects.",None Found,None Found,None Found,None Found,"Database Administrator - Identity Cloud Services-19000USP


Preferred Qualifications
The Oracle Cloud Infrastructure (OCI) team can provide you the opportunity to build and operate a broadly distributed, multi-tenant cloud environment. OCI is committed to providing the best in cloud products that meet the needs of our customers who are tackling some of the world’s biggest challenges. The OCI Identity Cloud Services group is looking for exceptional database Software professionals to be part of the next generation of Identity Cloud Services (IDCS).

The Team and Product

Identity Cloud Service is a strategic focus for Oracle. Identity Management is already part of the cloud infrastructure for Oracle Public Cloud. We now want to provide Identity Management as a cloud Service enabling our customers to have a seamless Single Sign On experience, managing their users and applications. We are building our Identity Cloud Service platform and service from the ground up and an exceptional user experience is critical to the success of IDCS.

The Role

We are seeking accomplished database software professionals who can be part of the “Identity Cloud Services” team. If you are self-driven and have a great combination of coding skills, design skills, performance tuning/troubleshooting and communication skills and have been part of large enterprise class software product development teams, have worked on development of services deployed on the popular Cloud platforms like Oracle Public Cloud, Amazon Web services or Azure then this position is definitely a fit for you.

About the Successful Candidate
The successful candidate is self-motivated, progressive software professional with around 4-9 years of industry experience who can deal with complex problems without supervision. He/She should have had prior experience administering large scale oracle databases preferably Exadata. Bachelors or Master’s degree or equivalent experience relevant to the functional area.

Responsibilities
Influence the design, capacity planning tuning and the actual build out of Exadata DB instancesEnsure the DB system is always up to date and patched to the latest version in an automated fashionDevelop solutions that ensure DB health check are done in an automated and proactive fashionInteract with customers and developers for any priority situations and react/respond timely manner.Contribute to the architecture, design and development of data tier for Oracle’s next-generation Identity Cloud Service.Play a key role in the design of HA/DR solutions for the new Identity cloud service.Get involved in Performance, Scalability and Reliability Analysis and database query tuningTroubleshoot HA/DR and Database Performance issues on the existing cloud serviceBe part of the on-call roasterWork with architects and development managers in requirements specification definition and detailed engineering analysis from data requirements perspective.Own database/schema design documentation at component and product level.Do design reviews and code reviews for peers and team members.Participate in rapid delivery in planning, building, configuring, deploying, monitoring and documenting for Oracle Cloud projects.
Preferred Skills:
Minimum of 8+ years working experience in Database administration activities such as DB provisioning, LCM, patch/upgrade, RMAN backup/recovery and performance troubleshooting.Minimum of 4+ years working experience in RAC or Oracle Exadata, Data Guard, Golden Gate, etc.Strong understanding in database Performance Troubleshooting/Tuning, be skillful in SQL execution plan, AWR, ADDM, ASH,TKPROF, etc reports.Full life-cycle product development experience.Experience in PL/SQL and SQL Programming.Oracle database server 11g/12c concepts and its administration concepts.Experience in Unix/Linux Shell and Python scripting.Experience in REST API.Strong communication and personal skills: work well with members of other functional groups in a project team; demonstrate a strong sense of project ownershipExposure to Agile methodology
Other Desirable Skills
1. Experience with identity management domain.
2. Exposure to LDAP based data repository: Active Directory, Oracle Internet Directory etc.
3. Develop designs geared towards massive scalability, and code the core elements of those designs to make adoption faster.
4. Is familiar with both Waterfall and Agile methodology.



Detailed Description and Job Requirements

Work with a world class team to provide enterprise-wide, Oracle Database Administration support for production systems and provide DBA services to application development teams, including database design, database generation, coding, and database production support. Provide DBA support with a high degree of customer service, technical expertise, and timeliness. Provide accurate and creative solutions to user problems of moderate nature to ensure user productivity.

As a Senior Database Administrator, you are instrumental in researching, evaluating, designing, testing, recommending, and planning implementation of new versions of Oracle database and database tools. May act as a team lead during database implementations and for system operation and maintenance.

Leading contributor individually and as a team member, providing direction and mentoring to others. Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. 8 years of experience supporting relational databases as a DBA, with multiple distributed relational DBSM*s or a depth and focus in Oracle and related tools. Success at using the DBMS to optimize performance of large databases for enterprise use is greatly preferred. Experience with an organization with a key 24 X 7 reliance on its database is desirable. BS or equivalent desired.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law."
4,Senior Communications Systems Analyst,"San Jose, CA 95134",San Jose,CA,95134,None Found,"
Tools, equipment, practices, and methods of installing electronic communications equipment;
Computer programming languages including C, HP-UNIX, UNIX, Transmission Control Protocol and Internet Protocol (TCP/IP);
Theory and principles of electronics and telecommunications systems and circuits such as radio, CCTV, PABX, VOIP, and fiber optics;
Principles and practices of lead supervision and training;
Project procurement and project management techniques;
Work planning and project management techniques.",None Found,None Found,None Found,None Found,"Definition

Under direction, the Senior Communications Systems Analyst leads and participates in the work of staff in performing operation, maintenance, upgrade, repair, and software administration of radio, wired and wireless communication, closed circuit television (CCTV) and security systems, related electronic equipment, and associated software utilized by a transit agency; ensures vendor performance and contract compliance; and provides technical support to user groups, contractors, vendors, and management. Activities can occur indoors or outside and may require physical labor.

Distinguishing Characteristics

Senior Communications Systems Analyst is the advanced journey level in the Communications Systems Analyst series. Positions at this level are distinguished from other classes in this series by the level of responsibility assumed, in-depth technical knowledge, and complexity of duties assigned. The Senior Communications Systems Analyst performs project lead functions including the authority to assign work, delegate assignments, and review the work of others.

This class is responsible for the following communications and security systems: telephone, digital microwave radio, global positioning systems, analog and digital communications control switches, analog and digital base radio stations, diagnostic maintenance stations, Computer Aided Dispatch/Automatic Vehicle Locator (CAD/AVL) systems, remotely controlled and monitored closed circuit TV systems (CCTV), electronic security and entry control systems, and remotely monitored, controlled, and administered audio recording systems.

Positions in this classification may be assigned to one or more functional areas: system administrator for UNIX, HP-UNIX, or Windows based systems; database administrator for Private Automated Branch Exchange (PABX) /Voice Over Internet Protocol (VoIP) telephone system and/or remote audio or video recording systems; data communications equipment maintenance; public address and audio-video equipment, CAD/AVL systems and radio system maintenance; database administrator for card access and associated security systems.

The Senior Communications Systems Analyst is distinguished from the Communications Systems Manager in that the latter has overall responsibility for planning, directing and supervising the work of the Communications Systems unit.

Classification Bargaining Unit: SEIU
Essential Job Functions
Typical Tasks
Leads and participates in the work of staff in the assigned functional area in the Communications Systems unit;
Performs systems tuning, backup, and maintenance;
Trains customers, staff, and others as needed in a formal setting, in a group, or one-on-one;
Evaluates telecommunication, radio, security, and surveillance equipment, systems, and operations for safety, cost, effectiveness, efficiency, and reliability;
Analyzes, troubleshoots, and resolves problems with assigned systems which maybe indoors or outside and may require physical labor;
Installs, tests, and repairs communications and security systems hardware and equipment;
Provides analytical and technical support in the design, construction, installation, operation, maintenance and repair of large, complex and geographically diverse communications and security systems;
Reviews and evaluates work products, methods, and procedures, and identifies and resolves issues;
Develops or assists in the development of maintenance procedures for telecommunication hardware and software;
Administers database for PABX and VOIP telephone communications system by setting up profiles, backing up files, and installing and maintaining Computer Telephony Integration (CTI) and Automatic Call Distribution (ACD) software;
 Administers database for any of the following: remotely monitored audio recording systems, servers, and recording devices; CAD/AVL system; card access security system;
Designs and administers analog and digital CCTV system networks and digital recording devices;
Implements configuration management of hardware and software in relation to moves, additions, and changes to communications systems;
Prepares Request for Bid and Request for Proposal documents for purchase of communications and security related equipment or services by VTA;
Serves as project manager and lead on various communications and security related procurements, installation, and construction projects;
Analyzes various utility usage and cost data and recommends or implements efficiency and/or cost savings measures;
Performs administrative tasks such as paying bills and invoices; enters SAP requisitions for major and minor procurements;
Coordinates the work of contract employees;
Maintains effective liaison with suppliers and contractors as well as internal departments;
Prepares and presents progress and status reports;
Drives vehicles to and from work sites; Administers VTA's wireless systems, network, and devices including Worldwide Interoperability Microwave Access (WiMAX), Wireless Network (Wi-Fi), and Wireless Access Point (WAP);
Administers and supports VTA VoIP systems and technology;
Supports and maintains cellular communications (such as 3G, 4G, LTE, WiMAX) and devices (such as phones, personal digital assistants, tablet PCs, Blackberries, and mobile data terminals);
Supports and maintains public address and audio-video equipment;
Supports VTA fiber optics (design, install, operate, test, maintain and repair);
Supports and maintain electronic fare collection (operation, repair, maintain);
Supports and maintain UHF T-Band Radio system components and base stations;
Maintains technical and functional competency;
May be required to monitor project expenditures, recommending adjustments as necessary;
Performs other related duties as required.
Minimum Qualifications
Employment Standards
Sufficient training, education, and experience which demonstrate the ability to perform the above tasks and the possession of the following knowledge and abilities.
Development of the required knowledge, skills, and abilities is typically obtained through training and experience equivalent to possession of an associate degree in electrical engineering, electronics, computer science, or related field and five (5) years of increasingly responsible experience in the installation and repair of communications equipment and systems, including UNIX, HP UNIX, Global Positioning Systems (GPS), and/or digital microwave radio systems. (Additional applicable experience with communications equipment and systems substitutes for college education on a year for year basis.)
Possession of a valid general class Radiotelephone Operators license (issued by the Federal Communications Commission) or an equivalent Communication Technician Certification (issued after examination by a recognized two-way radio professional organization) is desirable.
Possession of a valid class C California driver's license is required.
Employees in this class may be required to lift equipment weighing up to 50 pounds.
Supplemental Information
Knowledge of:
Tools, equipment, practices, and methods of installing electronic communications equipment;
Computer programming languages including C, HP-UNIX, UNIX, Transmission Control Protocol and Internet Protocol (TCP/IP);
Theory and principles of electronics and telecommunications systems and circuits such as radio, CCTV, PABX, VOIP, and fiber optics;
Principles and practices of lead supervision and training;
Project procurement and project management techniques;
Work planning and project management techniques.
Ability to:
Interpret technical documents, blueprints, schematic drawings, operations and maintenance manuals, and procedures;
Assess, troubleshoot, and repair communications equipment and systems down to the component level and software line of code level;
Perform skilled shop work in the maintenance and repair of radio and electronic equipment; Lead and direct the work of subordinate personnel, contractors, and related vendors;
Train customers and staff as needed;
Prioritize complex and demanding workloads and team/vendor schedules;
Prepare and present comprehensive and clear reports and recommendations;
Multitask with a strong attention to detail;
Keep current with changes within a functional area, such as methods, practices, and technology;
Organize and manage time effectively;
Prepare complex technical bid and proposal documents for communication related goods or services;
Track and administer project budgets, pay invoices, creates purchase requests, and related procurement tasks;
Evaluate proposals submitted by various contractors or vendors for goods or services required by VTA;
Work irregular hours, weekends, and holidays including on call (24/7/365);
Communicate clearly and effectively, both orally and in writing;
Establish and maintain effective working relationships with those contacted in the course of work."
5,Senior Java Database Development,"Redwood City, CA 94065",Redwood City,CA,94065,None Found,"Bachelor’s or Master’s degree in Computer Science or related fields
4+ years of experience in Software development with moderately complex products
Proficient in PL/SQL, Python or Shell scripting
Experience with Oracle Database
Familiarity with Linux operating system
Familiarity with Java or C++
Familiarity with Security concepts (Encryption, PKI etc.)
Exposure to Data analytics is a plus
Self-starter and deliver tasks with minimal supervision",None Found,None Found,None Found,"Bachelor’s or Master’s degree in Computer Science or related fields
4+ years of experience in Software development with moderately complex products
Proficient in PL/SQL, Python or Shell scripting
Experience with Oracle Database
Familiarity with Linux operating system
Familiarity with Java or C++
Familiarity with Security concepts (Encryption, PKI etc.)
Exposure to Data analytics is a plus
Self-starter and deliver tasks with minimal supervision","Senior Java Database Development-19000ZI8


Preferred Qualifications

The Database Security Group is chartered to provide a comprehensive portfolio of security solutions to ensure data privacy, protect against insider threats, and enable regulatory compliance for both Oracle and non-Oracle databases. Oracle is the leader and pioneer in database security, continuing to innovate and extend the lead on competitors. Security is essential for businesses and consumers in the information age.

This team within the Database Security Group is responsible for the Oracle Audit Vault and Database Firewall product. Oracle Audit Vault and Database Firewall consolidates and collates audit data and monitors Oracle and non-Oracle database traffic to detect and block threats. It also provides comprehensive reporting capabilities by consolidating audit data from databases, operating systems, directories, and other sources.


Oracle Audit Vault and Database Firewall is growing rapidly and we want to expand into new areas such as Cloud, Analytics and Big Data. To help focus in these areas, we are looking for a Senior Member of Technical Staff to join our team.


Requirements:
Bachelor’s or Master’s degree in Computer Science or related fields
4+ years of experience in Software development with moderately complex products
Proficient in PL/SQL, Python or Shell scripting
Experience with Oracle Database
Familiarity with Linux operating system
Familiarity with Java or C++
Familiarity with Security concepts (Encryption, PKI etc.)
Exposure to Data analytics is a plus
Self-starter and deliver tasks with minimal supervision

Detailed Description and Job Requirements:
Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.

Detailed Description and Job Requirements

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will assist in defining and developing software for tasks associated with the developing, debugging or designing of software applications or operating systems. Provide technical leadership to other software developers. Specify, design and implement modest changes to existing software architecture to meet changing needs.

Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law."
6,Database Administrator,"San Mateo, CA",San Mateo,CA,None Found,None Found,None Found,None Found,"Plans database upgrades by maintaining , evaluating, and",None Found,Experience in MySql,"Who we are
Zinier is a global company headquartered in San Mateo, California, with offices in Mexico City, Singapore, and Bengaluru and backed by leading investors including Accel Partners and Founders Fund.
Why we exist
Services shape how we live. Electricity lights up our homes. The Internet opens up our worlds. Cellular phones keep us connected no matter where we are. We take for granted the things we can turn on with the flip of a switch. But when even one of the services we depend on isn't available, the day can quickly start to go sideways.
For organizations that provide these services, some of the most important work happens in the field — in neighborhoods, across open spaces, and along millions of last miles that criss-cross the country. Every moment of downtime matters, which is why Zinier exists. Zinier empowers organizations to work smarter — from the main office to the field — to solve problems quickly, fix things before they break, and keep people in the rhythm of their days.
To do this, Zinier has created a scalable platform powered by AI-driven insights and intelligent automation that helps field service teams work smarter, better, faster, and more efficiently. We help organizations automate routine tasks so the people in the field can focus on putting their expertise to work. We work with customers in telecom and energy.
Role Responsibilities
Plans database upgrades by maintaining , evaluating, and
improving a transaction processing model
Assesses database performance by developing a protocol for
measurement of results and identification of problem areas.
Supports database performance by monitoring database
performance; evaluating and resolving processing and
programming problems; designing database management tools;
answering user questions.
Secures database by preparing access and control policies and
procedures; implementing disaster recovery procedures.
Supports application design by contributing expertise to
applications, operations, and technical support teams.
Updates job knowledge by participating in educational
opportunities; reading professional publications; maintaining
personal networks; participating in professional organizations.
Accomplishes information systems and organization mission by
completing related results as needed.
Assists in the QA review of data being entered into the
database.
Assists in the implementation of any newly developed or
upgraded component within TIER.
Requirements
Experience in MySql
Knowledge of Transact SQL and SQL performance, monitoring
and tuning
Advanced computer skills and proficiency in Microsoft Office,
Internet and Intranet; database use and maintenance
SQL knowledge preferred"
7,Database Administrator,"Sunnyvale, CA",Sunnyvale,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"5+ years of experience in windows/ Linux systems administration in a large engineering or R&D environment
Administration of a RDBMS such as Oracle, MySQL, and/or PostgreSQL
Familiarity with various NoSQL solutions, experience with Cassandra a plus
Database replication, backup, and high-availability
Database performance and capacity analysis/tuning
Familiarity with Linux (RHEL/CentOS preferred)
Meaningful scripting experience in shell, Perl, Python, Ruby or other modern scripting language
Familiarity of configuration management tools (Puppet, Chef, or Ansible)
Deep understanding of database applications of NFS and NAS appliances (NetApp preferred)
Basic understanding of layer 2/layer 3 networking
Deep understanding of revision control systems (SVN, git, Perforce)
Software/tool compilation and installation
Relevant experience with monitoring systems such as Nagios, Zenoss, Sensu, Groundwork, and/or Splunk
LDAP experience (OpenLDAP, DSEE, OpenDirectory)
Must be analytical and possess strong organizational/problem-solving skills
Minimum Experience: 5 Yrs
Education:
Bachelor's Degree"
8,MySQL DBA,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,"MySQL - at least 7+ years.
Implement best practices on MySQL Server Databases and Servers.
Interface and communicate with customers.
Interface and communicate with other internal departments at Remote DBA Experts.
Participate in an on call rotation.
Install and configure MySQL Server.
Document processes and procedures.
Implement/Support Replication.
Implement/Support Clustering.
Implement/Support Online Backups.
Participate in migrations for customers.
Strong proficiency in MySQL database management.
Decent experience with recent versions of MySQL.
Understanding of MYSQL's underlying storage engines.
Experience with replication configuration in MySQL.
Proficient in writing and optimizing SQL statements.
Familiarity with other SQL/NoSQL database such as Oracle DBA etc.
Experience of limitations in MySQL and their workarounds in contrast to another popular relational database.
Proficient understanding of code versioning tools.
",None Found,None Found,None Found,"We are hiring MySQL DBA for a long term contract in San Jose, CA for our Fortune 500 client.
Job Title: MySQL DBA
Duration: 6 to 12 months
Location: San Jose, CA

Candidate must have 9+ years of experience.
Candidate must be California local.

Skills Required:
MySQL - at least 7+ years.
Implement best practices on MySQL Server Databases and Servers.
Interface and communicate with customers.
Interface and communicate with other internal departments at Remote DBA Experts.
Participate in an on call rotation.
Install and configure MySQL Server.
Document processes and procedures.
Implement/Support Replication.
Implement/Support Clustering.
Implement/Support Online Backups.
Participate in migrations for customers.
Strong proficiency in MySQL database management.
Decent experience with recent versions of MySQL.
Understanding of MYSQL's underlying storage engines.
Experience with replication configuration in MySQL.
Proficient in writing and optimizing SQL statements.
Familiarity with other SQL/NoSQL database such as Oracle DBA etc.
Experience of limitations in MySQL and their workarounds in contrast to another popular relational database.
Proficient understanding of code versioning tools.
Thanks & Regards,
Raghu Singh"
9,Administrative Assistant and Contract Administrator,"San Jose, CA 95119",San Jose,CA,95119,None Found," Excellent computer skills in Outlook, Microsoft Word and Excel.",None Found,None Found,None Found,None Found,"Administrative Assistant and Contract Administrator
Job Summary:
The primary responsibilities of this position are to provide administrative support and to perform clerical duties for the Human Resources Department and contract administration for the Legal Department.
Essential Functions:
 General administrative support
 Handling travel arrangements for employees/candidates/guests
 Being a backup to the front desk when needed
 Assisting with the Visas/Passport Application Process
 Company Events/Activities Support
 Various Assignments/Projects
 Coordinating contract approvals and signatures
 Uploading executed contracts to the contracts database
 Preparing summaries and reports for executed contracts
 Answering questions about contracts from other departments including sales and finance
Qualifications:
 Excellent computer skills in Outlook, Microsoft Word and Excel.
 Excellent communication and interpersonal skills with an upbeat telephone personality.
 Must be detail oriented and possess the ability to effectively multi-task on multiple projects.
 Prefer 0-2 years’ office experience.
 AA Degree or higher
 Strong organizational skills
Location: San Jose, CA"
