,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"SQL Database Administrator, Mid-Level","Washington, DC 20005",Washington,DC,20005,None Found,"
AA/AS or equivalent experience and minimum 5 years of related work experience.
Microsoft Certified Database Administrator (MCDBA)
CompTIA SEC+",None Found,None Found,None Found,None Found,"Job Description
Responsible for knowledge and proficiency with an enterprise database technology (e.g., Relational, SQL database, In-Memory databases, NoSQL databases and new emerging databases).
What You’ll Get to Do:
Establishes and maintains security and integrity controls.
Formulates and monitors policies, procedures and standards relating to database management.
Proposes and implements enhancements that will improve the performance and reliability of the system.
Maintains professional and technical knowledge by attending educational workshops; reviewing professional publications; establishing personal networks; benchmarking state-of-the-art practices; and participating in professional societies.
Identifies customer database requirements. Defines optimal conceptual, logical and physical data models that address customer requirement and balances performance (e.g., indexes, views, snapshots) and storage (e.g., normalization, de-normalization).
Incorporates security, back-up, and disaster recovery into database designs. Establishes database parameters that maximize database performance. Installs, configures, and patches database management systems (DBMS).
Writes database documentation, including data standards, procedures and definitions for the data dictionary (metadata).
Controls access permissions and privileges. Ensures that storage and archiving procedures are functioning correctly.
Conducts capacity planning. Communicates regularly with technical, applications and operational staff to ensure database integrity and security.
Clones application environments. Ensures availability of related application technology (e.g., web services, applications, batch processors, job schedulers, etc.).
Provides Tier III support for the application technology stack. Applies application, security, and database patches.
Migrates new software code and break fixes. Verifies shell/SQL scripts, packages, and stored procedures for system enhancements. Installs and configures third party products that integrates with the underlying application.

You’ll Bring These Qualifications:
AA/AS or equivalent experience and minimum 5 years of related work experience.
Microsoft Certified Database Administrator (MCDBA)
CompTIA SEC+

These Qualifications Would be Nice to Have:
Federal Sector MS SQL DBA experience

What We Can Offer You:

We’ve been named a Best Place to Work by the Washington Post.
Our employees value the flexibility at CACI that allows them to balance quality work and their personal lives.
We offer competitive benefits and learning and development opportunities.
We are mission-oriented and ever vigilant in aligning our solutions with the nation’s highest priorities.
For over 55 years, the principles of CACI’s unique, character-based culture have been the driving force behind our success.
Job Location
US-Washington-DC-WASHINGTON DC


CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities."
1,Database Administrator/Data Analyst,"Arlington, VA 22202",Arlington,VA,22202,None Found,None Found,None Found,"
Research and document program data quality issues, including incorrect, redundant, and missing data.
Make recommendations for best practices the lead to overall improvements in data quality.
Recommend, implement, and assist with data migration efforts across the application portfolio to ensure maximum data reliability post migration.
Assist in the compilation of legacy program data within the application portfolio.
Assist with data entry/editing of incoming data and reports.
Developing conceptual and logical data models to help define business and system requirements and interface with developers to update program application.
Assist with creation of program deliverables and reporting.","
Bachelor's degree - Computer Science or Technical degree preferred
At least 6 years' experience as a data administrator, analyst, architect or similar
At least 8 years of relevant work experience in lieu of a specific degree would be acceptable, especially if the experience is multi-functional (i.e., operations and development)
",None Found,"Position: Database Administrator/Data Analyst

Location: Remote

***this position is contingent upon award of a TSA contract.

Summary: The successful candidate will facilitate the documentation, analysis, and quality baselines for application and program data for complex government contract. The ability to work with both technical and non-technical audiences is very important, so having a solid understanding of the software development process is key.

Responsibilities:

Research and document program data quality issues, including incorrect, redundant, and missing data.
Make recommendations for best practices the lead to overall improvements in data quality.
Recommend, implement, and assist with data migration efforts across the application portfolio to ensure maximum data reliability post migration.
Assist in the compilation of legacy program data within the application portfolio.
Assist with data entry/editing of incoming data and reports.
Developing conceptual and logical data models to help define business and system requirements and interface with developers to update program application.
Assist with creation of program deliverables and reporting.
Education and Experience:

Bachelor's degree - Computer Science or Technical degree preferred
At least 6 years' experience as a data administrator, analyst, architect or similar
At least 8 years of relevant work experience in lieu of a specific degree would be acceptable, especially if the experience is multi-functional (i.e., operations and development)
ASRC Federal and its Subsidiaries are Equal Opportunity / Affirmative Action employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, or protected veteran status."
2,Database Administrator I,"Reston, VA",Reston,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"JOB INFORMATION

Under limited supervision, design, structure, and maintain one or more discrete databases used by business units or infrastructure units. Test, quality control, and performance tune data to ensure its integrity and reliability. Confer with business unit and technical staff regarding extracting data for particular reports. Monitor or accomplish refreshing of data and installation and testing of new releases or patches of database software.

KEY JOB FUNCTIONS

Maintain structure, tables, access to and efficient operation of one or more databases in use for systems or applications in current use by clients, business units, or corporate offices.
Confer with business unit or corporate office staff and/or developers regarding current or planned applications using a database to determine technical requirements and how they will be satisfied by the use and configuration of a database.
Maintain, update, or document data structures or models, data dictionaries, tables, and other objects used in the database(s) supported.
Maintain client registrations for the use of specific database(s).
Ensure integrity of data in database by analyzing periodically, testing, and making additions or uploads as necessary.
Support current applications using a database by troubleshooting error messages reported in the error log.
May schedule large or batch jobs to be run and track their progress through server to completion.
EDUCATION

Bachelor's Degree or equivalent required
MINIMUM EXPERIENCE

1+ years of related experience
SPECIALIZED KNOWLEDGE & SKILLS

1-2 years of experience with Netezza Application DBA management
Experience with Cloud Redshift management
Knowledge of AWS Elastic MapReduce
EMPLOYMENT

As a condition of employment with Fannie Mae, any successful job applicant will be required to pass to successfully complete a background investigation.


Fannie Mae is an Equal Opportunity Employer.

Req ID: 57841"
3,Application Oracle Database Administrator,"Herndon, VA",Herndon,VA,None Found,None Found,None Found,"Backup & Recovery

Database Mgmt Systems DBMS

Database Mgmt Systems DBMS

Oracle
",None Found,None Found,None Found,"Application Oracle Database Administrator
Log in
Share this
Find similar career opportunities
Application Oracle Database Administrator
Category: Database Administration
City: Herndon, Virginia, United States
Position ID: J0619-1830
Employment Type: Full Time
Position Description:
CGI is seeking to hire an Application Oracle Database Administrator with a minimum of 6 years of experience to join our team in Herndon, VA. This is an exciting full-time opportunity to work in a fast-paced team environment supporting one of the largest leaders in the secondary mortgage industry. We take an innovative approach to supporting our client, working side-by-side in an agile environment using emerging technologies.
In this role, you will:
Plan computerized databases, including base definition, structure, documentation, long-range requirements, operational guidelines and protection.

Ensure accuracy and completeness of data in master files and various support tools, such as base dictionaries.

Establish and maintain security and integrity controls, formulate and monitor policies, procedures and standards relating to database management along with proposing and implements enhancements that will improve the performance and reliability of the system.

Your future duties and responsibilities:
The Database Administrator is responsible for database performance monitoring and tuning activities, database space management and planning, and supporting Development/Implementation/Testing/Production environments.
The Database Administrator will:
Develop solutions and resolve a wide range of issues, as necessary with limited direction
Participate in determining objectives and approaches to assignments
Provide production support to large databases used by multiple offices or staff for ongoing analysis
Plan, schedule, and implement database upgrades and patches
Maintain reporting function by troubleshooting problems or work interruptions
Plan, coordinate and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure
Specify users and user access levels for each segment of database.
Write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions.
Develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.
Develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.
Identify and evaluate industry trends in database systems to serve as a source of information and advice for upper management
Required qualifications to be successful in this role:
Expertise with required DBMS system including backups, tuning, user maintenance and system maintenance
Expertise of software upgrade procedures
Expertise of one or more of the major DBMS systems
Ability to work independently with minimal supervision
Ability to mentor Jr. DBA's and developers
Strong communication skills
EDUCATION REQUIREMENTS
Bachelor degree in Computer Science, Information Systems or related field
Skills:
Backup & Recovery

Database Mgmt Systems DBMS

Database Mgmt Systems DBMS

Oracle

What you can expect from us:
Build your career with us.
It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.
At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.
Be part of building one of the largest independent technology and business services firms in the world.
Learn more about CGI at www.cgi.com .
No unsolicited agency referrals please.
CGI is an equal opportunity employer.
Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.
CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at USEmploymentCompliance@cgi.com . You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. Please note, this email address is only to be used for those individuals who need an accommodation to apply for a job. Emails for any other reason or those that do not include a requisition number will not be returned .
We make it easy to translate military experience and skills! Click here at https://cgi-veterans.jobs/ to be directed to our site that is dedicated to veterans and transitioning service members.
All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held.
CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI’s legal duty to furnish information."
4,CRM System Administrator,"Washington, DC 20005",Washington,DC,20005,None Found, Strong commitment to reproductive choice;,None Found," Manage the creation, retiring, and support of user accounts;",None Found,None Found,"The National Abortion Federation (NAF), the leading pro-choice organization representing abortion providers and their patients, has an immediate full-time opening for the position of Database Administrator.
NAF is a 501(c)(3) organization, dedicated to ensuring that abortion is safe, legal, and accessible. Our members include clinics, hospitals and physicians’ offices in the United States, Canada, Mexico City, and Colombia. Our dynamic and innovative programs span a wide range of services designed to meet the unique needs of abortion providers and their patients.
The CRM System Administrator will work closely with all departments to ensure the Customer Relationship Management system works effectively across the organization. This role will participate in planning, organizing and management of all CRM projects to ensure effective operations; identify areas for improvement and develop technical improvement plans; work with vendor partners to design, configure, test and deploy changes to CRM database workflows; and design, develop and implement key reports using available tools.
Additionally, this role will assist the Communications and Membership teams and Development to analyze and report campaign effectiveness including traffic, acquisition, conversion, retention and revenue. The CRM System Administrator will stay informed on current as well as new and emerging CRM features, roadmaps and releases, while maintaining the system security including sharing rules and security levels. The CRM System Administrator will report to the Information Security and Strategy Specialist and will work closely with the leaders of NAF’s departments, and will regularly interact with staff.
Responsibilities include, but are not limited to:
 Manage the creation, retiring, and support of user accounts;
 Manage the CRM platform and architecture to ensure seamless operation across the organization;
 Use customer journey mapping to maximize member/donor experience.
 Work closely with all departments ensure the CRM works effectively and to create standardized database policies, SOPs, and system documentation for our internal CRM and members-only data systems;
 Oversee and maintain the integrity and quality of NAF’s data;
 Stay current on enhancements to CRM and facilitate (and in some cases provide) user training;
 Collaborate across teams to draft, document and execute testing plans for system upgrades, and changes;
 Design and execute customized, regular, and ad-hoc reports, queries, and lists;
 Perform periodic data enhancement, data hygiene and archiving projects;
 Collaborate with staff to generate financial, analytical, statistical, and demographic reports, as well as mailing lists and other data extractions as requested;
 Provide onboarding, training as well as ongoing timely and friendly “customer support” to staff and help them troubleshoot data issues as needed;
 Investigate and resolve any problems related to database functions.
Qualifications:
 Strong commitment to reproductive choice;
 3+ years of non-profit database experience; specific experience with NetForum (or other Abila or Community Brands products) not required but strongly preferred;
 Strong experience with, and knowledge of, database best practices;
 Detail oriented and extremely well organized while able to understand and apply big-picture concepts;
 Strong written and oral communications skills;
 Ability to manage multiple projects simultaneously with a high level of autonomy and independence;
 Flexibility and adaptable personality to handle shifting needs, evolving priorities and urgent situations that arise;
 Excellent time management skills and an ability to work in a deadline-driven environment;
 Ability to collaborate across teams with strong interpersonal skills;
 Strong interpersonal skills, with demonstrated ability to work across teams, as well as independently; and
 Strong Microsoft Office proficiency.
Compensation:
Salary is commensurate with qualifications and experience. Excellent benefits. Position is located in Washington, DC.
The National Abortion Federation is an Equal Opportunity/Affirmative Action Employer.
If there is interest in your application materials for this position, you will be contacted by a member of our organization. No phone calls, please."
5,Database Administrator - Level 4 (DCGS),"Chantilly, VA",Chantilly,VA,None Found,None Found,"Mandatory Security Clearance Requirement: TS/SCI with CI Polygraph
Experience writing scripts to manipulate data for database ingest
A Bachelor’s Degree from an accredited institute in an area applicable to this position (e.g. information systems, computer science, math, or engineering) and eight (8) years of relevant experience
An additional four (4) years of relevant experience may be substituted for the Bachelor’s Degree
Must presently be 8570 compliant (IAT Level 2 preferred); must be 8570 compliant (IAT Level 2) by date of security indoctrination with any necessary continuing education (CE) for certification",None Found,"
Manages the ingestion of the data; monitors the integrity and performance of the database
Duties include disaster recovery, performance analysis and tuning, index maintenance, and monitoring of data
Administers, maintains, develops and implements policies and procedures for ensuring the security and integrity of the database
Evaluates and recommends available database management system (DBMS) products
Performs database and software life-cycle activities to ensure highest level of system performance and availability and compliance with business requirements
Performs Oracle, SQL Server, SYBASE, and other DBMS Database and Application server administration
Organizes and formats data for efficient query and storage processes",None Found,None Found,"Job Description
***Active TS/SCI with CI Polygraph Required***

Red Arch Solutions is a proven and effective small business integrator and consultant, recognized as a leading provider of IT development to the Federal Government, and primarily focused within the Intelligence Community. We offer excellent benefits, including 20 days PTO, 10 holidays, up to 10% 401k contribution, and reimbursement for tuition/certifications. Top of the line PPO Medical, Dental, Vision, and Short and Long-Term disability are also offered. We are also an official AWS Partner, and are pleased to now offer Cloud Solutions Architecture and Engineering using Amazon Web Services.

Red Arch Solutions is looking for a Database Administrator to support our client. The scope of this contract relates to providing a ""data transport layer"" approach for better integration, program alignment, and information sharing capabilities amongst DoD and IC agencies, and to deliver a more agile operational architecture to the warfighter using commercial technology.

Responsibilities/Job Function:
Manages the ingestion of the data; monitors the integrity and performance of the database
Duties include disaster recovery, performance analysis and tuning, index maintenance, and monitoring of data
Administers, maintains, develops and implements policies and procedures for ensuring the security and integrity of the database
Evaluates and recommends available database management system (DBMS) products
Performs database and software life-cycle activities to ensure highest level of system performance and availability and compliance with business requirements
Performs Oracle, SQL Server, SYBASE, and other DBMS Database and Application server administration
Organizes and formats data for efficient query and storage processes
Minimum Qualifications
Mandatory Security Clearance Requirement: TS/SCI with CI Polygraph
Experience writing scripts to manipulate data for database ingest
A Bachelor’s Degree from an accredited institute in an area applicable to this position (e.g. information systems, computer science, math, or engineering) and eight (8) years of relevant experience
An additional four (4) years of relevant experience may be substituted for the Bachelor’s Degree
Must presently be 8570 compliant (IAT Level 2 preferred); must be 8570 compliant (IAT Level 2) by date of security indoctrination with any necessary continuing education (CE) for certification
Desired Qualifications
Red Arch Solutions is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, national origin, age, marital status, disability, or protected veteran status. Red Arch Solutions takes affirmative action in support of its policy to advance in employment individuals who are minorities, women, protected veterans and individuals with disabilities."
6,"Database Administrator, Mid","Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Key Role:
Serve as database administrator for the Maritime Information Environment (MIE), a suite of applications, services, and products. Provide ongoing user support and technical assessment to identify and correct functional deficiencies, software bugs and anomalies. Work on MIE databases and perform system backups, database management, account management, configuration management, updates and patches, and performance tuning. Coordinate the setup and execution of data transfers to other networks or systems. Assist the government by analyzing the development of and documenting business processes and workflows supported by the databases and extracting metrics. Coordinate with specific customers on integrating, testing, and deploying new releases of software that depend on these databases. Monitor and maintain data ingest processes, including translation, support qualitative management of database integrity, including assisting with the identification and correction of errors in ingested data, and ensure all documentation is completed and updated, as required.
Basic Qualifications:4+ years of experience with Windows-hosted database administration1+ years of experience with database administration in a Linux RHEL or UNIX Solaris 10+ environment, including shell script development and debuggingExperience with database tuning to accommodate complex queries against large databases with more than a million recordsExperience with systems administration and performance tuningKnowledge of SQL and PL-SQL programming and scripting skillsKnowledge of Cloud services and data storageTS/SCI clearanceBA or BS degreeDoD 8570.01-M Information Assurance Technical (IAT) compliant certification or higher, including Security+CE, GSEC, or SSCP
Additional Qualifications:Experience with the interconnection of content repositories such as Apache Jackrabbit (JCR)Experience with the interconnection of cross-domain guard technology and Web services
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.
We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change."
7,Database Administrator,"Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Company:
Federal Management Systems, Inc
Job Location(s):
Washington, DC
Start Date:

Employment Term:
Regular
Employment Type:
Full Time
Hours per Week:
40
Starting Salary Range:
Not Provided

Required Education:
Bachelor's Degree
Required Experience:
7 to 20+ years
Required Security Clearance:
None
Related Categories:
IT - General, IT - Software Development, IT - Database
Position Description
We are seeking administrators who can manage 11g or 12c databases that are hosted on Windows 2008 or Windows 2012, both physical and virtual servers, in the DEVNET and OpenNet Plus networks, as well as the DMZ. The management of the databases includes ensuring availability, performance monitoring and tuning, maintenance, upgrade operations, backup/recovery operations, data migration/loads, and SQL and PL/SQL coding in support of custom application development and database operations.
? Minimum 7-10 years of experience
? Extensive experience and a solid understanding in administering complex database architectures of Oracle 11g/12c on Windows servers in the local networks as well as the cloud
? Experience creating databases from design models and building physical environments
? Experience upgrading databases to the latest versions
? Experience designing, developing, testing, documenting, deploying/implementing and tuning Oracle SQL and PL/SQL Languages code
? Extensive experience with data migration and data loads, often from non-Oracle sources
? Knowledge of Real Applications Clusters, Data Guard, Flashback technology, Recovery Manager, and Oracle Enterprise Manager
? Experience with TOAD and ERWIN
? Oracle Certified DBA certification preferred (versions 11g and 12c)

It is FMS’s policy to recruit, hire and train, compensate and promote individuals who are
qualified for a specific position by reason of that person’s education, training, skill,
experience, character, intelligence, initiative and general ability. Such action shall occur
without regard to the individual’s age, race, color, national origin, religion, gender,
veteran status, sexual preference, or disability, or any other characteristic protected by
federal, state or local law."
8,Systems Administrator,"Arlington, VA 22201",Arlington,VA,22201,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description
Job Description:
CACI International Inc., is an American multinational professional services and information technology company headquartered in Arlington, Virginia. CACI provides services to many branches of the federal government including defense, homeland security, intelligence, and healthcare. CACI is looking for a Linux/Windows Systems Administrator to join a project on a software development and operations and maintenance program in Reston, Virginia. Our environment is technically diverse and dynamic. The project systems administrators implements baseline changes and responds to change requests; performs technical evaluations, analysis and troubleshooting for software applications and servers; performs hardware assessments; and operates and maintains software applications.
Job Responsibilities:
Experience supporting enterprise wide software
Experience integrating software applications
Experience with installing, upgrading and maintaining operating systems and application software on LINUX and/or Windows platforms
Experience with Windows 2008/R2 and 2012/R2
Experience with standing up and supporting multiple environments to include development, test, training, and production environments for enterprise applications
Experience with supporting and troubleshooting web applications
Experience with automation through scripting
Excellent interpersonal skills and the ability to work as a team and with a team

EDUCATION & EXPERIENCE:
Security Clearance:
TS/SCI Poly
Education and Experience:
Bachelor's Degree or equivalent and 5-7 years of related experience. Please apply if you do not have a degree as some of our best hires are self-taught.
Desired Qualifications:
Experience with Apache Web Server and Apache Tomcat
Experience working with Oracle and performing some Database Administrator tasks
Familiarity with encryption technology
Familiarity with TeamMate
Familiarity with AWS technology and virtualization
PHYSICAL DEMANDS:
Normal demands associated with an office environment. Ability to work on computer for long periods, and communicate with individuals by telephone, email and face to face. Some travel may be required.

Job Location
US-Arlington-VA-VIRGINIA SUBURBAN


CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities."
9,Database Administrator,"Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"May 28, 2018

Compensation $50 to $60 Hourly
Benefits Offered 401K, Dental, Life, Medical, Vision
Employment Type Full-Time

We are seeking a Database Administrator to join our team! You will be responsible for testing and implementing computer databases.

Minimum/General Experience/Education: Minimum three (3) years of experience.

Database Administrator must have Oracle and MS SQL Database experience , including database design, performance tuning, database backup and restore, and database replication, and develop plans and procedures to support those activities.

Assist with planning to migrate from existing application versions to latest application versions including configuration.

Performs requirements analysis, and query optimization and table normalization. Assists with development and support of Intranet database applications.

Design database tables, stored procedures, triggers, and queries.

Requires BS degree (or equivalent experience) in Computer Science or Information Systems. Excellent oral and written communication skills.

Responsibilities:
Administer, test, and implement computer databases
Coordinate changes to computer databases
Implement security measures to safeguard computer databases
Monitor performance space on servers and databases
Respond to database problems and escalations
Provide trend analysis and reporting

Qualifications:
Previous experience in database administration or other related fields
Experience with relational databases, such as MySQL, Oracle, and SQL Server
Strong analytical and problem solving skills
Ability to prioritize and multitask
Deadline and detail-oriented"
