,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Senior Machine Learning Engineer,"Somerville, MA",Somerville,MA,None Found,None Found,None Found,None Found,"
Work with software development team to manage data pipeline
Develop and deploy new methods around survival modeling and anomaly detection
Design and implement data warehouses, real-time ETL, and batch processing data to support modeling needs
Build and maintain internal data processing and visualization tools
",None Found,None Found,"In this position, you will help build out data infrastructure within Data Science. The tools you build impact model development, deployment, model performance reporting, and data monitoring. You will work closely with the founders and field engineering to deliver a cutting-edge solution to our industrial clients.

As a senior data scientist on the team, you are expected to drive our machine learning strategy and overall development. We are actively researching and deploying novel machine learning methods. Part of the work includes publishing certain work in leading ML journals and presenting.

Responsibilities:

Work with software development team to manage data pipeline
Develop and deploy new methods around survival modeling and anomaly detection
Design and implement data warehouses, real-time ETL, and batch processing data to support modeling needs
Build and maintain internal data processing and visualization tools

Desired skills:

5+ years of data science work experience
Masters or preferably PhD in relevant technical field
Deep experience with Python
Experience shipping products and features early/often
Experience working with very large datasets, especially using Dask and Kinesis

Bonus Points:

Background in time series analysis, hidden Markov models, Gaussian processes, and variational inference.
Familiarity with node.js and both front-end/back-end JavaScript.

Benefits
Work with the founding team to solve some of the hardest problems in heavy industry (using lots of unique data!). We work with energy companies and utilities around the world to increase infrastructure reliability, reduce costs, and improve safety."
1,Machine Learning Engineer for Autonomous Systems,"Cambridge, MA",Cambridge,MA,None Found,None Found,"
MS in Computer Science or related field, or BS with significant experience
Software development experience (Python/C++)
Broad knowledge of machine learning, particularly deep learning
Competency with a modern deep learning framework (e.g. PyTorch or TensorFlow)
Good written and spoken communication skills
Applicants selected for this position will be required to obtain and maintain a U.S. Security Clearance.","
MS in Computer Science or related field, or BS with significant experience
Software development experience (Python/C++)
Broad knowledge of machine learning, particularly deep learning
Competency with a modern deep learning framework (e.g. PyTorch or TensorFlow)
Good written and spoken communication skills
Applicants selected for this position will be required to obtain and maintain a U.S. Security Clearance.","
MS in Computer Science or related field, or BS with significant experience
Software development experience (Python/C++)
Broad knowledge of machine learning, particularly deep learning
Competency with a modern deep learning framework (e.g. PyTorch or TensorFlow)
Good written and spoken communication skills
Applicants selected for this position will be required to obtain and maintain a U.S. Security Clearance.",None Found,None Found,"Overview
Draper is an independent, nonprofit research and development company headquartered in Cambridge, MA. The 1,800 employees of Draper tackle important national challenges with a promise of delivering successful and usable solutions. From military defense and space exploration to biomedical engineering, lives often depend on the solutions we provide. Our multidisciplinary teams of engineers and scientists work in a collaborative environment that inspires the cross-fertilization of ideas necessary for true innovation. For more information about Draper, visit www.draper.com.

Our work is very important to us, but so is our life outside of work. Draper supports many programs to improve work-life balance including workplace flexibility, employee clubs ranging from photography to yoga, health and finance workshops, off site social events and discounts to local museums and cultural activities. If this specific job opportunity and the chance to work at a nationally renowned R&D innovation company appeals to you, apply now www.draper.com/careers.

Equal Employment Opportunity
Draper is committed to creating a diverse environment and is proud to be an affirmative action and equal opportunity employer. We understand the value of diversity and its impact on a high-performance culture. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information.

Draper is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, please contact hr@draper.com.
Responsibilities
Draper's Perception and Autonomy Group seeks a machine learning engineer to help research and create advanced autonomous systems, including vehicles and robots, able to operate in complex environments such as underwater, air, and space. The candidate should have expertise in deep learning for computer vision and be able to work effectively in a multi-disciplinary team. The candidate should be capable of reading and understanding research papers, implementing state-of-the-art algorithms, and dealing with unique technical challenges.
Qualifications
Required Skills and Qualifications:
MS in Computer Science or related field, or BS with significant experience
Software development experience (Python/C++)
Broad knowledge of machine learning, particularly deep learning
Competency with a modern deep learning framework (e.g. PyTorch or TensorFlow)
Good written and spoken communication skills
Applicants selected for this position will be required to obtain and maintain a U.S. Security Clearance.

Desired Skills and Qualifications:
Robotics experience (with tools such as ROS)
Broad knowledge in computer vision
Experience with Linux and embedded systems"
2,Senior Machine Learning Engineer,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"As a Senior Machine Learning Engineer at Integral you will design and scale solutions to cutting edge analytical problems that arise from an extremely diverse set of biotech data - including computational chemistry, computational biology, medical records, quantitative finance, text/social, video/image analysis, mobile/digital patient engagement, and others. Successful candidates must be committed to working with a diverse set of scientists, entrepreneurs, and domain experts in ways that cut across traditional industry boundaries in a fast-paced startup environment.

Successful candidates are expected to be well-versed in good software engineering methodologies and committed to working with a diverse set of scientists, entrepreneurs, and domain experts in ways that cut across traditional industry boundaries in a fast-paced startup environment.

You'll do…


Work with data scientists, researchers, product teams, and other domain experts to build highly scalable engineering solutions to complex data-oriented problems. 
Design, develop, test, maintain, and improve an integrated codebase of advanced engineering products. 

You Bring…


BS or MS in Computer Science or related technical field 
Extensive software engineering experience across multiple languages such as Python, Java, C/C++, R, Scala 
Extensive experience with standard statistical analysis and machine learning techniques 
Experience with popular analytical tools such as Pandas, Scikit-learn, Tensorflow, PyTorch, Jupyter, ggplot2, or SparkML 
Strong analytical, problem-solving, and communication skills 

You May Also Bring…


Ph.D. in Computer Science or related technical field
Deep knowledge of computer science concepts pertaining to algorithmic complexity and distributed/parallel computing
Experience with scalable analysis tools and platforms such as Hadoop, Spark, AWS, or GCP 
Experience with non-traditional database and knowledge representation architectures such as semantic graphs, NoSQL, etc.

About Integral

Integral Health, Inc. is a privately held, computational company with a proprietary clinical development and patient engagement platform. Integral Health was founded by Flagship Pioneering, an innovation enterprise that conceives, creates, resources, and grows first-in-category life sciences companies. Flagship Pioneering has created over 40 groundbreaking companies over the past fifteen years, all of which are pioneering novel and proprietary biological, industrial, and engineering approaches to solve major needs in human health and sustainability. These companies include Seres Therapeutics (NASDAQ: MCRB), Moderna (MRNA), Syros Pharmaceuticals (SYRS), Rubius Therapeutics (RUBY), Axcella Health, Evelo Biosciences (EVLO), and Indigo Agriculture."
3,Machine Learning Engineer,"Somerville, MA",Somerville,MA,None Found,None Found,None Found,None Found,"
Design and implement new distributed machine learning methods
Implement data warehouses, real-time ETL, and batch processing data to support modeling needs
Work with engineers to define and manage data sources
Build and maintain internal data processing and visualization tools
",None Found,None Found,"In this position, you will help build out data infrastructure and implement new machine learning methods to enhance Tagup's core competencies of anomaly detection and survival modelling. The tools you build will impact model development, deployment, model performance reporting, and data monitoring. You will work closely with the founders and field engineering to deliver a cutting-edge solution to our industrial clients.

We welcome applicants just out of graduate programs; please feel free to include references to any academic articles and/or relevant open-source projects you have contributed to.

Responsibilities:

Design and implement new distributed machine learning methods
Implement data warehouses, real-time ETL, and batch processing data to support modeling needs
Work with engineers to define and manage data sources
Build and maintain internal data processing and visualization tools

Desired skills:

3+ years of data science work and/or academic experience
Deep experience with python
Experience shipping products and features early/often
Experience working with very large datasets, especially using Dask and Kinesis

Bonus Points:

Background in time series analysis, survival modelling, or anomaly detection.
Experience working with hidden Markov models, Gaussian processes, and variational inference.
Familiarity with node.js and both front-end/back-end JavaScript

Benefits
Work with the founding team to solve some of the hardest problems in heavy industry (using lots of unique data!). We work with energy companies and utilities around the world to increase infrastructure reliability, reduce costs, and improve safety."
4,Machine Learning Engineer,"Cambridge, MA",Cambridge,MA,None Found,None Found,None Found,None Found,"
Take the lead in projects involving AI and Machine Learning.
Help design, implement, and analyze techniques in signal processing, computer vision, anomaly detection, early warning detection, human behavior prediction, and deep learning.
Implement new state-of-the-art algorithms and ML models to support research and development goals.
Work with real-world human data, such as behavioral, performance, physiological, and mental-state data.
Collaborate with others in a dynamic and lean multidisciplinary team environment to accomplish research goals.
Document your work. Represent your code graphically for strategy meetings.
Perform other duties as assigned.
",None Found,None Found,"Brain Power is actively seeking a highly skilled, dedicated, and self-motivated Machine Learning Engineer who is ready to contribute to our mission in meaningful ways and make a difference in the lives of people with brain-based challenges.

As a member of our team, you will apply your technical skills to creating next-generation therapies for brain-related conditions such as autism, ADHD, traumatic brain injury, and/or anxiety. You will engage with signal processing, computer vision, and machine/deep learning; and implement new state-of-the-art algorithms and models to support research-and-development goals. You will have direct access to data collected from clinical study populations, schools, and end users.

Responsibilities:

Take the lead in projects involving AI and Machine Learning.
Help design, implement, and analyze techniques in signal processing, computer vision, anomaly detection, early warning detection, human behavior prediction, and deep learning.
Implement new state-of-the-art algorithms and ML models to support research and development goals.
Work with real-world human data, such as behavioral, performance, physiological, and mental-state data.
Collaborate with others in a dynamic and lean multidisciplinary team environment to accomplish research goals.
Document your work. Represent your code graphically for strategy meetings.
Perform other duties as assigned.
Required Background:

Passion!
Master’s, PhD, or advanced undergrad in Engineering, Computer Science, Applied Mathematics, Biostatistics, or related field.
Demonstrated state-of-the-art knowledge of one or more specialization topics such as:
Signal processing/feature extraction — ideally with experience in clinical physiology (EEG, EMG, etc.), human kinematics, and/or interpretation of mobile accelerometry data.
Image processing/computer vision — particularly applications related to analysis of facial features (detection, recognition, affect classification), body motion tracking and movement classification, and/or real-time image effect processing (dynamic morphing/blending texture maps, “face replacement”).
Health informatics/biostatistics — particularly “big data” analysis of epidemiology or clinical/health records, or analysis of large scale non-clinical, public datasets to understand health-related trends.
Experience using contemporary software and/or hardware tools for algorithm and/or system development for signal processing, image analysis, and/or machine learning.
Demonstrated initiative and interpersonal skills and ability to work in a collaborative, multidisciplinary team environment.
Startup mentality, and ability to thrive in a small team
Preferred Background:

3+ years experience in one or more of the following: Java, Android, Unity, C, C++, or C#.
4+ years experience in one or more of the following: Matlab, R, Python, Tensor Flow.
Experience applying algorithms to operate in real-time on a mobile/wearable device OS.
Experience with cloud computing resources and data analysis techniques (e.g. Hadoop, MapReduce, Spark).
Experience in the AR/VR/xR industry
Experience in the assistive technology industry.
Experience working with people with ASD.
Brain Power is an equal opportunity employer."
5,Managing Data Scientist / ML Engineer,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We’re looking for a Data Science lead that relishes understanding the latest advanced analytics and machine learning then converting those technologies into effective solutions that help to measurably build a client’s business. We are looking for someone who’s eager to roll up their sleeves with clients then take ideas and run with them.

The Data Science & AI group at PA Consulting is your dream community. As part of the fastest growing innovation practice within PA Consulting, you will work with the latest advanced analytics, machine learning, and big data technologies to generate actionable insights from data and develop innovative data products. We focus on Life Science, Healthcare, Energy & Utilities and CPG sectors and work with various data sets, from social media to public health data. Our domain focus is broad and covers everything from computer vision and NLP, recommender engines, classification and clustering algorithms, linear programming and optimization.

Job Requirements7+ years professional work experience as a data scientist or machine learning engineerStrong interpersonal and team-building skillsExemplary communication skills, including written, verbal and presentationThe ability to successfully manage client expectations and relationshipsEntrepreneurial, with creative thinking skills
Role & Responsibilities:
Work in collaborative environment with global teams to drive client engagements in PA Consulting key industries: Life Science, Healthcare, E&U, CPGProvide data-driven recommendations to clients by clearly articulating complex technical concepts through generation and delivery of presentations.Analyze and model both structured and unstructured data from a number of distributed client and publicly available sources.Quickly understand client needs, develop solutions, and articulate findings to client executives.Perform exploratory data analysis and feature engineering to both inform the development of statistical models and generate improve model performance and flexibility.Design and build scalable machine learning models to meet the needs of given client engagement.
Preferred:
Experience working with database systems (e.g. SQL, NoSQL, MongoDB, Postgres, ect.)Experience working with big data distributed programming languages, and ecosystems (e.g. S3, EC2, Hadoop/MapReduce, Pig, Hive, Spark, etc)Experience building scalable data pipelines and with data engineering/ feature engineering.Webscraping leveraging Beautifulsoup, Selenium, Scrapy, etcExperience with front end (UI), HTML5, JavaScript, CSS, R Shiny, TableauExcellent team-oriented and interpersonal skills.

About PA Consulting Group
About PA

Bringing Ingenuity to Life: We’re an innovation and transformation consultancy that believes in the power of ingenuity to build a positive-human future in a technology-driven world. Our diverse teams of experts combine innovative thinking with breakthrough-technologies to progress further, faster.

With a global network of FTSE 100 and Fortune 500 clients, we’ll offer you unrivalled opportunities for growth and the freedom to excel. Combining strategies, technologies and innovation, we turn complexity to opportunity and deliver enduring results, enabling you to build a lasting career.

Isn’t it time you joined us?

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. VEVRAA Federal Contractor
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. VEVRAA Federal Contractor"
6,Machine Learning Engineer,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Boston, MA
About our team and culture
We are a small and highly-skilled team that’s passionate about AI and believes this domain will be the most transformative technology change in this generation. Our culture is transparent, honest, and direct—you’ll always know what’s going on and why it furthers our mission.
Our CEO and cofounder, Dan Abdinoor, is a repeat founder and has built successful businesses throughout more than 10 years in Boston startups such as HubSpot, BabbaCo, Wyth, and TechStars. Jameson Toole, CTO and cofounder, brings years of AI and machine learning expertise with a PhD from MIT and several degrees from the University of Michigan.
If you’re excited about making a big impact on the future of technology, we’d like to hear from you today.
Fritz is creating a software platform to bring apps and devices powered by Artificial Intelligence to users around the world. Our customers teach their apps how to see, hear, sense, and think using our platform. Current apps range from curing crop diseases in Africa to creating augmented reality photos featuring your pet and everything in-between, all made possible by Fritz.
Machine Learning Engineer Overview
We are looking for a Machine Learning Engineer on a full-time basis. You will collect, train, and improve new models to deliver these experiences for our customers.
Technologies
Keras + TensorFlow (Python)
Apple Core ML
TensorFlow Mobile
Jupyter Notebooks + Google Colab
Google Cloud Platform
About you
Great attitude, enthusiastic learner, excited to grow.
Collaborative and comfortable in a team-oriented environment.
Excited about making big contributions, seeing measurable results, and being recognized and appreciated for your efforts."
7,Machine Learning Engineer- SS&C Technologies,"Boston, MA 02108",Boston,MA,02108,None Found,None Found,None Found,None Found,None Found,None Found,"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.

This position will be based at 50 Milk Street, Boston, MA 02109.

Job Description:
Overview and Scope
The Senior Software Engineering role will require strong experience in hands-on development and delivery of distributed, multi-tiered, enterprise-level systems. We are seeking a senior level Python resource with experience in architecture, design, performance and scalability in an enterprise environment.

This position will work as part of a larger development team focused on driving innovation across the whole SS&C Institutional & Investment Management product. The Engineer will write top notch code in multi-tiered multi-thread and containerized environment, attend sprint meetings with team members to define and analyze development requirements and provide work breakdown and estimates of work.

Main responsibilities of the job

Code software changes based on design specifications. Proactively resolve issues in specification that will lead to quality, system performance, or architectural issues in product.
Perform thorough unit testing on all relevant platforms as is appropriate for the particular task/project.
Regularly inform manager on progress of project, identifying risks early in the process.
Collaborate with Business Analysts and Product Designers to ensure understanding of business requirements.
Demonstrate self-directed and proactive approach to tackling problems and leveraging resources.

Required Qualifications

3+ years of experience with Machine Learning and Artificial Intelligence technologies – TensorFlow, Elastic (ELK), DeepLearn, Accord.
Strong understanding of Machine Learning design- Supervised and Unsupervised learning patterns, Neural Networks, Pattern Recognition, Prediction, Anomaly, Scoring.
4+ years with SQL and NOSQL database technologies – SQL Server, MongoDB, PostgreSQL with ETL, SSIS
Expert level experience with Python or related scripting language(s).
Comprehensive knowledge and implementation of SaaS architecture with scalability and high-performance data processing.
Excellent verbal and written communication skills, strong interpersonal and presentation skills.
Experience with design and implementation best practices for data modeling.

Educational Qualifications

Four-year college degree in relevant field. Computer Science or Engineering degree a plus.

#LI-RM1

Unless explicitly requested or approached by SS&C Technologies, Inc. or any of its affiliated companies, the company will not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services.

SS&C offers excellent benefits including health, dental, 401k plan, tuition and professional development reimbursement plan.

SS&C Technologies is an Equal Employment Opportunity employer and does not discriminate against any applicant for employment or employee on the basis of race, color, religious creed, gender, age, marital status, sexual orientation, national origin, disability, veteran status or any other classification protected by applicable discrimination laws."
8,Principal Machine Learning Engineer,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"As a Principle Machine Learning Engineer at Integral you will design and scale solutions to cutting edge analytical problems that arise from an extremely diverse set of biotech data - including computational chemistry, computational biology, medical records, quantitative finance, text/social, video/image analysis, mobile/digital patient engagement, and others. Successful candidates must be committed to working with a diverse set of scientists, entrepreneurs, and domain experts in ways that cut across traditional industry boundaries in a fast-paced startup environment.

Successful candidates are expected to be well-versed in good software engineering methodologies and committed to working with a diverse set of scientists, entrepreneurs, and domain experts in ways that cut across traditional industry boundaries in a fast-paced startup environment.

You'll do…


Work with data scientists, researchers, product teams, and other domain experts to build highly scalable engineering solutions to complex data-oriented problems. 
Design, develop, test, maintain, and improve an integrated codebase of advanced engineering products. 

You Bring…


BS or MS in Computer Science or related technical field 
Extensive software engineering experience across multiple languages such as Python, Java, C/C++, R, Scala 
Extensive experience with standard statistical analysis and machine learning techniques 
Experience with popular analytical tools such as Pandas, Scikit-learn, Tensorflow, PyTorch, Jupyter, ggplot2, or SparkML 
Strong analytical, problem-solving, and communication skills 

You May Also Bring…


Ph.D. in Computer Science or related technical field
Deep knowledge of computer science concepts pertaining to algorithmic complexity and distributed/parallel computing
Experience with scalable analysis tools and platforms such as Hadoop, Spark, AWS, or GCP 
Experience with non-traditional database and knowledge representation architectures such as semantic graphs, NoSQL, etc.

About Integral

Integral Health, Inc. is a privately held, computational company with a proprietary clinical development and patient engagement platform. Integral Health was founded by Flagship Pioneering, an innovation enterprise that conceives, creates, resources, and grows first-in-category life sciences companies. Flagship Pioneering has created over 40 groundbreaking companies over the past fifteen years, all of which are pioneering novel and proprietary biological, industrial, and engineering approaches to solve major needs in human health and sustainability. These companies include Seres Therapeutics (NASDAQ: MCRB), Moderna (MRNA), Syros Pharmaceuticals (SYRS), Rubius Therapeutics (RUBY), Axcella Health, Evelo Biosciences (EVLO), and Indigo Agriculture."
9,Machine Learning Engineer,"Cambridge, MA 02142",Cambridge,MA,02142,None Found,"Undergraduate degree in Computer Science, or technical field (Physics, Math, etc.)
3-5 years designing and training models on large, complex and/or biased datasets.
3-5 years experience across deep learning frameworks like Keras, TensorFlow or PyTorch and machine learning packages (sklearn, etc.)
Fluent with data modeling, indexing, and ETL and cloud-based pipelines (substantial expertise with Redshift/BigQuery, Apache Beam, Spark or equivalent)
Fluent in Python (preferred) or Java
",None Found,None Found,None Found,None Found,"The life sciences are in the midst of a data revolution. Cheap and accurate genome sequencing is here, advanced imaging is routine, and clinical data is increasingly stored in electronic formats. These innovations — and the massive data sets they produce — have brought us to the threshold of a new era in medicine, one where the data sciences hold the potential to propel our understanding and treatment of human disease.
As a result, The Broad Institute has created a machine learning initiative to drive innovation beginning with the world's leading killer, cardiovascular disease. We are building open-source software to derive insights from massive amounts of multimodal clinical and genomic (ECGs, MRIs, EHRs) data using deep learning architectures. Our aims include more than just predictive accuracy for the onset of disease - we will use our models to uncover new biology itself that can drive new therapeutics and treatment.
The role:
You will work on a small team of machine learning scientists, engineers and cardiovascular disease experts.
You will identify the highest impact opportunities by whiteboarding solutions with the top genetic and clinical researchers in the world.
You will conduct theoretical ML research with collaborators from MIT and Harvard and implement cutting edge methods for learning representations of cardiovascular health.
You will collaborate regularly with MD/PhDs from across the life sciences to explore how to embed cardiac physiology into learning agents.
You will hunt for new ways to accelerate therapeutic development with industry collaborators.
You will deploy cloud-based software to a diverse audience of researchers across the world.
You will work with real patient genomic and clinical data to train and validate impact.
Qualifications
Undergraduate degree in Computer Science, or technical field (Physics, Math, etc.)
3-5 years designing and training models on large, complex and/or biased datasets.
3-5 years experience across deep learning frameworks like Keras, TensorFlow or PyTorch and machine learning packages (sklearn, etc.)
Fluent with data modeling, indexing, and ETL and cloud-based pipelines (substantial expertise with Redshift/BigQuery, Apache Beam, Spark or equivalent)
Fluent in Python (preferred) or Java
#LI-POST
EOE / Minorities / Females / Protected Veterans / Disabilities
EOE / Minorities / Females / Protected Veterans / Disabilities"
