,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Machine Learning Engineer,"Plano, TX 75024",Plano,TX,75024,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:
Job Description:
This is a Machine Learning Engineer role in Bank of America Conversational Commerce development team in Plano TX. Team builds next generation AI and Search platforms for the bank, enabling smart virtual assistants across multiple channels and platforms. This position requires candidate to be well versed with various machine learning algorithms and NLP techniques. Role offers an opportunity to work with seasoned architects, PhDs in Machine Learning and NLP. Several of the team members have been granted multiple patents in the space. Candidate should be able to work independently and take ownership of the delivery. Candidate must possess passion for clean code, ready to jump in and solve complex problems, be able to mentor and team members, and perform thorough code reviews.
Required Qualifications:
Bachelor or Master’s Degree in Computer Science or related field
2+ years of hands on experience working on Machine Learning and NLP
2+ of Java and Python development
Good interpersonal communication skills for tech and business conversations
Good analytical skills to break down requirements, solve complex problems
Desired qualifications:
Background in mathematics or statistics
Experience in design, feature engineering, data mining, embeddings for Machine Learning applications
Experience in data analysis and data presentation
Experience in schema design and data modeling
Experience working on high volume applications
Experience working on Java based applications
Experience in writing white papers and technical reports
Experience in performance tuning with good understanding of JVM internals
Experience in multithreaded programming
Experience with NoSQL databases like Cassandra
Experience with open source search engines like SOLR, elasticsearch
Experience in distributed caching frameworks like hazelcast, ignite, redis
Proven task management and leadership skills
Experience working in agile teams
Prior open source contributions
Shift:
1st shift (United States of America)
Hours Per Week:
40"
1,"Associate Cloud Developer, A2C","Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Bachelor’s Degree in a STEM related field such as computer science, computer engineering, or equivalent experienceFamiliarity with one of the following programming languages: Java, Python, Ruby, Node.js, C#, or C++Familiarity with Networking fundamentals, Security, Databases (Relational and/or NoSQL), Operating Systems (Unix, Linux, and/or Windows)

Amazon Web Services (AWS) is looking for motivated technologists who possess a unique balance of technical depth, business knowledge, and strong interpersonal skills. You will partner with customers and several AWS teams to craft highly scalable, flexible and resilient cloud architectures that address customer business problems. As a trusted customer advocate, you will help organizations understand best practices around cloud-based solutions, and how to migrate existing workloads to the cloud. You will have the opportunity to help shape and execute a strategy to build min- share and broad use of AWS within organizations.

Professional Services
At AWS, we have a credo of “Work hard. Have fun. Make history”. In this role, you will love what you do and instinctively know how to make work fun. You will be dynamic, creative, and willing to take on any challenge and make a big impact.

Here are some of the qualities we are searching for:
Be great fun to work with. At AWS, we have a credo of “Work hard. Have fun. Make history”. In this role, you will love what you do, and instinctively know how to make work fun. You will be dynamic and creative, and willing to take on any challenge and make a big impact.
An affinity for the new and unknown. We are always experimenting with innovative technologies including cloud computing, Machine Learning, and Internet of Things.
Enjoy working with customers of all shapes and sizes. You will have a passion for educating, training, designing, and building solutions for a diverse and challenging set of customers ranging from small businesses to large enterprises.
During your first year as an Associate Cloud Developer, you will receive instruction and on-the-job training on a range of AWS services and solutions. By the end of your first year, you will choose a specialty track suited to your strengths and preferences (subject to business availability). These tracks include:

Application Developer – AppDev resources are specialists in designing applications that run natively in the cloud. They are experts in building programs that run on any number of platforms including virtualized instances, containers, or serverless architecture.
Cloud Infrastructure Architect – An expert in cloud-based networking and system rollouts. CIAs specialize in network performance, infrastructure provisioning, and building Application Programming Interfaces (APIs).
DevOps Specialist – A leader in building advanced computing systems that harness continuous integration/continuous deployment pipelines and utilize the strengths of cloud computing to build scalable and economical systems for customers.
Data Lake & Analytics Specialist – This role will specifically focus on data processing capabilities and helping our customers and partners to remove the constraints that prevent our customers from leveraging their data to develop business insights. Engagements will include migration of existing applications and development of new applications using AWS cloud services.
Data Warehouse & Massive Parallel Processing Specialist – This role will specifically focus on large scale data warehousing and database migration capabilities. Engagements will include Redshift implementations and helping customers to migrate from their existing on-premises data warehouses using other databases to Amazon Redshift.
Data & Machine Learning Engineer – In this role, you will work with our partners and customers with a focus on our AWS Analytics and ML services offering such Amazon Kinesis, AWS Glue, Amazon Redshift, Amazon EMR, Athena, Amazon SageMaker, and more. You will help our customers and partners to remove the constraints that prevent them from leveraging their data to develop business insights.

Ability to travel to provide Professional Services is required for this role.

Troubleshooting: Experience with QA, testing, helpdesk, IT support, or any technician or quality assurance type workCloud Awareness: Experience implementing a cloud-based technology solution in a school project or while working for a companyExperience with systems administration (Linux/Windows) or network administration (DNS, IPsec, BGP, VPN, Load Balancing)Passion for experiencing new technologies, cultures, and locations in the US and around the world
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
2,Machine Learning Engineer,"Irving, TX 75038",Irving,TX,75038,None Found,None Found,None Found,None Found,None Found,None Found,"What you’ll be doing...
Verizon is standing up a new team focusing on Emerging Technologies to deliver building blocks for the various teams in the Verizon Consumer Group (VCG), the Verizon Business Group (VBG), and the Global Technology Services (GTS). We are looking for an AI/ML Expert who will be responsible for designing, implementing, and supporting various AI/ML models to support the business for various use cases at Verizon. Your primary responsibility will be analyzing requirements and implementing applicable AI/ML models to support VCG, VBG and GTS.
Work with GTS and Business client to understand their business and technical needs and design AI solutions that make the best use of the shared services our team is delivering.
Research, design, develop, and test various AI/ML frameworks and models.
Lead a team of data scientists and developers to map data onto models and algorithms based on use cases submitted by Business.
Define, implement and operate new processes to manage deployed ML model in production ensuring efficient and resilient management of the ML lifecycle (versioning, rollback, reinforced training, fine tuning…).
Design and implement various transformative and critical Digital Agents, AI Cognitive Services, ML/Deep Learning enhanced business use cases.
Architect and design high availability and resilient ML deployment and management processes for production to ensure accurate prediction and resiliency against training resulting in biases which may impact the business.
Design generic frameworks and services abstracted by standard API layers that can be used by various GTS teams, and designing for versioning in mind, operational considerations such as upgrades and updates.
Candidate must be well versed in the domain of AI/ML and able to build complex solutions and models from the grounds-up without much supervision. Solutions would include Business use cases across the various Verizon Business Units.
Must be able to work independently as well as mentor other individuals on the team, providing guidance on programs/projects direction. Should be comfortable assigning tasks to others and making decisions that impact features and requirements.
Contribute to the development of a governance process around the use of business and customer data in new ML model, on premise and on the cloud to ensure its security and privacy. This is a process that would have significant impact on the future use of data in Machine Learning models.
What we’re looking for...
You’ll need to have:
Bachelor’s degree or four or more years of work experience.
Six or more years of relevant work experience.
Even better if you have:
A degree in Computer Science/Engineering or relevant field.
Strong software development experience.
Two or more years of experience in building and deploying Machine Learning solutions using various supervised/unsupervised ML algorithms such as Linear/Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Random Forest, etc.
Experience in building and deploying ML models using libraries such as scikit-learn, TensorFlow, PyTorch, MXNet,Caffe, etc.
Experience deploying production-grade machine learning solutions on public cloud platforms.
Experience with Machine and Deep Learning toolkits such as MXNet, TensorFlow, Caffe and Torch.
Two or more years of experience in building and deploying Machine Learning solutions using various supervised/unsupervised ML algorithms such as Linear/Logistic Regression, Support Vector Machines, (Deep) Neural Networks, Random Forest, etc.
Strong knowledge of common algorithms and data structures.
Experience working with large codebases.
Experience in one of the following languages: C#, Python, Java, Scala, C++.
Experience communicating effectively across internal and external organizations, for complex mission-critical solutions.
Experience with predictive analytics, semi and unstructured data.
When you join Verizon...
You’ll have the power to go beyond – doing the work that’s transforming how people, businesses and things connect with each other. Not only do we provide the fastest and most reliable network for our customers, but we were first to 5G - a quantum leap in connectivity. Our connected solutions are making communities stronger and enabling energy efficiency. Here, you’ll have the ability to make an impact and create positive change. Whether you think in code, words, pictures or numbers, join our team of the best and brightest. We offer great pay, amazing benefits and opportunity to learn and grow in every role. Together we’ll go far.
Equal Employment Opportunity
We're proud to be an equal opportunity employer- and celebrate our employees' differences,including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. Different makes us better."
3,Machine Learning Engineer - Compliance Technology,"Lewisville, TX 75067",Lewisville,TX,75067,None Found,None Found,None Found,None Found,None Found,None Found,"As a Compliance Technology Software Engineer, you will dive right into creating innovative solutions that advance businesses and careers. You’ll join an inspiring and curious team of technologists dedicated to develop and deploy large scale infrastructure solutions that supports JPMC’s diverse and critical businesses. You will be using the latest technologies, data management and security practices in all aspect of software development. Critical thinking, clear communication and collaboration are key to success product delivery.

The candidate for this role will be a member of the Corporate Compliance AML Client List Screening Technology organization. As a core systems developer you will perform build and develop solutions for AML Sanctions, PEP and Negative Media Screening.

The Client List Screening Technology team supports regulatory and compliance requirements of the Compliance line of business with applications that monitor and report on suspected anti-money laundering activities via screening activities of individuals and companies. Existing applications continue to be re-tooled and expanded to include global capabilities. We partner with our clients on evolving business capabilities, improving end user experience with our solutions and services, and ensuring that we continue to provide continuous improvement on the systems that are relied upon across the firm.

Responsibilities include:
Work with raw data (including big data). Must have knowledge of preprocessing procedures and ability to prepare data for modeling. Experience in feature engineering

Develop and debug in Python, Java, C or C++. Proficient in git version control. R and Matlab are also relevant.

Design and evaluate intrinsic and extrinsic metrics of your model’s performance which are aligned with business goals.

Define how we build and deploy systems around intelligent algorithms.

Work computational packages (TensorFlow, Theano, PyTorch, Keras, Scikit-Learn, NumPy, SciPy, Pandas, Pickle, Seaborn, statsmodels, NLTK).

Use Natural Language Processing for Name Entity Recognition, Sentiment Analysis and topic modeling. Familiarity with Latent Dirichlet Allocation.

Assess opportunities and develop models to support Sanctions Screening alerting and disposition decisioning

Innovate solutions for various sanctions screening problems

Build model diagnostics, choice justification paradigms, testing and training approaches

Apply machine learning and statistical modeling methods for supervised and unsupervised learning

Tune and analyze algorithms and extract actionable insights. These methods include (but not limited to) regression analysis, clustering, outlier detection, novelty detection, decision trees, collaborative filtering, nearest neighbors, support vector machines, ensemble methods and boosting, neural networks and deep learning, feature selection, and factorization methods

Effectively communicate and explain complex data products in simple terms

Qualifications:
BS/BA degree or equivalent experience

Technical fluency in programming languages Java, Python, Perl, C, C++

Experience with distributed computing environments YARN, Spark, Hadoop

Experience with cloud computing platforms Amazon Web Services/AWS,

Google Cloud, Microsoft Azure

Strong knowledge of SQL, NoSQL, Hive

Expertise in Big Data and Big Data toolset

Experience working with two or more from the following: web application development, database, unix/linux environments, distributed and parallel systems, information retrieval, networking, large scale software development, security software development

Understanding or have experience with agile and lean philosophies

Strong critical thinking and problem solving skills with clear communication

5+ years researching and hands-on experience developing models.

5+ years direct experience in diverse development platform, software development and programming design and systems management, hardware, technologies and tools

When you work at JPMorgan Chase & Company, you're not just working at a global financial institution. You're an integral part of one of the world's biggest tech companies. In 14 technology hubs worldwide, our team of 40,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.

At JPMorgan Chase & Company we value the unique skills of every employee, and we're building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you're looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies around the world, we want to meet you."
4,Senior Machine Learning (ML) Engineer,"Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,"Design, build, deploy predictive Machine Learning models
Optimize and transform data science prototypes/solutions for speed, reliability, and scale
Implementing parallelization using spark, Kubernetes, etc
Testing different platform stacks for performance and efficiency
Providing scalability by planning, designing and deploying on the appropriate CPU/GPU clusters
Research and implement appropriate ML algorithms and tools
Select appropriate data sets and data representation methods
Collaborate cross-functionally with domain experts to identify gaps and structural problems
","Master’s or Ph.D. in Computer Science, Computer Engineering, Electrical Engineering, Statistics, Applied Mathematics or other related fields. 4+ years’ experience working in applied machine learning or relevant research experience for recent Ph.D. graduates.
Proven expertise with machine learning frameworks, e.g. PySpark, H2O, Keras, Pytorch, Tensorflow, etc. and libraries, e.g. PySpark MLlib, sci-kit-learn, statsmodels, nltk.
Experience in developing modularized data transformation pipelines and ML models as microservices is a big plus.
Experience in time series forecasting is preferred
Skilled in machine learning, problem-solving, pattern recognition and predictive modeling with expertise in PySpark and Python. Understanding of data structures, data modeling, and software architecture. Experience of working on Azure and Databricks will be helpful.
",None Found,"Antuit is the leader in AI-powered solutions for Retail and Consumer Goods companies with a proven track record for delivering outsized business results to industry leaders. We are disrupting how companies transform their business by providing a 360° view of demand with cutting-edge AI and cloud solutions. At Antuit, AI is at the center of every problem we solve, and the results we produce for our clients is the proof of our superior capabilities.

We deliver dramatic impact with improved forecast accuracy to shape, influence and optimize demand that results in significant benefit for our clients through our AI solutions in the cloud: Demand Forecasting, Revenue Growth Management, Lifecycle Pricing, and Customer Loyalty.

We are extending our AI forecasting capabilities with Demand Planning, Demand Sensing, and Direct-to-Store Delivery (DSD) Predictive Ordering solutions delivered in the cloud with Software as a Service (SaaS).

Antuit’s executives, comprised of industry leaders from McKinsey, Accenture, IBM, and SAS, and our team of Ph.Ds., data scientists, technologists, and domain experts, are passionate about delivering real value to our clients. Antuit is backed by Goldman Sachs and Zodius Capital.

Description
We are seeking a Senior Machine Learning Engineer to develop scalable and modular machine learning models that are the building blocks of Antuit’s AI-powered solutions that wil be used by hundreds of leading Retail and Consumer Goods companies.

In this role, you will design and develop machine learning algorithms and systems in the programming language of your choice (PySpark + Python). The successful candidate should also have ample experience in developing machine learning algorithms and data transformation modules. Experience of working in the demand forecasting or supply chain domain is a plus.

Responsibilities and duties
Design, build, deploy predictive Machine Learning models
Optimize and transform data science prototypes/solutions for speed, reliability, and scale
Implementing parallelization using spark, Kubernetes, etc
Testing different platform stacks for performance and efficiency
Providing scalability by planning, designing and deploying on the appropriate CPU/GPU clusters
Research and implement appropriate ML algorithms and tools
Select appropriate data sets and data representation methods
Collaborate cross-functionally with domain experts to identify gaps and structural problems
 ML Engineer qualifications and skills
Experience / Education.
Master’s or Ph.D. in Computer Science, Computer Engineering, Electrical Engineering, Statistics, Applied Mathematics or other related fields. 4+ years’ experience working in applied machine learning or relevant research experience for recent Ph.D. graduates.
Proven expertise with machine learning frameworks, e.g. PySpark, H2O, Keras, Pytorch, Tensorflow, etc. and libraries, e.g. PySpark MLlib, sci-kit-learn, statsmodels, nltk.
Experience in developing modularized data transformation pipelines and ML models as microservices is a big plus.
Experience in time series forecasting is preferred
Skilled in machine learning, problem-solving, pattern recognition and predictive modeling with expertise in PySpark and Python. Understanding of data structures, data modeling, and software architecture. Experience of working on Azure and Databricks will be helpful.
Energy and enthusiasm.
Strong work ethic and passion for learning and contributing to the development
A true team player.
Collaborative mindset. Able to collaborate closely and effectively with teams
Information Security responsibilities:
Understand and adhere to Information Security policies, guidelines and procedure, practice them for protection of organizational data and information systems.

Take part in Information Security training and act accordingly while handling information.

Report all suspected security and policy breach to Infosec team or appropriate authority (CISO).

EEOC
Antuit is an at-will, equal opportunity employer. We consider applicants for all positions without regard to race, color, religion, national origin or ancestry, gender identity, sex, age (40+), marital status, disability, veteran status, or any other legally protected status under local, state, or federal law.

To apply, please send your resume or CV to careers@antuit.com."
5,Machine Learning Engineer,"Lewisville, TX 75067",Lewisville,TX,75067,None Found,None Found,None Found,None Found,None Found,None Found,"As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You’ll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You’ll be tasked with keeping the team and other key stakeholders up to speed on the progress of what’s being developed. Coming in with an understanding of the importance of end-to-end software development-such as Agile frameworks-is key. And best of all, you’ll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world.

The role is for a Machine Learning Engineer within the Corporate Machine Learning Engineering and Services function for corporate functions across JPMorgan Chase, including Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and all functions within the Corporate Administrative Office (CAO). The Machine Learning Engineering and Services team will create services and platforms that will provide re-usable components and an end-to-end development to deployment environment to accelerate time-to-market for data science teams.

The ML Engineer will be part of a globally distributed team, with data science and engineering partners in APAC and EMEA. He/she will be part of a team of engineers that produce robust and scalable machine learning models, and enable the services to be deployed and integrated into existing business workflow. He/she will also build common machine learning capabilities used across Corporate based on those models. These capabilities will be delivered in an agile way, on internal open source code base, in a test driven manner. This is an exciting opportunity to work on cutting-edge solutions and have a profound influence on the business processes of a leading global bank.

This role will require a variety of skills including:
3+ years of exceptional hands-on knowledge of robust software design and development
Strong Java/ Python programming skills and Web Services (spring boot)
Experience in Big Data technologies and utilities (Hadoop, Spark SQL, Hive, Impala, Pig, Kafka)
Experience in distributed computing and micro services
Exposure to or interest in ML
Experience in designing and implementing scalable solutions in the analytics space
Experience in building reliable and auditable CI/CD deployment pipeline using Jenkins
Exposure working with Cloud based applications
Exposure working with data and variety of databases
Exposure/competence with Agile Development approach
Ability to collaborate with high-performing teams and individuals throughout the firm to accomplish common goals
Our Corporate Technology team relies on smart, driven people like you to develop applications and provide tech support for all our corporate functions across our network. Your efforts will touch lives all over the financial spectrum and across all our divisions: Global Finance, Corporate Treasury, Risk Management, Human Resources, Compliance, Legal, and within the Corporate Administrative Office. You’ll be part of a team specifically built to meet and exceed our evolving technology needs, as well as our technology controls agenda.

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 14 technology hubs worldwide, our team of 40,000+ technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $9.5B+ annual investment in technology enables us to hire people to create innovative solutions that will not only transform the financial services industry, but also change the world.


At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you."
6,Machine Learning Engineer,"Irving, TX",Irving,TX,None Found,None Found,"
2-3 years of experience in Python.
1+ years of experience in GPUs, CUDA (parallel computing platform), AWS/Azure.
Highly skilled in CNN, RNNs & LSTMs, scikit-learn, keras, theano, tensorflow, H20.
Deep expertise in JavaScript and Node.JS.
",None Found,"
Mathematical understanding of a variety of statistical learning algorithms (Reinforcement Learning, Supervised/Unsupervised, Graphical Models)
Expertise in a variety of Deep Learning architectures and models including Residual Networks, RNN/CNN, Transformer, and/or Transfer Learning in a production environment
You have deep proficiency in at least one OO statically typed language (C, C++, Go) and Python
You are very fluent in one or more ML tools like Tensorflow, Pytorch, Caffe, and/or Theano and have solved several real-life problems using these
You preferably have proficiency and experience in NLP
Knowledge acquired earning a degree in Computer Science or Math would be of great value in this position
",None Found,None Found,"Overview:
The ideal candidate will have retail industry experience, working on a range of machine learning algorithms to enrich customer experiences and drive in-store efficiencies.

You will have 8+ years of experience as senior developer/technical architect for high-tech products or services and you have 2+ years of hands-on experience delivering products or solutions that utilized Machine learning, Natural Language processing or other forms of AI solutions (Computer Vision/ Mathematical Optimization)

Responsibilities:

Mathematical understanding of a variety of statistical learning algorithms (Reinforcement Learning, Supervised/Unsupervised, Graphical Models)
Expertise in a variety of Deep Learning architectures and models including Residual Networks, RNN/CNN, Transformer, and/or Transfer Learning in a production environment
You have deep proficiency in at least one OO statically typed language (C, C++, Go) and Python
You are very fluent in one or more ML tools like Tensorflow, Pytorch, Caffe, and/or Theano and have solved several real-life problems using these
You preferably have proficiency and experience in NLP
Knowledge acquired earning a degree in Computer Science or Math would be of great value in this position

Basic Qualifications:

2-3 years of experience in Python.
1+ years of experience in GPUs, CUDA (parallel computing platform), AWS/Azure.
Highly skilled in CNN, RNNs & LSTMs, scikit-learn, keras, theano, tensorflow, H20.
Deep expertise in JavaScript and Node.JS.

Candidates must be able to demonstrate skills and may be asked to complete one or more assessments to qualify for this position.

GOIN Technology is a technology consulting and managed services business headquartered in Dallas/Ft. Worth. The company is focused on CIO/CTO Advisory Consulting, Information Security, Digital Transformation, Software/Data Engineering, Innovation as a Service and Managed Services."
7,Machine Learning Engineer,"Dallas, TX 75202",Dallas,TX,75202,None Found,None Found,None Found,None Found,None Found,None Found,"One Company.......Many Careers!
For over 95 years, data has been key to State Farm. As a member of our data science team, you will work across the organization to solve business problems and help achieve business strategies. You will employ sophisticated, statistical approaches and state of the art technology. You will build and refine our tools/techniques and engage with internal stakeholders across the organization to improve our products & services.
Implementing solutions is critical for success. You will do problem identification, solution proposal & presentation to a wide variety of management & technical audiences. This challenging career requires you to work on multiple concurrent projects in a community setting, developing yourself and others, and advancing data science both at State Farm and externally.
A Day in the Life:
Builds and supports machine learning model deployment solutions that provide value to the business
Optimize machine learning model for deployment, including hyper-parameter tuning automation, scalability, and distributed learning
Demonstrates up-to-date expertise in software engineering practices and applies this to the development, execution, and improvement of machine learning models
DevOps practices for continuous integration and continuous delivery of machine learning models
Work with a wide variety of models, including text analytics, natural language processing, and computer vision models
Build solutions that optimize data science and analytic workflows
Utilize best practices for code version control using Git
Assists in providing computer science related guidance
Develop and support strategic enhancements to machine learning operations that support data science
Participate in research to maximize code and model reusability
We Are Looking for Candidates With These:
Must Have Skills:
Completed Bachelors, other advanced degrees, and five (5) years' experience in a computer science or technology related field such as DevOps engineering, software engineering, or developer, along with two (2) years experience deploying products related to artificial intelligence or machine learning solutions in a business environment.
Python - Pandas, Numpy, Sipy, Flask, Jupyter notebooks
Modeling - Scikit-learn, tensorflow, h2o, pyspark
Batch, synchronous model deployment experience
Data preparation, feature engineering workflows
Software Engineering - Classes, functions, Pycharm, unit tests, Pylint
Git - Best practices
Continuous Integration / Continuous Delivery using Gitlab - CI
Containerization - Docker, Kubernetes
Linux
Preferred/Desired Skills:
AWS
Hadoop Technologies
ML workflows - Kubeflow, MLflow
Asynchronous, near and real-time model deployment experience
Incumbency:
This position will have a 12-mo incumbency period for lateral move & 6-mo incumbency period for a promotional opportunity (beginning on effective date of the position) which must be met before posting.

***Multiple location opportunity:
Dallas, Texas: Everything is big in Texas including opportunities at State Farm! Our CityLine Hub location offers easy access to DART, lots of parking and a wide variety of healthy dining options.
Phoenix, Arizona: Phoenix is hot! Looking for a cool job? Our Marina Heights Hub is conveniently located on Tempe Town Lake in close proximity to Downtown Tempe. It can be accessed by car, bus, light rail, bike share and soon the Tempe street car!
Bloomington, Illinois: Home to State Farm's Corporate Headquarters. Bloomington offers a fun, family-friendly, mid-sized community and boasts an average 15 minute rush hour commute. The community is very active and is home to two universities: Illinois State University and Illinois Wesleyan.
Atlanta: Join us in Atlanta where southern hospitality combines with cutting-edge innovation. Our associates enjoy access to fully equipped gyms and cafes with healthy food options on location. Our location offers easy access to MARTA.

SFARM
JT18
#LI-MV1
PM18"
8,Senior Machine Learning Engineer,"Dallas, TX 75244",Dallas,TX,75244,None Found,None Found,None Found,"
Commence work with all Kalkomey software products across the board, ranging from our Learning Management System (LMS), Licensing System (AMS), Event Management product to our Certification Manager product, and everything in-between
Work within a Scrum team of UI/UX developers, content writers and editors, product owners and the business owners of our applications and data sets",None Found,"
Minimum 5-10 years experience
Bachelor's Degree (or equivalent) in a relevant field
Google TensorFlow
Technology agnostic
Open to learning and applying technologies that may be out of your comfort zone
Local or willing to relocate to the Dallas/Ft. Worth Metroplex a must","Want to help us save lives?
Kalkomey Enterprises, the industry leader in online recreational safety and education, is hiring its first Senior Machine Learning Engineer to help maximize opportunities for our clients and our business.
Working directly with the Director of Technology and Director of Product Management, you'll help take us to where we can now only imagine. You'll also have the full support of our CEO - a technologist with a far-reaching vision.
Your expertise will impact the entire suite of our software products and courses, spanning all 50 states.
What are you like?
Practitioner/implementer vs. pure theorist
A self-starter who keeps the organization in the loop throughout the lifecycle of the project
Passionate technologist who enjoys staying up-to-date with industry trends and new standards
Opinionated, yet open-minded about experimenting with new technology and excited about learning opportunities
Experienced with both web and mobile products
Possess excellent communications skills and bring up issues immediately
Thrives on autonomy
Responsibilities
Commence work with all Kalkomey software products across the board, ranging from our Learning Management System (LMS), Licensing System (AMS), Event Management product to our Certification Manager product, and everything in-between
Work within a Scrum team of UI/UX developers, content writers and editors, product owners and the business owners of our applications and data sets
Requirements
Minimum 5-10 years experience
Bachelor's Degree (or equivalent) in a relevant field
Google TensorFlow
Technology agnostic
Open to learning and applying technologies that may be out of your comfort zone
Local or willing to relocate to the Dallas/Ft. Worth Metroplex a must
Pluses, but not Requirements
Ruby / Rails
Amazon Redshift
Experience with Agile-based teams
Passion about outdoor recreation
What We Offer
Kalkomey has a casual, yet focused working environment. While we don't maintain a strict dress code (you'll see the CEO in shorts and flip flops regularly), we do maintain a history of producing high quality and profitable results in our industry.
Benefits
Competitive salary
Annual performance-based bonus
3 weeks annual PTO
401(k) with company matching
Company-subsidized healthcare
Optional dental insurance and vision insurance
Optional life insurance, long and short-term disability
Casual attire (see ""What We Offer"" section above)
Company outings, events, and contests
Creative environment
Flex-time schedules
Work from home options available
Dog friendly environment
The Company
Headquartered near Midway and Spring Valley in North Dallas, Kalkomey Enterprises is the industry leader in online recreational safety and education. We offer a wide variety of state-approved course sites, such as www.boat-ed.com and www.hunter-ed.com.
Add to that a large catalog of print products and capabilities, and a suite of eGovernment software products and services. Kalkomey pushes the envelope of innovation, bringing beautiful, smart, award-winning solutions to the government space.
With offices in Dallas, Texas and Ottawa, Ontario, Canada, Kalkomey is held by Inverness Graham, a private equity firm based in Philadelphia, Pennsylvania. Their website is www.invernessgraham.com.
Kalkomey Enterprises, LLC is an Equal Opportunity/Affirmative Action Employer and encourages applications from all interested and qualified persons of any race, gender, background, age, sexual orientation, and physical ability.
ehH77nxomA"
9,Machine Learning Engineer for Pattyrn,"Dallas, TX 75202",Dallas,TX,75202,None Found,None Found,None Found,None Found,None Found,None Found,"We are productivity and human behaviour specialists who understand how teams deliver their best work inside technology products. We work with software companies to get their products adopted for the long term. This work is specialised consulting work, enhanced through our products, otherwise known as customer success management or product onboarding. Our vision is to be the company who understands how the world works. We are onboarding teams into work management products now, in order to accelerate their ability to transform fully in the future.

RESPONSIBILITIES

As a rapidly growing start-up, we've made significant inroads in the SaaS Industry offering specialized consulting to our partners and clients. With knowledge gained from this testbed environment, we're building out the product side of our business.

As part of the product team, you'll make a valuable contribution to these 3 key areas:

1. Develop, test, and deploy

You will be designing, building, testing, and deploying machine learning and/or other AI models around productivity data. You should be able to analyze data and build new models based on time series productivity data. We are interested in clustering and predictive models.

2. Product Strategy

Work with the Product Manager and Development Team to determine product build strategies, milestones, and estimates.

3. Full Stack Contribution

While your focus will be on machine learning, you may be called upon to contribute in other areas such as backend feature implementation

REQUIREMENTS

Technical Skills:

Bachelor’s degree (or higher) in Computer Science or a related field; degree may be substituted with 5+ years of experience managing deployment projects and teams.
5+ years’ experience in customer facing product design environments with Enterprise Software deployment
3+ years of experience building ML models and Data science projects
Software development experience working in Python and ML frameworks and at least one other general programming language (Go, JS, Java, C#, etc)
Experience building testing environments
Meaningful experience working in the data science field, or working with learning algorithms
Proficiency in statistical models and thinking
Experience in solution implementation projects in large organizations
 Soft Skills:

Strong attention to detail and orientation in design approach
An excellent communicator with the ability to problem-solve while building and maintaining strong working relationships with customers.
Test and build mentality
Relational people skills: empathetic, warm, giving - eagerness to help
An ability to work in a customer-focused, client facing, target-driven environment.
A high degree of flexibility, team spirit, accountability and independence.
Availability to work flexible hours to coordinate with our global team.
Wow Factors:

Experience building AI systems from ground up
Experience in working with project management software
Business analyst experience - Techno functional background
Startup environment experience and/or the ability to work remotely (virtual teams)
Change management experience
Experience with Sci-Kit Learn, Keras, or Tensorflow
ACKNOWLEDGMENT: WNDYR is an at-will employer and this document does not constitute an employment contract. WNDYR reserves the right to change its compensation practices and pay rates at any time, with or without prior notice."
