,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Machine Learning Engineer,"Mountain View, CA",Mountain View,CA,None Found,None Found,None Found,None Found,"
Work with the team to develop new deep learning algorithms and applications
Run experiments on mainstream machine learning frameworks, learn, and iterate with the
",None Found,"
PhD in machine learning or computer vision with 1+ industry experience or master with
","Mountain View, CA

XMotors.ai developers autonomous self-driving features for the Xiaopeng EV vehicles in China market. We are looking for people passionate about self-driving vehicles to join in and help us build top class autonomous self-driving vehicles.

We are looking for machine learning research engineer with strong programming and development skills and experience with machine learning. Experiences with machine learning algorithm, applications and frameworks are required.

Our mission is to solve the autonomous driving problem. You will work with a team of machine learning researchers to build AI software systems, learn about deep learning algorithms, and use your technical skills to advance autonomous driving.

Job Responsibilities:

Work with the team to develop new deep learning algorithms and applications
Run experiments on mainstream machine learning frameworks, learn, and iterate with the

team.


Feel comfortable to optimize machine learning algorithms and think creatively
Apply latest machine learning algorithms to solve new problems in computer vision,

natural language processing, and voice recognition areas

Job Requirements:

PhD in machine learning or computer vision with 1+ industry experience or master with

3+ industry experiences in the required domain


Experiences with at least one main stream machine learning frameworks, including caffe,

convNet, Tensor Flow, Torch, Theano etc.


Solid understanding and deduction capability with latest machine learning algorithms,

including latest DNN models, reinforcement learning, traditional machine learning

algorithms (SVM, Random forest, clustering algorithms etc) and the math needed to

advance them


Experience with DNN application in image recognition, image segmentation, object

detection, object tracking, voice recognition, scene understanding, NLP


Computer science fundamentals and programming skills are not required but are a plus

What do we provide:

A fun, supportive and engaging environment.
Opportunities to pursue and work on cutting edge technologies
Competitive salary
Snacks, lunches and fun activities

We are an Equal Opportunity Employer. It is our policy to provide equal employment opportunities to all qualified persons without regard to race, age, color, sex, sexual orientation, religion, national origin, disability, veteran status or marital status or any other proscribed category set forth in federal or state regulations."
1,Machine Learning Engineer,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We’re hiring a Machine Learning Engineer at Instrumental to contribute to production systems that enable teams to derive value from data on their manufacturing lines. You will contribute to computer vision and machine learning developments to more accurately diagnose potential failures during the hardware development process.

You will explore and implement ways to generate insights about our customers’ product and manufacturing processes and leverage existing computer vision tools to develop novel image analysis technology that will be run on large and continuously growing datasets of images. To this end, scalability of algorithms, repeatability of measurements, and robustness of data extraction are paramount; you’ll be our ideal candidate if you can identify impactful applications of computer vision and/or machine learning and implement them in a way the delivers highly accurate and repeatable results for our customers.

What You’ll Do

Build and own machine learning features and pipelines end-to-end! For us, this means:
Identify opportunities to use machine learning to improve our product,
Guide efforts to acquire high-quality datasets
Develop models using the relevant state-of-the-art AI approaches to solve the problem
Quickly prototype and iterate on new algorithmic concepts, and prioritize them based on customer needs
Work side by side with other software engineers to bring your research to production and ship it as part of the product!

What you’ll need to be successful:

Experience with writing clear and concise code, preferably with a year or two of experience in a professional software development role
Demonstrated interest and desire in working with OpenCV (beyond Matlab), machine learning, or related fields and libraries - whether at work or with personal projects. No specific Machine Learning or Computer Vision background beyond that is necessary.
A background in computer science or a closely related engineering discipline, with solid fundamentals in algorithms and the math behind them. Again, computer vision, graphics, machine learning and related fields are a great bonus, but are not strictly necessary.
Obsesses over our customers’ needs, specifically accuracy and repeatability
Can balance attention to detail with the ability to be scrappy and get stuff done
Can communicate complex ideas effectively with technical and non-technical team members alike

We are an Equal Opportunity employer committed to a diverse workforce in an inclusive working environment. We do not discriminate on the basis of race, ethnicity, religion, gender, gender identity, sexual orientation, age, marital status, veteran status, or disability status. All candidates must have the unrestricted right to work in the United States."
2,Staff Machine Learning Engineer,"Mountain View, CA 94039",Mountain View,CA,94039,None Found,"
BS, MS, or PhD degree in Computer Science or related field, or equivalent practical experience.",None Found,"
Discover data sources, get access to them, import them, clean them up, and make them machine learning ready.
Work with data scientists to create and refine features from the underlying data and build pipelines to train and deploy models.
Partner with data scientists to understand, implement, refine and design machine learning and other algorithms.
Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your models.
Work cross functionally with product managers, data scientists and product engineers, and communicate results to peers and leaders.
Explore new technology shifts in order to determine how they might connect with the customer benefits we wish to deliver.",None Found,None Found,"Overview
In this role, you’ll be embedded inside a vibrant team of data scientists. You’ll be expected to help conceive, code, and deploy data science models at scale using the latest industry tools. Important skills include data wrangling, feature engineering, developing models, and testing metrics.
Responsibilities
Discover data sources, get access to them, import them, clean them up, and make them machine learning ready.
Work with data scientists to create and refine features from the underlying data and build pipelines to train and deploy models.
Partner with data scientists to understand, implement, refine and design machine learning and other algorithms.
Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your models.
Work cross functionally with product managers, data scientists and product engineers, and communicate results to peers and leaders.
Explore new technology shifts in order to determine how they might connect with the customer benefits we wish to deliver.
Qualifications
BS, MS, or PhD degree in Computer Science or related field, or equivalent practical experience.
Knowledgeable with Data Science tools and frameworks (i.e. Python, Scikit, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark).
Basic knowledge of machine learning techniques (i.e. classification, regression, and clustering).
Understand machine learning principles (training, validation, etc.)
Knowledge of data query and data processing tools (i.e. SQL)
Computer science fundamentals: data structures, algorithms, performance complexity, and implications of computer architecture on software performance (e.g., I/O and memory tuning).
Software engineering fundamentals: version control systems (i.e. Git, Github) and workflows, and ability to write production-ready code.
Mathematics fundamentals: linear algebra, calculus, probability
Interest in reading academic papers and trying to implement state-of-the-art experimental systems
Experience using deep learning architectures
Experience deploying highly scalable software supporting millions or more users
Experience with GPU acceleration (i.e. CUDA and cuDNN)
Experience with integrating applications and platforms with cloud technologies (i.e. AWS and GCP)
Experience with NLP and NLU"
3,Bioinformatics/ Machine Learning Engineer,"Foster City, CA",Foster City,CA,None Found,None Found,None Found,None Found,"Develop and apply machine learning/deep learning algorithms to various areas of interest, including image processing, natural language processing, integration of genomic and biomedical data, variant interpretation, detecting machine anomalies
Develop bioinformatics algorithms for genomics application
Develop and apply informatics-based big data techniques to develop new diagnostic tests and assays
Mentor and scientifically lead junior members of the team
Build strong collaborative relationships with diverse groups within and outside of Illumina
",None Found,"Ph.D with 0-4 years of experience or Master’s with 3-8 years of experience in any of the following areas: bioinformatics, machine learning and data science, biostatistics, software engineering, natural language processing, algorithm design, or similar areas
Strong communication skills
A team player
Strong software engineering skills in Python or C++
Strong mathematical background is preferred
","Position Summary:
This role in Illumina’s Research group will focus on applying bioinformatics algorithms, machine learning/deep learning techniques to core Illumina technologies and genomic applications. They will be working with massive datasets with the goal of improving Illumina’s technologies and to improvement of human health.
Responsibilities:
Responsibilities can be a selection of following activities depending on the core strength of the candidate:
Develop and apply machine learning/deep learning algorithms to various areas of interest, including image processing, natural language processing, integration of genomic and biomedical data, variant interpretation, detecting machine anomalies
Develop bioinformatics algorithms for genomics application
Develop and apply informatics-based big data techniques to develop new diagnostic tests and assays
Mentor and scientifically lead junior members of the team
Build strong collaborative relationships with diverse groups within and outside of Illumina
Listed responsibilities are an essential, but not exhaustive list, of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs.
Requirements:
Ph.D with 0-4 years of experience or Master’s with 3-8 years of experience in any of the following areas: bioinformatics, machine learning and data science, biostatistics, software engineering, natural language processing, algorithm design, or similar areas
Strong communication skills
A team player
Strong software engineering skills in Python or C++
Strong mathematical background is preferred
All listed requirements are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities.
Illumina believes that everyone has the ability to make an impact, and we are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf"
4,"Senior Machine Learning Engineer, QuickBooks Capital","Mountain View, CA 94039",Mountain View,CA,94039,None Found,"
BS, MS, or PhD degree in Computer Science or a related field, or equivalent practical experience.
Strong knowledge of
Computer science fundamentals: data structures, algorithms, performance complexity, and implications of computer architecture on software performance (e.g., I/O and memory tuning).
Software engineering fundamentals: version control systems (i.e. Git, Github) and workflows, and ability to write production-ready code.
Machine Learning/Data Science languages, tools, and frameworks (e.g., Spark, Scala, Python, R, SQL, SkLearn, NLTK, Numpy, Pandas, TensorFlow, Keras, Java).
Machine learning techniques (e.g., classification, regression, and clustering) and principles (e.g., training, validation, and testing).
Data query and data processing tools/systems (e.g., relational, NoSQL, stream processing).
Distributed computing systems and related technologies (e.g., Spark, Hive).
Mathematics fundamentals: linear algebra, calculus, probability
Knowledgeable with Data Science tools and frameworks (i.e. Python, Scikit, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark).
Knowledge of data query and data processing tools (i.e. SQL)
Experience using deep learning architectures",None Found,"
Design and build systems which improve machine learning scalability, usability, and performance.
Work cross functionally with product managers, data scientists, and engineers to understand, implement, refine, and design machine learning and other algorithms.
Discover data sources, get access to them, import them, clean them up, and make them machine learning ready.
Work with data scientists to create and refine features from the underlying data and build pipelines to train and deploy models.
Partner with data scientists to understand, implement, refine and design machine learning and other algorithms.
Effectively communicate results to peers and leaders.
Explore the state-of-the-art technologies and apply them to deliver customer benefits.
Interact with a variety of data sources, working closely with peers and partners to refine features from the underlying data and build end-to-end pipelines.",None Found,None Found,"Overview
In this role, you’ll be part of a vibrant team of data scientists, product developers and machine learning engineers. You’ll be expected to help architect, code, optimize, and deploy machine learning models at scale using the latest industry tools and techniques. As the Senior Engineer - you will be responsible for defining and maintaining the ML Data Architecture for Quickbooks Capital’s use-cases. You’ll also help automate, deliver, monitor, and improve machine learning solutions. Important skills include software development, systems engineering, data wrangling, feature engineering, architecting, and testing.
Responsibilities
Design and build systems which improve machine learning scalability, usability, and performance.
Work cross functionally with product managers, data scientists, and engineers to understand, implement, refine, and design machine learning and other algorithms.
Discover data sources, get access to them, import them, clean them up, and make them machine learning ready.
Work with data scientists to create and refine features from the underlying data and build pipelines to train and deploy models.
Partner with data scientists to understand, implement, refine and design machine learning and other algorithms.
Effectively communicate results to peers and leaders.
Explore the state-of-the-art technologies and apply them to deliver customer benefits.
Interact with a variety of data sources, working closely with peers and partners to refine features from the underlying data and build end-to-end pipelines.
Qualifications
BS, MS, or PhD degree in Computer Science or a related field, or equivalent practical experience.
Strong knowledge of
Computer science fundamentals: data structures, algorithms, performance complexity, and implications of computer architecture on software performance (e.g., I/O and memory tuning).
Software engineering fundamentals: version control systems (i.e. Git, Github) and workflows, and ability to write production-ready code.
Machine Learning/Data Science languages, tools, and frameworks (e.g., Spark, Scala, Python, R, SQL, SkLearn, NLTK, Numpy, Pandas, TensorFlow, Keras, Java).
Machine learning techniques (e.g., classification, regression, and clustering) and principles (e.g., training, validation, and testing).
Data query and data processing tools/systems (e.g., relational, NoSQL, stream processing).
Distributed computing systems and related technologies (e.g., Spark, Hive).
Mathematics fundamentals: linear algebra, calculus, probability
Knowledgeable with Data Science tools and frameworks (i.e. Python, Scikit, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark).
Knowledge of data query and data processing tools (i.e. SQL)
Experience using deep learning architectures

Preferred Qualifications:
Cloud technologies, in particular AWS.
DevOps concepts (e.g., CICD), Software container technology (e.g., Kubernetes, Docker)
Experience with designing and developing deep learning architectures
Deploying highly scalable software for SaaS products
Keep up with the industry trends and academia on AI, Machine Learning and state-of-the-art experimental systems
Experience deploying highly scalable software supporting millions or more users"
5,Machine Learning Engineer,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,"Bachelor's degree in Computer Science, Electrical Engineering, Mathematics, or a similar quantitative field
Strong math background
Excellent Python skills
Some familiar with machine learning and neural networks
Some familiarity with C++
Quick learner
Ability to thrive in a fast-paced startup environment and getting stuff done
","Full time, Palo Alto, CA or Warsaw, Poland; must relocate
This position is at the intersection of a deep learning scientist and a software engineer. In this role you’ll read the latest research papers on neural networks and implement them in common frameworks, as well as in proprietary formats. You’ll need to assess their correctness (such as their structure, convergence, and numerical stability) for inference and training across computational devices and frameworks. Passion for reading and understanding the latest research papers in the space is required. The work will begin with Python and pseudo-code, and you’ll also be expected to deep dive into frameworks code (C++).
You will be working directly with our technical founders (CTO & Chief Scientist).
Profile:
Have exceptional problem-solving skills
Think out-of-the-box
Want to be an early and major contributor to a fascinating, yet challenging product roadmap
Have comfort with quickly learning, evaluating, and deploying new technologies
Want to build the technical team from the ground up.
Requirements:
Bachelor's degree in Computer Science, Electrical Engineering, Mathematics, or a similar quantitative field
Strong math background
Excellent Python skills
Some familiar with machine learning and neural networks
Some familiarity with C++
Quick learner
Ability to thrive in a fast-paced startup environment and getting stuff done
Nice to have:
2+ years of software engineering, ideally in Machine Learning and Python
Demonstrated contributions to a Python or C++ software project (open source, or otherwise - send us your GitHub profile!)
Experience with popular frameworks (Caffe, Tensorflow, PyTorch etc.)
Previous startup experience
To apply, please email us at hiring@onspecta.com with your resume."
6,Machine Learning Engineer,"Pleasanton, CA",Pleasanton,CA,None Found,None Found,"
Masters or PhD in Computer Science, Electrical Engineering, Computer Science, Statistics/Mathematics, or related discipline.
2+ years’ Experience with deep learning methods, including CNN, RNN, and etc.
2+ years’ Experience with classical machine learning and statistical techniques, including regression, Bayesian methods, regularization, boosting, ensembles, support vector machines, etc.
Familiar with existing machine learning tools or libraries such as scikit-learn, numpy, scipy, pandas, liblinear, libsvm, etc.
Familiar with existing deep learning tools or libraries (Tensorflow, Keras, Torch, Theano, and/ or Caffe).
Software languages – C/C++, Matlab
Knowledge of imaging, signal processing, and computer vision would be a plus",None Found,None Found,None Found,None Found,"Job Description:
Apton is looking for a Machine Learning Engineer to gather training data, run regressions and train, verify inferences and other related experiments. They will also support the development of Intellectual Property (e.g. patent application or kept as trade secret). The successful candidate will have demonstrated capability as a Software Engineer resulting in the successful commercial launch of products.
Required Qualifications:
Masters or PhD in Computer Science, Electrical Engineering, Computer Science, Statistics/Mathematics, or related discipline.
2+ years’ Experience with deep learning methods, including CNN, RNN, and etc.
2+ years’ Experience with classical machine learning and statistical techniques, including regression, Bayesian methods, regularization, boosting, ensembles, support vector machines, etc.
Familiar with existing machine learning tools or libraries such as scikit-learn, numpy, scipy, pandas, liblinear, libsvm, etc.
Familiar with existing deep learning tools or libraries (Tensorflow, Keras, Torch, Theano, and/ or Caffe).
Software languages – C/C++, Matlab
Knowledge of imaging, signal processing, and computer vision would be a plus
The successful candidate will have:
Actively involved in technical discussion/presentation and provide input to other members from hardware, instrument control and system engineering teams.
Comfortable in an agile development environment
Solid troubleshooting skills
Proven ability to effectively manage multiple activities simultaneously
Demonstrated ability to drive data-based decision making
Information for recruiters
Apton Biosystems will only pay a fee for candidates submitted or presented where there is a signed recruiting agreement in place between Apton and the recruiter or agency prior to the submittal and the candidate is submitted for a specific requisition as requested by Apton. In the case of candidate(s) submitted or presented to Apton by a recruiter or agency without a signed agreement, Apton explicitly reserves the right to pursue and hire those candidate(s) without any financial obligation to the recruiter or agency.
please send your resumes to careers@aptonbio.com"
7,Sr. Machine Learning Engineer - News,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: May 13, 2019
Role Number: 200059050
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
The Apple News team is looking for a Sr. Machine Learning Engineer with a real passion for building scalable services to enable an excellent user experience that delight millions of users every single day.
Key Qualifications
5+ years of industry experience
5+ years experience developing in Java
Experience building scalable backend services on platforms like Mesos and Hadoop
Proficiency with scalable technologies such as Cassandra, Solr, and Kafka
Knowledge of machine learning techniques for problems such as named entity labeling, classification, and clustering is a plus
Experience implementing complex algorithms in software that are shipped to production
Experience building stable, high performance server-side systems using distributed processing algorithms
Excellent oral and written communication skills
Description
Apple's News team is seeking a high-energy and self-driven Sr. Machine Learning Engineer who will play a central role in the delivery of scalable services. The team leverages Machine Learning to tackle challenging problems in the News domain, including text extraction, named entity recognition, duplicate detection, search and ranking. As a member of our dynamic group, you’ll have the rare and rewarding opportunity to craft upcoming products that will delight and encourage millions of Apple’s customers every day.
Responsibilities
• Design, develop and deploy systems and algorithms that process data in real time
• Design and build stable and scalable production systems
• Design and develop services using technologies such as Mesos, Cassandra, Solr, and Kafka
• Collaborate with engineering and operations teams to deliver scalable, robust, and high-performance systems
Education & Experience
Bachelor's Degree in Computer Science, Electrical Engineering or Equivalent"
8,Machine Learning Engineer,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Atlas AI generates actionable intelligence on agricultural and economic trends across the developing world. Spun out of Stanford and founded in partnership with the Rockefeller Foundation, we are an AI start-up focused on social impact. Our products support decision-makers in emerging markets and across the global development sector. This is a rare opportunity to have a significant impact on the evolution of the company. You will be part of a big mission and a small but sophisticated team working to improve the lives of millions of people around the world.

Job Responsibilities
--------------------


Conduct Artificial Intelligence and Machine Learning research, with a focus on deep learning models based on geospatial data.
Develop weakly-supervised machine learning models to achieve optimal accuracy in data-sparse regimes.
Fine-tune and validate model predictions.
Assist the engineering team in scaling up research prototypes.

Key Qualifications
------------------


M.S. in Computer Science/Statistics/related field, or equivalent work experience.
In-depth understanding of data structures, algorithms, and the fundamentals of learning theory.
Excellent Python coding, strong engineering practices, debugging/profiling skills, familiarity with multi-threaded programming.
Experience with data science Python tools, particularly those dedicated to geospatial data (e.g. gdal, shapely, rasterio, geopandas).
Familiarity with deep learning toolkits such as TensorFlow or PyTorch.
Experience training neural networks. Experience in computer vision applications is a plus.
Publications at top artificial intelligence and machine learning conferences such as ICML, NeurIPS, ICLR, AISTATS, UAI are desirable but not necessary.

Personal Qualities
------------------


Strong analytical and interpersonal skills
Innovative, forward-thinking, and highly motivated
Passionate about making a difference in developing nations and helping the underserved

"
9,Machine Learning Engineer,"Palo Alto, CA 94306",Palo Alto,CA,94306,None Found,"Deep technical skills in data engineering, statistics, machine learning, or deep learning and a passion for making these methods more rigorous, robust and scalable

Strong programming skills in Python or Java

Practical experience working with and conducting experiments on large datasets then turning prototypes into production models in one or more domains",None Found,None Found,None Found,None Found,"The One Amex team at American Express is a core foundational platform that helps drive decisions that impact our customer experience at American Express.

The platform is leveraged by various teams in the company to drive decisions, and customer experience.


As part of the Data Science team, you will be responsible for:

Driving requirements for structured data formats from a wide variety of data sources
Build data science products across a wide range of digital data streams (Anomaly Detection, Deep Learning, Information Retrieval)
Work with engineering teams to deploy robust, highly available decisioning and alerting pipelines based on your models.
Please note, Salary increases in case of a lateral move are provided only on an exception basis and in line with compensation guidelines.

Regularly attend key initiative stand-ups, proactively advising on opportunities to apply the best approach to apply underlying empirically-developed algorithms.

Qualifications
Qualifications should include:

Deep technical skills in data engineering, statistics, machine learning, or deep learning and a passion for making these methods more rigorous, robust and scalable

Strong programming skills in Python or Java

Practical experience working with and conducting experiments on large datasets then turning prototypes into production models in one or more domains

Experience applying analytical techniques to provide solutions to real business and engineering problems

Ability to explain and present analyses and machine learning concepts to a technical audience

Employment eligibility to work with American Express in the U.S. is required as the company will not pursue visa sponsorship for these positions.
Why American Express?


There’s a difference between having a job and making a difference.


American Express has been making a difference in people’s lives for over 160 years,

backing them in moments big and small, granting access, tools, and resources to take

on their biggest challenges and reap the greatest rewards.


We’ve also made a difference in the lives of our people, providing a culture of learning

and collaboration, and helping them with what they need to succeed and thrive. We

have their backs as they grow their skills, conquer new challenges, or even take time to

spend with their family or community. And when they’re ready to take on a new career

path, we’re right there with them, giving them the guidance and momentum into the

best future they envision.


Because we believe that the best way to back our customers is to back our people.


The powerful backing of American Express.

Don’t make a difference without it.

Don’t live life without it.

ReqID: 19009478
Schedule (Full-Time/Part-Time): Full-time
Date Posted: May 23, 2019, 12:07:03 AM"
10,Machine Learning Engineer (Deep learning),"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
Masters or PhD in Machine learning/Deep learning, Computer Science/Engineering, Electrical Engineer, Mathematics, or related discipline.
Hands on experience (3+ years for Masters) with using deep learning to solve speech/NLP, and/or computer vision tasks.
Demonstrated experience (publications, projects) solving machine learning problem
Strong experience with CNN, RNN, LSTM, Sequence modeling, Attention etc.
Very familiar with deep learning framework such as Keras, Tensorflow, PyTorch, and/ or Caffe, including implementing custom layers.
Familiarity with Linux/Unix environments
Excellent written and verbal communication skills.
Familiar with scikit-learn, numpy, scipy, pandas a big plus
working with machine learning in embedded applications: model quantization, fixed point neural networks big plus
Software development experience in Scala, Java, or C++ a big plus
Signal Processing Experience a plus
Experience with online learning methods a plus
Familiarity with big data tools and frameworks, eg., Spark, MLlib, a plus
Self-motivated and fast pace.","As a Machine Learning Engineer
Work closely with project manager, data engineers, software engineers to define, refine and implement deep learning solutions to problems in automotive Human Machine Intelligence domain
Help build Intelligent Cockpit and Occupant monitoring System.
Apply deep learning technique on data from multiple sensors.
Prototype new ideas and explore a variety of approaches
Refine promising ideas into product ready model
Design and support experiments for data collection and system evaluation.
Lead and guide the AI iterations in the project
Stay current on publications in deep learning techniques and share these findings with team members.
Requirements
Masters or PhD in Machine learning/Deep learning, Computer Science/Engineering, Electrical Engineer, Mathematics, or related discipline.
Hands on experience (3+ years for Masters) with using deep learning to solve speech/NLP, and/or computer vision tasks.
Demonstrated experience (publications, projects) solving machine learning problem
Strong experience with CNN, RNN, LSTM, Sequence modeling, Attention etc.
Very familiar with deep learning framework such as Keras, Tensorflow, PyTorch, and/ or Caffe, including implementing custom layers.
Familiarity with Linux/Unix environments
Excellent written and verbal communication skills.
Familiar with scikit-learn, numpy, scipy, pandas a big plus
working with machine learning in embedded applications: model quantization, fixed point neural networks big plus
Software development experience in Scala, Java, or C++ a big plus
Signal Processing Experience a plus
Experience with online learning methods a plus
Familiarity with big data tools and frameworks, eg., Spark, MLlib, a plus
Self-motivated and fast pace."
11,Natural Language Processing and Machine Learning Engineer,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Sep 26, 2019
Weekly Hours: 40
Role Number: 200019686
At the Siri International team within Apple we bring the Siri intelligent assistant to our customers worldwide in over 40 languages and dialects. Join us, and tackle some of the most challenging problems in natural language processing and large scale applied machine learning. You will build cutting edge natural language understanding technologies and deploy them on a global scale. Your work will advance and shape the future vision of our multi-lingual, multi-cultural Siri assistant, macOS/iOS SDKs, and Search applications used by millions across the world.
Key Qualifications
Academic / Industry experience in NLP and Machine Learning, or similar experience in developing language technologies for shipping products.
Strong coding and software engineering skills in a mainstream programming language, such as Python, Java, C/C++.
Familiarity with NLP/ML tools and packages like Caffe, pyTorch, TensorFlow, Weka, scikit-learn, nltk, et al.
Practical experience building production quality applications related to natural language processing and machine learning.
In-depth knowledge of machine learning algorithms and ability to apply them in data driven natural language processing systems.
Ability to quickly prototype ideas / solutions, perform critical analysis, and use creative approaches for solving complex problems.
Ability to collaborate closely with cross-functional teams
Clear oral and written communication
Description
We are looking for a highly motivated technologist with a strong background in Natural Language Processing and Machine Learning. In this position you will apply your problem solving skills to language technology challenges and opportunities within Siri International, which involves development of large-scale language technologies for many languages worldwide. The primary responsibility of this role is to apply and ship innovative machine learning and NLP solutions for the Siri assistant and various other Apple products to surprise and delight our customers. You will also have the opportunity to scale these innovations and technologies across a variety of languages. Close collaboration with the research group will give you the opportunity to help define future technical directions of Siri International.
Education & Experience
Masters / PhD in Machine Learning, Statistics, Computer Science, Mathematics or related field with specialization in natural language processing and/or machine learning."
12,Lead Software Development Engineer (Search),"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"4+ years of professional software development experience3+ years of programming experience with at least one modern language such as Java, C++, or C# including object-oriented design2+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systemsBachelor’s Degree in Computer Science or a related fieldComputer Science fundamentals in object-oriented design, data structures and algorithm design, and complexity analysis

Can Alexa help anyone experience the music they enjoy? Even if they don't know what they'd like to listen to in this moment? Or, if they know they want “Happy rock from the 90s”, can she help them find it?

As a Lead Machine Learning Engineer you will collaborate with scientists on developing and evaluating machine learning models (Search Relevancy & Ranking) using large datasets such as meta-data and search queries to improve the customer experience through better search results, or song sequencing. You will own scaling up successful prototypes and implementing a reliable automated production workflow for the model. You will collaborate with software development engineers to integrate the model with the customer experience.

Amazon Music

Imagine being a part of an agile team where your ideas have the potential to reach millions. Picture working on cutting-edge consumer-facing products, where every single team member is a critical voice in the decision-making process. Envision being able to leverage the resources of a Fortune-500 company within the atmosphere of a start-up. Welcome to Amazon Music, where ideas are born and come to life as Amazon Music Unlimited, Prime Music, and so much more.

Everyone on our team has a meaningful impact on product features, new directions in music streaming, and customer engagement. We are looking for new team members across a variety of job functions including software engineering/development, marketing, design, ops and more. Come join us as we make history by launching exciting new projects in the coming year.

Our team is focused on building a personalized, curated, and seamless music experience. We want to help our customers discover up-and-coming artists, while also having access to their favorite established musicians. We build systems that are distributed on a large scale, spanning our music apps, web player, and voice-forward audio engagement on mobile and Amazon Echo devices, powered by Alexa to support our customer base. Amazon Music offerings are available in countries around the world, and our applications support our mission of delivering music to customers in new and exciting ways that enhance their day-to-day lives.

Come innovate with the Amazon Music team!

MSc or PhD in a related technical field10+ years of software development experience using Java or C++Experience with common machine learning techniques such as preprocessing data, training and evaluation of classification and regression models, and statistical evaluation of experimental data.Experience in deploying and operating machine learned models on low latency, high-throughput systemsExperience working with search relevance and ranking algorithmsExperience building complex software systems that have been successfully delivered to customersExperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.Experience with AWS services highly desirable
Amazon.com is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

#Musicjobs

#SFOBDSDE3
#SFOBDSDE3MUSIC"
