,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Senior Machine Learning Engineer,"New York, NY 10121",New York,NY,10121,None Found,"BS/MS degree in Computer Science, Computer Engineering, or a related subject.
5+ years of demonstrated experience in Python.
In-depth knowledge of Python data processing and machine learning libraries.
Experience with and understanding of the Python ML frameworks such as TensorFlow and PyTorch
Experience with API design & development
Understanding of the data layer integration (both SQL and no-SQL)
Experience with cloud deployments is a plus
Understanding AWS / Azure / GCP data ETL capabilities is a plus
Experience with C/C++, Java and/or Scala plus.
Passion for writing well structured, testable code with a focus on readability and maintainability.
Experience with open source CI tools is a plus.
Data modeling experience is a plus.
Excellent communication skills.
",None Found,"Collaborate with the product owner, technical lead, product designer, and other stakeholders to design, prototype and develop enterprise-class data intensive applications.
Maintain existing code and make improvements to increase maintainability, performance, and scalability.
Support software rollouts to production.
Constantly improve code quality and test coverage.
Understand full-stack dependencies to minimize regressions and attain improved designs.
Guide and mentor junior engineers. Serve as team lead if appropriate.
",None Found,None Found,"We are seeking a highly-experienced Senior Backend / ML Engineer to join our team building advanced Business Intelligence, Machine Learning, and Data Processing applications.
Your Impact
As a Backend Engineer, you will develop advanced tools that allow our customers to build highly-sophisticated Business Intelligence applications for their stakeholders. You will work as a member of an engineering “feature team,” responsible for delivering value to our customers. In this role, you will design, implement, and deliver enterprise-grade machine learning applications for both internal- and external-facing consumers. You will be part of a dynamic team of engineers who are developing cutting edge technology that fuels the premier BI platform in the industry. Your work will be deployed to production and used by dozens of major corporations such as FedEx, US Bank, and Mastercard to help drive their business goals and service their customers.
While mostly focusing in ML models productizing and data processing you will be expected to contribute to the model development. You believe that good design is the key to good coding - “measure twice, cut once.” You write excellent-quality code (if you do say so yourself), and understand how to best practices of SW architecture, development and testing.
 Responsibilities
Collaborate with the product owner, technical lead, product designer, and other stakeholders to design, prototype and develop enterprise-class data intensive applications.
Maintain existing code and make improvements to increase maintainability, performance, and scalability.
Support software rollouts to production.
Constantly improve code quality and test coverage.
Understand full-stack dependencies to minimize regressions and attain improved designs.
Guide and mentor junior engineers. Serve as team lead if appropriate.
Qualifications
BS/MS degree in Computer Science, Computer Engineering, or a related subject.
5+ years of demonstrated experience in Python.
In-depth knowledge of Python data processing and machine learning libraries.
Experience with and understanding of the Python ML frameworks such as TensorFlow and PyTorch
Experience with API design & development
Understanding of the data layer integration (both SQL and no-SQL)
Experience with cloud deployments is a plus
Understanding AWS / Azure / GCP data ETL capabilities is a plus
Experience with C/C++, Java and/or Scala plus.
Passion for writing well structured, testable code with a focus on readability and maintainability.
Experience with open source CI tools is a plus.
Data modeling experience is a plus.
Excellent communication skills.
Information Builders helps organizations transform data into business value. Our software solutions for business intelligence and analytics, integration, and data integrity empower people to make smarter decisions, strengthen customer relationships, and drive growth. Our dedication to customer success is unmatched in the industry. That’s why thousands of leading organizations rely on Information Builders to be their trusted partner. Founded in 1975, Information Builders is headquartered in New York City, with offices around the world, and remains one of the largest independent, privately held companies in the industry.
Information Builders, Inc. is an Equal Opportunity Employer: All qualified applicants will receive consideration for employment and will not be discriminated against based on their race, gender, disability, veteran status, or other protected classification.
#LI-LO1"
1,Senior Machine Learning Engineer - Natural Language Processing (NLP),"New York, NY 10018",New York,NY,10018,None Found,None Found,None Found,None Found,None Found,"
MSc or PhD in Computer Science, Machine Learning, Maths, Stats (or related field).
Experience with Machine Learning techniques for supervised & unsupervised learning e.g. CNN's, DNN's & RNN's.
Strong knowledge of Machine Learning frameworks such as Tensorflow & Keras.
Experience with Natural Language Processing.
Excellent programming skills preferably with Python.
","Why join LYNK?
LYNK is a VC-backed, product-driven startup working with leading institutional clients, top level experts and thought leaders globally
We operate in a high-octane environment where our people think about the big picture and always strive to “make it happen”
Our team, spread across four countries today (and growing!), is multinational, multilingual and multicultural. Our clients have likened us to a mini United Nations.
You will be constantly challenged with new problems to solve every day.
We are here to realize big dreams and have a firm belief in our core mission – to democratize access to knowledge.

What You’ll Do:
Join us, and tackle some of the most challenging problems in natural language processing and large scale applied machine learning. You will build cutting edge natural language understanding technologies and deploy them on a global scale.

Build data pipelines that clean, transform and aggregate data into databases and adopt data warehouse solutions in AWS Redshift
Gather and process raw data at scale (including writing scripts, web scraping, calling APIs, write SQL queries, writing applications, etc.).
Develop data pipelines that unify various data sources into one cohesive platform for data access.
Design and Develop NLP engine and applications.
Develop sourcing, cleansing, structuring and ingesting new data sources.
Apply machine learning and predictive modelling techniques.
Develop creative solutions to business problems using mathematical algorithms.
Evaluate different NLP technology and tools.
Work on very large text-based data sets, applying the latest techniques for entity recognition and sentiment extraction, with the goal of identifying features of real-time text feeds
Requirements
What Expertise You’ll Add To The Team:
MSc or PhD in Computer Science, Machine Learning, Maths, Stats (or related field).
Experience with Machine Learning techniques for supervised & unsupervised learning e.g. CNN's, DNN's & RNN's.
Strong knowledge of Machine Learning frameworks such as Tensorflow & Keras.
Experience with Natural Language Processing.
Excellent programming skills preferably with Python.

Bonus Attributes:
Strong passion for creative content curation and building brand awareness
Passion for business and enthusiastic about taking part in shaping LYNK’s growth
Function well in a very fast-paced startup environment
Track record of excelling in small teams
Team players who thrive in uncertainty and like to “make things happen”!
Benefits
What We Commit To You
Competitive remuneration package in a rapidly-expanding startup
Work in a collaborative, co-creation hub in the heart of the city - with amazing facilities
Comprehensive medical insurance coverage, including dental
Generous leave policy, including a ‘work remote policy’
The opportunity to travel and work around the globe with our international clients and growing number of offices (Hong Kong, Singapore, Mumbai, New York City)
The opportunity to be a part of something impactful

Visit http://lynk.global for more info."
2,Human Resources – Workforce Analytics – Lead Machine Learning Engineer - Vice President,"Jersey City, NJ 07310",Jersey City,NJ,07310,None Found,None Found,None Found,None Found,None Found,None Found,"JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.6 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the world's most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com.

Human Resources plays an integral role in designing, implementing, and managing global initiatives across the firm. The functional areas within HR include global Recruiting, Training, Talent and Development, Diversity, Compensation, Benefits, Employee Relations, Technology, Finance, HR Service Delivery, and the Chief Data & Analytics Office.
Workforce Analytics (WFA) is the firm’s centralized global HR analytics function, positioned within the HR Chief Data & Analytics Office. WFA applies quantitative methods, technology, and research to people data and people decisions across the firm.
Position Overview & Responsibilities:
The Lead ML Engineer will be responsible for designing, building, and deploying data products that integrate ML and NLP with other internal applications and platforms. This individual will report to the Head of Data Science and join a cross-functional data science team that leads some of the most critical projects in HR.
Candidate Profile
The ideal candidate will be skilled, innovative, self-motivated, and inclined to create genuine business value through the alignment of technology, data, and business interests. He or she will have hands-on experience with the development of data products, from data ingestion to deployment. Additionally, excellent communication skills and a collaborative attitude will be crucial to success, as this role will partner closely with aligned Technology teams in addition to the immediate data science team.
Key Responsibilities
Lead the redevelopment of Python-based monolithic ML & NLP products as RESTful microservices
Deploy data science products using standard CI/CD workflows into the firm’s cloud and Hadoop platforms
Collaborate with a team of data scientists and engineers on a variety of innovative machine learning and natural language processing projects
Prototype and build data pipelines. Support configuration and management of ETL and scheduling jobs/software. Perform ad-hoc ingestion of data from varied sources into HDFS.
Requirements
Bachelor’s Degree in Computer Science or a related field desired
3+ years of experience in software engineering, preferably in a data-driven domain
Experience leading an engineering team is preferred
Familiarity with Python, Flask, SQL, API or web service development, and Hadoop is preferred
Experience with Docker, Kubernetes, the SDLC process & tools, and ML model management is desired
Professional maturity and the ability to work/deliver with limited supervision
Excellent verbal and written communication skills and a team-oriented attitude"
3,Senior Data Scientist,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Description
DS/ML stack:
Languages: Python, PySpark, SQL
Data Tools: Spark, AWS RedShift, AWS Athena, pandas, numpy, scipy, parquet
Modeling Tools: SparkML, scikit-learn, Tensorflow, Tensorflow-Serving, Keras (Tensorflow and Theano backend)
Algorithms: Classifications, Regressions, Neural Networks, Time series, Graphs
Visualization: Tableau or similar
Infrastructure: AWS (including S3, EMR, EC2, Lambda)


What will you do?
Understand business decisions that need to be supported by data e.g. risk of readmission to hospital
Identify relevant internal or external data sources for various business needs
Research the state of a problem and existing solutions then quickly summarize research
Help identify new business opportunities and value propositions from existing data
Utilize raw or aggregated data to build predictive models in SPARK, sql, or Python
Understand quality of models and impact on business problems
Communicate summaries of analyses and predictive modeling efforts to product and business teams
Communicate insights to stakeholders in data engineering, product and clinical teams.
Become expert on projects to help strategize plans of attack in terms of technology and team education.
Ensure that all security procedures within their area of responsibility are carried out to achieve compliance with security policies and standards.
Leading multiple initiatives across both existing and innovative work
Provide continuous mentoring to junior resources
We are looking for someone with:
7+ year’s professional experience as a data scientist or machine learning engineer
7+ year’s professional experience working in quantitative computational role
5+ year’s professional experience working with big data and relational databases
Very strong knowledge of advanced applied data science (machine learning, neural networks, etc.), mathematical modeling, computational, statistical, data mining techniques (regression, decision trees, clustering etc.), as well as dimensionality reduction techniques
Strong hands-on modeling experience in a business environment with a goal of productionalizing models.
Strong experience using machine learning and deep learning packages
Strong experience with data manipulation, analysis and visualization
Proven track record of fully understanding the scope, commitment to quality, and end-to-end ownership to meet upon agreed timelines.
Quick learner that can manage multiple projects at the same time successfully
Developed and designed real-time prediction software
Strong experience mentoring junior colleagues
Excellent written and verbal communication skills
Advanced degree in physics, applied mathematics, statistics or related field is preferred
Healthcare industry experience is a plus

About Us

Remedy Partners delivers software and services that enable payers, employers and at-risk providers to organize and finance healthcare delivery around a patient's episode of care. For healthcare providers, Remedy Partners’ software, analytics and administrative services support bundled payment contracts with Medicare and Commercial Insurers, often through shared-risk partnerships. For payers, Remedy Partners empowers the development of bundled payment contracting programs and guides development of bundled payment networks. Remedy Partners presently delivers its services to partners at more than 1,000 healthcare locations nationwide.

Please note that all Remedy employees are required to adhere to all organizational policies, the Code of Conduct and participate in all compliance-related training and education."
4,Data Scientist- Machine Learning Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,"
MS/PhD preferred
2+ years experience in data science/machine learning preferred
Experience with making predictions from both structured and unstructured data
Practical knowledge of Python and its scientific libraries SciPy, Scikit, Pandas, and NumPy, with extensive knowledge of programming best practices
Solid foundation in machine learning models, processes, and theories, with the ability to evaluate different algorithmic approaches
Working knowledge of statistics and probability (statistical inference, Bayesian statistics)
Embodiment of our core company values of motivation, positivity, curiosity, humility and integrity, and buy-in for our company mission of eliminating bias in hiring
Willingness to relocate or regularly travel to the NYC metro area
","Using neuroscience-based assessments and machine learning algorithms, pymetrics is reinventing the recruiting industry by matching candidates to jobs where they are most likely to succeed. We are leading the charge in an evolving industry and growing our amazing team to support the mission of using data to unleash one's full potential.
We are looking for a talented data scientist with strong machine learning experience to join our core product development team. Data scientists on the core team contribute to the predictive modeling used throughout pymetrics to match job candidates to roles, audit algorithms for potential bias, and optimize solutions for faster, more robust analyses. You will work on an academically diverse team (with backgrounds in machine learning, statistics, behavioral science, and computer science) to test new methods and optimize existing solutions.
The ideal candidate would bring experience building scalable predictive algorithms in a production environment. We value an ability to communicate with a bright team from diverse backgrounds, and the initiative to tackle interesting problems independently and with scientific rigor.
Responsibilities include:
Develop machine learning solutions for new and existing data products relating to hiring
Write production level code for practical application of data products
Apply statistical and machine learning techniques to identify trends in data
Work with clients to apply custom data science solutions to unique problems
Collaborate with and train other members of the data science team
Interact with data scientists, analysts, engineers and product managers on other data products implemented at pymetrics, including language analysis, psychometric assessment, statistical analysis and data visualization

Requirements
About you:
MS/PhD preferred
2+ years experience in data science/machine learning preferred
Experience with making predictions from both structured and unstructured data
Practical knowledge of Python and its scientific libraries SciPy, Scikit, Pandas, and NumPy, with extensive knowledge of programming best practices
Solid foundation in machine learning models, processes, and theories, with the ability to evaluate different algorithmic approaches
Working knowledge of statistics and probability (statistical inference, Bayesian statistics)
Embodiment of our core company values of motivation, positivity, curiosity, humility and integrity, and buy-in for our company mission of eliminating bias in hiring
Willingness to relocate or regularly travel to the NYC metro area
Nice to Haves:
1+ years experience in deep learning, including familiarity with Keras, TensorFlow and/or PyTorch
Comfort with SQL
Knowledge of psych/cogsci/neuroscience research
Interest in issues of transparency and fairness in AI
Eye for data visualization and presentation of data-driven insights
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.
Benefits
Health care plan (medical, dental & vision)
Flexible paid time off
Family leave (maternity, paternity)
401k
Team budget for training & development
Stock option plan
Commuter transportation reimbursement
Dog-friendly workplace
Fun, diverse and intellectually eager coworkers"
5,Senior Machine Learning Engineer,"New York, NY",New York,NY,None Found,None Found,"
Deep understanding of ML problems such as classification, clustering, anomaly detection, association rules, deep learning, and recommendation
Deep understanding of test analysis
Previous work with Spark MLlib
Previous work with TensorFlow
B.S. or M.S in Computer Science
",None Found,"
Build & maintain production ready ML pipelines
Build & maintain a production-ready experimentation platform to run models in parallel and A/B test
Prepare and preprocess data in collaboration with the data engineering team
",None Found,None Found,"The machine learning engineering team is developing the brain of the BounceX communication and personalization platform. As a Senior Machine Learning Engineer, you will be working with a team of Data Engineers and Data Scientists in order to build out our next-generation platform. You will be utilizing cutting edge technologies such as Spark MLLib, Tensorflow, Google AI Platform, and Cloud Dataproc to build the required ML pipelines to enhance our customer's experience.

Responsibilities:

Build & maintain production ready ML pipelines
Build & maintain a production-ready experimentation platform to run models in parallel and A/B test
Prepare and preprocess data in collaboration with the data engineering team

Qualifications:

Deep understanding of ML problems such as classification, clustering, anomaly detection, association rules, deep learning, and recommendation
Deep understanding of test analysis
Previous work with Spark MLlib
Previous work with TensorFlow
B.S. or M.S in Computer Science

Nice to have:

Experience with Google Cloud BigQuery
Experience with Google Cloud BigTable

BounceX is proud to be an equal opportunity workplace. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.

JOIN US ON OUR MISSION

BounceX is a global marketing technology company that has been recognized as a best place to work by Glassdoor and Crain's, and one of America's fastest-growing SaaS companies.

More than 300 companies including JetBlue, Uniqlo, HelloFresh, and Comcast use BounceX to orchestrate real-time, multichannel marketing programs customized for every individual web visitor.

With offices in New York City and London, BounceX is built on the belief that the success of a company is rooted in the strength of its team, so we've created a collaborative, inclusive environment where people love coming to work.

We provide career coaching, growth and development opportunities, and benefits that are in the 95th percentile of all technology companies. Some highlights include excellent healthcare that starts day one, best-in-class fully paid family leave, 401(k) match, flexible work hours, and more.

What bonds our community together is our commitment to 5 Core Values:


Come Hungry
Carry Each Other
Drive Undeniable Performance
Respect People, Privacy, Ideas
Bounce Back

Come join us on our mission."
6,ML Software Engineer - Event Detection,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,"
BS, MS, or PhD in computer science or a related quantitative field with 4+ years of software engineering experience
Experience with software engineering best practices (e.g. unit testing, code reviews, design documentation)","Who We Are:


When an event occurs in the real-world, it often breaks out on Twitter. The Event Detection team builds, scales and maintains the software services that power the discovery of interesting and eventful conversation across the product. We detect and surface what’s happening, contextualizing by finding the most interesting content around events, including Trends, Moments, and Live Videos for users. We are a tightly knit and passionate group that loves working together, and we are looking for exceptional additions to our flock.


What You'll Do:
Events are one of the central use-cases for Twitter and millions of people are informed about their world through our work. The team’s purpose is to automatically detect such Events on Twitter. As an ML engineer on our team, you will apply machine learning and data science techniques to a modeling and relevance problems related to automatic Event detection. You will participate in the engineering life-cycle at Twitter, including building and analyzing datasets, working with offline data pipelines, writing production code, conducting code reviews, and working alongside our systems engineers. Although you will work on cutting-edge problems, please note that this is not a research position. You will work directly with multiple teams across the company who are innovating on the product and refining Twitter to make it the best place to see and talk about what's happening in the world.


Who You Are:


You have a passion for machine learning and improving the ways people consume what’s happening in the world. You are a relevance engineer, applied data scientist or machine-learning engineer who wants to work on exciting algorithmic and infrastructure issues. You are experienced solving large scale relevance problems and comfortable building brand new systems to enable future quality improvements.


Knowledgeable in one or more of the following: machine-learning, information retrieval, recommendation systems, social network analysis
A strong technical advocate with a background in Java, Scala, or Python. Preferably familiar with Jupyter notebook environments and Spark or pySpark.
Passionate about working with large unstructured and structured data sets and developing new approaches to relevance problems.
Experienced in collaborating across multiple teams including analytics, product management, and operations.
Requirements:

BS, MS, or PhD in computer science or a related quantitative field with 4+ years of software engineering experience
Experience with software engineering best practices (e.g. unit testing, code reviews, design documentation)


We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
7,Senior Machine Learning Engineer - Search,"Hoboken, NJ 07030",Hoboken,NJ,07030,None Found,None Found,None Found,None Found,None Found,None Found,"The search team at Walmart Labs and Jet is dedicated to the mission of helping millions of customers every day in finding the right products. We are at the forefront of attacking one of the most complex problems of e-commerce. Whenever a user types in a query or browses through product categories on the web site, phone or iPad, our service goes to work. We mine billions of search queries and tens of millions of products to find the most relevant products for our customers. Team members take end-to-end responsibility in analyzing large amounts of data, creating complex models, improving their accuracy and deploying these models to serve customers. E-commerce product search, much like web search, has always been a fertile area of AI innovation. Search algorithm team at Walmart Labs and Jet is working on fascinating AI/ML problems like deep NLP based query understanding, improving relevance ranking of products, semantic matching of query <-> item pairs using embeddings, visual search to enable search by image, etc. As part of this team, you'll solve some of the most challenging and impactful problems in machine learning, information retrieval, natural language processing, computer vision or statistical measurement. Your work will be visible to hundreds of millions of customers and you will have a direct impact on the goals of the Fortune #1 company. If you speak and think machine learning then we want to talk to you. Come join our team and be part of this exciting journey.

What you will do:

Build advanced machine learning models and improve the accuracy of those models
Deploy the models in production where it will serve customers in real time
Put on the hacker's hat quickly convert an idea to a demonstration
Present your work to the internal and external community
Work alongside senior machine learning researchers and define the right solution to implement


What you will have:

4+ years of experience in Software engineering.
Ability to write high performance production quality code. Experience in Python, Scala and other equivalent languages is a plus.
Experience building and productionizing innovative end-to-end Machine Learning systems.
Good understanding of common families of models, feature engineering, feature selection and other practical machine learning issues, such as overfitting.


Bonus Points

Experience building and/or maintaining machine learning models and pipelines
Functional programming experience is a plus.
Experience building and maintaining large scale data pipelines in online advertising, recommender system, ecommerce or relevant areas
Familiarity with Deep Learning.

About Jet

Jet is reshaping ecommerce as we know it. Based in Hoboken NJ (just 10 min from Manhattan), we are a shopping site on the relentless pursuit to build the greatest shopping experience in the world. At Jet, we believe in bold. That means taking risks, asking “why not”, looking where no ones looked before and bringing it! Our engineers are utilizing world class technologies, to optimize the supply chain, remove unnecessary costs, sprinkle in some surprise and delight all while saving customers every penny possible and we’re just getting started. At Jet, we have worked hard to build a culture that stresses the importance of learning and sharing knowledge. If you want to be part of the team that is changing the shopping norm and learning a lot along the way, we have a hunch you’d look good in purple."
8,Machine Learning Engineer - Health ML,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Are you an engineer who’s interested in tackling very challenging adversarial problems and passionate about defending online users against abuse, spam, and manipulation? Do you love working on challenging problems that require a multi-disciplinary approach, creative solutions, and rapid product iterations? Will you be proud to work on a real-time, scalable system that serves millions of users daily? If so, you should join us.

Who We Are

The Health ML engineering team is responsible for building scalable detection systems that keep spam, manipulation, and abuse at bay. We use ML and relevance techniques to make Twitter safer and to limit the spread of misinformation on the platform. Our team works across the product to detect abusive and spammy users and content, increase action on bad actors, drive changes in user behavior, and detect and remediate accounts that are violating the terms of service on Twitter.

We develop, maintain, and contribute to several machine learning models and systems, including:

Models that detect unwanted interactions
Models to prioritize human review of accounts violating Twitter's policies to more quickly take action and limit their damage
Detection of bots that misuse the platform or spread misinformation
Detection of repeat abusive offenders who create new accounts after being suspended
Real-time rule engines and clustering systems to identify and action on clusters of bad actors at scale
What You’ll Do

Although you will work on cutting-edge problems, this position is not a pure research position. You will participate in the engineering life-cycle at Twitter, including designing distributed systems, writing production code and data pipelines, conducting code reviews and working alongside our infrastructure and reliability teams. You’ll apply data science, machine learning, and/or graph analysis techniques to a variety of modeling and relevance problems involving users, their social graph, their tweets, and their behavior.

Who You Are

You’re a relevance engineer, applied data scientist, or machine-learning engineer who wants to work on exciting algorithmic and deep infrastructure issues to improve the health of the public conversation on Twitter. You’re experienced at solving large scale relevance problems and comfortable doing incremental quality work while building brand new systems to enable future improvements.

You are knowledgeable in one or more of the following: machine learning (including deep learning), information retrieval, recommendation systems, social network analysis.
You are a strong technical advocate with a background in Java, C++, or Scala, and Python.
You strive to find the right balance between moving fast to deliver quality improvements to users and accumulating technical debt that drags down productivity.
You have a collaborative working style with a strong focus on disciplined execution and results.
You like to ground decisions in data and reasoning and solve root causes of problems rather than surface issues.
You are adept at communicating relevant information clearly and concisely.
You look ahead to identify opportunities and thrive in a culture of innovation.


Here’s all the legal good stuff:

We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran, genetic information, marital status or any other legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
9,Senior Data Scientist / Senior Machine Learning Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Company

Well-funded stealth company focused on disrupting healthcare through a differentiated consumer experience and a world-class data & analytics engine to drive engagement and behavior change. The product will sell directly to Fortune 500 CEOs and full risk populations, integrating layers of analytics, digital, concierge services, behavioral health, telemedicine, care management and wellness services to drive sustained engagement, lower costs and improve health.

Reporting To

Head of Data Science and AI with dotted line to Chief Analytics and Marketing Officer

Position Summary


The overall goal is to engage consumers in differentiated ways that will drive better health outcomes. As one of the early hires of the Analytics organization, the primary mission will be to launch the modeling and optimization platform (the ""Health Engine"") to deliver member recommendations that improve health, cost of delivery, and engagement.
You will leverage a wide range of disparate data sources across healthcare (member, payor, employer, provider, partner). Ideal candidates will have a detailed understanding of healthcare data with experience analyzing large longitudinal health datasets.
You will lead in the creation of operational predictive models using current and emerging methodologies in data science. Ideal candidates will possess a deep understanding of statistics, machine learning, causal predictive modeling, and most importantly, a willingness to teach and mentor others in these areas.
You will collaborate across the organization to drive projects from beginning to end: frame business questions, collect and analyze data, research, prototype, build pipelines, and share insights. You will work with engineering to ensure robust translation to production environments and create solutions that operate effectively at scale.

Minimum Qualifications


5+ years' industry experience in data science or machine learning focused roles.
Advanced degree (MS or PhD) in a quantitative field such as Statistics, Computer Science, Mathematics, Physics, Engineering, Economics, or similar.
Demonstrated experience using Python for data analysis and machine learning (numpy, pandas, scikit-learn, xgboost, spacy, pytorch, stan/pymc3, etc.). Proficiency with SQL and databases. Experience using Unix/OSX from the command line, version control (git), and general software development best practices for contributing to a collaborative code base. Experience configuring and executing analyses in the cloud (GCP, AWS).
Strong communication and collaboration skills required. Ability to communicate technical modeling concepts and relevant aspects of modeling platforms to non-technical audiences.
Willingness to teach and mentor others across all technical skill areas and in knowledge of the healthcare domain. Ability to work in a start-up environment that is fast paced and maintain a focus on rapid prototyping of capabilities.

"
