,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Full Stack Software Developer,"Atlanta, GA 30328",Atlanta,GA,30328,None Found,"
BS in Computer Science or other related technical field, or equivalent practical experience
3+ years of professional full-stack software development experience
Experience designing and implementing solutions that highly scalable, available, extensible, and maintainable
Experience building single-page web applications with Angular, and understanding the related cross-browser/platform compatibility issues
Proficiency in web technology for web, mobile, and desktop development using:
HTML5
CSS
JavaScript / Typescript
Angular
Electron Ionic
Proficiency in server-side technologies using:
.NET Framework / .NET Core, C#
JSON HTTP/REST web services
T-SQL, SQL Server or Azure SQL Database
","
Experience building hybrid mobile apps for iPhone and Android using Ionic
Experience wire-framing with tools such as Balsamiq and image authoring tools to be able to crop, resize, or perform small adjustments on images is a plus
Familiarity with Microsoft Azure PaaS
","
Develop and maintain software features for web, mobile, desktop applications and REST APIs
Build product quickly and interactively using agile principles in close collaboration with the entire development team including developers, QA, and product owners
Organize, scope, estimate, and prioritize work for yourself in conjunction with the rest of the team
Assertively and proactively find ways to improve technology and development processes
",None Found,None Found,"Agility Recovery is a rapidly growing and fast-paced business to business company dedicated to keeping the various businesses of our customers across the continent operating, even in the face of disasters. Over the past 30 years, we are proud to have built out a solution that our clients not only love, but also need. We have rescued thousands of businesses and communities experiencing a business interruption from catastrophic natural disasters to individual events such as a burst pipe or vandalism. We spend our days working to ""do good"" and bring hope to organizations that are in the midst of a struggle.

The Atlanta office is seeking a Full Stack Software Developer to join the software operations team working on our business continuity software: Preparis. The person in this role will be a full-stack developer working alongside a highly productive development team following agile practices to build innovative, scalable, and maintanable solutions in the cloud.

Key Responsibilities:

Develop and maintain software features for web, mobile, desktop applications and REST APIs
Build product quickly and interactively using agile principles in close collaboration with the entire development team including developers, QA, and product owners
Organize, scope, estimate, and prioritize work for yourself in conjunction with the rest of the team
Assertively and proactively find ways to improve technology and development processes
Qualifications:

BS in Computer Science or other related technical field, or equivalent practical experience
3+ years of professional full-stack software development experience
Experience designing and implementing solutions that highly scalable, available, extensible, and maintainable
Experience building single-page web applications with Angular, and understanding the related cross-browser/platform compatibility issues
Proficiency in web technology for web, mobile, and desktop development using:
HTML5
CSS
JavaScript / Typescript
Angular
Electron Ionic
Proficiency in server-side technologies using:
.NET Framework / .NET Core, C#
JSON HTTP/REST web services
T-SQL, SQL Server or Azure SQL Database
Preferred/""Nice to have"" Skills:

Experience building hybrid mobile apps for iPhone and Android using Ionic
Experience wire-framing with tools such as Balsamiq and image authoring tools to be able to crop, resize, or perform small adjustments on images is a plus
Familiarity with Microsoft Azure PaaS
Why Agility Recovery?

Agility Recovery has been growing for the past 30 years and now we are looking for people to help us take the company to the next level. With Agility, you have the opportunity to work for a fun, fast growing, and well-capitalized organization with a startup feel. We are a company of people who want to make a difference in the world. Each one of us contributes to making sure clients come first while maintaining a strong company culture.

Plus, we offer some great benefits:

Internal growth opportunities
3-weeks of vacation
Competitive medical, dental, and vision benefits
401(k) plan with company variable contribution
Annual fitness reimbursement"
1,Internship Software Development,"Atlanta, GA",Atlanta,GA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Are you passionate about software development? Do you want to challenge your analytical and technical skills? If yes, an internship for OMP is the right choice for you!
We offer internships for both Belgian and international students. During this internship, you have the opportunity to get a taste of software development in a professional environment, with the close guidance of an experienced and highly-skilled software engineer.
We hope that you can bring in your knowledge, skills, enthusiasm and creativity to dive into one of the following topics:
Develop a more performant cache-friendly implementation of an unordered map
Investigate message broker systems for C++;
Develop a performance test bench for a task scheduler
Investigate the effect of compression on inter-service communication;
Investigate different allocation strategies to reduce memory fragmentation;
Build a predictive bug detection application using data mining and machine learning techniques;
Investigate the possibilities of C++ modules for a huge code base.
...
We can discuss on other topics as well.
All these topics consist of a research and an implementation part.
From our side, we will provide the ideal conditions for you to grow and boost your development: as a member of an international team, you will work in close collaboration with a passionate software developer who will be by your side in one of our offices. Using the best professional tools and equipment, you have all the ingredients to further develop your (C++) development skills.
Are you as thrilled about this as we are? Then we would like to hear from you!"
2,Software Engineer - Pivotal Labs,"Atlanta, GA",Atlanta,GA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Pivotal's Story VIDEO ( https://www.youtube.com/watch?v=f-H1aJJpm0U )
----------------------------------------------------------------------------------

Founded in 2013, Pivotal Software, Inc., combines our leading cloud-native platform, tools, and methodology to empower the world's largest organizations to adapt to change and build great software. Our technology unleashes developer productivity, while fulfilling our mission to transform how the world builds software.

As a recognized leader in disciplined agile and lean software development practices, Pivotal combines the Silicon Valley state of mind, modern approach, and infrastructure with organizations' core expertise and values. Our cloud-native platform and suite of data tools drive software innovation for many of the world's most admired brands, helping enterprises move at start-up speeds and with greater business agility. We optimize for change and teach next-generation developers to create and build new solutions, and are committed to open source and open standards.

Our methodology is about evolving, in both development and innovation, and our culture is empowering. Our 2,000+ employees across offices worldwide subscribe to an ethos of kindness. We make a point to bring empathy to each and every project, and are guided by a purposeful mission— to transform how the world builds software.

You
---

You have a passion for high-quality, reliable and maintainable code. You're comfortable working side by side with product managers, designers, and clients, making decisions together in order to quickly deliver valuable working software to clients and their users. You're agile and retrospective, and not afraid to identify what we're doing wrong so we can fix it, and what we're doing right so we can improve on it. Above all, you judge your success by the success of your team and the happiness of our customers.

Us VIDEO ( https://www.youtube.com/watch?v=gvjPSz8Xs7Q )
-------------------------------------------------------------

Pivotal Labs ( https://pivotal.io/labs ) is Pivotal's consulting team, and a recognized leader in modern software development practices. We work with many of the world's most influential companies, helping them not only build great software, but fundamentally create a culture of innovation. We also developed Pivotal Tracker, the project management and collaboration tool used by thousands of agile teams worldwide. Our approach is informed by over 20 years of experience and continuous improvement, and blends agile/XP, lean startup and user-centered design.

Your Day
--------

We pair program, all day, every day because we know it delivers remarkable results. We practice and teach an approach to software engineering that applies across industries and organizations, so you'll experience all types of teams, products, and technologies. And we believe in working at a sustainable pace – you'll typically code hard for 8 hours each day, but then you're off work to relax, recharge and refocus.

Required Skills / Experiences
-----------------------------


Experience in training, mentoring and/or upskilling engineers
Strong communication skills and interest in a pair-programming environment
Experience in Test Driven Development (TDD) and agile methodologies
4+ years of Software Development experience in a variety of programming languages
Passion for growing your skills, tackling interesting work and challenging problems
BA/BS in Computer Science or related field, or equivalent experience
Ability to travel up to 30%

Desired Skills / Experiences
----------------------------


Experience developing cloud-based enterprise software
Experience leading a product or development team
Experience building and deploying in a continuous delivery environment
Experience working directly with clients

Pivotal is an Equal Employment Opportunity employer that will consider all qualified applicants, regardless of race, color, religion, gender, sexual orientation, marital status, gender identity or expression, national origin, genetics, age, disability status, protected veteran status, or any other characteristic protected by applicable law."
3,Principal Software Engineer,"Atlanta, GA",Atlanta,GA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Areyou highly experienced in an agile environment designing, coding, testing,deploying and debugging complex software applications and services and lookingfor your next challenge? We need your expertise to lead complex softwaredevelopment projects, mentor other team members on designs and implementations,and ensures secure programming practices are followed.
OncologyAnalytics developed a technology platform that ensures patients receive theoptimal cancer treatment. By constantly reviewing new and existing oncologydrug therapies, we offer deep insights and analytics for health plans andproviders, which helps drive further development and improvement of cancer care.

More about the role:
You’ll design and develop secure and scalablearchitecture solutions that meet or exceed the product requirements and review,enhance, and refactor existing code where needed, improving operations byrecommending changes in development tools to use.
By considering the overall applicationarchitecture and technology choices, you’ll identify key areas of functionalityand recommend solutions that maintain a cohesive architecture and a manageableplatform.
Help peers with design and code reviews toensure consistency and to maintain code quality, maintainability, and testability.

What we need:
Bachelor’s degree in Computer Science orrelated degree
10 years of experience in software engineering,with experience in an agile development environment
Experience with the latest software securityand cloud-hosted applications security practices including user authenticationand authorization frameworks required
You’ll need experience at all levels of thestack (HTML, Javascript, C#, SQL, authentication frameworks, system monitoring)
Demonstrated success in delivering solutions inhealthcare and familiarity with healthcare data and concepts.
Familiarity with rules engines is a big plus!

Compensation/Benefits:
Attractivecompensation package, including a competitive base, bonus incentives, andcompany equity.
Fullbenefits package starting day 1.
Retirementsavings at a 6% match starting within your first month.
ComplimentaryWednesday lunches twice a month.

 No H1B Visa Sponsorship is available."
4,"Senior Software Engineer, Full Stack (Call Center)","Johns Creek, GA 30097",Johns Creek,GA,30097,None Found,"BA/BS degree in related field and/or equivalent work experience.
Extensive use and understanding of NodeJS and Sprint Boot.
3+ years of professional experience as a web developer with the ability to demonstrate previous work experience.
At least 2 years’ experience with API integrations (REST, SOAP).
At least 2 years’ experience with NoSQL and SQL Databases.
At least 2 years’ experience with markup and layout (HTML5, CSS3).
At least 2 years’ experience with jQuery and other JavaScript libraries.
Experience in working with and incorporating CSS frameworks (Foundation, Bootstrap).
At least 1 year of experience with CSS pre-processing and optimization.
A demonstrable understanding of MVC and MVVM patterns.
At least 2 years’ experience with a Version Control system (Git, Subversion).
Experience with cross-browser design and functional constraints.",Excellent written and verbal communication skills.,None Found,"BA/BS degree in related field and/or equivalent work experience.
Extensive use and understanding of NodeJS and Sprint Boot.
3+ years of professional experience as a web developer with the ability to demonstrate previous work experience.
At least 2 years’ experience with API integrations (REST, SOAP).
At least 2 years’ experience with NoSQL and SQL Databases.
At least 2 years’ experience with markup and layout (HTML5, CSS3).
At least 2 years’ experience with jQuery and other JavaScript libraries.
Experience in working with and incorporating CSS frameworks (Foundation, Bootstrap).
At least 1 year of experience with CSS pre-processing and optimization.
A demonstrable understanding of MVC and MVVM patterns.
At least 2 years’ experience with a Version Control system (Git, Subversion).
Experience with cross-browser design and functional constraints.",None Found,"Job Overview:
We are looking for a Full Stack Engineer with a focus on back end technologies to help build our new call center mobile platform reporting to the Manager, Call Center. This individual will collaborate with a larger team of engineers and designers to develop experiences designed to support Macys call center colleague initiatives. The ideal candidate must be able to thrive in an environment where change is constant. This position requires the need to be extremely organized, highly collaborative, and results-driven. Individuals need to take initiative and reach out to other team members when they need assistance. Likewise, the Full Stack Engineer will need to be available and willing to assist other engineers and team mates when they need help. Perform other duties as assigned.
Essential Functions:
Develop and design the application experiences, ensuring pages are programmed responsively, error-free, cross-browser/cross-device compatible, highly scalable, and optimized for performance.
Follow standards for development of tools and experiences, with focus on performance, scalability, and reusability.
Stay current with the newest online technologies. Perform quality assurance on all new code from inception through integration, staging, and production environments.
Collaborate effectively with team members as well as UX, QE, and release engineering team.
Rapidly execute on solutions when problems or challenges have been identified.
Consistently demonstrate ownership and on time delivery.
Act as mentor for junior engineers.
Design and develop medium sized applications with little direction.
Consistently demonstrate regular, dependable attendance and punctuality.
Qualifications:

Education/Experience:
BA/BS degree in related field and/or equivalent work experience.
Extensive use and understanding of NodeJS and Sprint Boot.
3+ years of professional experience as a web developer with the ability to demonstrate previous work experience.
At least 2 years’ experience with API integrations (REST, SOAP).
At least 2 years’ experience with NoSQL and SQL Databases.
At least 2 years’ experience with markup and layout (HTML5, CSS3).
At least 2 years’ experience with jQuery and other JavaScript libraries.
Experience in working with and incorporating CSS frameworks (Foundation, Bootstrap).
At least 1 year of experience with CSS pre-processing and optimization.
A demonstrable understanding of MVC and MVVM patterns.
At least 2 years’ experience with a Version Control system (Git, Subversion).
Experience with cross-browser design and functional constraints.
Communication Skills:
Excellent written and verbal communication skills.
Mathematical Skills:
Appropriate analytical and logic skills as needed for web development/programming.
Reasoning Ability:
Must be able to work independently with minimal supervision, strategic thinking and organizational planning skills.
Physical Demands:
This position involves regular ambulating, sitting, hearing, and talking.
May occasionally involve stooping, kneeling, or crouching.
Other Skills:
SCRUM / Agile experience preferred.
Experience with Java presentation technologies (JSP, JSTL) a plus.
Work Hours:
Ability to work a flexible schedule based on department and company needs.
Company Profile:
Macy’s Inc. is one of the nation’s premier retailers. With fiscal 2016 sales of $25.778 billion and approximately 140,000 employees, the company operates more than 700 department stores under the nameplates Macy’s and Bloomingdale’s, and approximately 125 specialty stores that include Bloomingdale’s The Outlet, Bluemercury and Macy’s Backstage. Macy’s, Inc. operates stores in 45 states, the District of Columbia, Guam and Puerto Rico, as well as macys.com, bloomingdales.com and bluemercury.com. Bloomingdale’s stores in Dubai and Kuwait are operated by Al Tayer Group LLC under license agreements. Macy’s, Inc. has corporate offices in Cincinnati, Ohio and New York, New York.
This job description is not all inclusive. Macy’s Inc. reserves the right to amend this job description at any time. Macy's Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment."
5,Java Software Engineer,"Atlanta, GA 30308",Atlanta,GA,30308,None Found,None Found,None Found,None Found,None Found,"
Bachelor's degree or higher in Computer Science or a related field
3+ years of experience developing and maintaining software in a SaaS environment
2+ years of experience in a Java Developer role
Proficiency with the Spring framework
Can efficiently design and optimize SQL queries
Prior experience working with cloud-based commercial API solutions
Proficiency with the Linux
Some experience with Amazon Web Services (EC2, S3, SQS, RDS, etc)
Experience working in a DevOps environment
Very comfortable and productive within Agile teams
US Citizen or legal permanent resident
","MessageGears is the first email marketing solution of its kind. By combining the power and security of on-premise software with the efficiency and scalability of cloud delivery, we enable marketers to capitalize on every email. We’re not interested in simply being another email service provider – we’re disrupting an industry by providing a solution that gives marketers complete control over their multi-channel programs through advanced tech.

We’re experiencing exponential growth and need great technical talent like you to take ownership of our future. Because we’re growing, we’ve moved to a newly renovated 10,000 square foot office space Downtown. Offering access to beautiful parks, an on-site gym, trendy shops, Marta, free parking and world-class restaurants.

We're looking for Java Engineers of various levels of experience to join our growing team. You will be responsible for new feature development and improvements for our marketing automation software and cloud-based messaging platforms. You will participate in an agile software engineering team and coordinate with other team members including product managers, front-end engineers, and operations.

RESPONSIBILITIES
Quickly become expert in the products and features we offer
Learn in detail the application architecture for all components
Actively contribute to requirements specifications for new and enhanced features
Requirements
Bachelor's degree or higher in Computer Science or a related field
3+ years of experience developing and maintaining software in a SaaS environment
2+ years of experience in a Java Developer role
Proficiency with the Spring framework
Can efficiently design and optimize SQL queries
Prior experience working with cloud-based commercial API solutions
Proficiency with the Linux
Some experience with Amazon Web Services (EC2, S3, SQS, RDS, etc)
Experience working in a DevOps environment
Very comfortable and productive within Agile teams
US Citizen or legal permanent resident
Benefits
MacBook Pro & 27"" Thunderbolt display
Health, dental, vision, and life insurance
Casual dress all-day, everyday
Flexible work hours
Use of company's 4 season tickets to the Atlanta Braves
Fun, fast-paced, professional environment
Growth stage company with many opportunities for advancement
Free covered parking"
6,Software Engineer,"Atlanta, GA",Atlanta,GA,None Found,None Found,None Found,None Found,"Design, Develop, Architect, Test and maintain Integration and Web applications using C#.Net, .Net frameworks, BizTalk Server, SOA Architecture, EDI, middleware technologies, HTML5, Java Script, WCF Services, etc.
Review functional specifications document.
Understand business requirements and translate into technical specifications.
Create flowcharts, UML diagrams.
Monitor progress with milestones to prioritize tasks for team.
Supervise testing.
Train team and users.
",None Found,None Found,"Job Description & Responsibilities
Design, Develop, Architect, Test and maintain Integration and Web applications using C#.Net, .Net frameworks, BizTalk Server, SOA Architecture, EDI, middleware technologies, HTML5, Java Script, WCF Services, etc.
Review functional specifications document.
Understand business requirements and translate into technical specifications.
Create flowcharts, UML diagrams.
Monitor progress with milestones to prioritize tasks for team.
Supervise testing.
Train team and users.
Required Skills / Experience:
MS or foreign equivalent in Computer Science / IT / IS /Related and 2 years experience in C#.Net, BizTalk Server, EDI and SOA technologies.
Location:
Atlanta, GA
Full time. ((Travel/relocation to unanticipated client locations within US))
Respond to:
HR Department, Argha Services, Inc, 4488 North Shallowford Road NW, Suite 200, Atlanta, GA 30338
Position is eligible for employee referral program."
7,Software Engineer - C#,"Duluth, GA",Duluth,GA,None Found,None Found,None Found,None Found,"
Work with other team members to deliver high-quality software.
Understand and enhance requirements defined by Product Management.
Implementation new features within departmental coding standards.
Implement the code and test automation that make up the new features.
Document the new features so that customers can understand them.
Fix bugs in the product, including providing patches for previously released versions.
Review code of other development team members.
Prioritize work with minimal guidance.
Demonstrate completed work at the end of every development iteration.
Work with other team members to implement automated acceptance tests for new features.
Work with C#, T-SQL, JavaScript (Angular.js, Backbone.js), and HTML.
Create and modify web services using RESTful interfaces.
Performance tuning and troubleshooting, including remote troubleshooting.
Create and modify build definitions.
",None Found,None Found,"As a Software Engineer, you will be responsible for implementing features that modify our existing software products, and implementing features for products that do not yet exist. This position provides support to other departments within the company and directly to Neptune Technology Group customers.

Responsibilities

Work with other team members to deliver high-quality software.
Understand and enhance requirements defined by Product Management.
Implementation new features within departmental coding standards.
Implement the code and test automation that make up the new features.
Document the new features so that customers can understand them.
Fix bugs in the product, including providing patches for previously released versions.
Review code of other development team members.
Prioritize work with minimal guidance.
Demonstrate completed work at the end of every development iteration.
Work with other team members to implement automated acceptance tests for new features.
Work with C#, T-SQL, JavaScript (Angular.js, Backbone.js), and HTML.
Create and modify web services using RESTful interfaces.
Performance tuning and troubleshooting, including remote troubleshooting.
Create and modify build definitions.
Experience

3-5 years of experience developing software with C#.
3-5 years of experience developing with SQL/RDMBS.
Ability to work in the U.S. without sponsorship now or in the future.
Continued professional self-improvement or education.
Understanding of IIS and Apache and how it hosts applications.
Understanding of n-tier software implementations.
Expertise with C# or other .NET Framework language.
Experience with MSTest and unit test automation with Visual Studio.
Experience with RESTful web service
Experience with Angular.js or Backbone.js.
Experience with a service-oriented architecture.
Experience in an iterative development environment.
Experience with high-availability environments.
 Education: Bachelor’s degree in Computer Science, Information Systems, or combination of education and experience.

Location: Duluth, GA"
8,STAFF SOFTWARE ENGINEER - Orangemethod Training,"Atlanta, GA",Atlanta,GA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"POSITION PURPOSE
Living by our core values, Home Depot Technology strives to provide opportunities and an education in technology, design, and business for our associates, enabling them to improve their skillsets and pursue work that is meaningful to them within our company. To continue to achieve this goal, we are expanding our technology learning center offering classes, workshops, and events.
This learning center works with the various Tech portfolios to help accelerate the software development transformation through their associates with an approach of learning by doing. These initiatives are taught and led by inspiring experienced software engineers and designers who have first-hand exposure to the technologies and roles their students strive to obtain. We need energetic, empathetic, intelligent, hardworking and motivated individuals who can help us establish this new approach to technical learning at Home Depot.

As the Staff Software Training Engineer, you will:
Oversee the research, design and development of training programs for Web Development
Conduct thorough need analysis to uncover training objectives relative to Tech portfolio needs and technical trends, course time frames, student eligibility, required learning resources and potential restraints
Partner with other training specialists, THD learning, and external technology bootcamps to design and adapt training curriculum to align with current technical trends
Leverage innovative instructional strategies to create engaging, outcome-driven learning experiences specific to The Home Depot’s technologies and development methodologies
Utilize software engineering knowledge to facilitate in-class educational experiences, alongside other Training Engineers
MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES

70% – Delivery & Execution:
Collaborates and pairs with other product team members (UX, engineering, and product management) to create secure, reliable, scalable software solutions
Documents, reviews and ensures that all quality and change control standards are met
Writes custom code or scripts to automate infrastructure, monitoring services, and test cases
Writes custom code or scripts to do “destructive testing” to ensure adequate resiliency in production
Creates meaningful dashboards, logging, alerting, and responses to ensure that issues are captured and addressed proactively
Contributes to enterprise-wide tools to drive destructive testing, automation, or engineering empowerment
Identifies product enhancements (client-facing or technical) to create a better experience for the end users
Identifies unsecured code areas and implements fixes as they are discovered with or without tooling
Contributes to foundational code elements that can be reused many times by a product
Contributes to meaningful architecture diagrams and other documentation needed for security reviews or other interested parties
Defines Service Level Objectives for product(s) to constantly measure their reliability in production and help prioritize backlog work

20% – Support & Enablement:
Fields questions from other product teams or support teams
Monitors tools and participates in conversations to encourage collaboration across product teams
Provides application support for software running in production
Proactively monitors production Service Level Objectives for product(s)
Proactively reviews the performance and capacity of all aspects of production: code, infrastructure, data, and message processing
Triages high priority issues and outages as they arise

10% – Learning:
Participates in and leads learning activities around modern software design and development core practices (communities of practice)
Proactively views articles, tutorials, and videos to learn about new technologies and best practices being used within other technology organizations
Attends conferences and learns how to apply new technologies where appropriate
NATURE AND SCOPE
Typically reports to the Software Engineer Manager or Sr. Manager.
ENVIRONMENTAL JOB REQUIREMENTS

Environment:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Travel:
Typically requires overnight travel less than 10% of the time.
Additional Environmental Job Requirements: MINIMUM QUALIFICATIONS
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Additional Minimum Qualifications:
Proficient in an object oriented programming language (preferably Java)
Must be legally permitted to work in the United States

Education Required:
The knowledge, skills and abilities typically acquired through the completion of a bachelor’s degree program or equivalent degree in a field of study related to the job.
Years of Relevant Work Experience: 3 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Additional Qualifications:
Preferred Qualifications:
3-6 years of relevant work experience
Proficient in a modern scripting language (preferably Python)
Proficient in a modern web application framework such as Ruby on Rails, Spring MVC, and Node.js
Proficient in writing SQL queries against a relational database
Proficient in a version control system (preferably Git)
Experience in a front-end technology and framework such as HTML, CSS, JavaScript, AngularJS, ReactJS, and JQuery
Experience in a Linux or Unix based environment
Experience in a CI/CD toolchain
Experience in destructive testing methodologies and tools
Experience in a cloud computing platform and the associated automation patterns they provide
Experience in production systems design including High Availability, Disaster Recovery, Performance, Efficiency, and Security
Experience in defensive coding practices and patterns for high-availability
Experience in modern microservice-based architectures and methodologies
Experience in successful application of design patterns
Experience in test-driven development and effective unit test creation
Experience in a NoSQL database
Experience in query optimization and troubleshooting
Experience in effective data modeling within both SQL and NoSQL databases
Understanding of 12-factor methodology and its benefits, and able to demonstrate appropriate patterns to more junior team members
Understanding of REST and effective web service design
Knowledge, Skills, Abilities and Competencies: Cultivates Innovation: Creating new and better ways for the organization to be successful
Action Oriented: Taking on new opportunities and tough challenges with a sense of urgency, high energy and enthusiasm
Business Insight: Applying knowledge of business and the marketplace to advance the organization s goals
Collaborates: Building partnerships and working collaboratively with others to meet shared objectives
Communicates Effectively: Developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences
Drives Results: Consistently achieving results, even under tough circumstances
Global Perspective: Taking a broad view when approaching issues; using a global lens
Interpersonal Savvy: Relating openly and comfortably with diverse groups of people
Manages Ambiguity: Operating effectively, even when things are not certain or the way forward is not clear
Optimizes Work Processes: Knowing the most effective and efficient processes to get things done, with a focus on continuous improvement
Self-Development: Actively seeking new ways to grow and be challenged using both formal and informal development channels
Situational Adaptability: Adapting approach and demeanor in real time to match the shifting demands of different situations"
9,Senior Software Engineer,"Duluth, GA",Duluth,GA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"JOB DESCRIPTION
Senior Software Engineers within the Framework-SDK team are responsible for developing platform and game features. We are looking for someone with specialized knowledge in Video Codecs, shaders and graphics API’s. The developers participate in all aspects of platform development, including: gathering requirements, design, development, documentation, deployment and maintenance. They are essential for rolling out new technologies used in the latest games. The developer will also act as a liaison to game design for what the platform can do and how to get their game concept to work within the platform. The developer will be responsible for providing major game presentation features in flexible and timely manner. This position requires a strong work ethic and the ability to self-start and work well in a group dynamic or independently.
JOB REQUIREMENTS
Understand that change, iteration and failure are required to create and design anything great.Bachelor’s degree in Computer Science, Computer Engineering, or equivalent.5+ years development experience.Advance knowledge in computer graphics, computer animation and image renderingAdvance knowledge in video codecs.Experience with writing GPU code, shaders, or 3D rendering toolsExtensive experience with low level graphics APIsExtensive experience with fine grain CPU and GPU optimizations considering memory and speedExperience with shaders, graphics API’s.Excellent knowledge of C#.Familiarity with Unity3D or any other game engines.Advanced object-oriented design knowledge and familiarity with common patterns.Requires excellent organizational skills, good oral and written communication skills, and a high level of interpersonal skills.Must be a self-motivated team player able to work in a customer-oriented, fast-paced, and demanding environment with minimal supervision.
Preferred Skills:
Familiarity with Linux development.Familiarity with C++.Experience with state machines and real time systems.Experience with Agile project management (SCRUM).Casino Gaming experience a plus.
Note: All offers are contingent upon successful completion of a background check
Posted positions are not open to third party recruiters and unsolicited resume submissions will be considered free referrals.
AGS is an equal opportunity employer."
