,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Associate Gameplay Engineer,"Bellevue, WA 98004",Bellevue,WA,98004,None Found,None Found,"Extensive personal experience using C/C++ to solve problems
Well-rounded math background (trigonometry, linear algebra, calculus, etc...)
Degree in computer science, applied mathematics, or related fields
Ability to effectively communicate across disciplines (verbal and written)
Interest in gameplay simulations
","Build and maintain production quality C++ code
Collaborate daily with a cross-disciplinary team to build new technology
",None Found,None Found,"Associate Gameplay Engineer
Do you appreciate both games and code? Would you enjoy collaborating closely with creative talent? Would you like to work on daring worlds that bring people together, sitting next to inspirational industry talent, at a company that values diversity and is invested in creating an inclusive workplace for every employee, while also maintaining a good work-life balance?

As an Associate Gameplay Engineer, you will empower designers to create unique player experiences. You will build gameplay systems and tools that make worlds spring to life. Most importantly, you will work with a fun and dedicated team invested in making Destiny one of the best games in the world.
Responsibilities
Build and maintain production quality C++ code
Collaborate daily with a cross-disciplinary team to build new technology
Required Skills
Extensive personal experience using C/C++ to solve problems
Well-rounded math background (trigonometry, linear algebra, calculus, etc...)
Degree in computer science, applied mathematics, or related fields
Ability to effectively communicate across disciplines (verbal and written)
Interest in gameplay simulations
Nice To Have Skills
Experience working in C#
Experience writing a simulation (physics, traffic, molecular, etc...)
Experience with real-time graphics algorithms, shader languages, and modern graphics APIs (eg DirectX)
Understanding of modern CPU and GPU hardware"
1,Sr Gameplay Software Engineer,"Redmond, WA",Redmond,WA,None Found,None Found,"
10+ years of C++ software engineering experience
7+ years of game play experience (ie. AI, movement controllers, pathfinding, object systems, etc.)
Experience with other parts of game development such as rendering, networking, memory management, etc.
Excellent debugging and optimization skills.
Previously shipped at least two games on PC or console
Familiar with Pix or similar performance analysis software
Strong written and verbal communication skills
Ability to quickly prototype and iterate
Eye for detail, and a hunger for excellence
Self-directed and takes initiative to drive progress
BS degree in Computer Science or equivalent work experience",None Found,"
Manage a small team (4-6 developers) towards getting engine features implemented.
Work with both external and internal teams to both educate and direct how they work with the Bedrock Engine.
Develops elegant designs and tests that identify and eradicate product or service-wide problems and align to multiple-release product or service plans and feature area architecture.
Leads by example within the team by producing simple, extensible, and maintainable code with very few defects. Finds and fixes classes of defects.
Optimizes, refactors and reuses code to improve performance and maintainability – ensuring maximum efficiency, effectiveness, and return on investment.
Uses technical knowledge of the product or service design and code to identify risks and prevent classes of bugs.
Leads design and code reviews across the feature area, understands the root causes of issues, and finds ways to resolve them.
Optimizes team processes to improve quality, engineering productivity, and responsiveness to feedback and changing priorities.
Overcomes obstacles by resolving issues, regardless of team boundaries, and identifies and resolves teamwork issues. Engages and maintains consistent communication with all relevant parties until issues are resolved.",None Found,None Found,"Minecraft inspires millions to create together, connects people across the globe, and fosters a community that is among the most active and passionate in the world. We are looking for a seasoned Senior Software Engineer Lead who has worked with teams of artists, designers, and engineers to make high quality games to join the Bedrock engine team with a focus on gameplay systems. An attention to detail, being self-motivated and an ability to create results in a highly flexible environment are a must.
Responsibilities
Manage a small team (4-6 developers) towards getting engine features implemented.
Work with both external and internal teams to both educate and direct how they work with the Bedrock Engine.
Develops elegant designs and tests that identify and eradicate product or service-wide problems and align to multiple-release product or service plans and feature area architecture.
Leads by example within the team by producing simple, extensible, and maintainable code with very few defects. Finds and fixes classes of defects.
Optimizes, refactors and reuses code to improve performance and maintainability – ensuring maximum efficiency, effectiveness, and return on investment.
Uses technical knowledge of the product or service design and code to identify risks and prevent classes of bugs.
Leads design and code reviews across the feature area, understands the root causes of issues, and finds ways to resolve them.
Optimizes team processes to improve quality, engineering productivity, and responsiveness to feedback and changing priorities.
Overcomes obstacles by resolving issues, regardless of team boundaries, and identifies and resolves teamwork issues. Engages and maintains consistent communication with all relevant parties until issues are resolved.
Qualifications
10+ years of C++ software engineering experience
7+ years of game play experience (ie. AI, movement controllers, pathfinding, object systems, etc.)
Experience with other parts of game development such as rendering, networking, memory management, etc.
Excellent debugging and optimization skills.
Previously shipped at least two games on PC or console
Familiar with Pix or similar performance analysis software
Strong written and verbal communication skills
Ability to quickly prototype and iterate
Eye for detail, and a hunger for excellence
Self-directed and takes initiative to drive progress
BS degree in Computer Science or equivalent work experience

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
XGAXBSMCT"
2,UDS Storage Software Engineer,"Seattle, WA 98133",Seattle,WA,98133,None Found,None Found,None Found,"Participates in the preparation, review and analysis of software/storage requirements and specificationsPrepares written specifications from verbal requirements for tasks of mid-level complexityPrepares design, functional, technical and/or user documentation, as neededUses defined software lifecycle methodologiesReviews and implements test strategies for software productsFollows source code and file revision control for projectsClearly communicates project issues and statusAccurately logs project schedule, defect, and other dataAnalyzes and prepares trend reports on quality metricsParticipates in improving product quality through process and procedure improvements Provides full design, planning, configuration, documentation, deployment and top-level support ownership of storage infrastructure technologies.",None Found,None Found,"Software Engineer
What will your next job look like? Will it provide hands-on and technical training designed just for you—the eager self-starter? Will you have the perfect balance of being part of an established company, with a start-up, entrepreneurism like no other in the industry?
If this is the job you dreamed of…then a Software Engineering role at Dell might be perfect for you. In this role, you will be resident problem-solver, providing front-line support for Dell’s Unstructured Data Storage Engineering group.
Dell Unstructured Data Storage (UDS) Product Group
Digital transformation starts with the data. Customers are prioritizing AI, IoT, and analytics initiatives that depend on massive amounts of unstructured data. In fact, IDC predicts that unstructured data volume will hit 40 Zettabytes in 2020, up from 4.4 Zettabytes in 2013. In addition, we are also working on Project Nautilus which is a key technology for IOT and streaming analytics. Storing, managing, and extracting value from this sea of data is creating new challenges and customers are increasingly turning to Dell EMC for solutions.
Dell EMC is the undisputed industry leader for unstructured data storage. Tens of thousands of customers have bet their business on UDS products including Isilon Scale-Out File Storage and ECS Object Storage. Moreover, Gartner has consistently recognized Dell EMC as the clear Magic Quadrant leader for Distributed File and Object Storage.
Summary:
As Software Engineer in the UDS group, you will have the opportunity to use your expertise to work on innovative and cutting edge technologies. You will partner with our highly skilled technical advisors, who provide solutions to our customer’s most complex issues. You will constantly be challenged in developing and improving new and current technologies with the support of your team behind you.
You will be responsible for the software design and development for external customer products. You will utilize a range of applicable technologies (e.g., programming languages, compilers, assemblers, debuggers, other tools) for products used in local, networked, storage enhancements and/or new systems. Modifies existing software products to add new functions, adapt to new hardware, improve performance or enhance product usability. Participates in product development in all stages from planning and design to development, testing and documentation. Assists with the implementation of new or additional storage technology to improve infrastructure service, both locally and remotely.
Role Responsibilities
Participates in the preparation, review and analysis of software/storage requirements and specificationsPrepares written specifications from verbal requirements for tasks of mid-level complexityPrepares design, functional, technical and/or user documentation, as neededUses defined software lifecycle methodologiesReviews and implements test strategies for software productsFollows source code and file revision control for projectsClearly communicates project issues and statusAccurately logs project schedule, defect, and other dataAnalyzes and prepares trend reports on quality metricsParticipates in improving product quality through process and procedure improvements Provides full design, planning, configuration, documentation, deployment and top-level support ownership of storage infrastructure technologies.
Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Dell here."
3,Software Engineer,"Redmond, WA",Redmond,WA,None Found,None Found,None Found,None Found,"Experience with managed-code development including C# and/or JavaExposure to RESTful web services technologies (for example JSON, WebAPI, and OData)Exposure to NoSQL data storage systems and patterns (for example Azure Tables, CosmosDB, Cassandra)Familiarity with C++ and Windows Client development a plus.
",None Found,None Found,"Come shape the way people around the world engage with Microsoft products and services. The M365XS team is part of the EPIC organization, and we are focused on the delivery of innovative Microsoft Account experiences across Windows, Web, Xbox, Android, iOS, and beyond.

We are hiring a Software Engineer for the Devices & User Cloud Services within Project Cloudify. The team has the mission of revolutionizing how we enable the relationship between users, organizations, and the personal graph of devices they use each and every day, at work and at home. You'll be joining a highly talented, collaborative and motivated team that partners closely with other groups from across all corners of Microsoft to deliver innovative solutions for cross-device productivity. Our team operates in combined engineering, and embraces continuous development and services excellence.

ResponsibilitiesExperience with managed-code development including C# and/or JavaExposure to RESTful web services technologies (for example JSON, WebAPI, and OData)Exposure to NoSQL data storage systems and patterns (for example Azure Tables, CosmosDB, Cassandra)Familiarity with C++ and Windows Client development a plus.
Experience Required
BA/BS degree in CS, related discipline or equivalent work experience2 or more years of cloud service experience2 or more years of general design and coding experience
Qualifications
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work."
4,Software Engineer Intern (Summer 2020),"Seattle, WA 98107",Seattle,WA,98107,None Found,None Found,None Found,None Found,None Found,None Found,"What you'll be doing...


Software Engineer Interns work on joint projects with Tableau Software Engineers over a summer or similar time period in an area that is related to Tableau’s forward thinking product interests and also relevant to his/her interests. Specific projects for the summer will be determined prior to their arrival, but it’s expected that the work you do will be included as part of a shipping project within six to twelve months.


A few more things you'll be working on...
Designing and implementing features in existing and new products.
Authoring automated tests (unit test and black box tests) and other development processes.
Working with customers, support, and QA to resolve bugs and support issues.
Reviewing and providing detailed feedback on documentation and test plans for features.

Who You Are...
Rock Star Student . Current Undergrad, Masters and PhD students are all welcome to apply.
A True Team Player. You enjoy collaborating, learning from or teaching others so we can all become better developers.
Tableau Software is an Equal Opportunity Employer.
Tableau Software is a company on a mission. We help people see and understand their data. After a highly successful IPO in 2013, Tableau has become a market-defining company in the business intelligence industry. Our culture is casual and high-energy. We are passionate about our product and our mission and we are loyal to each other and our company. We value work/life balance, efficiency, simplicity, freakishly friendly customer service, and making a difference in the world!"
5,Software Engineer,"Seattle, WA 98103",Seattle,WA,98103,None Found,"
5+ years of experience in software engineering
Experience building complex and impactful software in a team environment
Backend service experience in managed languages such as Java, Scala, Go, C#, or similar
Comfortable with JavaScript (and its frameworks like React, angular, etc), HTML, CSS, and have built web applications from components
You enjoy mentoring and growing junior engineers",None Found,None Found,None Found,None Found,"Our mission is to protect life.
We’re out to make the world a safer place by solving big problems and taking on the public safety challenges of our time. From our company's inception building the TASER device to a full suite of hardware and software solutions, we are focused on providing police agencies with the state-of-the-art devices and services they need to successfully serve and protect us. In the next few years, we're going to eliminate the burden of paperwork in policing, so officers can increase the time they spend building relationships and serving in their communities. We’ll put video at the heart of the police record so our justice system can get to the truth faster. And we won't stop innovating until the bullet is rendered obsolete.

It’s a big mission, but it’s one we’ll pursue relentlessly every single day.

Your impact
You are a Senior Full Stack Software Engineer with experience building large-scale software applications. You have deep interest in backend and frontend technologies. You are excited about the care, feeding and growth of a high-availability, scalable cloud-based systems. Come work in an exciting environment where you use your passion, experience, and analytical skills to help bring new solutions to public safety and leave a positive impact on the world.
Your Day-to-Day
Work on software that manages Petabytes of information
Work closely with customers and design features to their specifications
Mentor junior developers on the team
Basic Qualifications
5+ years of experience in software engineering
Experience building complex and impactful software in a team environment
Backend service experience in managed languages such as Java, Scala, Go, C#, or similar
Comfortable with JavaScript (and its frameworks like React, angular, etc), HTML, CSS, and have built web applications from components
You enjoy mentoring and growing junior engineers
Preferred Qualifications
Experience designing and delivering high-availability, scalable cloud-based systems
You write beautiful, simple, maintainable APIs for web applications
Interest in managing a small team of developers
Compensation and Benefits
Competitive salary and 401K with employer match
Discretionary paid time off
Robust parental leave policy
An award-winning office/working environment
Ride along with real police officers in real life situations, see them use technology, get inspired
And more...
#LI-JR1

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
6,Software Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,"
Experience in implementing a cloud-based application.
Expertise in one or more object oriented programming language (e.g. Python, Javascript, Java) and the eagerness to learn more
Track record of deploying and managing AWS services such as ECS, Lambda, EMR, SNS, SQS using CloudFormation templates.
Experience working in a test-driven development, continuous integration and continuous deployment engineering process.","
Experience in implementing a cloud-based application.
Expertise in one or more object oriented programming language (e.g. Python, Javascript, Java) and the eagerness to learn more
Track record of deploying and managing AWS services such as ECS, Lambda, EMR, SNS, SQS using CloudFormation templates.
Experience working in a test-driven development, continuous integration and continuous deployment engineering process.",None Found,None Found,None Found,"Company Introduction

Wicket Labs is focused on delivering actionable insights to media companies that are facing a shifting audience, in an arena where the consumer has to be the focus and data is the differentiator. We’re talking about the evolution of the television market towards new devices, services, and consumption models. Our goal is to help traditional and new media business leaders succeed in this environment with better data, and more predictive insights.

We are a venture-backed software company located in the heart of Pioneer Square in Seattle. We are part of a great, vibrant technology and art community in an area with a rich cultural heritage.

We strongly believe in the value of diversity, equity, and inclusion and aim to reflect that belief in the team that we build. We hope you will consider joining us. \

Job Description

Join a small team building a big impact product. We’re looking for a Software Engineer to help us design and implement software that turns large volumes of raw data into attractive and actionable business insights for well-known TV services. You’ll have the opportunity to build the first versions of many parts of our data processing and microservice architecture.

Technologies We’re Using

Our web layer is primarily built with ReactJS.
On our server side, we’re building restful microservices with Javascript, Node.js, and AWS services like DyanmoDB, SNS and Lambdas.
Our data pipeline leverages big data technologies like Presto, Spark, Python, SQL and S3.
What You’ll Do

Craft innovative features and solutions for our business-facing Software as a Service platform
Work on a highly collaborative agile team with skilled teammates
Develop and deploy solutions independently and as a team member
Produce high-quality, well architected solutions with an upfront focus on testing and long-term support
Design and implement enterprise-grade data processing and visualization solutions for scalable, multi-tenant web applications
Listen and communicate ideas effectively with respectful and responsive interactions
Adopt a team player approach by doing what needs done and cheering each other on
Skills and Qualifications

Experience in implementing a cloud-based application.
Expertise in one or more object oriented programming language (e.g. Python, Javascript, Java) and the eagerness to learn more
Track record of deploying and managing AWS services such as ECS, Lambda, EMR, SNS, SQS using CloudFormation templates.
Experience working in a test-driven development, continuous integration and continuous deployment engineering process."
7,New Graduate - Software Development Engineer 1,"Seattle, WA 98119",Seattle,WA,98119,None Found,"
Experience developing and supporting e-commerce systems and conducting A/B testing scenarios is a plus
Prior internship, related projects or leadership experience
3.0 or above minimum cumulative G.P.A
Travel industry and/or e-commerce experience is a plus",None Found,None Found,None Found,None Found,"Expedia
Expedia Group is revolutionizing travel through the power of technology, and is seeking a highly passionate and motivated university new grad software engineers for its growing line of business.
At Expedia, we develop next-generation technologies for which we have become world-renowned, and through which we are revolutionizing travel. We use elite technology talent to innovate and build state of the art web applications and e-commerce sites. As a software engineer at Expedia you will design and implement high-volume, fault tolerant, scalable solutions. You will work with teams to design, implement and iterate on features quickly and efficiently. We seek an enthusiastic and creative individual who demonstrates a high level of engagement.
What You’ll Do:
You will be a part of our development team and actively participate in all phases of the software development lifecycle, including requirements gathering, functional and technical design, development, testing and roll-out, and support.
You will solve complex business problems by utilizing disciplined development methodology, producing scalable, flexible, efficient and supportable solutions using appropriate technologies
You will provide quality implementation and testing of a component or feature with peer and manager support
You will drive technical implementation at the application/product level for small project
You will provide improvements to solutions for a given problem
Resolve problems and roadblocks as they occur with help from peers or managers. Follow through on details and drive issues to closure with help from peers or managers.
Collaborate with and learn from all members of technical staff
Who You Are:
Currently enrolled in a 4-year university, pursuing a Bachelors or Master’s degree in Computer Science, Computer Engineering, Mathematics or related field
December 2019 or May / June 2020 graduation date
Knowledge of data structures, algorithms and OOP concepts
Technical proficiency in JavaScript/HTML/CSS, Java, Spring MVC, JSON/XML, web services and object-oriented design
Experience in agile/Scrum software development practices
Effective verbal and written communication skills with able to present complex technical information in a clear and concise manner to a variety of audiences
Preferred Qualifications:
Experience developing and supporting e-commerce systems and conducting A/B testing scenarios is a plus
Prior internship, related projects or leadership experience
3.0 or above minimum cumulative G.P.A
Travel industry and/or e-commerce experience is a plus
You’ve applied, now what?
We will review your application and if you are considered a fit, we will invite you to take an online assessment. Those who pass the assessment will be invited for a final interview.
Why Join Us?
Expedia Group recognizes our success is dependent on the success of our people. We are the world's travel platform, made up of the most knowledgeable, passionate, and creative people in our business. Our brands recognize the power of travel to break down barriers and make people's lives better – that responsibility inspires us to be the place where exceptional people want to do their best work, and to provide them to tools to do so.
Whether you're applying to work in engineering or customer support, marketing or lodging supply, at Expedia Group we act as one team, working towards a common goal; to bring the world within reach. We relentlessly strive for better, but not at the cost of the customer. We act with humility and optimism, respecting ideas big and small. We value diversity and voices of all volumes. We are a global organization but keep our feet on the ground so we can act fast and stay simple. Our teams also have the chance to give back on a local level and make a difference through our corporate social responsibility program, Expedia Cares.
If you have a hunger to make a difference with one of the most loved consumer brands in the world and to work in the dynamic travel industry, this is the job for you.
About Us:
Our family of travel brands includes: Brand Expedia®, Hotels.com®, Expedia® Partner Solutions, Egencia®, trivago®, HomeAway®, Orbitz®, Travelocity®, Wotif®, lastminute.com.au®, ebookers®, CheapTickets®, Hotwire®, Classic Vacations®, Expedia® Media Solutions, CarRentals.com™, Expedia Local Expert®, Expedia® CruiseShipCenters®, SilverRail Technologies, Inc., ALICE and Traveldoo®.
Expedia is committed to creating an inclusive work environment with a diverse workforce. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. This employer participates in E-Verify. The employer will provide the Social Security Administration (SSA) and, if necessary, the Department of Homeland Security (DHS) with information from each new employee's I-9 to confirm work authorization."
8,Software Engineer,"Kirkland, WA",Kirkland,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"WHO ARE WE?
Looking for a job that makes a real difference in our world today and one that you’ll be proud of when you look back in 20, 30 or 40 years? This is it. Clean Power Research is advancing the energy transformation through cloud software that informs, streamlines and values energy-related decisions and processes for utilities, energy professionals and consumers.

We’re a growing company that counts seven of the top 10 U.S. electric utilities and many of the largest renewable energy companies as our customers. We’re focused on expanding our market reach and impact with new software technologies that help solve the energy industry’s hardest problems.

At Clean Power Research, every employee has a seat at the table and an important role.

WHY WORK HERE?
Go from building solutions to being part of the solution.
Join a growing team of software and energy veterans from companies like Microsoft, Amazon, Oracle and Pacific Gas & Electric.
Bring your passion and ideas to the table.
Use your creativity to solve hard problems and make tough decisions.
Work in a start-up like environment coupled with the stability and customer base of an established, profitable company.
Join a growing company that expects you to grow with us and invests in your growth.
Clean Power Research offers competitive compensation and benefits to full-time employees including medical/dental/vision, paid vacation, paid holidays, a bonus plan and 401(k) plan.

WHAT YOU’LL BE DOING AS A SOFTWARE ENGINEER
We’re adding a Software Engineer to our SolarAnywhere team. SolarAnywhere is an innovative software plus science product that performs industry-leading solar prediction for the utility and solar markets. We start with near real-time satellite imagery, and use sophisticated scientific algorithms to measure and forecast how much solar energy hits the ground. There are numerous markets for SolarAnywhere, including utility-scale forecasting and rooftop fleet operation.

You’ll be a high-horsepower coding contributor that designs, builds and delivers major features and highly scalable components. You’ll be helping us tackle lots of big challenges, including improving the accuracy of our models and wide-scale forecasts using approaches such as machine learning.

This is a full-stack position where you’ll own entire features end-to-end. You’ll be using C#, JavaScript, JS frameworks and SQL in a cloud-hosted (AWS) environment. You’ll be part of an agile, empowered and high-performing team. You’ll have exposure to customers and the business, and be an important participant in product, design and technology decisions.

DUTIES & RESPONSIBILITIES
Deliver high-quality code and features with a high-degree of ownership
Participate in writing test automation (unit tests and integration tests) and be part of a combined engineering team
Collaborate with other team members to define the product and make it great
Participate in release testing, monitoring of performance and functionality of the service in production.
WHO YOU ARE
2+ years of professional software development experience.
Superior programmer who consistently delivers tight, finely crafted code.
BA/BS or MS degree in Computer Science or related technical discipline.
Experience in building web applications/services using C#/ASP.NET/SQL and running in a cloud-hosted environment is a plus.
Passion for solar energy or renewables is a plus.
HOW TO APPLY
Click the link below to submit your resume. Please include a cover letter detailing your interest in this position and the renewable energy space along with your resume. Due to the large number of applicants for our positions, we regret that we can only respond to candidates who meet our requirements.

Clean Power Research is located in Kirkland (Greater Seattle Area). Local, full-time, in-office candidates only, please."
9,Senior Software Engineer (Machine Learning Mindset),"Redmond, WA",Redmond,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"ABOUT THE ROLE


HELP US BUILD THE NEXT GENERATION OF CLOUD-BASED IDENTITY AND ACCESS MANAGEMENT (IAM) SOLUTIONS
MAKE A BIG IMPACT ON PRODUCT IN A FLEXIBLE WORK ENVIRONMENT WITH A STRONG FOCUS ON PROFESSIONAL DEVELOPMENT

OneLogin provides industry-leading, enterprise IAM solutions for every user, device, and application. We manage and secure millions of identities for thousands of enterprise customers. We just closed a $100M series-D, and we are growing. As part of building out new cloud services, we're looking for talented SOFTWARE ENGINEER with Machine Learning Mindset for one of our offices in Redmond (WA), San Francisco (CA), or Guadalajara (MX).

WHAT WE VALUE:

Ability to Deliver Results: A track record for being able to set a vision and strategy, organize and lead a team, and implement to meet and exceed expectations.
Entrepreneurial Attitude: A proactive outlook that provides to overcome barriers, creatively problem solve, and challenge conventional thinking.
Passion for Innovation: A demonstrated interest and desire to participate in innovation through personal study, on-the-job initiative, or other endeavors.
Positive Outlook: A desire to look past the challenged in search of the opportunity.
Empathy & a Teacher's Mindset: The ability to teach and mentor effectively, successfully facilitate teams and different personalities in training sessions, and to care deeply about his/her colleague's growth, understanding, and experience.
Bias for Action: A need for speed; demonstrated ability to make decisions quickly and to act upon them.

As a Senior Software Engineer, you'll drive execution and play a vital role in building a culture of innovation at OneLogin. You will build, manage, and inspire alongside a multi-functional team, that solves for our toughest growth challenges.

RESPONSIBILITIES:

Collaborate with Engineering to identify, define, implement, deploy and maintain in production new data products.
Evangelize software engineering best practices and proactively identify technical debt and other issues to harden our products.
Seeking out ways to automate and accelerate development of data-driven products through implementation.
Learning new skills and technologies through industry resources, academic papers, or pair-programming with coworkers, to ensure data science team is current and excellent.

WHAT YOU CAN BRING TO THE TABLE:

Requires a bachelor's degree (or its equivalent) in mathematics/statistics or a related field.
4+ years of applied software engineering experience
Applied experience using Ruby, Python, C#, JavaScript, or React
Applied experience working with web-based APIs
Experience with RDBMS systems for OLTP workloads, such as Postgres or MySQL
Experience using big data technologies for production, such as Spark, and HDFS
Familiarity with TensorFlow, Amazon MR or Microsoft Azure ML
Candidates must be authorized to work in the US.

WHAT ELSE:

Have made substantive contributions to open source projects in the areas of data science or machine learning
Experience deploying and maintaining Machine Learning models into production
Experience in predictive modeling
Experience with stream processing
Experience with container technology, like Docker

WHY YOU SHOULD JOIN US:

Get in early on a small, close-knit team with ownership and impact on products trusted by millions
Award-winning company culture, strong local leadership, and great career development opportunities
Competitive salary plus great perks including equity, full insurance (medical, dental, & vision), unlimited time off, and flexible WFH policies

ABOUT ONELOGIN

OneLogin, the leader in Unified Access Management ( https://www.onelogin.com/ ), connects people with technology through a simple and secure login, empowering organizations to access the world™. The OneLogin Unified Access Management (UAM) platform is the key to unlocking the apps, devices, and data that drive productivity and facilitate collaboration. OneLogin serves businesses and partners across a multitude of industries, with over 2,500 customers worldwide. We are headquartered in San Francisco, California. For more information, visit www.onelogin.com ( https://www.onelogin.com/ ), Blog ( https://www.onelogin.com/blog ), Facebook ( https://www.facebook.com/OneLogin/ ), Twitter ( https://twitter.com/onelogin ), or LinkedIn ( https://www.linkedin.com/company/onelogin ).

Our core values ( https://www.onelogin.com/company/culture )


Security first - We make it our #1 priority to protect data and privacy. From the way we work to the technology we provide, security is top of mind
Customer focused - We design for, listen to and partner with customers to come up with smart solutions that drive business value
Collaborative - We take bold steps and work together to thrive across boundaries. We drive productivity as we grow as one team
Accountable - We get things done and take ownership in our work. Showcasing consistent quality and pride to perform at the highest levels
Creative - We embody creativity in everything we do. We embrace a diversity of ideas. We execute with ingenuity, flexibility, and agility

"
