,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Software Engineer,"Peabody, MA 01960",Peabody,MA,01960,None Found,None Found,None Found,None Found,None Found,None Found,"Overview
Contributor to software design and development efforts for subsystems and components of major software development projects. Leads software design and development efforts for smaller software development projects. Interacts with internal stakeholders to understand product needs; writes requirement, design, and test specifications; writes other documents including Build and Installation Instructions. Writes and presents original designs, and reviews designs of others. Implements software solutions as an individual contributor and as a team-member. Performs testing and releases changes.
Responsibilities
Responsible for portions of larger projects or complete software development of small projects.
Works with internal customers to define requirements.
Generates system design and specifications.
Generates code to satisfy design requirements.
Completes design details and develops methods to satisfy design requirements.
Prepares engineering test specifications and procedures.
Troubleshoots and modifies code.
Performs software testing.
Responsible for working within time and dollar budgets.
Directs and trains technicians and lower level professionals in software testing.
Performs other duties as required.

5% Domestic/International Travel Required
Qualifications
Bachelor’s degree or equivalent; typically requires a minimum of 3 years of related experience.

GENERAL REQUIREMENTS:
Individuals may be required to sit/stand in one place for long periods of time. They might be required to lift and move related equipment up to 50 pounds from time to time. This may include bending or kneeling briefly. Required to use PC/laptop/mouse for significant time virtually every day. Works in an office and lab environment with visits to the manufacturing floor to observe issues that may arise. Work in labs and manufacturing requires appropriate safety and ESD protections. Work in an x-ray environment requires x-ray safety training as well as a dosimeter badge.

CERTIFICATION:
None

MENTAL DEMANDS:
High

SUPERVISES OTHERS:
Makes technical decisions in areas of responsibility.

SUPERVISION RECEIVED:
Receives general supervision with respect to priorities, schedule, and company goals.

BUDGET RESPONSIBILITY:
None

WORKING CONDITIONS:
Primarily office, with regular lab work involving electro-mechanical rotating equipment.
WORK ENVIRONMENT:
Office, laboratory, manufacturing and customer sites."
1,Software Engineer,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Casa Systems, Inc. is a leading provider of next-generation ultra-broadband distributed and virtualized architectures in mobile, fixed telecom and cable networks. As the original supplier of commercially deployed CCAP systems that deliver voice, video, and data over a single port, Casa continues a tradition that brings leading edge solutions to hundreds of service providers around the world. At Casa Systems, our mission is to deliver ultra-broadband solutions that keep families, communities and the world connected. We harness our passion for innovation to drive technological solutions that allow service providers to do amazing things that improve the way we live.


Internships Opportunity


Candidates for this position are software engineering students who want real-world development experience on products being delivered to our customers. You will be involved in the enhancement and development of embedded software for one or more projects involving Ultra Broadband Network Edge Devices (fixed, mobile, optical and wi-fi solutions). You will be part of a small (1-6 person), multi-disciplinary team that has full responsibility for product development from requirements gathering to final product delivery.


You may be involved in all areas of development (i.e. requirements analysis, high and low level design, coding, documentation, and testing and validation). Our products are developed to very high standards of quality and reliability and you will have the opportunity to learn the department's software process during all development activities.


You will present status of your progress to other team members and to management. You may also have the opportunity to interact with our customers.


QUALIFICATIONS:


Passionate about developing embedded software.
Currently enrolled in an accredited university pursuing a bachelor’s or master’s degree in Computer Science, Computer Engineering, Electrical Engineering, or a related major such as Math, Physics OR recent graduate.
GPA 3.0 or higher.
Solid understanding of computer science fundamentals and software engineering with an aptitude for learning new technologies.
Strong knowledge of programming in ""C"" and scripting languages.
Possess creative problem solving skills and excellent troubleshooting/debugging skills.
Excellent verbal and written communication skills.
Experience with Golang/Go.
Experience in establishing and sustaining excellent relationships with the extended team.


Casa Systems, Inc. participates in the E‑Verify program. Casa Systems is committed to fostering a diverse workforce and inclusive work environment free from unlawful employment discrimination and without barriers to Equal Employment Opportunity (EEO).


#LI-JM1
Required Skills

Required Experience"
2,Software Engineer,"Burlington, MA 01803",Burlington,MA,01803,None Found,None Found,"BS in Computer Science or equivalent
2+ years of Java and the Java Spring Framework, or JavaScript/Typescript and modern JS Frameworks, Python, Groovy.
Experience using and creating RESTful APIs.
Experience with NoSQL technologies, MongoDB preferred
Experience with TDD and agile development methodologies
Experience with Continuous Integration/Continuous Deployment best practices
Excellent attention to detail
Excellent verbal and written communication skills
Essential
Designing and write high quality code
Evaluating code and design quality
Understanding how products and technologies interface with each other and fit with the strategy and business needs
Evaluating technical and functional specifications and their cohesion
Negotiation
Technical problem solving and strong debugging skills
Effective communication with different audiences
Risks Assessment and Mitigation
Coaching and training
Strong teamwork skills
",None Found,None Found,None Found,"Sophos Overview – Security Made Simple
Sophos makes IT security simple with next-generation solutions that protect networks, servers, and devices, wherever they are. Today, more than 100 million users in 150 countries and a global network of channel partners trust Sophos to deliver simple solutions to complex security challenges. Focused on innovation and backed by a global network of Sophos Labs threat intelligence centers and industry-leading support, Sophos delivers solutions that are simple to deploy, maintain, and manage, enabling organizations to focus on performance and growth. Sophos — Security made simple.
Job Purpose
Software Engineers have direct responsibility for product features or key technology choices and implementation. Collaborates as part of a team for the development of complex systems; including requirements analysis, concept development and design, implementation and testing, demonstrating flexibility of role as required.
Main Duties
Technically curious to keep present on advances in technology
Write code (product and test) to deliver against project timescales, quality and requirements in various languages including Java or other selected languages for Sophos Cloud products.
Work with best of breed Cloud technologies (NoSQL, high throughput event processing, cloud-scale data analytics, etc.)
Design software components (Functionality, defect fixes or automation) that form part of a larger solution, in line with team objectives
Define test scenarios and test cases to ensure quality of the team’s deliverables
Ability to partner effectively with UX, PM, DevOps, QE and other developers to design and implement meeting the spirit of requirements
Provide guidance and mentorship to junior developers.
Skills & Experience
BS in Computer Science or equivalent
2+ years of Java and the Java Spring Framework, or JavaScript/Typescript and modern JS Frameworks, Python, Groovy.
Experience using and creating RESTful APIs.
Experience with NoSQL technologies, MongoDB preferred
Experience with TDD and agile development methodologies
Experience with Continuous Integration/Continuous Deployment best practices
Excellent attention to detail
Excellent verbal and written communication skills
Essential
Designing and write high quality code
Evaluating code and design quality
Understanding how products and technologies interface with each other and fit with the strategy and business needs
Evaluating technical and functional specifications and their cohesion
Negotiation
Technical problem solving and strong debugging skills
Effective communication with different audiences
Risks Assessment and Mitigation
Coaching and training
Strong teamwork skills
Equal Opportunities
Sophos is committed to equality opportunity in all areas of its work. All qualified applicants will be treated in a fair and equal manner and in accordance with the law regardless of gender, marital status, race, religion, colour, age, disability or sexual orientation.
If you choose to explore this opportunity, and subsequently share your CV or other personal details with Sophos, these details will be held by Sophos for 12 months in accordance with our data protection policy which can be found here and used by our recruitment team to contact you regarding this or other relevant opportunities at Sophos. If you would like Sophos to delete or update your details at any time, please reply to this or other emails from Sophos clearly stating your request, or follow the steps set out in the data protection policy describing your individual rights. If you have any questions about Sophos’ data protection practices please contact dataprotection@sophos.com."
3,C# Robotics Software Engineer,"North Reading, MA 01864",North Reading,MA,01864,None Found,None Found,None Found,None Found,None Found,None Found,"The international headquarters of Teradyne in North Reading, MA is looking for a C# Software Engineer with Industrial Automation or Robotics experience to join the Titan System-Level Test group in the design of Automated Testing Systems for IC’s. This group is part of our semiconductor test organization, testing the world’s leading commercial devices. If designing next generation precision mechatronic solutions that push the state of the art for complex software-controlled electromechanical/robotic devices is exciting to you then developing the next generation of our Titan System-Level Test products will be a blast!

Teradyne is looking for talented people, who share our passion and drive, to join our team. Our customers are the world’s leading electronics and smart phone companies and they depend on us to help them get quality products to market. At Teradyne, we ride the wave of technological innovation every day. It’s an exciting business! If being part of a global team is something that excites you, Teradyne maybe the place for you.

In this role you will bring your expert level C# coding skills and strong understanding of multi-threading to our team. You'll apply your C# coding skills while also furthering you knowledge and expertise as part of a small, extremely talented team of mechatronic/industrial automation/robotics engineers working at the intersection of Machine Vision, Automated Handling, and Industrial Automation and Robotics.

This small four person team (meaning you will learn a TON, and be able to make a REAL impact) works on design and development activities for complex multi-axis automated systems involved in handling of chips, hard disk drives, and other parts for development of the next generation of Teradyne's Titan Test System.

Titan, and the next generation version you will help develop, is used to test smartphone processor chips. The challenges awaiting you include improving chip test throughput, enhanced ability to test chips under high power/thermally intensive operating modes, and improving testing accuracy.
5+ years of industrial automation or robotics experience
Strong experience with development of multi-threaded multi-process systems
Strong experience with C#

Preferred skills/experience (though not absolutely required) include as many as possible from the following list. Candidates with more than ten years of experience are strongly preferred to have at least two of these skills. You can expect to learn a LOT more about all of these technology areas!

10+ years of industrial automation or robotics experience
Experience with automated chip handlers
Motion control programming skills for precise, controlled high speed robotics applications
Efficient programming, code and cycle time optimization
Computer vision, image acquisition and processing
EtherCAT control systems, sensor interfaces and servo motor controllers
Safety mechanisms for automation and robotic systems

#LI-MHTER"
4,Software Engineer,"Burlington, MA 01803",Burlington,MA,01803,None Found,None Found,None Found,None Found,None Found,None Found,"BE / MCA with 2-3 years experience in .Net Technologies, C#, ASP.NET, MVC, Perl, Java, Servlets and J2EE technologies."
5,Software Engineer,"Cambridge, MA 02139",Cambridge,MA,02139,None Found,None Found,None Found,None Found,None Found,None Found,"At Intellia, we are revolutionizing medicine by harnessing the power of genome editing to develop potential cures. We bring new hope for people living with conditions including cancer, genetic disorders, viral infections, inflammatory disorders and many more.

Intellia Therapeutics, Inc.
Software Engineer
40 Erie Street, Cambridge, MA 02139

Duties: Collaborate with scientists to understand workflow and define functional requirements. Collaborate with scientific team to understand the experimental and analytical approach to utilizing CRISPR/Cas9 as a therapeutic. Distill and model complex experimental data from requirements articulated by scientific team. Apply a solid theoretical approach to database design. Employ software design and architecture patterns to develop a full stack of micro services delivering functionality to internal user base. Utilize DevOps and Amazon Web Services (AWS) to build, configure, and maintain large sets of cloud services comprising Intellia’s Informatics Portal.

Requirements: Requires a Bachelor’s degree in Computer Science, Information Systems, Mathematics, or a directly related field plus two (2) years of experience as a software engineer.
Must have at least two (2) years of experience in each of the following: Back-end API development to deliver scientific data to end users
 Developing front-end of responsive web application
 Knowledge and understanding of software design patterns, including abstract factory, decorator, iterator, or pub/sub
 Experience with 2 or more programming languages, including Python, Java, or C++ Knowledge and understanding of Linux operating system
 Experience with bash shell
 Knowledge and understanding of each layer in the Open Systems Interconnection model

Must have at least one (1) year of experience in each of the following:
 Cloud (AWS) operations and development experience
 Experience with Python web/api frameworks, including Django, Flask, APIStar, or Falcon
 Experience with Postman, OpenAPI, and AWS
40 hours per week. Day shift. Send resume to: Shaun.Vigeant@Intelliatx.com ref. P12
What Intellia Stands For?

At Intellia, our mission is to develop potentially curative genome editing treatments that can positively transform the lives of people living with severe and life-threating diseases.

We push boundaries. We are focused on positively disrupting health care treatment of patients with genomic diseases. The values we live by and drivers we look for are:
 One is respect for individuals; our unique qualities and strengths; our own ways to understand, learn and improve. One is our single-minded determination to excel; to succeed together. One is you and us – trusting and counting on every single one of us.

Explore because we seek new ways to tackle disease. Explore with unbounded minds…free from assumptions, open to ideas. Explore by staying curious, by pushing boundaries, overcoming obstacles. Explore means thinking of new ways.

Disrupt by thinking courageously…and creating a better future. Disrupt by defying conformity; interrogating the status quo; questioning our momentum. Disrupt with challenging thoughts…with that breed of skepticism that shows you have better solutions.

Deliver with your focus on the objective and your determination to complete the task. Deliver by advancing relentlessly and by maintaining high standards…even when nobody is watching. Deliver by staying accountable and pulling your weight. Deliver because patients are counting on us to make the promise reality. Get it done.
POSITION: Full-Time, Exempt
EEOC Statement: Intellia believes in a diverse environment, and is committed to equal employment opportunity for all its employees and qualified applicants. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status. Intellia will make reasonable accommodations for qualified individuals with known disabilities, in accordance with applicable law."
6,Software Engineer - Infrastructure,"Cambridge, MA",Cambridge,MA,None Found,None Found,None Found,None Found,None Found,None Found,"
Strong software engineering and interpersonal skills
A near obsession to streamline and optimize critical processes
Extensive experience building production-quality systems for large scale data collection and normalization
Experience using multiple types of databases (e.g. relational, in-memory, schema-free, column-oriented), and the tradeoffs associated with each
Basic experience using Python based web frameworks (e.g. Flask)
A demonstrated ability to spin up quickly and have a high impact across multiple domains
At least 1-2 years of experience or industry internships
","Job Summary:
With rapidly decreasing DNA sequencing costs, we are able to look at the genomes of many organisms for the first time. At Arbor, you will be at the cutting edge of biodiscovery, systematically searching through nature’s diversity to discover and engineer new technologies for improving human health and sustainability. On the Software Engineering Infrastructure team, you will apply your expertise in Python and large scale distributed systems, building data processing pipelines and interactive tools. Our incredible scientific team is advancing the state of the art in high-throughput protein characterization with new technologies, and a desire to learn and contribute at every level is a huge plus.

Requirements:
We're looking for experienced engineers and top graduate students / post-docs with:


Strong software engineering and interpersonal skills
A near obsession to streamline and optimize critical processes
Extensive experience building production-quality systems for large scale data collection and normalization
Experience using multiple types of databases (e.g. relational, in-memory, schema-free, column-oriented), and the tradeoffs associated with each
Basic experience using Python based web frameworks (e.g. Flask)
A demonstrated ability to spin up quickly and have a high impact across multiple domains
At least 1-2 years of experience or industry internships

About Arbor:
Arbor Biotechnologies [https://arbor.bio/] is a venture-backed startup at the intersection of technology and biology, harnessing nature's proteins to create transformative solutions in human health and sustainability. Using our diverse backgrounds ranging from machine learning to genome engineering to protein biochemistry, we are building a platform to uncover and characterize nature’s inventions at unprecedented scale.

We seek highly-motivated individuals with the dedication, integrity, and creative spirit needed to thrive in an innovative company. Working at Arbor offers a unique opportunity that combines the fast pace and growth opportunities of a startup with the intellectual rigor and creativity of academia. Our salaries are competitive, our benefits are generous, and our team is exceptional.

Arbor Biotechnologies is proud to be an inclusive workplace and an Equal Opportunity Employer."
7,Software Engineer,"Cambridge, MA",Cambridge,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"2+ years of non-internship professional software development experienceProgramming experience with at least one modern language such as Java, C++, or C# including object-oriented design1+ years of experience contributing to the architecture and design (architecture, design patterns, reliability and scaling) of new and current systems.

Interested in delivering Natural Language Understand (NLU) engineering solutions for Alexa, working closely with a team of scientists in the Machine Learning (ML) space? We're solving the problems of model qualification, deployment and experimentation at global scale, in order to accelerate Alexa feature development, and delight our customers.

As a Software Engineer, you will be responsible for independently designing developing, testing and deploying major components and services. You will collaborate with service owners and speech and NL scientists to automate the validation and deployment of ML models across multiple languages, locales and services.

Experience building complex software systems that have been successfully delivered to customersKnowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsAbility to take a project from scoping requirements through actual launch of the projectExperience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.Experience with full stack web development, using Java and React JS
Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age"
8,Entry Level Software Engineer,"Cambridge, MA",Cambridge,MA,None Found,None Found,"
BS in engineering or equivalent field
Excellent computer and analytical skills with understanding of full-lifecycle software development
Experience with Linux and C/C++ is required
Excellent oral and written communication skills is required",None Found,"
BS in engineering or equivalent field
Excellent computer and analytical skills with understanding of full-lifecycle software development
Experience with Linux and C/C++ is required
Excellent oral and written communication skills is required",None Found,"
Applicants selected for this position will be required to obtain and maintain a government security clearance.","Overview
Draper is an independent, nonprofit research and development company headquartered in Cambridge, MA. The 1,800 employees of Draper tackle important national challenges with a promise of delivering successful and usable solutions. From military defense and space exploration to biomedical engineering, lives often depend on the solutions we provide. Our multidisciplinary teams of engineers and scientists work in a collaborative environment that inspires the cross-fertilization of ideas necessary for true innovation. For more information about Draper, visit www.draper.com.

Our work is very important to us, but so is our life outside of work. Draper supports many programs to improve work-life balance including workplace flexibility, employee clubs ranging from photography to yoga, health and finance workshops, off site social events and discounts to local museums and cultural activities. If this specific job opportunity and the chance to work at a nationally renowned R&D innovation company appeals to you, apply now www.draper.com/careers.

Equal Employment Opportunity
Draper is committed to creating a diverse environment and is proud to be an affirmative action and equal opportunity employer. We understand the value of diversity and its impact on a high-performance culture. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, disability, age, sexual orientation, gender identity, national origin, veteran status, or genetic information.

Draper is committed to providing access, equal opportunity and reasonable accommodation for individuals with disabilities in employment, its services, programs, and activities. To request reasonable accommodation, please contact hr@draper.com.
Responsibilities
Draper is seeking a talented individual to join a fast paced team that is helping to push the envelope of autonomous vehicles in marine and space environments. This individual will be responsible for developing and extending Draper’s proprietary autonomy and simulation frameworks, enabling new functionality and mission capability. The ideal candidate would be self-motivated with a history of learning new technologies and frameworks. The candidate would be required to work with a multi-disciplinary team of simulation, controls, and systems engineers to arrive at optimal solutions.
Qualifications
Required Qualifications:
BS in engineering or equivalent field
Excellent computer and analytical skills with understanding of full-lifecycle software development
Experience with Linux and C/C++ is required
Excellent oral and written communication skills is required

Preferred Qualifications:
Knowledge and experience in the design, coding and testing of guidance, navigation and control system software is preferred

Security Requirement:
Applicants selected for this position will be required to obtain and maintain a government security clearance."
9,Sr. Software Engineer - Front End,"Boston, MA 02210",Boston,MA,02210,None Found,None Found,None Found,None Found,None Found,None Found,"Come Build the Future of Investing
We are a group of scientists, technologists, and makers building a fintech startup with an insanely quantitative approach to investing. Our tight-knit team is headquartered in Boston, Massachusetts with a sizeable presence in Budapest, Hungary, and is spearheaded by a tech industry veteran CEO who has led multiple companies from foundation through IPO.

About the Role
We are looking for an exceptional Senior UI Engineer to join our Core Product Team. Our goal is to build a frontend that displays the output of an immensely complex backend in an elegant and informative way, that is unprecedented in the finance industry.
This team owns the end-to-end user experience for our web application and is made up of dedicated engineers and designers in both our Budapest and Boston locations. The Core Product Team collaborates across the world and sometimes in person (get your passport ready!) to deliver elegant, informative, and lovable interfaces to our customers.
We aim to build self-organizing teams who face little impediment thanks to weak code ownership – thus some back-end skills are a plus.

What You'll Do
Take an active role in our approach to technical implementation, working with a wide range of systems, processes, teams and technologies to own and solve problems from end-to-end
Partner with our VP of Product Design to create informative, beautiful, and delightful interfaces for our customers
Build and maintain a robust React component library, enabling the creation of interfaces that are consistent and stable
Managing the relationship between the front end and our complex core engine
Be part of an early stage team dedicated to creating the most loved product in finance
You May Be a Fit for This Role If You
Have an enthusiasm and expertise for working on the Front end (React)
Uphold insanely high standards across engineering, security, and design
Pride yourself on your ability to ship high quality code on a short iteration cycle (emphasis on automated testing and continuous delivery)
Thrive in a culture of modern communication and thus can efficiently and effectively work several days a week remotely and over time-zones
Have a passion for continued learning and a track record of picking up new technologies and skills as you ship awesome code
Have a strong curiosity about finance and believe that good financial decisions can make real differences in people's lives

Our Tech Stack
Our product is a single-page React application written in TypeScript (ES2019) and backed by Spring Boot (Java) microservices, providing REST endpoints with auto-generated TypeScript client code run in containers on AWS

What We Offer
Although we're a new startup, this isn't our first rodeo. Our competitive and comprehensive employee benefits package includes premium healthcare, flexible hours, work from home optionality, career growth opportunities and a team of outstandingly capable and social engineers.
nhr11mio1t"
