,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Junior Associate Software Engineer (Temp),"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Company Overview
Warner Bros. has been entertaining audiences for more than 90 years through the world’s most-loved characters and franchises. Warner Bros. employs people all over the world in a wide variety of disciplines. We're always on the lookout for energetic, creative people to join our team.
Business Unit Overview
The creative team that brought Mortal Kombat and Injustice to life is now NetherRealm Studios, part of the Warner Bros. Interactive Entertainment family. With over 20 years of creation under our belts, NetherRealm’s mission remains the same; to create cutting edge entertainment and deliver industry leading tech, game art and overall gaming experiences. NetherRealm Studios is a collaborative and creative environment, constantly striving to up the ante on what is possible in interactive entertainment. We encompass the best of both worlds – a team of dedicated professionals with years of experience, who are also at the forefront of an industry taking over the entertainment landscape. The passion and energy that made Mortal Kombat a reality is still on display every day in our offices, our hallways and most definitely the studio’s arcade room!
Opportunity Overview
What part will you play?
WB Games Inc. seeks a Junior Associate Software Engineer (Temp) for the Engineering department.

As a Junior software engineer for our game team you'll be given an opportunity to explore a wide range of real-world programming tasks, while contributing to the development of a AAA-quality Console game. You'll work with a team of talented industry veterans, on tasks ranging from creating tools for better engineer productivity, to helping with implementation of gameplay features.

This position is based onsite in Chicago, IL.

What do we require from you?
Excellent C/C++ programming skills. We are looking for people with a good understanding of the language, and an appreciation for object-oriented architecture.
Familiarity with the Unreal Engine is a big plus.
A passion for video game technology and gameplay mechanics.
Availability for at least 20 hours during the school year, and a desire to work full time in the summer.

The Warner Bros. Entertainment Group of Companies is an equal opportunity employer and considers all candidates for employment regardless of race, color, religion, sex, national origin, citizenship, age, disability, marital status, military or veteran's status (including protected veterans, as may be required by federal law), sexual orientation, gender identity or any other category protected by law."
1,Senior Software Engineer,"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Designs, develops, tests, and evaluates software and systems that enable computers to perform their applications; building IDE-based applications, XML and Web Service technologies. Performs a variety of complicated tasks. May lead and direct the work of others.
Requirements
License/Certification/Education: B.S. in Computer Science with 10+ years experience in design and development of Web applications.

Experienced full stack C# .NET Software Developer, experienced in WebFOrms, MVC, JavaScript, MS SQL, Basic Windows Server and IIS Administration. Automated Build and Release DevOps procedures. Knowledge of Docker, Angular, and/or HL7/FHIR data formats a plus.
Shift
1
Schedule
Monday through Friday, 8:00-5:00"
2,Software Engineer - Backend Services,"Chicago, IL 60611",Chicago,IL,60611,None Found,None Found,None Found,None Found,None Found,None Found,"Please make sure to read the job posting in its entirety as it reflects both the University roles and responsibilities, followed by the specific description.
Department
86771 Globus
About the Unit
Globus (www.globus.org) is a sustainable, non-profit business within The University of Chicago, run like a startup. We develop, operate, and sell commercial-quality, cloud-based software application and platform services used by 10s of thousands of researchers to manage their large–and growing–data management challenges. We have offices located at 401 North Michigan Ave. in the heart of downtown Chicago, at Argonne National Laboratory in Chicago’s western suburbs, San Diego, and remote employees who work-from-home.
Job Family
Information Technology
Responsible for the design, implementation, and maintenance of new and existing applications, systems architecture, and network infrastructure. Ensures operation and security of all servers and networks. Configures, installs, maintains and upgrades applications and hardware for the organization's infrastructure and for end-user devices.
Career Track and Job Level
Programming
Performs and oversees a variety of activities relating to software support and/or development. Oversees technical development projects and the implementation of applications and/or websites. Provides analysis, design, development, debugging, and modification of computer code for applications, beta general releases, and production support. Develops and builds web pages, applications and user interfaces using a variety of software applications, techniques, and tools. New development, break fixes, maintenance, operational support of code and application ecosystem currently in production. Includes overall application administration and integration management.
P2: Requires knowledge and experience in own discipline; still acquiring higher-level knowledge and skills. Builds knowledge of the organization, processes and customers. Solves a range of straightforward problems. Analyzes possible solutions using standard procedures. Receives a moderate level of guidance and direction.
Role Impact
Individual Contributor
Responsibilities
The job performs a variety of activities relating to software support and/or development. Provides analysis, design, development, debugging, and modification of computer code for end user applications, beta general releases, web pages, and production support. Troubleshoots problems using existing procedures to find a possible solution.
1) Investigates, analyzes and resolves day-to-day technical problems using standard procedures., 2) Works with stakeholders to gather and analyze requirements for developmental programs. Receives a moderate level of guidance to design applications to meet University and business requirements., 3) Performs code testing on components and works to ensure that appropriate implementation standards are met. Evaluates design alternatives for development cost and solutions using various methods., 4) Supports and maintains existing applications. Works with web developers and responds to requests from users., 5) Performs other related work as needed.
Unit-Specific Responsibilities
1) R eporting to the Software Development Manager, this position assists in building the Globus Software as a Service (SaaS) and Platform as a Service (PaaS) product.
2) Seeking a skilled Python or C developers to create and operate services through the use of advanced technologies and techniques from Web and Cloud computing.
3) Under direct supervision from senior technical staff and management.
4) Architecture and Design: p articipate in the definition and documentation of requirements, architecture and design of complex systems, based on knowledge of relevant software technologies being developed and/or used in commercial and scientific communities.
5) Software Development: d evelop, test, document, deploy and maintain high-quality software, including REST interfaces, command-line interfaces, desktop and mobile clients, and distributed resource integration software such as Globus Connect.
6) Support : work in close collaboration with the Globus front line support and professional services teams, and directly with end users, to provide technical support services.
7) Research: participate in and contribute to research efforts related to the software, including collecting and analyzing data, and writing research papers for journals or conferences.
8) Team Coordination and Professional Development : maintain a working knowledge of relevant software technologies being developed and/or used in scientific and commercial communities; contribute to team coordination and development activities, including project planning, project reporting, and recruitment.
Unit-Preferred Competencies
1) One year of relevant programming experience developing, implementing, debugging, and maintaining applications with Python or C.
2) Experience with a distributed version control system (e.g. Git, Mercurial).
3) Experience with Linux.
4) Exposure to fundamental concepts, practices, and procedures of software development.
5) P rioritize and manage workload to meet critical project milestones and deadlines.
6) U se standard software development applications and tools.
7) Confidentiality related to sensitive University matters such as, strategic initiatives, trade secrets, quiet periods, and scientific discoveries yet to be put in the public domain.
8) Work in a collaborative team environment
9) Attention to detail
10) Excellent verbal and written communication skills
Working Conditions
1) Ability to work on a flexible schedule, which will include occasional late night and/or weekend hour.
Education, Experience, and Certifications
Minimum requirements include a college or university degree in related field.
Minimum requirements include knowledge and skills developed through 2-5 years of work experience in a related job discipline.
Preferred Qualifications
Education
1) Bachelor's degree in computer science or another relevant computer related field.
2) Advanced degree in computer science or another relevant computer related field.
Experience
1) SQL databases (e.g. PostgreSQL, MySQL, SQLite).
2) HTTP servers (e.g. Apache, NGINX).
3) Unit and integration testing tools (e.g. pytest, Jenkins).
4) Python programming.
5) Web security technologies (e.g. SSL/TLS, OAuth2, OpenID Connect and PKI).
6) Experience contributing to an open source project.
7) C ontainers (e.g. Docker, Singularity, Kubernetes).
8) Web technologies (e.g. REST, HTML, CSS, Javascript, AJAX, PHP).
9) Shell scripting (e.g., Bash).
10) Agile (e.g. Scrum) development processes.
11) Cloud Computing (e.g. AWS, Azure, Google Cloud).
12) HPC.
Required Documents
1) Resume
NOTE: When applying, all required documents MUST be uploaded under the Resume/CV section of the application.
FLSA Status
Exempt
Pay Frequency
Monthly
Pay Grade
Depends on Qualifications
Scheduled Weekly Hours
37.5
Benefits Eligible
Yes
Drug Test Required
No
Health Screen Required
No
Motor Vehicle Record Inquiry Required
No
Posting Date
2019-10-03-07:00
Remove from Posting On or Before
2020-04-03-07:00"
3,Software Engineer,"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,"
You love tackling really tough problems, and value the correct solution over a sloppy one
You have a passion for software development, with side projects to prove it
You understand test-driven-development, and you’re a capable debugger
You’re comfortable reading & writing code, and can describe what each part of the code is doing
You’re passionate about our mission to democratize financial advice
You have a BS or MS in Computer Science, related field (Electrical Engineering, Computer Engineering, Math/Physics, Software Engineering, Mechatronics Engineering), or equivalent professional experience
","ABOUT US
NextCapital is the leader in enterprise digital advice. NextCapital partners with world-class institutions to deliver personalized planning and managed accounts to individual investors, whether they’re saving for retirement in a 401(k) or IRA or investing in a taxable brokerage account. Our open-architecture digital advice solution provides better outcomes for our partners and individual investors by offering integrated account aggregation, analytics, planning and portfolio management, and customizable advice methodology and fiduciary roles.

JOIN OUR TEAM
We're looking for talented and highly motivated software engineers to join our team. As a growth stage technology company, NextCapital is seeking developers eager to be part of a team, working closely with every part of the company from graphic designers to the executive team. Learn more about us at www.themuse.com/companies/nextcapital
WHAT YOU’LL DO
Write high quality, well-tested, and scalable code
Evaluate the short- and long-term implications of every implementation decision
Learn from accomplished developers through pair coding and take your dev chops to the next level
Make an immediate impact by quickly getting up to speed and building features from start to finish
Requirements
WHO WE’RE LOOKING FOR
You love tackling really tough problems, and value the correct solution over a sloppy one
You have a passion for software development, with side projects to prove it
You understand test-driven-development, and you’re a capable debugger
You’re comfortable reading & writing code, and can describe what each part of the code is doing
You’re passionate about our mission to democratize financial advice
You have a BS or MS in Computer Science, related field (Electrical Engineering, Computer Engineering, Math/Physics, Software Engineering, Mechatronics Engineering), or equivalent professional experience

OUR TOOL KIT
We believe in using the best tool for the job, and also relying on the strengths of our team. While most engineers lean toward front- or back-end development, we encourage full-stack learning which makes our team nimble enough to tackle the diverse set of challenges we face. Here are the key technologies that we use everyday:
Ruby on Rails
Javascript
HTML/CSS
AngularJS
Java
Git/Github
React
Benefits
WHY YOU’LL LOVE IT
Disrupt the financial advice industry by bringing affordable, easy to use financial tools to millions of people
Enjoy a laid back work environment & learn from FinTech’s best & brightest
Receive great benefits like stock options, 401(k) match, and employer contributions to health, dental and vision coverage
Join a fast growing company where you can have a real impact on the company's future
Participate in company-sponsored cornhole leagues, company outings, wine tastings, fantasy football leagues, hackathons and other fun events
Enjoy a newly built out office on Michigan Avenue with a view of Millennium Park and Lake Michigan.
Sip locally roasted coffee, kombucha, or craft beer at your modular sitting/standing desk
Participate in women in tech events and service days at local organizations
Enjoy monthly, company wide, guided meditation sessions"
4,Senior Software Engineer,"Chicago, IL 60603",Chicago,IL,60603,None Found,None Found,None Found,None Found,None Found,None Found,"As an experienced member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You’ll work in a collaborative, trusting, thought-provoking environment—one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.
This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Expertise in application, data and infrastructure architecture disciplines
Advanced knowledge of architecture, design across all systems
Proficiency in multiple modern programming languages Java, Spring, Python, Kafka, Gemfire
Knowledge of industry wide technology trends and best practices
Keen understanding of financial control and budget management
Ability to work in large, collaborative teams to achieve organizational goals, and passionate about building an innovative culture
Strong understanding of techniques such as Continuous Integration, Continuous Delivery, Test Driven Development, Cloud Development, application resiliency and security

Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. The Corporate & Investment Bank provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech organizations. In our global technology centers, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $11B annual investment in technology enables us to hire people to create innovative solutions that are transforming the financial services industry.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you."
5,"SOFTWARE ENGINEER, APPS","Chicago, IL 60654",Chicago,IL,60654,None Found,None Found,None Found,None Found,None Found,None Found,"We are looking for amazing people diverse in thought, perspective, and culture to join our team. We check our egos at the door, roll up our sleeves, work hard, move fast, and support each other. If that sounds like fun to you, please apply!

ABOUT THE ROLE

We are looking for a Software Engineer, specializing in single-page applications and web development. You will join our team of talented engineers to build out our self-serve real-time bidding platform and help our customers execute complex advertising campaigns.

ABOUT THE PRODUCT AND ENGINEERING TEAM

At Centro, we’ve always been about making people’s lives better—from our employees to our clients. Today, we’re building a unified platform to execute every digital media advertising transaction, thus providing a new level of automation and intelligence in ad tech. This is an enormous task that will disrupt an industry and improve the lives of those who work within it.

To do this, we’re aggressively growing our team of engineers, product developers and designers. We are imaginative, passionate, determined and relentless in our efforts. Of course, we are fascinated by the complexity of engineering problems at this scale—it’s what brings bright minds together. But what keeps us coming back (and why we love coming to work every day) is the chance to improve how work gets done: freeing up people’s time so that they can dream bigger and make life better.

Come build something amazing with us.
CORE RESPONSIBILITIES
Collaborate with developers, designers, product managers, and testers to build great solutions to complex digital advertising problems.
Work on projects spanning our entire stack, including our React UI, Rails middle-tier, Java services, databases, caches, and external API.
Participate in a collaborative software development process. Lend and receive feedback on RFCs and pull requests.
Build and extend Centro’s culture of growth and self-improvement. We expand our skills with lightning talks, lunch and learns, book clubs, and the occasional fun programming exercise.
QUALIFICATIONS
You have 3-5 years of hands-on web application experience.
2 years or more of professional software experience.
Experience with the modern web software stack. Our application is primarily built with React, Ruby on Rails, and is hosted on AWS.
You should have a good grasp of relational databases and how to tune a database-backed application for performance and scalability.
Knowledge and fluency in the tools used to build and maintain software: Git, Unix/Linux environments, and automated testing tools.
Enthusiastic growth-oriented mindset. Our team places high value on design feedback and code review. Our developers are always striving to improve their skills.
Centro is an Equal Opportunity Employer. We respect and support an inclusive workplace diverse in thought, perspective and culture. We celebrate all team members regardless of gender/identity, sexual orientation, race or cultural background, religion, physical disability and age. We are better together."
6,Software Engineer,"Chicago, IL",Chicago,IL,None Found,None Found,"A deep passion for technology and software development
Proficiency within one or more programming languages including C, C++, Python, R, C# or JavaScript
Experience with some of the following: Distributed Computing, Natural Language Processing, Machine Learning, Platform Development, Networking, System Design, and/or Web Development
Bachelor’s, Master’s or PhD degree in Computer Science or equivalent experience
Strong written and verbal communications skills
","A deep passion for technology and software development
Proficiency within one or more programming languages including C, C++, Python, R, C# or JavaScript
Experience with some of the following: Distributed Computing, Natural Language Processing, Machine Learning, Platform Development, Networking, System Design, and/or Web Development
Bachelor’s, Master’s or PhD degree in Computer Science or equivalent experience
Strong written and verbal communications skills
",None Found,None Found,None Found,"Job Description
Role Summary
At Citadel Securities, a leading global market maker, our team of Software Engineers create next generation software solutions to support business areas across the firm. Software Engineers work closely with business leaders to develop and deliver custom software solutions that optimize performance and efficiency.
Opportunities available in Chicago, New York, London
Objectives
Design, develop, test, and deploy elegant software solutions across the firm
Partner with business leaders to define priorities and deliver custom solutions
Skills and Preferred Qualifications
A deep passion for technology and software development
Proficiency within one or more programming languages including C, C++, Python, R, C# or JavaScript
Experience with some of the following: Distributed Computing, Natural Language Processing, Machine Learning, Platform Development, Networking, System Design, and/or Web Development
Bachelor’s, Master’s or PhD degree in Computer Science or equivalent experience
Strong written and verbal communications skills
About Citadel Securities
Citadel Securities is a leading global market maker across a broad array of fixed income and equity securities. Our world-class capabilities position us to meet the liquidity demands of our diverse group of institutional clients in all market conditions. In partnering with us, our clients, including asset managers, banks, broker-dealers, hedge funds, government agencies and public pension programs are able to gain a powerful trading advantage and are better positioned to meet their investment goals.

The team makes its mark every day from our offices around the world: Chicago, New York, London, Hong Kong, Toronto, Shanghai, Sydney, Dublin."
7,Software Engineer - Machine Learning,"Rolling Meadows, IL",Rolling Meadows,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Atrium (35004), United States of America, Rolling Meadows, Illinois

At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Software Engineer - Machine Learning

Are you a high-performing software engineer passionate about building production-quality applications,
working closely with domain experts and other engineers to deploy and support cutting-edge machine
learning algorithms? We experiment and innovate leveraging the latest technologies, engineer
breakthrough customer experiences, and bring simplicity and humanity to banking. At Capital One’s
Card Machine Learning team, you'll be part of an elite team setting the example for machine learning by
building enterprise-class applications that solve real problems and meet real customer needs.

As a Software Engineer, you will build, deploy and manage software solutions as part of a team that
leverages machine learning solutions to address unique and complex problems in the financial services
industry. Capital One leverages full stack technology solutions including streaming big data, state of the
art machine learning, micro-service architecture, distributed computation engines, and intuitive
visualizations in the cloud. We work with several cutting-edge technologies and actively develop and
contribute to the open source community. You will work alongside highly technical peers with deep
domain expertise, from fraud detection to sophisticated NLP.

Who you are:
You yearn to be part of cutting edge, high profile projects and are motivated by delivering world-class solutions on an aggressive schedule

You have built full stack systems (preferably architected for speed and distributed computing), with demonstrated experience in software engineering.

You embrace DevOps principles, including continuous delivery and ongoing support of production applications

You love to learn new technologies, keep abreast of the latest technologies within cloud architecture, and drive your organization to adapt to emerging best practices

It would be awesome if you have a robust portfolio on Github and/or open source contributions you are proud to share

Basic Qualifications:
Bachelor’s Degree

At least 3 years of experience with one of the following programming languages: Python, Java, Scala

At least 1 year of experience with AWS

Preferred Qualifications:
At least 3 years of experience delivering applications from architectural design to production implementation

At least 3 years of hands-on experience in deploying scalable, distributed systems or multi-node database paradigms.

At least 3 years of experience with cloud software design, containerized micro-services & distributed caching

Experience building and supporting batch or real-time data processes with technologies including Airflow, Kafka, Spark

At this time, Capital One will not sponsor a new applicant for employment authorization for this position."
8,Software Engineer,"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Avant is a high growth financial technology company, dedicated to lowering the barriers of borrowing for all consumers. Since 2012, Avant has secured more than $4 billion in funding and connected customers to over $5 billion through 800,000 transactions and counting. Through big data and machine learning, Avant’s mission is to provide better access to responsible financial products. Avant has been featured in The Wall Street Journal, The New York Times, TechCrunch, Fortune, Bloomberg, and has raised over $600 million of equity capital. Visit www.avant.com, for more information.
What you do at Avant:
Work with other engineers and technical product managers to write, test, and deploy your code safely and automatically to production.
We deploy multiple times a day
We work mostly in Ruby and JavaScript (Typescript, React, and Graph QL) along with some Python, R, and Elixir but many employees come from other areas.
We want strong programmers and our interview process is unbiased and language agnostic
Be a part of a strong culture of ownership, pragmatism, and testing
Contribute to tooling as well as our technology architecture and direction
We have a culture that treats engineers as both teachers and students, and encourage this by presenting weekly Lunch and Learns, hosting hackathons, and attending conferences
What you might own at Avant:
On-board several bank partners onto our white label lending platform by providing APIs and configuration
Expand our unsecured installment loan product and launch a new credit card product
Power our credit decisioning, credit pricing, fraud prevention, customer verification, and credit reports
Accounting system, process ACH and credit card payments, and enable scale on our ability to collateralize and sell loans
Create workflows and the back-end that powers internal service tools and provide external visibility to our partners
Improve the customer experience and automation on our web app and mobile app through self service
Why you are a fit for Avant:
You’re a pragmatic generalist programmer who will not only help execute, but also will provide a strong voice for technological direction of systems at Avant
You are excited about refactoring and system design as we migrate to a service-based architecture and prepare for scaling and increasing data flow
You’re entrepreneurial, self-driven, and takes pride in improving our customers’ experiences
You have strong knowledge of computer science fundamentals and coding/testing best practices
You thrive in a collaborative environment involving different stakeholders and subject matter experts and enjoys working with a diverse group of people with different expertise
You like communicating directly with business units from all over the company to ensure you understand and can best handle the pain points and the wide range of stakeholders needs
Why Avant is a fit for you:

At Avant, we believe our values make a difference:
We value, support, and help each other grow
We are committed to active inclusion and diversity
We are transparent and believe the best idea wins
We succeed when our customers succeed
We get sh!t done… responsibly
And we keep it fun!

We believe that ideas are more important than titles, everything is more fun together, everyone drives change, and everyone is an owner. While we believe the perks and benefits that we offer are terrific, nothing excites us more than having the ability to collaborate with intelligent, highly-motivated and talented people on challenging problems as we work to change the face of online lending."
9,Fullstack Software Engineer,"Chicago, IL 60603",Chicago,IL,60603,None Found,None Found,None Found,None Found,None Found,None Found,"As a member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You’ll work in a collaborative, trusting, thought-provoking environment—one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.
This role requires a wide variety of strengths and capabilities, including:
6+ years of continuous Java development experience on large/medium sized projects.
Ability for the full delivery (designing, developing, coding, testing, debugging and documenting) of applications to satisfy business requirements
Proficient in full stack developer having experience creating REST based services on Java/Spring/Spring Boot, UI development using Angular/React
Experience with Cloud deployments using Containers is a strong plus.
Application Design and Design Patterns are important, including micro service and cloud design patterns
Strong familiarity with design patterns, micro services
Hands on Experience in Restful Architecture , development and API development
Experience with CI/CD tools like Jenkins, Version Control tools (BitBucket, Git)Experience with MAVEN, JIRA, GIT and CI Tools and Messaging
Experience working in an Agile Development environment and is able to contribute/facilitate in all Agile ceremonies.
Understanding of software skills such as business analysis, development, maintenance and software improvement
Experience in databases with Relational Databases including DML, DDL, and PL/SQL preferred
Advanced knowledge of application, data and infrastructure architecture disciplines
Bachelor’s degree in Computer Science, Information Technology, Computer Engineering or a related field
Ability to collaborate with high-performing teams and individuals throughout the firm to accomplish common goal
Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech companies. In 20 technology centers worldwide, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $10B+ annual investment in technology enables us to hire people to create innovative solutions that will are transforming the financial services industry.
At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you."
