,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Software Engineer,"Sunnyvale, CA",Sunnyvale,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"A³ by Airbus is the Silicon Valley outpost of Airbus. The mission of Airbus is to make things fly. Our job at A3 is very simple: we seek to disrupt Airbus (and the competition) before anyone else can. And in the process, we are setting out to build the future of flight.

At A³, we execute projects and foster partnerships. Projects are ambitious, risky, time-constrained undertakings that culminate in a demonstration at convincing scale—something that's more than a mere prototype, but somewhat short of a product. One project is focused on advanced digital design and manufacturing processes and tools.

Your role as a Software Engineer will be to assist the Engineering Leads in executing a work package for an A³ project with a focus on speed, quality, and cost. You will need to understand the analytic framework and business case the project is based on and advocate it within groups internal to and external to the project. You will need to be comfortable using supplied data to make informed decisions regarding implementation of software use cases and be comfortable working in an agile work environment, where quick delivery, constant testing, and iteration are the norm. As our projects are ""out-of-the-box"" by design, you will be expected to seek, investigate, and implement creative solutions to challenges and obstacles that emerge. You will use your knowledge and talent as a Software Engineer to implement the software to demonstrate the project's analytic framework.

To get specific, your responsibilities will include:

Develop, document and maintain architectures, requirements, algorithms, interfaces and designs for software systems.
Develop tools and processes to demonstrate the program analytic framework
Contribute from a security and software engineering perspective during design of software systems
Development of code and integration of complex software components into a fully functional system
Creation of software verification plans, test procedures, and test environments, executing test procedures, and documenting the results to ensure software requirements are met
Participation in code and architecture reviews as required
Development of documentation for software written
Aggressively pursue program-specific tasks and issues identified by the Engineering Leads, Project Executive

We expect that you will have:

An undergraduate degree in a technical field and at least 3 years of progressively ambitious work experience and a demonstrated track record in Software Engineering and Testing.
Strong Java or Python development experience
Strong knowledge of web services (JAX, REST) and transfer protocols (HTTP, FTP, SOAP)
Experience in creation of web-accessible Application Programming Interfaces
Experience in creating web services from monolithic applications.
Experience with database design and implementation, more specifically with PostgreSQL
Excellent communication, presenting issues and ideas in a simplified form focusing on importance

In addition, the following skills and qualifications will be an advantage:


Experience in Manufacturing Process Modeling
Software development experience in a production environment
Passion for increasing the productivity of engineering teams
Ability to work under pressure to meet sometimes aggressive deadlines

To succeed in this position, you need to be willing to work with a flexible schedule including travel.

By the way, you might be interested to know that we offer a killer benefits package as well as a flight training benefit, just in case you don't already have your pilot's license!

A³ by Airbus is an equal opportunity employer in every category. The data is incontrovertible that diversity leads to better teams, better performance, and better results. Consequently, we actively seek candidates of all genders, backgrounds, and experiences."
1,Back End Software Engineer,"Sunnyvale, CA 94089",Sunnyvale,CA,94089,None Found,None Found,None Found,None Found,None Found,None Found,"It's fun to work in a company where people truly BELIEVE in what they're doing!
We're committed to bringing passion and customer focus to the business.
The Role
As a back-end software engineer on the Digital Risk and Compliance team, you will be focused on the back-end systems that power our industry leading products focused on Social, Mobile and Web security and compliance. These highly sophisticated systems are responsible for protecting the social channels of some of the largest brands in the world, as well as monitoring the mobile and web presences of many of those same brands.
You will be responsible for fixing bugs and developing tools within our back-end infrastructure. You will also be contributing to new features as you grow into our team and become a core contributor.
Your day-to-day
Investigating issues and developing fixes where appropriate.
Working within the engineering team as a whole to understand our system and help build for scale.
Working within the engineering team to build out test infrastructure.
What you bring to the team
When it comes to hiring, we value attitude and aptitude over number of years of experience with any specific tool or technology. We assume you know how to code; we’re much more interested in how you design and deliver. Having said that, we are generally looking for the following skills and experience
At least 1 year of demonstrated experience delivering code into production cloud applications in a team environment
Production experience with at least one interpreted language like Ruby, Perl, PHP or Python
Solid understanding of the architecture of database-backed web applications, including web process architectures, threading, ORMs
An innate desire to work on difficult problems and learn new systems
Basic understanding of system administration in a Linux, Apache, MySQL environment
Basic understanding of MySQL and relational databases
#LI-KE1
If you like wild growth and working with happy, enthusiastic over-achievers, you'll enjoy your career with us!"
2,Software Engineer I,"Sunnyvale, CA",Sunnyvale,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"As Verizon’s media unit, our brands like Yahoo, TechCrunch and HuffPost help people stay informed and entertained, communicate and transact, while creating new ways for advertisers and partners to connect. With technologies like XR, AI, machine-learning, and 5G, we’re transforming media for tomorrow, too. We're creators and coders, dreamers and doers creating what's next in content, advertising and technology.
About Oath
Oath is focused on making the world's daily habits inspiring, educational and entertaining. By creating highly contextual and personalized experiences for our users, we keep people connected to what matters most to them, across devices, wherever they are. In turn, we create value for advertisers by connecting them with the audiences that build their businesses. Oath was created in 2017 out of the merger of Yahoo and AOL and serves our worldwide audience from our offices all over the world.
A Little About Our Team
Our engineering team is focused on serving news and media content for our users of our brands from the Yahoo Homepage to Yahoo Sports, Yahoo Finance, AOL.com, HuffPost, Engadget, TechCrunch and more, impacting a billion plus users around the world. Our team is part of the backbone for these experiences serving the right set of content to meet the needs of the properties and the users. By leveraging our team’s large scale data processing, low latency serving and machine learning solutions and experience our service selects the right content that informs and engages our users.
What We Are Looking For
We are looking for great back-end Software Developers to join our development team to build our exciting next-generation news recommendation system. If you are excited about large scale backend development lifecycles from design to deployment, learning new technologies and applying ML to solve challenging problems, this is the place for you. Here you will learn and gain hands-on experience while working on projects that have a significant impact on the success of our brands and Oath as a whole.
Your Day
Design, develop, code and test software systems to enhance current products and implement new features
Participate in agile software development, create schedules, write design specifications and documentation, test and provide continuous support for our systems
Actively participate in discussions to improve processes and procedures and contribute to best practices
Promote and solicit new ideas within our teams and with our partners
Maintain existing systems to guarantee uptime of our systems
You Must Have
A BS, MS, or PhD in Computer Science or related major
Deep knowledge in software engineering processes, tools, programming languages (preferably Java), algorithms and data structure
Strong understanding of object-oriented programming concepts, networking and distributed systems, and UNIX/Linux environments
Great communication skills and ability to work and collaborate with people in our team as well as across teams
Ability to lead a small team of engineers to design and execute a project from start to end
Experience in one or more of the following is a plus:
Big data processing and distributed data storage experience (Grid, Hadoop, Storm, HDFS, Hive, etc.)
Data mining, machine learning, AI, statistics, information retrieval, linguistic analysis
Security
Verizon Media is proud to be an equal opportunity workplace. All qualified applicants will receive consideration for employment without regard to, and will not be discriminated against based on age, race, gender, color, religion, national origin, sexual orientation, gender identity, veteran status, disability or any other protected category. Verizon Media is dedicated to providing an accessible environment for all candidates during the application process and for employees during their employment. If you need accessibility assistance and/or a reasonable accommodation due to a disability, please email ApplicantAccommodation@verizonmedia.com or call 408-336-1409. Emails/calls received for non-disability related issues, such as following up on an application, will not receive a response.
Currently work for Verizon Media? Please apply on our internal career site."
3,"Software Engineer, Ad Platforms","Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Oct 3, 2019
Weekly Hours: 40
Role Number: 200103420
At Apple, we work every day to create products that enrich people’s lives. Our Advertising Platforms group makes it possible for people around the world to easily access informative and imaginative content on their devices while helping publishers and developers promote and monetize their work. Today, our technology and services power advertising in Search Ads in App Store and Apple News. Our platforms are highly-performant, deployed at scale, and setting new standards for enabling effective advertising while protecting user privacy.
The Core Services Platform team designs and builds best of breed systems for dealing with our complex and ever-growing data and infrastructure platform needs that help run campaigns and deliver advertising content deliver advertising data to Ad Server and Big Data pipelines. The team is directly responsible for systems that are used by thousands of advertisers, publishers and developers and has high visibility in the mobile advertising space.
Key Qualifications
5 or more years of industry experience building scalable micro services and data driven platforms.
You have experience in crafting and implementing resilient and scalable RESTful APIs.
Expertise in object oriented software development with a deep understanding of scalable distributed systems like Cassandra, Solr, Kafka, spark and/or Hadoop.
Experience building and scaling systems both on premise and the cloud. Experience architecting for a hybrid cloud environment is highly desired.
Strong technical leadership skill, proven experience architecting, developing and deploying internet-scale, distributed and critical services.
Experience working on complex problems and systems where scalability and performance are very important (every millisecond counts).
Strong problem solving and debugging skills are required.
Ability to communicate effectively, both written and verbal, with technical and non-technical multi-functional teams.
Results oriented and deadline driven
A desire to work in a fast-paced and challenging work environment
Prior experience in advertising industry is a huge plus.
Description
Core Services team is the backbone of Apple’s ad platforms, driving the external API’s for advertising and campaign management and the metadata that drives the relevance engine. As a key contributor to this team, you will design and develop secure and scalable back-end systems that deliver key business data to ad servers and big data pipelines. You will build and maintain interfaces used by both internal systems and thousands of developers and advertisers worldwide. You are self-motivated, have excellent design instincts, and enjoy working cross-functionally. You will enjoy high-performing, elegant systems from the ground up, in close partnerships with various teams around you. You will also possess keen judgement in selecting technologies and building the right solution for the interesting challenges we get to tackle here.
Education & Experience
Bachelor's degree in Computer Science or equivalent is required Master's degree preferred"
4,Photos - App and User Experience Software Engineer,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Aug 2, 2019
Weekly Hours: 40
Role Number: 200085013
iPhone is the most popular camera in the world. The flawless integration of software and hardware has led to features like Memories and Portrait Mode which deliver experiences that are magical. The Photos team focuses on user-experience by using computer vision and image processing through machine learning. Our team works hard on products that ship to millions of people. We are looking for people who want to do the same.
The Photos team is looking for a software engineer to join us in building exciting new features for finding your photos through search, location, and person discovery.
Key Qualifications
Proven programming fundamentals and knowledge of object-oriented programming
Have built projects using Objective-C or Swift and experience with iOS, macOS, and/or tvOS SDKs
Good sense of UI design and a passion to focus on every detail, large and small
Excels at solving and debugging hard problems
Enjoys working with, learning from, and mentoring teammates from different disciplines and backgrounds
Description
Our team builds the Search, People, and Places features inside Photos on iOS and macOS. We’re looking for an engineer who is excited to use new technologies to help customers find the photos they care about in simple and fun ways. These features touch the lives of millions of customers and we work closely with design, computer vision, and machine learning teams to build them!
Education & Experience
Bachelor Degree in Computer Science or equivalent
Additional Requirements
A passion to work with (or experience demonstrating) machine learning and computer vision to develop phenomenal new user experiences"
5,Software Engineer Intern,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,"
Get familiar with Sage Intacct coding standards and processes
Building and maintaining PHP components
Create and use automated unit tests
Collaborate with senior engineers to approach problems and find technical solutions
Achieve understanding of the Sage Intacct product and platform.",None Found,"
Current college student pursuing a master’s degree in computer science or equivalent","We are seeking current master’s students pursuing a degree in a computer science from France for a 1-year internship as a Software Engineer Intern.
The Software Engineer Intern will work with Sage Intacct Engineers on the Software as a Service platform. We’re looking for the brightest technical talent with good programming skills. You’ll work alongside the best engineering talent in the industry. As an intern at Sage Intacct you have the opportunity to participate in various stages of the development cycle of a software product - analysis, design, development, testing with involvement in the backend and frontend side of the product. You need to be dynamic, collaborative, and curious as we build new experiences, improve existing products, and develop world’s best financial management system at a scale.
Responsibilities:
Get familiar with Sage Intacct coding standards and processes
Building and maintaining PHP components
Create and use automated unit tests
Collaborate with senior engineers to approach problems and find technical solutions
Achieve understanding of the Sage Intacct product and platform.
Requirements:
Current college student pursuing a master’s degree in computer science or equivalent
Knowledge of OOP – C++, Java, PHP or other related language
Familiar with SQL, HTML, JavaScript, CSS
Ability to demonstrate strategic thinking
Extensive problem solving and analytical skills
Experience with relevant applications, such as Web and/or Accounting would be a plus.
Other:
Full-Time (up to 40 hours per week), Temporary (1 year)"
6,"Payments Software Engineer, Apple Pay","Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Oct 22, 2018
Weekly Hours: 40
Role Number: 200000355
Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
Do you want to build state of the art systems used by millions of users every day? Apple Pay Payments Engineering is the place to be if you are passionate about working on awesome technology that impacts our millions of users daily. As part of the Apple Pay Server Engineering team, you will have the opportunity to explore and contribute to a wide variety of interesting projects. We would love to hear from you if you're enthusiastic, highly-motivated, and want to make an impact! Be a part of an innovative impactful team making a difference.
Key Qualifications
Minimum 7+ years of exceptional Java programming experience
Experience/Knowledge working on highly scalable applications and RESTful web services
Knowledge of databases both SQL and NoSQL and entity relationship modeling
Familiarity with scalability and performance issues
Strong Computer Science background
Interest in payment industry
Experience/understanding of security and cryptography (not mandatory)
Description
This position is for a Senior Software Engineer within the Apple Pay Payments Engineering team. You will be highly self-motivated and passionate about the challenges of building large scale systems and features used by hundreds of millions of users. You should be a collaborative teammate and have excellent communication and presentation skills.
Responsibilities of the position include the following:
Responsible for designing and developing highly reliable, scalable server platforms with attention to detail
Drive independently a project from inception to production deployment with a strong focus on performance and robustness
Follow our software development process including writing unit tests, perform code reviews etc.
Ability to learn and apply new technologies quickly
Work effectively with cross-functional teams to develop features
Provide support for production deployments
Demonstrate ability to deliver results on time with high quality
Education & Experience
BS in Computer Science or equivalent, MS preferred."
7,Accessibility Software Engineer - MacOS,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Mar 20, 2019
Weekly Hours: 40
Role Number: 200046177
At Apple we believe technology is most powerful when it empowers everyone. With this mind-set, new ideas have a way of becoming extraordinary products, services, and customer experiences - very quickly.
Are you interested in making the world a better place? Do you want to be a linchpin for Apple’s most influential products? Do you want to solve meaningful problems? Imagine what you could do here. Bring passion and dedication to your job, and there's no telling what you will accomplish and how many you will empower.
 Our team, MacOS Accessibility Software Engineering, is looking for a talented Software Engineer who can contribute directly to our runtime infrastructure. This position requires a highly creative and self-motivated individual, capable of communicating with and giving feedback to others in a range of roles across software engineering and beyond. Iteration and innovation are core values on our team. You should relish change, and be prepared to question commonly established practices, with the desire to create the best possible experience to enrich the lives of Accessibility users, both current and future.
Key Qualifications
Strong programmer with experience in C, Objective-C, C++, or Swift.
Expert in Object Oriented programming languages.
Demonstrated ability for creative and critical thinking.
Ability to write quality code and ship quality products.
Proven record of managing several concurrent projects.
You have excellent judgment and integrity with the ability to make timely and sound decisions.
Ability to quickly learn and adapt to existing source code.
Strong design and analytical skills.
You are upbeat, adaptable, and results oriented with a positive attitude.
Excellent writing and interpersonal skills.
Driven to ship products that surprise and delight.
You bring passion and dedication to your job and are committed to our vision and supporting the accessibility community.
Description
As an engineer on the Accessibility Engineering team, you will be contributing to Apple's award-winning accessibility features, such as VoiceOver, Switch Control and System Zoom. You will also be creating innovative new solutions to deliver the best possible experience to users with disabilities along with providing essential support to mainstream features that rely on accessibility.
While critical thinking and the ability to innovate are requirements for this position, no previous experience designing for users with disabilities is required. You must be comfortable with rapidly evolving designs and requirements, and have excellent interpersonal skills. Throughout the process, you will work collaboratively with our world-class team of engineers, partner with designers, and coordinate with other teams at Apple including MacOS Application teams, other MacOS Framework teams, and many other hardware and software engineering teams across Apple's entire product line.
Education & Experience
Bachelor of Science in Computer Science, or equivalent experience.
Additional Requirements
Expertise in the following areas is a plus but NOT required:Experience with voice related technologyExperience with accessibilityStrong visual design and UI skillsStrong API design knowledgeStrong Cocoa development skills"
8,"Software Engineer , AMP Videos","Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Oct 31, 2018
Role Number: 200006620
At Apple, we work every day to create products that enrich people’s lives. Our Videos group makes it possible for people around the world to easily access content from multiple video providers on their devices while helping those video providers promote and monetize their work. The Videos group develops leading video contents apps on the iOS and tvOS platforms including but not limited to the TV.app, iTunes Movies, and iTunes TV Shows. Our group also integrates at the OS level to support video related features in Siri, Spotlight, and Sign Sign-On services. The group is looking for a talented software engineer to help design and develop new features on our platforms.
Key Qualifications
You’ve built projects using Objective-C/Swift, UIKit, and the iOS or tvOS SDKs
You’ve deep understanding of object oriented design, memory management, and performance optimization
You’ve had to deal with debugging performance problems, and you’re comfortable rooting out performance bottle-necks.
You have experience writing multi-threaded, asynchronous code. If you haven’t used GCD, you can learn it here. If you have, we’d like to hear from you.
You enjoy paying attention to details almost as much as the big technical wins. You've proven record of completing projects on-time and to specification
You’re used to communicating with a diverse team, with both experts and novices, in technical and non-technical roles.
Nice to have: You have familiarity with popular JavaScript tools, frameworks and design principals, and enjoy staying up to date with the changing JavaScript ecosystem landscape.
Description
We are seeking a high-energy and motivated software engineer who will play a central role in the delivery of video content. As a member of our dynamic group, you will have the unusual and rewarding opportunity to be part of a strategic project that crafts existing and upcoming products that will delight and inspire millions of Apple’s customers every day. Ideal candidates are well-versed in development standard methodologies, comfortable working in large code bases, can create tools and frameworks, and can balance multiple projects and deliverables.
Education & Experience
BS CS/CE/EE or equivalent experience"
9,Software QA Engineer III,"Sunnyvale, CA 94087",Sunnyvale,CA,94087,None Found,"Walmart e-Commerce is building next generation supply chain system to help customers save money, save time and live better.This position is for Customer order management system.Your responsibility is to build/participate on automation framework using Java, TestNG and any other equivalent frameworkCandidate must have very good problem solving skill",None Found,None Found,None Found,None Found,"Position Description

Demonstrates up-to-date expertise in software quality assurance and applies this to the development, execution, and improvement of action plans
Develops software quality assurance (SQA) test plans for assigned projects
Files, verifies, and resolves defect tickets
Models compliance with company policies and procedures and supports company mission, values, and standards of ethics and integrity
Performs quality assurance testing for medium to large-scale, eCommerce Web applications, tools, and software
Provides and supports the implementation of business solutions
Serves as a training resource to SQA Engineers I & II

Minimum Qualifications
Candidate having prior automation experience is a plus
Additional Preferred Qualifications
Please add text
Company Summary
The Walmart eCommerce team is rapidly innovating to evolve and define the future state of shopping. As the world’s largest retailer, we are on a mission to help people save money and live better. With the help of some of the brightest minds in technology, merchandising, marketing, supply chain, talent and more, we are reimagining the intersection of digital and physical shopping to help achieve that mission.
Position Summary
Walmart e-Commerce is building next generation supply chain system to help customers save money, save time and live better.This position is for Customer order management system.Your responsibility is to build/participate on automation framework using Java, TestNG and any other equivalent frameworkCandidate must have very good problem solving skill"
