,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,C# Software Engineer,"Allen, TX 75013",Allen,TX,75013,None Found,None Found,None Found,None Found,None Found,None Found,"Symitar, a Jack Henry & Associates brand, is currently looking for a C# Software Engineer to join our Symitar Solutions team. This role will participate in the technical design and implementation of new products or enhancements. As a C# / MVC developer with Symitar Solutions, you will be involved in all phases of the development cycle: concept, technical design, prototype, code development, testing, release to QA and implementation. This role is available either in Allen, TX or remote in Florida..
MINIMUM QUALIFICATIONS:
Minimum of 5 years of C# Software Development experience.
Minimum of 2 years MVC development experience.
3 years of SQL experience.
PREFERRED QUALIFICATIONS:
Experience producing Object-Oriented designs for a multi-tier application, including thin client.
Experience with MVC, Javascript and AngularJS.
Experience developing Restful API’s
Strong UX/UI experience including responsive design experience.
Development experience from analysis through writing the installation programs.
Ability to demonstrate strong skills in the following areas:
Software design and implementation
Analysis and design at multiple-project level
Research, analysis and problem resolution
Communication and interpersonal
Organizational and time management
Ability to create deliverables for each phase of the development cycle.
Ability to manage and prioritize multiple tasks, with minimal assistance, while remaining flexible to changing requirements.
Ability to provide task estimates including effort and cost; able to adjust these estimates as appropriate and necessary.
Microsoft and other programming/software engineering related certifications a plus and/or an active desire to pursue such certifications.
ESSENTIAL FUNCTIONS
Completes product technical design and prototyping, software development, bug verification and resolution.
Performs system analysis and programming activities which require research.
Provides technical/engineering support for new and existing applications from code delivery until the retirement of the application.
Provides reasonable task and project cost/effort estimates.
Ensures timely, effective, and quality delivery of software into production.
Develops and tests applications based on business requirements and industry best practices.
Creates required technical documentation.
Adheres to documented departmental and corporate standards. May participate in the definition and documentation of standards.
Collaboratively works with QA team to ensure timely delivery of high-quality products.
Collaboratively works with customer support team to resolve or diagnose defects.
Assists in training and mentoring less experienced peers.

Equal Employment Opportunity


Applicants for U.S. based positions with Jack Henry & Associates must be legally authorized to work in the United States. Verification of employment eligibility will be required at the time of hire. Visa sponsorship is not available for this position.
Jack Henry & Associates, Inc. is an Equal Employment Opportunity/Affirmative Action Employer and maintains a Drug-Free Workplace.
Females, minorities, veterans, and individuals with disabilities are encouraged to apply."
1,SDET | Automation Engineer | Software Engineer in Test | rewardStyle + LikeToKnow.it,"Dallas, TX 75219",Dallas,TX,75219,None Found,None Found,None Found,"
Applies software quality best practices and procedures to design, influence, and drive quality and testability of software.
A passion for developing quality oriented frameworks and software, ensuring superb code quality.
Perform automated testing of new releases for customer facing applications.
Review functional and technical documentation in order to identify requirements for the creation of test plans, test cases, and test scripts.
Conduct test case reviews to ensure scenarios accurately capture business functionality.
Execute all components of product testing such as functional, regression, end-to-end testing, performance, and load testing.
",None Found,None Found,"Title: Software Engineer in Test | rewardStyle + LikeToKnow.it

AKA: Automation Engineer | SDET

Location: Dallas, Texas (Uptown Area)

Reports to: Engineering Manager

 We are searching for a Software Engineer in Test who ensures a great customer experience through the automation of quality throughout our product offerings!

About rewardStyle

Influencer marketing is a rapidly growing space at the intersection of social media, advertising, and eCommerce. As the creator of this space, rewardStyle and LIKEtoKNOW.it offer the world's premier lifestyle influencers the ability to start their own business. Our technology platform provides them the tools, strategies, and support they need. We ran more than $1B of retails sales through the rewardStyle platform in 2018 and the LIKEtoKNOW.it consumer app has more than 4M consumers connecting directly with our network of influencers.

Take a peek inside rewardStyle HQ:
https://youtu.be/U39GQ0f7UMI

Key Responsibilities and Accountabilities:

Applies software quality best practices and procedures to design, influence, and drive quality and testability of software.
A passion for developing quality oriented frameworks and software, ensuring superb code quality.
Perform automated testing of new releases for customer facing applications.
Review functional and technical documentation in order to identify requirements for the creation of test plans, test cases, and test scripts.
Conduct test case reviews to ensure scenarios accurately capture business functionality.
Execute all components of product testing such as functional, regression, end-to-end testing, performance, and load testing.
Experience Desired:

Proven experience in rapid, continuous product releases (every 2-4 weeks) highly preferred.
5+ years of experience developing test automation frameworks/harnesses ( Selenium, Pytest, Cypress).
Experience testing web services (primarily REST).
Experience in writing Test Cases, Test Plans, and Test Scripts
Work Management/Communication:

In-depth knowledge of Agile/Scrum work management, and as well as more traditional strategic project planning methodologies and best practices.
Exceptional in communicating complex ideas so they can be easily understood by all levels of the organization, as well as key stakeholders and investors.
Must work well under pressure, be sensitive to deadlines, be able to interact in a team environment, be able to adapt quickly to change, and possess good customer service skills.
____

We are not offering sponsorships opportunities at this time for persons requiring employment visas, such as an H-1B; authorization to work in the U.S. is a precondition of employment.

Any unsolicited resumes/candidate profiles submitted through our website or to personal email accounts of employees of rewardStyle are considered property of rewardStyle and are not subject to payment of agency fees"
2,Engineer Intern (BI and Data Engineering),"Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Dallas, TX

Who is Virgin Pulse?
Virgin Pulse, founded as part of Sir Richard Branson’s famed Virgin Group, helps organizations build employee health and wellbeing into the DNA of their corporate cultures. As the only company to deliver a powerful, mobile-first digital platform infused with live services, including coaching and biometric screenings, Virgin Pulse takes a high-tech-meets-high-touch-approach to engage employees in improving across all aspects of their health and wellbeing, every day – from prevention and building a healthy lifestyle to condition and disease management to condition reversal, all while engaging users daily in building and sustaining healthy habits and behaviors. A global leader in health and wellbeing, Virgin Pulse is committed to helping change lives and businesses around the world for good so that people and organizations can thrive, together. Today, more than 3100 organizations across the globe are using Virgin Pulse solutions to improve health, employee wellbeing and engagement, reduce costs and create strong workplace cultures.

Who are our employees?
At Virgin Pulse we’re passionate about changing lives for good. We want to make a difference in the world by helping people be healthy so they can perform at their best, every day, at work and home. Our award-winning solutions support leading employers in improving and simplifying the employee health and wellbeing journey and engaging people in all aspects of their health. But our world-class products and programs are nothing without our people – the employees who design, build, promote, sell, test and perfect the latest innovations in workplace health and wellbeing. Our people are our top priority and we invest in their health and happiness. At Virgin Pulse, we have so much more than a strong, supportive company culture – have a shared vision for a healthier, happier world.
Who you are.
You are a motivated, resourceful, independent, and detail-oriented project management intern who has an interest in working on project teams and/or a career in project management. In the role of project management intern you will work closely with the project management team to develop new and/or improved platforms and processes to support multidisciplinary projects at Virgin Pulse.

In a typical day you may: In this role, you can expect to make full use of your project management and communication skills while learning new tips and tricks along the way. In a typical day you may: Attend Scrum team meetings with members locally and across the world Track progress, create and communicate status reports, and make recommendations for improvement Collaborate with other functional groups like design, product, technical implementation as well as our global engineering teams Work with Engineering Project Manager(s) to improve collaboration and use of best practices across the organization Work on a product that changes people’s lives Have fun while doing all the above

Our technology.
Our next generation SAAS platform is using an exciting mixture of technologies: Large scale, highly available, public-facing websites built in React/Angular/Angular2 and leveraging tools like Puppet, Pug, Grunt and NPM to make things automated and repeatable. Our Java/Scala/Kotlin-based REST API is built on Spring Boot and Hibernate which serves traffic to both web and mobile consumers. We’re using a combination of Mongo, MySQL, PostgreSQL, Cassandra and Redis. Redis, specifically, is used extensively in a distributed locking system, responsible for supporting real-time data processing. All of this uses Amazon Web Services extensively for stability and high availability.

We practice Continuous Integration and Continuous Delivery using TeamCity; as a result we have continual smaller releases to our environments (Development, QA, Staging, Production), with integrated unit tests and code coverage analysis while eliminating the risk taken on with only a few large releases/product updates.
Your positivity and passion for learning and applying project management methodologies will make you successful in this position.

What you bring to the team.
In order to represent the best of what we have to offer you come to us with a multitude of positive attributes including:
 Currently working on a B.A/B.S. in Information Technology, Computer Science, or equivalent Self-motivated, creative and detail oriented Ability to work independently and as a team Willingness to learn Actively experimenting with new project management methodologies and toolsets Excellent verbal and written communication skills Knowledge of Agile Scrum of Kanban methodologies

What makes you stand out.
Major BI tool such as Tableau or PowerBI
SQL experience
Python experience
Experience with one or more non-relational database (Vertica, MongoDB, Cassandra, etc)
Experience with Jira and Git
Security Competencies:
Work to ensure system and data security is maintained at a high standard, ensuring the confidentiality, integrity and availability of the Virgin Pulse application is not compromised. Ensure industry best practice coding standards are adhered to in particular ensure all code developed at Virgin Pulse is free from bugs and security vulnerabilities, such as those defined and published by OWASP.
Why work here?
We believe a career should provide competitive pay and benefits, a collaborative and supportive work environment, strong employee culture and cutting-edge technology and services — so many reasons to love it here.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to any protected class status."
3,Software Engineer - Software Services / Backend Developer,"Dallas, TX 75215",Dallas,TX,75215,None Found,None Found,"3 Plus years of software development experience
Strong grasp of Computer Science fundamentals including concurrency, performance optimization and reusability
Familiarity with and interest in mathematical concepts, principles and techniques
Systems programming experience including providing services to other software (e.g. operating systems, computational science applications, industrial automation and SaaS applications)
Proficiency in Java programming language and its ecosystem of libraries and tools
Deep knowledge of and experience with the Java VM, covering its strengths and weaknesses
Comfortable with databases and SQL, experience with geo-distributed database architecture a plus.
Familiarity with security principles, cryptographic tools and libraries
Familiarity with high-performance architectural systems and design patterns
Experience in developing libraries and platforms for use and deployment by application developers
Strong engineering principles and processes aimed at developing simple, modular and high-quality code
Familiarity with test-driven software development processes and continuous integration tools and systems
Experience with blockchain (e.g., Bitcoin or Ethereum) and distributed applications is a big plus
Bachelor's degree in Computer Science or similar field, or equivalent work experience",None Found,None Found,None Found,"About Hedera Hashgraph:


We are a fast-growing company built around a revolutionary technology the Hashgraph consensus algorithm. Hedera Hashgraph is well-suited to become the world's first mass-adopted distributed public ledger because it is blazing fast, highly secure and ensures fairness. We are on a mission to create a trusted and empowered digital future for everyone; a cyberspace where you work, play, buy, sell, create, and engage socially; where you have safety and privacy in your digital communities; where you feel confident when interacting with others; where you own and control your information.


Hedera is ambitious and fast-paced. We balance our enthusiasm with a measured approach to risk, and are well capitalized having raised over $100-million. Today, our team consists of more than 60 talented individuals, including many of the best minds in the industry. We are proud of our high-quality culture, dedicated to our values of integrity, ethics, service, excellence and teamwork.


We are looking to hire effective, collegial and hard-working people to help achieve our vision. Join us and say, ""Hello future.""


About The Role:
Develop various aspects of the Hedera Hashgraph Platform
Implement and enhance the crypto, smart contract and file services
Develop sample applications to demonstrate value and strength of the platform. Sample applications will include web, mobile and embedded development
Be a strong and proficient hands-on programmer
Spend 80% of your time designing, coding and testing
Skills Needed:
3 Plus years of software development experience
Strong grasp of Computer Science fundamentals including concurrency, performance optimization and reusability
Familiarity with and interest in mathematical concepts, principles and techniques
Systems programming experience including providing services to other software (e.g. operating systems, computational science applications, industrial automation and SaaS applications)
Proficiency in Java programming language and its ecosystem of libraries and tools
Deep knowledge of and experience with the Java VM, covering its strengths and weaknesses
Comfortable with databases and SQL, experience with geo-distributed database architecture a plus.
Familiarity with security principles, cryptographic tools and libraries
Familiarity with high-performance architectural systems and design patterns
Experience in developing libraries and platforms for use and deployment by application developers
Strong engineering principles and processes aimed at developing simple, modular and high-quality code
Familiarity with test-driven software development processes and continuous integration tools and systems
Experience with blockchain (e.g., Bitcoin or Ethereum) and distributed applications is a big plus
Bachelor's degree in Computer Science or similar field, or equivalent work experience"
4,Senior Software Engineer - Ruby,"Dallas, TX",Dallas,TX,None Found,None Found,"
Experience writing efficient Ruby. Customers run our code in their production systems. In order to keep our footprint light, we are on the lookout for unnecessary object allocations and overly complex code.
Experience reading through source code for popular libraries, find out how they work, and find the best places to hook our instrumentation code into them.
Experience writing comprehensive tests.",None Found,None Found,None Found,None Found,"New Relic
Portland, Oregon (or Remote)
Your Opportunity
The Ruby Agent team is looking for a senior software engineer to help us build lightweight, dependable data collection software that our customers trust enough to put into their production applications.
We’re a small, close-knit team. We work together and are always learning.
We are excited to consider a remote engineer for this role in the Pacific Standard Time zone. If you are not in the PST zone, you must be willing to work within our normal office hours. Remote team members will be expected to work out of their home office and must have successfully worked remotely before.
What's Interesting About This Job
Our code runs inside hundreds of thousands of our customers’ applications. While we have no control over the hosts and environments our agent runs in, our customers depend on it being 100% reliable and having minimal performance impact.
Our agent needs to slip into these varied environments, into an application, and figure out where the interesting bits are. There it sits, tiny and silent, gathering timings and other data to give our customers visibility into the real performance of their apps.
We write code for the wild, and it is not easy. But we have been doing this for years, and would love to share what we’ve discovered. Ideally, you have things to teach us, too.
What You'll Do
You will help us build and maintain the Ruby Agent and other data collection software for the Ruby community.
You will write tests. With our comprehensive test suite, we make sure everything we ship is well tested. We go to extraordinary lengths to make sure each release is thoroughly tested and dependable.
You will support our agent, assisting our Technical Support Engineers. We take support rotations where we help customers solve issues and get the most of the agent. We come away from these rotations with ideas of how we can improve our agent to serve our customers better.
While our team charter is well-defined and fairly narrow, we still have quite a diversity of tasks.
Team Traits
Accountability: We never say something is “not our problem”. If it’s our customer’s problem, it is our problem, too. We never drop the ball.
Attention to detail: We do excellent work every time, and help each other strive for this excellence.
Ruby expertise: We write Ruby code that metaprograms our customers' Ruby code, and which has to run on multiple versions of Ruby and JRuby.
Teamwork: We work closely together and believe in the power of pairing. It’s a great way of sharing information and ensuring quality. And it’s more fun!
Strong Communication: Being an autonomous team in a larger organization, with all teams working well together, requires strong communication. We write proposals, specs, and retrospectives. We give talks, and we demo the work we are doing.
“Second Job”: Our “first job” is the job we were hired for (all of the above). Our “second job” is helping those around us to succeed at their jobs. Balancing first and second jobs makes us smarter, more effective, and happier.
Your Qualifications
Must-have:
Experience writing efficient Ruby. Customers run our code in their production systems. In order to keep our footprint light, we are on the lookout for unnecessary object allocations and overly complex code.
Experience reading through source code for popular libraries, find out how they work, and find the best places to hook our instrumentation code into them.
Experience writing comprehensive tests.
Not Sure If This Is You?
We are particularly interested in having a diverse team, with a broad set of skills and viewpoints. If this seems like your dream job, but you're not sure if you qualify, apply anyway! We'll carefully consider every applicant that takes the time to apply for this specific position. We'll either move forward with you, find other teams that might be a better match, keep in touch for later opportunities, or thank you for your time.
When you apply, be sure to include a cover letter telling us what interests you about this position and why you think it would be a good fit for you. Cover letters matter to us — we really read them.
A Little About New Relic
We offer:
Large organizational scale (60+ engaged and productive engineering teams)
Large technical scale (several billion events ingested per minute)
Employee resource groups to support a diverse workforce
17,000+ passionate and paying customers
10 weeks of paid parental leave covering both adoption and foster placement
Work on a product that all your technical friends use
Please note that visa sponsorship is not available for this position.
Our Office
Our office is in the center of downtown Portland, situated in a thriving tech community in the Pacific Northwest. We enjoy easy commute access and a plethora of good eats and great coffee. We provide competitive compensation including equity and big-company benefits (medical, dental, etc.)—all while maintaining the energy, agility and fun of a start-up.
About Us
New Relic (NYSE: NEWR) is the industry’s largest and most comprehensive cloud-based instrumentation platform built to create more perfect software. The world’s best software and DevOps teams rely on New Relic to move faster, make better decisions and create best-in-class digital experiences. If you run software, you need to run New Relic. We’re proudly trusted by more than 50% of the Fortune 100.
Founded in 2008, we’re a global company focused on building a culture where all employees feel a deep sense of belonging, where every ‘Relic’ can bring their whole self to work and feel supported and empowered to thrive. We’re consistently recognized as a distinguished employer and are committed to building world-class products and an award winning culture. For more information, visit newrelic.com.
Our Hiring Process
In compliance with applicable law, all persons hired will be required to verify identity and eligibility to work and to complete employment eligibility verification. Note: Our stewardship of the data of thousands of customers’ means that a criminal background check is required to join New Relic.
We will consider qualified applicants with arrest and conviction records based on individual circumstances and in accordance with applicable law including, but not limited to, the San Francisco Fair Chance Ordinance.
Headhunters and recruitment agencies may not submit resumes/CVs through this website or directly to managers. New Relic does not accept unsolicited headhunter and agency resumes, and will not pay fees to any third-party agency or company that does not have a signed agreement with New Relic.
New Relic is an equal opportunity employer. We eagerly seek applicants of diverse background and hire without regard to race, color, gender identity, religion, national origin, ancestry, citizenship, physical abilities (or disability), age, sexual orientation, veteran status, or any other characteristic protected by law.
Interested in the details of our privacy policy? Read more here: https://newrelic.com/termsandconditions/applicant-privacy-policy
#LI-AH1"
5,Unity Software Engineer,"Plano, TX 75025",Plano,TX,75025,None Found,None Found,None Found,Develop game features for VR/AR/XR.Deploy developed game on the cloud.Develop and integrate the client applications on devices,None Found,None Found,"Job Description

Job title: Unity Software Developer
Full / Part Time: Full Time
Work Location: Plano, Tx

Role Purpose:

We are looking for a motivated and experienced Unity software engineer to lead the related development efforts. You will be part of an innovative, research-oriented team, that develops and validates new concepts and ideas.

Major Responsibilities:
Develop game features for VR/AR/XR.Deploy developed game on the cloud.Develop and integrate the client applications on devices
Background, Experience& Qualifications:
BS/MS in Computer Science or related field with 5+ years of experience
Expertise in:
o Computer Graphics and Game Development: Unity, Unreal, WebGL
o Mobile and Web Development: Android, Javascript
Ability to work within Samsung in cross-functional, cross-divisional teams"
6,Senior Software Engineer,"Dallas, TX 75254",Dallas,TX,75254,None Found,None Found,None Found,"Build robust and scalable software in a major programming language like Ruby, Scala, Java, etc.
Design and create services and system architecture for your projects, and contribute and provide feedback to other team members
Help improve our code quality through writing unit tests, automation and performing code reviews
Participate in brainstorming sessions and contribute ideas to our technology, algorithms and products
Work with the product and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solution
Dive into difficult problems and successfully deliver results on schedule
",Bachelorâ€™s degree in computer science or related discipline,"7+ years of recent hands-on coding and software design
A track record of projects completed on time â€“ you are a flawless executor, not a procrastinator
You find satisfaction in a job well done and want to solve head-scratching challenges
Solid OOP and software design knowledge â€“ you should know how to create software thatâ€™s extensible, reusable and meets desired architectural objectives
Experience with Java or Ruby, and the willingness to learn new technologies (experience with other object-oriented languages is okay too)
Experience with Linux/Unix and scripting languages like Python, Perl, shell scripting, etc.
","Back End Software Engineer
Founded in 2006, KyotoCooling provides mission-critical, water free cooling with unparalleled levels of reliability, efficiency and modularity for data centers. With hundreds of installations in various climates around the world, KyotoCooling is the most experienced supplier of indirect cooling solutions in the data center industry. The company has offices in Amersfoort, Netherlands; Dallas, Texas; Johannesburg, South Africa and Tianjin, China.
We are seeking a passionate and effective Back End Software Engineer to join our team. The Sr. Software Engineer is a solid, positive, and innovative individual who thrives in a group with a small-team but big-ideas mentality.
Job Responsibilities
Build robust and scalable software in a major programming language like Ruby, Scala, Java, etc.
Design and create services and system architecture for your projects, and contribute and provide feedback to other team members
Help improve our code quality through writing unit tests, automation and performing code reviews
Participate in brainstorming sessions and contribute ideas to our technology, algorithms and products
Work with the product and design teams to understand end-user requirements, formulate use cases, and then translate that into a pragmatic and effective technical solution
Dive into difficult problems and successfully deliver results on schedule

Job Requirements
7+ years of recent hands-on coding and software design
A track record of projects completed on time â€“ you are a flawless executor, not a procrastinator
You find satisfaction in a job well done and want to solve head-scratching challenges
Solid OOP and software design knowledge â€“ you should know how to create software thatâ€™s extensible, reusable and meets desired architectural objectives
Experience with Java or Ruby, and the willingness to learn new technologies (experience with other object-oriented languages is okay too)
Experience with Linux/Unix and scripting languages like Python, Perl, shell scripting, etc.
Education
Bachelorâ€™s degree in computer science or related discipline"
7,Technical Support - Software Engineering,"Plano, TX",Plano,TX,None Found,None Found,None Found,None Found,None Found,None Found,"Knowledge of iOS and Android application Testing
1+ years of related experience
High school diploma or GED
","Company Overview
At Motorola Solutions, we create technologies our customers refer to as their lifeline. Our technology platforms in communications, software, video and services help our customers work safely and more efficiently. Whether it’s helping firefighters see through smoke, enabling police officers to see around street corners, or reliably keeping the lights on in homes and businesses around the world, our work supports those who put their lives on the line to keep us safe. Bring your passion, potential and talents to Motorola Solutions, and help us usher in a new era in public safety and security.

Department Overview
Kodiak, a Motorola Solutions Company, is a leading provider of carrier-integrated broadband push-to-talk (PTT) solutions that provide fast, seamless group or one-to-one communications over LTE/4G, 3G, and Wi-Fi networks. Kodiak Broadband PTT is a key part of the Motorola Solutions suite of integrated communications applications, delivering voice, video and data communications at the push of a button to get the right information to the right people at the right time in the moments that matter.

Job Description
Execute handset (iOS & Android) and web base application sanity, regression
& new feature testing.
Verify results and produce test summaries and defect reports.
Identify defects and requirement discrepancies
Open defect change requests and report discrepancies
Determine test objectives and standards by reviewing customer
requirements
Conducts application testing of web based systems
Work collaboratively with the team to correct errors and participate in testing
for product releases
Preferred Skills:
Associates degree in Information Technology, or Computer Science
Working knowledge of computer operating systems, database applications
and computer networking requirements
Experience using defect tracking software, JIRA
Willingness to work nights/weekends occasionally to support production implementations and customer issues
US Passport required for international travel
Must be bilingual in English and Spanish

Basic Requirements
Knowledge of iOS and Android application Testing
1+ years of related experience
High school diploma or GED

Travel Requirements
None

Relocation Provided
Domestic

Position Type
Experienced

Referral Payment Plan
No


EEO Statement
Motorola Solutions is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran's status, or, any other protected characteristic."
8,UI Software Engineer,"Richardson, TX",Richardson,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"What You'll Do
We are looking for engineers who grow with delivering enterprise-grade cloud software. You will work with multi-functional teams to deliver key capabilities that will unlock large deployments of Cisco's Cloud Calling services. we are doing a lot of work with Angular. We are building new areas and features of our applications as well as upgrading existing areas away from AngularJS.
Who You'll Work With
When you work with us, you’ll be part of an empowered team that is helping change the way people collaborate. Our software developers, user experience designers, and product owners are building customer-focused management products for the next-generation Cisco Cloud Calling portfolio.
Who You Are
You are a front-end developer with 2 years of experience working on medium to large applications written in JavaScript/HTML5/CSS3, comfortable in the Angular/AngularJS environment and embrace unit testing. You possess BS or MS in computer science, software engineering or a related field. You have excellent verbal and written communication skills with a willingness to collaborate with other team members and a desire to learn new skills in web development.
Bonus skills:
GIT, GitHub, Gradle, Webpack, NPM,
Typescript
CSS preprocessors (Sass or Less)
Internationalization/Localization
Accessibility
Testing (Jest, Jasmine, Mocha, Cypress, Protractor)
Cisco is an Affirmative Action and Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.
Cisco will consider for employment, on a case by case basis, qualified applicants with arrest and conviction records.
We Are Cisco
#WeAreCisco, where each person is unique, but we bring our talents to work as a team and make a difference. Here’s how we do it.
We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (30 years strong!) and only about hardware, but we’re also a software company. And a security company. A blockchain company. An AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
But “Digital Transformation” is an empty buzz phrase without a culture that allows for innovation, creativity, and yes, even failure (if you learn from it.)
Day to day, we focus on the give and take. We give our best, we give our egos a break and we give of ourselves (because giving back is built into our DNA.) We take accountability, we take bold steps, and we take difference to heart. Because without diversity of thought and a commitment to equality for all, there is no moving forward.
So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool."
9,Senior Software Engineer,"Plano, TX 75074",Plano,TX,75074,None Found,None Found,None Found,None Found,None Found,"
5+ years of Node experience engineering cloud based platforms or other comparable experiences
Experience with API and microservice design patterns
Experience with Docker and how to structure Docker files
Familiarity or experience working with AWS
Experience with Mongo or similar NoSQL database
Ability to write and maintain NPM packages for internal use
","At Estech Systems Inc (ESI), we are working on a new communication platforms to cover the market of small to mid-sized enterprise business needs. This first generation of the platform, which will support web and mobile applications, is focused on new verticals and technologies to help move the company forward in new directions.
We are looking for a senior JavaScript/Node engineer who is opinionated and driven to make stable and scalable solutions. We are in our early stages of our microservices platform, so we are looking for someone with a wide range of skills and experience in developing and deploying Node services.

To keep things moving quickly and accurately we are using an Agile Scrum workflow, two week sprints, with constant feedback loops from the developers. We value self-improvement and are always looking for ways to better the process and our approach.

✌️

Daily Responsibilities

Develop Node.js based REST web services within a single platform
Architect, design, and plan the needs of the platform long term
Create the standard for how the platform will move forward
Automate to your heart's desire: code testing, builds, CI/CD, remote deployments
Requirements
What we are looking for
5+ years of Node experience engineering cloud based platforms or other comparable experiences
Experience with API and microservice design patterns
Experience with Docker and how to structure Docker files
Familiarity or experience working with AWS
Experience with Mongo or similar NoSQL database
Ability to write and maintain NPM packages for internal use
Nice to haves
Elasticsearch, Logstash and Kibana experience
Kafka or other event-based message queue systems experience
Other AWS services like Lambda, SQS, SNS, etc.
Familiarity with React or other frontend libraries
Benefits
Partial or full-time remote
Flex time policies
PTO
Tuition reimbursement
Allocation for personal projects"
