,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Software Engineer,"Houston, TX 77045",Houston,TX,77045,None Found,"Minimum of 3 years of desktop, mobile and AI software development.
Candidates with less than 3 years of combined embedded and desktop/mobile software development experience will be rejected.
Experience in Computer Science fundamentals: object-oriented design, data structures, algorithm design, problem solving, and complexity analysis
Experience developing and implementing machine- and deep-learning algorithms
Proficient in C, C#, JAVA, and WPF
Motivated, independent, efficient and able to handle several projects at once
Attention to detail, and able to generate legible and clear documentation
Ability to debug complex system-level problems
Strong interpersonal skills and experience as part of a collaborative development team
Strong problem solving, hands-on debugging, lab skills and use of test equipment
Highly motivated and can achieve goals with minimal supervision
Ability to interact with other disciplines such as hardware design, firmware development, OS Drivers and management software
BS or MS degree in Computer Engineering, Electrical Engineering or Computer Science
Experience with the agile software development process
Proficient in distributed version control software systems such as Git etc.",None Found,"Design, develop and unit test modern desktop and mobile software within an agile development framework
Communicate advanced ML/AI concepts to senior leadership to facilitate decision making
Initiate new or revised documentation and tracks through appropriate approval cycles and implementation.
Develop features for new generation of medical devices as well as supporting current ones
Interface with other team members to build an integrated solution
Interface with program management; provide oral and written high quality status updates and meet commitments
Understand and follow company procedures and regulatory requirements
Prepare and submit for approval requests for project funding. Participate in project planning, budgeting, scheduling and tracking
",None Found,None Found,"Join Biotex product development team & help develop the exciting software applications for the next generation of high-end, user friendly, & energy efficient medical devices. We utilize the latest techniques in software development such as Agile, Continuous Integration, and Testing Automation to the mobile, desktop software and AI fields. Every day, we push ourselves to find innovative solutions, produce higher quality code, and deliver it on schedule.
Roles and Responsibilities:
Design, develop and unit test modern desktop and mobile software within an agile development framework
Communicate advanced ML/AI concepts to senior leadership to facilitate decision making
Initiate new or revised documentation and tracks through appropriate approval cycles and implementation.
Develop features for new generation of medical devices as well as supporting current ones
Interface with other team members to build an integrated solution
Interface with program management; provide oral and written high quality status updates and meet commitments
Understand and follow company procedures and regulatory requirements
Prepare and submit for approval requests for project funding. Participate in project planning, budgeting, scheduling and tracking
Qualifications:
Minimum of 3 years of desktop, mobile and AI software development.
Candidates with less than 3 years of combined embedded and desktop/mobile software development experience will be rejected.
Experience in Computer Science fundamentals: object-oriented design, data structures, algorithm design, problem solving, and complexity analysis
Experience developing and implementing machine- and deep-learning algorithms
Proficient in C, C#, JAVA, and WPF
Motivated, independent, efficient and able to handle several projects at once
Attention to detail, and able to generate legible and clear documentation
Ability to debug complex system-level problems
Strong interpersonal skills and experience as part of a collaborative development team
Strong problem solving, hands-on debugging, lab skills and use of test equipment
Highly motivated and can achieve goals with minimal supervision
Ability to interact with other disciplines such as hardware design, firmware development, OS Drivers and management software
BS or MS degree in Computer Engineering, Electrical Engineering or Computer Science
Experience with the agile software development process
Proficient in distributed version control software systems such as Git etc.
We’re always looking for talented high-energy individuals who want to make a difference doing meaningful work. Email us at jobs@biotexmedical.com and become a part of our collaborative and innovative culture."
1,Software Engineer II - Search Tools / Experience Management Platform,"Cypress, TX 77410",Cypress,TX,77410,None Found,"Match our Team Culture – We vibe with folks who are friendly, honest, dependable, innovative, customer centric, and data driven.High-energy and Self-Driven – We seek energetic teammates who don’t get stopped by circumstances.Growth-minded – You are a perpetual student, eager to expand your skill set and excited to carve out your career path in a hyper-growth organization (growing 200+% per year).A Good Team Player – You are a confident high achiever, who is nice and respectful to others.",None Found,None Found,None Found,None Found,"Position Description
Come help us build powerful search engines and incredible experiences for millions of Mexico eCommerce users. We’re bringing on talented engineers to help us build a world class ecosystem of search engines, tools, analytics, visualizations, and more. As a Software Engineer for the Search Tools / Experience Management Platform group, you will help create a shiny new multi-tenant experience management tool suite. This work is some of the most innovative frontend work in our field, and currently stands on 5 pending patents with many more to come. We are a small team of creative engineers competing with the likes of Oracle, Amazon, Adobe and others. Throughout 2019 we will replace the site-and-experience-management toolchain for five Walmart Mexico websites and their corresponding native apps.

This role will be JavaScript and Python heavy. Our tools backend is Django and frontend is React. As an avid learner, we expect you to jump into that ecosystem and become proficient quickly.

You will be joining a small, tight-knit, happy team. We are focused on creating a process and environment which fosters lean, repeatable innovation. Our goal is to build best of breed web and app experiences that delight our customers, by providing our associates with easy and convenient tools. We are data driven and take special care in measuring and iterating on our solutions. While we use and love open source, we also file handfuls of patents on our novel ideas. And, we smile and laugh a lot.

Join us in creating the future of search at Walmart International.
Minimum Qualifications
Match our Team Culture – We vibe with folks who are friendly, honest, dependable, innovative, customer centric, and data driven.High-energy and Self-Driven – We seek energetic teammates who don’t get stopped by circumstances.Growth-minded – You are a perpetual student, eager to expand your skill set and excited to carve out your career path in a hyper-growth organization (growing 200+% per year).A Good Team Player – You are a confident high achiever, who is nice and respectful to others.
Additional Preferred Qualifications
BS in Computer Science or equivalent education or experience (bootcamp graduates, self-taught engineers, etc)Proficient in JavaScript and at least one other programming language. Python experience also preferredFamiliar with React and frontend techOpen to learning new technologies and software quicklyInterest in creating easy, convenient, simple UI’s0+ years of experience working with full stack web development0+ years experience dealing with web analytics
Company Summary
The Walmart eCommerce team is rapidly innovating to evolve and define the future state of shopping. As the world’s largest retailer, we are on a mission to help people save money and live better. With the help of some of the brightest minds in technology, merchandising, marketing, supply chain, talent and more, we are reimagining the intersection of digital and physical shopping to help achieve that mission.

This role will fall under Walmart Labs, Walmart International, and Walmart Mexico. These are some of the highest performing, most innovative, fastest-growing parts of online retail.

Walmart Mexico eCommerce is growing 10x faster than online retail in the United States. The opportunity in this emerging tech market is staggering. Join us while we grow an elite team and reimagine online retail from the ground up.
Position Summary
Come help us build powerful search engines and incredible experiences for millions of Mexico eCommerce users. We’re bringing on talented engineers to help us build a world class ecosystem of search engines, tools, analytics, visualizations, and more. As a Software Engineer for the Search Tools / Experience Management Platform group, you will help create a shiny new multi-tenant experience management tool suite. This work is some of the most innovative frontend work in our field, and currently stands on 5 pending patents with many more to come. We are a small team of creative engineers competing with the likes of Oracle, Amazon, Adobe and others. Throughout 2019 we will replace the site-and-experience-management toolchain for five Walmart Mexico websites and their corresponding native apps.

This role will be JavaScript and Python heavy. Our tools backend is Django and frontend is React. As an avid learner, we expect you to jump into that ecosystem and become proficient quickly.

You will be joining a small, tight-knit, happy team. We are focused on creating a process and environment which fosters lean, repeatable innovation. Our goal is to build best of breed web and app experiences that delight our customers, by providing our associates with easy and convenient tools. We are data driven and take special care in measuring and iterating on our solutions. While we use and love open source, we also file handfuls of patents on our novel ideas. And, we smile and laugh a lot.

Join us in creating the future of search at Walmart International."
2,Software Engineer Lead,"Houston, TX 77049",Houston,TX,77049,None Found,None Found,None Found,None Found,"
Ideally a Bachelor's (or higher) degree from a recognized institute of higher learning, ideally focused in Computer Science, MIS/IT, Mathematics or a hard science.","
Programming/Software Development
Requirements Definition and Management
System Design
Technical Specialism
Emerging Technology Monitoring
Methods and Tools","Job profile summary:
Role Synopsis

BP has embarked on an ambitious plan to modernize and transform using digital technologies to drive efficiency, effective and new business models. You are a Software Engineering Lead who works as a senior member within a team to provide innovative, custom built software to BP colleagues and external users. This custom software either supports revenue earning activity or helps reduce costs within BP functions by automating manual activity. Ultimately, this work will help us become a digital leader in our sector, so we can drive energy transition and solve real-world problems.

Key Accountabilities:

Team: Developing the capability of your teams to deliver the most agile solutions is one of your top priorities. Our culture is exploring, thinking and doing, and you will live this every single day. Working across the team you will identify, assess and manage risks that may affect the success of the project.

Relationships: You will develop and maintain a series of internal and external stakeholder relationships and support project delivery. You will work with the team to get the most value from current applications and emerging technologies, leading technical thinking across a wide range of technologies. The role requires ability to influence and inspire change in a positive and impactful way.

Software Engineering: You will lead teams of software engineers and business analysts to facilitate the translation of relevant business requirements into designs for technical platforms. You will design, test and operate custom built or customised IT solutions aimed at improving business delivery processes. You will act in accordance with professional engineering practices, including Internet protocols, coding standards and reviews, source control management, design and operations processes.

Technology: You will build awareness of internal and external technology developments, managing the delivery of process and system improvements, identifying and implementing continuous improvement plans for and ensuring best practice is shared across the team.

Safety and Compliance: Safety of our people and our customers is our highest priority. We will advocate and help ensure our architectures, designs and processes enhance a culture of operational safety and improve our digital security.

Job Advert:
Essential Education:
Ideally a Bachelor's (or higher) degree from a recognized institute of higher learning, ideally focused in Computer Science, MIS/IT, Mathematics or a hard science.
Essential Experience and Job Requirements:

Technical capability:

Essential Skills:
Programming/Software Development
Requirements Definition and Management
System Design
Technical Specialism
Emerging Technology Monitoring
Methods and Tools
Desirable Skills:
Application Support
Data Design
Business Analysis
Quality Management
Release and Deployment
Systems Integration
Porting/Software Configuration
Capacity Management
Data Analysis
Business capability:
Software Engineering
Leadership and EQ:
You always empower people – encouraging positive team morale and ensuring that every team member with expertise has the power to make decisions, at the lowest possible level.
You always get the basics right, from quality development conversations to recognition and ongoing performance feedback. You can develop, coach, mentor and inspire others.
You comply with BP's Code of Conduct and ensure your team does too. You also demonstrate strong leadership of BP's Leadership Expectations and Values & Behaviours.
You create an environment where people listen and can speak openly about the good, the bad, and the ugly, so that everyone can understand and learn.
You embrace a culture of change and agility, evolving continuously, adapting to our changing world.
You are an effective team player, naturally looking beyond your own area/organizational boundaries to consider the bigger picture and/or perspective of others, and building trust-based relationships with leaders and employees across IT&S and BP.
You are self-aware and seek input from others on your impact and effectiveness.
You apply judgment and common sense at scale – you use insight and good judgment to deliver commercially sound, efficient and pragmatic decisions and solutions and to respond to situations as they arise.
Cultural fluency – you operate across cultural boundaries with sensitivity.
Manager Expectations
Provide ongoing feedback to your employee tree, both formally and informally, with the aim of supporting their performance and development within the Chapter
Coach and mentor to help build domain experience amongst peers
Be responsible for Chapter member’s personal development and the management of performance reviews
Contribute to relevant supply and demand conversations, to adequately staff squads with appropriately skilled employees
Assess candidates as part of the Talent Acquisition process, interviewing to identify future IT&S talent
Sharing knowledge (cross-pollination) between Chapter members that can be utilised by various Squads
Desirable Criteria:
Has good knowledge and understanding of modern development methodologies (Agile using Scrum and/or Kanban).
Knowledge of DevOps practices and techniques such as Value Stream Mapping, Lean, flow, eliminating waste.
Experience with modern approaches to source-code management and control through tools like TFS and Git/GitHub.
Good interpersonal skills including the ability to relate complex topics in simple and accessible language.
About BP:
We are a global energy business involved in every aspect of the energy system. We have 75,000 employees in 80 countries, working towards delivering light, heat and mobility to millions of people, every day. We are one of the very few companies equipped to solve some of the big complex challenges that matter for the future. We have a real contribution to make to the world's ambition of a low carbon future. Join us, and be part of what we can accomplish together."
3,Software Engineer (C#),"Houston, TX",Houston,TX,None Found,None Found,"DrivenCollege degree2-4 years’ experience as a DeveloperStrong understanding of software design patternsStrong C# (.NET Framework) skillsStrong SQL Server skillsExperience with REST and SOAP based Web ServicesStrong analytical skillsProficient in the use of development methodologies; e.g., Agile, ScrumWell-developed written, verbal communication skills – specifically documentationPrior experience in benefit program administration; knowledge of Health and Welfare processes a plusStrong attention to detail; quality conscious, yet open, flexible to other's ideas, suggestionsProven ability to meet deadlines and work effectively in a multi-tasking environment",None Found,None Found,None Found,None Found,"As a member of the Enterprise Product Development Team, a Software Engineer develops, tests, implements, and maintains proprietary business system platforms for Empyrean and our clients. They are responsible for troubleshooting systems problems and issues and identifying ways to improve existing applications.

Job Functions:
Work within agile development team sprints with deliverables and demonstration of results.Work within agile development team sprints with deliverables and demonstration of results.Participate in design meetings to create logical, innovative solutions to complex problems.Share existing and acquired skills with team members through formal and informal mentoring.Design, develop, test, implement, and maintain central application, framework, and business rules.Write unit tests based on system requirements.Communicate obstacles or requirements that may affect delivery.Understand expectations set with product owner.Work closely with a variety stakeholders to ensure technical compatibility and user satisfaction.Interact with UI and Web developers to provide data and services.Ensure proper documentation of standard procedures.

Qualifications
DrivenCollege degree2-4 years’ experience as a DeveloperStrong understanding of software design patternsStrong C# (.NET Framework) skillsStrong SQL Server skillsExperience with REST and SOAP based Web ServicesStrong analytical skillsProficient in the use of development methodologies; e.g., Agile, ScrumWell-developed written, verbal communication skills – specifically documentationPrior experience in benefit program administration; knowledge of Health and Welfare processes a plusStrong attention to detail; quality conscious, yet open, flexible to other's ideas, suggestionsProven ability to meet deadlines and work effectively in a multi-tasking environment"
4,Entry Level Accenture Technology Software Engineer Associate,"Houston, TX 77006",Houston,TX,77006,None Found,None Found,None Found,None Found,None Found,None Found,"We are:

Accenture Technology, the people who deliver the services and solutions that power our clients’ businesses. We are technology rainmakers, movers and shakers. Every day, we imagine the impossible and enjoy the thrill of making it happen. We help clients tackle their biggest business problems and unlock growth potential in the cloud. Through Agile methods, we turn the New into reality at speed. We partner with key tech players, like Microsoft, Oracle, Salesforce, SAP and Workday and together, deliver bigger and better results. Ready to learn as much as you can? You will have numerous opportunities for training courses and certifications to keep your tech smarts sharp. Visit us here to find out more about Accenture Technology.


We are:
Accenture Technology, the people who deliver the services and solutions that power our clients’ businesses. We are technology rainmakers, movers and shakers. Every day, we imagine the impossible and enjoy the thrill of making it happen. We help clients tackle their biggest business problems and unlock growth potential in the cloud. Through Agile methods, we turn the New into reality at speed. We partner with key tech players, like Microsoft, Oracle, Salesforce, SAP and Workday and together, deliver bigger and better results. Ready to learn as much as you can? You will have numerous opportunities for training courses and certifications to keep your tech smarts sharp. Visit us here to find out more about Accenture Technology.

You are:
A team player with an entrepreneurial mind. You step up and volunteer to take on challenges to solve technical problems. You look closely at the way things work and often see a better approach to how it could be done. Emerging technologies and next-generation IT excite you –– and you’re ready to put that passion to work across many different types of client projects.

The work:Kick-start your career in our Technology Development Program to learn the latest technical skillsLearn first-hand how we help many of the world's top companies develop their tech strategyWork with a diverse group of people across many different industries and technologiesConnect with your teammates to design and develop new product featuresBridge the gap between technology and business by using your analytical expertiseDevelop front end solutions and design, develop and implement softwareManage the project diligently, working with your team to achieve project milestones

Here’s what you need:
Bachelor’s degree or Master’s degree in Engineering, Information Systems, Decision Sciences, Mathematics, Statistics, or Natural Sciences disciplines (with graduation date no later than September, 2020)

Bonus points if you:
Major or minor in Computer Science, Computer Engineering, or Software Engineering disciplinesHave internship or academic experience with programming languages and/or modern web technologies

How to Apply
Please apply via your campus career center and the Accenture Careers website. In addition to your campus center resume drop, you must complete an online application to be considered for an interview.

After submitting your application, you will receive system-generated acknowledgment(s) from “Human Resources”. Note that this does not mean you have been selected to interview with Accenture. Please refer to your campus career center posting/website to determine whether you have been selected for a first round interview with Accenture.

Important information
Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture.
Accenture is an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities.

Equal Employment Opportunity
All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.
Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.
Accenture is committed to providing veteran employment opportunities to our service men and women.
Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.

About Accenture
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With more than 435,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com."
5,Software Engineer,"Houston, TX 77002",Houston,TX,77002,None Found,None Found,None Found,None Found,"
3+ years of related professional software development experience
Expert knowledge of HTML5/CSS3
Proficiency with Bootstrap front-end framework or similar
Strong understanding of development with PHP/MySQL (Laravel)
Experience with client-side scripting and JavaScript frameworks (jQuery, Vue)
Experience with pre-processing build tools (Grunt, Gulp, Elixir, LESS, SASS)
Experience with code versioning tools (Git)
Understanding of asynchronous request handling, partial page updates, and AJAX
Understanding and application of SEO principles (technical & content)
Understanding of cross-browser compatibility issues
Experience with MVC, OOP (Laravel)
Experience using Google Analytics (Event Tracking/Campaign Tracking)
Experience working remotely","
3+ years of related professional software development experience
Expert knowledge of HTML5/CSS3
Proficiency with Bootstrap front-end framework or similar
Strong understanding of development with PHP/MySQL (Laravel)
Experience with client-side scripting and JavaScript frameworks (jQuery, Vue)
Experience with pre-processing build tools (Grunt, Gulp, Elixir, LESS, SASS)
Experience with code versioning tools (Git)
Understanding of asynchronous request handling, partial page updates, and AJAX
Understanding and application of SEO principles (technical & content)
Understanding of cross-browser compatibility issues
Experience with MVC, OOP (Laravel)
Experience using Google Analytics (Event Tracking/Campaign Tracking)
Experience working remotely","Position Title: Software Engineer
Reports to: Lead Software Engineer
Location: North America (Remote)

JOB DESCRIPTION
The Software Engineer is a remote role and is responsible for supporting web development for all websites and platforms under the Product Development and Technology Solutions department with a focus on our company member portal, data management services, consumer and corporate company websites, and specialist website platform. This role will perform website development/design, database maintenance/manipulation for user strategies.

This position carries out responsibilities in the following functional areas:

Support, recommend, maintain and enhance the user interface of internal and external web platforms/products
Work in coordination with the team to develop/maintain an integrated website framework
Manage updates and maintenance as required for the front-end of the company member portal
Minimize customer support tickets by improving extranet portal programming
Support miscellaneous web projects throughout the organization using various web technologies
Be proactive at maintaining the integrity and stability of our products through continuous integration
Participate in Unit testing
Understand business goals and challenges and work towards them in every project
Collaborate with team leaders and members to advance strategic objectives

Core Competencies:
Problem solving
Analytical
Attention to detail
Decision-making
Creativity and Innovation
Perseverance
We are interested in every qualified candidate who is eligible to work in the United States. However, we are not able to sponsor visas.

Travel:
Minimal travel is expected for this position.

Supervisory Responsibility:
This position does not have direct supervisory responsibilities

Position type & expected hours of work:
This is a full-time position. Days and hours of work are Monday through Friday, 9:00 a.m. to 5 p.m. Occasional evening and weekend work may be required as job duties demand. This position is exempt from Overtime.
Benefits
Medical and dental benefits with employer contributions (FSA / HSA)
Vacation/Personal/Sick Days
11 paid holidays
Matching Retirement Program
Free and confidential Employee Assistance Program
Tuition Reimbursement Program
IATA Travel Industry Card (discounts and promotions on Travel)
Hardware (i.e., laptop and VOIP phone), internet costs covered by the company
Home-based position

Company Description
Ensemble Travel® Group is a travel industry related company which supports travel agencies with turnkey marketing and technology solutions. Founded in 1968, Ensemble is a proactive, member-owned international organization of approximately 850 professional travel agencies in the U.S. and Canada, and with recent expansion into Australia and New Zealand. With a membership that represents billions of dollars in travel sales each year, Ensemble Travel Group has achieved a 50-year record of boosting members' profits and delivering high-volume sales to its preferred suppliers.
Requirements
Required Education and Experience:
3+ years of related professional software development experience
Expert knowledge of HTML5/CSS3
Proficiency with Bootstrap front-end framework or similar
Strong understanding of development with PHP/MySQL (Laravel)
Experience with client-side scripting and JavaScript frameworks (jQuery, Vue)
Experience with pre-processing build tools (Grunt, Gulp, Elixir, LESS, SASS)
Experience with code versioning tools (Git)
Understanding of asynchronous request handling, partial page updates, and AJAX
Understanding and application of SEO principles (technical & content)
Understanding of cross-browser compatibility issues
Experience with MVC, OOP (Laravel)
Experience using Google Analytics (Event Tracking/Campaign Tracking)
Experience working remotely

Preferred Education and Experience:
Experience in Salesforce
Experience in the travel industry"
6,Sr Software Engineer,"Houston, TX 77002",Houston,TX,77002,None Found,"Bachelor's Degree in Computer Science, Information Management or other technical / IT field from an accredited college or university

Minimum 3 years of overall SAP experience
Minimum 1 year of experience with SAP UEM / KNOA",None Found,None Found,None Found,"Bachelor's Degree in Computer Science, Information Management or other technical / IT field from an accredited college or university

Minimum 3 years of overall SAP experience
Minimum 1 year of experience with SAP UEM / KNOA","Role Summary:

Role Summary:

The Software Engineer will be responsible for driving the adoption and effective use of SAP software through the design, development, implementation and support of SAP UEM/KNOA solutions.


Essential Responsibilities:

In this role Sr Software Engineer, you will:

Expand the KNOA reporting and dashboard offering
Develop and Promote metrics packets tailored to each level of management

Support current SAP UEM/KNOA solutions

Ensure solution integrity and availability

Coordinate object promotions and validation of testing and sign-off

Partner with other SAP DevOps teams and Business Process teams on potential KPI and process gaps

Act as the escalation point for high priority SAP UEM/KNOA issues.

Effectively communicate with relevant parties on all related issues / updates

Maintain comprehensive documentation of all work performed

Work with the SAP UEM / KNOA Admin on solutions and software updates
Provide off-hours and weekend support as needed

Qualifications/Requirements:
Bachelor's Degree in Computer Science, Information Management or other technical / IT field from an accredited college or university

Minimum 3 years of overall SAP experience
Minimum 1 year of experience with SAP UEM / KNOA

Desired Characteristics:
Solid development expertise involving SAP Business Objects client tools including WebI, Crystal Reports for Enterprise (CRE), IDT, UDT, Dashboards / Xcelsius, and Design Studio

Business Objects administration (preferred)

HTML5, CSS3, JavaScript (preferred)

Strong RDBMS and dimensional database knowledge (preferred)

SAP S/4 HANA knowledge/development (preferred)

Solid interpersonal skills
Exhibits a sense of urgency in carrying out tasks and resolving issues

Able to design, implement and support robust solutions
Excellent problem solving, time management and organizational skills

Able to self-manage and prioritize multiple projects / tasks at a time

Able to lead, inspire and facilitate collaboration between team members

Proactive in taking on additional responsibilities when needed
Demonstrates accountability and a strong work ethic
Locations:
Houston, TX
This is your opportunity to learn more, do more, live the career you have imagined and be part of a truly diverse organization.


Baker Hughes, a GE company is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national or ethnic origin, sex, sexual orientation, gender identity or expression, age, disability, protected veteran status or other characteristics protected by law. Learn more


Locations: United States; Texas; HOUSTON
GE will only employ those who are legally authorized to work in the United States for this opening."
7,Software Engineers,"Houston, TX 77036",Houston,TX,77036,None Found,None Found,None Found,None Found,None Found,None Found,"Schrill Technologies, Inc. has openings for Software Engineers in Houston, TX and other unanticipated locations nationwide.
Duties: Design, develop, create, test, support and validate software applications using Informatica MDM, SAP ECC, Informatica IDQ, Mainframes, CRM, Salesforce, Informatica Power Center, Teradata, Power Exchange, Oracle, Informatica Mappings, and Unix shell scripting.
Requirement: Master’s degree or equivalent in Computer Science, Engineering or related field with at least three (3) years of experience in the field. A baccalaureate degree with 5 years of post-baccalaureate, progressive experience is acceptable for Master’s equivalency. Any suitable combination of education, training or experience is acceptable. Travel/relocation may be required
Mail resume to: HR-Schrill Technologies, Inc., 6201 Bonhomme Road, Suite 430-S, Houston, TX 77036"
8,Software Engineer- Python,"Houston, TX 77002",Houston,TX,77002,None Found,None Found,None Found,None Found,None Found,None Found,"Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. CIB provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.
At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you.

The Application Developer is expected to be highly proficient in Java or Python and will be required to work closely with Desk aligned AD and production management teams and on the Athena Platform to deliver business aligned regulatory and non-regulatory reports and downstream feed
In addition to responsibilities as the Commodities/FX tech Senior Application Developer, the role will also liaise with other location based business and technology counterparts across the globe during the requirements as well as UAT/PROD/Post-Production phases of the projects.

Key Requirements of the Role:
Strong Python or java or C++ skills, in addition to development using agile techniques, test-driven development, and Object Oriented programming concepts.
* Follow appropriate design standards, methods and tools and ensure they are applied effectively.* Strong business understanding of FX and Commodities trading instruments and regulatory rules across jurisdiction

Ensures that appropriate standards (corporate, industry, national and international) are adhered to.As a strong communicator work as part of a global teamDevelop a good understanding of End to End business processes and the associated technical blocks.Working with production support teams to ensure smooth transition of software developed.Willingness to take ownership of tasks and the ability to work on their own initiative while being a strong team player.Understand the technical environment and look to continually promote increased knowledge in the team.Excellent verbal and written communication skills, able to communicate accurately, concisely and with tact and diplomacy when appropriate.Be conscientious, reliable and inquisitive with a keen desire to learn, not just gain the knowledge necessary for the job but also the underlying reasons and drivers.The ability to work under pressure within agreed timelines and to support multiple tasks in parallel.The candidate will be expected to continually look at improving the processes and procedures in the development life cycle and challenge areas that they see inefficient.














very good experience working in Athena.
Polyglot - proficient in one or more languages like Java, C++ or python. preferably Python/Good understanding of Object Oriented programming conceptsSolid grounding in agile developments practices and test-driven development.Experience in Object Oriented Databases and replicationFront-office/risk management business knowledge would be a definite plusGood years in the industry preferably within Investment BankingKnowledge of financial instrument features and trade processingFull SDLC experienceDegree graduate, specialized training, and / or equivalent work experience

Mid level developer in Athena and having deep understanting of Athena and Athena frameworks.

* Polyglot developer who has worked in one or more programming language with proficiency in multi-threading/multi-processing and object databases, UI programming concepts * Good communication and management skills to lead projects independently.


@2019 JPMorgan Chase & Co. JPMorgan Chase is an equal opportunity and affirmative action employer Disability/Veteran."
9,Front-end Developer,"Houston, TX",Houston,TX,None Found,None Found,None Found,"
5+ years of solid HTML/CSS/Javascript experience
Experience with a Javascript web framework. Preferably Angular
Experience leveraging REST API's within a frontend application
Experience building website mockups
Experience with Git
","
Take an idea from design concept to working implementation that will be deployed to our customers around the world
Build elegant, clean, bulletproof code that is driven by tests
Work with the Senior Software Engineer to ensure architectural and implementation coherence
Ensure that application components are responsive and performant on all devices
Debug issues and develop quick, robust solutions to keep systems running smoothly
Conduct proofs-of-concepts and develop prototypes
Participate in code reviews to ensure alignment with the architectural approach and to maintain a clean code base
All other duties assigned
",None Found,"
5+ years of solid HTML/CSS/Javascript experience
Experience with a Javascript web framework. Preferably Angular
Experience leveraging REST API's within a frontend application
Experience building website mockups
Experience with Git
","iland, a leading global cloud service provider, is looking for an experienced Front-end Developer to join our Cloud Architecture team. This position will be based out of our Houston, TX headquarters.
Job Responsibilities
Take an idea from design concept to working implementation that will be deployed to our customers around the world
Build elegant, clean, bulletproof code that is driven by tests
Work with the Senior Software Engineer to ensure architectural and implementation coherence
Ensure that application components are responsive and performant on all devices
Debug issues and develop quick, robust solutions to keep systems running smoothly
Conduct proofs-of-concepts and develop prototypes
Participate in code reviews to ensure alignment with the architectural approach and to maintain a clean code base
All other duties assigned
Requirements
Required Skills

5+ years of solid HTML/CSS/Javascript experience
Experience with a Javascript web framework. Preferably Angular
Experience leveraging REST API's within a frontend application
Experience building website mockups
Experience with Git
Preferred Skills
GitHub experience a +
Experience with CSS pre-processors (SASS/SCSS, LESS)
Experience with other programming languages (python, golang, java, etc...)
Backend/API Design experience
Experience tracking user analytics
Experience building apps for mobile
UI/UX design experience
Cross-browser development experience
Benefits
Competitive Salary
401k with Company Match
Stock Plan
PPO Healthcare Insurance
Dental Insurance
Vision Insurance
Short-Term Disability Insurance
Long-Term Disability Insurance
Voluntary Term Life Insurance
Paid Vacation & Holidays
Extensive Training
About iland
iland has been in business for over 20 years and is an industry leader in the areas of Secure Disaster Recovery as a Service (DRaaS), Secure Cloud Backup (BaaS), and Secure Infrastructure as a Service (IaaS). We provide an exciting, fast-paced environment that has been recognized by these industry leaders and more:
Gartner Magic Quadrant Disaster Recovery as a Service Leader: 2016-2019
Zerto Service Provider of the Year: 2016 & 2017
Veeam Innovation Award Winner: 2018 & 2019
Veeam Service Provider of the Year: 2016
The Forrester Wave Leader DR-as-a-Service Providers: 2017
Houston Business Journal #1 Best Place to Work: 2012, 2013, 2016, 2017
Nine Lives Media Inc. Talkin’ Cloud 100: 2011, 2012 & 2013
Houston Business Journal Houston Fast 100: 2012 & 2013
Cisco Cloud Managed Service Provider (Cisco Powered)
VMware Global Service Provider Partner (VSPP) of the Year: 2010-2012"
