,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Software Test Engineer,"Pasadena, CA 91109",Pasadena,CA,91109,None Found,None Found,None Found,None Found,None Found,None Found,"ASRC Federal Technical Services (ASTS) is responsible for managing the NASA Goddard Software Engineering Services II (SES II) contract. This includes the following software engineering capabilities: Systems Engineering, Ground Software, Flight Software, Flight System V&V, IT Development, Science System Development and Data Processing.

We are seeking a self-motivated, talented junior to mid-level Software Test Engineer to collaborate with our software and app development teams - leading an effort to build automated test scripts across our mobile and desktop applications and websites. This individual will be a key member of The GLOBE Program development team in support of NASA, helping to improve our overall quality and efficiency to deliver new capabilities. The selected individual will need to learn about GLOBE and GLOBE applications and work with existing test and software engineers to create scripts.
This support will be required in Pasadena, CA. However, alternative locations will be considered.
The Global Learning and Observations to Benefit the Environment (GLOBE) Program is an international science and education program that provides students and the public worldwide with the opportunity to participate in data collection and the scientific process, interact with NASA scientists, and contribute meaningfully to our understanding of the Earth system and global environment.


Responsibilities

Play a key role in testing mobile applications on Android and iOSPlay a key role in testing new and existing capabilities of websites and web-based applicationsDevelop test automation scripts using Selenium and/or AppiumLearn about GLOBE's capabilities and features to guide the development of automated scriptsApply your understanding of QA Best Practices to improve the team's development processes and the quality of our deliverables

ASRC Federal and its Subsidiaries are Equal Opportunity / Affirmative Action employers. All qualified applicants will receive consideration for employment without regard to race, gender, color, age, sexual orientation, gender identification, national origin, religion, marital status, ancestry, citizenship, disability, protected veteran status, or any other factor prohibited by applicable law.
BS degree with emphasis on Computer Science, IT or related field preferred and minimum of 5- 7 years of software development experience or an equivalent combination of education and experienceExperience writing automated test scripts using Appium and/or SeleniumExperience working with BitbucketFamiliar with CSS, HTML, Javascript and JS frameworksKnowledge and experience with Jenkins, Java, STEM, Jira, Postman, and Continuous Integration/Continuous Deployment methodologies will be considered a plusDetail oriented - ability to write comprehensive and accurate test scriptsGood verbal, written, and interpersonal communication skillsAbility to work independently and as part of a diverse team.Must be a US Citizen and be able to pass a background investigation to obtain a National Agency Check (NAC) security badge to enter the applicable government facility"
1,Associate Software Engineer- Backend,"Glendale, CA",Glendale,CA,None Found,None Found,"
Must be a current student graduating prior to September of 2020 OR have received a degree in a Computer Science, Computer Engineering, Information Systems, or a related field within the last 3 years from time of start
Experience with at least one of the following programming languages required: Python, Java, C++
Experience in developing web APIs using any framework allowing web-service or RESTful endpoints",None Found,"
Implement RESTful APIs defined by the system architect
Evaluate and improve existing algorithms for production deployment
Implement scalable web microservices for deployment using Docker and Kubernetes
Write clean testable code",None Found,None Found,"Position Overview
Beyond Limits is looking for new and recent grads who thrive on new and stimulating challenges and seek out innovative out of box ideas. In this role you will have the opportunity to immediately utilize the skills you’ve been sharpening in school. At Beyond Limits you will work in small teams allowing your voice to be heard and your ideas measured. Our Software Engineers and Data Scientists work very closely, so the ability to work in a collaborative manner is a skill valued greatly at the company.
You will partner with senior engineers to design, code, and develop software applications and interface solutions for clients in the energy, healthcare, finance, logistics and transportation fields.
Responsibilities and Job Duties
Implement RESTful APIs defined by the system architect
Evaluate and improve existing algorithms for production deployment
Implement scalable web microservices for deployment using Docker and Kubernetes
Write clean testable code
Minimum Qualifications
Must be a current student graduating prior to September of 2020 OR have received a degree in a Computer Science, Computer Engineering, Information Systems, or a related field within the last 3 years from time of start
Experience with at least one of the following programming languages required: Python, Java, C++
Experience in developing web APIs using any framework allowing web-service or RESTful endpoints
Preferred Qualifications
Familiarity and/or experience with Go as a server-side language
Experience with SciKIt, NumPy or Pandas
Experience with relational databases such as MySQL and/or PostGRES,
Familiarity with NoSQL databases like MongoDB, Cassandra, and/or Elasticsearch
Expertise with source control tools (Git) and project management tools (Jira)
Bonus: Past relevant tech internship experience
About Beyond Limits
Beyond Limits is a pioneering Artificial Intelligence company with a technology legacy in Space Exploration. A spinoff of NASA's Jet Propulsion Lab and Caltech, Beyond Limits provides advanced intelligence solutions that go far beyond conventional AI. Our cognitive computing technology mimics human thought processes and provides autonomous reasoning to aid human-like decision-making.

Beyond Limits provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Beyond Limits complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.

Beyond Limits expressly prohibits any form of workplace harassment based on race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, genetic information, disability, or veteran status. Improper interference with the ability of Beyond Limit’s employees to perform their job duties may result in discipline up to and including discharge."
2,Laboratory Sound Engineer,"Los Angeles, CA 90079",Los Angeles,CA,90079,None Found,None Found,None Found,None Found,None Found,None Found,"Responsibilities
The primary responsibilities include helping set up and maintain a recording studio space, recording audio, and editing the audio for animated video to be used in a new digital psychotherapy in order to maximize user engagement.
Qualifications
The ideal candidate will have experience in all aspects of sound engineering, including sound recording and editing for film production. The ideal candidate will also understand of the hardware and software systems required to succeed in this role, including pro tools or equivalent. The ideal candidate will have experience in directing recording sessions. The candidate must have an eye for detail and be able to work independently towards goals and meet deadlines.
UCLA is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status."
3,"Software Engineer - League of Legends, Build and Deploy","Los Angeles, CA 90064",Los Angeles,CA,90064,None Found,"
3+ years of deep hands-on programming experiences in one of the following programming languages: C/C++, Java, Go, Python, C#
You've profiled and optimized the performance of your own code
You have shipped a service - preferably one that is customer-facing
Experience with back-end software tools and technologies (MySql, Java, Go, etc.)
Experience with sustaining and maintaining web services coupled with handling emergent and on-call issues
Experience contributing to software engineering best practices within your team, including design reviews, coding standards, code reviews, tools improvements, source control management, build processes, and testing
",None Found,"
Write code and author architectural design documents
Participate in the team's on-call rotation
Develop/test/deploy/maintain platforms and microservices
Work on build and deployment tools for all of League of Legends
Pair with other software engineers
",None Found,None Found,"In 2009, Riot released its debut title League of Legends to worldwide acclaim. The game has since gone on to become the most played PC game in the world and a key driver of the explosive growth of esports. Whether you're in Rio, Seoul or Moscow, you can find an excited and engaged community of League players. Delivering content to a global audience of millions of players whilst also building new games affords Riot's Engineering discipline with a mountain of exciting and technically complex challenges. That's where you come in.

Riot engineers bring deep knowledge of specific technical areas but also value the opportunity to work in a variety of broader domains. As a Software Engineer, you'll work with both new and current technology, creating innovative solutions to overcome high-volume obstacles and to deliver player value.

As a Software Engineer on the League Build and Deploy team, you'll report into the team's Engineering Manager. Your team will be responsible for the fundamental core of how League of Legends develops and operates the game. You'll support the pipelines and processes to build, test, deploy, and operate the game that touch nearly every team within the League of Legends organization. In addition to implementing new service features, you will also be focused on building systems and tools to make the services easier to operate. This includes databases, queues, several key microservices, caches, telemetry systems, and reporting tools.

-----------------

Responsibilities:
-----------------


Write code and author architectural design documents
Participate in the team's on-call rotation
Develop/test/deploy/maintain platforms and microservices
Work on build and deployment tools for all of League of Legends
Pair with other software engineers

------------------------

Required Qualifications:
------------------------


3+ years of deep hands-on programming experiences in one of the following programming languages: C/C++, Java, Go, Python, C#
You've profiled and optimized the performance of your own code
You have shipped a service - preferably one that is customer-facing
Experience with back-end software tools and technologies (MySql, Java, Go, etc.)
Experience with sustaining and maintaining web services coupled with handling emergent and on-call issues
Experience contributing to software engineering best practices within your team, including design reviews, coding standards, code reviews, tools improvements, source control management, build processes, and testing

-----------------------

Desired Qualifications:
-----------------------


Experience with cloud-based services like AWS, Azure, or other proprietary variants
Experience developing and operating global large-scale services
Experience with containerization technologies such as Docker

------

Perks:
------

We offer medical, dental, and vision plans that cover you, your spouse/domestic partner, and children. Life insurance, parental leave, plus short-term and long-term disability coverage are also available. Riot will support your retirement benefits with a company match, and double down on your donations of time and money to non-profit charitable organizations. Balance between work and personal life is encouraged with open paid time off, and a play fund so you can broaden and deepen your personal relationship with games.

It's our policy to provide equal employment opportunity for all applicants and members of Riot Games, Inc. Riot Games makes reasonable accommodations for handicapped and disabled Rioters and does not unlawfully discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, handicap, veteran status, marital status, criminal history, or any other category protected by applicable federal and state law, including the City of Los Angeles' Fair Chance Initiative for Hiring Ordinance relating to an applicant's criminal history (LAMC 189.00)."
4,Software Engineer,"Brea, CA",Brea,CA,None Found,None Found,None Found,Strong in strong in WPF UI development.,None Found,None Found,None Found,"Develop software using technologies such as C# .NET, using WPF.Participate on an agile scrum teamWork both independently and as a team memberStretches self to improve team’s performanceParticipate in technical decisions affecting product modules and/or subsystems, including functional specifications and technical reviewsAnalyze and write requirements to support the designPractices continuous personal improvementIdentifies opportunities for innovation in areas within department
Primary Skills
Strong in strong in WPF UI development.
Secondary Skills
Agile, FDA Process
Education
B.E/B.Tech"
5,Senior Software Engineer,"Los Angeles, CA 90020",Los Angeles,CA,90020,None Found,None Found,None Found,None Found,None Found,None Found,"Strive International is a technical talent agency that connects smart people to great job opportunities that they’ll love.

We don’t care what languages you know or what technologies you’ve used. If you can pass our rigorous cognitive challenge and prove that you’re smarter than 98% of college graduates, we’ll find you an awesome role at a top company.

As a senior software engineer, we expect that you do have the following:

Qualifications

5+ years of software engineering experience in industry
mastery of at least one programming language
extensive experience with a variety of data stores
knowledge of core computer science concepts

Big pluses:

full stack web development experience
mobile app development experience
startup experience
product experience
open source contributions

Small pluses

remote work experience
willingness to relocate

If this sounds like you, we’ll be excited to invite you to take our problem solving challenge and see if you rank among the best talent out there."
6,Intern 2020 - Software Engineer,"Diamond Bar, CA",Diamond Bar,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
Love learning by being thrown in the deep end of the pool
Hard worker
Already graduated or graduating within the next year
Able to work 15+ hours per week","Do you have a crazy hunger to use the knowledge you've learned in school to work on challenging real world problems with one of the fastest growing open source companies in the world? With 460+ employees in 10 different countries, Liferay is a global company with a startup culture and is constantly looking for great people to join our family. If you’ve already graduated or are graduating within the next year and want an opportunity to explore life within a software company apply now and let's chat!

Customized
Liferay seeks to put interns on teams that best fit their strengths - front end, back end, QA, or technical support. The internship is hands-on, rigorous, and fun - but that’s largely dependent on you. Go big or go home, we always say. The internship is also designed as a sort of “boot camp” so that those who excel will be eligible for a full time offer at the end of their internship.

Requirements
Love learning by being thrown in the deep end of the pool
Hard worker
Already graduated or graduating within the next year
Able to work 15+ hours per week

Nice to Haves
Strong love for technology
Enjoyment of open source
Awareness that Java is more than coffee
Understanding of HTML, CSS, JavaScript, and JQuery
Pursuing Bachelor's or Master's in Computer Science"
7,Security Engineer I - Information Security,"Los Angeles, CA 90015",Los Angeles,CA,90015,None Found,None Found,"Proven work experience as an IT generalist
Ability to learn new systems and concepts
Technical knowledge of operating system security
Understanding of network security and networking technologies
Problem solving skills and ability to work under pressure
Good communication (oral and written) and interpersonal skills
Able to solve a range of problems in stessful situations
Able to analyze possible solutions and assess each using standard procedures
Able to make appropriate decisions within guidelines and policies
Able to effectively prioritize own work to meet changing deadlines
Provide after-hours and weekend on-call support for service-related issues.",None Found,"
An Associate’s degree in Computer Science or a related field.
Or the equivalent combination of experience and education that would demonstrate the capability to successfully perform the essential functions of this position.",None Found,"Minimum Education:
Required Education/Experience:
An Associate’s degree in Computer Science or a related field.
Or the equivalent combination of experience and education that would demonstrate the capability to successfully perform the essential functions of this position.
Preferred:
N/A
Minimum Experience/Knowledge:
Two (2) - three (3) years’ experience in general Information Technology concepts
Healthcare experience a plus
Knowledge, Skills, and Abilities:
Proven work experience as an IT generalist
Ability to learn new systems and concepts
Technical knowledge of operating system security
Understanding of network security and networking technologies
Problem solving skills and ability to work under pressure
Good communication (oral and written) and interpersonal skills
Able to solve a range of problems in stessful situations
Able to analyze possible solutions and assess each using standard procedures
Able to make appropriate decisions within guidelines and policies
Able to effectively prioritize own work to meet changing deadlines
Provide after-hours and weekend on-call support for service-related issues.
Required License/Certification:
 Fire and Safety Certification. If no card upon hire, one must be obtained within 30 days of hire, and maintained by renewal before expiration date.

Provide Keck Medicine of USC operational, administrative and project support for the Information Security department whose purpose is to ensure the safety of Information Systems Assets and to protect systems from intentional or inadvertent access or destruction. This role includes, but is not limited to: network security, systems security, IS policy, security solutions, incident response, reporting, and general Information Technology concepts. The Security Engineer I will provide administration for enterprise-wide support, installation, maintenance, management, and coordination of Keck Medicine of USC’s security systems. Participate in security solution implementations, incident response & remediation for indentified incidents, particiapte in the development of policies, standards, procedures for the general operation of the InfoSec Team. Provide off-hour on-call support for issues; apply expertise and independent judgment in order to rapidly restore service and/or protect the organization’s IT assets Responsible for: • Investigation and triage of reported security incidents • Follow established IS procedures to ensure the safety of the IT systems and assets. • Log and report incidents per standards • Responsibilities will continually expand as the number and type of cyberattacks increase and change. Duties include: • Performs/follows all procedures to ensure the safety of Information Systems assets; i.e. remediation steps as directed by a Security Engineer • Proactively monitor security systems • Complete a perscribed incident response model to resolve identified incidents • Provide System administration, maintenance and support for security systems • Provide after-hours and weekend support where necessary for a 24x7 incident response model • Collaborate with other IS teams on incidents, remediations, security systems & solutions, communications, etc. • Help computer users when they need to install or learn about new security products and procedures"
8,"Research Intern, 2020","Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,"
Participate in cutting edge research to develop solutions for real-world, large-scale problems.
",None Found,None Found,"To start the application process, you will need an updated CV or resume and a current unofficial or official transcript in English. Click on the “Apply” button on this page and provide the required materials in the appropriate sections (PDFs preferred):

1. In the “Resume Section:” attach an updated CV or resume.
2. In the “Education Section:” attach a current or recent unofficial or official transcript in English.
Under “Degree Status,” select “Now attending” to upload a transcript.
Note: By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; Ann Arbor, MI, USA; Boulder, CO, USA; Cambridge, MA, USA; Chicago, IL, USA; Kirkland, WA, USA; Los Angeles, CA, USA; Chapel Hill, NC, USA; Madison, WI, USA; New York, NY, USA; Portland, OR, USA; Pittsburgh, PA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA; Sunnyvale, CA, USA; Washington, DC, USA
Minimum qualifications:

Currently enrolled in a Bachelor's, Master's or PhD degree in Computer Science, Linguistics, Statistics, Biostatistics, Applied Mathematics, Operations Research, Economics, Natural Sciences or a related technical field.
Experience in one or more areas of Computer Science, such as Natural Language Understanding, Neural Networks, Computer Vision, Machine Learning, Deep Learning, Algorithmic Foundations of Optimization, Data Science, Privacy, Trust & Safety, Software Engineering or similar.
Experience with one or more general purpose programming languages including: C/C++, Java, MATLAB, Go or Python.

Preferred qualifications:

Returning to a degree program after completion of the internship.
Relevant work experience, including internships, full time industry experience or as a researcher in a lab.
Ability to design and execute a research agenda.
Contribution to research communities and/or efforts, including publishing papers (i.e. being listed as author) in major conferences or journals.
About the job
Research happens across Google everyday, in many different teams. Our research has already impacted user-facing services across Google including Search, Maps and Google Now, and is central to the success of Google Cloud and our planet-scale computing, storage, and networking infrastructure.
Research Interns aren't cloistered in the lab, but instead they work closely with Software Engineers to discover, invent, and build at the largest scale. Ideas may come from internal projects as well as from collaborations with research programs at partner universities and technical institutes all over the world. From creating experiments and prototyping implementations to designing new architectures, Research Interns and Software Engineers work on challenges in artificial intelligence, machine perception, data mining, machine learning, natural language understanding, privacy, computer architecture, networking, operating systems, storage and data management, and much more. You might also stay connected to your research roots as a contributor to the wider research community by publishing papers.
There is always more information out there, and our research teams have a quest to find new ways to make it accessible and useful. We're constantly refining our signature search engine to provide better results, expanding the scope and utility of our data-analytics systems, enhancing our Cloud applications and infrastructure, among a broad range of other Google products.
Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.
Responsibilities
Participate in cutting edge research to develop solutions for real-world, large-scale problems.
At Google, we don’t just accept difference—we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form."
9,Entry Level Software Engineer,"Buena Park, CA 90620",Buena Park,CA,90620,None Found,None Found,None Found,"Analyze business requirements to design, engineer, and build software solutions.
Develop systems in a variety of computer languages, such as C++ and Java.
Maintain high quality documentation of design plans, test plans, build and release plans, and use cases.
",None Found,"This position has no minimum education or experienced requirements.
Sun West is looking for talented engineers and architects that have an innate passion for creating beautiful and elegant systems.
If you fit this description, we would appreciate meeting with you to discuss a career at Sun West.
","Job Responsibilities:
Analyze business requirements to design, engineer, and build software solutions.
Develop systems in a variety of computer languages, such as C++ and Java.
Maintain high quality documentation of design plans, test plans, build and release plans, and use cases.
We offer an excellent salary and benefits package, including health, dental, vision insurance and a 401 (k) program. As well as a great work environment.
Requirements:
This position has no minimum education or experienced requirements.
Sun West is looking for talented engineers and architects that have an innate passion for creating beautiful and elegant systems.
If you fit this description, we would appreciate meeting with you to discuss a career at Sun West.
IF YOU ARE LOOKING TO MAKE A DIFFERENCE, THIS IS THE PLACE TO BE.
However, if you are just looking for a job, do not apply."
