,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Systems Software Engineer - Controls,"Sunnyvale, CA 94085",Sunnyvale,CA,94085,None Found,None Found,None Found,None Found,None Found,None Found,"About Blue River

Blue River Technology serves the agricultural industry by designing and building advanced farm machines that utilize computer vision and machine learning to enable farmers to understand and manage every plant. These machines help farmers to improve profitability, protects the environment by reducing pesticide use, and captures valuable plant-by-plant data. Blue River is a pioneer in the agricultural robotics space and has developed the See & Spray precision sprayer, which applies pesticide only where needed, and can reduce pesticide use 90%.

John Deere & Company, with over 180 years of experience in designing, manufacturing, and distributing innovative products to farmers, acquired Blue River Technology in the fall of 2017 as an independently run subsidiary. In partnership with John Deere, Blue River has expanded rapidly and together both companies see many opportunities to apply advanced computer vision, machine learning, and robotics technologies to other areas in agriculture beyond spraying.

Blue River is based in Sunnyvale, CA and has 100+ team members with diverse experience including computer vision, machine learning, systems software, autonomous vehicles and precision agriculture. Our working environment is fast paced and highly collaborative, and employees are excited to use their talents to improve food production and protect the environment.

Position Description

We are looking for a highly skilled Systems Software Engineer - Controls to join our world-class research and engineering team.

Responsibilities


Work on developing the fundamentals of learning based control systems as applied to complex control problems
Bring a breadth of classical and modern controls knowledge and systems thinking
Advance the state of the art of developing controls systems that learn from data applied to machines producing the world's food supply

Qualifications


Strong applied skills in Python, C++, Hardware, Linux, Modern Controls, Classical Controls & Math
Creative problem solving, Systems thinking
Up to date on current research papers and modern controls methods
Machine Learning skills are highly desirable

Education


Masters in Computer Science, Electrical Engineering or similar discipline

Blue River offers competitive compensation and benefits, including a great 401(K) match. We believe in a work life balance and offer generous Paid Time Off and Sick Leave as well as Paid Parental Leave and an adoption benefit. Subsidized lunches, flexible work hours, CalTrain passes (with mobile Wi-Fi!) and a collaborative and supportive environment also contribute to making Blue River a great place to work."
1,Computer Vision Software Engineer - Autonomous Vehicles,"Santa Clara, CA 95050",Santa Clara,CA,95050,None Found,None Found,None Found,None Found,None Found,None Found,"The NVIDIA Autonomous Driving team is developing leading-edge software for self-driving cars on NVIDIA's high-performance DRIVE PXTM platform. We focus on building learning machines that can derive practical skills from large amounts of diverse data. We believe that neural networks trained with such data will play a crucial role in the development of autonomous driving.
What you’ll be doing:
Working with enthusiastic and dedicated people at the forefront of science and technology is one of the great things you will love when you join this team. Your work may have a huge impact in cars worldwide. You will be innovating algorithms, tools, system design, and processes.
As a member of our group, it is our desire that you be hands-on and passionate about crafting practical results, spending as much time in the field as in the lab. Our main goal is to build product that really works well for autonomous driving. In addition to deep learning, a substantial part of the work are going to be doing is getting the car moving, working with sensors, modeling vehicle dynamics and other activities - so you will have the chance to make important contributions towards these efforts.
Although our group is not in a scientific research environment, nor is deep learning our sole activity, publications may be a natural outcome from your work. However the driving force and the real measure of your success and the success of the team is building solutions that achieve widespread use. The work you will do has a wide impact, is fun, and very challenging!
What we need to see:
BS or MS degree preferred in Computer Science, Computer Engineering or Electrical Engineering, with a minimum of 2+ years of relevant experience
Experience in embedded Computer Vision, SIMD and parallel computing, with a deep understanding of CV algorithms and multimedia image formats
Fluent in C & C++, as well as experience in CUDA
Efficient in SW development in Linux, with a deep understanding about mobile operating system e.g. Linux, Android
Good knowledge in SoCs e.g. Tegra, with efficient use of Software development tools like debuggers
Outstanding written and verbal interpersonal skills in English, as well as dedication to the work
Good organization skills, with a logical approach to problem solving, good time management and task prioritization skills
Ways to stand out from the crowd:
Experience with visual geometry and Deep Learning in a shipping product context
Experience developing real-time Image Processing and/or Computer Vision systems
Software development on embedded platforms or large scale cloud services
Experience with GPGPU programming (CUDA and OpenGL)
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression , sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
#deeplearning"
2,Jr. Software Engineer,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
Excellent coding, problem solving, and debugging skills
Solid understanding of computer science fundamentals (B.S. in Computer Science preferred)
Ability to pair program and work in a super collaborative manner
Experience with React, React Native, JavaScript, or Node.js is a plus
Experience building native mobile apps: ObjectiveC, Swift, Java
","keyo is the new way to rent! We are an end-to-end consumer-centric mobile platform for renters and advanced property management software for landlords.
This is THE solution to make renting and managing apartments as easy as possible for renters and landlords everywhere.
Renters experience Uber-style on-demand apartment viewings, no application or brokerage fees, easy rent payments, neighborhood perks and more.
Landlords enjoy low brokerage fees as well as inventory management, rent payment processing and more, all for free.
Keyo is live in the Google Play Store and Apple App Store.

We’re looking for a junior software engineer to join our team.
As a jr. software engineer, you’ll work throughout the stack, from large-scale data processing to native mobile apps. Specifically, you will be working with a sr. developer to implement the Keyo mobile and web apps, including required server APIs.

This is a great opportunity to learn from an experienced team that has shipped: 9 App of the Weeks, 5 Apple Hall of Fame apps, the iPhone App of the Year (runner up to Instagram), 4 Google Play Editors Choice apps as well as has experience building and scaling lucrative technology-driven startups across various industries.
Requirements

Excellent coding, problem solving, and debugging skills
Solid understanding of computer science fundamentals (B.S. in Computer Science preferred)
Ability to pair program and work in a super collaborative manner
Experience with React, React Native, JavaScript, or Node.js is a plus
Experience building native mobile apps: ObjectiveC, Swift, Java
Benefits
Equity at a very early stage of the company
Flexible work hours and vacation time
Lunch served at work 4 of 5 days"
3,Full Stack Mobile Software Engineer,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"On behalf of an established start-ip in the VR space, Cybernetic Search have been mandated to source a Full Stack Mobile Software Engineer. The successful candidate will work with the latest VR platforms and build mobile (Android/iOS) applications.

Key skills required:

3 years+ software development experience
Applications released on the App Store / Google Play Store
Solid CS fundamentals in algorithms and data structures
Swift/Objective-C (iOS) and Android (Java) experience"
4,Frontend Software Engineer,"Los Altos, CA",Los Altos,CA,None Found,None Found,None Found,"Expert level skills in Javascript/React/React-Native, Expo, CSS, and HTML
Agile Dev Experience
BONUS: Experience working with: Python, influxDB, Grafana, GCP and AWS
","Own the UI dev process for their mobile app
Develop web apps for clients and internal customers
QA / Support debugging of issues + writing tests to ensure quality code production
Assist / Collberate with other members of the engineering team in the various backend, mobile, and web components
",None Found,None Found,"Salary Range: $130K+DOE
Location: Northern California / Onsite Meetings in Los Altos, CA
Role: Front-End Engineer
Our client, a subsidiary of a global renewables company is looking for a front-end engineer to handle UI development for mobile and web applications for operational and customer facing products.
Responsibilities will include translation of the UI/UX design to actual code that will produce visual elements of the application. You will bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. You’ll implement our full technology stack into beautiful and functional applications. You’ll use Javascript/React/React-Native, Expo, CSS, and HTML and if you can us Python, influxDB, Grafana, GCP and AWS you’re a prime candidate.
You’ll be part of a cross-functional, distributed engineering team responsible for translating UI/UX design to actual code that will produce visual elements for both mobile and web apps. You’ll implement their full technology stack into beautiful and functional applications. You’ll use Javascript/React/React-Native, Expo, CSS, and HTML.
Responsibilities:
Own the UI dev process for their mobile app
Develop web apps for clients and internal customers
QA / Support debugging of issues + writing tests to ensure quality code production
Assist / Collberate with other members of the engineering team in the various backend, mobile, and web components
Skills:
Expert level skills in Javascript/React/React-Native, Expo, CSS, and HTML
Agile Dev Experience
BONUS: Experience working with: Python, influxDB, Grafana, GCP and AWS

We cannot consider remote/relocations, 3rd Party Submissions or candidates without required skills and experience .
- - -
We are a staffing agency representingcreative, marketing and tech professionals for freelance and full-time jobs."
5,Software Engineer Job ID: SWSA 2020,"San Jose, CA 95110",San Jose,CA,95110,None Found,None Found,None Found,None Found,None Found,None Found,"GlobalLogic, Inc. in San Jose, CA is seeking applications for the following position:

Job Title: Software Engineer
Job ID: SWSA 2020

Number of Positions: 1

Location: GlobalLogic, Inc. 1741 Technology Drive, 4th floor, San Jose CA 95110

Job Duties:
Design and define new features of software applications. Help gather business requirements, evaluate and estimate the design and development needs of the client. Participate in detail level of coding, code reviews, and unit testing. Prepare detailed workflow charts; modify programs, sequences and codes. Test and update current programs to increase operating efficiency. Conduct trials and fix errors in programs to meet the desired results. Coordinate with offshore team and ensure the coding standards and customer requirements are implemented. Design and documentation review.

Job Requirements:
Requires Bachelor’s Degree or Foreign Equivalent in Computer Science, Management Information Systems, Computer Information Systems, or related field. Any suitable combination of education, training, or experience is acceptable. Requires 2 years of experience in job offered, Software Developer, Programmer Analyst, Software Consultant, Software Associate or related using QRadar, Splunk, and AWS/Azure.

May be required to relocate to various unanticipated locations throughout the United States.

To apply, mail resumes to:
Monica Gammon
Attn: Job ID SWSA 2020
GlobalLogic Inc.
1741 Technology Drive,
4th Floor,
San Jose, CA 95110"
6,Distinguished Software Engineer - Ecomm,"Sunnyvale, CA 94086",Sunnyvale,CA,94086,None Found,None Found,None Found,None Found,None Found,None Found,"Position Summary...
Provides overall direction by analyzing business objectives and customer needs; developing, communicating, building support for, and implementing business strategies, plans, and practices; analyzing costs and forecasts and incorporating them into business plans; determining and supporting resource requirements; evaluating operational processes; measuring outcomes to ensure desired results; identifying and capitalizing on improvement opportunities; promoting a customer environment; and demonstrating adaptability and sponsoring continuous learning. Develops and implements strategies to attract and maintain a highly skilled and engaged workforce by diagnosing capability gaps; recruiting, selecting, and developing talent; supporting mentorship, workforce development, and succession planning; and leveraging the capabilities of new and existing talent. Cultivates an environment where associates respect and adhere to company standards of integrity and ethics by integrating these values into all programs and practices; developing consequences for violations or non-compliance; and supporting the Open Door Policy. Develops and leverages internal and external partnerships and networks to maximize the achievement of business goals by sponsoring and leading key community outreach and involvement initiatives; engaging key stakeholders in the development, execution, and evaluation of appropriate business plans and initiatives; and supporting associate efforts in these areas.
What you'll do...
Executes engineering projects by developing resource planning for business roadmap in advance; removing barriers to success; ensuring others have the information, training, resources, and implementation time needed to succeed; developing and upgrading work assignments and processes to accomplish goals across functions, organizations, and geographies; reviewing project progress against timeline; and developing and communicating logical, convincing justifications, including lessons learned, to build commitment and support.
Reduces customer impact (for example, sales loss) due to applications systems issues by ensuring high quality using quality standards; measuring sales loss and performing root cause analysis; publishing results; and developing future prevention plan.
Develops and executes technical software development strategy for ecommerce applications and systems using current business roadmap by analyzing competitive trends and patterns; analyzing the technology landscape; evaluating short and long term implications; and communicating strategies and change initiatives clearly.
Drives continuous process improvement and innovation by identifying inefficiencies in current processes; improving agility of the team; and adopting industry trends for innovation.
Ensures product quality by developing and executing quality assurance plan; using data and experience to determine customer needs; directing continuous improvement and eliminating non-value-added work; measuring milestones for quality; and developing mitigation plans to ensure quality.
Minimum Qualifications...
Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.
Minimum Qualifications: Bachelor of Science and 7 years' experience in software engineering.
Preferred Qualifications...
Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications."
7,Software Engineer - New Graduate,"Mountain View, CA 94043",Mountain View,CA,94043,None Found,None Found,None Found,None Found,None Found,None Found,"Coupang is one of the largest and fastest growing e-commerce platforms on the planet. Our mission is to create a world in which Customers ask ""How did I ever live without Coupang?"" We are looking for passionate builders to help us get there. Powered by world-class technology and operations, we have set out to transform the end-to-end Customer experience -- from revolutionizing last-mile delivery to rethinking how Customers search and discover on a truly mobile-first platform. We have been named one of the ""50 Smartest Companies in the World"" by MIT Technology Review and ""30 Global Game Changers"" by Forbes.

Coupang is a global company with offices in Beijing, Los Angeles, Seattle, Seoul, Shanghai, and Silicon Valley.

About the role:
We are looking for a customer-obsessed candidate to join our team in Mountain View and build the Coupang Search ranking algorithm. You will be part of a team that is working to grow a critical part of Coupang. The environment is fast-paced and agile, and you will work with new technologies to help us build a better service for our customers. You should enjoy and be adept at leveraging technology solutions to drive innovation for a fast-changing global e-commerce business.

Our new grads work alongside a group of experienced software development engineers to develop Search ranking algorithm, including creating ranking features and developing ML/DL based ranking algorithm. You will also learn how a modern e-Commence works and gain insight on customer behavior through data and query debugging.

What we're looking for:

Bachelor or Master's degree preferably in CS or equivalent
Familiar with machine learning technology, proficient in XGBoost/Tensorflow.
Familiar with data processing technology, such as Spark or Hive
Proficiency in at least one modern programming language such as Java, C, C++, or Python
Ability to deal with ambiguity and deliver results in a fast-paced environment
Hard Worker, Dedicated, Self-Motivated
Team collaboration and Strong Communication skills
Ownership and urgency across all responsible projects
Ability to work with a cross-functional team to turn ideas into working solution

Bonus points for:

PH.D or prior work experience
Experience with SQL and relational database systems
Experience with Spark/Hadoop or other big data processing platforms
Experience in an e-commerce or technology-driven retail environment
Experience working with Amazon Web Services (AWS)
Strong written and verbal communication skills
Experience with deep learning modeling

Coupang is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or gender (including pregnancy, gender identity, gender expression, sexual orientation, transgender status), national origin, age, disability, medical condition, HIV/AIDS or Hepatitis C status, marital status, military or veteran status, use of a trained dog guide or service animal, political activities, affiliations, citizenship, or any other characteristic or class protected by the laws or regulations in the locations where we operate. If you need assistance and/or a reasonable accommodation in the application or recruiting process due to a disability, please contact us at usrecruiting@coupang.com ( usrecruiting@coupang.com )."
8,Software Engineer - Webex Intelligence,"Los Altos, CA",Los Altos,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"What You’ll Do
The workplace of the future will be powered by AI and the Cisco Webex Intelligence team is making that a reality. Two fast-moving startups (MindMeld and Accompany) were recently acquired by Cisco to disrupt and boost the industry's #1 Collaboration portfolio. We aim to build the next generation of collaboration software & devices - from digitizing the in-meeting experience, enhancing distributed team efficiency and improving all aspects of people connection.
In this role, you'll work on our People Insights features. People Insights provides our customers with perfect context on the people they are meeting and collaborating with, right when they need it. We render rich profiles on the people you're meeting with right inside Webex, so that you have the context you need right at your fingertips... Who are you meeting with? What are the most important facts about the company they work for? Do you have anything in common with them?
People Insights helps customers answer all these questions and more, and we do it by curating the world's largest database of senior decision makers in the world. We are building a proprietary data platform that scours billions of pages on the web and uses intelligence and machine learning to create the richest, most real-time profiles in the world for hundreds of millions of people and tens of millions of companies.
How do you decide which parts of the web to crawl? How do you extract structured data from unstructured text? How do you efficiently keep this data up to date? With this people and company data, we're building services that can operate at scale to deliver personalized data and competitive insights. How do you store and query all this data efficiently? What unique deductions and insights might you make from it?
And to display this personalized data and these competitive insights, we're building fast, powerful features across Cisco's entire portfolio of collaboration apps that are a delight for our customers to use. How do you show so much data while still keeping a UI simple and easy to use? How do you build powerful functionality while staying extremely performant?
People Insights is ripe with exciting technical challenges, most of which have yet to be solved here and some of which have yet to be solved anywhere!

Who You’ll Work With
We have a small but mighty team of engineers who are exceptionally talented and all low ego. Many of our engineers have founded their own startups prior to forming Webex Intelligence, in domains ranging from crowdfunding to dynamic pricing to real-time document editing. Others have built significant infrastructure at larger companies like Google and Amazon. We draw on this well of experiences every day as we collaborate on our own product, tech stack, and go to market strategy. We're all highly collaborative, committed to building great things, and consider it a privilege to learn from each other every day.

Who You Are
You take pride in building and shipping fabulous software. You thrive on ownership and autonomy, but are also committed tocollaborating and communicating across the team's different stakeholders and domain experts. You enjoy working in an interdisciplinary environment that requires interfacing cross-functionally, from product to sales to customer support. You hold yourself and your teammates to a very high degree of quality in everything you do. You're hungry to apply the skills you already have, and to learn new ones from the work you'll do and team you'll work with. You thrive on constructive feedback and you deliver results that matter.
Requirements
Experience writing robust systems that have served real customers
Solid foundation in Computer Science (algorithms, data structures, software design)
Great can-do attitude and ability to thrive and learn in a fast-paced environment
Strong written and verbal communication abilities and a commitment to using them
Desire to work on a highly scalable and available system used by tens of millions of users daily
Most of our codebase is in Ruby and C++, but languages can be learned. We prioritize general programming ability over any specific language experience.
Experience being a generalist—curiosity about and ability to work on different parts of the system (backend, front-end, mobile, data mining, machine learning)

Why Cisco
At Cisco, each person brings their unique talents to work as a team and make a difference. Yes, our technology changes the way the world works, lives, plays and learns, but our edge comes from our people.
We connect everything – people, process, data and things – and we use those
connections to change our world for the better.
We innovate everywhere - From launching a new era of networking that adapts, learns and protects, to building Cisco Services that accelerate businesses and business results. Our technology powers entertainment, retail, healthcare, education and more – from Smart Cities to your everyday devices.
We benefit everyone - We do all of this while striving for a culture that empowers every person to be the difference, at work and in our communities.
Colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. Be you, with us! #WeAreCisco"
9,Software Engineer,"Mountain View, CA 94043",Mountain View,CA,94043,None Found,None Found,None Found,None Found,None Found,None Found,"BlackBerry is looking for an exceptional Software Engineer who can contribute to the design and implementation of a next generation behavioral security system. In this role, you will be working on Java based microservices running in Docker containers and integrating them with other BlackBerry services. This role will allow you to stretch your technical and collaboration skills and there are opportunities to further develop in areas like Machine Learning and container-based deployment. You'll also have a chance to provide technical guidance and influence the product direction in collaboration with product and engineering management.
Duties and responsibilities
Designing, Developing and Testing Java based microservices
Participating in architecture, design, coding and security reviews for the software and suggesting improvements
Providing technical leadership in a team of software engineers for developing and verifying features
Working with the engineering manager and product manager to scope features and identify dependencies
Working with the cross functional and distributed teams
Working closely with quality teams for fixing the defects and supporting product verification
Attention to details and a creative eye for building compelling user experiences
Required Knowledge, Skills and Experience
A degree in Computer science, Computer Engineering or equivalent
3 - 5 years of programming experience in more than one programming language, including Java
Experienced in multi-threading, multi-processing and asynchronous programming paradigms
Experience in building scalable, well performing Java software components and preferably microservices
Good understanding of data structures and algorithms
Proficient in network layers and protocols (HTTP, TCP/IP, SSL)
Experience in iterative development and agile methodology
Security software experience is highly desired
Others
You are passionate about solving hard engineering problems and coming up with elegant solutions
You act like an owner and strive to do work you're proud of, both technically and in your team interactions
You are able to inspire other people to work with you, and you enjoy collaborating and coaching other engineers
#LI-ES1
Job Family Group Name:
Product Development
Scheduled Weekly Hours:
40"
