,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Software Engineer - Front End, REACT","Brooklyn, NY 11245",Brooklyn,NY,11245,None Found,None Found,None Found,None Found,None Found,None Found,"As a member of our Software Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You’ll work in a collaborative, trusting, thought-provoking environment—one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.
 This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Advanced knowledge of application, data and infrastructure architecture disciplines
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Knowledge of industry wide technology trends and best practices
Ability to work in large, collaborative teams to achieve organizational goals, and passionate about building an innovative culture
Proficiency in one or more modern programming languages React, JavascriptUnderstanding of software skills such as business analysis, development, maintenance and software improvement.

Experience with UI

Typescript is a plus

CIB (Corporate & Investment Bank)
Our Corporate & Investment Bank relies on innovators like you to build and maintain the technology that helps us safely service the world’s important corporations, governments and institutions. You’ll develop solutions for a bank entrusted with holding $18 trillion of assets and $393 billion in deposits. The Corporate & Investment Bank provides strategic advice, raises capital, manages risk, and extends liquidity in markets spanning over 100 countries around the world.

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech organizations. In our global technology centers, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $11B annual investment in technology enables us to hire people to create innovative solutions that are transforming the financial services industry.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you."
1,Software Engineer (Multiple Levels) - NYC,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Our mission as a leading investment management firm is to help our clients achieve their long-term financial goals. We believe our associates are the key to this mission and we are always looking for talented individuals who share our commitment to our client’s success.

If you’re looking for challenging work experiences and the ability to learn in a collaborative culture, we invite you to explore the opportunities available at T. Rowe Price.
** T. Rowe Price is not offering visa sponsorship for this position **
** We are only considering local NYC area candidates - no relocation being offered **
** Seeking experienced professionals (3+ Years) - this is not an entry level or internship role **
OVERVIEW
Engineers at T. Rowe Price are playing a key role in helping build the future of financial services, working hand-in-hand with business partners to create client experiences that are changing the way people invest. We’re looking for software engineers at all levels to join our Technology Development Center located in Union Square NYC. We want technologists with a fresh perspective who are passionate about solving complex business, data and technical challenges. You’ll work with smart, talented people across our business to create groundbreaking, next-generation applications for n-tier cloud architectures. You’ll be involved, hands-on, through the entire development cycle. And you’ll redefine the way our traders, portfolio managers and analysts serve our clients.
We will expect you to be agile / to lead / to think outside the box. In return, we’ll give you challenging work that has an impact / Opportunities to learn and grow / and a collaborative culture that encourages every member of our team to bring their point of view to the table—because that’s how we help our clients succeed. The TDC is working to develop the firm's next generation data distribution platform, with the aim to seamlessly deliver real-time and on-demand investments data to a global network of distributed trading and research platforms. We are employing new paradigms such as cloud computing, lightweight microservices, and distributed and non-relational databases to deliver elastically scalable, globally distributed and highly resilient software services.
Designs, develops, modifies, adapts and implements short- and long-term solutions to information technology needs through new and existing applications, systems, databases and applications infrastructure. Reviews and interprets system requirements and business processes. Codes, tests, debugs and implements software solutions.
Requires in-depth knowledge and expertise in their own job discipline and working knowledge of related disciplines
Leads projects or work streams within broader projects
Accountable for work of self and sometimes others, provides process and standards advice in area of specialty
Works independently, receives minimal guidance
Acts as a resource for colleagues with less experience
ROLE SUMMARY AND JOB RESPONSIBILITIES
Craftsman-like approach to building software; takes pride in engineering excellence and instills these values in others
Demonstrable passion for technology (e.g. personal projects, open-source involvement) while using their problem solving capabilities to deliver solutions utilizing a top end engineering approach
Focused on delivering value to the business with relentless efforts to improve process
Exceptional technology skills; recognized by your peers as an expert in your domain
A proponent of strong collaborative software engineering techniques and methods: agile development, continuous integration, code review or pairing, unit testing, refactoring and related approaches
Strong analytical ability, true problem solvers
High achiever who combines ambition with humility and is happy to let their performance do the talking
Accountable for all parts of the software development lifecycle for their projects
Contributes to the development of best practices within their group
Leads code reviews and actively participates in providing feedback on others’ designs/code
Accountable for technical debt in their own software
At some levels, capable of leading a small team of developers for a specific project
Takes control of complex or vague problems and steps through them in a rational way
Makes tactical vs. strategic tradeoffs
Flexible in his or her thinking; able to evolve a solution when additional information or ideas are presented
Mentors junior members of the team
Identifies when junior engineers need help and provides it in a positive way that promotes confidence.
Proactively helps team members/make suggestions to improve practices.
BUSINESS KNOWLEDGE
Able to work directly with business stakeholders
Decisions show a focus on current and future business priorities, together with fiscal responsibility
Can articulate business needs and translate them into technology solutions
REQUIREMENTS
Minimum 3+ Years of professional Object Oriented development experience (Java preferred)
Experience with automated delivery pipelines, agile delivery and test-driven development
In-depth experience with server-side frameworks such as Spring Boot and Tomcat
In-depth knowledge of software design patterns
In-depth RDBMS development experience (e.g. SQL Server, PostgreSQL, MySQL)
Solid understanding of cloud native architectures (AWS, etc.) for containerized microservices
Experience working in a dynamic, fast-paced, Agile team environment Strong interpersonal skills; able to establish and maintain a close working relationship with quantitative researchers, traders and senior business leaders
Confident communicator; able to argue a point concisely and deal positively with conflicting views
Enthusiasm for learning & results oriented
A solid understanding of financial markets and instruments is a plus
Stays current with many best-of-breed technologies
Shows a commitment to quality by implementing suitable software using unit/integration and acceptance testing at the time of feature development
Debugs large components with limited assistance and assists other engineers with debugging
At some levels, leads code reviews and actively participates in providing feedback on others’ designs/code
Performs as an expert in one or more parts of the software lifecycle (e.g., coding, testing, deployment). Oversees significant pieces of development within the development lifecycle
Designs and develops practical APIs and abstractions.
Owns technical debt in their own software
T. Rowe Price is an Equal Opportunity Employer"
2,Software Engineer,"New York, NY 10048",New York,NY,10048,None Found,None Found,None Found,None Found,None Found,"3-5 years of experience delivering full-stack web products at scale
Understanding of programming fundamentals
Fluency with HTML, CSS, client-side and server-side JavaScript
Highly proficient in at least one JavaScript application framework (preferably React) and proven experience with modern JavaScript standards
Experience with at least one server-side web application framework (preferably Ruby on Rails) or system language (preferably Golang)
An understanding of database design and of both relational and NoSQL databases
Demonstrated strong cross-functional expertise, collaboration with product function and overall achievement with a team spirit
BS/MS/PhD in Computer Science or equivalent experience
","Condé Nast Entertainment (CNÉ) is an award-winning next generation studio and distribution network with entertainment content across film, television, premium digital video, social, and virtual reality. In just six years since inception, CNÉ achieved profitability for its digital business ahead of schedule, reached TV-like scale for many of its digital videos, and has won Emmy and Critics’ Choice Awards, as well as garnered Academy Award and Peabody nominations. Culling from IP across Condé Nast’s iconic publishing brands, including Vogue, Vanity Fair, The New Yorker, GQ and Wired, CNÉ has produced series for Netflix, Investigation Discovery, Amazon, and more; and currently has feature films with Sony and Fox Searchlight. In addition, the Next Gen Studio produces and distributes over 5,000 pieces of original digital video content a year delivering more than 6.7 billion video views year to date. CNÉ has an extensive digital distribution network of nearly 50 partners across 4,000 websites and ranks #21 in unique viewers in comScore’s Top 100 Properties, ahead of Buzzfeed, ESPN, Vice, Vox, Scripps, Refinery29, The New York Times, Hearst and Awesomeness. http://www.condenast.com/cne
Job Description
Software Engineer (Condé Nast Entertainment)
About CNE
Condé Nast is home to some of the world's most celebrated brands: Wired, Vogue, GQ, Vogue,The New Yorker, Vanity Fair and many more. Condé Nast Entertainment creates high quality video programming experiences for viewers across every screen. The CNE team is led by industry veterans who have built video businesses with billions of monthly views. CNE has grown rapidly and has an extensive digital distribution network, with more than 28 million subscribers on Youtube and ranks in the top 25 in unique viewers in comScore's Top 100 Properties.
About Our Team
We are a small but close-knit team of digital designers, product managers, and engineers dedicated to building innovative products. We create meaningful video experiences that directly meet the needs of both our readers and content creators.
Overview of Our Systems
Our main product at CNE is video; we build services, players, and platforms for producing and distributing video. CNE video services are used across all Condé Nast brand sites and by well known content distribution partners, globally.
Are We A Good Fit?
Do you love to build things? Are you hungry to learn? Are you passionate about testing, continuous deployment, and code quality? Are you someone that ships products and really do believe that done is better than perfect? Are you interested in applying the latest technologies at a large scale? If so, you sound awesome!
Requirements:
3-5 years of experience delivering full-stack web products at scale
Understanding of programming fundamentals
Fluency with HTML, CSS, client-side and server-side JavaScript
Highly proficient in at least one JavaScript application framework (preferably React) and proven experience with modern JavaScript standards
Experience with at least one server-side web application framework (preferably Ruby on Rails) or system language (preferably Golang)
An understanding of database design and of both relational and NoSQL databases
Demonstrated strong cross-functional expertise, collaboration with product function and overall achievement with a team spirit
BS/MS/PhD in Computer Science or equivalent experience
Nice to have:
Extensive experience working with different programming paradigms: object-oriented, functional and imperative
Experience in building for or working with cloud based infrastructure, specifically on AWS
Experience with building video first web products and video distribution infrastructure (ie. encoding, adaptive streaming services, video ad server capabilities)
What happens next?
If you are interested in this opportunity, please apply below and we will review your application as soon as possible. Please note that due to the high level of applications we receive, it is not always possible for us to respond to each applicant in person. Should your profile fit this open position we will contact you within approximately 4 weeks. You can update your resume or upload a cover letter at any time by accessing your candidate profile.
C ondé Nas t is an equal opportunity workplace.

Duties and responsibilities may be adjusted based on years of experience.

Salary is also commensurate with experience."
3,Software Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"(Full-Time, New York City)
Upsolve is an award-winning nonprofit that helps low-income families file for bankruptcy for free, using technology. In the last year, Upsolve has relieved over $50 million in debt for low-income families trapped in debt from medical bills, predatory loans, and layoffs. We combine the scale of tech startups with the quantifiable impact of the most effective nonprofits.
Upsolve is funded by Y Combinator, Eric Schmidt, and the Robin Hood Foundation. Our funders also include Jim Breyer, who led the Facebook Series A, Vinod Khosla, founder of Khosla Ventures and SUN Microsystems, and Chris Sacca, an early investor in Instagram, Facebook, and Uber.
In 2019, Fast Company named Upsolve World Changing Idea of the Year in Social Justice. In 2018, the New York Times gave Upsolve the Good Tech Award.
The Role
You will be a founding engineer on the team, and you will wear many hats. One week you may help with SEO-based growth and the next you may be building a natural language processing tool that processes court notices. To thrive in this position, you work as a generalist driving your own direction and learning. You will choose when to ship quickly and when to raise the standard of the code base. You will observe, understand, and solve for the problems that our teammates and users experience.
We are building an engineering culture inspired by Netflix and Segment, and a design culture like UENO and Airbnb. We constantly seek out mentorship and advice so we can improve ourselves and we want to support you in doing the same. We are creating a reputation that for-profits and non-profits will aspire to match.
Upsolve cash compensation is above nonprofit market rate and in par with for-profit tech companies of our size.
Upcoming Goals
Here are some goals the team is energized to accomplish:
In the next 3 months double site traffic
In the next 3 months, understand and solve for drop off in our self-guided interview
In the next 6 months, optimize the business model so we can break even as an organization and be default-alive (currently 50% of the way there)
In the next 6 months, have 95% of cases filed without lawyer edits (currently 80%)
By the end of the year, relieve $100 million in debt for low-income families
About this Role
We’re looking for software engineers with different levels of experience. Regardless of your seniority, you’re guaranteed to make a substantial contributions right away. To be effective and successful on our size team, you must have:
3+ years full-stack development experience building, shipping, and maintaining complex full-stack software
Experience with JavaScript frameworks
Experience building and shipping software in a startup environment (either an actual startup, or an intrapreneurial situation within a larger organization)
How to Apply?
We’d love to talk to you. Send an email to rohan@upsolve.org
 Made in Brooklyn, NYC

Share this knowledge:"
4,Software Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"----------------
Role Description
----------------

Dropbox is looking for software engineers to come build the next generation of work collaboration tools. The software engineer role is a generalist role, accepting people with a broad range of expertise with an emphasis in backend and distributed systems work. You can find more specialized engineering roles including mobile, web, and fullstack on our engineering jobs page ( https://www.dropbox.com/jobs/teams/engineering ).

Software engineers work at all levels of the stack to deliver software - everything from syncing exabytes of data ( https://blogs.dropbox.com/tech/2016/05/inside-the-magic-pocket/ ), to staying in flow with Dropbox Paper ( https://blogs.dropbox.com/dropbox/tag/dropbox-paper/ ), to handling millions of HTTP requests ( https://blogs.dropbox.com/tech/2018/10/dropbox-traffic-infrastructure-edge-network/ ). Software Engineers are at the heart of everything we do at Dropbox, and in a typical week you'll be expected to develop new features in a multi-functional team of designers, product managers, project managers, and quality assurance engineers. Software engineers are also responsible for the quality of the code and systems they produce, working hand-in-hand with customer experience and quality assurance Dropboxers to ensure that our product continues to serve the needs of our tens of millions of users.

-------------------------------------------------------------------
If you are a new grad or intern please apply directly to that role.
-------------------------------------------------------------------

----------------
Responsibilities
----------------


You will partner with product managers, designers, and analysts to deeply understand the needs of our users and build a product that serves those needs
You will build infrastructure to handle metadata for hundreds of billions of files, hundreds of petabytes of user data, and millions of concurrent connections
You will write modular, secure, and well-tested code
You will design and build software capable of reaching millions of daily users in Python, React, and Go
You will ensure that our development environment is best in class by delivering improvements to internal tooling and direct partnership with our product platform teams
You will work closely with customer support to respond quickly to issues for our users and solve those in a permanent and scalable way
You will articulate a technical vision for a more enlightened way of working and work with multi-functional partners to deliver that vision

------------
Requirements
------------


BS (or higher, e.g., MS, or PhD) in Computer Science or related technical field involving coding (e.g., physics or mathematics), or equivalent technical experience
2+ years of work related industry experience
A desire to take Dropbox even further. If these large-scale projects resonate, we'd love to learn more about you and find out if we can work together

------------------
Benefits and Perks
------------------


100% company paid individual medical, dental, & vision insurance coverage
401k + company match
Market competitive total compensation package
Free Dropbox space for your friends and family
Wellness Reimbursement
Generous vacation policy
10 company paid holidays
Volunteer time off
Company sponsored tech talks (technology and other relevant professional topics)

"
5,Software Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Nautilus is building artificial intelligence to advance the efficiency of ocean commerce. We deliver technology to help shipping companies minimize fuel consumption, maximize operational efficiency, and optimize fleet performance. By arming ship owners and operators with real-time predictive decision support, Nautilus is reducing greenhouse gas emissions and making global trade sustainable.

Ocean shipping consumes over $100 billion dollars of fuel every year, and up to 30% of it can be saved. For owner-operators, reliance on manually collected and analyzed data makes it difficult to optimize fleet performance in real-time. By providing a unified data platform that leverages machine learning, Nautilus helps its clients make better decisions to maximize the return on each ship and every voyage. For our clients, this means they drive closer collaboration, greater transparency, and stronger accountability across their global teams every day.

About you.
We are hiring for full-stack software engineers to join our core product team. This role will be a core member of a small engineering team and report directly to the Chief Technology Officer. We use Go and ReactJs/Redux running in Docker on AWS. But most importantly we look for a willingness to learn and work anywhere in the stack. We like individuals who want to make an impact, are mission-driven, customer focused, and enjoy solving technically challenging problems.

Outcomes for this role.
Shaping our product by spearheading updates to features and infrastructure
Contributing and championing new ideas derived from your unique experiences to improve our processes
Being challenged by your colleagues and learning something new every day
Proficiencies.
2+ years work experience on a software team
1+ years full stack experience on a deployed product
Experience with a client-side library like ReactJS, Angular, Vue, Ember, etc.
Experience with a statically typed language like Go, Scala, C++, or Java
Excellent analytical and problem solving skills
Able to take ownership of a large software project
Ability to balance stress, effort, and reward
BS in Computer Science, similar field of study or equivalent practical experience required.
Our core values.

Get ready to join a group of diverse, smart, talented, and driven individuals. We are looking for people who are motivated by environmentalism and a future where shipping is sustainable and safe. A team member joining Nautilus is...

We’re THOUGHTFUL, with a bias towards action.
We’re an INCLUSIVE crew, and we are not passengers along for the ride.
We’re DIRECT and we ask the tough questions.
We EMPATHIZE with humanity.
Location: On-site in New York, NY based office
If you’re the right candidate, we want to hear from you. Please apply using the contact form below or send an email to careers@nautiluslabs.co.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
6,Full-Stack Software Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description

Our HIPAA-compliant cloud is the key to Butterfly's service model - enabling users to store, collaborate, analyze, and educate. We are looking for a talented back-end or full-stack web developer with a deep understanding of systems architecture, and knowledge of how applications interact with systems at scale.
As part of our team, your core responsibilities will be:
help grow this cloud platform and bring new classes of services to life - for use everywhere, from the hospital to the home.
work to achieve these goals using the best technologies available.

Qualifications

Baseline skills/experiences/attributes:
3+ years of experience designing and building modern back-end cloud systems, especially using Python, Node.js or Ruby and web app frameworks such as Django or Rails to implement RESTful services
Bachelor's Degree in Computer Science or equivalent experience

Ideally, you also have these skills/experiences/attributes (but it’s ok if you don’t!):
Designing elastic and resilient distributed systems in a cloud environment such as AWS, GCP, or Azure
GraphQL and related frameworks e.g. Relay, Apollo and URQL
Containerization and orchestration technologies such as Docker, Kubernetes, ECS, EKS
Web apps with live updates - pub/sub solutions (such as Redis), WebSockets
SQL (especially modern versions of PostgreSQL) and NoSQL databases
HIPAA, PHI and PII compliance
Additional Information

We offer great perks:
Fully covered medical insurance plan, and dental & vision coverage - as a health-tech company, we place great worth on our teams’ well-being
Competitive salaried compensation - we value our employees and show it
Equity - we want every employee to be a stakeholder
Pre-tax commuter benefits - we make your commute more reasonable
Free onsite meals + kitchen stocked with snacks.
401k plan - we facilitate your retirement goals
Beautiful office overlooking the Flatiron building in NYC
The opportunity to build a revolutionary healthcare product and save millions of lives!
For this role, we provide visa assistance for qualified candidates.
Butterfly network does not accept agency resumes.
Butterfly Network Inc. is an E-Verify Company and is an equal opportunity employer regardless of race, color, ancestry, religion, gender, national origin, sexual orientation, age, citizenship, marital status, disability or Veteran status. All your information will be kept confidential according to EEO guidelines."
7,Software Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"FanDuel Group is an innovative sports-tech entertainment company that is changing the way consumers engage with their favorite sports, teams, and leagues. The premier gaming destination in the United States, FanDuel Group consists of a portfolio of leading brands across gaming, sports betting, daily fantasy sports, advance-deposit wagering, and TV/media, including FanDuel, Betfair US, DRAFT, and TVG. FanDuel Group has a presence across 45 states and 8 million customers. The company is based in New York with offices in California, New Jersey, Florida, Oregon, and Scotland.

At FanDuel we champion the customer and work in empowered streams, autonomously tackling complex challenges that provide the very best experience for our users.

You will be working with


Platform: Java / Python / NodeJS / PHP
Extensive (and ever growing) use of Amazon Web Services

Basic Qualifications


2+ Years of Industry Experience building production software
Proficiency in any backend server-side language
Strong, object-oriented design and coding skills
A solid grounding in Computer Science fundamentals
A focus on clean code and solid designs
Learns new areas of codebase and new tech quickly, is building understanding of technical landscape and trends
Experience with large-scale multi-tiered systems and service-oriented architecture
Trusted to come up with solid technical solutions to ambiguous or open-ended problems
Able to take part in high-level technical discussions
Experience writing unit tests

Preferred Qualifications


Degree in Computer Science, related field, or equivalent work experience
Strong sense of ownership, urgency, and drive
Demonstrated abilities driving operational excellence and best practices
Demonstrated experience in shipping high quality products and services
Proficiency in front end technologies (HTML / CSS / JS / JS Frameworks)
Able to communicate technical concepts simply and successfully, to both technical and non-technical audiences
Maintains relationships with other disciplines and stakeholders
Experience writing functional tests

What you get in return?

Beyond working with such a great team?


An exciting environment with opportunities for real growth
A supportive, trusting and open work environment
Build innovative products used by a highly passionate user base
Personal learning and development opportunities.
Unlimited holiday allowance
Attractive health insurance plans
401K plan

There's more, but we don't want to go on and on.

FanDuel is an equal opportunities employer. Diversity and inclusion in FanDuel means that we respect and value everyone as individuals. We don't tolerate bias, judgement or harassment. Our focus is on developing employees so that they reach their full potential."
8,Software Engineer,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Cortical.io is a young entrepreneurial company focusing on natural language understanding (NLU). We use our patented technology in combination with sophisticated AI approaches, to address problems others have failed to resolve. Over the last couple of years, we have built an impressive client portfolio of global Fortune 500 companies. At this point we are looking to expand our team in the New York City office.
Where you’ll be working
The position entails a combination of:
Working in our New York City office next to Bryant Park
Up to 30% of your time working at customer sites in NY and various parts of the US
What you’ll be working on
Applying and integrating our state-of-the-art NLU solutions and machine-learning techniques to solve real-world use cases for large enterprises
Working closely with our clients, including big names from the financial, information technology, and automotive industries to customize and roll out our AI-powered technology for diverse and fascinating use cases
Coordinating with our R&D department to ensure continuous technical improvement of our core products and solutions
What you must have
A bachelor’s degree in computer science or equivalent work experience
5+ years of professional experience as a software engineer
Proven professional experience with Java development
Experience using Maven, Gradle or equivalent
Experience with common frameworks such as Spring
Experience with SQL, NoSQL and REST
Experience integrating projects or products into existing infrastructures
Experience in working with a UNIX-style environment, including
Basic command-line knowledge
Basic experience working in a remote server environment
Experience with common IDEs such as IntelliJ or Eclipse
Knowledge of scripting languages such as shell script and Python
Experience working in an agile development environment
Good communication skills to interact with technical and business people at all levels of customers’ organizations
Authorization to work in the US
It would be great if you also had
A master’s degree in computer science or related field
Experience in NLP, machine learning, and/or information retrieval
Experience with Docker
Previous start-up environment experience
Experience in requirements engineering
Gathering and analyzing customer requirements
Project scoping and effort estimation
Experience with on-site customer projects or on-site product integration
Experience in a customer-facing role
Willingness to travel internationally
What you’ll benefit from
A competitive salary
A generous benefits package, including:
15 paid vacation days a year
10 paid public holidays
Sick leave
Medical, dental & vision coverage
Commuter benefits
Flexible working arrangements
A relaxed, diverse, and friendly team
Chances to spend time in our HQ in Austria as well as different parts of the US
The satisfaction of engineering successful machine learning solutions where competing technologies have come up short
Joining an expanding company that is already working with many big-name clients
An exciting collaborative team that nurtures learning and entrepreneurial thinking
If you meet the minimum requirements and are interested in applying for this position, we would love to hear from you!
Eligibility to work in the United States
Cortical.io USA Inc. participates in the E-Verify program to determine the eligibility of new employees to work in the USA. For additional information, visit https://www.uscis.gov/e-verify
If you are interested in applying for this position, please send your details (cover letter and CV) to Pablo.NY@cortical.io with the job title in the subject line."
9,Software Engineer - Front End,"New York, NY 10001",New York,NY,10001,None Found,None Found,None Found,None Found,None Found,None Found,"As a member of our Software Engineering Group you will dive head-first into creating innovative solutions that advance businesses and careers. You’ll join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing and application programming that goes into creating high quality software and new products. You’ll be tasked with keeping the team and other key stakeholders up to speed on the progress of what’s being developed. Coming in with an understanding of the importance of end-to-end software development-such as Agile frameworks-is key. And best of all, you’ll be working with and sharing ideas, information and innovation with our global team of technologists from all over the world.

This role requires a wide variety of strengths and capabilities, including:

BS/BA degree or equivalent experience.
Advanced knowledge of application, data and infrastructure architecture disciplines.
Understanding of architecture and design across all systems
Working proficiency in developmental toolsets
Ability to collaborate with high-performing teams and individuals throughout the firm to accomplish common goals.
Proficiency in one or more general purpose programming languages including JavaScript
Understanding of software skills such as business analysis, development,maintenance and software improvement
Demonstrated and strong software engineering experience working on JavaScript platforms, as well as with HTML5, CSS and AJAX
Excellent understanding of development concepts, SDLC and Agile methodologies and object oriented and software design patterns.
Experience with testing at the unit, integration and system levels
Experience with at least one web application server such as Tomcat, NoJS or similar
Understanding of NodeJS, AngularJS, extJS, SenchaTouch Framwork, Promise and other framework like (FlightJS, requireJS, wireJS, AngularJS), multithreading, Agile/Lead-XP/Kanban, Test driven/Business Drive Development and Continuous Integration preferred.

Our Consumer & Community Banking Group depends on innovators like you to serve nearly 66 million consumers and over 4 million small businesses, municipalities and non-profits. You’ll support the delivery of award winning tools and services that cover everything from personal and small business banking as well as lending, mortgages, credit cards, payments, auto finance and investment advice. This group is also focused on developing and delivering cutting edged mobile applications, digital experiences and next generation banking technology solutions to better serve our clients and customers.

When you work at JPMorgan Chase & Co., you’re not just working at a global financial institution. You’re an integral part of one of the world’s biggest tech organizations. In our global technology centers, our team of 50,000 technologists design, build and deploy everything from enterprise technology initiatives to big data and mobile solutions, as well as innovations in electronic payments, cybersecurity, machine learning, and cloud development. Our $11B annual investment in technology enables us to hire people to create innovative solutions that are transforming the financial services industry.

At JPMorgan Chase & Co. we value the unique skills of every employee, and we’re building a technology organization that thrives on diversity. We encourage professional growth and career development, and offer competitive benefits and compensation. If you’re looking to build your career as part of a global technology team tackling big challenges that impact the lives of people and companies all around the world, we want to meet you."
