,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"3M HIS Healthcare Technology – Software Engineer (Silver Spring, MD)","Silver Spring, MD",Silver Spring,MD,None Found,None Found,"Possess a Bachelor’s Degree or higher from an accredited university OR High School Diploma/GED or higher from an accredited institution and a minimum of four (4) years of experience in software development in lieu of the bachelor’s degree education requirement
S oftware development experience with one or more programming languages, including but not limited to: Java, Perl, AWS, C/C++, C#, JavaScript, Objective C, Python (course work and internship work included)
",None Found,"Be an active member of a Agile team by participating in all phases of SDLC, including design, software development and code reviews
Develop software components based on requirements, architecture and design specifications
Work with fellow software engineers, software architects, quality (QA) engineers, full-stack developers, and other engineering/development team members to design and build required systems
Ensure 3M applications integrate with 3rd party vendor software required to deliver the required solutions to 3M customers.
Adhere to team design and coding procedures and standards
Help resolve escalated customer support issues
Actively participate in relevant corporate programs/initiatives, complies with professional and quality standards complies with corporate policies and procedures, and act in a manner consistent with 3M’s values and ethical standards.
",None Found,None Found,"3M is seeking a Software Engineer for the Health Information Systems located in Silver Spring, MD.
3M Health Information Systems is hiring for developers from New Grad to Senior level experience. As a Software Engineer you will be helping with today’s challenges, while preparing for tomorrow’s. You will be challenged daily on exciting large-scale projects with the latest technologies. You will be part of a team that has meaningful work and makes a difference for both domestic and international healthcare markets. If you have a strong technical background with the ability to efficiently solve challenging problems, you would be set up to be very successful in this position and have a positive impact quickly. Join US!
This position provides an opportunity to transition from other private, public, government or military environments to a 3M career.
Primary Responsibilities (Software Engineer) include but are not limited to the following:
Be an active member of a Agile team by participating in all phases of SDLC, including design, software development and code reviews
Develop software components based on requirements, architecture and design specifications
Work with fellow software engineers, software architects, quality (QA) engineers, full-stack developers, and other engineering/development team members to design and build required systems
Ensure 3M applications integrate with 3rd party vendor software required to deliver the required solutions to 3M customers.
Adhere to team design and coding procedures and standards
Help resolve escalated customer support issues
Actively participate in relevant corporate programs/initiatives, complies with professional and quality standards complies with corporate policies and procedures, and act in a manner consistent with 3M’s values and ethical standards.
Basic Qualifications (Full Stack Software Engineer) :
Possess a Bachelor’s Degree or higher from an accredited university OR High School Diploma/GED or higher from an accredited institution and a minimum of four (4) years of experience in software development in lieu of the bachelor’s degree education requirement
S oftware development experience with one or more programming languages, including but not limited to: Java, Perl, AWS, C/C++, C#, JavaScript, Objective C, Python (course work and internship work included)
Preferred Qualifications (Full Stack Software Engineer) :
Bachelor’s Degree in Computer Science, Computer Science Engineering, or related discipline
Experience developing and delivering commercial enterprise software
Familiarity with continuous integration
Solid understanding of software design principles and architectural patterns
Experience working in an Agile environment with strong test automation and continuous deployment
Strong experience with cloud architectures and development of large-scale hosted applications
Ability to easily switch between multiple programming languages (i.e. JavaScript, Perl, AWS, C++, C#, Java, .Net, XML, XSLT, XPath, JSON, HTML5, Angular, etc.)
Interest and ability to learn other coding languages as needed.
Ability to speak and write English fluently and idiomatically
Locatio n: Silver Spring, MD
Travel Requirements: Occasional travel may be required
Relocation: Maybe authorized
Diverse & Inclusive 3M
3M is a place where you can collaborate with other curious, creative people. Where your diverse talents, inclusiveness, initiative, and leadership are valued. Where you’ll find challenging opportunities that make your career exciting and rewarding. With a diversity of people, global locations, technologies, and products, 3M is a place to grow and be rewarded for excellence.
3M Health Information Systems (HIS) is the world leader for innovating the language of health and delivers comprehensive software and consulting services . Working at 3M Health Information Systems you will be helping with today’s challenges while preparing for tomorrow’s. Transforming health care from a system that treats disease, to a system that improves health and wellness begins with accurate health information and payment. From improving the efficiency of medical records coding to outlining success in value-based care and healthcare analytics. All while working with the best and the brightest to advance more than your own career, you are working to advance the entire world."
1,Software Developers (Jr.),"Alexandria, VA 22312",Alexandria,VA,22312,None Found,None Found,None Found,None Found,None Found,US CitizenMust hold or be able to obtain a Secret Clearance,"Job Description:
Develop user interfaces, scripts, and web services for cloud-native applications and IT components using JAVA, Angular 2, and also open source components and databases.
Experience:
3-5 years experience developing server, mobile, and/or web applications. Familiarity with Git, Jenkins, JAVA/JavaScript, and Agile Methodology
Additional Requirements
US CitizenMust hold or be able to obtain a Secret Clearance"
2,software engineer,"Rockville, MD",Rockville,MD,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"DESCRIPTION: Performs technical planning, system integration, verification and validation of system and software packages customized for specific client requirements.

JOB REQUIREMENTS: Design, develop, integrate, test and install customized software systems and tools. Provide training, write technical documentation and present results to customers. Provide technical analysis for business development. Solid background in software engineering, object oriented design and strong programming skills in at least C/C++ or Java.

EDUCATION AND EXPERIENCE REQUIREMENTS: 0 to 5 years in software development experience. B.S in computer science, computer engineering, mathematics or related field. M.S. is a plus.
Please contact us with your interests and résumé at careers@divergenttec.com"
3,Software Engineer,"Sterling, VA 20166",Sterling,VA,20166,None Found,None Found,None Found,None Found,None Found,None Found,"OVERVIEW
Natural Insight is looking for a full-time Software Engineer with a formal programming background who is eager to learn and apply cutting-edge web development technologies in support of our enterprise SaaS product. We are looking for a highly motivated creative thinker and problem solver that can work both independently and with a team. The Software Engineer works with the technology team in Sterling, VA (USA) developing software that meets client needs and business objectives. Every aspect of software development, from working on the base architecture to testing, is included.

In this position, you will have the opportunity to work on a variety of tasks and develop your skills in many areas and will have many opportunities to collaborate with talented people. We seek to provide employees with constructive feedback and continuing skill development to foster career growth.

TEAM and ENVIRONMENT
We are a tight-knit team of full-stack developers with MacBook Pros and flexible office/home work locations. We build great Web software that is used all over the globe and we love what we do. We have a start-up culture with quarterly Hackathons and we constantly innovate. Our developers push the boundaries of what's possible with HTML5 to make the seemingly impossible a reality for our users. If you have the passion and drive to be a part of our rapidly growing team, we would love to hear from you!

JOB DESCRIPTION
Change or develop Web-based software using at least a basic knowledge of object oriented programming (OOP) techniques
Knowledge and understanding of SQL, including stored procedures and SQL scripts
Actively work with technology and business teams to develop solutions, including the ability to learn new technologies and apply them
Work cooperatively with multiple teams and functional areas to deliver products and services
REQUIREMENTS
Minimum 2 years experience with Web-based programming
Minimum 2 year experience working with SQL, including stored procedures
Strong knowledge of HTML, CSS, JavaScript and the Document Object Model (DOM)
Must be able to think creatively in the development of ideas and solutions
Strong verbal and written communications skills
Ability to work independently with minimal guidance and as part of a team
Ability to prioritize and execute multiple tasks
Ability to adapt quickly to change
Detail-oriented
DESIRED SKILLS
Good Knowledge of ColdFusion, PHP, Java, C#, VB, Ruby, or Python. ColdFusion preferred but not required.
Good Knowledge JavaScript and jQuery
Good Knowledge of CSS
Experience with SCRUM/Agile development and with using Jira
Experience with Git or SVN
Experience with Bootstrap, Font Awesome and mobile Web application interfaces a plus
Experience with software development for enterprise SaaS a plus
EDUCATIONAL AND EXPERIENCE
This position requires at least two years of experience developing software applications using a Web-based toolset. A Bachelor’s degree, preferably in the Computer, Technology or Math field, is preferred but not required.

About Natural Insight
Supporting 58,000 skilled professionals in more than 90,000 locations globally, Natural Insight is a leading provider of cloud-based workforce management software to merchandisers, product companies, event marketers and retailers. Natural Insight is privately held and headquartered in Sterling, VA with offices in Toronto and Birmingham, England. Visit www.naturalinsight.com."
4,Associate Software Engineer,"Rockville, MD 20850",Rockville,MD,20850,None Found,None Found,None Found,"Analyzes requirements, maintaining or developing code for front-end electronic case report forms (eCRFs), middle tier business logic, backend triggers and stored procedures
Performs unit-testing development tasks, releasing the system to development, test, train and production environments
Debugs and provides third- tier support, helping with integration of third- party data, and assisting projects to create solutions to meet their unique IT needs
Other duties as assigned
",None Found,None Found,"The Emmes Company LLC, established in 1977, is a private Contract Research Organization (CRO). Headquartered in Rockville, Maryland, Emmes employs over six hundred staff worldwide with offices located in Frederick, Maryland, Tysons Corner, Virginia, Vancouver, Canada and Bangalore, India. Ranked as a top area workplace of choice by the Washington Post, Emmes fosters an environment of collaboration, professional growth, and exceptional work life balance.

Our studies impact public health initiatives on a global scale occurring in more than sixty countries spanning across six continents. We are dedicated to providing statistical and epidemiological expertise, computer systems deployment, data management, study monitoring, regulatory guidance, and overall operational support to clients engaged in biomedical research. Emmes offers support for the entire process of clinical trials from study design and protocol development through data analysis and manuscript generation.

Primary Purpose

The Associate Software Engineer supports and maintains web-based clinical trials data collection applications in a J2EE environment under the supervision of senior staff or IT managers.

Responsibilities

Analyzes requirements, maintaining or developing code for front-end electronic case report forms (eCRFs), middle tier business logic, backend triggers and stored procedures
Performs unit-testing development tasks, releasing the system to development, test, train and production environments
Debugs and provides third- tier support, helping with integration of third- party data, and assisting projects to create solutions to meet their unique IT needs
Other duties as assigned
Experience

B.S in Computer Science or a related field
Good object-oriented programming skills
Knowledge of two of more of the following skills: Java, Spring, JSP, JavaScript, Ajax, HTML, XML/SOAP, relational database concepts
Strong analytical and communication skills
Proven ability to work well as part of a team


CONNECT WITH US!!
Follow us on Twitter - @EMMESCRO
Find us on LinkedIn - The Emmes Company


The Emmes Company, LLC is an equal opportunity affirmative action employer and does not discriminate in its selection and employment practices. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, political affiliation, sexual orientation, gender identity, marital status, disability, protected veteran status, genetic information, age, or other legally protected characteristics."
5,Principal Software Engineer,"Dulles, VA 20101",Dulles,VA,20101,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:
We are seeking a Principal Software Engineer. This person will be working in a leadership role on a team operating in an agile environment where the focus is on teamwork and project ownership.

Job Requirements:
Lead a team of developers and data scientists working on a variety of research and development projects as well as customer projects

Plan, conduct, and coordinate software development activities

Apply appropriate standards, processes, procedures, and tools throughout the development life cycle

Offer expertise regarding methods, standards and technical considerations for software applications

Analyze and implement algorithms

Design, Develop and Deploy:
Automated analytic software, techniques, and algorithms

Data-driven analytics; event-driven analytics

Develop software solutions by analyzing system performance standards, conferring with users or system engineers; analyzing systems flow, data usage and work processes; and investigating problem areas

Diagnose problems, troubleshoot, and develop technical solutions to a range of technical issues

Design, develop, document, test, and debug software and mathematical solutions to mission problems or questions in computer language for solutions by means of data processing equipment

Confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces

Coordinate software system installations and monitors equipment functioning to ensure specifications are met

Utilize software development and software design methodologies appropriate to the development environment

Assist with developing and executing test procedures for software components"
6,"Software Engineer, Infrastructure","Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
Facebook is seeking an experienced Software Engineer to join the Software Engineering (Infrastructure) team. The Software Engineering (Infrastructure) team builds large distributed components that run Facebook. Our code serves millions of requests per second and it does so with sub-second latency and in a fault tolerant manner. We handle everything from Facebook scale data storage, to synchronization and coordination of large server clusters, to providing a runtime environment for front end Facebook code. We are looking for candidates who share an interest for tackling complexity and building platforms that can scale through multiple orders of magnitude. This position is full-time and is based in our Washington, DC location.
RESPONSIBILITIES
Design core, backend software components
Code using primarily C/C++, Java, PHP and Hack
Interface with other teams to incorporate their innovations and vice versa
Conduct design and code reviews
Analyze and improve efficiency, scalability, and stability of various system resources
MINIMUM QUALIFICATIONS
5+ years coding experience in C, C++, Java and/or C#
2+ years experience building large-scale server applications
PREFERRED QUALIFICATIONS
B.S. Computer Science or related technical field
Experience with operating system internals, filesystems, programming language design, compilers
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com."
7,Sr. Software Engineer (Geospatial),"Arlington, VA 22203",Arlington,VA,22203,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description

Kinetica is looking for a mid to senior software engineer who is keen to excel and contribute in developing geospatial algorithms and tools for our enterprise data analytics platform.
Key responsibilities:
Collaborate with the engineering team to keep a consistent and intuitive product experience
Partner with the engineering group to help identify cohesive interaction model across components and propose key refinements to existing components to achieve cross-product experience alignment.
Provide strategic feedback on tooling landscape to help influence product direction.
Ensure the teams agreed upon objectives are reached in a consistent and timely manner.

Qualifications

Degreed in Computer Science, Engineering, Mathematics or related technical discipline.
5+ years of experience in C++.
Development experience in a Linux environment.
Comfortable with various tools (i.e. Git...)
Algorithmic mindset
Strong Math and geometry skills
Must-haves:
Computational geometry knowledge.
Geospatial data science
Prior scientific programming experience.
Additional Information

All your information will be kept confidential according to EEO guidelines."
8,"Software Engineer, Kernel","Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Summary

Are you an experienced Linux kernel developer looking for a remote work opportunity on a high-performing Linux kernel team? We at Canonical are focused on providing our customers the very best Open Source experience possible with Ubuntu products. As part of the Canonical Kernel Team you would help us regularly release fast, reliable well-tested kernels for a wide variety of Ubuntu Linux customer environments ranging from embedded devices and IOT, to desktops, laptops and enterprise servers to the world's leading cloud providers. We are growing our North American region and are looking for a passionate, experienced kernel software engineer to join us!

What You Would Do

Canonical's Linux Kernel Team is responsible for maintaining all supported Ubuntu Linux kernels, managing a growing list custom flavors of Ubuntu Linux kernels and tracking and driving the development of the upcoming Ubuntu kernel releases. You would be contributing through all stages of the kernel software development lifecycle, challenged to solve technical problems and expected to provide creative solutions. You can expect to quickly become an integral contributor by way of our supportive and highly-collaborative team working environment.

Job Location: Your home with broadband. International travel will be required.

Your Key Responsibilities include but are not limited to


Develop, review and apply patches in our kernel trees
Perform patch back-ports to older supported kernels
Maintain the Ubuntu kernel git repositories
Diagnose and fix functional, performance and scaling issues in the Linux kernel
Develop, automate and run appropriate tests for all your kernel changes
Develop tooling and automation for the Canonical kernel team tool-set
Deliver high-quality, maintainable software and documentation for your work

The Skills and Experience You Would Bring


Well-organized and self-motivated
Able to work effectively in a remote, globally distributed team
Demonstrated proficiency in the C programming language
Proven ability to effectively trouble-shoot the Linux kernel and subsystems
Demonstrated Linux kernel and kernel subsystem development experience
Linux kernel open source community experience
Expert knowledge with git
Comfort with Debian packaging
Strong Python and Shell programming skills
Professional software engineering experience
Experience with kernel performance analysis and tuning
Experience developing and performing software testing
Demonstrated ability to grasp new technologies and acquire new skills quickly
Strong verbal and written communication skills

Canonical is committed to fostering, cultivating and preserving a culture of diversity and inclusion. We truly believe that diversity of experience, perspectives, and background will lead to a better environment for our employees and a better platform for our users and customers. This is something we value deeply and we encourage everyone to come be a part of the world of Ubuntu."
9,Software Engineer,"Washington, DC 20007",Washington,DC,20007,None Found,None Found,None Found,None Found,None Found,None Found,"A World-Changing Company

At Palantir, we’re passionate about building software that solves problems. We partner with the most important institutions in the world to transform how they use data and technology. Our software has been used to stop terrorist attacks, discover new medicines, gain an edge in global financial markets, and more. If these types of projects excite you, we'd love for you to join us.

The Role

Software Engineers at Palantir build software at scale to transform how organizations around the world use data. As a Software Engineer, you'll contribute high-quality code to Palantir Gotham or Palantir Foundry: products that are deployed to the most important institutions in the public and private sector. You'll build features used by research scientists, aerospace engineers, intelligence analysts, and economic forecasters, in countries around the world.

Palantir's Product Development organization is made up of small teams of Software Engineers. Each team focuses on a specific aspect of a product: for example, you might be part of a team that builds a Foundry front-end application, or a component of the Gotham release infrastructure. We encourage movement among teams to share context, skills, and experience, so you'll learn about many different aspects of each product.

Software Engineers are involved throughout the product lifecycle, from idea generation, design, and prototyping to execution, and shipping. As a Software Engineer, you'll collaborate closely with technical and non-technical counterparts to understand our customers' problems and build products that solve them. We think the best way to understand what our users need is to meet them, so occasionally, you'll tour the assembly line at an auto manufacturer or join a counter-terror analyst at their desk to really understand their mission and their pain points.

It doesn’t matter what languages you know when you join us, but it does matter that you can write clean, effective code and learn new languages quickly. Our software is constantly evolving, so we need engineers who can do the same. Alongside peers who bring diverse experience — startup founders, industry veterans, university TAs, and more — you'll build your skillset to apply the best technology to solve a given problem. Right now, we use:
A variety of languages, including Java and Go for back end and Typescript for front endOpen-source technologies like Cassandra, Spark, ElasticSearch, React, and ReduxIndustry-standard build tooling, including Gradle, Webpack, and Github

Whether you aspire to be an entrepreneur or an engineering leader, we believe Palantir is the best place — with the best colleagues — to learn how. You’ll learn how to unpack a problem and understand the costs and consequences of its solution. You’ll learn new technologies and languages, and even develop them yourself. You’ll work autonomously and make decisions independently, within a community that will support and challenge you as you grow and develop.
What We Value
Strong engineering background in fields such as Computer Science, Mathematics, Software Engineering, and Physics
Familiarity with data structures, storage systems, cloud infrastructure, front-end frameworks, and other technical tools
Strong coder with demonstrated proficiency in programming languages, such as Java, C++, Python, JavaScript, or similar languages
Ability to collaborate and empathize with a variety of individuals. You can iterate with users and non-technical stakeholders and understand how your technical decisions impact them
Demonstrated ability to learn and work independently and make decisions with minimal supervision
A desire to work on software that can change the world and a passion for creating intuitive, scalable products that augment our users' ability to work with data
Palantir is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. Palantir is committed to working with and providing reasonable accommodations to applicants with physical and mental disabilities. Please see the United States Department of Labor's EEO poster and EEO poster supplement for additional information."
