,Title,Location,Qualifications,Skills,Responsibilities,Education,Requirement
0,Entry Level Data Scientist,United States,None Found,None Found,"
You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.
You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.
You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.
You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.
You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.",None Found,None Found
1,Entry Level - Associate Data Scientist,United States,None Found,None Found,"Ability to look at things differently, debug, troubleshoot, design and implement solutions to complex technical issues.
Strong technical and analytical abilities, a knack for driving impact and growth, and experience with a programming/scripting in a language such as Java or Python.
Basic understanding of statistical programming in a language such as R, Python, or SAS, SPSS, MATLAB.
Basic understanding of Cloud (AWS, Azure, etc.)
Excellent verbal and written communication skills.
Work or internship experience using data science tools in a corporate environment.
Interest in, understanding of, or experience with Design Thinking and Agile Development Methodologies
Willingness to travel up to 100% of the time.",None Found,None Found
2,Jr. Data Scientist,"New York, NY 10036","Bachelor’s or Master’s degree in a quantitative field
Knowledge of Python and/or R
Knowledge of algorithms for data mining, machine learning, and/or natural language processing
Possess some understanding of statistical procedures used in advanced analytics
Experience processing large amounts of structured and unstructured data using Spark, Hive or other Big Data technologies
Experience building scalable data models and performing complex relational database queries using SQL (Oracle, MySQL), etc.",None Found,"
Identify, ingest, and enrich a wide range of structured and unstructured data into datasets for analysis
Learn to apply statistical and advanced techniques (e.g. segmentation, machine learning) to develop both prototypes and scalable (i.e. efficient, automated) data analyses
Conduct basic ad hoc analysis, building models, forecasting viewing behavior
Extensive code development, debugging, optimizing, and productionizing
Support the development of machine learning pipeline architecture
Help build out frameworks for quickly rolling out new data analysis for standalone data-driven products and services to support our network of media brands.
Be able to transform unstructured raw data in to formats suitable for modeling
Be able to work in teams and collaborate with stakeholders to define requirements",None Found,None Found
3,Intern Conversion - Data Scientist,United States,None Found,None Found,"
You will implement and validate predictive models as well as create and maintain statistical models with a focus on big data.
You will be exposed to and incorporate a variety of statistical and machine learning techniques such as logistic regression, experimental design, generalized linear models, mixed modeling, CHAID/decision trees, neural networks and ensemble models.
You’ll communicate with internal and external clients to understand business needs and provide analytical solutions.
You will use leading edge tools such as COGNOS, Watson Studio and Watson Machine Learning.
You’ll work in an Agile, collaborative environment, partnering with other scientists, engineers, and database administrators of all backgrounds and disciplines to bring analytical rigor and statistical methods to the challenges of predicting behaviors.",None Found,None Found
4,Data Scientist,"Englewood, CO 80113",None Found,None Found,None Found,None Found,None Found
5,"Data Scientist Intern, Boston","Boston, MA",None Found,None Found,None Found,None Found,None Found
6,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,"Redmond, WA","
Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology
Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.
Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.
Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.
Some experience and or project course work with product and service telemetry systems.
Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.
Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.
Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.
Ability to interact with peers and stakeholders to drive product and business impact.
Strong interpersonal and communications skills.",None Found,"
Currently has or is in the process of obtaining their BA/BS or Masters in Computer Science, Mathematics, Economics, Statistics, Applied Sciences like Biostatistics, Physics, Chemistry, Computational Neurology
Some Engineering experience and or project course work using large data systems on SQL, Hadoop, etc.
Proficiency using one or more programming or scripting language to work with data such as: Python, Perl, or C#.
Some experience and or project course work performing data analysis and applying statistics working with tools such as: Excel, R, MATLAB, AMPL, or SAS.
Some experience and or project course work with product and service telemetry systems.
Some A/B Testing or experimentation (this can be from conducting real life science experiments, hypothesis testing in stats etc.) Not required but ideal.
Some experience or course work applying basic ML to a type of data and or used algorithms to conduct experiments on data. Machine Learning strongly encouraged.
Passion to learn from your peers, manager, and other stakeholders in the Data Science domain.
Ability to interact with peers and stakeholders to drive product and business impact.
Strong interpersonal and communications skills.",None Found,None Found
7,Associate Data Scientist (Full Time Starting Summer 2020),"Washington, DC 20036","
Bachelors degree a quantitative field, or equivalent experience
Programming skills in Python, R, or another high-level language used in statistical computing
Experience using SQL for data cleansing, transformation, summarization, or analysis
Ability to communicate and collaborate with both technical and non-technical team members
Conscientious, curious, dedicated, and quality-focused
",None Found,"
Collaborate with data scientists and software engineers to integrate machine learning models into production software systems
Build internal tools for data science/analytics workflows
Manage data processing pipelines for analyzing terabyte-scale data from multiple sources
Write R and Python code using current best practices
Coordinate with product managers, researchers, consultants, and marketers to identify opportunities for AI/ML solutions and communicate capabilities and best practices to customers
",None Found,None Found
8,"Data Scientist, Analytics, Intern","New York, NY 10017",None Found,None Found,None Found,None Found,None Found
9,Data Scientist - Modelling 91819,"Dearborn, MI",None Found,None Found,None Found,None Found,None Found
10,"Data Scientist, Analytics (University Grad)","New York, NY 10017",None Found,None Found,None Found,None Found,None Found
