,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,IT Business Analyst Intern,"Houston, TX 77010",Houston,TX,77010,None Found,None Found,None Found,None Found,None Found,None Found,"Please enter job description here.

Roles & Responsibilities
Please enter roles and responsibilities here.

Min. Qualifications
Please enter minimum qualifications here.

Preferred Qualifications
Competencies
Builds effective teams
Collaborates
Cultivates innovation
Customer focus
Demonstrates courage
Drives results
Ensures accountability
Instills trust and exemplifies integrity
Position not eligible for referral bonus.

Nearest Major Market: Houston"
1,Data Analyst,"Houston, TX",Houston,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Data Analyst
Two Sigma is a different kind of investment manager. Since 2001, we have used data science and technology to derive insights that forecast the future and discover value in markets worldwide. Our team of scientists, technologists and academics looks beyond traditional finance to understand the bigger picture and develop creative solutions to some of the world’s most difficult economic problems. Our work spans markets and industries, from insurance and securities to private investments and new ventures.
We are seeking a talented data specialist to join our highly motivated and innovative Data Engineering team, your efforts will be critical to the success of Two Sigma’s global trading businesses.
You will take on the following responsibilities:

Curate massive amounts of data for thousands of different tradable instruments, including stocks, bonds, futures, contracts, commodities, and more;
Perform manual steps and develop programs and processes to ensure the completeness and integrity of financial reference datasets;
Collaborate with team members to design and develop reliable data pipelines that produce high quality datasets;
Help drive continuous improvements to data quality procedures and a consistent approach to how data quality is measured, monitored and reported;
Create systematic and automated processes and tools that allow the team to scale and rapidly onboard new datasets;
Be part of a team to support the data used by production trading algorithms.
You should possess the following qualifications:

3+ years professional experience in an environment that prioritized data quality
A bachelor’s degree with a strong academic record, which includes university coursework in programming and computing systems
An understanding of the software development process and exposure to hands-on coding in a professional environment
While financial industry experience is a plus, we are open-minded in our search for critical thinkers who are passionate about technology and data.
Experience with Python (and/or Java)
Experience with SQL and working with a relational database system, such as Microsoft SQL Server.
Proven problem-solving and analytical abilities including pattern detection, root cause analysis, and issue resolution
An understanding of how to design and develop effective data quality tests and measures
Relevant experience in data operations, with proven process improvement skills

You will enjoy the following benefits:

Core Benefits: Fully paid medical and dental insurance premiums for employees and dependents, competitive 401k match, employer-paid life & disability insurance
Perks: Onsite gyms with laundry service, wellness activities, casual dress, snacks, game rooms
 Learning: Tuition reimbursement, conference and training sponsorship
Time Off: Generous vacation and unlimited sick days, competitive paid caregiver leaves

We are proud to be an equal opportunity workplace. We do not discriminate based upon race, religion, color, national origin, sex, sexual orientation, gender identity/expression, age, status as a protected veteran, status as an individual with a disability, or any other applicable legally protected characteristics."
2,Data Analyst- MATLAB Developer,"Houston, TX",Houston,TX,None Found,None Found,None Found,"Strong experience in signal pre-processing techniques including signal de-noising, alignment, resampling, smoothing, reconstructing missing data, peak analysis, dynamic time warping, envelop extraction, harmonic distortion, band power, and bandwidth.Strong experience in signal processing techniques including FFT-based nonparametric methods, such as Welch's method or the periodogram, parametric and subspace methods, such as Burg's and Yule-Walker, and incorporating prior knowledge of the signal and yielding more accurate spectral estimates.Strong experience in signal filtering, probability, multi-dimensional random processes, wavelet analysis, and Kalman filtering techniques.Proficiency in system simulation packages including, Matlab, Simulink, SimscapeStrong expertise in C/C++/C#, Python and R is a must.Experience with DOE and real-time implementation.",None Found,None Found,None Found,"Analyze and visualize signals in time, frequency, and time-frequency domains.Pre-process signals to enhance signal quality.Analyze signal to extract regions of interest and detect event signatures using signal processing techniques.Design, develop, and implement signal processing algorithms.Identify and root cause technical issues and work with other engineers to integrate cutting-edge functionality into products.Provide technical oversight and review support to development groups during product design and development.Develop lumped-parameter models using system identification and parameter estimation techniques.Contribute to the design of experiments intended to isolate error sources and statistically analyze the impact of errors on performance.Under broad direction, demonstrate creativity, foresight, and mature engineering judgment in anticipating and solving complex engineering problems during the development and application of new and improved products and processes.May perform numerical modeling, data analysis, correlation and model development on complex projects utilizing existing commercial software and may develop new modeling software.May design and perform complex specialized tests and simulations including design and construction of modeling apparatus and data acquisition systems.May lead the development and testing of software products by providing engineering functions and may provide field support for existing products.
Primary Skills
Strong experience in signal pre-processing techniques including signal de-noising, alignment, resampling, smoothing, reconstructing missing data, peak analysis, dynamic time warping, envelop extraction, harmonic distortion, band power, and bandwidth.Strong experience in signal processing techniques including FFT-based nonparametric methods, such as Welch's method or the periodogram, parametric and subspace methods, such as Burg's and Yule-Walker, and incorporating prior knowledge of the signal and yielding more accurate spectral estimates.Strong experience in signal filtering, probability, multi-dimensional random processes, wavelet analysis, and Kalman filtering techniques.Proficiency in system simulation packages including, Matlab, Simulink, SimscapeStrong expertise in C/C++/C#, Python and R is a must.Experience with DOE and real-time implementation.
Any specific industry experience
Industrial
Education
BE/ME.
MSc or PhD in Engineering, Physics, Statistics, Mathematics or related discipline."
3,Hospital Based Physicians-Data Analyst,"Houston, TX",Houston,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"At Memorial Hermann, we’re about creating exceptional experiences for both our patients and our employees. Our goal is to provide opportunities for our diverse employee population that develop and grow careers in a team-oriented environment focused on patient care.

Every employee, at every level, begins their journey at Memorial Hermann learning about the history of the organization and its established culture built on trust and integrity. Our employees drive this culture, and we want you to be a part of it.
Job Summary Position is responsible for conducting moderate to complex analysis in assigned area to include monitoring of resources, evaluation of processes and presentation of historical information trends to ensure optimal departmental effectiveness. This position will have a strategic focus for creating, analyzing and reporting data from various data sources to improve quality of care, increase efficiency and operational effectiveness, conduct innovative research and satisfy regulatory requirements. Job Description
Minimum Qualifications
Education: Bachelors degree preferably in finance, business, economics, healthcare administration, Nursing, Health Information Management, or similar field of study
Certifications/Licenses : (None)

Experience / Knowledge / Skills:
Two (2) years experience of relevant business experience in analytics, business intelligence and/or business reporting, preferably in healthcare
Extensive knowledge of ICD-10, HCPCS, and CPT coding principles and guidelines
Advanced computer skills in HTML, SQL, Microsoft Excel, Access, VBA or Macro Development
Knowledge of physician professional services and procedures billing from order through to claim
Strong data-mining, analytical and problem-solving skills
Advanced communication skills, both verbal and written
Strong organizational skills with an attention to detail
Strong computer knowledge and skills, including in-depth expert knowledge of spreadsheet, database, and word processing
Demonstrates commitment to the Partners-in-Caring process by integrating our culture in all internal and external customer interactions; delivers on our brand promise of “we advance health” through innovation, accountability, empowerment, collaboration, compassion and results while ensuring one Memorial Hermann.

Principal Accountabilities
Manages the design of data tables and performs database maintenance for all data sets related to physician services and billing operations.
Coordinates activities to ensure health information is complete and accurate in all systems.
Critically evaluate information gathered from multiple sources, reconcile conflicts, and distinguish user requests from the underlying true needs.
Evaluates the appropriateness of services and procedures billed based on supporting documentation.
Evaluates appropriateness of diagnoses (ICD) and procedural (CPT) codes billed for services; evaluates adequacy of documentation.
Evaluates level of service billed for evaluation and management (E/M) services, evaluates appropriateness of modifier usage.
Makes determinations of overpayments and underpayments and performs other related analysis and evaluations.
Participates in studies of new and/or existing programs, and special projects to determine feasibility and resolve problems including organizational, procedural, technical and fiscal research and analysis.
Prepares basic analyses to evaluate and modify existing process to generate additional efficiency, support new/expanded services and facility/equipment acquisitions.
Identifies areas for improvement based on operations of service to improve capacity, efficiency and overall effectiveness.
Implements and monitors identified changes to assure success.
Develops trend analysis reports that monitor key performance indicators and compares them to internal and external benchmarks.
May supervise clerical staff.
Ensures safe care to patients, staff and visitors; adheres to all Memorial Hermann policies, procedures, and standards within budgetary specifications including time management, supply management, productivity and quality of service.
Promotes individual professional growth and development by meeting requirements for mandatory/continuing education and skills competency; supports department-based goals which contribute to the success of the organization; serves as preceptor, mentor and resource to less experienced staff.
Other duties as assigned."
4,Data Analyst Clinically Integrated Network,"Houston, TX 77002",Houston,TX,77002,None Found,None Found,"Experience with the use of healthcare data (ambulatory, hospital, health plan, EHR, claims, billing, etc.) and the development of actionable and performance tracking reports.",None Found,Bachelor’s Degree,None Found,"CHI St. Luke’s Health is a part of Catholic Health Initiatives (CHI), one of the nation’s largest health systems. Headquartered in Englewood, Colorado, CHI operates in 18 states and comprises more than 90 hospitals, including four academic medical centers and teaching hospitals; 24 critical-access facilities; community health services organizations; accredited nursing colleges; home health agencies; and other services that span the inpatient and outpatient continuum of care.

POSITION SUMMARY

This position is a key member of the CIN team whose responsibility is to conduct analyses to support departmental operations including review of quality and utilization.

MINIMUM QUALIFICATIONS


Education and Licensure Required:

Bachelor’s Degree


Minimum Experience:

One (1) year of related experience in insurance, managed care or data analysis and reportingExperience extracting and manipulating EMR and Claims data using industry standard tools from relational databases (MSS, MySQL, Oracle, etc.).Experience with a variety of analytics and scripting software and languages (R, Python, SSRS, etc.).


Minimum Knowledge, Skills, and Abilities:

Experience with the use of healthcare data (ambulatory, hospital, health plan, EHR, claims, billing, etc.) and the development of actionable and performance tracking reports.

POSITION RESPONSIBILITIES

1. Uses industry standard tools to track and trend operational, financial, and quality metrics including, but not limited to CIN/GPRO metrics, population and network utilization, and care coordination activities.
2. Develops complex database queries, reports and presentations for use of BSLHN administration. Coordinates statistical interpretation of data prepared and actively involved in educational activities.
3. Uses available relational databases to analyze and benchmark criteria against BSLHN facilities and other facilities to assist in quality improvement activities.
4. Develops and generates reports, visualizations and presentations. Establishes procedures and schedules for producing data needed on an ongoing basis. Design and articulate reporting specifications for production reporting by BSLHN Informatics.
5. Interprets data (identifies patterns, trends and outliers) and enumerates assumptions or caveats.
6. Maintains familiarity with software and databases used in the department. Provides training to other members of staff as needed. Provides necessary technical support.
7. Builds partnerships with population health quality and operational improvement teams and provides facilitation and technical support through data collection, analysis and the use of statistical tools.
8. Strong ability to work collaboratively with a diverse set of colleagues and with flexibility when priorities are re-assessed, ability to multi-task is essential.
9. Ability to connect business needs and available data through models, assumptions, and solutions.
10. Ability to clearly communicate and present methods and results.
11. Experience with big data platforms, data visualization, reporting tools to investigate trends, identify solutions and visualize results.
12. Desire to grow professionally and intellectually and committed to help in the growth of the team members and others.
13. Able to address and defend questions on deliverables.
Additional Information
Requisition ID: 2019-R0229407
Schedule: Full-time
Shift: Day Job
Market: CHI St. Luke's Health System"
5,Master Data Analyst,"Houston, TX",Houston,TX,None Found,None Found,None Found,None Found,"Prepares source data for computer entry by compiling and sorting information into computer files for database upload.
Establishes entry priorities.
Processes source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the supervisor for resolution.
Maintains SKU data entry requirements by following data program techniques and Merchandising Systems procedures.
Verifies entered SKU data by reviewing, correcting, deleting, or reentering data.
Maintains record of completed work for each event.
Routes or files source documents after data entry.
Retrieves data from the databases.
Conducts audit analysis by retrieving data, identify inconsistencies/inaccuracies, manipulate and validate data on a daily basis.
Investigates and responds to inquiries concerning data; access relevant files.
Provides feedback to reduce errors and improve processes and performance.
Delivers status updates in regards to SKU set up.
Maintains cross reference files essential for inventory import, reporting, and market conversions.
Researches invoice cost discrepancies for Accounts Payable and determines action needed to resolve discrepancy.
Provides SKU data reports to departments as needed.
Completes other projects and special assignments as requested by supervisor and/or Senior Management.
","Associate’s degree or equivalent from two-year college or technical school or equivalent combination of education and experience
","Attention to detail with a high level of accuracy
Time management and communication skills
Able to react quickly in a fast-paced retail environment.
Easily adapt to business needs with a can-do attitude.
Self motivated
Multi-task oriented
Analytical skills
","Role Objectives: Master Data Analyst is responsible for various activities related to the databases including database maintenance, reporting and extracting data for various reports and analyses, and provide observations for database improvement.
Key Responsibilities:
Prepares source data for computer entry by compiling and sorting information into computer files for database upload.
Establishes entry priorities.
Processes source documents by reviewing data for deficiencies; resolving discrepancies by using standard procedures or returning incomplete documents to the supervisor for resolution.
Maintains SKU data entry requirements by following data program techniques and Merchandising Systems procedures.
Verifies entered SKU data by reviewing, correcting, deleting, or reentering data.
Maintains record of completed work for each event.
Routes or files source documents after data entry.
Retrieves data from the databases.
Conducts audit analysis by retrieving data, identify inconsistencies/inaccuracies, manipulate and validate data on a daily basis.
Investigates and responds to inquiries concerning data; access relevant files.
Provides feedback to reduce errors and improve processes and performance.
Delivers status updates in regards to SKU set up.
Maintains cross reference files essential for inventory import, reporting, and market conversions.
Researches invoice cost discrepancies for Accounts Payable and determines action needed to resolve discrepancy.
Provides SKU data reports to departments as needed.
Completes other projects and special assignments as requested by supervisor and/or Senior Management.
Skill Requirements:
Attention to detail with a high level of accuracy
Time management and communication skills
Able to react quickly in a fast-paced retail environment.
Easily adapt to business needs with a can-do attitude.
Self motivated
Multi-task oriented
Analytical skills
Knowledge Requirements:
Microsoft Office
Excel skills including comfortable with manipulating data, use of pivot tables, formulas, and filtering.
Mathematical concepts
Ability to read and interpret reports, documents such as Merchandising SKU routing forms, planograms, system reports, and procedure manuals.
Education/Training
Associate’s degree or equivalent from two-year college or technical school or equivalent combination of education and experience
Professional Experience
2+ years of related clerical or data entry experience.
Key Accountabilities
Ensures priorities of projects are aligned with business priorities
Updates database systems timely and regularly to reflect correct information
Ensures timely and accurate reporting

Video Interview
Our application process encourages completion of a HireVue video interview, allowing you to bring your experience to life by telling your story versus leaving it to a resume. After completing the online application:
You will receive an email from HireVue with instructions to complete the HireVue video interview (make sure to check your Junk/Spam folder).
Should your background and experience align with the qualifications for the position, you may be contacted by a Mattress Firm team member via phone or email."
6,Lab Data Analyst I,"Houston, TX 77021",Houston,TX,77021,None Found,None Found,"Frequently required to sit
Frequently required to stand
Frequently required to utilize hand and finger dexterity
Frequently required to talk or hear
Frequently required utilize visual acuity to operate equipment, read technical information, and/or use keyboard
Frequently exposure to bloodborne and airborne pathogens or infectious materials",None Found,None Found,None Found,"SUMMARY:
Assists with development and implementation of databases, data collection systems, data analytics, and other strategies that optimize laboratory efficiency and quality.
DUTIES AND RESPONSIBILITIES:
Assists with process improvement projects
Assists with reports and analysis tools development
Assists with development and updates of workbooks
Retrieves requested LIMS information
Assists with development and maintenance of new and existing databases
Collaborates with IT and other support groups within the organization
Performs other duties as required

QUALIFICATIONS/EXPERIENCE/CERTIFICATION:
Degree: Bachelor’s degree in Science, Mathematics, Computer Engineering, or Statistics
Relevant experience: 0-2 years
Strong SQL or Excel skills with the ability to learn other analytical tools
Certification (preferred): MB (ASCP) or MT(ASCP), AWS

COMPETENCIES:
Technical Skills-Assesses own strengths and weaknesses; Pursues training and development opportunities; Strives to continuously build knowledge and skills; Shares expertise with others.
Oral Communication-Speaks clearly and persuasively in positive or negative situations; Listens and gets clarification; Responds well to questions; Demonstrates group presentation skills; Participates in meetings.
Written Communication-Writes clearly and informatively; Edits work for spelling and grammar; Varies writing style to meet needs; Presents numerical data effectively; Able to read and interpret written information.
Teamwork-Balances team and individual responsibilities; Exhibits objectivity and openness to others' views; Gives and welcomes feedback; Contributes to building a positive team spirit; Puts success of team above own interests; Able to build morale and group commitments to goals and objectives; Supports everyone's efforts to succeed.
Organizational Support-Follows policies and procedures; Completes administrative tasks correctly and on time; Supports organization's goals and values; Benefits organization through outside activities; Supports affirmative action and respects diversity.
Quality-Demonstrates accuracy and thoroughness; Looks for ways to improve and promote quality; Applies feedback to improve performance; Monitors own work to ensure quality.
Quantity-Meets productivity standards; Completes work in timely manner; Strives to increase productivity; Works quickly.
Safety and Security-Observes safety and security procedures; Determines appropriate action beyond guidelines; Reports potentially unsafe conditions; Uses equipment and materials properly.
Adaptability-Adapts to changes in the work environment; Manages competing demands; Changes approach or method to best fit the situation; Able to deal with frequent change, delays, or unexpected events.
Attendance/Punctuality-Is consistently at work and on time; Ensures work responsibilities are covered when absent; Arrives at meetings and appointments on time.
Dependability-Follows instructions, responds to management direction; Takes responsibility for own actions; Keeps commitments; Commits to long hours of work when necessary to reach goals; Completes tasks on time or notifies appropriate person with an alternate plan.

PHYSICAL DEMANDS AND WORK ENVIRONMENT:
Frequently required to sit
Frequently required to stand
Frequently required to utilize hand and finger dexterity
Frequently required to talk or hear
Frequently required utilize visual acuity to operate equipment, read technical information, and/or use keyboard
Frequently exposure to bloodborne and airborne pathogens or infectious materials"
7,Analyst - Business Sys IT,"Houston, TX",Houston,TX,None Found,None Found,"
Bachelor’s degree from an accredited college or university
Minimum of five (5) years of relevant work experience using SQL, RentalMan with exposure to Supply Chain, General Accounting, and Sub-Ledger, Inventory Management, General Operations, and Customer Invoicing.
","Investigates problems ranging from transaction to the application/program level.
Ability to separate and distinguish process issues from technical issues.
Diagnoses error messages and corrects problems using system commands.
Evaluates complex system problems and escalate to the Director – Global Corporate Applications as necessary.
Perform systems review insuring data integrity by looking at information such as user id’s, application security, locations and transaction related data.
",None Found,"
Bachelor’s degree from an accredited college or university
Minimum of five (5) years of relevant work experience using SQL, RentalMan with exposure to Supply Chain, General Accounting, and Sub-Ledger, Inventory Management, General Operations, and Customer Invoicing.
",None Found,"Essential Job Functions

Ability to communicate with management level resource internally and externally.
Ability to gather and interpret data and metrics.
Experience in a customer support role where tracking and reporting issues and status of resolution were involved.
Ability to document issues clearly and concisely in order for other team members to assist in resolution with little or no follow up needed for clarification.
Comfortable handling multiple issues, i.e. multi-tasking – including escalation management
Self-starter with a demonstrated ability to work independently while serving in a team environment
Clear, outstanding telephone skills and consistent projection of a positive image to internal and external customers
Entry level helpdesk support which may include PC’s, printers, and basic network concepts.
Exposure or experience in the following:
SQL based technologies used to assist in data analytics.
Integration concepts for passing data between applications.
Database and File Relationships to diagnose and report data issues
I-Series architecture
Office 365, Pivot table and VLookup in Excel.
ERP Business application exposure to following functional areas
Supply Chain
General Accounting and Sub-Ledger management.
Inventory Management
General Operations including Customer Invoicing.


Qualifications

Education and Experience:

Bachelor’s degree from an accredited college or university
Minimum of five (5) years of relevant work experience using SQL, RentalMan with exposure to Supply Chain, General Accounting, and Sub-Ledger, Inventory Management, General Operations, and Customer Invoicing.


Other Required Skills:

Investigates problems ranging from transaction to the application/program level.
Ability to separate and distinguish process issues from technical issues.
Diagnoses error messages and corrects problems using system commands.
Evaluates complex system problems and escalate to the Director – Global Corporate Applications as necessary.
Perform systems review insuring data integrity by looking at information such as user id’s, application security, locations and transaction related data.


Interpersonal/Communication: Establishes relationships with local and other site groups. Shares opinions, ideas and resources with others to achieve common goals.

Initiative: Exercises professional judgment in making frequent, appropriate recommendations for Total Safety in the area of information technology.

Complexity of Duties and Decisions: Applies established knowledge of information technology best practices to a wide variety of problems. Must adhere to Company policies, practices and ensure compliance with applicable laws and regulations.

Scope and Responsibility: Determines the means or process of achieving the objectives established at higher levels and is subject to the limits imposed by the available technology and resources and to the constraints set by upper management. Specifies and oversees what is done at lower levels. Interprets complex material from regulatory agencies and implements same to meet statutory requirements.

Physical Demands

While performing the duties of this job, the incumbent is regularly required to sit, walk, talk, hear and occasionally lift up to 25 pounds. Specific vision abilities required include close vision, distance vision, peripheral vision, depth perception and ability to focus.

Work Environment

Most time is spent in an office environment.

About Total Safety:
Total Safety is the world's premier provider of integrated safety and compliance services and the products necessary to support them, including gas detection, respiratory protection, safety training, fire protection, compliance and inspection, comprehensive flare services, industrial hygiene, onsite emergency medical treatment/paramedics, communications systems, engineered systems design, and materials management.

Total Safety operates from 176 locations in 20 countries to ensure the safe Wellbeing of Workers Worldwide (W3).

Total Safety is proud to be an Equal Opportunity Employer and will not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status or any other protected status.

If you require special assistance or accommodation while seeking employment with Total Safety, please contact Human Resources at (713) 353-5152. (For telecommunications device for the hearing impaired – TTY, please contact 711)."
8,Seismic Data Analyst,"Houston, TX 77063",Houston,TX,77063,None Found,None Found,None Found,None Found,None Found,None Found,"Seismic Data Analyst


Job Description (General Overview of the Role):

GTS Geotech has been engaged to source a Seismic Data Analyst for a major operating company. As Seismic Data Analyst, you will be responsible for facilitating the progress of and loading seismic data, from the time of planning and acquisition through interpretation, analysis, and archival to ensure optimum efficiency in the process. The SDA is responsible for ensuring that all processes and standards in place are followed.


Primary Tasks and Responsibilities:

Planning for seismic asset management by ensuring all parties are consulted at the initiation of project.
Verify coordination of acquisition efforts with Procurement, Geophysical Operations, Data Room, and BU Interpreter.
Ensure that 3rd party data providers know exactly what our needs are and continue to work with them to assure that those needs are met.
Ensure all parts of data have arrived including contracts, navigation, and seismic
Dump seismic tapes
Load seismic data into GeoFrame / Petrel application
Load gathers data to Omega
Condition data using various applications
Move seismic data from one application to another
Ensure data quality is certified after loading and before it is delivered to the customer.
Look for ways to improve existing processes
Interface with various business units


Required Skills:

 Soft Skills

Safety Oriented Mindset
Proficient in English (written & verbal)
Team Oriented Personality & Positive Attitude
Effective End User Communication (written & verbal)
Analytical skills
Customer Oriented
Problem Solver
Time Management
Team Player
Efficient
Responsible
Interface with the business/client
Experience working independently
Experience working with a global team


Technical Skills

Petrel/Studio – competent
GeoFrame – competent
Omega – competent – competent
Troika – competent – Nice to have
OpenCPS – competent – Nice to have
UIPath Studio – competent – Nice to have
Windows/UNIX


Other Desired Skills or Experience:

Geoscience, Geology

Knowledgeable using various software for loading 3D and 2D seismic and gathers data including GeoFrame, Petrel/Studio, and Omega/OpenCPS.

Knowledgeable using software to condition data including GeoFrame, Petrel, and Troika.

Knowledgeable in writing scripts

Knowledgeable using computers, basic understanding of databases


To apply for this role, please forward your CV to hedley.paris@gts-geotech.com

Applicants must be eligible to live and work in the USA"
9,Analyst - Store Operations,"Pearland, TX",Pearland,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Overview
The Stores Operations Analyst is an integral member of the Store Operations Category team and is responsible for conducting strategic advanced data analytics and visualization along with the creation/maintenance of business reporting. This position will support a variety of projects within the Category Management team.
Qualifications
BA/BS in Business, Statistics, Mathematics, Accounting, or related discipline
2 + years of data analyst experience, including specific experience working with large scale data and customer segmentation analysis
Strong analytic skills with a high attention to detail
Strong skills in MS Office Suite (Excel, Word, PowerPoint)
Knowledgeable in Data Visualization products such as Tableau, MicroStrategy, or Spotfire
Solution based analytics and report development
Methods for effectively planning project scope, creating processes and timelines accordingly
Solid communication and presentation skills
Demonstrated ability to obtain and interpret data
Effective presentation of findings, insights and strategic recommendations
Responsibilities
Using all available resources to analyze and interpret consumer and sales insights to identify consumer trends and identify potential marketing opportunities for our customers and stores
Research and analyze data and other category-related information to identify trends, category performance, competitive threats, opportunities, etc. to support business decisions
Use data sources to develop regular and ad hoc reports to include out of stock, opportunity gap, SKU rationalization, plan-o-gram analysis, promotion analysis, item tracking, pricing studies, financial performance, sales and movement.
Provide internal business management with accurate and pertinent information that enhances and guides effective decision making
Consult with internal business teams to provide analysis and insights designed to support key business decisions
Project management which will include developing project plans, processes, and timeline
Leverage analytical insights to develop actionable items for improvemen
Conduct field analysis to make recommendations for improvement
Design, manage, and run customized reports for category managers, directors, and executive
Liaison with IT to ensure necessary data requirements and increase knowledgebase of how data flows , where it is stored, and how to access it in our enterprise system
Determine market needs and/or gaps and assist in creating a strategy to capture new growth in the assigned areas
Perform other duties as required and/or assigned
Employee must be able to perform essential functions of the job with or without reasonable accommodation
Attendance/Schedule
Able to work a flexible schedule depending on the needs of the business; the typical workweek will be Monday through Friday, starting as early as 8 a.m. The typical work hours will be 48 per week. During new store openings, those hours may be extended beyond the normal work day and may, on limited occasions require weekend work
Some travel required, including overnights"
