,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Assistant/Associate Professor,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Assistant/Associate Professor
SCI-Office of the Dean - Pennsylvania-Pittsburgh - (18001834)

School of Computing and Information Department of Information Culture and Data Stewardship Non-Tenure-Track Faculty Position in Data Stewardship The School of Computing and Information (http://www.ischool.pitt.edu) at the University of Pittsburgh is seeking to fill a faculty position in Data Stewardship at an Assistant/Associate Professor level - Position #0134534 (Non-Tenure Stream). The initial appointment is expected to be three years with consideration for renewal. We are looking for an experienced practitioner and scholar in Data Stewardship who can demonstrate an in-depth understanding of data curation, data documentation and data preservation, specifically: • Current best practices and policy surrounding active data management through the data lifecycle, including data collection, data management plans, data storage, data quality and reproducibility • Experience of handling research data including application of date standards and formats, data description and documentation, metadata schema for disciplinary data, data citation and persistent identifiers, data publication, data analysis, data visualization, data re-use and metrics • Contemporary good practice in data selection and appraisal, data infrastructure including data repository software platforms, and long-term data preservation strategies • An awareness of diverse disciplinary data practices, research workflows and workflow platforms, as well as an in-depth knowledge of particular domain(s). The University of Pittsburgh School is a top-ranked information school (iSchool) offering a wide variety of multidisciplinary opportunities, including an undergraduate program (BSIS), Master's programs in information science (MSIS), telecommunications & networking (MST), library & information science (MLIS), and Ph.D. programs, The new Data Stewardship Pathway for graduate students studying for the MLIS, draws on the concept of ""translational data science"", described by Lyon & Brenner (2015) as: ""the enhanced transition of skills, software tools and intelligence from the iSchool to the marketplace, Which may be interpreted as industry, government, libraries, archives or data centers"". Adopting a translational perspective will enable iSchools to supply and deploy data talent and data products more rapidly to the range of consumers, where there Is currently an acknowledged workforce need"". Development of the Data Stewardship Pathway has been further informed by the results of two small-scale studies, which featured an analysis of requirements for real-world positions in each of the six data science roles (data archivist, data librarian, data steward/ curator, data analyst, data engineer and data journalist) and which highlighted the knowledge, skills and competencies being sought by employers (Lyon, Mattern, Acker & Langmead 2016; Lyon & Mattern 2016). We expect candidates for this position to possess strong experience within the broader data community or in professional data curation environments and to have excellent interpersonal, communication and team skills. The new faculty member is expected to be able to liaise and collaborate with disciplinary faculty and researchers across a range of Schools ahd Departments in the University, but also with the regional, national and international data community. The University is actively addressing the development and adoption of research data management infrastructure, working through the Data Management Committee and administration support services on campus. The successful candidate will contribute to the Data Stewardship Pathway through both research and teaching undergrad and post-graduate students, and will be expected to demonstrate an awareness of current data developments, trends, challenges, emerging fields and a positive commitment to research. As the School offers an online degree program in addition to oncampus programs:, candidates with complementary expertise and experience

Candidates applying for the position(s) are expected to hold an earned Doctorate or the equivalent in academic or professional experience. Applicants should present a record of effective teaching, research, and related scholarly activities. Electronic applications should be sent to https://ischoolatpitt.wufoo.com/forms/faculty-position-in-data-stewardship/. Applications should include a cover letter, curriculum vitae, research statement, teaching statement, and the names, addresses (with e-mail), and telephone numbers of three references. For full consideration, applications must be received by February 15, 2017. Questions about the position should be directed to Dr. Richard Cox Chair of Search Committee School of Computing and Information University of Pittsburgh The University of Pittsburgh is an Affirmative Action, Equal Opportunity Employer Minorities/Women/Vets/Disabled.

Assignment Category Fulltime-Regular
Campus Pittsburgh
Child Protection Clearances The following PA Act 153 clearances and background checks may be required prior to commencement of employment and as a condition of continued employment: PA State Police Criminal Record Check, FBI Criminal Record Check, PA Child Abuse History Clearance.
Required Attachments Other (see posting for additional details)"
1,Business Analysis Consultant - Non Technical,"Pittsburgh, PA 15289",Pittsburgh,PA,15289,None Found,None Found,None Found,None Found,None Found,None Found,"Position Overview

At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Business Analysis Consultant – Non Technical within PNC’s Finance organization, you will be based in Pittsburgh, PA. Business Functional Support : * Manage, oversee, and support Enterprise Data Warehouse (EDW) to General Ledger (GL) monthly reconcilement process * Identify and coordinate remediation efforts of EDW source system data issues * Support quarterly testing and sign-off of source data enhancements and reconcilement process changes * Collect, review, and analyze data for completeness and accuracy from multiple sources including Teradata Database, PeopleSoft, and OBIEE dashboards. * Escalate and coordinate resolution of production issues with our technology partners * Assist and support reconcilers with their business and reconciliation tool questions * Provide production support for the corporate budget tool, Hyperion Planning, as well as, manage the daily, weekly, monthly, quarterly and/or yearly Budget and Forecast cycles * Provide application support for the corporate reporting tool, Hyperion Essbase as well as, manage the daily and monthly production cycles Project work: * Participate in System enhancement projects, including business as usual changes, end user requests, system upgrades, etc * Participate in other project and initiatives that impact the Hyperion Planning and/or Hyperion Essbase applications * Gather end user business requirements * Provide input on design and technology solution to meet business and functional reconciliation requirements * Participate in testing process to certify functionality meets business requirements

Job Profile

Directs in the collection and interpretation of business requirements, and participates in the development and review of processes and procedures, workflow analytics, and reporting.
Develops and maintains of all applicable policy and procedure documentation.
Independently obtains and identifies the business requirements needed to carry out and improve applicable business processes.
Translates business needs, processes and/or procedures by partnering with applicable experts and business stakeholders to determine and articulate needs.
Drives the development, analysis and distribution of relevant reporting.
PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:
Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.
Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.
Competencies
Business Assessment – Knowledge of the activities, tasks, practices and deliverables for assessing and documenting business opportunities; ability to assess the benefits, risks, and success factors of potential applications.
Business Case Justification – Knowledge of the how's and why's of preparing and justifying business cases and value propositions; ability to justify business expenditures by identifying cost, benefits, ROI, opportunities, and risks.
Consulting – Knowledge of techniques, roles, and responsibilities in providing technical or business guidance to clients, both internal and external; ability to apply this knowledge appropriately to diverse situations.
Effective Communications – Understanding of effective communication concepts, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors.
Effectiveness Measurement – Ability to measure the quality and quantity of work effort for the purpose of improvement.
Problem Management Process – Knowledge of and ability to bring a reported problem to successful resolution.
Problem Solving – Knowledge of approaches, tools, techniques for recognizing, anticipating, and resolving organizational, operational or process problems; ability to apply this knowledge appropriately to diverse situations.
Process Management – Knowledge of business process improvement tools and techniques and ability to understand, monitor, update, or enhance existing business or work processes.
Project Management – Ability to plan, organize, monitor, and control projects, ensuring efficient utilization of technical and administrative resources, to achieve project objectives.
Requirements Analysis – Knowledge of methods and techniques to elicit, analyze and record required business functionality and non-functionality requirements; ability to analyze these requirements to ensure the success of a system or software development project.
Service Request Management Process – Knowledge of and ability to apply the processes, activities and tools associated with managing customer requests.
Software Product Business Knowledge – Knowledge of and experience with the business aspects and operation of a software product; knowledge of the install base, current uses, future plans, and product vision.

Work Experience

Roles at this level typically require a university / college degree, with 2+ years of relevant professional experience. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.

Education

Bachelors

Disability Accommodations Statement

The PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com. The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.

Equal Employment Opportunity (EEO)

PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law."
2,Systems Engineering Business Analysis Functional Manager,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Are you a talented professional that focuses on the planning, execution, and monitoring of project initiatives? Are you a resourceful problem solver that thrives in the identification and definition of creative, effective technology solutions? As a Project Management/Functional Manager, you help clients set-up, manage, and operate their most complex projects, define functional requirements for technology solutions, and design and derive transformative approaches for technology systems.

Work you’ll do

As a Manager you will bring considerable Functional and Project Management solutions to clients.

Manage day to day interactions with executive clients and sponsors
Manage and deliver components of client engagements that identify, design, and implement technology and creative business solutions for large companies.
Responsibilities include, among others, managing teams in the identification of business requirements, functional design, process design (including scenario design, flow mapping), prototyping, testing, training, defining support procedures.
Develop and maintain contact with top decision makers at key clients; participate and lead aspects of the proposal development process; contribute to the development of proposal pricing strategies

The Team

Systems Engineering
Our Systems Engineering team delivers large-scale software applications and integrated systems, and assists clients with architecture design, assessment and optimization, and definition. We develop service-oriented architecture (SOA) and other integration solutions to enable information sharing and management between business partners and disparate processes and systems, and we deliver technology enablement to support CIO services transformation.

Systems Engineering professionals focus on key client issues that impact the core business by maximizing operational value, driving down the cost of quality, and enhancing technology innovation. Our teams deliver a wide range of services, including application architecture design and optimization, application modernization, business process management and solution integration, custom application design and development, and large-scale technology delivery program efforts.

Functional Managers are required to have:
Bachelor's degree in IT or other related discipline

Total 11+ yrs relevant IT Consulting or industry experience.

5+ yrs in requirements engineering, functional and business analysis experience;

Experience in managing large projects related to custom software development and deep knowledge of full SDLC;

Experience in leading teams and translating requirements into optimized designs and identifying alternatives for clients;

Deep background and experience in requirements planning, requirements engineering and management, functional design, business process modelling and enterprise business analysis

Must possess Industry certifications like CCBA, CBAP in Business Analysis area

Deep experience in tools like ARIS, IBM Requisite Pro, or other similar BPM tools and guiding project teams for delivery with these tools

Deep management and leadership skills for requirements analysis and guiding projects through-out SDLC on requirements , change requests and successful delivery

Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future.

In addition, successful Managers will have the following preferred background:

CCBA/CBAP Certification and experience of working with DevOps, Agile, CI Methodology.

Experience in managing design activities including design sessions and defining future state processes.

Experience leading fit gap analysis and helping with impact analysis

Experience in leading teams accross shores - onsite, nearshore and offshore

Experience in managing requirements processes including conducting interviews , stakeholder buy-ins and finalizing technical requirements.

How you’ll grow

At Deloitte, our professional development plan focuses on helping people at every level of their career to identify and use their strengths to do their best work every day. From entry-level employees to senior leaders, we believe there’s always room to learn. We offer opportunities to help sharpen skills in addition to hands-on experience in the global, fast-changing business world. From on-the-job learning experiences to formal development programs at Deloitte University, our professionals have a variety of opportunities to continue to grow throughout their career. Explore Deloitte University, The Leadership Center.

Benefits
At Deloitte, we know that great people make a great organization. We value our people and offer employees a broad range of benefits. Learn more about what working at Deloitte can mean for you.

Deloitte’s culture
Our positive and supportive culture encourages our people to do their best work every day. We celebrate individuals by recognizing their uniqueness and offering them the flexibility to make daily choices that can help them to be healthy, centered, confident, and aware. We offer well-being programs and are continuously looking for new ways to maintain a culture where our people excel and lead healthy, happy lives. Learn more about Life at Deloitte.

Corporate citizenship
Deloitte is led by a purpose: to make an impact that matters. This purpose defines who we are and extends to relationships with our clients, our people and our communities. We believe that business has the power to inspire and transform. We focus on education, giving, skill-based volunteerism, and leadership to help drive positive social impact in our communities. Learn more about Deloitte’s impact on the world.

Recruiter tips
We want job seekers exploring opportunities at Deloitte to feel prepared and confident. To help you with your interview, we suggest that you do your research: know some background about the organization and the business area you’re applying to. Check out recruiting tips from Deloitte professionals."
3,Data Analyst - MR,"Greentree, PA",Greentree,PA,None Found,None Found,"Bachelor’s Degree- concentration or previous work experience in business, accounting, finance, criminal justice, law, or economics preferred
Demonstrates professional integrity
Dependable, flexible and adaptable to changing client needs and ACA initiatives
Ability to work well in a fast paced, small team environment
Ability to work independently, multi-task and prioritize effectively
Strong organizational and problem-solving skills with attention to detail
Highly motivated and goal oriented; proactive in one’s own education and career progression; volunteers for and shows initiative on both internal and external projects and tasks
Dedicated to upholding ACA’s high quality standards, customer service focus, and commitment to protecting clients’ confidential information",None Found,"Analyze clients’ books and records, including electronic communications and/or marketing materials among other things, for potential regulatory issues
Review covered materials such as: presentations, public offerings, pitchbooks, press releases, email marketing and disclosures
Reconcile performance claims against approved track records;
Discuss identified issues and associated solutions; and
Document review efforts and statistics.
Assist with the planning of upcoming reviews, including participating in calls with clients, reviewing client policies and procedures, and working with supervisor to resolve any issues
Perform other ad-hoc work/special projects as necessary to support ACA on various client and internal initiatives",None Found,None Found,"Overview
Marketing and advertising materials are central to how investment advisers and broker-dealers represent their expertise, processes, strategies and performance to prospective clients and investors. Our Marketing and Advertising Reviews team is designed to help firms identify potential business and compliance risks that could lead to problems with key stakeholders: regulators, clients, and prospective clients. As a Marketing Review Analyst, you will be responsible for conducting a careful analysis of clients’ marketing communications for potential regulatory deficiencies, drafting reports and communicating a summary of your reports.
Responsibilities
Analyze clients’ books and records, including electronic communications and/or marketing materials among other things, for potential regulatory issues
Review covered materials such as: presentations, public offerings, pitchbooks, press releases, email marketing and disclosures
Reconcile performance claims against approved track records;
Discuss identified issues and associated solutions; and
Document review efforts and statistics.
Assist with the planning of upcoming reviews, including participating in calls with clients, reviewing client policies and procedures, and working with supervisor to resolve any issues
Perform other ad-hoc work/special projects as necessary to support ACA on various client and internal initiatives
Qualifications
Bachelor’s Degree- concentration or previous work experience in business, accounting, finance, criminal justice, law, or economics preferred
Demonstrates professional integrity
Dependable, flexible and adaptable to changing client needs and ACA initiatives
Ability to work well in a fast paced, small team environment
Ability to work independently, multi-task and prioritize effectively
Strong organizational and problem-solving skills with attention to detail
Highly motivated and goal oriented; proactive in one’s own education and career progression; volunteers for and shows initiative on both internal and external projects and tasks
Dedicated to upholding ACA’s high quality standards, customer service focus, and commitment to protecting clients’ confidential information

ACA is an equal opportunity employer and does not unlawfully discriminate against current or prospective employees on the basis of race, color, religion, sex, age, national origin, pregnancy, familial status, marital status, sexual orientation, gender identity, disability, veteran status, citizenship, ancestry, genetic information, or any other characteristics prohibited by law."
4,Data Analyst,"Pittsburgh, PA 15206",Pittsburgh,PA,15206,None Found,None Found,None Found,None Found,None Found,None Found,"Company Description

Govini is a data analytics firm dedicated to transforming the business of national security through data science and machine learning. Through its analytical platform, Govini delivers objective, decision-grade information at scale to the U.S. national security enterprise, so that leaders can better direct investments to innovation and modernization. Govini has offices in Arlington, Virginia, San Francisco, California, and Pittsburgh, Pennsylvania.

Job Description

We are seeking a curious and eager analyst to join our team in transforming the business of government through big-data analysis and visualization technology. You'll be a core member of our product team in helping our clients replace time-consuming, manual processes to reach informed real-time decisions about government markets, competitors, and agency relationships.

In this role, you will provide technical solutions to a wide range of difficult problems, ensuring these solutions are imaginative, thorough, practicable, and consistent with organization objectives.

This is a team member position, working onsite in our Pittsburgh, PA office.

Scope of Responsibilities

Analyze source data sets and determine their application to core Govini data

Understand how source data will integrate into Govini analytic system

Import and extract data from text files, spreadsheets, databases, and data feeds

Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data

Translate analysis into best-practice recommendations on data mining, analysis and visualization that can be shared and acted upon

Collaborate with Govini engineering team to integrate data into platform

Work directly with management and users to gather requirements, provide status updates, and build relationships

Ensure key entities within datasets are identified, resolved and linked to existing entities within the current master data repository

Build best practices that help with chain of custody of data so it can be easily traced back to the source for accuracy and consistency

Qualifications

In order to do this job well, you must be an ambitious and relentless problem solver with a passion for data and obsession with quality. As part of our team, you must be a data nerd with a strong understanding of how to manage and connect an increasing array of disparate data to power insightful analytics.

You have a passion for great work and nothing less than your best will do. You share our intolerance of mediocrity. You’re uber-smart, challenged by figuring things out and produce simple solutions to complex problems. Knowing there are always multiple answers to a problem, you know how to engage in a constructive dialogue to find the best path forward. You’re scrappy. We like scrappy.

U.S. Citizenship is required

Required Skills

Bachelor’s degree in Mathematics, Computer Science, Statistics, or Information Systems (or related field)

0-5 years professional experience as a data analyst or developer

Excellent analytical skills, including mining, evaluation, analysis, and visualization

Technical writing experience in relevant areas, including queries, reports, and presentations

Strong SQL or Excel skills with the ability to learn other analytic tools

Ability to work independently with little supervision

A burning desire to be challenged and learn

Proven success in a collaborative, team-oriented environment

Desired Skills

Prior experience with database and model design and segmentation techniques

Experience coding in Python or R

Strong programming experience with frameworks including XML, Javascript, and ETL

Practical experience in statistical analysis through the use of statistical packages including Excel, SPSS, and SAS

Experience in or exposure to the nuances of a startup or other entrepreneurial environment

We firmly believe that past performance is the best indicator of future performance. If you believe you meet the qualifications above, and you’re prepared to perform complex, mentally rigorous work, we’re eager to hear from you.

Govini is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law."
5,Data Lineage Sr. Analyst Associate,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,"Bachelors degree
Solid knowledge and ability to read JAVA and ESQL
Minimum 5 years of experience in a business/data analyst role in supporting a front to back project environment in regards to data management/data lineageMinimum within the banking industry",None Found,"Ability to understand JAVA and ESQL is a must
Understand the rules that are running through the code
Need to understand Bit-bucket
IIB is a plus but not required
",None Found,None Found,"Overview
The EXL Finance Transformation team is seeking to hire a Data Lineage Sr. Analyst Associate to join their team servicing client needs in Pittsburgh, PA

Candidates MUST be able to read and understand JAVA and ESQL

Please note - this is NOT a JAVA programmer role
Responsibilities
Basic requirements include:
Ability to understand JAVA and ESQL is a must
Understand the rules that are running through the code
Need to understand Bit-bucket
IIB is a plus but not required
Role:
Sit with system SMEs and understand how data is communicated across systems
Distill complex code into a consumable format
Ability to communicate effectively; present detailed analysis at a high-level
Qualifications
Bachelors degree
Solid knowledge and ability to read JAVA and ESQL
Minimum 5 years of experience in a business/data analyst role in supporting a front to back project environment in regards to data management/data lineageMinimum within the banking industry
EEO Statement
EEO/Minorities/Females/Vets/Disabilities"
6,Environmental Data Analyst,"Pittsburgh, PA 15237",Pittsburgh,PA,15237,None Found,None Found,None Found,None Found,None Found,None Found,"EMPLOYMENT OPPORTUNITY: ENVIRONMENTAL DATA ANALYST
This is a home office based position and can be located anywhere in the US.

JOB DESCRIPTION:

This opportunity is for a flexible and self-motivated individual. You will play a key role in administering our EQuIS based Environmental Database Management System (EDMS). This may include: sample event planning; lab setup and coordination; data receipt, review and import; data QA/QC and reporting.

Typical responsibilities will include:
Assist in the management of EHS Support’s centralized environmental data warehouse
Oversee and assist in development of project specific data management, analysis and reporting needs while incorporating EHS Support tools and structure
Maintain a comprehensive vision of EHS Support’s data life-cycle, administrating various workflows related to data management, and delegating tasks to appropriate technical staff
Ensure standards of data and accuracy are met for each project
Prepare high-quality technical deliverables, models, reports, and other deliverables as required.
Expand technical expertise by working on multiple projects with experts in technical areas of the practice.
Enhance the technical capabilities of the team by expanding the knowledge base, improving internal processes, and developing innovative technical approaches.
POSITION REQUIREMENTS:

Traits required for success in our team:
Flexibility and ability to manage multiple deadlines and fast-changing prioritiesA high level of attention to detailCuriosity and an affinity for solving problemsDisplay integrity through honesty, fairness, & respectPossesses a sense of responsibility and takes accountabilityTakes initiativeMaintains a sense of ownership over delivery of projectsTrustworthy & dependableGood listener & fosters teamwork

Skills required for success in this role include:
At least 8 years’ experience working with and managing environmental chemistry and field data using a centralized data management system (for example, Earthsoft’s EQuIS platform). B.A. or B.S. Degree in related field, or equivalent experience. Experience and knowledge of environmental analytical laboratory methods, processes. Demonstrated understanding of relational database concepts and principles. The following skills are not required but would be an additional asset: Statistical analysis, SQL query development and maintenance. Basic programming experience (e.g. Python, Visual Basic for Applications).
We are an equal opportunity employer. All applicants will be considered for employment without attention to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status."
7,ATG Sr Strategic Finance Associate,"Pittsburgh, PA 15201",Pittsburgh,PA,15201,None Found,None Found,None Found,None Found,None Found,None Found,"At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.

We welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let’s move the world forward, together.
About the Role

As a strategic finance analyst, you will be working with ATG senior finance business partners on the strategic projects, to provide timely and meaningful analysis support across functions, including strategy, product, business development, M&A, workplace, Fintech and supply chain etc; your strong finance & accounting knowledge as well as ADVANCED analytical skills will assist ATG to deliver our long term commitment in self driving car development.
You need to be hands on, detail focused, flexible and with a great sense of urgency; you are not only mining data, building models and preparing reports, but also expected to extract useful information and draw conclusions from the analysis, and effectively communicate your ideas to the stakeholders.
In addition to driving and supporting regular financial planning, forecasting, reporting, and analysis efforts, you’ll have the opportunity to turn these insights into initiatives, running with them and driving up process efficiencies with the senior leaders in ATG. So if you're ready to roll up the sleeves and get your hands dirty to change the world, get in touch!
What You’ll Do
Strategic initiatives support by building up sophisticated financial models from scratch, improve and maintain the existing models, clearly define drivers within the models by making reasonable assumptions and follow up with stakeholders to test the result effectiveness
Work closely with ATG strategy team to define launch plans, in order to understand the long term financial implications and capital investment requirements
Work with various corporate functions to close off external investment deal on ATG and various post merger integration supports
Ensure that corporate finance and accounting initiatives and requirements are executed within ATG, drive finance accuracy and month end closing process improvements
Partner with ATG functional teams to build business cases to evaluate capital investment scenarios to assist decision makings
Support finance business partner to implement ERP phase 2 for manufacturing and roll out fully loaded costing process
Ad-hoc projects and deal support - be prepared for new initiatives and flexible with changes
Innovate - Be creative, adaptive, and eager to learn new technical skill sets to improve the reporting, modeling and financial processes.
What You’ll Need
Degree in Finance, business or data science, preferably MBA
5 - 8 years of experience in finance, investment banking, consulting, preferably with direct business/data analyst experience within a large, professionally managed global company.
ADVANCED Excel/Google Sheet skills - Best practices are second-nature, your models are efficient, scalable, and intuitive
ADVANCED analytical skills, hands-on, detail oriented, positive attitude, and be able to summarize and translate complex models into initiatives and actions
Excellent communication and presentation skills - be able to challenge and align with the key stakeholders
Self-starter - You will take initiative, be dedicated, set and drive toward goals
Systems - working knowledge of enterprise-level ERP systems (Oracle, Tableau etc)
Be able to deep dive into the details while not losing the big picture

About the Team

At the Advanced Technologies Group (ATG), we are building technologies that will transform the way the world moves. Our teams in Pittsburgh, San Francisco, and Toronto are dedicated to mapping, software and hardware development, vehicle safety, and operations for self-driving technology. Our teams are passionate about developing a self-driving system that will one day move people and things around more safely, efficiently, and cost effectively.

At Uber, we believe technology has the power to make transportation more efficient, accessible, and safer than ever before. Self-driving technology has the potential to make these benefits an everyday reality for our customers, but it’s not going to happen overnight. Building best-in-class self-driving technology will take time, and safety is our priority every step of the way. Operating inclusively and transparently, while displaying responsible behavior in a structured development are critical to safety. We at ATG seek candidates who will role model these values.

The Global Supply Chain and Business Operations team scales best in class technology and processes to deliver safe, reliable, and accessible transportation for the Uber platform."
8,Senior BI Analytics Developer,"Canonsburg, PA 15317",Canonsburg,PA,15317,None Found,None Found,None Found,None Found,None Found,None Found,"SUMMARY
The Business Intelligence and Analytics developer will participate in the delivery of information and analytics solutions and platforms to key business stakeholders. The developer will provide expertise, best-practices, education, training and consulting services to ANSYS staff.

RESPONSIBILITIES
Analyze and translate business reporting and analytic requirements to model the physical data into reporting, dashboard, and visualization tools, import database objects and establish relationships between data elements, and define the connections to data environments.
Analyze and translate business requirements into business reports and dashboards based off the reporting layer model by creating filters, joins, key definitions, and renaming source data columns and tables.
Develop the presentation, metadata layer, and access controls to enable business users to develop and use reports.
Provide expertise to the business with reporting, analytics and dashboards and provide insights into data that will drive business growth and performance.
Collaborate with business end users to educate and help them create their own self-service reports.
Develop dashboards and reports as needed, using knowledge of dashboard and data visualization best practices.
Document standard business intelligence and analytic processes, metadata, and data definitions for end users as well as Level 1 and 2 technical staff who can assist in analyzing and solving common user issues.
Work closely with other departments, ensuring their data, reporting and analytics needs are met either by producing top quality reports, dashboards, and insights, or by training and providing them with what they need to produce those same dashboards.
Work in a collaborative environment, work creatively and leverage innovation processes and techniques to deliver new insights.


MINIMUM QUALIFICATIONS
Bachelor's degree in computer science, engineering, Business, Information Systems, or a related technical field is required.
4 years’ experience report development using OBIEE toolset including RPD design.
Ability to quantify and effectively identify user requirements for analytics and dashboards
Excellent interpersonal, communications, public speaking, and presentation skills
Excellent communication skills, to be able work side-by-side with business users.
Oracle PL/SQL
Microsoft T-SQL
Develop OBIEE RPD (Physical, BMM, Presentation Layers)
Develop Business Intelligence Analyses and Dashboards.
Knowledge of Oracle OBI Publisher Reports
Knowledge of Oracle developer tools (Toad, SQL Developer)
Experience in Excel using pivot tables, charts, functions and other advanced techniques.


PREFERRED QUALIFICATIONS
Experience in using Oracle EBS and/or Siebel
Experience in data platform security (EBS, Oracle, SQL Server)
Experience in data visualization tools (Tableau, PowerBI, Microstrategy)
Experience in Microsoft SQL Server.
Experience working with cloud-based data repositories.
Experience working with dimensional data in a Data Warehouse environment and an operational reporting environment.
Knowledge of Oracle Discoverer.
Knowledge and expertise with Data Analytics techniques.
Knowledge of Master Data Management.
Knowledge of Informatica ETL Design/Development.


CULTURE AND VALUES
Culture and values are incredibly important to ANSYS. They inform us of who we are, of how we act. Values aren't posters hanging on a wall or about trite or glib slogans. They aren't about rules and regulations. They can't just be handed down the organization. They are shared beliefs – guideposts that we all follow when we're facing a challenge or a decision. Our values tell us how we live our lives; how we approach our jobs. Our values are crucial for fostering a culture of winning for our company:
Customer focus
Results and Accountability
Innovation
Transparency and Integrity
Mastery
Inclusiveness
Sense of urgency
Collaboration and Teamwork


ANSYS is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, and other protected characteristics.

ANSYS does not accept unsolicited referrals for vacancies, and any unsolicited referral will become the property of ANSYS. Upon hire, no fee will be owed to the agency, person, or entity.

#SP"
9,"Director, Federal Data Analytics","Pittsburgh, PA 15122",Pittsburgh,PA,15122,None Found,None Found,None Found,None Found,None Found,None Found,"Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today's most important industries. Our growth is driven by delivering real results for our clients. It's also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it's no wonder we're consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Working Mother Magazine, Diversity Inc. and others. If you're as passionate about your future as we are, join our team.
KPMG is currently seeking a Director of Data Analytics to join our Federal Advisory practice.
Responsibilities:
Lead multiple client service delivery teams in the active execution of engagements in compliance with firm and practice unit service delivery standards
Lead the development of complex analytical solutions applying statistical, econometric, and operations research techniques
Utilize technical and industry knowledge to identify complex client issues and build long-term business relationships with key executives through engagement delivery and networking in professional organizations
Manage and provide leadership to teams of staff-level professionals and become actively involved in staff development and practice management
Develop statistical and ML models across a broad spectrum of topics, including both causal inference and predictive models
Ability to integrate multiple systems / data sets to build large and complex data sets and make them usable (e.g. transforming / cleaning data, working incomplete data sources, implementing and validating quality procedures)
Design rigorous model validation studies and best practices
Qualifications:
A minimum of eight years of complex data analytics experience; U.S. Federal government consulting experience preferred
A minimum of eight years of project management, and contract project budgeting experience
Bachelor's degree from an accredited college/university
Experience with analytics tools including R, SAS, Tableau, Power BI, and languages including Python
Experience building workload staffing models
Strong understanding of governance, controls, process and procedures, centers of competency, change management, conceptual data modeling, master data management, data standardization and stewardship, information integrity and compliance, and data quality management
Ability to travel up to 100%
U.S. citizenship required and an active U.S. Federal government Top Secret security clearance
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please."
