,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Full Stack Developer, Data Science & Insights","Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Los Angeles, California
Data Science and Engineering
Netflix is a pioneer in the entertainment industry, merging the creativity of Hollywood with the technical innovation of Silicon Valley. Netflix currently serves over 150 million subscribers in more than 190 countries around the world and spent over $12 billion on television, films, documentaries and other entertainment content in 2018 alone.

As Netflix continues to grow - we are leveraging the unique position we have as both a content distributor and producer to create cutting-edge data driven insights to support a variety of people making decisions about the content we make and buy.

We’re looking for a senior software engineer to help build new tools to help us become the first truly data-driven content studio in the world. You’ll work closely with data scientists to create interactive web applications that will not only surface critical insights to business and creative stakeholders, but collect critical information from key decision makers to allow us to continually learn and innovate around the ways we discover and evaluate new content.
You Are:
Experienced building full-stack web apps. You have deep experience with Node.js and front-end JavaScript. You have experience working with a component framework like React or Vue.js. D3 or other visualization experience preferred.
Someone who loves building V1 - exploring a new concept from start to finish and building it from the ground up. You welcome user feedback, and use that information to iterate on the tool.
Passionate about telling stories with data and have a knack for visualizing complex and large-scale data outputs in intuitive ways.
Experienced in designing, building, and iterating on interfaces, with a strong sense of the entire user experience, not just the individual pieces.
Experience with big data technologies (SparkSQL, Map/Reduce, ETL scheduling, etc.)) is a plus. Bonus points for familiarity with Elasticsearch queries.
Interested in building tools that can help to collect data as well as visualize it - experience with crowdsourcing tools or casual games a plus.
Motivated to explore new technologies, and comfortable with self-directed learning.
You can expect to:
Partner closely with data scientists to create new tools and workflows that will maximize the impact of our data teams.
Work with stakeholders to rapidly iterate on your initial designs based on user research and feedback.
Work with larger engineering teams to integrate your new innovations into existing workflows and tools as they mature.
APPLY NOW
Share this listing:
LINK COPIED"
1,"Senior Data Engineer, Targeting","Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"About Us

At VideoAmp, we believe in challenging advertising paradigms to maximize value for clients. We do this by enabling companies to execute on business outcomes across their media investment instead of more traditional media metrics. VideoAmp is the software and data solutions company powering the convergence of the linear TV and digital video advertising. Our solutions connect linear TV viewership with addressable data assets to benefit the marketing and media industries. This enable marketers and content owners to holistically plan, transact, and measure deduplicated audiences across digital video, OTT, connected and linear TV advertising. Our engineers, data scientists, designers and media strategists are inspired by tackling one of the most challenging problems in media and marketing — bridging the divide between TV and digital media.

On the Targeting team, you will research and development around ways to optimize our clients ability to reach their target audience cross platform

We want to chat with you if:

You're never tired of winning and want to help evolve a $250 billion dollar industry
Accessing and deriving business-changing insights from crazy amounts of data excites you
You're passionate about creating new analysis that has never been done before

What you'll do:

Design and build out new data pipelines
Analyze, scrub, and integrate third party data
Build new, and scale out existing ETL applications
Collaborate with Data Scientists and productionalize various Data Science Models
Coordinate data models with other engineering teams
Develop and release using agile methodologies

You'll need 4+ years of hands-on coding experience building data pipelines and:


Bachelor of Science in Computer Science preferred
Strong experience using distributed computing frameworks for high volume data processing
Experience working with one of the following Python, Scala, Go, Java, or Spark
A solid and demonstrable understanding of ETL workflows, data warehousing, and big data principles
A solid understanding of NoSQL datastores
SQL fluency and an understanding of relational data models
Experience with AWS, GCP or Azure or another cloud provider

And there's a ton of perks that come with working at VideoAmp including:


Competitive compensation
Comprehensive health benefits
Meaningful equity
401k
Unlimited vacation with a stipend for travel and accommodations of $2,000/year
Unlimited in-office gym use with personal trainer
Childcare stipend
Plenty of snacks and beverages
Personal and professional development

"
2,GNC Engineer (Starship),"Hawthorne, CA 90250",Hawthorne,CA,90250,None Found,None Found,None Found,None Found,None Found,None Found,"SpaceX was founded under the belief that a future where humanity is out exploring the stars is fundamentally more exciting than one where we are not. Today SpaceX is actively developing the technologies to make this possible, with the ultimate goal of enabling human life on Mars.

GNC ENGINEER (STARSHIP)

As a GNC Engineer, you will be responsible for pushing the technical boundaries of flight control systems for the world's most advanced rockets, including our next-generation Starship vehicle, a fully reusable spacecraft capable of carrying humans to Mars and beyond. You will work with a talented team of accomplished engineers to develop, analyze, and test vehicles and subsystems for highly reliable flight. You should thrive in fast-paced, dynamic environments where you adapt quickly and love to solve hard problems.

RESPONSIBILITIES:

Develop innovative guidance, navigation, and control systems for SpaceX launch vehicles, including Falcon 9, Falcon Heavy, and Starship
Engage in multi-disciplinary vehicle systems investigations and design work that define the systems architecture
Implement new software or algorithms to enable mission unique capabilities and leading edge launch vehicle performance
Develop 6-DOF dynamics simulation models used for GNC systems analysis and validation
Analyze launch vehicle trajectories, performance dispersions, and flight stability
Conduct post flight data review and correlation with analyses for continued improvement of predictions
Support launch and mission operations of vehicles that you enabled
Perform testing of GNC software utilizing hardware-in-the-loop testing, Monte Carlo analysis, and algorithm unit testin

BASIC QUALIFICATIONS:

Bachelor's degree in physics or an engineering discipline
Experience with control systems, orbital mechanics, classical dynamics, modeling and simulation
Experience with the software languages Python and C++

PREFERRED SKILLS AND EXPERIENCE:

Postgraduate degree in physics or an engineering discipline
2+ years of professional experience in control systems, orbital mechanics, classical dynamics, aerodynamics, sensors and actuators, modeling and simulation, and the software languages C++ and Python
Demonstrated project or professional experience in launch vehicle and/or spacecraft system
Capable of solving complex problems with little to no supervision on schedule as an individual or as a member of an integrated team
Passion for advancing the commercial space industry and human spaceflight
Excellent communication skills both written and verbal

ITAR REQUIREMENTS:

To conform to U.S. Government space technology export regulations, including the International Traffic in Arms Regulations (ITAR) you must be a U.S. citizen, lawful permanent resident of the U.S., protected individual as defined by 8 U.S.C. 1324b(a)(3), or eligible to obtain the required authorizations from the U.S. Department of State. Learn more about the ITAR here ( https://www.pmddtc.state.gov/?id=ddtc_kb_article_page&sys_id=24d528fddbfc930044f9ff621f961987 ).

SpaceX is an Equal Opportunity Employer; employment with SpaceX is governed on the basis of merit, competence and qualifications and will not be influenced in any manner by race, color, religion, gender, national origin/ethnicity, veteran status, disability status, age, sexual orientation, gender identity, marital status, mental or physical disability or any other legally protected status.

Applicants wishing to view a copy of SpaceX's Affirmative Action Plan for veterans and individuals with disabilities, or applicants requiring reasonable accommodation to the application/interview process should notify the Human Resources Department at (310) 363-6000."
3,Principal Engineer,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We're looking for a seasoned, creative and technical Principal Engineer to join our team in Los Angeles and drive our mission to transform how humans learn, work and play.

In this role you will:
Lead and grow a team of Unity developers and artists to deploy cutting-edge interactive VR/MR learning experiences and solutions for enterprise

Lead end-to-end development of new features from technical design to implementation and testing, documentation and deployment

Translate solutions design and product documentation into technical specifications

Author debugging tools, and provide long term software support

Build prototypes in VR/AR

Analyze application performance and architect low level optimizations as needed

Play a lead role in the evaluation, acquisition, and development of external content

Serve as primary point of contact and technical liaison to external teams throughout the development and launch of second-party content

Lead the design and architecture of reusable systems

Create tools that enable designers, artists, and other teammates to do amazing work

Conduct technical design and code reviews

Jump in and take ownership of an existing code base

Uphold and maintain quality of code and coding standards across engineering teams

Knowledge Skills an Abilities we are looking for:
Deep understanding of data structures, 3D math, C#, and the Unity asset and build pipeline

Knowledge of Unity team project best-practices (prefabs, asset naming, organized scene hierarchy)

Experience with version control software as applied to Unity development E.g.; Git, Perforce

Understanding of modern object-oriented design principles, including: inheritance, interfaces, dependency injection, and reflection

Experience with rapid prototyping

Experience working with cross-functional teams in an Agile development environment across multiple time zones.

Excellent and proactive time-management, organization, and communication skills

Strong ability to scope Unity work accurately and in-line with time and cost constraints

Up to date, active knowledge of the latest technical advancements in VR/MR and their capabilities

Ability to implement performance and optimization techniques and good practices

Ability to collaborate with individuals with a varied range of technical understanding

Strong understanding of performance-minded development and game optimization

Experience deploying VR & MR to multiple platforms

Track record of positive leadership and proactive mentoring

One or more of these is a plus:
Full stack Mobile development (iOS/Android)

Advanced rendering / Shader development / OpenGL and/or Vulkan

Unity/Unity 3D evangelist (You've shipped multiple titles in Unity!)

Active in the Unity meetup space and community"
4,Radar Analyst,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Waymo is the self-driving technology company with a mission to make it safe and easy for people and things to move around. Building on software and sensor technology developed at Google, Waymo is now launching the world’s first fully self-driving transportation service that will take members of the public from A to B at the touch of a button.

Hardware Engineering is a diverse, innovative, and collaborative group of electrical, mechanical, reliability, software and vehicle engineers. We design, build, and perfect the products which are the eyes and ears of Waymo's self-driving systems, and integrate those products into vehicle platforms. We're seeking curious and talented teammates to keep us moving in the right direction.

In this Hardware Engineering role, you'll:

Combine both empiricism and theory to provide actionable answers to radar design questions
Be the go-to expert on radar data for users, explain phenomenology, troubleshoot and explain issues to a user community with diverse technical backgrounds
Develop insightful tests that span the range of radar integration stages, including individual snapshot evaluation, fully integrated on self-driving vehicles, and fleet wide data mining
Perform data analysis from desktop to datacenter scale, leverage a large ecosystem of tools and develop & maintain your own
Document and disseminate findings to a multidisciplinary team
At the minimum, we'd like you to have:

A bachelor’s degree in mathematics, physics, engineering, or other technical field (advanced degree preferred)
Coursework and/or experience in signal processing, probability and statistics
Experience with radar design, verification and validation, including test design and results documentation
Proficiency in MATLAB, Python, and C/C++"
5,Data Scientist,"Rosemead, CA 91771",Rosemead,CA,91771,None Found,"Bachelor’s degree in a quantitative discipline such as Statistics, Mathematics, Engineering, Computer Science, or information sciences such as business analytics or informatics.
Seven (7) years’ experience working in analytical fields.
Three (3) years of experience data acquisition, data mining, data transformation, cleaning structured/unstructured data, advanced modeling, and machine learning.
Track record of leading and collaborating on Advanced Analytics strategic initiatives.
Proficiency in some combination of SQL, R, Python, SAS; expertise in extracting and transforming large datasets.
Experience using machine learning algorithms.
Experience with dashboards, business intelligence tools, and visualization solutions.
Ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.
Ability to collaborate with people at all levels and with multi-office/region teams.
Ability to lead small SME teams.
Excellent written and oral communication skills and strong interpersonal skills.
Strong problem-solving ability to generate actionable insights.
Must thrive in a fast-paced environment and be able to work independently.
Knowledge of one or more business/functional areas in Electrical Utilities domain.",None Found,None Found,None Found,None Found,"Job Description
ENERGY FOR WHAT’S AHEAD
Are you looking to make a difference in your career? We’re working on smarter grids, cleaner energy and tools to help people manage energy more efficiently.

About Customer Service
Southern California Edison’s (SCE’s) Customer Service Organizational Unit (CS) shares the responsibility to safely deliver reliable, affordable electricity to our customers. We do this through a focus on ease of experience, expert problem-solving, leveraging insights drawn from data analytics, and through meaningful and timely metric achievement.

You are inspired to work in a company that is forward facing. You want to play a big part in making meaningful decisions. You thrive when using your organizational planning skills, and keen sense of vision, transform and lead an elite team, whose work directly impacts our customers. At the end of the day, you desire to build real change—for the better for everyone. Does this sound like you?

Position Overview
As part of the advanced analytics team, you will be working closely with clients, information architects, data engineers, project/program managers, and other teams to turn data into critical information and insights that can be used to make sound business decisions. This includes providing data that is congruent and reliable. You’ll need to be creative thinker and propose innovative ways to look at problems. You will work the mining of the data for insights, development and implementation of new and advanced forecasting models using advanced statistics and machine learning methods. You’ll validate findings using an experimental and iterative approach. In this role, you will need to be able to present findings to the business by testing hypotheses and presenting in a way that can be understood by business counterparts.

The Data Scientist is responsible for developing and owning models, discovering insights, and identifying opportunities for SCE’s customers, using advanced statistical techniques. In addition to analytical skills, the Data Scientist should be proficient at integrating and preparing large, varied datasets, overseeing the development of advanced analytical solutions, and communicating results. Overall, you will be responsible for:
Generating advanced analytical approaches including predictive modeling, optimization and simulation to generate business insights.
Qualifications
Minimum Qualifications
Bachelor’s degree in a quantitative discipline such as Statistics, Mathematics, Engineering, Computer Science, or information sciences such as business analytics or informatics.
Seven (7) years’ experience working in analytical fields.
Three (3) years of experience data acquisition, data mining, data transformation, cleaning structured/unstructured data, advanced modeling, and machine learning.
Track record of leading and collaborating on Advanced Analytics strategic initiatives.
Proficiency in some combination of SQL, R, Python, SAS; expertise in extracting and transforming large datasets.
Experience using machine learning algorithms.
Experience with dashboards, business intelligence tools, and visualization solutions.
Ability to come up with solutions to loosely defined business problems by leveraging pattern detection over potentially large datasets.
Ability to collaborate with people at all levels and with multi-office/region teams.
Ability to lead small SME teams.
Excellent written and oral communication skills and strong interpersonal skills.
Strong problem-solving ability to generate actionable insights.
Must thrive in a fast-paced environment and be able to work independently.
Knowledge of one or more business/functional areas in Electrical Utilities domain.
Desired Qualifications
MS or PhD in a quantitative discipline such as Statistics, Mathematics, Engineering, Computer Science, or information sciences such as business analytics or informatics
Certification in Data Science and/or Predictive Analytics.
In-depth industry/business knowledge in Electric Utility domain.
Experience in leading and mentoring junior team members, and providing guidance on data science, and advanced analytics development.
Strong Leadership skills and experience.
Data modeling knowledge and skills.
Data integration knowledge and skills.
Data life cycle management knowledge and skills.
Comments
Candidates for this position must be legally authorized to work directly as employees for any employer in the United States without visa sponsorship.
Relocation may apply to this position.
Southern California Edison, an Edison International (NYSE:EIX) company, serves a population of approximately 15 million via 5 million customer accounts in a 50,000-square-mile service area within Central, Coastal and Southern California. Join the utility leader that is safely delivering reliable, affordable electricity to our customers for over 125 years.

SCE is a proud Equal Opportunity Employer and will not discriminate based on race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, protected veteran status or any other protected status.
#L1-WT1"
6,Senior Data Services Engineer,"Santa Monica, CA 90405",Santa Monica,CA,90405,None Found,"3+ years experience data engineering development using scala/python
Experience designing and implementing large, scalable services
Experience with automating & deploying micro-services
Experience working with third-party APIs and creating robust APIs
Know when and where to optimize and cache
Comfortable working with large data sets and distributed systems (datastores, frameworks)
Experience with streaming / realtime technologies (Kinesis, Kafka, Spark streaming etc)
Deep understanding of MySQL, Postgres, Redshift, relational databases etc.
Understand when to use NOSQL databases / other distributed ""big data"" technologies
Experience with AWS technologies
Startup work experience a major plus!",None Found,None Found,None Found,None Found,"Retention Science is looking for an experienced data engineer who is passionate about writing clean, well-tested code. You will be working on our data services squad - the team that handles data engineering pipelines, and creates scalable / high-throughput backend services, primarily in Scala / Spark / Python. You will be building out robust micro-services that ingest and process huge data sets, work closely with our data science team to ensure that our machine learning models scale and support our product. Ultimately, this is all used to power our predictions and optimize and automate marketing campaigns for our clients. You will work with real-time / streaming technologies and build tools that help our clients visualize and interact with their data (millions of users and billions of data points.)

You'll get to work across our micro-services and distributed systems. You should love working with Python, although you’ll also have the opportunity to work on other services, frameworks, languages (eg. AWS/lambda, etc). In addition, you will gain exposure into our machine learning stack (Spark framework) that our data scientists have developed to predict and personalize at scale.

In addition to having meaningful responsibilities and improving your engineering chops, you will also receive comprehensive exposure to all aspects of our business. The code and ideas that you contribute will have a tangible impact on the cumulative work of the team as a whole. You thrive in a small, dynamic team environment and want to make an impact in a fast-paced start-up environment.

Qualifications:
3+ years experience data engineering development using scala/python
Experience designing and implementing large, scalable services
Experience with automating & deploying micro-services
Experience working with third-party APIs and creating robust APIs
Know when and where to optimize and cache
Comfortable working with large data sets and distributed systems (datastores, frameworks)
Experience with streaming / realtime technologies (Kinesis, Kafka, Spark streaming etc)
Deep understanding of MySQL, Postgres, Redshift, relational databases etc.
Understand when to use NOSQL databases / other distributed ""big data"" technologies
Experience with AWS technologies
Startup work experience a major plus!
About Us

ReSci's mission is to make artificial intelligence accessible and usable for brands.

Our values:

Inspire with passion

Persevere with determination

Collaborate with unity

Grow without bounds

Create with impact

Lead with character

Based out of Santa Monica, CA, our team consists of serial entrepreneurs who have all made Retention Science a leader in AI marketing. Our SaaS platform, “Cortex” helps online businesses target, engage, and retain customers. The Cortex marketing platform uses machine-learning algorithms to predict customer behavior by analyzing massive sets of demographic, social, and behavioral data to generate 1-to-1 retention campaigns personalized to each customer. Cortex makes 3.5+ billion predictions per day and processes 5k+ events per second.

Our founders have been recognized as the Ernst & Young Entrepreneurs of the Year, and our company was awarded Top 10 Big Data Startup of the Year by CRN, one of Fast Company's nnovation Agents, Top 10 Software Company in Southern California from SocalTech, and identified by Inc. Magazine as one of the most innovative and fastest growing startups. Retention Science has also been featured in Forbes, the Wall Street Journal, TechCrunch, Bloomberg, and Reuters, among other notable publications. In addition, the most prestigious startup accelerator in LA (part of the TechStar Network), as well as many reputable angel investors and Venture Capital firms have provided their support and backing for our business.

We're passionate about what we do and we put our people first! We are a close-knit family whose members drink too much coffee, work hard, and never cease to brainstorm creative new ways to improve our solutions. We foster a dynamic and exciting start-up environment that is conducive for innovative thought; join us if you are interested in working with our world-class team!"
7,Business Intelligence Engineer,"Los Angeles, CA",Los Angeles,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Clutter ( https://www.clutter.com/ ) is an on-demand, technology company based in Los Angeles that is disrupting the $50B/year self-storage and moving industries. We've built an end-to-end logistics and supply chain platform, enabling us to offer consumers a much more convenient solution at price parity with the incumbents. We've raised $300M ( https://www.crunchbase.com/organization/clutter ) from a number of VCs, including Softbank ( https://www.crunchbase.com/hub/softbank-portfolio-companies#section-overview ), Sequoia Capital ( https://www.sequoiacap.com/companies/clutter/ ), Atomico ( https://www.atomico.com/tag/clutter/ ) and GV ( https://www.gv.com/portfolio/ ) (formerly Google Ventures). We have 1,000+ team members and tens of thousands of customers in 7 major markets across the US with plans to be in 50+ markets, domestically and internationally, within the next 5 years!

At Clutter ( https://www.clutter.com/ ), we're fortunate to be providing a consumer value proposition that people love and one that makes economic sense - a true product/market fit that few startups ever find. To deliver on our promise to consumers, team members and investors, we've focused on hiring, training and retaining exceptional individuals. This means that we have a very thorough interview process and maintain high performance expectations, but we'll always be transparent with you and respectful of your time.

The opportunity:
We are looking for a Business Intelligence Engineer to join our rapidly-growing team of engineers. This position will heavily drive key product and business decisions. You will build data pipelines, reliably move data across systems, and build tools to empower our Product Analysts and Data Scientists while working closely with our software engineering team to analyze and fill what gaps exist.

What you'll do:

Architect and implement robust ETL to empower several diverse business domains
Use data to drive growth across our business by leveraging geospatial data to increase field operations efficiency and improve storage utilization and load times in our warehouses
Communicate data-driven insights to stakeholders to drive meaningful and actionable insights

What we're looking for:

At least three years of data experience
Experience building data models, infrastructure, and ETL/ELT pipelines for reporting, analytics, and data science
Confidence in writing complex, performant SQL queries
Strong understanding of query performance in MPP/cloud data warehouse solutions (e.g., Snowflake, Redshift, BigQuery)
Business acumen and understanding business intelligence reporting requirements
Experience programming in Python, Ruby, or Java is a plus
Experience with workflow management tools such as Airflow, Oozie, Azkaban, or UC4 is a plus
Experience with data streaming technologies (e.g., Kafka, SQS, Kinesis) and merging with batch processing in a data warehouse is a plus
Familiarity with business intelligence visualization tools (Tableau, Looker, Periscope) is a plus
BS or MS degree in Computer Science or a related technical field is a plus

Clutter is committed to fostering a fair, inclusive, and equal work environment. We strive to create a workplace that reflects the communities that we serve, where each team member is empowered to come to work as their true self. Diverse teams are more successful, which is why Clutter aims to be a leader in workplace equality and move both our company and the industry forward."
8,Product Development Engineer,"Irwindale, CA 91706",Irwindale,CA,91706,None Found,None Found,None Found,None Found,None Found,None Found,"Job Details
Position : Product Development Engineer
Design and implement custom equipment/ tools, fixtures and/or off the shelf equipment/ tools, fixtures for highly capable manufacturing processes for new and existing products
Need to frequently interact with outside Suppliers, internal/external machine shops and or other departments/groups (such as R&D, Manufacturing and Quality Engineering)
Develop and coordinate the execution of required process characterization and DOEs
Review and develop manufacturing documents (Routers, BOM, etc.).
Performs and lead process validations (IQ/OQ/PQ), GR&R, TMVs as required.
Administers validation training for the technicians and production line staff.
Interfaces with Quality and Manufacturing Engineers to review processes, determine validation requirements, and coordinate the validation.
Coordinates and performs testing relating to the validation.
Works with suppliers, management, Engineers, and Manufacturing Associates in the resolution of quality problems associated with the process development and validation program.
Creation and Processing of Engineering Change Orders (ECOs)
Utilizes advanced statistical tools to determine sampling plans and to analyze data associated with validation activities.
Writes validation protocols and reports as required.
Perform and lead process development activities such as Design of Experiment (DOE)
Read/interpret the engineering drawings and apply required changes to the drawing when needed."
9,Engineering Intern,"Hawthorne, CA 90250",Hawthorne,CA,90250,None Found,"
Currently enrolled as a junior or higher and pursuing a BS in Mechanical/Electrical Engineering, GPA 3.0 minimum at an accredited college or university.
Be able to use PC, Office software suites, 3D modeling software (SolidWorks preferred).
Understanding of applied physics, engineering theories, and mechanical designs.
Uses of caliper, micrometer, toolmaker microscope, surface plate, indicator, electrical test and measurement equipment, PC and various Application programs are highly desirable.
Fundamental knowledge with electrical circuits. Familiar with network analyzers, high frequency test equipment
Preferably some experience in using precision hand tools.",None Found,"Assist Engineers with collection of data and data analysis
Work with production engineers and technicians on problem solving and product improvement projects.
Test Products
Write/revise specifications
Will be required to write routine reports and correspondence, including technical presentations to internal customers.
",None Found,None Found,"Company Overview
Teledyne Relays (a business unit of Teledyne Reynolds, Inc.), is a manufacturer of Electromechanical Relays, Solid State Relays, Power Controllers, RF COAX Switches and RF switching systems. The primary manufacturing facilities are located in the United States, Taiwan and France. We are a vertically orientated manufacturing and design company with major operations in Southern California.
Teledyne Relays’ mission, vision, and value statements have never really changed in principle since 1963. Dedication to every employee and client’s success; Innovation that matters - for our company and for the world; Trust and personal responsibility in all relationships – Teledyne Relays is EveryWhereYouLook.
Position Summary and Responsibilities
We are seeking Engineering Intern to assist Engineers in providing technical supports for manufacturing activities of electromechanical relays, solid state relays and/or coaxial switches.
Essential duties:
Assist Engineers with collection of data and data analysis
Work with production engineers and technicians on problem solving and product improvement projects.
Test Products
Write/revise specifications
Will be required to write routine reports and correspondence, including technical presentations to internal customers.
Qualifications
Requirements
Currently enrolled as a junior or higher and pursuing a BS in Mechanical/Electrical Engineering, GPA 3.0 minimum at an accredited college or university.
Be able to use PC, Office software suites, 3D modeling software (SolidWorks preferred).
Understanding of applied physics, engineering theories, and mechanical designs.
Uses of caliper, micrometer, toolmaker microscope, surface plate, indicator, electrical test and measurement equipment, PC and various Application programs are highly desirable.
Fundamental knowledge with electrical circuits. Familiar with network analyzers, high frequency test equipment
Preferably some experience in using precision hand tools.
U.S. Person required for this position, includes but is not limited to, U.S. Citizens and Permanent Residents"
