,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Engineer - Operations,"Santa Clara, CA 95051",Santa Clara,CA,95051,None Found,None Found,None Found,"Master the MapR Converged Platform, including MapR-FS, MapR-DB Binary and JSON Tables, MapR-Streams and the Hadoop Eco-System products and maintain proficiency and currency as the technology evolves and advances.Achieve and maintain proficiency with MapR cluster and Hadoop Framework sizing, installation, debugging, performance optimization, cluster migration, security and automation.Achieve proficiency with MapR DB Binary and Json Tables sizing, performance tuning and multi-master replication.Achieve proficiency with MapR Event Stream sizing, performance tuning and multi-master replication.Assist the Sales Team (Sales Rep and Sales Engineer) in positioning and selling MapR products and Service offerings.Work closely with MapR sales in scoping and estimating projects.Write, deliver and present formal SOW’s (Statement of Work).Deliver SOW content in formal, hands-on, onsite customer engagements and ensure the on-time delivery and quality of MapR Professional Service engagements.Be a technical voice to MapR’s customers and community via blogs, Hadoop User Groups (HUG’s) and participation at leading industry conferences.Stay current in best practices, tools, and applications used in the delivery of professional service engagements.",None Found,"5+ years experience administering any flavor of LinuxStrong scripting skills (Bash or Python prefered)Familiarity with commercial IT infrastructures including storage, networking, security,","Job Description:
Senior Data Engineer- Operations
Senior Data Engineers will report into MapR’s Professional Services Organization. MapR Data Engineers are responsible for delivering a variety of engineering services to MapR customers throughout North America. Assignments will vary based on the candidate’s skills and experience. Typical assignments may involve cluster sizing, installation, configuration, health checks, performance tuning, data migration, security and automation. MapR’s growing customer base includes most of the Fortune 50 companies which makes the work assignments technically challenging yet rewarding. This role provides a significant opportunity to learn and apply big data technologies and solve related complex problems. MapR Data Engineers report to the Director of Data Engineering located at company headquarters in San Jose, CA.
Responsibilities:
Master the MapR Converged Platform, including MapR-FS, MapR-DB Binary and JSON Tables, MapR-Streams and the Hadoop Eco-System products and maintain proficiency and currency as the technology evolves and advances.Achieve and maintain proficiency with MapR cluster and Hadoop Framework sizing, installation, debugging, performance optimization, cluster migration, security and automation.Achieve proficiency with MapR DB Binary and Json Tables sizing, performance tuning and multi-master replication.Achieve proficiency with MapR Event Stream sizing, performance tuning and multi-master replication.Assist the Sales Team (Sales Rep and Sales Engineer) in positioning and selling MapR products and Service offerings.Work closely with MapR sales in scoping and estimating projects.Write, deliver and present formal SOW’s (Statement of Work).Deliver SOW content in formal, hands-on, onsite customer engagements and ensure the on-time delivery and quality of MapR Professional Service engagements.Be a technical voice to MapR’s customers and community via blogs, Hadoop User Groups (HUG’s) and participation at leading industry conferences.Stay current in best practices, tools, and applications used in the delivery of professional service engagements.
Requirements:
5+ years experience administering any flavor of LinuxStrong scripting skills (Bash or Python prefered)Familiarity with commercial IT infrastructures including storage, networking, security,
virtualization and systems management
Familiarity with either Ansible, Puppet or ChefProficiency in basic Java or Scala programming preferred but not requiredBachelor's degree in CS or equivalent experienceFamiliarity with Hadoop and the Hadoop Eco-System framework a significant advantage
(MapR is willing to train otherwise promising candidates)
Strong verbal and written communication skills are requiredAbility to professionally manage multiple priorities with minimal supervision and deliver on
schedule
Willingness to travel about 70%
Ideal candidate will have any/all of the following:
RHCE certification, Bash or Python scripting, Automation using Ansible, Puppet or Chef, basic knowledge of Hadoop, Hive, or Spark"
1,Biomedical Data Engineer - Health Technologies,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Aug 21, 2019
Weekly Hours: 40
Role Number: 200092872
The Health Technologies Team conceives and proves out innovative technology for Apple’s future products and features in health.
We are seeking a highly capable Biomedical Data Engineer to join a multi-disciplinary team. Successful candidates will be able to integrate with our research study leads, data scientists, and engineers to develop and support effective data analysis and machine learning workflows.
Key Qualifications
Experience with software engineering frameworks:
Excellent coding skills in Python (e.g. Spark, Pandas, Jupyter )
Web Service APIs (e.g., AWS, REDCap, XNAT)
Designing and maintaining (non-)relational databases (e.g. Postgres, Cassandra, MongoDB)
Linux, MacOS based development frameworks
Version control frameworks (Git, virtualenv)
Experience using task scheduling system (eg: Airflow, Luigi or equivalent)
Familiarity with best practices for information security, including safe harbor privacy principles for sensitive data
Experience with biomedical sensors/platforms for measuring physiological signals (time-series data) in the health, wellness and/or fitness realms
Description
• Work closely with team members and study staff to design, build, launch and maintain systems for storing, aggregating and analyzing large amounts of data
• Process, troubleshoot, and clean incoming data from human studies
• Create ETL pipelines to automate data ingestion and transformation, with hooks for QA, auditing, redaction and compliance checks per data management specifications
• Create and populate databases with existing and incoming clinical data
• Architect data models and create tools to harmonize disparate data sources
• Incorporate and comply with regulations as they pertain to electronic and clinical data and databases
Education & Experience
BS/MS in Computer Science, Engineering, Informatics, or equivalent with relevant 4+ years industry experience with biomedical, health or sensitive data.
Additional Requirements
You will thrive in our fast-paced environment if you are highly organized and able to multitask.
Flexible thinking, adaptability to change and comfort with ambiguity are hallmarks of successful people on our team.
We look forward to witnessing your excellent communication and interpersonal skills during the interview process.
Apple is known for heterogeneous and cohesive teams. A proven ability to work seamlessly with others is required to acclimate quickly to our culture.
We highly value your analytical mind and problem-solving skills, and expect a stellar attention to detail.
You will let the customer experience guide your decision making. You will design with Apple’s culture and values, inclusion for all and privacy, as fundamental requirements."
2,Data Engineer,"Sunnyvale, CA",Sunnyvale,CA,None Found,None Found,"We are looking for a candidate with 5+ years of experience in a Data Engineer role, with Bachelor or Master’s degree in Computer Science or related field
2+ years of hands on experience in building and optimizing big data pipelines using Apache Spark in Python programming languages preferred.
2+ years of hands on experience of building & integrating data pipelines with machine learning models preferred.
2 years of experience with any of the cloud platforms such as AWS , Google, Azure etc. for building and deploying data pipelines preferred.
Highly desirable to have experience on data quality analysis and detection.
Experience with big data tools: Kafka, Cassandra, Hadoop, Storm and Spark
Highly Proficient in Python programming skills with Java programming language skills as a huge plus.
",None Found,"Design & Build data pipelines for handling real-time data streams and integrating with machine learning models
Understand and analyze large, complex data sets to identify anomalies and data quality issues
Design and Build Data quality and anomaly detection framework for IoT timeseries data
Build data pipeline with Apache Spark
Work with cross functional stakeholders to assist with their data needs via optimal & reusable data pipelines
",None Found,None Found,"Data Engineer
Equinix is one of the fastest growing data center companies, growing connectivity between clients worldwide. That’s why we're always looking for creative and forward-thinking people who can help us achieve our goal of global interconnection. With 200 data centers in over 24 countries spanning across 5 continents, we are home to the Cloud, supporting over 1000 Cloud and IT services companies that are directly engaged in technological innovation and development. We are passionate about further evolving the specific areas of software development, software and network architecture, network operations and complex cloud and application solutions.
At Equinix, we make the internet work faster, better, and more reliably. We hire talented people who thrive on solving hard problems and give them opportunities to hone new skills, try new approaches, and grow in new directions. Our culture is at the heart of our success and it’s our authentic, humble, gritty people who create The Magic of Equinix. We share a real passion for winning and put the customer at the center of everything we do.
Responsibilities
Design & Build data pipelines for handling real-time data streams and integrating with machine learning models
Understand and analyze large, complex data sets to identify anomalies and data quality issues
Design and Build Data quality and anomaly detection framework for IoT timeseries data
Build data pipeline with Apache Spark
Work with cross functional stakeholders to assist with their data needs via optimal & reusable data pipelines
Qualifications
We are looking for a candidate with 5+ years of experience in a Data Engineer role, with Bachelor or Master’s degree in Computer Science or related field
2+ years of hands on experience in building and optimizing big data pipelines using Apache Spark in Python programming languages preferred.
2+ years of hands on experience of building & integrating data pipelines with machine learning models preferred.
2 years of experience with any of the cloud platforms such as AWS , Google, Azure etc. for building and deploying data pipelines preferred.
Highly desirable to have experience on data quality analysis and detection.
Experience with big data tools: Kafka, Cassandra, Hadoop, Storm and Spark
Highly Proficient in Python programming skills with Java programming language skills as a huge plus.
Equinix is an equal opportunity employer. All applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, sexual orientation, gender identity, age, status as a protected veteran, or status as a qualified individual with disability."
3,Principal Data Scientist,"Mountain View, CA 94043",Mountain View,CA,94043,None Found,"
Have a passion for working on big data with professional experiences in data mining, statistical analysis, predictive modeling, and data manipulation
Advanced degree (MS or PhD) in science, engineering, or statistics field
5+ years of experience in analyzing large data sets to drive significant business decisions for online/e-commerce domain
5+ years delivery experience in advanced modeling environment using Python, H2O, Spark, Java
Strong understanding of machine learning including supervised learning (Neural Network, Gradient Boosting, Logistics Regression) and unsupervised learning (clustering, entropy analysis, isolation forest, etc.)
Strong problem-solving and communication skills
Data engineer experience is a plus
",None Found,"
Work with business partners and stakeholders to understand the business, formulate the problems, and come up with the solutions
Design, develop and implement advance machine learning models to solve E-commerce Fraud problems
Work with large volumes of data; extract and manipulate large datasets using standard tools such as Python, H2O, Hadoop, Spark, SQL, and Java
Collaborate with engineers to implement machine learning models on one of the best data platforms in the industry
Analyze data to detect new fraud patterns and implement quick rules and solutions
Measure and report the business impact of models and rules
Communicate the concepts and results of the models and analyses to audience with different background
",None Found,None Found,"Coupang is one of the largest and fastest growing e-commerce platforms on the planet. Our mission is to create a world in which Customers ask ""How did I ever live without Coupang?"" We are looking for passionate builders to help us get there. Powered by world-class technology and operations, we have set out to transform the end-to-end Customer experience -- from revolutionizing last-mile delivery to rethinking how Customers search and discover on a truly mobile-first platform. We have been named one of the ""50 Smartest Companies in the World"" by MIT Technology Review and ""30 Global Game Changers"" by Forbes.

Coupang is a global company with offices in Beijing, Los Angeles, Seattle, Seoul, Shanghai, and Silicon Valley.

Job Overview:
The E-commerce Fraud Detection System team at Coupang is looking for a Principle/Senior Data Scientist with a solid background in machine learning, data science, data analysis, and data engineering. You will work closely with a team of data scientists, business analysts and engineers to ensure we detect frauds in e-commerce business and take actions to protect our business.

Key Responsibilities:

Work with business partners and stakeholders to understand the business, formulate the problems, and come up with the solutions
Design, develop and implement advance machine learning models to solve E-commerce Fraud problems
Work with large volumes of data; extract and manipulate large datasets using standard tools such as Python, H2O, Hadoop, Spark, SQL, and Java
Collaborate with engineers to implement machine learning models on one of the best data platforms in the industry
Analyze data to detect new fraud patterns and implement quick rules and solutions
Measure and report the business impact of models and rules
Communicate the concepts and results of the models and analyses to audience with different background

Qualifications:

Have a passion for working on big data with professional experiences in data mining, statistical analysis, predictive modeling, and data manipulation
Advanced degree (MS or PhD) in science, engineering, or statistics field
5+ years of experience in analyzing large data sets to drive significant business decisions for online/e-commerce domain
5+ years delivery experience in advanced modeling environment using Python, H2O, Spark, Java
Strong understanding of machine learning including supervised learning (Neural Network, Gradient Boosting, Logistics Regression) and unsupervised learning (clustering, entropy analysis, isolation forest, etc.)
Strong problem-solving and communication skills
Data engineer experience is a plus

Perks:

Autonomy to make decisions in a rapidly growing company
15 days PTO + 15 national holidays off
401K matching
Pre-IPO stock options
Mobile & fitness reimbursement
Free Catered Lunch daily

Coupang is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex or gender (including pregnancy, gender identity, gender expression, sexual orientation, transgender status), national origin, age, disability, medical condition, HIV/AIDS or Hepatitis C status, marital status, military or veteran status, use of a trained dog guide or service animal, political activities, affiliations, citizenship, or any other characteristic or class protected by the laws or regulations in the locations where we operate.

If you need assistance and/or a reasonable accommodation in the application or recruiting process due to a disability, please contact us at usrecruiting@coupang.com ( usrecruiting@coupang.com )."
4,Data Engineer,"Campbell, CA",Campbell,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"About Us
--------

With electric vehicles (EVs) expected to be 25% of vehicle sales by 2025 and more than 50% by 2040, electric mobility is in the midst of a tipping point and becoming reality. ChargePoint is at the center of the e-mobility revolution, powering the world's leading EV charging network and most complete set of hardware, software and mobile solutions for every EV charging need. Whether it's to ride, driver or deliver on electric fuel, we bring together people, vehicle fleets, businesses, automakers, policymakers, utilities and other stakeholders to make e-mobility a reality globally.

Our fanatical focus on charging and 10+ years in business has made us an industry leader. Supported by more than half a billion dollars in funding from investors, including Quantum Energy Partners, GIC, Clearvision, Daimler Trucks & Buses, Daimler, Siemens, Linse Capital, American Electric Power, Canada Pension Plan Investment Board, Chevron Technology Ventures, Rho Capital Partners, BMW i Ventures and Braemar Energy Ventures, ChargePoint offers a once-in-a-lifetime chance to be part of creating an all-electric future and shaping a trillion-dollar market. Join the team that built the EV charging industry and make your mark on how people and goods will get everywhere they need to go, in any context, for generations to come.

Reports To
----------

Software Engineering Manager

What You Will Be Doing
----------------------

Being a leading EV charging network we have a lot of data that is used to enhance end-user experience, optimize network operations and placement of charging stations, and improve internal operations and manufacturing processes. This is just the beginning and we see a huge opportunity to leverage data to predict failures before they happen, build delightful products and enable electrification of all forms of transportation.

A Data Engineer in this role will work with several teams across the company to identify use cases/scenarios for optimization, build a data lake to enable efficient querying and analytics, and use data science and ML to analyze the data and build data solutions.

What You Will Bring to ChargePoint
----------------------------------


Fundamental understanding of data science and ML
Experience building data pipelines, analyzing big data & building data solutions
Bias to action
Be an evangelist for data analysis and data-oriented decision making

Requirements
------------


1-3 years of object-oriented programming & SQL experience
1-3 years of experience with big data technologies (e.g., Hadoop, Spark, etc.) and data viz and ETL tools (e.g., Pentaho, Tableau etc.)
Relevant coursework and experience in data science and ML
Solid software engineering fundamentals
Fundamental understanding of RDBMS, NoSQL databases and big data solutions
Ability to work with ambiguity, create quick PoCs and engineer an E2E solution
Strong scripting or programming skills for automating repetitive tasks

Preferred
---------


Experience with AWS
Experience building data lake or data solutions from scratch

Location
--------

Campbell, CA

We are committed to an inclusive and diverse team. ChargePoint is an equal opportunity employer. We do not discriminate based on race, color, ethnicity, ancestry, national origin, religion, sex, gender, gender identity, gender expression, sexual orientation, age, disability, veteran status, genetic information, marital status or any legally protected status.

If there is a match between your experiences/skills and the Company needs, we will contact you directly.

ChargePoint is an equal opportunity employer.
Applicants only - Recruiting agencies do not contact.

#LI-SH1"
5,Senior Data Engineer,"Sunnyvale, CA 94087",Sunnyvale,CA,94087,None Found,"Strong quantitative background (Computer Science, Math, Physics, and/or Engineering), or at least 5 years of industry experience in a quantitative roleExperience programming with any of the following: Python, Go, C++, Scala, JavaExperience establishing pipelines using distributed processing and no-SQL technologies such as Apache Spark, Kafka, Elasticsearch, Presto, MongoDBEffectively participate in the team’s planning, code reviews, KPI reviews, and design discussions leading to continuous improvement in these areas.You are passionate about working across the entire technology stack, from hardware, to embedded SW, to local software, to cloud-based services to optimize capability and drive reliability.","Strong quantitative background (Computer Science, Math, Physics, and/or Engineering), or at least 5 years of industry experience in a quantitative roleExperience programming with any of the following: Python, Go, C++, Scala, JavaExperience establishing pipelines using distributed processing and no-SQL technologies such as Apache Spark, Kafka, Elasticsearch, Presto, MongoDBEffectively participate in the team’s planning, code reviews, KPI reviews, and design discussions leading to continuous improvement in these areas.You are passionate about working across the entire technology stack, from hardware, to embedded SW, to local software, to cloud-based services to optimize capability and drive reliability.","Build highly scalable data pipelines to handle ingestion and processing of robot, manufacturing, & engineering dataEnable internal users by giving them APIs, services, and applications to allow them to access and interact with their dataWork closely with core engineering teams to consistently evolve data models & data schemas based on growing business and engineering needsBe a leader in the data space and help people understand what they could be getting from their data that they currently are not",None Found,None Found,"Job: Engineering
Primary Location: United States-California-US-CA-Sunnyvale
Schedule: Full-time
Requisition ID: 191586

Description

Company Description:
Who is Intuitive Surgical? The numbers tell an amazing story. Learn more about our company.

Joining Intuitive Surgical means joining a team dedicated to using technology to benefit patients by improving surgical efficacy and decreasing surgical invasiveness, with patient safety as our highest priority.

Patients First. Always. We build the world’s best surgical robotic systems.
Our surgical robots are deployed worldwide and help nearly a million people per year be cured of cancer and other ailments. Those people get back to their families and lives faster with less pain.

Are you passionate about technology? Do you want to have a direct impact on helping people live better lives?

About the role:
We’re looking for a Senior Data Engineer who is passionate and motivated to make an impact in creating a robust and scalable data platform for product analytics. You will have ownership of core engineering data pipelines that power metrics for engineering, manufacturing, post-market, marketing, and business teams with the purpose of driving data discoverability, accessibility, and analysis. You will be a catalyst of change and will be responsible for helping to re-invent the way the Instruments & Accessories business unit uses data. To be successful in the long run you will need to build sophisticated systems and retool antiquated processes to enable the broader engineering teams to move quickly with confidence.

Responsibilities:
Build highly scalable data pipelines to handle ingestion and processing of robot, manufacturing, & engineering dataEnable internal users by giving them APIs, services, and applications to allow them to access and interact with their dataWork closely with core engineering teams to consistently evolve data models & data schemas based on growing business and engineering needsBe a leader in the data space and help people understand what they could be getting from their data that they currently are not
Qualifications

Skills, Characteristics, and Technology:
Strong quantitative background (Computer Science, Math, Physics, and/or Engineering), or at least 5 years of industry experience in a quantitative roleExperience programming with any of the following: Python, Go, C++, Scala, JavaExperience establishing pipelines using distributed processing and no-SQL technologies such as Apache Spark, Kafka, Elasticsearch, Presto, MongoDBEffectively participate in the team’s planning, code reviews, KPI reviews, and design discussions leading to continuous improvement in these areas.You are passionate about working across the entire technology stack, from hardware, to embedded SW, to local software, to cloud-based services to optimize capability and drive reliability.

Bonus points:
Experience with the following: Apache Airflow, Elasticsearch, Presto, Snowflake, Kubernetes, PandasExperience installing, configuring, and managing AWS or on-premises server infrastructureExperience working with Docker development and deployment workflows
About the Advanced Analytics Team:
We are small group looking for strong technical leads that want an opportunity to move fast and help develop data platforms and analytics that will enable broader engineering teams to create better products for our patients. This is a new group at the company and our mandate is to promote significant change that will improve the productivity of our engineering teams in analyzing and understanding our products. We have the potential to overlap with many teams and as such emphasize tearing down organizational silos and a strong culture of collaboration. Nothing is taboo. If you see a high-leverage solution to a long-standing problem, tear it all down and build the right solution provided you have the will and a good plan to execute!

We are an AA/EEO/Veterans/Disabled employer.
We will consider for employment qualified applicants with arrest and conviction records in accordance with fair chance laws.

#RH1"
6,Senior Data Engineer,"Redwood City, CA",Redwood City,CA,None Found,None Found,"
Cloud solution implementation experience with Azure Data Lake and Spark preferred
Minimum 8 years hands-on experience with SQL
At least one year of experience in scripting languages such as Python
Demonstrated experience in a cloud-based -computing environment such as AWS, Azure, or Google Cloud Platform
Big data processing techniques, preferred
Can work independently in ambiguous environment",None Found,None Found,None Found,None Found,"Lead Data Engineer

San Francisco, CA

About the role. . .
In order to continue and accelerate our growth, we are looking for a Lead Data Engineer with Cloud Solutions background to add to our Bay Area-based team.
Lead Engineer is responsible for building a large-scale data pipeline in cloud platform. This may involve in automation of manual processes to cloud environment. Candidate would direct the initiatives for creation of data sets. Delivering client value and ensuring high client satisfaction.
Core responsibilities for this position include, but are not limited to the following:
Extracts data from various databases; perform exploratory data analysis, cleanses, massages, and aggregates data
Employs scaling & automation to data preparation techniques - Introduces incremental improvements to data analysis, visualization, and presentation techniques to communicate discoveries
Researches relevant emerging empirical methods and quantitative tools
Possesses in-depth business knowledge in order to initiate and drive discussions with business partners to identify business issues needing analytic solutions
Leads innovative packaging and presentation of insights to business and broader analytics community
Develops processes to automate and scale insights operationalization
Develops and drives multiple cross-departmental projects
Establishes brand and team as subject matter experts in advanced analytics across departments.
Mentors data scientists in pioneering techniques and business acumen
Required Qualifications:
Cloud solution implementation experience with Azure Data Lake and Spark preferred
Minimum 8 years hands-on experience with SQL
At least one year of experience in scripting languages such as Python
Demonstrated experience in a cloud-based -computing environment such as AWS, Azure, or Google Cloud Platform
Big data processing techniques, preferred
Can work independently in ambiguous environment
About Logic20/20. . .
Logic20/20 is one of Seattle’s fastest growing full service consulting firms. Our core competency is creating simplicity and efficiency in complex solutions. Although we make it look like magic, we succeed by combining methodical and structured approaches with our substantial experience to design elegant solutions for even the most intricate challenges. Our rapid growth is in response to our ability to deliver consistently for our clients, which is directly related to the quality of the people we hire.
The past four years, we’ve been in the top 10 “Best Companies to Work For” ….. why? Our team members are highly self-motivated, comfortable conceiving strategies on the fly, and enjoy working both individually and as part of a team. Our environment is very high-energy and demanding, and individuals with remarkable enthusiasm and a can-do attitude are joining our team. We have lots of fun, focus on our employees and our clients, and work to bring our best to every opportunity."
7,Senior Big Data Engineer,"San Jose, CA 95134",San Jose,CA,95134,None Found,None Found,None Found,"
You will design and create multi-tenant systems capable of loading and transforming a large volume of structured and semi-structured fast moving data
Build robust and scalable data infrastructure (both batch processing and real-time) to support needs from internal and external users
Build Data Pipelines
Run ETL into Hadoop/Elastic Search",None Found,None Found,"Location: San Jose, CA or Atlanta, GA
For over 10 years, Zscaler has been disrupting and transforming the security industry. Our 100% purpose built cloud platform delivers the entire gateway security stack as a service through 150 global data centers to securely connect users to their applications, regardless of device, location, or network in over 185 countries protecting over 3,500 companies and 100 Million threats detected a day.
We work in a fast paced, dynamic and make it happen culture. Our people are some of the brightest and passionate in the industry that thrive on being the first to solve problems. We are always looking to hire highly passionate, collaborative and humble people that want to make a difference.
As a Big Data Engineer, you will work on building the next generation of Zscaler's security analytics platform. You will play a crucial role in building a platform to collect and ingest several billion (and growing) log events from Zscaler's globally distributed security infrastructure and provide actionable insights to customers and Zscaler's security researchers.
Responsibilities:
You will design and create multi-tenant systems capable of loading and transforming a large volume of structured and semi-structured fast moving data
Build robust and scalable data infrastructure (both batch processing and real-time) to support needs from internal and external users
Build Data Pipelines
Run ETL into Hadoop/Elastic Search
Required:
3+ years of experience in Python or Java development a must (Strong Scala would skills would be acceptable as well)
3+ years experience in application big data development (Spark, Kafka, Storm, Kinesis, & building data pipelines)
Ability to troubleshoot and find complex performance issues with queries on the Spark platform (Spark SQL)
Familiarity with implementing services following REST model
Excellent interpersonal, technical and communication skills
Ability to learn, evaluate and adopt new technologies
Bachelor's Degree in computer science or equivalent experience
Highly Desirable:
Experience working with data processing infrastructure
Experience with data serialization techniques and data stores for persisting events
What You Can Expect From Us:
An environment where you will be working on cutting edge technologies and architectures
A fun, passionate and collaborative workplace
Competitive salary and benefits, including equity
The pace and excitement of working for a Silicon Valley Unicorn
Why Zscaler?
People who excel at Zscaler are smart, motivated and share our values. Ask yourself: Do you want to team with the best talent in the industry? Do you want to work on disruptive technology? Do you thrive in a fluid work environment? Do you appreciate a company culture that enables individual and group success and celebrates achievement?

If you said yes, we’d love to talk to you about joining our award-winning team!
Learn more at zscaler.com or follow us on Twitter @zscaler. Additional information about Zscaler (NASDAQ : ZS ) is available at http://www.zscaler.com. All qualified applicants will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.
#LI-JM1"
8,Principal Application Data Engineer - SQL Specialist,"Palo Alto, CA",Palo Alto,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"You are intellectually curious. You like building cool stuff. And you're nice.

At Noodle, we are not just building AI applications. We are going deep into industries that have yet to leverage AI at scale such as steel mills, distribution & logistics companies or consumer packaged goods. Our applications fit and integrate deeply into the supply chain starting with planning to manufacturing to delivery. The applications we build have to not only integrate into the existing software in these industries but have to talk to each other so really drive the value from AI. Turns out, we are one of the pioneers here charting a new course. This means that science behind building the software and the AI behind it has not settled. You will be part of a team that is charting this new course figuring out how to adapt software engineering best practices to delivering AI applications that fit within legacy software in non-tech industries. This is going to be a bumpy ride and we are looking for people who are not afraid of the unknown, are experts at their craft and can adapt and learn as we create a suite of new AI applications.

Responsibilities


Work collaboratively with an interdisciplinary team of management consultants, product managers, data scientists, data engineers, software engineers, UX designers to understand application data engineering requirements & convert requirements into functional & technical specifications.
Drive rapid application prototyping cycles from technical requirements, data-pipeline design, programming, debugging, and performance optimization.
Design, develop and evolve Noodle's AI Application Databases, Data Models & Data Pipelines.
Analyze complex Enterprise data, exploring entity relationships, performing data quality checks & validations.
Champion engineering and operational excellence, establishing metrics and process for regular assessment and improvement as well as mentoring of Junior Data Engineers.
Provide thought leadership and improve Noodle's Data Architecture interactively through innovations and adaptation of best practices & industry standards.

Qualifications


BS/BE/B.Tech or Advanced degree in a relevant field (Computer Science and Engineering, Technology and related fields). Master' s degree a plus.
6-9 years of industry experience in data driven software development.
7+ years of real-world experience in architecting & developing scalable data driven AI applications, data warehousing & business intelligence solutions.
Expert in writing SQL queries, procedures and user-defined functions.
Demonstrated proficiency as a lead with database development, automation, performance tuning, optimization and management projects.
Real life work experience with relational databases: PostgreSQL, MS SQL Server, Oracle etc.
Strong understanding of Big Data concepts and scenarios where it works. This includes understanding of the nature of distributed systems and its pitfalls.
Strong knowledge of database design and data modeling concepts.
Working knowledge of database security and data encryption.
Experience working with version control systems like: bitbucket, github, etc.
Experience working in a hybrid environment involving on-premise infrastructure and cloud databases will be a plus.
Hands-on experience with modern ETL tools, orchestration platform like Airflow and Python data processing libraries will be considered as an added advantage.
Familiarity with agile software development practices and DevOps is desirable.

Passion for learning and a desire to grow – Noodlers are life-long learners!"
9,Integrated Marketing Analytics Manager,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Department: Marketing & Customer Insights (MCI)
Title: Integrated Marketing Analytics Manager
Position Role/Description:
The Marketing & Customer Insights (MCI) organization has a dual mandate of providing objective customer research, analysis, and marketing effectiveness measurement while advancing the use of Adobe Marketing Cloud technologies to enable and track customer experiences across surfaces.
Within MCI, the Advanced Analytics team was established to focus on developing deep customer insights to support integrated marketing planning across channels. The group closely partners with Global and Field Marketing, IT, business unit leaders and other corporate functions to enhance understanding of our customers and their digital journey.
The team maintains a highly visible and strategically important role in delivering and facilitating understanding of insights to inform business strategies, and to track the performance of marketing specific activities against expectations. The work the team delivers is informed by the business needs for strategic customer understanding, and may range from media investment performance analysis, deep customer journey investigations, to customer segmentation or targeting overlays.
The talent mix of the team is part analyst and part data engineer. This role will focus on the data side. We are looking for a self-starter with marketing science experience and a wide range of technical skills to advance our analytics and execution capabilities. This includes advancing our marketing measurement strategy across all of our online and offline marketing channels. You will also develop our next generation of data and analytics stacks to guide our customer insights work.
A balance of technical and analytics skills as well as a working knowledge of marketing processes is key. A team-player, collaborative, mindset is essential.
Responsibilities:
· Ability to structure problems into data and analytics plan and execute.
· Hands-on creation of time-series models
· Ability to partner with a cross-functional team of technical and analytical partners
· Possible engagement with Adobe Marketing Cloud teams to evolve capabilities within the products.
· An understanding of effective visualization techniques for complex concepts or a background in visualizing “big data” use cases.
· Partner with media teams, campaign strategy teams, marketing and web analysts to gather inputs to inform business problems and analytical approaches.
· Provide ad hoc analysis and communicate results and insights with team and executives
What you need to succeed:
· Intellectual curiosity, flexibility, and high attention to detail
· Undergraduate degree in a quantitative field preferred
· Experience with SQL, R, Python
· Project/program management experience
· Good intuition with information and data; experience synthesizing large data sets to generate insights
· Outstanding communication skills to provide actionable reporting via written and in-person presentations. Must be able to clearly communicate results and actionable recommendations to constituencies at various levels of management
· Strong interpersonal skills and the ability to work as part of a diverse team and build cooperative, productive relationships with colleagues and stakeholders around the world
Desirable Skills:
· Understanding in one or more marketing channels (e.g. web, mobile, display, search)
· Experience in machine learning tools and techniques
· Experience developing and working on larger scale analytics / big data implementations
· Track record of consistent delivery and execution
At Adobe, you will be immersed in an exceptional work environment that is recognized throughout the world on Best Companies lists . You will also be surrounded by colleagues who are committed to helping each other grow through our unique Check-In approach where ongoing feedback flows freely.
If you’re looking to make an impact, Adobe's the place for you. Discover what our employees are saying about their career experiences on the Adobe Life blog and explore the meaningful benefits we offer.
Adobe is an equal opportunity employer. We welcome and encourage diversity in the workplace regardless of race, gender, religion, age , sexual orientation, gender identity, disability or veteran status."
