,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Scientist— NLP Specialist,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,"
Cutting edge NLP expertise and strong intuition for effective techniques
Advanced data-science skills including predictive analytics, segmentation techniques, and deep learning
Python programming and deep passion for efficient coding principles
Comfort with data engineering, SQL and high-performance multi-threaded programming","Location: Boston (or virtual)
Status: Internship or full-time
Reports to: CEO or Head of Engineering
Contact: info@entromy.com
# of openings: Multiple
Position summary
We are seeking outstanding candidates who have a mix of exceptional academic or industry background, understanding of cutting edge NLP and data science techniques and a set of personal characteristics with high integrity, passion, thirst for learning and challenge to strive in the dynamic small team environment. The role provides an incredible opportunity to work directly with the company’s leadership team in extending our early innovative Entromy Insights Platform. The candidate will have an opportunity to take part in projects that will further extend our foundation and establish completely market differentiated offering.
Entromy’s core analytics components are written in Python leveraging a combination of open source libraries such an spacy.io, machine learning components and numerous proprietary algorithms.
Core technical elements of the platform focus on
Real-time statement similarity classification
Topic classification and detection incorporating machine learning for model refinement
Incorporating sentence structure, context detection and sentence segment semantics
High specific topic extraction and text summarization
Building highly distributed and optimized algorithms
The early platform has ability to detect semantically similar statements that considers both individual words and sentence structure with high degree of accuracy in <10 ms, incorporating highly effective multi-tier heuristics and machine learning algorithms.
Requirements
You should have a demonstrated expertise and qualifications that will allow us to directly accelerate our early product offering. By bringing in cutting edge methodologies you will help improve our model’s effectiveness. With the right skills and experiences you will have the potential to become the analytics leader at the company and help us define the analytics roadmap and become part of the senior team influencing product strategy.
Specific analytics and data skills
Cutting edge NLP expertise and strong intuition for effective techniques
Advanced data-science skills including predictive analytics, segmentation techniques, and deep learning
Python programming and deep passion for efficient coding principles
Comfort with data engineering, SQL and high-performance multi-threaded programming
Practical knowledge
Exceptional awareness of libraries and techniques that improve NLP / NLU effectiveness
Ability to manage own technical environment in AWS ranging from DB, servers to ML components
Core skills
Exceptionally curious, passionate and perfectionist for efficiency and quality
Self-starter, insanely motivated in getting things done
Strong communication skills in framing problems, defining hypotheses for solving issues
Works well with team and unafraid to ask for help
If you are looking to learn as part of a small rapidly growing business with world class leadership and advisors or are ready to become part of the early leadership team, we look forward to hearing from you.
Compensation
Commensurate with the experience and opportunity to work part or full time, the role will provide a combination of salary and equity.
Application process In applying for this position, please send your resume to info@entromy.com accompanied, by a brief explanation of interest and qualifications.
Evaluation will happen on a rolling basis requiring at least two interviews, including a final round with the CEO.
Please note that given the small company stage the opportunity will provide a dynamic role with unlimited growth and responsibility potential given demonstrated ability to deliver.Entromy is an equal opportunity employer."
1,Lead Data Scientist - Deep Learning,"Boston, MA 02298",Boston,MA,02298,None Found,None Found,None Found,None Found,None Found,None Found,"Description
The Lead Data Scientist uses mathematics, statistics, modeling, business analysis, and technology to transform high volumes of complex data into advanced analytic solutions. The Lead Data Scientist works on problems of diverse scope and complexity ranging from moderate to substantial. Subsequently, the Lead Data Scientist have strong prioritization skills, while being dynamic and agile. The Lead Data Scientist for this position would be applying Deep Learning to address complex business problems in an actionable manner. The Lead Data Scientist must also be able to communicate complex quantitative analyses in a clear, precise, and actionable manner to management and executive level audiences while being able to build relationships with their partners. The Lead Data Scientist must be proactive and work with a sense of urgency.
Responsibilities
Humanas Inc is seeking a Lead Data Scientist, focusing on Deep Learning. You will develop, maintain, and collect structured and unstructured data sets for analysis and reporting. Creates reports, projections, models, and presentations to support business strategy and tactics. Advises Executives to develop functional strategies (often segment specific) on matters of significance. Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision, Uses independent judgment requiring analysis of variable factors and determining the best course of action
We will be building state of the art AI solutions in healthcare. You would be part of an exceptional multidisciplinary team, focused on deep learning, recommender systems, reinforcement learning, speech recognition, and image processing. Great opportunity to touch on different aspects of AI, share and learn from the team.
Our dream is to bring personalized care and health insurance into reality.
Required Qualifications
Master's Degree
4+ years technical experience
2+ years project leadership experience
A very strong machine learning background with deep structured learning/hierarchical learning and statistical modeling techniques
Obtaining data from multiple, disparate data sources including structured, semi-structured and unstructured data.
Experience with Deep Learning (ANN, CNN, RNN, Auto-encoders, GAN, etc. )
Good understanding of standard NLP techniques
Deep knowledge and experience working with standard speech recognition toolkits
Experienced in recommender systems
Demonstrated experience in image processing, computer vision, image segmentation, pattern matching,
Experience with cloud-based ecosystems (GCP, AWS, Azure)
Successful demonstrated experience in working on problems of diverse scope and complexity ranging from moderate to substantial in a collaborative fashion alongside other individuals or teams.
Experience in creating reports, projections, models, and presentations to support business.
Specifically, has experience with Deep Learning models, AI development, agile software launching, Tensorflow experience, and/or working with data integration developers to assess data quality and define data processing business rules for cleansing, aggregation, enhancement, supporting analysis and predictive modelling activities.
Ability to exercise independent judgment and decision making on complex issues regarding job duties and related tasks
Ability to works under minimal supervision, using independent judgment
Presenting complex analysis results tailored to different audiences (e.g. technical, manager, executive) in a highly consumable and actionable form including the use of data visualizations
Preferred Qualifications
Master's Degree
Experience working with data from wearables and Internet of Things (IoT)
Experience deploying ML and DL with wearables, apps, IoT, etc.
Experience with deploying model pipelines across various technologies, such as Kubernetes or Docker.
Interested in coaching and mentoring junior talent to grow next generation of Data Scientists
Experience with Natural Language Processing, Keras, and/ or H2O
Experience working in Agile environments (i.e. Jira)
Scheduled Weekly Hours
40"
2,Lead Atmospheric Data Scientist,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"ClimaCell is revolutionizing weather forecasting by combining Weather-of-Things data -everything from cell tower transmissions to data from airplanes, drones and connected cars -with cutting edge models. The result: forecasts that are hyper accurate, specific, andcustomizable. We call it MicroWeather and we offer this street-by-street, minute-by-minuteaccuracy worldwide. Our customers are companies from weather-sensitive industries (Aviation,Construction, Energy, Outdoor Events etc), companies in the on-demand world, emergingeconomies, and people like you and me who simply don't want to get caught in the rain.

As an Atmospheric Data Scientist, you’ll lead our efforts to build new statistical forecasting systems which combine these observational and model to produce the best forecasts possible for our clients. You have a background in statistical applications in the geosciences, and understand how to extract the signal from the noise of many disparate forecasts. You’re comfortable wielding a diverse toolkit to tackle these problems, including ensemble/timeseries analysis techniques, bias correction procedures, and machine learning. A successful candidate will leverage their knowledge of these tools to prototype new statistical forecasts and analyses applied to massive meteorological datasets.

What You'll Be Doing

Lead initiatives to develop novel ensemble statistical analysis/post-processing systems to combine unique observations and model data to produce the best possible weather forecast
Develop novel applications for machine learning to build dynamic, self-correcting forecast systems which iteratively update and refine themselves as new data arrive into ClimaCell’s unique collection of weather observations
Help develop robust validation procedures and conduct verification studies across the company’s data product portfolio, to ensure that our forecasts are always one step ahead of the changing weather

What You Bring

Extensive background in statistical and/or machine learning applications to weather forecasting and data analysis
Experience working with or developing state-of-the-art ensemble forecasting systems and analyses, such as NOAA’s National Blend of Models or NCAR’s DiCast system
Knowledge of and familiarity with operational ensemble numerical weather prediction systems such as NOAA’s GEFS or ECMWF’s EPS
Experience building statistical modeling tools using scientific Python (particularly NumPy, pandas, scikit-learn, statsmodels, or related packages) or R
Familiarity with Linux
1-2+ years' industry experience, with formal or informal leadership experience

Bonus points

Experience working on cloud computing systems, especially Amazon AWS or Google Cloud
Experience with other scientific Python libraries or frameworks, especially those used widely in the geosciences (SciPy, sklearn, skimage, xarray, Numba, etc.) or the R “tidyverse” (dplyr, purrr, broom, etc)
Familiarity with building data processing pipelines and databases to support big data statistical analysis applications
A Masters or PhD in statistics, mathematics, meteorology, or any other field with corresponding coursework and application in atmospheric science

"
3,Data Scientist,"Cambridge, MA",Cambridge,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"------

------

----------------------------------------
Solve important and challenging problems
----------------------------------------

We're looking for someone that can help us to solve the data challenges that we know we have, as well as help to identify new opportunities to leverage our data. You'll be working with a variety of teams across the company: engineering, business development, sales, and design to explore exciting and meaningful problems.

Strong candidates can leverage a wide array of machine learning and statistical techniques at scale, to address challenges with semi-structured and multilingual international trade data. Responsibilities will include helping us develop the next generation of our product, as well as analysis of our internal metrics to assist the company in making a wide variety of data-driven decisions. Our team uses a range of tools including python, R, Ruby, and SQL to communicate and visualize results.

At Panjiva, you'll work on:

Fuzzy matching and clustering of data, at scale
Natural language processing, robust to messy text and multiple languages
Imputation of missing data
Network analysis
Inference of company structures
Anomaly detection
Shipment trend prediction and modeling
Optimization of search weightings
Predictive modeling of customer acquisition and retention

------------
Requirements
------------


B.S, M.S, or Ph.D. in a quantitative field, or equivalent experience
Deep statistical knowledge and a broad understanding of analytical and machine-learning techniques
Track record of providing valuable insights into large, highly multidimensional datasets
Experience with a scripting language, such as Python with NumPy / SciPy or R, and the ability to use it to perform complex analyses of large data sets
Basic understanding of relational databases
Strong ability to communicate and visualize findings

-------------
Nice-to-Haves
-------------


Solid understanding of relational databases, including advanced query techniques
Background in text analysis / information retrieval algorithms
Experience building production software
Familiarity with Ruby, Postgres
Familiarity with libsvm
Experience with C++ or a similar highly performant language
Familiarity with large-scale, distributed data processing techniques (Hadoop, Pig, Hive, etc.)
Startup experience

------------------
Perks and Benefits
------------------


Competitive salary
Build or buy your dream computer
Harvard Square office 1 minute walk from the Red Line T stop
15 days vacation (rising to 25 days with longer tenure), 3 floating holidays / personal days, and 10-12 paid holidays annually, with unlimited sick leave
Weekly tech talks
Health, dental, and vision insurance as well as many other benefits
401(k) plan, with company matching
Hacker Continuing Education Wednesdays i.e., craft beer tasting, ping pong lessons
Work with a talented, focused, driven team in a growing company with opportunity for advancement and career development

------------
How to apply
------------

To apply, email jobs+datascience at panjiva.com with:

Your resume (and, if you have it, your blog, GitHub, etc. handles)
A description of an exciting project you've tackled in the past, with, if possible, an example of code from that project
A paper you think is exciting, with an explanation of what makes you excited about it

About Panjiva
-------------

Panjiva's technology creates insight from messy global trade data to provide powerful search, analysis, and visualizations of more than a billion shipping records from nearly every country in the world. More than 3,000 customers in over 100 countries, ranging from Fortune 500 companies and startups to government agencies and hedge funds, rely on our platform for supply chain intelligence. In global trade, better insight means better decision making and stronger connections between companies and governments across the globe.

Recognizing Panjiva's cutting-edge technology, S&P Global's Market Intelligence division acquired Panjiva in 2018. This acquisition has grown our resources, dramatically expanded our access to data, and accelerated our growth plans. Join our team as we revolutionize a key and fascinating part of the world economy!

NOTE: Panjiva is an EOAA. Panjiva takes affirmative action to employ and advance in employment qualified individuals with disabilities. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity or physical or mental disabilities."
4,Data Scientist,"Bedford, MA 01730",Bedford,MA,01730,None Found,None Found,None Found,None Found,None Found,None Found,"The driving force behind our success has always been the people of AspenTech. What drives us, is our aspiration, our desire and ambition to keep pushing the envelope, overcoming any hurdle, challenging the status quo to continually find a better way. You will experience these qualities of passion, pride and aspiration in many ways — from a rich set of career development programs to support of community service projects to social events that foster fun and relationship building across our global community.
The Role
The driving force behind our success has always been the people of AspenTech. Founded more than 30 years ago by the best and brightest engineers at MIT, we continue to tackle the most complex process manufacturing challenges. Our aspenONE software enables our customers to achieve operational excellence by increasing capacity, improving margins, and reducing costs, while becoming more energy efficient, ensuring safety, and shrinking their carbon footprint. This is a place where people are fiercely passionate about technology and have a desire to make a difference through the application of engineering and software technologies to solve real business problems.


As a member of the data science team, you will develop and investigate hypotheses, structure experiments and build mathematical models to understand data patterns and relationships and prescribe actions and options. We are looking for a sharp, disciplined, and highly quantitative individual who has a passion for playing with data, in all its forms including data mining, mathematical modeling and expert systems. We are building a unique technology platform dedicated to the real-time discovery and manipulation of data; this is your chance to be a critical part of that data research team.
Your Impact
Develop, maintain, and support new and existing engineering software applications focusing on data science modules.
Build and verify mathematical models and automated machine learning tools to analyze and optimize all aspects of our system, providing actionable insights in real time.
Productize software using Agile technologies and practices.
Demonstrate keen learning of new technologies and methodologies in the area of Data Science.
Collaborate with development teams on data selection, preprocessing and formatting for analysis.
Learn, understand, and follow software development standards to release products on time; this includes processes such as issue tracking, source code control, coding conventions, Agile ceremonies.
What You'll Need
Master Degree or higher in Applied Math, Statistics, Computer Science, or related field.
Extensive familiarity with common machine learning and signal processing techniques. Experience with time-series analysis is a plus.
Solid understanding of pattern recognition / predictive analysis/ data mining / expert system concepts.
Practical experience with data manipulation together with familiarity of available tools to automate data wrangling and data visualization.
Ability to prioritize and track multiple projects in parallel and experience running development teams using Agile methodologies.
Good interpersonal, presentation and communication skills."
5,Associate Data Science Engineer,"Boston, MA 02116",Boston,MA,02116,None Found,None Found,None Found,None Found,None Found,"
Minimum Bachelor’s degree in quantitative discipline with 2 years of applicable experience or a combination of education and experience.
Experience with programming languages and concepts (e.g. SQL, C, SAS, SPSS, R (different modules) or Python, JAVA)
Applied understanding of programming, exploratory data analysis, data wrangling, model production, data visualization, and insight generation with a deep understanding of stats and machine learning
Advanced knowledge of data visualization tools such as Tableau, QlikView, PowerBI
Strong experience of data transformation to support BI Reporting
Strong knowledge of the business value chain and customer lifecycle for the projects they are supporting
Understands company culture, cooperation and information sharing within the company
Striving for innovation
Establishes internal network and uses the network of more senior data scientists, develops external network of contacts to support work
Has fundamental understanding of the business and ability to navigate through complex matrixed network and ask the right questions
Considers diverse perspectives to build support of own ideas
Identify and promote best strategies within the team and share technical expertise with others
Knows how their project supports broader business strategy, including the core drivers of the business line
Some ability to construct systematic process to implement analytics insights and solutions, this includes (but not limited to):","Are you looking for unlimited opportunities to develop and succeed? With work that challenges and makes a difference, within a flexible and supportive environment, we can help our customers achieve their dreams and aspirations.
Job Description
We couldn’t be prouder of the talented people who have chosen to work at Manulife/John Hancock. Manulife/John Hancock has unlimited opportunities to develop and succeed.
About Manulife
Manulife Financial Corporation (""Manulife"") is a leading international financial services group that helps people make their decisions easier and lives better. The company provides financial advice, insurance, as well as wealth and asset management solutions for individuals, groups and institutions.
The company is a Top 10 global life insurance company and a Top 20 global asset manager. The company operates primarily as John Hancock in the United States and as Manulife elsewhere. With its global headquarters in Toronto, Canada, Manulife trades as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.
Passionate about delighting its customers, creating value for its shareholders and building a world-class culture, Manulife’s President & CEO Roy Gori, and the leadership team have established a bold ambition to transform Manulife into the most customer-centric, digital leader in the industry, setting out detailed plans against five strategic priorities to achieve this ambition.
For more details about our Mission, Strategic Priorities and Values, please follow the link below:
https://www.manulife.com/en/about/our-story.html
The Role: Associate Data Science Engineer
Key Focus: Reporting to the Director of Advanced Analytics, the Associate Data Science Engineer supports data operations lifecycle of Advanced Analytics projects, provides input into the approach and owns and handles assigned tasks. They develop and implement ad-hoc business analytics and report on projects of moderate scope. The Associate Data Science Engineer also owns data pipelines and production process. The ideal candidate will have experience in a range of the big data space and technologies and stays on top of new development, trends and applies data engineering into the marketing, distribution and sales organization.
Job Description:
This job description does not represent a comprehensive listing of job duties that are required of the employee performing this role. We reserve the right to change duties or assign additional duties at any time with or without notice.
People Leader Role: No
Individual Accountabilities:
Significant amount of functional programming (using SQL and Python) to conduct data analysis and transform data in a non-production format as they prepare data to be consumed for a Data Science project.
Support data operations lifecycle of AA projects
Develops and implements ad-hoc and business analytics and reporting on projects of moderate scope
Works on problems of moderate complexity where analysis of situations or data requires a review of a variety of factors
Ability to generate relevant, actionable insights based on iterative data analysis,
Strong ability to extract, transform and stage data for consumption by the data scientist using data querying tools
Communicates to more senior team members and junior business partners
Job Requirements:
Minimum Bachelor’s degree in quantitative discipline with 2 years of applicable experience or a combination of education and experience.
Experience with programming languages and concepts (e.g. SQL, C, SAS, SPSS, R (different modules) or Python, JAVA)
Applied understanding of programming, exploratory data analysis, data wrangling, model production, data visualization, and insight generation with a deep understanding of stats and machine learning
Advanced knowledge of data visualization tools such as Tableau, QlikView, PowerBI
Strong experience of data transformation to support BI Reporting
Strong knowledge of the business value chain and customer lifecycle for the projects they are supporting
Understands company culture, cooperation and information sharing within the company
Striving for innovation
Establishes internal network and uses the network of more senior data scientists, develops external network of contacts to support work
Has fundamental understanding of the business and ability to navigate through complex matrixed network and ask the right questions
Considers diverse perspectives to build support of own ideas
Identify and promote best strategies within the team and share technical expertise with others
Knows how their project supports broader business strategy, including the core drivers of the business line
Some ability to construct systematic process to implement analytics insights and solutions, this includes (but not limited to):Designing a process with multiple relevant parties with clear specifications of roles and responsibilitiesIdentifying required tasks, system / data flow and contingencySpecifying check-and-balance throughout the processEstablishing rigorous tracking and closed-loop learningImplement such process in a scalable way
Source data independently with limited assistance from senior team members
Translation of business problem into code with limited guidance
Work independently on feature generation
Ensure appropriate checks and balances to ensure data accuracy
Develop ongoing mechanisms to visualize results of model
Strong ability of coding and system analysis in SQL, Python and navigating in our partner’s systems.
Navigating and implementing in IT systems an aspect of development and implementation in end user applications such as PowerBI, Salesforce, SQL and Excel.
Personal Attributes and Cultural Fit:
Inspires and motivates others.
Role model of ethics and integrity who builds a culture of respect.
Highly effective change agent who embraces change and leads change management.
Provides courageous advice.
Results oriented; highly focused on accountability.
Ability to handle multiple partners
Demonstrates a commitment to delivering excellent service balanced with appropriate risk management.
Strategic perspective.
Highly collaborative working style.
John Hancock is an equal opportunity employer - aa/f/m/d/v
#LI-JH

If you are ready to unleash your potential, it’s time to start your career with Manulife/John Hancock.

About Manulife

Manulife Financial Corporation is a leading international financial services group that helps people make their decisions easier and lives better. We operate primarily as John Hancock in the United States and Manulife elsewhere. We provide financial advice, insurance, as well as wealth and asset management solutions for individuals, groups and institutions. At the end of 2018, we had more than 34,000 employees, over 82,000 agents, and thousands of distribution partners, serving almost 28 million customers. As of December 31, 2018, we had over $1.1 trillion (US$794 billion) in assets under management and administration, and in the previous 12 months we made $29.0 billion in payments to our customers.


Our principal operations in Asia, Canada and the United States are where we have served customers for more than 100 years. With our global headquarters in Toronto, Canada, we trade as 'MFC' on the Toronto, New York, and the Philippine stock exchanges and under '945' in Hong Kong.


Manulife is committed to supporting a culture of diversity and accessibility across the organization. It is our priority to remove barriers to provide equal access to employment. A Human Resources representative will consult with applicants contacted to participate at any stage of the recruitment process who request an accommodation. Information received regarding the accommodation needs of applicants will be addressed confidentially."
6,Pricing / Risk Data Scientist,"Boston, MA",Boston,MA,None Found,None Found,"
3+ years experience in quantitative financial and business analysis
Experience with time-series modeling, incorporating seasonal effects
Experience with processes such as forecasting and long-term business outcomes, reporting, and analytics
High familiarity with causal modeling and counterfactuals in financial contexts
Experience building predictive models and advanced analyses across large, messy, and complex datasets
Experience constructing SQL queries and retrieving data from relational databases
Also Preferred:
Exposure to grain marketing and grain markets
Experience with dynamic modeling
Exposure to data exploration and visualization tools
",None Found,"
Develop strong understanding as a pricing/risk subject matter expert within the Data Science Global Markets team
Understand futures and basis market fundamentals
Articulate key problems the Data Science Global Markets (DSGM) team is tackling and why they matter for the company's bottom line and mission
Gain access and understanding of both the DSGM and broader Indigo technology platform (e.g., AWS access, engineering processes, etc.)
Firmly establish quantitative relationships between the target variable of a descriptive price model and two candidate predictors drawn from the qualitative relationship model
Establish all principal quantitative relationships for descriptive price models
Serve as a key market expert with respect to the quantitative relationships between key factors driving grain pricing. This includes the relevant data, analysis methods, and metrics
Support the generation and presentation of descriptive model results
Extend descriptive pricing model to one non-US country
",None Found,None Found,"Indigo improves grower profitability, environmental sustainability, and consumer health through the use of natural microbiology and digital technologies. Utilizing beneficial plant microbes and agronomic insights, Indigo works with growers to sustainably produce high quality harvests. The company then connects growers and buyers directly to bring these harvests to market. Working across the supply chain, Indigo is forwarding its mission of harnessing nature to help farmers sustainably feed the planet. The company is headquartered in Boston, MA, with additional offices in Memphis, TN, Research Triangle Park, NC, Sydney, Australia, Buenos Aires, Argentina, and São Paulo, Brazil. http://www.indigoag.com/ ( http://www.indigoag.com/%20%20 )

We are looking for an experienced data scientist with a quantitative financial and business analytics background. The role of Pricing/Risk Data Scientist will work within the Data Strategy and Sciences department and work closely with the Hedging and Engineering teams to build finance-focused prediction analytics. Specifically, this person will build models to understand and predict futures, basis, and cash prices. This high-impact role will carry a key voice in conversations around Indigo market and transaction decisions.

Responsibilities:

Develop strong understanding as a pricing/risk subject matter expert within the Data Science Global Markets team
Understand futures and basis market fundamentals
Articulate key problems the Data Science Global Markets (DSGM) team is tackling and why they matter for the company's bottom line and mission
Gain access and understanding of both the DSGM and broader Indigo technology platform (e.g., AWS access, engineering processes, etc.)
Firmly establish quantitative relationships between the target variable of a descriptive price model and two candidate predictors drawn from the qualitative relationship model
Establish all principal quantitative relationships for descriptive price models
Serve as a key market expert with respect to the quantitative relationships between key factors driving grain pricing. This includes the relevant data, analysis methods, and metrics
Support the generation and presentation of descriptive model results
Extend descriptive pricing model to one non-US country

Competencies:

Comfortable with complex spreadsheets
Fluent with at least one of the following programming languages: R, Python
Able to communicate and partner across various groups in an ambiguous environment
Strong strategic and analytical judgment
Highly invested in data consistency and reliability of models, able to communicate model assumptions and shortcomings
Highly functional at an independent level
Strong collaborative voice within a cross-functional team

Qualifications:

3+ years experience in quantitative financial and business analysis
Experience with time-series modeling, incorporating seasonal effects
Experience with processes such as forecasting and long-term business outcomes, reporting, and analytics
High familiarity with causal modeling and counterfactuals in financial contexts
Experience building predictive models and advanced analyses across large, messy, and complex datasets
Experience constructing SQL queries and retrieving data from relational databases
Also Preferred:
Exposure to grain marketing and grain markets
Experience with dynamic modeling
Exposure to data exploration and visualization tools

"
7,Senior Data Scientist / Machine Learning,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Data Science Team
Nift is an invitation-only network that helps neighborhood businesses get the right local customers to walk through the door. Launched in Boston in the Summer of 2016, our start-up outperforms every other form of advertising and has helped over a million people discover great local businesses.
Data Science is the heart and core of our company. Algorithms and models are the foundation upon which our product is built, with data driving our key decisions, testing and growth. Our Chief Scientist, David C Parkes, is the former Area Dean of Computer Science at Harvard and the Co-Director of Harvard's Data Science Initiative. The amount of data we have doubles every two months with even more sources waiting to be added. Our product represents a completely new kind of marketplace and the science around it has yet to be defined. We're looking for a senior Data Scientist to join our core team. We know that 95% of the data scientist jobs out there are for business analysts. We’re NOT looking for analysts. We need a senior Data Scientist that will be the cornerstone of our team.

This position is based in Boston, MA.

Examples of projects we currently need help with:
Lead and guide data engineers in implementing our methodologies on different platforms, such as R, Spark, H2O, tensorflow, while evaluating models and making trade-off decisions on the best solutions.
Creative use of existing data, as well frequent integration of new types of data, for feature engineering that will results in more predictive, accurate, and insightful models.
Deep dive into the internal mechanics of machine learning algorithms, suggesting modifications to our current implementation and pipeline.
Lead and guide data engineers in comparing the performance of different machine learning methods, such as kernel methods, XGBoost, regularized regression, and deep nets.
Develop causal models.
Develop and implement practical approaches to deal with real life data challenges, such as incomplete data, high signal to noise ratio.
Accelerate research-to-production cycle by developing new and novel experimental frameworks and metrics.
Integrate learning-to-rank techniques and collaborative filtering methods.
We have a strong core team with a deep understanding of data science. Our work is highly sought-after, and is critical to the success of our business. If you have a proven track-record in the field and are excited to help build Nift, we want to hear from you.

Traits we value:

Ability to write clean and concise code, especially in R or Python.
Solid understanding of statistics.
Keen eye for detail and thoughtful investigation of data before relying upon it.
Intuition for data science best practices, stemming from proven experience.
Steadfast focus on creating impactful change and ability to prioritize between many tasks to maximize the improvement of the business.
5+ years industry experience and a Master's degree in a quantitative field, Ph.D. is a plus.
Collaborative team player who values the contribution of others."
8,"Lead Data Scientist/Statistician, Manufacturing Sciences & Technology - Cambridge, MA","Cambridge, MA 02142",Cambridge,MA,02142,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:
Brammer Bio is a rapidly growing, dynamic gene therapy contract development and manufacturing organization that is seeking sharp individuals to bring the highest quality processes, products and testing to our clients. Our employees are committed to making a difference in our organization, for our client partners and the patients we serve. We are looking for top talent with proven competencies and strong character to join our team and help lead our organization into the future.
The Statistician/ Lead Data Scientist of Manufacturing Sciences and Technology (MST) will be responsible for technical manufacturing support in accordance with current good manufacturing practices (cGMP) for Brammer Bio’s phase III/commercial manufacturing sites. He/she will provide analytical and statistical oversight to ensure robust and reliable production processes are established and maintained to enable the site to meet and/or exceed client delivery commitments.
The Statistician/ Lead Data Scientist will partner with Process Development, Quality Control, Quality Assurance, Manufacturing, and Process Sciences groups to ensure collaboration. This position will also interface with external clients, providing expertise and guidance, as needed.
ESSENTIAL RESPONSIBILITIES:
Provide statistical leadership to process engineers, scientists, and associates for purification of late stage clinical, process validation and commercial stage products including overseeing the design of studies, investigation and data analysis of results, and writing/review of technical reports. Must stay current with relevant technologies and forward thinking to identify new approaches.
Train MST in basic statistical techniques and appropriate data analysis tools
Utilize analytical, statistical, and programming skills to collect, analyze, and interpret large data sets. They then use this information to develop data-driven solutions to difficult business challenges.
Support Continued Process Verification allowing and associated documentation, as required
Manage investigation and data analysis to address deviation and implement change controls
Work with counterparts in Brammer’s Alachua Process Development and Cambridge Manufacturing, Quality, Project Management teams etc. to facilitate project success.
Drive new process monitoring, statistical techniques and concepts to ensure process are running in a state of control and have alerts and SPC rules in place.
Keep current on regulatory and quality requirements and follow Environment, Health & Safety policies.
Benefits:
Thermo Fisher offers an attractive benefit package to all full time employees which includes; medical, dental, and vision coverage, company paid Disability and Life Insurance benefits, and a 401(k) Plan with a generous company match. All full time employees are also provided with paid time off, paid company holidays, and an incentive bonus plan.
Thermo Fisher is an Equal Opportunity Employer and participates in eVerify.

Required Experience:

KNOWLEDGE, SKILLS and QUALIFICATIONS:
A degree in in Statistics, Computer Science, Data Science or a related field. PhD preferred. B.S. with 8+ years’ relevant experience, or Master’s degree with 6+ years’ relevant experience, or PhD with 4+ years’ relevant experience.
Experience with optimization and statistical data analysis tools.
Strong project management and organizational skills
Working knowledge of GMP and regulatory requirements of biopharmaceutical manufacturing is preferred.
Knowledge of cell and gene therapy vector production highly desirable.
Excellent troubleshooting skills and ability to solve complex technical issues.
Understanding of guidelines required by FDA, EMA, and other regulatory bodies
Excellent troubleshooting skills and ability to solve complex technical issues
Strong interpersonal and communication skills, verbal and written
PHYSICAL DEMANDS/FACTORS:
While performing the duties of this job, the employee:
Ability to function in a rapidly changing environment & handle multiple priorities.
A flexible work schedule is required.
Ability to lift up to 25 lbs.
Travel 10-20% depending on project demands.
Note: This job description is not all-inclusive. Additional duties may be performed, as assigned. It acts as a guideline and is subject to change over time.
From: Brammer Bio"
9,"DSD Sr. Data Analyst, Datawarehouse & Mining","Quincy, MA",Quincy,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Ready to help us transform healthcare? Bring your true colors to blue.
Support, provide analytics, and manage delivery of projects working directly with the Data Warehouse team. Candidate must have the ability to work in fast paced technical environment with solid understanding of health care data.
Manage development and delivery of data to new consumer centric health informatics applications.
Create API enabled digital assets to be leveraged by web, mobile and internal CRM applications.
Develop data specific artifacts to support simplified navigation of healthcare environment.
Lead efforts to create and deliver data/information which is personalized to each member and anticipates needs.
Develop data sources which support the creation of member centric “recommendations” for informatics applications.
Lead cross-divisional project teams in the implementation of data driven projects for consumers, providers and accounts.
Provide data delivery expertise to our customers.
Provide support for operational reporting of data warehouse metrics.
Lead teams to identify, recommend, and implement system enhancements to the data warehousing environment and related BCBSMA systems to improve customer satisfaction and BCBSMA processing efficiencies.
Act as liaison with other business areas to assist them in the data definitions required for successful project implementation.
Foster an environment of openness, trust, and acceptance in dealing with all BCBSMA associates, leaders, and customers (internal and external).
Possess excellent analytical, problem resolution, and risk management skills
Experience in data design and modeling skills with a concentration on practical implementation/application
Manage development of enterprise analytics applications supporting financial, clinical and operational reporting areas.
Support delivery and design of state mandated health care data requests
Experience using and ability to understand SQL
Minimum 7+ years in the area of Data Analysis (preferably healthcare)
Minimum 5+ years using Business Intelligence software (preferably Cognos or Tableau)
Location
Quincy
Time Type
Full time"
