,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Scientist,"Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Full Visibility is seeking a Data Scientist to work in Washington, D.C. Candidate must possess an active Top Secret clearance.
The Data Scientist will take complex data sets and create useful information to solve global challenges. This position will offer the opportunity to use analytical skills to improve an intelligence-driven and threat-focused national security organization.
The successful candidate will work closely with their customer to understand their questions and needs, while diving into their data-rich environment. The Data Scientist will develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of tools and frameworks to turn disparate data points into objective answers and help the customer make informed decisions.
FV Req #057"
1,Data Scientist - Demand Forecasting,"Arlington, VA 22201",Arlington,VA,22201,None Found,None Found,None Found,None Found,None Found,"
A graduate degree in statistics, mathematics, economics, business or related discipline is required.","Foods people love. The life you imagined. And the city that transforms.

History is in the making; Nestlé USA is opening its new North American Headquarters in Arlington, Virginia, directly across from Washington, D.C. As a part of this extraordinary transformation, you have the opportunity to help build and define the Nestlé USA of today, and tomorrow.

Our new home in Arlington offers close proximity to world-class restaurants, shopping, and museums. It is also home to renowned national landmarks such as the Pentagon.

Nestlé USA is transforming what we do, how we do it, and where we work. Now is the time to define your future, and ours, too. Find your fulfilling personal and professional life, matched with our competitive benefits, focus on innovation and limitless opportunities to learn and advance your career.
Discover the ways that Nestlé USA values and supports our employees and community. Giving back continues to be a part of the Nestlé tradition. As the world’s leading nutrition, health and Wellness Company, our focus is not only about nourishing our customers, it’s about enriching you.
Position summary:
The Statistical Modeling Scientist works within Supply Chain to develop more complex predictive analytics and statistical forecasting models utilizing forecasting related systems to improve forecast accuracy and bias reduction. Demand signal data will also be incorporated into forecasting models to drive cost savings and incremental revenue and profit opportunities across the organization. Extend the use of statistical techniques to areas beyond supply chain demand planning and demand signal analytics. As a statistical modeling scientist, you will participate in forecasting model and business process design in collaboration statistical modeling principal and business management.
Primary responsibilities:
Design, develop, test, and implement SAS-HPF statistical modeling methodology. Define programming for demand pattern recognition, algorithm selection, outlier correction, and parameter optimization.
Design and build advanced reporting to support business requirements. Participate in the design process and Integration strategy between Demand Planning and data repositories for varying Nestlé businesses.
Coach analysts in addressing statistical modeling issues identified in periodic statistical forecast review sessions with business partners.
Collaborate with Demand Planning business process leads to align business requirements with systems and process solutions that ensure overall Nestle objectives are met.
Provide analytics knowledge and support to the business process lead network.
Lead small scale demand signal data projects providing statistical modeling support and expertise. Project activities will require strong collaboration with business users and other project team members.
Identify appropriate data driven predictive analytics from use case concept through experiment design to industrialization/deployment to end users.
Develop professional presentations appropriate for their intended audience.

Requirements and minimum education level:
A graduate degree in statistics, mathematics, economics, business or related discipline is required.
Experience & skills:
3+ years’ experience in business forecasting / analysis required.
Authoritative SAS experience, including SAS HPF – documented SAS 9 programming certification required.
Experienced /strong knowledge of statistical methods and analytical techniques required.
Broad and in-depth knowledge of current statistical forecasting and data mining techniques.
Expert knowledge of R open source statistical language.
Strong analytical aptitude with a shown ability to analyze/interpret data and build quantitative models of business problems.
Experience with large implementations of advanced planning systems and/or ERP (especially SAP) systems highly desirable. Previous sales forecasting experience preferably at a CPG company.
Excellent interpersonal skills.
Good facilitation and presentation skills, including training delivery.
Excellent oral and written communication skills, organizational and time-management abilities.
High-initiative, self-starter and able to work with limited supervision.
The Nestlé Companies are equal employment and affirmative action employers and looking for diversity in qualified candidates for employment.

#LI-MS1

The Nestlé Companies are equal employment and affirmative action employers and looking for diversity in qualified candidates for employment."
2,Data Scientist (Data Analytics),"Washington, DC",Washington,DC,None Found,None Found,None Found,None Found,"
Data mining, statistical and graph-based algorithms via technologies like R and Python
Support efforts to improve the policies, procedures, and tools the agency has at its disposal to improve data quality
Reviewing application and enterprise data models (conceptual, logical, physical) to identify data quality problems
Configuring test and training data sets for use by team members
Working with VA system owners to identify needed changes (i.e. technical, process, policy, etc.) to prevent future recurrence of identified issues",None Found,None Found,"Overview
ERPi is a small business, dedicated to values of trust and integrity. Our mission is to deliver professional services as a trusted agent and expert enterprise program management services for Federal clients. At ERPi, we look for individuals who want to be a part of team and work collaboratively to offer creative solutions. Here you have the ability to experience a wide range of projects where you can gain experience and skill sets and share your ideas in an environment where employees are encouraged to grow, given more autonomy and empowered to enact change.

ERPi is currently searching for a full-time Data Scientist to support the Department of Veterans Affairs (VA), Multi-Channel Technologies (MCT), working under the Veterans Experience Office, transforming its ability to serve Veterans, including the improvement of a program and analytical capability. As part of its mission to modernize contact center telephony and CRM systems, MCT is working to standardize reporting and analytics, Enterprise-wide to gain actionable insights that will in turn be used to improve the Veteran and employee experience.
Responsibilities
ROLE:
Data mining, statistical and graph-based algorithms via technologies like R and Python
Support efforts to improve the policies, procedures, and tools the agency has at its disposal to improve data quality
Reviewing application and enterprise data models (conceptual, logical, physical) to identify data quality problems
Configuring test and training data sets for use by team members
Working with VA system owners to identify needed changes (i.e. technical, process, policy, etc.) to prevent future recurrence of identified issues
REQUIRED SKILLS:
BA/BS Degree in a quantitative discipline
5 years minimum of relevant experience
Experience using analytical tools, such as R/R Studio, Python, SAS, SQL, or advanced data quality analysis toolkits
Good analytical skills with a focus on critical thinking, problem-solving, numeric reasoning, and creativity
Familiarity with transaction, OLAP, and data warehouse data models
Experience with data standardization and data governance processes
Demonstrated strong communication and presentation skills (particularly to non-technical audiences)
Good team player, able to manage multiple assignments, and adapt to changing client needs
Ability to work in a dynamic, collaborative, results-driven environment
DESIRED SKILLS AND EXPERIENCE:
MA/MS in related field (Data Science, Operations Research, Statistics, Applied Mathematics, etc.) preferred
CRM Systems experience
Experience designing and developing analytic algorithms and techniques in support of robotic processing automation, machine learning, and/or other forms of artificial intelligence
Experience working with Veterans Affairs (VA), Veterans Benefits Administration (VBA), and/or Veterans Health Administration (VHA) preferred
Experience with PowerBI
Experience working with contact centers
Experience working with data quality and business improvement initiatives preferred
CLEARANCE: Public Trust
About ERPi
About EPRi:
Enterprise Resource Performance Inc., a Service-Disabled Veteran Owned Business, is a professional services management ﬁrm that delivers strategic, advisory, technological, and implementation support services to Federal Agencies. ERPi offers talented candidates the opportunity to perform project management, strategic planning, process improvement, quality management, data analysis, and human capital planning on some of the Federal government’s largest and most complex business challenges. Our work environment is highly entrepreneurial and is staffed with some of the brightest and most capable, technical people in the industry. In addition to a comprehensive and flexible benefits program, our offerings include tuition reimbursement, 401(k) profit sharing, industry-leading health plans, generous paid parental leave and matched charitable donations. ERPi is committed to people development and providing opportunities to grow professionally. As an employee, you will work with highly motivated colleagues and have the advantage of a culture that is focused on bringing out the best in you.

EEO Statement:
It has been and will continue to be a fundamental policy of ERPi not to discriminate on the basis of race, color, religion, sex, gender, sexual orientation, gender identity or expression, pregnancy, parental status, marital status, citizenship, national origin, age, disability, genetic information, military status, veteran status, or any other protected category with respect to recruitment, hiring, training, promotion, and other terms and conditions of employment."
3,Data Scientist,"Chantilly, VA",Chantilly,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Centauri is seeking a Senior-Level Data Scientist to join our Software Engineering Team and provide systems analysis, programming and technology implementation services to apply statistical and machine learning methods to complex business problems and data analyses.
Responsibilities:
As a Data Scientist, you will research and implement optimization models, strategies, and methods to inform data management activities and analyses. You will interact with business and software teams to understand business requirements and processes, frame scalable solutions, adapt and invent new techniques for solutions, create and track performance metrics, conduct data modeling and analysis, and prototype solutions. As part of the team, you’ll have the opportunity to work with the latest software development tools giving you the opportunity to build specialist skills and expertise on the job.
Qualifications:
Master’s Degree in Operations Research, Engineering, Computer Science, Physics, Information Systems, Data Science and Analytics, Math/Statistics, Economics or related discipline with a track record of outstanding academic performance
10+ years of professional experience providing qualitative and quantitative analysis, methodology development, and demonstrated leadership
Strong oral and written communication skills with experience conducting requirements gathering sessions with clients.
Solid academic foundation in software programming and understanding of relational databases
Eagerness to contribute in a team-oriented environment
Ability to work creatively and analytically in a problem-solving environment
Experience with the following technologies:
Languages and Frameworks: R, Python, Java
IDEs: IntelliJ, Eclipse, MS SQL Server Management Studio
COTS Platforms: MS Excel
Database: MS SQL Server, T-SQL, SQL
Visualization Tools: Tableau
Experience with the following technologies a plus:
Amazon Web Services
C++, C#, ASP.NET, MS IIS
Visual Studio
Holding the following certifications are a plus:
CompTIA Security+ CE or equivalent
ScrumAliance CSM or equivalent
Security Requirements: Must meet eligibility requirements for TS/SCI clearance. Will sponsor upgrade or initial investigation."
4,BlackHorse Data Scientist,"Herndon, VA 20170",Herndon,VA,20170,None Found,None Found,None Found,None Found,None Found,None Found,"BlackHorse Solutions is looking for an experienced Data Scientist to prepare and conduct exploratory analysis to extract insights and information from a large data warehouse environment that combines multiple disparate data sources, and to work jointly with ETL Developer to assist with the design, implementation, and maintenance of this large data warehouse environment

Analyze and recommend tools that meet system requirements
Define technical success metrics and quantify risks
Transform data into usable datasets through development of data structures, designing a data sampling strategy, designing the data preparation flow
Perform Exploratory Data Analysis (EDA) through review of visual analytics data to discover patterns and determine next steps, identify anomalies, outliers, and other data inconsistencies and create descriptive statistics for a dataset
Cleanse and transform data, resolve anomalies, outliers, and other data inconsistencies, standardize data formats and set the granularity for data
Perform feature extraction algorithms on numerical data, non-numerical data and scale features
Perform feature selection, define the optimality criteria and apply feature selection algorithms
Select an algorithmic approach, determine appropriate performance metrics implement appropriate algorithms, consider data preparation steps that are specific to the selected algorithms
Expertise deploying ML and AI algorithms for solving real world problems
Experience implementing data collection, analytics and visualization projects
Command of data mining and predictive analytics
Undergraduate degree in statistics, mathematics, computer science, engineering or related field is required
Advanced degree in analytics, machine learning, computer science, or related field is preferred (but not required).
10 years of relevant experience in the data science field.
To all Staffing, Placement and Recruiting Agencies: We do not pay agency fees. Our job postings are only intended for individuals. To protect the interests of all parties, BlackHorse Solutions, Inc. (BlackHorse) will not accept unsolicited profiles, resumes, CV's or applications from any source other than directly from a candidate. Any unsolicited profiles, resumes, CV's or applications sent to BlackHorse, including unsolicited profiles, resumes, CV's or applications sent to a BlackHorse mailing address, BlackHorse email address, directly to BlackHorse employees and contractors, or to the BlackHorse resume database, will be considered BlackHorse property and BlackHorse will not pay a fee for any placement resulting from the receipt of an unsolicited resume. BlackHorse will consider any candidate for who an Agency has submitted an unsolicited resume to have been referred by the Agency free of any charges or fee.
iSwW9XP1zm"
5,DATA SCIENTIST,"Oak Hill, VA 20171",Oak Hill,VA,20171,None Found,None Found,None Found,None Found,None Found,None Found,"DATA SCIENTIST
Design and develop methods, processes, and systems to consolidate and analyze structured and unstructured data. Develop information tools, algorithms, dashboards, and queries to monitor and improve customer data processing. Recommend and develop new technical solutions, products, and/or standards in support of functions strategy and operations. Requirements include identifying, retrieving, manipulating, and exploiting multiple structured and unstructured data sets from various sources, including building or generating new data sets as appropriate as well as initiating the efficient implementation of methods, tools, and algorithms using a comprehensive range of technologies.

Desired Qualifications and Skills:
Bachelor’s or higher degree in Computer Science, Mathematics, or a related field
Experience with Hadoop framework, MapReduce, Hive, Pig, or other open source data analytic tools.
Strong software skills including proficiency in Python, JavaScript, SQL, Pig, or R
Data mining methods, database structures, and analytic information extraction and visualization experience"
6,Data Scientist,"Washington, DC",Washington,DC,None Found,None Found,None Found,"
Expertise in analytics tools including R, Python, SAS, SPSS, or similar.
Experience in the analysis and interpretation of data including the understanding of mathematical and statistical concepts.
Proficiency in exploratory data analysis and interpreting data.
Experience with statistical modeling or basic machine learning algorithms.
Knowledge of SQL.
Proven background working with Hadoop or Hive.
Experience working with cloud technologies such as AWS, Kafka, Spark, Storm, or Hadoop",None Found,"
Minimum of 3 years technical/data analytic experience
Bachelor’s degree in Engineering, Mathematics, Computer Science, Information Systems, Economics or Business, or equivalent
Must be clearable for a Secret clearance – Active U.S. Citizen",None Found,"Data Scientist/Data Engineer
Location: Washington DC
Job ID: 1083

We are looking for professionals with a wide range of skills, from Junior to Team Leads. If any of the skills below describe you please apply so we can have a deeper conversation.
When it comes to data do you not only enjoy driving the car but want to look under the hood and understand how it works? Then we would like to talk with you! Datastrong has multiple openings for Data Engineers and Data Scientists who want to join a growing practice and work with the latest technologies to help solve federally operated challenges.
Knowledge, Skills, and Abilities
Expertise in analytics tools including R, Python, SAS, SPSS, or similar.
Experience in the analysis and interpretation of data including the understanding of mathematical and statistical concepts.
Proficiency in exploratory data analysis and interpreting data.
Experience with statistical modeling or basic machine learning algorithms.
Knowledge of SQL.
Proven background working with Hadoop or Hive.
Experience working with cloud technologies such as AWS, Kafka, Spark, Storm, or Hadoop
Education, Experience, & Certifications
Minimum of 3 years technical/data analytic experience
Bachelor’s degree in Engineering, Mathematics, Computer Science, Information Systems, Economics or Business, or equivalent
Must be clearable for a Secret clearance – Active U.S. Citizen
Benefits
Great Culture focused on our customers and team members
Datastrong offers a compensation plan consisting of a competitive base salary and an uncapped bonus
100% Health coverage for employees with Vision and Dental options
Flexible spending account options
401k plan offerings
Paid holidays and vacation

Datastrong is committed to hiring and retaining a diverse workforce. We are an Equal Opportunity and Affirmative Action Employer, making decisions without regard to race, color, religion, sex, national origin, age, veteran status, disability, or any other protected class. If accommodation is needed in the application process, arrangements can be made with the local regional office."
7,Data Scientist,"Springfield, VA",Springfield,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"The Data Scientist will design, deploy and support a large data warehouse used agency wide for analytics. The Data Scientist will work with end users and the Government customer to collect and assess requirements as well as to design and deploy a scalable SQL Data Warehouse leveraging the latest, most forward-leaning technologies available in the market.

Duties and Responsibilities:
Design a Data Warehouse with multi-dimensional layers for reporting and analysis including the creation of the ingestion layer as well as scalable data catalogs and data marts.
Act as a SME in all facets of the design, deployment and support of Data Warehouse models
Leverage or create API-based or RESTful based services for developers and data scientist use.
Analyze, design, deploy and support a data-hygiene focused based architecture that maps to standard practices and agency data governance policies
Other duties as assigned
Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)
Bachelor’s Degree in Statistics, Mathematics, Computer Science or another quantitative field
Equivalent years of experience may be used in lieu of degree
4+ years of relevant experience with the following software / tools:
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience creating and using advanced machine learning algorithms and statistics.
Prior experience supporting IC/DoD
Have experience in:
Source Data | Multiple source inputs including flat files, SQL and Oracle databases, non-relational database connections like DynamoDB.
Ingest | Including a Subject Matter expertise in ETL creation for the purpose of ingesting data from multiple sources
Schema Creation | Expert level creation of scalable schemas within SQL and the creation of a Data Warehouse
Exposure | Expertise in the creation of Data Marts and Data Catalogs including the leveraging of BI tools such as Tableau to expose and connect to those data marts
BI | Expertise in using tools to create visualizations from the DataMart to meet both customer and Government requirements
Active Top-Secret Clearance with ability to obtain SCI
Knowledge, Skills and Abilities:
Active Top-Secret Clerance with SCI highly desired
Ability to work independently and yet be effective within a team setting
Must be capable of managing multiple efforts with time related constraints in a fast-paced contracting environment
Demonstrated ability to effectively communicate and collaborate with diverse internal and external stakeholder groups and individuals
Friendly presence, helpful attitude, good interpersonal skills, and ability to work well with others.
Excellent skills in Microsoft Word, Excel, and other Office applications
Proficient with Microsoft Office Applications, and experience working in a home office setting as well as the ability to train end users on frequently asked technical issues.
Ability to provide technical assistance and support over the phone; good phone skills, professional demeanor, previous customer service experience strongly desired.
Good problem-solving skills; ability to visualize a problem/situation and think abstractly to solve it
Physical Demands: (The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.)
While performing the duties of this Job, the employee is regularly required to sit and talk or hear. The employee is frequently required to walk; use hands to finger, handle, or feel and reach with hands and arms. The employee is occasionally required to stand; climb or balance and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision.
Work Environment: (The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.)
The employee will normally work in a temperature-controlled office environment, with frequent exposure to electronic office equipment.
During visits to areas of operations, may be exposed to extreme cold or hot weather conditions. Is occasionally exposed to fumes or airborne particles, toxic or caustic chemicals, and loud noise.
Chenega Corporation and family of companies is an EOE.
Equal Opportunity Employer/Veterans/Disabled
Native preference under PL 93-638.
We participate in the E-Verify Employment Verification Program.


Recruiter Nicolas Otth"
8,Data Scientist/Architect,"Arlington, VA 22203",Arlington,VA,22203,None Found,None Found,7+ years in data architecture and data modeling,None Found,None Found,Must currently possess a DHS Public Trust with EOD,"Please note: Principals Only, No 3rd Party Recruiters. Thank you!

This position requires an active DHS EOD

We have an opportunity for a Senior Data Architect role to join our talented Professional Services team to assist the client organization in the development of a business intelligence environment with data architecture support.

Typical responsibilities include:
Provide subject matter expertise and advisory on data architecture, data management, and business intelligence
Develop Data Governance artifacts and Conceptual Data Models
Provide data warehousing advisory
Provide advisory and support the appropriate use of BI tools
Perform Python Scripting
Function as a data modeler and support ETL functions
Provide enterprise data architecture/systems engineering services to develop future oriented conceptual data models and/or use cases
Identify gaps between current state and future state data architectures and develop roadmaps and transition recommendations
Provide subject matter expertise to related conceptual data model development and data context diagrams
Develop and implement performance dashboards
Support R and/or Python Scripting efforts

Must have expertise in data modeling and in data modeling tools, Database Tools, Tableau, and Informatica
Required Skills
7+ years in data architecture and data modeling
10+ years in the federal government consulting industry
Experience in developing conceptual data models
Experience developing data governance artifacts
Experience developing data architecture roadmaps
Experience with BI tools and dashboard development
Experience with data warehousing

 · Possess basic understanding of system requirements for the deployment of the latest versions of R and Python and Scripting

Possess expertise in data modeling and in data modeling tools, Database Tools
Strong analytical and quantitative skills.
Preferred Skills & Experience
Experience with ArcGIS Pro

Clearance Requirement
Must currently possess a DHS Public Trust with EOD"
9,Data Scientist/Programmer,"Reston, VA",Reston,VA,None Found,None Found,"
Three or more years professional data analysis experience
Experience with machine learning and big data tools and techniques for working with structured data. Examples of tools might include SageMaker, Hadoop, Python packages like scikit learn, numpy, pandas, pyplot, etc. But experience with these specific tools is not required.
Experience using statistical methods, and familiarity with their underlying purpose to analyze data
Familiarity with a scripting language like Python, and package libraries
Familiarity with Git/GitHub
Familiarity working in an Agile/Scrum development process
Comfortable working on the command line
Detail oriented, with the drive and determination to see projects through to completion
","
Experience with Amazon Web Services tools like the awscli, and services like SageMaker, EMR, or other tools useful for data analysis.
Have a desire to join in spirited discussions about anything technical!
",None Found,None Found,None Found,"Are you passionate about solving challenging problems?
Do you thrive being a critical part of an elite team of like-minded people?
How would you like for your next career move to take you to the next level?

If any of this sounds appealing, look no further.

Job Description:
The Novetta Enterprise Solutions Division develops a Cloud Dashboard for the Federal Government called CloudTracker. CloudTracker is a cloud-native web application written in ReactJS and Spring Cloud that analyzes data related to Azure/AWS Cloud consumption, providing insights to help our customers more efficiently consume Cloud resources.

We seek an enthusiastic Data Scientist/Programmer to help us better analyze raw Cloud consumption data to better highlight different types of inefficiencies related to application configuration and service consumption, and to make optimization recommendations to executive decision makers. This position will directly impact mission as we help drive the Government toward more effective use of the Cloud, and better application design. As a Data Scientist/Programmer you will work with our team using the latest data science techniques to analyze structured data, develop models, and write algorithms that lead to recommendations and new best practices. You will work with a talented team comprised of a ScrumMaster, product owner, application and devops engineers, a UI/UX designer, and a QA test engineer to build, test and release the product. If this sounds interesting, we would like to hear from you!

Basic Qualifications:

Three or more years professional data analysis experience
Experience with machine learning and big data tools and techniques for working with structured data. Examples of tools might include SageMaker, Hadoop, Python packages like scikit learn, numpy, pandas, pyplot, etc. But experience with these specific tools is not required.
Experience using statistical methods, and familiarity with their underlying purpose to analyze data
Familiarity with a scripting language like Python, and package libraries
Familiarity with Git/GitHub
Familiarity working in an Agile/Scrum development process
Comfortable working on the command line
Detail oriented, with the drive and determination to see projects through to completion

Bonus Skills:

Experience with Amazon Web Services tools like the awscli, and services like SageMaker, EMR, or other tools useful for data analysis.
Have a desire to join in spirited discussions about anything technical!

So, what does Novetta do?

We focus on three core areas: Cyber, Entity, and Multi-Int Analytics. Our products are focused on processing and analyzing vast amounts of data in these core areas. Our services are focused on helping our customers move from complexity to clarity. At Novetta, we bridge the gap between what our customers think they can do and what they aspire to achieve.

Our culture is shaped by a commitment to our Core Values:

Integrity: We hold ourselves accountable to the highest standards of integrity and ethics.
Customer Mission Success: Customer mission success drives our daily efforts—we strive always to exceed customer expectations and focus on mission success beyond contractual commitments.
Employee Focus: We value our employees and demonstrate our commitment to them by providing clear communications, outstanding benefits, career development, and opportunities to work on problems and technical challenges of national significance.
Innovation: We believe that innovation is critical to our success – that discovering new and more effective ways to achieve customer mission success is what makes us a great company.

GET A REFERRAL BONUS FOR THE GREAT PEOPLE YOU KNOW!
With our amazing referral program, you could be eligible to earn
outstanding rewards for referring qualified new hires to Novetta.

Novetta is an equal opportunity/affirmative action employer.
All qualified applicants will receive consideration for employment without regard to sex,
gender identity, sexual orientation, race, color, religion, national origin, disability,
protected veteran status, age, or any other characteristic protected by law."
