,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
1,Senior Data Analyst - HIM,"Alhambra, CA",Alhambra,CA,None Found,None Found,None Found,None Found,None Found,"
Bachelor's degree",None Found,"Minimum Education:
Bachelor's degree
Minimum Experience/Knowledge:
2 years’ experience as a business data analyst.
Proficient PC skills. Ability to work proficiently with Microsoft Excel, and Word
Working knowledge of databases, spreadsheets, word processing and statistical software programs.
Working knowledge of business statistics and data analyses techniques.
Ability to manage and analyze data. Strong analytical thinking and problem solving skills.
Previous healthcare experience in HIM/Clinical Revenue Integrity/Revenue cycle preferred
Exceptional time management skills with ability to meet tight deadlines
Outstanding organizational and problem-solving aptitude
Excellent verbal and written communication skills.
Ability to analyze information and develop comprehensive solutions to address practical work related issues
Ability to be organized and simultaneously manage multiple projects
Ability to perform well in a team environment, including all levels of staff, to achieve business goals
Ability to work independently to meet objectives
Exhibits technical and operational proficiency
solving problems of moderate
complexity. Contributes to completion of projects and programs in area of expertise
Required License/Certification:
Fire and Safety Certification. If no card upon hire, one must be obtained within 30 days of hire, and maintained by renewal before expiration date.
The Senior Data Analyst performs data analyses and interprets results using a variety of techniques to support business practices. This position is responsible in creating/ developing reports. This position works with management to obtain and identify analytical requirements. Uses a variety of data sources and analysis techniques to support operations, reporting and planning. The Senior Data Analyst provides recommendations and conclusions gained from analyzing data using statistical methods and tools. Researches best practices, develops benchmarks, and provides dashboard metrics to management leadership. Develops a variety of reporting tools for distribution. Ensures data accuracy. Provides input into decisions affecting business operations and strategic initiatives. May lead staff or student workers, as assigned."
7,Senior Data Analyst - Operational Excellence,"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"----------------
COMPANY OVERVIEW
----------------

Recently named one of Entrepreneur magazine's Top 100 Cannabis Leaders, Cresco Labs is one of the largest vertically-integrated multi-state cannabis operators in the United States. Cresco is built to bec"
8,Senior Data Analyst - Retail Analytics,"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"----------------
COMPANY OVERVIEW
----------------

Recently named one of Entrepreneur magazine's Top 100 Cannabis Leaders, Cresco Labs is one of the largest vertically-integrated multi-state cannabis operators in the United States. Cresco is built to bec"
11,Senior QA Engineer,"Beverly Hills, CA 90211",Beverly Hills,CA,90211,None Found,None Found,None Found,None Found,None Found,None Found,"En
The Marcus Buckingham Company (TMBC), powered by ADP turns talent into performance through innovative solutions designed for team leaders. Grounded in decades of research on what drives engagement and performance in teams - our technology, coaching and education offerings help companies build more teams like their best teams.
Do you love technology?
Are you always thinking of newer, better ways of doing things?
Are you a self-starter always driving to execution?
If your answer to these questions is an enthusiastic ""yes"" then please keep reading!
Our Technology Team is looking for an experienced Senior QA Engineer to help drive the future of the StandOut product, a cloud based toolset designed to drive team leader effectiveness.
As a Senior QA Engineer you will be involved in the entire software development process from start to finish. You will be self-directed, detail-oriented, and driven to contribute to TMBC's reputation, growth and success. You will be the test lead for individual scrum team and drive and direct all testing efforts. Communication skills and leadership skills will be crucial in success of this role. You are not just a tester. You will be the evangelist for all things quality in agile development. You will play an intricate role in testing new features and functions, and be responsible for quantifying and improving data quality within our software.
Do the following activities make you feel STRONG?
Collaborating with the scrum team to groom stories and participate in daily standups, sprint kick-off and retrospective meetings
Plan and organize testing needs for the sprint stories and assign test case writing and execution to rest of the team
Work closely with product owner and developers to review acceptance criteria and understand features from both user and backend perspective
Lead testing efforts by everyone in the team by promoting agile methodology where development and testing happen in the same cycle
Reviewing requirement specifications and technical design documents to provide timely and meaningful feedback
Creating detailed, comprehensive and well-structured test plans and test case
Estimating, prioritizing, planning, and coordinating testing activity
Designing, developing and executing automation scripts using open source tools
Identifying, recording, thoroughly documenting and tracking bugs
Performing thorough regression testing when bugs are resolved
Using existing tools and techniques to execute test cases and build/script new tools for performing testing/validation function
Executing and analyzing automation test results
Participating in troubleshooting and triaging of issues with different teams to drive towards root cause identification and resolution
Supporting production deployment of applications and performing ""validation testing"" during the off-hours maintenance window
Performing load and performance tests on applications
Performing white box and black box testing
gineer Analyst Architect Data Scientist Application Developer Design Implementation Chief Principal Enterprise Specialist Infrastructure Research Development R&D Tech Associate Service Solutions Business Intelligence BI System Analyst Disaster Recovery Change Control IT Operations Information Performance Product Production QA Quality Assurance Release Service Statutory UX UI User Experience Interface Researcher Designer Service Project Software Test Program Programmer I&O

Unlock Your Career Potential: Technology at ADP. Do you enjoy exploring, identifying and inspiring the future of the workplace and the lives of millions of people? At ADP, the world's largest B2B cloud company, our Technology team is comprised of brilliant engineers, architects, data scientists, infrastructure experts, and more. We were first in our industry to offer a SaaS solution and continue to push the envelope utilizing the latest operating platforms to deliver the highly automated, intelligent and predictive solutions that are redefining what is possible. Named one of Forbes' ""Most Innovative Companies"" and one of Computerworld's ""100 Best Places to Work in IT"", we are committed to leading the way in product development and research, empowering you to bring to life the latest innovations that will forever change the way businesses manage their most vital asset, employees.

POSITION SUMMARY [TABP enters]

We strive for every interaction to be driven by our CORE values: Insightful Expertise, Integrity is Everything, Service Excellence, Inspiring Innovation, Each Person Counts, Results-Driven, & Social Responsibility.

RESPONSIBILITIES:
[TABP enters]

QUALIFICATIONS REQUIRED:
[TABP Enters]
PREFERRED QUALIFICATIONS: Preference will be given to candidates who have the following:
[TABP enters]
We're designing a better way to work, so you can achieve what you're working for. Consistently named one of the 'Most Admired Companies' by FORTUNE® Magazine, and recognized by DiversityInc® as one of the 'Top 50 Companies for Diversity,' ADP works with more than 740,000 organizations across the globe to help their people work smarter, embrace new challenges, and unleash their talent. ""Always Designing for People"" means we're creating platforms that will transform how great work gets done, so together we can unlock a world of opportunity.
At ADP, we believe that diversity fuels innovation. ADP is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, or protected veteran status. We support an inclusive workplace where associates excel based on personal merit, qualifications, experience, ability, and job performance."
21,Senior Data Analyst,"Chicago, IL",Chicago,IL,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"**While we have an incredible internship program and often have entry level positions available, this role is for a candidate that has 2+ years of professional experience, post-graduation. Please consider this while applying.**

WHO WE ARE

At CompareCards, by LendingTree, our mission is to help people make smarter, more informed, healthier financial decisions based on deeper knowledge of financial offers. CompareCards provides easy-to-use, objective tools and educational resources that help consumers do everything from making credit card comparisons and managing their credit health to helping children in primary, middle, and high school learn how to make wise financial decisions.

THE POSITION

You absolutely love data (unstructured and structured), testing hypotheses, and arriving at data-driven recommendations that have an immediate impact on the business. You have a strong business insight and exceptional critical thinking that you employ to turn data insights into strategic action. You are passionate about communicating insights as much as you are about discovering them in the first place. You constantly ask questions about how to use analytics to improve the business and constantly make impactful strategic decisions. You have a passion for marketing and a desire to use data to optimize performance. You enjoy collaborating with teams across digital and traditional channels to understand and support their goals.

RESPONSIBILITIES


Assist the team in the production of analytic products (e.g., reports, mid-level data analysis)
Collaborate with others on developing predictive models of user behaviors
Maintain and monitor reporting tools in Tableau

QUALIFICATIONS


2+ years of experience in product-oriented quantitative analysis and data science
Strong analytical background
Some experience using SQL and working with large datasets
Willingness to learn or experience with building reports in Tableau
Entry to mid-level understanding of descriptive and inferential statisticals
Experience with business and/or market analytics
Ability to synthesize data from multiple sources to drive actionable insights; a proven influencer with excellent communication skills
A keen eye for detail, fact-checking, and overall scientific approach to analysis
Great to work with--friendly with a positive ""let's do this"" attitude

PERKS


Convenient Downtown Location at Ogilvie Transportation Center (500 W. Madison)
Flexible Work Arrangements
In-House Gym
401(K) Matching
Innovative Work Environment
Unlimited Vacation Days
Bi-Annual Cash Bonus Eligibility
Catered Lunches
Snacks / Adult Beverages / Coffee
And Much More!

COMPANY

LendingTree is the nation's largest online lending marketplace. That means we connect customers with multiple lenders so they find the best deals on loans, credit cards, savings accounts and insurance. Our goal is to help people save money, and we believe the best way to do that is by giving them a way to shop for loans and compare lenders so they make their best financial choices.

Our CEO Doug Lebda founded the company in 1996 after a frustrating house-hunting experience. In those days, we mostly helped people find good mortgage deals. Now, we help consumers find their best in personal loans, auto loans, business loans, student loans, credit cards, savings accounts, home equity loans and more.

What else you should know:

We're a publicly-traded company (TREE).
We've welcomed several other companies into the LendingTree family to augment our efforts at helping borrowers make their most sensible financial choices.
We've built the LendingTree app and My LendingTree dashboard to give consumers tools to manage and monitor their financial health.
We still make funny commercials ( https://www.youtube.com/watch?v=lX43xCZV5j0 ).

CULTURE

We're a fast-paced company with an entrepreneurial bend. We work hard and test our products often. We're collaborative, ambitious, candid and high-energy. Our teammates are some of the brightest, most talented people you'll ever work with. We care more about your smarts than we do about the kinds of clothes you wear (but please, do wear clothes to work!), and we're pretty good about rewarding innovation, creativity and the knack for just getting stuff done (we even have an award for employees called the GSD, ""Get Stuff Done"").

Come work with us!
LendingTree is the kind of company that not only promotes diversity and inclusion; we thrive because of these values. We do not discriminate based on race, color, religion (or creed), gender, gender expression, age, national origin, disability, marital status, sexual orientation or military status."
26,Data Engineer,"Cambridge, MA 02142",Cambridge,MA,2142,None Found,None Found,None Found,None Found,None Found,None Found,"1 Broadway (21026), United States of America, Cambridge, Massachusetts

At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Data Engineer

Are you a high-performing data engineer passionate about building production-quality applications using cutting-edge machine learning algorithms? We experiment and innovate leveraging the latest technologies to engineer breakthrough customer experiences, and bring simplicity and humanity to banking.

As a Data Engineer, you will build fast data and machine learning solutions to address some of the many complex problems in the financial services industry. Capital One leverages full stack technology solutions including streaming big data, state of the art machine learning, micro-service architecture, distributed computation engines, and intuitive visualizations in the cloud. We work with several cutting-edge technologies and actively develop and contribute to the open source community. You will work alongside highly technical peers, with deep domain expertise (from cyber threat prevention to sophisticated NLP), and partner with product and business teams to deliver game changing solutions for our customers.

Basic Qualifications:
Bachelor’s Degree
At least 2 years of experience with Python, Java or Scala
At least 2 years of experience in deploying distributed systems or multi-node database paradigms

Preferred Qualifications:
Master’s Degree or PhD
At least 2 years of experience with cloud software design using microservices and distributed caching
At least 2 years of experience delivering applications from architectural design to production implementation
At least 1 year of experience working with Machine Learning, Deep Learning or Artificial Intelligence

At this time, Capital One will not sponsor a new applicant for employment authorization for this position."
30,"Specialist SA, Machine Learning/AI Services","Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"2+ years experience in the field of AI, Machine Learning, Deep Learning and related technologies.2+ years experience developing AI models in real-world environments and integrating AI/ML and other AWS services into large-scale production applications.2+ years design/implementation/consulting experience building cloud solutions using AWS.5+ years professional experience in software development in languages like Java, Python, Scala. Experience working with RESTful API and general service oriented architectures.Experience influencing and building mindshare convincingly with any audience. Confident and experienced in public speaking to large audiences.

Are you passionate about Artificial Intelligence, Machine Learning and Deep Learning? Are you passionate about helping customers build solutions leveraging the state-of-the-art AI/ML/DL tools on Amazon Web Service (AWS)? Come join us!

At Amazon, we’ve been investing deeply in artificial intelligence for over 20 years, and many of the capabilities customers experience are driven by machine learning. Amazon.com’s recommendations engine is driven by machine learning (ML), as are the paths that optimize robotic picking routes in our fulfillment centers. Our supply chain, forecasting, and capacity planning are also informed by ML algorithms. Alexa is fueled by Natural Language Understanding and Automated Speech Recognition deep learning; as is our drone initiative, Prime Air, and the computer vision technology in our new retail experience, Amazon Go. We have thousands of engineers at Amazon committed to machine learning and deep learning, and it’s a big part of our heritage.

Within AWS, we’re focused on bringing that knowledge and capability to customers through three layers of the AI stack: 1) Frameworks and Infrastructure with tools like Apache MxNet and TensorFlow, 2) Machine Learning Platforms such as Amazon SageMaker for data scientists and 3) API-driven Services like Amazon Lex, Amazon Polly, Amazon Transcribe, Amazon Comprehend, and Amazon Rekognition to quickly add intelligence to applications with a simple API call.

AWS is looking for an AI Solutions Architect (AI SA), who will be the Subject Matter Expert (SME) for helping customers in the AMERICAS design solutions that leverage the third tier of our ML stack, the AWS API-driven AI services. You will partner with Solution Architects, Sales, Business Development and the AI Service teams to enable customer adoption and revenue attainment for Amazon Transcribe, Amazon Rekognition, Amazon Comprehend and the other AWS AI services in the AMERICAS. You will develop white papers, blogs, reference implementations, labs, and presentations to evangelize AWS AI design patterns and best practices for all of the AWS AI services.
Your roles and responsibilities will include:
Work with customers’ development and data science teams to deeply understand their business and technical needs and design AI solutions that make the best use of the AWS cloud platform and AWS AI Services including Amazon Comprehend, Amazon Rekognition, Amazon Transcribe, Amazon Lex and the other AI services.Thought Leadership – Evangelize AWS AI services and share best practices through forums such as AWS blogs, whitepapers, reference architectures and public-speaking events such as AWS Summit, AWS re:Invent, etc.Partner with SAs, Sales, Business Development and the AI Service teams to accelerate customer adoption and revenue attainment in the AMERICAS of Amazon Comprehend, Amazon Rekognition, Amazon Transcribe, Amazon Lex, Amazon Translate, Amazon Polly and the other AI services..Act as a technical liaison between customers and the AI services engineering teams to provide customer driven product improvement feedback.Develop and support an AWS internal community of AI related subject matter experts in the AMERICAS.

Professional experience architecting/operating solutions built on AWS
Experience communicating effectively across internal and external organizations, for complex mission-critical solutionsExperience with predictive analytics, semi- and unstructured dataExperience deploying production-grade machine learning solutions on public cloud platformsData science background and experience manipulating/transforming data, model selection, model training, cross-validation and deployment at scale.Experience with Machine and Deep Learning toolkits such as MXNet, TensorFlow, Caffe and Torch.
Experience with AWS services related to AI/ML highly desirable, particularly Amazon EMR, AWS Lambda, Machine Learning, IoT, Amazon DynamoDB, Amazon S3, Amazon EC2 Container Service, Greengrass etc.
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age."
34,Research Scientist or Senior Research Scientist - Deep Learning,"Cambridge, MA",Cambridge,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"25 years of innovation
The Computer Vision Group at MERL conducts fundamental, academically oriented, cutting-edge research that is applied to challenging industrial problems such as object, action and scene understanding, robotic vision, and autonomous driving, as well as surveillance and monitoring systems. MERL has been setting the standard for excellence in the field for over 25 years. Before deep learning became popular, MERL published one of the first papers on a learning-based approach for super-resolution of images, and starting with the publication of the landmark Viola-Jones face detection paper, MERL has steadily contributed to the state-of-the-art in the detection & classification of objects & actions.
With more than 25 years of innovation, MERL is proud to foster an environment that gives researchers the opportunity to set their own path and pursue their passions. The culture at MERL, which values both fundamental scientific contributions and its application to real business, allows for all of our researchers to become leaders in their field. There is no other industrial lab with this level of freedom and flexibility.

Set your own path at MERL
Successful candidates will identify new problems and solutions that are fundamental to the field and broadly useful. You will conduct research to evaluate your solutions, and publish your results in selective peer-reviewed conferences and journals. Research results are typically transferred to counterparts in Japan for further evaluation and development through collaborative projects and a long-term trusting partnership.

What successful candidates look like
Applicants must have a Ph.D. in Computer Science, Electrical Engineering or related areas, and have a documented track record of creative innovation that has led to successful research outcomes. Candidates with at least 5 years of experience will be considered for senior positions. Applicants are expected to have excellent programming skills, and be able to communicate effectively in both written and verbal forms.

We are looking for Research Scientists and Principal Research Scientists committed to setting their own path in the area of Deep Learning.
Specific problems of interest are related to scene understanding including detection, classification, labeling and prediction of objects and actions in a wide range of environments.
PRINCIPALS ONLY Apply Online. No phone calls please.
Mitsubishi Electric Research Laboratories, Inc. is an Equal Opportunity Employer."
36,"Software Engineer - Data and AI BURLINGAME, CALIFORNIADATA AND MACHINE LEARNINGFULL-TIME","Burlingame, CA 94010",Burlingame,CA,94010,None Found,None Found,None Found,None Found,None Found,None Found,"Lyra is transforming mental health care using technology with a human touch. Using our proprietary platform and matching technology, Lyra helps companies and their employees find the highest quality mental health care. We work with innovative companies, such as Uber, eBay, and Lyft, among others, and we offer access to an elite network of mental health providers with the flexibility of in-person therapy, live video sessions, coaching programs, and digital self-care tools. Co-founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised $83 million in funding to date from investors including Venrock, Greylock, Tenaya and Glynn Capital.

At Lyra we believe that data-driven technology and decision making is a critical part of solving the thorny, complex challenges of provider quality and accessibility in a broken system.

We are looking for a Software Engineer to join the Data and ML team, working on core pieces of our data infrastructure, pipelines, and data services underlying our product.
Lyra is for you if you:
Want to work in a fast-paced environment with thoughtful people solving hard problems
Have a passion for social impact and helping people when they are most vulnerable
Like to collaborate across teams with physicians, therapists, data scientists, and product managers
We are looking for someone with:
Excellent coding skills in Python (Java additionally is a plus)
Experience in building fault tolerant data pipelines with logging, alerting, and validation
Strong communication skills and a customer-oriented mentality
Keen attention to detail and strong organizational skills

At Lyra we value inclusion and diversity and we work hard to ensure that people are treated respectfully and equitably and to create an environment where employees have the confidence to be their true selves. We are an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other category protected by law."
41,"Senior Manager, Machine Learning Scientist - Fraud Detection","Chicago, IL 60601",Chicago,IL,60601,None Found,"
Master’s Degree plus 6 years’ experience in machine learning, or PhD plus 3 years’ experience in machine learning
At least 3 years’ coding experience in Python, Scala or R
At least 3 years’ experience in the application of machine learning to anomaly detection (e.g. density based, outlier detection, unsupervised deep learning)
At least 1 year of experience working with a cloud platform (e.g. AWS, Azure)
At least 3 years’ experience developing solutions that leverage one or more of the following: operations research, natural language processing, machine learning, deep learning, video/image analysis, or time-series analysis.
",None Found,None Found,None Found,None Found,"77 West Wacker Dr (35012), United States of America, Chicago, Illinois

At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Senior Manager, Machine Learning Scientist - Fraud Detection

At Capital One, data is at the center of everything we do. When we launched as a startup we disrupted the credit card industry by individually personalizing every credit card offer using statistical modeling and the relational database, cutting edge technology in 1988! Fast-forward a few years, and this little innovation and our passion for data has skyrocketed us to a Fortune 200 company and a leader in the world of data-driven decision-making.

Department Summary:
The Card ML team is working to transform every corner of our business with machine learning. To accomplish this goal, we use the latest techniques in machine learning - deep learning, reinforcement learning, genetic algorithms and natural language processing - and marry them with real-time streaming data in the cloud to create best-in-class enterprise-scale ML products. We tackle a huge variety of business problems and work with vast quantities of data of every kind.

Role Summary:
As a Sr. Manager of machine learning at Capital One, you’ll be leading a research group that’s part of driving the next wave of disruption at a whole new scale, using the latest in distributed computing technologies and operating across billions and billions of customer transactions to unlock the big opportunities that help everyday people save money, time and difficulty in their financial lives. We do machine learning research and product development differently at Capital One. ML scientists aren’t siloed in the lab, but instead partner closely with Software Engineers, Product Managers, and business stakeholders, to discover, invent and build at the largest scale. Ideas may come from internal projects as well as from academic partnerships with world-class institutions. Anomaly detection ML Scientists develop and apply cutting edge and novel approaches to build state-of-the-art fraud prevention and defect identification systems. In this role, you will apply your expertise in anomaly detection and machine learning to guide a research group’s agenda and drive critical business outcomes. You stay connected to the wider research community as an active contributor.

The Ideal Candidate will be:

Technical. You are independent and can develop your own algorithms and experiments. You have hands-on experience developing ML anomaly detection solutions, from concept to production, and selecting the right tool for the job at hand. You understand modern cloud computing. Lots of data do not frighten you, they present a challenge you are eager to take on. You know Python, Scala or R.
Leader. You are an effective mentor, leader, and research group head. Able to guide a team through a cohesive research and execution strategy towards a unified business outcome. You challenge conventional thinking and traditional ways of operating and you work with stakeholders to identify and improve the status quo.
Innovative. You continually research and evaluate emerging technologies. You stay current on published state-of-the-art ML methods, technologies and applications. You ask why, explore and openly share your disruptive ideas.
Business-Minded. You can analyze customer needs and drive towards impactful business outcomes.

Basic Qualifications:

Master’s Degree plus 6 years’ experience in machine learning, or PhD plus 3 years’ experience in machine learning
At least 3 years’ coding experience in Python, Scala or R
At least 3 years’ experience in the application of machine learning to anomaly detection (e.g. density based, outlier detection, unsupervised deep learning)
At least 1 year of experience working with a cloud platform (e.g. AWS, Azure)
At least 3 years’ experience developing solutions that leverage one or more of the following: operations research, natural language processing, machine learning, deep learning, video/image analysis, or time-series analysis.

Preferred Qualifications:

PhD in a Machine Learning discipline plus 3 years’ experience in machine learning
At least 2 years’ experience in the application of machine learning to time series anomaly detection
At least 2 years’ experience working with a cloud platform (e.g. AWS, Azure)
At least 5 years’ experience developing solutions in Python, Scala or R
Top-tier peer-reviewed publications on ML research

Capital One will consider sponsoring a new qualified applicant for employment authorization for this position."
