,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Marketing Data Management Coordinator,"Atlanta, GA 30329",Atlanta,GA,30329,None Found,None Found,None Found,None Found,None Found,None Found,"Location: Office Park (1699)
Requisition #: 34751

JOB SUMMARY
Oversees the day-to-day financials and operations of the Marketing and External Communications department including invoice processing, Accounts Payable reconciliation, and monthly reporting for leadership. Provides project management and workflow support to department, ensuring accuracy and appropriate usage of department’s database by internal team members.

EDUCATION
High school diploma or equivalent
CERTIFICATION SUMMARY
No professional certifications required
EXPERIENCE*
Four years of experience in budget management, including financial tracking, reconciliation, and reporting
Database administration experience
PREFERRED QUALIFICATIONS*
Bachelor’s degree in business, finance, accounting, marketing/communications or related field
Experience with Workfront and/or Filemaker Pro
One year experience in project coordination
KNOWLEDGE SKILLS & ABILITIES*
Demonstrated knowledge of Microsoft Word, Excel, PowerPoint and other report-writing programs
JOB RESPONSIBILITIES*
Monitors the financial operations of the department, working closely with staff, Finance, Accounts Payable, and department leadership to ensure accuracy of data for system reporting.
Maintains and administers the department’s internal database to track the day-to-day finances, including accruals, expenses, invoices, and vendor payments; processes and reconciles invoices against budget; updates, tracks, and maintains workflow hierarchy changes for budget/cost center alignment.
Assigns budget to area leads within department, based upon direction from director, and tracks/ensures expenditures are appropriately coded and in line with overall department budget.
Serves as system administrator of department’s project management tool; provides support and enforcement of project workflow processes, user access, database security, and system updates with database provider.
Creates department financial and annual planning reports for management review.
Trains and educates department staff on Accounts Payable changes/updates to ensure proper coding and budgetary reporting.
Participates in managing departmental or System projects requiring data gathering, investigation, and reporting.
May manage key special projects, marketing and communications business activities and initiatives, providing a high-level of operational support to the team and department leaders.
SYSTEM RESPONSIBILITIES*
Safety: Practices proper safety techniques in accordance with hospital and departmental policies and procedures. Responsible for the reporting of employee/patient/visitor injuries or accidents, or other safety issues to the supervisor and in the occurrence notification system.

Compliance: Monitors and ensures compliance with all regulatory requirements, organizational standards, and policies and procedures related to area of responsibility. Identifies potential risk areas within area of responsibility and supports problem resolution process. Maintains records of compliance activities and reports compliance activities to the Compliance Office.

The above statements are intended to describe the general nature and level of work performed by people assigned to this classification. They are not intended to be an exhaustive list of all job duties performed by the personnel so classified.

PHYSICAL DEMANDS*
Ability to lift up to 15 lbs independently not to exceed 50 lbs without assistance
Bending/Stooping - Occasionally (activity or condition exists up to 1/3 of time)
Climbing - Not Present
Hearing/Speaking - Effective communication with employees, supervisors/managers and staff. Effective communications with patients and visitors, as required.
Lifting - Occasionally (activity or condition exists up to 1/3 of time)
Pushing/Pulling - Not Present
Sitting - Frequently (activity or condition exists from 1/3 to 2/3 of time)
Standing - Occasionally (activity or condition exists up to 1/3 of time)
Walking - Occasionally (activity or condition exists up to 1/3 of time)
WORKING CONDITIONS*
No potential for exposure to blood and body fluids
About Us:
Children’s Healthcare of Atlanta has been 100 percent committed to kids for more than 100 years. A not-for-profit organization, Children’s is dedicated to making kids better today and healthier tomorrow.
With 3 hospitals, 27 neighborhood locations and a total of 638 beds, Children’s is the largest healthcare provider for children in Georgia and one of the largest pediatric clinical care providers in the country. Children’s offers access to more than 70 pediatric specialties and programs and is ranked among the top children’s hospitals in the country by U.S. News & World Report.
Children’s has been ranked on Fortune magazine’s list of “100 Best Companies to Work For” for fourteen consecutive years and named one of the “100 Best Companies” by Working Mother magazine. We offer a comprehensive compensation and benefit package that supports our mission, vision and values. We are proud to offer an array of programs and services to our employees that have distinguished us as a best place to work in the country. Connect to our mission of making kids better today and healthier tomorrow.
Have questions about the recruitment process? Check out What to Expect.
Address: 1699 Tullie Circle, Atlanta, GA 30329
Function: Marketing/Communications - Marketing/Communications"
1,Database Engineer,"Marietta, GA",Marietta,GA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Title: Database Engineer

Position Type: Full Time

Location: Marietta, GA

Begin a New Career with a Purpose at Sterling

We’re a fast-moving world leader in cloud-based background screening and identity services. Our clients use our services to create safer workplaces, build trusted brands and protect vulnerable populations. We are financially thriving, investing in growth and grounded in authenticity. If you are motivated and passionate, you will love working here. Apply today!

We have great people here and are looking for more. Come join us - you will love it!

As a Database Engineer, you are responsible for becoming a subject matter expert on our data and its capabilities, having a high-touch experience working with internal customers on a daily basis. Every day, our amazing team provides solutions to prospects and clients, gaining their trust while enhancing long-term partnerships. When you join us, you'll be part of a high-performing team that truly values your contributions will allow you to grow within the business. If you are a self-starter who can meet the challenge, keep reading!

This Is The Job For You, If:

You have a great ability to design and implement complex integrations and orchestrate within the enterprise to support master data integrity, application data needs, and analytics.
You enjoy developing and implementing a methodology for the ongoing assessment of performance and security of the enterprise data environment, ensuring a highly-secured, highly-resilient environment.
You have the ability and knowledge to develop complex logic (advanced SQL, triggers, functions, transaction isolation levels, stored procedures, etc.), in support of application and integrations requirements.
Coordination is key, you can coordinate with others to integrate with projects, applications and/or initiatives.
You are an expert when it comes to providing database and SQL Tuning expertise through recommendations to application developers, vendors and other core teams
Troubleshooting database issues including collecting information through traces and other logging facilities is something that come natural to you
When it comes to providing architectural/database technical expertise to team concerning methods, procedures, and standards to be used during design and development phases you are a SME
You use your previous experience in troubleshooting and resolving database integrity issues, performance issues, availability / connectivity, replication issues, security issues, etc.
You are up for a challenge and can handle other duties and responsibilities as they are sent your way!

This Is What We're Looking For:

4+ years working in database engineering and solution delivery
5+ years’ experience working with MS SQL Server
3+ years SQL development – ability to write and troubleshoot SQL Code and design (stored procedures, functions, tables, views, triggers, indexes, constraints, transaction isolation levels), and experience in creating database architecture with associated schemas as part of a software design process.
Knowledge of source control
Good interpersonal, written, and oral communication skills
Able to prioritize and execute tasks in a high-pressure, team-oriented, collaborative environment, playing multiple roles on any given work day.
Ability to present ideas in user-friendly language with solid technical documentation skills
Must be well-organized, responsible, work effectively in a project management framework.

Why Sterling:
Our mission is to provide the foundation of trust and safety our clients need to create great environments for their most essential resource, people. We believe everyone has the right to feel safe.

Most importantly, we make decisions and live by our values:

It’s All About People
The Client is Always in the Room
Deliver Results: They Matter
Start with Trust and Prove It Everyday

Why You Should Join:
You'll Grow. Make an Impact. Build Community.


You will have the freedom to create and grow professionally, individually and as a culture
GREAT Paid Time Off with donations program
Competitive compensation and opportunity for advancement
Generous benefits including medical, dental, vision and more only sweeten the experience
Health Club Discount
401k with MATCH
Flexible Work Schedules
Philanthropic Opportunities

In a nutshell, we've built a place where we truly love working and we think you will too.

Check out our current job openings: http://www.sterlingcheck.com/About/Careers

Follow us:
www.instagram.com/sterlingcheck

www.linkedin.com/company/sterlingcheck

www.facebook.com/SterlingCheck/

Equal Employment Opportunities at Sterling

Sterling is an equal opportunity employer and prohibits discrimination based on race, color, religion, creed, national origin or ancestry, ethnicity, sex (including pregnancy, childbirth or related conditions), gender identity and expression, age, disability, citizenship, sexual orientation, military service, genetic information, and any other characteristic protected by law. In addition, Sterling is committed to taking affirmative action to employ and to advance in employment individuals regardless of race, color, religion, creed, national origin or ancestry, ethnicity, sex (including pregnancy, childbirth or related conditions), gender identity and expression, age, marital status, disability, citizenship, sexual orientation, military service and genetic information; and to base all employment decisions only on valid job requirements.

Disclaimer

This job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities and qualifications required of employees assigned to the job."
2,Systems Engineer Senior - AMMM Program,"Marietta, GA 30063",Marietta,GA,30063,None Found,None Found,None Found,None Found,None Found,None Found,"The Logistics Support Analysis (LSA) Database Administrator directly supports AMMM Reliability and Maintainability Engineer’s operations by assuring the integrity of data generated/stored within the database and delivering data per contract requirements. Familiarity with Failure Modes, Effects and Criticality Analysis (FMECA), Reliability Centered Maintenance Analysis (RCMA) and Maintenance Task Analysis (MTA) processes. The successful candidate will serve as the point of contact in LSA discussions and works closely with Oracle and Sybase Database Administrators maintaining the internal databases and applications.
Responsibilities include, but are not limited to:
Knowledge of databases, database relationships, interfaces, and integration techniquesDatabase support (maintaining user accounts, submitting errors, enhancements, etc., performing Admin functions)Conduct data transfers between systems (internal and external), provide user access to data, assist with configuring assets to support user needs, and troubleshoot assets as neededSupport testing, debugging, and implementation of ATLAS software releases and database tools, i.e. Microsoft AccessExperience with MS Office toolsetProgramming experience related to Excel macros, SQL queries, and Visual Basic
Must be a US Citizen. This position is located at a facility that requires special access.
Basic Qualifications:
Bachelors degree from an accredited college in a related discipline
Desired Skills:
SQL programming and Relational Database experience, MIL-STD-1388-2B, GEIA-STD-0007, and Systems and Network understanding.

Ability to solve routine problems of limited scope and complexity following established procedures with work closely supervised.

Aircraft maintenance experience is desired.

Excellent written and verbal communication skills are highly desirable.
BASIC QUALIFICATIONS:
job.Qualifications

Lockheed Martin is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
EXPERIENCE LEVEL:
Experienced Professional"
3,Actuarial Analyst Employee Benefits,"Atlanta, GA 30326",Atlanta,GA,30326,None Found,None Found,None Found,None Found,None Found,None Found,"Job Details
Description
Independent for over 70 years, Milliman delivers market-leading services and solutions to clients worldwide. Today, we are helping companies take on some of the world’s most critical and complex issues, including retirement funding and healthcare financing, risk management and regulatory compliance, data analytics and business transformation.

Through a team of professionals ranging from actuaries to clinicians, technology specialists to plan administrators, we offer unparalleled expertise in employee benefits, investment consulting, healthcare, life insurance and financial services, and property and casualty insurance.

Job Responsibilities
Actuarial analyst position supports our consulting to employers and brokers relating to employee health benefits. Responsibilities include plan design and contribution modeling, rate setting, budgeting/forecasting, administration of RFPs, reporting and project management. Requires ability to work on several projects at once (typically 2 - 4 projects) and interact effectively with colleagues on all levels. Continued progress on actuarial exams is expected.

Develop and utilize actuarial models; analyze healthcare costs and utilization data; develop reports; participate in client calls/meetings; support project management. Requires proficiency with spreadsheets and database applications and an understanding of programming (SAS/SQL).
Qualifications
Behaviors
Preferred
Dedicated: Devoted to a task or purpose with loyalty or integrity
Team Player: Works well as a member of a group
Detail Oriented: Capable of carrying out a given task with all details necessary to get the task done well
Motivations
Preferred
Ability to Make an Impact: Inspired to perform well by the ability to contribute to the success of a project or the organization
Self-Starter: Inspired to perform without outside help
Education
Required
Bachelors or better in Actuarial Science or related field.
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information."
4,Database Manager,"Chamblee, GA 30341",Chamblee,GA,30341,None Found,"Experience providing advanced-level SAS programming using Macros, arrays, and other advanced programming methods/techniques in order to manipulate very large complex database files for a variety of high-level programming and database management tasks.
Advanced experience with the application of SAS relevant to large (>100,000 records), complex database management systems, query languages, and table relationships for database operations and/or generation of complex queries and reports.
Experience providing advanced-level R programming including developing code using APIs.
Demonstrated knowledge and experience in public health surveillance, public health indicators, statistics, epidemiology
Experience with automating ad-hoc batch SAS computer programs into interactive automated applications.
Understanding of data standardization policies and standards sufficient to developed data dictionaries, data models, meta-data repositories, and other data managements tools.
At least a Masters degree in one of the following fields: math, statistics, computer science, data science, epidemiology, or a social science or public policy related field (preferred)
Experience processing emergency department data (preferred)
Experience with NSSP/ESSENCE coding and query system (preferred)
Knowledge and understanding of ICD-10-CM is preferred.
Knowledge of mortality surveillance data (preferred)
Experience with data visualization (preferred)
Experience with data integration (preferred)
Excellent written and oral communication skills
",None Found,"Provide advanced-level SAS programming, R programming, and intermediate level Microsoft SQL-database programming expertise for database management, data quality checks, analysis file preparation, data transfers to other formats (e.g., Microsoft excel, word, access), for data analysis of large injury-related data systems and surveys; experience with advance SAS programming using SAS macros and other advanced programming methods/techniques is needed to perform these duties.
Develop or revise standard operating procedures (SOPs) for data management.
Develop or revise tracking systems to monitor data management processes including receipt of data, generation of QC programs, data validation, and creation of state-based datasets.
Adapt currently developed SAS programs and develop R programs to query databases with customized text(i.e. chief compliant, clinical impression, and triage note fields).
Provide in-depth knowledge and expertise related to the data systems, web-based systems, and surveys maintained in the Epidemiology and Surveillance group in order too Support various surveillance projects related to computer automated data management, quality
Provide data management support in the development, implementation, and evaluation of the
",None Found,None Found,"Job Description
Edit
The leading Niche is seeking Database Managers for a national injury prevention organization. The selected incumbents will be responsible for providing advanced-level database management, science and programming in SAS. These individuals must have expertise in overall data management, data science, and database programming. These individuals shall possess advanced technical skills, including programming in SAS or R, web-based systems, and data compliance to work across branches of the division.

Responsibilities Include but are not limited to:
Provide advanced-level SAS programming, R programming, and intermediate level Microsoft SQL-database programming expertise for database management, data quality checks, analysis file preparation, data transfers to other formats (e.g., Microsoft excel, word, access), for data analysis of large injury-related data systems and surveys; experience with advance SAS programming using SAS macros and other advanced programming methods/techniques is needed to perform these duties.
Develop or revise standard operating procedures (SOPs) for data management.
Develop or revise tracking systems to monitor data management processes including receipt of data, generation of QC programs, data validation, and creation of state-based datasets.
Adapt currently developed SAS programs and develop R programs to query databases with customized text(i.e. chief compliant, clinical impression, and triage note fields).
Provide in-depth knowledge and expertise related to the data systems, web-based systems, and surveys maintained in the Epidemiology and Surveillance group in order too Support various surveillance projects related to computer automated data management, quality
Provide data management support in the development, implementation, and evaluation of the
surveillance strategies as they relate to IT and data processing objectives.
Document and maintain data in compliance with all Federal regulations related to information security.
Minimum Qualifications:
Experience providing advanced-level SAS programming using Macros, arrays, and other advanced programming methods/techniques in order to manipulate very large complex database files for a variety of high-level programming and database management tasks.
Advanced experience with the application of SAS relevant to large (>100,000 records), complex database management systems, query languages, and table relationships for database operations and/or generation of complex queries and reports.
Experience providing advanced-level R programming including developing code using APIs.
Demonstrated knowledge and experience in public health surveillance, public health indicators, statistics, epidemiology
Experience with automating ad-hoc batch SAS computer programs into interactive automated applications.
Understanding of data standardization policies and standards sufficient to developed data dictionaries, data models, meta-data repositories, and other data managements tools.
At least a Masters degree in one of the following fields: math, statistics, computer science, data science, epidemiology, or a social science or public policy related field (preferred)
Experience processing emergency department data (preferred)
Experience with NSSP/ESSENCE coding and query system (preferred)
Knowledge and understanding of ICD-10-CM is preferred.
Knowledge of mortality surveillance data (preferred)
Experience with data visualization (preferred)
Experience with data integration (preferred)
Excellent written and oral communication skills
Important Aspect of the job
Conduct in person kick off meetings
Provide monthly progress reports
Quarterly Conference calls"
5,Cloud Engineer,"Alpharetta, GA",Alpharetta,GA,None Found,None Found,None Found,"Two or more years of hands-on experience working in public cloud infrastructure; specifically, operating AWS-based applications
Experience with Microsoft IIS configuration and maintenance
MS SQL Server administration
Experience with Application clustering / load balancing concepts and technologies
Experienced with scripting in PowerShell, or similar
Experience with scripting languages including Bash, Perl, Groovy, Ruby or similar languages
Three or more years of experience developing, implementing and maintaining required server components and automation scripts to host continuous integration/continuous delivery (CI/CD) processes suitable for large-scale, cloud-hosted applications
Experience developing standards, methods and tactics to handle development and runtime environments passionate about speed, consistency and strong security controls for web-based e-Commerce systems
Able to design and document internal processes for the technology team to run, maintain, and evaluate production systems to meet or exceed customer SLA’s
Demonstrated proficiency with solving problems and comprehensive problem diagnosis.
Demonstrated abilities to convert operational business needs into technical functional design requirements
Ability to quickly triage problems, figure out root cause and drive resolution
Strong oral and written communication prowess with demonstrated presentation skills.
Desire to work in a dynamic, evolving, and growing environment
Your curiosity to explore new ideas and passion to make them happen
BS level technical degree required; Computer Science or Math background preferred.
",None Found,None Found,None Found,"Alpharetta, GA
Duties
You will have direct responsibility for building and managing cloud and datacenter environments on Windows, Linux/Unix, Mongo and other environments
You will automate application deployments and cloud provisioning
You will be working with standard source control management systems and continuous integration
You will maintain cloud and non-cloud based infrastructure, tools and techniques associated with deploying code and designing dependency based builds
Implementing and maintaining infrastructure and application monitoring
Automation of manual tasks
Administration and Optimization of database and applications servers such as SQL Server and IIS
Required Skills and Experience
Two or more years of hands-on experience working in public cloud infrastructure; specifically, operating AWS-based applications
Experience with Microsoft IIS configuration and maintenance
MS SQL Server administration
Experience with Application clustering / load balancing concepts and technologies
Experienced with scripting in PowerShell, or similar
Experience with scripting languages including Bash, Perl, Groovy, Ruby or similar languages
Three or more years of experience developing, implementing and maintaining required server components and automation scripts to host continuous integration/continuous delivery (CI/CD) processes suitable for large-scale, cloud-hosted applications
Experience developing standards, methods and tactics to handle development and runtime environments passionate about speed, consistency and strong security controls for web-based e-Commerce systems
Able to design and document internal processes for the technology team to run, maintain, and evaluate production systems to meet or exceed customer SLA’s
Demonstrated proficiency with solving problems and comprehensive problem diagnosis.
Demonstrated abilities to convert operational business needs into technical functional design requirements
Ability to quickly triage problems, figure out root cause and drive resolution
Strong oral and written communication prowess with demonstrated presentation skills.
Desire to work in a dynamic, evolving, and growing environment
Your curiosity to explore new ideas and passion to make them happen
BS level technical degree required; Computer Science or Math background preferred.
Preferred
Experience with the Microsoft .Net stack, including C#
Experience with AngularJS
Understanding of protocols/technologies like HTTP, SSL, LDAP, JDBC, Servlet/JSP, SQL, HTML, XML, JSON
Experience with version control source code management repositories such as Git, TFS, SVN
Experience with automated testing tools
Understanding and experience with code deployment (tagging).
Understanding of Agile development process
Achieved AWS Certified Developer – Associate or AWS Certified SysOps Administrator – Associate
About the Company
4Cloud Services provides one of the best insurance packages in the industry. Our employees pay $0 for their medical/dental/vision/short-term disability/life insurance. We also provide a simple IRA plan as well as access to AFLAC and other life insurance programs.
Competitive salary compensation
100% paid medical benefits!
Retirement Savings Plan
Flexible work hours"
6,"Manager, Database Services","Atlanta, GA 30326",Atlanta,GA,30326,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description:
Carter's, Inc. is the largest branded marketer in North America of apparel exclusively for babies and young children. The Company owns the Carter's and OshKosh B'gosh brands, two of the most recognized brands in the marketplace. These brands are sold in leading department stores, national chains, and specialty retailers domestically and internationally. They are also sold through more than 1,000 Company-operated stores in the United States, Canada, and Mexico and online at www.carters.com, www.oshkoshbgosh.com, and www.cartersoshkosh.ca. The Company's Just One You and Genuine Kids brands are available at Target, its Child of Mine brand is available at Walmart, and its Simple Joys brand is available on Amazon. The Company also owns Skip Hop, a global lifestyle brand for families with young children. Carter's is headquartered in Atlanta, Georgia. Additional information may be found at www.carters.com.
Database Administration and Support: (50%)
Supports Carter’s enterprise database platforms including Oracle and MS SQL Server
Controls migration of programs, database changes, reference data changes, and menu changes throughout the development life cycle
Implements and enforces database security and logging
Conducts database re-organizations, purging, and other maintenance activities to maximize performance and uptime
Supports system workload migrations and resource capacity planning
Supports scheduled enterprise database patching and upgrades
Adheres to corporate build/data structure standards and performance tuning best practices
Provides and reviews performance and capacity metrics
Partners with systems administrators and engineers regarding platform considerations and physical architecture
Configures and maintains enterprise database monitoring tools and notifications
Deploys and validates enterprise database backup and disaster recovery services
Implements high availability database architectures, clustering, and replication
Maintains enterprise software licensing compliance within supported environments
Ensures all system deployments adhere to SOX, PCI, and cyber-security standards
Project Management / Project and Service Delivery: (50%)
Manages staffing, assignment, and prioritization of full time and contingent resources in support of Carter’s project portfolio
Supervises all operational and project-oriented activities of his/her team in accordance with Carter’s project methodology, corporate/compliance standards, business SLA’s, and expected deliverables/timelines
Establishes, communicates, and maintains annual performance goals of his/her direct reports over the course of a calendar year
Evaluates performance annually/semi-annually via performance reviews of his/her direct reports
Ensures that his/her team consistently delivers high quality, timely, and effective support to all internal and external partners
Ensures responsiveness of technical teams and contributes during root cause analysis and/or problem resolution
Leads and promotes innovation across his/her team and within his/her area of responsibility; fosters an environment of innovation
Required Experience:

Required 8+ years’ experience with all aspects of Database Administration and development, particularly Oracle and MS SQL databases.
Preferred Bachelor’s Degree and/or combination of education and technical certification(s)
Required 4+ years’ experience managing technical resources
Required 4+ years’ experience in database design and architecture
Manages three to five direct reports and/or contractors
Functions as technical back upon his/her team and provide hands-on assistance during high volume periods
Works in close coordination with a wide range of IT organizational teams and various levels of organizational leadership
Provides systems support for all Carter’s corporate and remote offices and data centers
Assists IT Director(s) and VP-level leadership with the management of the overall IT expense and capital budget
Demonstrated excellence in customer service and communications
Ability to collaborate with functional teams, leadership, and business partners
Required experience with the following technologies, tools, and concepts:
Microsoft SQL Server
Oracle on Exadata Database Machine
MySQL
Toad
Oracle SQL Developer
Oracle Enterprise Manager (OEM)
MS SQL Server Clustering / AlwaysOn / High Availability
Oracle Recovery Manager (RMAN)
Oracle Real Application Clusters (RAC)
Oracle Data Guard / Active Data Guard
Oracle Golden Gate or equivalent technology
Preferred experience with the following technologies, tools, and concepts:
IBM DB2
IBM Netezza
SAP HANA
Required experience in the development, execution, and maintenance of an active disaster recovery plan in a production environment
Required experience managing project plans utilizing enterprise project development and tracking tools
Preferred experience with one or more cloud computing models including SaaS, PaaS, and IaaS
Carters is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity, sexual orientation, national origin, genetics, disability, age, veteran status, or any other status protected by federal, state, or local law.
Visit https://carters.submit4jobs.com/ today"
7,"Database Administrator, Mid","Atlanta, GA 30303",Atlanta,GA,30303,None Found,None Found,None Found,None Found,None Found,None Found,"Key Role:
Perform data storage, security, integrity, and performance management functions for supported Database Management Systems (DBMS). Prepare detailed reports that may include system requirements such as concurrent usage factors, data storage requirements, and response rates and discuss procedures for processing data through the use of DBMS, including relational data bases. Apply expertise in data structures and data structure within a DBMS as well as methods for defining data relationships. Evaluate and communicate database design tradeoffs, performance levels, and space allocation requirements. Set up data warehouse, data marts, metadata registries, and scanning operations, including setup, managing, indexing, and bookmarking. Conduct quality control and auditing of databases in a client server environment to ensure the accurate and appropriate use of data advise users on access to various client server databases. Design, implement, and maintain complex databases with respect to Job Control Language (JCL), access methods, access time, device allocation, validation checks, organization, protection and security, documentation, and statistical methods.
Basic Qualifications:3+ years of experience with database administration or database engineeringExperience with designing, configuring, tuning and administering SQL Server databasesExperience with database architecture and designExperience with the maintenance of relational databases and associated administration toolsExperience with enterprise-scale data migrationsExperience developing and modifying Transact SQL code, stored procedures, and triggersExperience with SAS programming algorithms
BA or BS degree
Additional Qualifications:BA or BS degree in Mathematics, Statistics, Biostatistics, C, Data Science, or Epidemiology
We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change."
8,DATABASE MANAGER,"College Park, GA 30349",College Park,GA,30349,None Found,None Found,None Found,None Found,None Found,None Found,"In-depth understanding of all aspects of database technology. Must have experience in Oracle, Microsoft SQL Server, IBM DB2 or similar environment. Must be creative, analytical thinker and have the ability to lead a team of database professionals. Must be an effective communicator. Have the ability to plan information system strategies and make presentations.


Duties include: Manage and support a database environment. Develop and manage departmental budgets. Make work assignments. Manage capacity planning, disaster recovery and performance analysis."
9,Database Administrator,"Marietta, GA 30062",Marietta,GA,30062,None Found,None Found,None Found,None Found,None Found,None Found,"Logistics done differently.
At XPO Logistics, we know that state-of-the-art technology drives our success, and we want to put you behind the wheel. As the Database Administrator, you will be responsible for troubleshooting problems, implementing solutions and monitoring the effectiveness of the databases that keep XPO running smoothly. If you love a challenge and have a competitive spirit fueled by achievement, we have an opportunity for you to grow with XPO.

Pay, benefits and more.
We are eager to attract the best, so we offer competitive compensation and a generous benefits package, including full health insurance (medical, dental and vision), 401(k), life insurance, disability and the opportunity to participate in a company incentive plan.

What you’ll do on a typical day:
Design, install, configure, support and manage SQL servers and databases in clustered and standalone environments
Identify and resolve performance problems within the databases and operating systems
Work closely with our Development Teams, offering best practices for optimal code development
Implement database backup and recovery configurations that meet/exceed our customer specifications
Perform upgrades and patches to SQL server databases
Proactively manage database support issues and take corrective actions
What you need to succeed at XPO:
At a minimum, you’ll need:
Bachelor’s degree in Computer Science or Engineering
5 years of database administration experience with SQL Server (version 2012 minimum)
An understanding of Microsoft Server Operating Systems
Experience with SQL server clustering, availability groups, replication and log shipping
SSAS, SSIS and SSRS experience
Expert capabilities in SQL server performance tuning and query
Experience using monitoring tools and setting proper alerting thresholds
Strong understanding of relational data modeling
Expert knowledge in T-SQL
It’d be great if you also have:
Master’s degree in Computer Science or Engineering
Microsoft certifications
Experience with SQL Server on Linux Operating Systems
Some experience with versions of SQL Server above version 2012
Microsoft Azure experience
OLAP cubes and MDX development experience
Be part of something big.

XPO is a leading provider of cutting-edge supply chain solutions to the most successful companies in the world. We help our customers manage their goods most efficiently using our technology and services. Our greatest strength is our global team – energetic, innovative people of all experience levels and talents who make XPO a great place to work.

We are proud to be an Equal Opportunity/Affirmative Action employer. Qualified applicants will receive consideration for employment without regard to race, sex, disability, veteran or other protected status.

The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed."
