,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"System Administrator, Linux","Austin, TX 78772",Austin,TX,78772,None Found,"Bachelor’s in computer science, electronics engineering or other engineering or technical discipline is required with five (5) years Linux experience with strong Linux provisioning of servers in large data center environment. Eight (8) years of additional relevant experience may be substituted for education.","
Automation Tools: Ansible & Puppet
Red Hat Linux 6&7
GitHub Version Control
Python
AWS or Azure","Contractor will follow procedures to ensure tasks/deliverables are turned around in a timely manner.
Perform duties working with a small, geographically dispersed team. Communicate via phone, email, and instant message to coordinate tasks, ask for or offer advice etc.
Monitor overlapping ticketing and scheduling systems to resolve incidents, complete change orders etc.
Perform the following tasks on RedHat 6 and 7 servers:
Provision operating systems on new standalone or virtual servers using automated tools (kickstart)
Install firmware upgrades as needed to resolve issues or on an annual basis, whichever occurs first.
Automation/configuration management using Puppet/ Ansible / Red Hat Satellite Server / OpenShift / CA PAM
Monitor and maintain system accounting files and logs and system error logs.
Implement monthly security hardening requirements and configurations to remediate security vulnerabilities listed in security audit and scan vulnerability reports; remediation must be accomplished within the timeframe defined in the report. Timeframes to remediate are based on the severity level of the finding, high 60 days, medium 90 days, and low 120 days.
Create and maintain local Standard Operating Procedures (SOPs) related to daily Linux system administration related functions.
",None Found,None Found,"Current opening in Austin Information Technology Center (AITC) for a Linux System Administrator, Senior supporting RedHat Linux within the Veteran's Administration (VA) Office of Information Technology (OIT). This is an advanced opportunity to use your Linux Operating System knowledge and skills to support the VA Infrastructure Operations (IO) and IOSS initiatives.
Primary Responsibilities
The candidate shall provide operating system in a 24 x 7 x 365 environment (except for Federal holidays where support will be provided on a call back basis) for Red Hat Linux 6 and 7. The candidate shall provide system administration activities and immediate troubleshooting efforts when contacted by the Service Desk to ensure outages or incidents are resolved as quickly as possible Work collaboratively with AITC customers and partners, end users, programmers and analysts, Database Administrators (DBAs), and application and network administrators.
Contractor will follow procedures to ensure tasks/deliverables are turned around in a timely manner.
Perform duties working with a small, geographically dispersed team. Communicate via phone, email, and instant message to coordinate tasks, ask for or offer advice etc.
Monitor overlapping ticketing and scheduling systems to resolve incidents, complete change orders etc.
Perform the following tasks on RedHat 6 and 7 servers:
Provision operating systems on new standalone or virtual servers using automated tools (kickstart)
Install firmware upgrades as needed to resolve issues or on an annual basis, whichever occurs first.
Automation/configuration management using Puppet/ Ansible / Red Hat Satellite Server / OpenShift / CA PAM
Monitor and maintain system accounting files and logs and system error logs.
Implement monthly security hardening requirements and configurations to remediate security vulnerabilities listed in security audit and scan vulnerability reports; remediation must be accomplished within the timeframe defined in the report. Timeframes to remediate are based on the severity level of the finding, high 60 days, medium 90 days, and low 120 days.
Create and maintain local Standard Operating Procedures (SOPs) related to daily Linux system administration related functions.
Troubleshoot incidents and problems
Perform troubleshooting / fault isolation teams to determine problem or issue.
Contact vendor maintenance/support?s lines and open a case after 30 minutes of researching problems without success in resolving the issue.
Correct OS related incidents and problems during coordinated maintenance windows or immediately in the case where system is down.
General Activities
Perform ITOPS support activities such as Disaster Recovery, data replication, infrastructure support activities such as documentation, develop architectural diagrams, and troubleshoot performance issues.
Track and document all system changes, problems, issues, and work tasks within ServiceNow through change orders, service requests, incident and/or problem tickets.
Communicate to project managers, team members, other technical administrators and/or end users the status and findings with tickets, incidents, and problems.

Basic Qualifications:
Bachelor’s in computer science, electronics engineering or other engineering or technical discipline is required with five (5) years Linux experience with strong Linux provisioning of servers in large data center environment. Eight (8) years of additional relevant experience may be substituted for education.
Required Skills:
Automation Tools: Ansible & Puppet
Red Hat Linux 6&7
GitHub Version Control
Python
AWS or Azure
Tools Knowledge: BigFix Remote Control, CA Service Desk Manager ticketing system, ServiceNOW ticketing system, Microsoft Office 365 Suite, Skype for Business"
1,Mac Systems Administrator Trainee,"Austin, TX 78701",Austin,TX,78701,None Found,"PPO type health insurance for full-time employees. Dental, vision, and life available.
Accidental death and dismemberment insurance
Six paid holidays
Flexible work schedule
Business casual dress
Ultra-filtered AC system and water fountain
a location 5 blocks from UT and two blocks from the Museum District bus stop, well-served by bus routes. Note bus-stop icon on map at 16th and Guadalupe streets.
Onsite parking
Support of the City’s Green Choice Renewable Energy Program
Mac work computers
",None Found,None Found,None Found,None Found,"In this job, you'll be part of a small team supporting about 30 OS X Macs and Mac servers (firewalls, and web, mail, and database servers) and two PCs at two offices near UT.

We use wiki style IT documentation, training, and project management. Based on your skills, you're likely also to work on database development, system design, security, troubleshooting for users, expansion of our website, and maintenance.

Qualifications
It's helpful if you have experience with some of the following: OS X and OS X Server, scripting languages (such as AppleScript, PHP, Ruby/Rails, JavaScript) and programming languages (such as Java, C++), and computer security. However, we can provide training to anyone who has high analytical aptitude and is planning to stay long-term. Please explain any experience or interest in these areas on your application.

Any of these abilities will be a plus: database design (such as FileMaker Pro), web design or development of dynamic or ecommerce websites, SEO, project management, technical writing.

Hours
This position can be part-time or full-time. Schedule can be 18-40 hours a week, between the hours of 8 a.m. and 5:30 p.m. This position is on-call after hours (rare incidents).

Pay
Pay is dependent on experience. Please specify your pay requirements on your application.

How to apply
Apply via our application by clicking here.
Benefits
PPO type health insurance for full-time employees. Dental, vision, and life available.
Accidental death and dismemberment insurance
Six paid holidays
Flexible work schedule
Business casual dress
Ultra-filtered AC system and water fountain
a location 5 blocks from UT and two blocks from the Museum District bus stop, well-served by bus routes. Note bus-stop icon on map at 16th and Guadalupe streets.
Onsite parking
Support of the City’s Green Choice Renewable Energy Program
Mac work computers
Positive work environment
Lawyer's Aid Service, Inc., is a small, stable company of about 15 full-timers and part-timers. It’s never had a layoff. About a quarter are students.We aim for a workplace that is positive and cooperative, with a friendly team spirit.

Flexible schedules
You can request a switch between full-time and part-time and request a change in your schedule if part-time. Schedules are 18-40 hours a week except where noted. Part-time scheduling is between 9:00 a.m. and 5:30 p.m.
One central location next to UT
Lawyer's Aid Service's office is located in Austin, Texas at 505 West 15th Street, between Nueces and San Antonio. UT and ACC Rio Grande students who work here find it easy to park at work, walk to class, and then walk back to work.

Apply via our application by clicking here."
2,HMIS Assistant,"Austin, TX 78701",Austin,TX,78701,None Found,High school diploma or equivalent1 year HMIS/ServicePoint experienceProficient in the use of Microsoft Office products on a PC platformAbility to problem solveStrong organizational skillsAdept at performing multiple tasks at once and detail-orientedAbility to perform job duties without direct supervisionStrong communication skills (verbal and written)Strong organizational and time management skillsAbility to work in a high stress environmentCurrent First Aid and CPR/AED Certifications (or ability to obtain certification within 30 days of hire)Knowledge of the Front Steps Employee HandbookKnowledge of the ARCH Shelter Standard Operating ProceduresReliable transportationValid Texas driver’s licenseAbility to lift a minimum of 50 lbs.,"2 year college degreeExperience working with the homeless or closely related population, highly preferredExperience working with Austin’s social services community partnersBilingual (English and Spanish and/or American Sign Language)",Filing.Entering Data from assigned Data Sheets into HMIS.Correcting Data in HMIS.Helping to build Missing Data sheets from Daily Unit Reports.Creating Entries for clients who did not have required entries created by Intake or CSS staff.Creating Exits for clients who have not received services in the past 30 days.Perform Annual Assessments as needed and able.Assist HMIS Administrator with CSS trainings.Run Daily Unit Report to verify paper logs were entered into HMIS properly.Assist with management of Daily Unit Report Corrections sheets.Assist HMIS Administrator in other assigned tasks.,None Found,None Found,"Position Summary:

The primary duty of the HMIS Assistant is to assist the HMIS Administrator in maintaining the accuracy and integrity of the required data collection for clients receiving services. This data will be maintained in a Homeless Management Information System (HMIS) database mandated by contract(s) with the city and other funding sources; the HMIS Assistant will assist the HMIS Administrator in ongoing maintenance and updates to the database. The HMIS Assistant will also be responsible for assisting HMIS Administrator with maintenance of necessary files as required by our funding sources.

Duties, Functions, and Responsibilities:

Filing.Entering Data from assigned Data Sheets into HMIS.Correcting Data in HMIS.Helping to build Missing Data sheets from Daily Unit Reports.Creating Entries for clients who did not have required entries created by Intake or CSS staff.Creating Exits for clients who have not received services in the past 30 days.Perform Annual Assessments as needed and able.Assist HMIS Administrator with CSS trainings.Run Daily Unit Report to verify paper logs were entered into HMIS properly.Assist with management of Daily Unit Report Corrections sheets.Assist HMIS Administrator in other assigned tasks.

Minimum Qualifications:

High school diploma or equivalent1 year HMIS/ServicePoint experienceProficient in the use of Microsoft Office products on a PC platformAbility to problem solveStrong organizational skillsAdept at performing multiple tasks at once and detail-orientedAbility to perform job duties without direct supervisionStrong communication skills (verbal and written)Strong organizational and time management skillsAbility to work in a high stress environmentCurrent First Aid and CPR/AED Certifications (or ability to obtain certification within 30 days of hire)Knowledge of the Front Steps Employee HandbookKnowledge of the ARCH Shelter Standard Operating ProceduresReliable transportationValid Texas driver’s licenseAbility to lift a minimum of 50 lbs.

Preferred Knowledge, Skills and Abilities:

2 year college degreeExperience working with the homeless or closely related population, highly preferredExperience working with Austin’s social services community partnersBilingual (English and Spanish and/or American Sign Language)"
3,Programmer Analyst/Network Analyst/Database Administrators,"Round Rock, TX",Round Rock,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Aryasai Inc, seeks Programmer Analyst/Network Analyst/Database Administrator. Must have minimum of Bachelor's degree in computer science, electrical engineer equivalent. Combination of education and experience acceptable. Must be willing to relocate throughout US. Contact: hr@aryasaiinc.com Tel: 925-222-5348, Fax: 888 884 7754.

Email your resume to hr@aryasaiinc.com"
4,Senior Database Engineer,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,"
5+ years of experience as a production environment Database Developer or Database Architect.
Experience with MySQL NoSQL, Amazon RDS or similar cloud offerings, MongoDB & MongoDB Atlasor in a SaaS environment.
In depth knowledge of MySQL Server databases, including experience working with transactional replication, performance tuning and optimization.
Experience with database backup and restore, disaster recovery and security.
Advanced knowledge of the MySQL and Mongodb engines for performance tuning and optimization.
Ability to optimize complex queries to achieve sub-millisecond performance gains through query benchmarking.
Expert knowledge of database design concepts, stored procedures, triggers, and views.
Experience with monitoring tools and troubleshooting database performance issues.
Ability to install and configure new server instances and upgrade existing ones in a cloud environment.
Test backups to ensure the business' Recovery Time Objectives are met.
Manage DDL scripts for multiple environments DEV/UAT/PROD.
Manage schema update, rollback and other operational activities with minimal to no downtime.
General ability to support and optimize advanced and complex queries.
Experience with Flyway or similar database migration tooling.","Moogsoft is the creator of Moogsoft AIOps - a next generation approach to IT Operations and Analytics driven by real-time machine learning. Moogsoft AIOps helps Enterprises & Service Providers deliver consistently excellent customer experiences, regardless of the underlying complexity or dynamic nature of the supporting infrastructure. Companies like Yahoo! and GoDaddy are leveraging Moogsoft today to reduce operational noise and correlate events across all their applications, network, infrastructure, and social media to gain actionable service insights and detect and resolve incidents faster than ever before.

We are seeking a talented Senior Database Architect to help indesigning and developing database schemas, performing database performance profiling, and provide implementation guidance to developers in a multi-platform environment leveraging both RDMS & NoSQL solutions such as MySQL and MongoDB. As part of our engineering team, you will be given autonomy to lead critical features for our SaaS offering.
What You’ll Do
As a Senior Database Engineer, you will be responsible for providing operational and development support services for the MySQL and MongoDB SaaS environments.
Design and implement effective database solutions and models to store and retrieve company & customer data.
Examine and identify database structural necessities by evaluating client operations, applications, and programming.
Assess database implementation procedures to ensure they comply with internal and external regulations.
Install and organize information systems to guarantee company functionality,
Prepare accurate database design and architecture reports for management and executive teams.
Oversee the migration of data from legacy systems to new solutions.
Monitor the system performance by performing regular tests, troubleshooting and integrating new features.
Recommend solutions to improve new and existing database systems.
Educate staff members through training and individual support.
Offer support by responding to system problems in a timely manner.
Requirements
5+ years of experience as a production environment Database Developer or Database Architect.
Experience with MySQL NoSQL, Amazon RDS or similar cloud offerings, MongoDB & MongoDB Atlasor in a SaaS environment.
In depth knowledge of MySQL Server databases, including experience working with transactional replication, performance tuning and optimization.
Experience with database backup and restore, disaster recovery and security.
Advanced knowledge of the MySQL and Mongodb engines for performance tuning and optimization.
Ability to optimize complex queries to achieve sub-millisecond performance gains through query benchmarking.
Expert knowledge of database design concepts, stored procedures, triggers, and views.
Experience with monitoring tools and troubleshooting database performance issues.
Ability to install and configure new server instances and upgrade existing ones in a cloud environment.
Test backups to ensure the business' Recovery Time Objectives are met.
Manage DDL scripts for multiple environments DEV/UAT/PROD.
Manage schema update, rollback and other operational activities with minimal to no downtime.
General ability to support and optimize advanced and complex queries.
Experience with Flyway or similar database migration tooling.
Moogsoft Perks and Benefits:
Unlimited vacation and sick day policy
Competitive salary, 401(k) plan and equity to all employee
Attractive benefits package including health and dental coverage
Fully stocked kitchen and catered meals
Opportunity for career development in a fast-paced, progressive company
Team volunteering events and off-site outings
Corporate sports teams – bring your A-game, we like to win!
Game room equipped with ping pong, foosball and darts"
5,Entry Level Accenture Infrastructure Advisory Analyst,"Austin, TX 78727",Austin,TX,78727,None Found,None Found,None Found,None Found,None Found,None Found,"We are:

Accenture Technology, the people who deliver the services and solutions that power our clients’ businesses. We are technology rainmakers, movers and shakers. Every day, we imagine the impossible and enjoy the thrill of making it happen. We help clients tackle their biggest business problems and unlock growth potential in the cloud. We keep things moving fast with over 200 intelligent cloud tools other groups don’t have. But we’re not stopping there. Since the cloud keeps evolving, our team does too. Which is why we give every cloud member the chance to learn from more than 4,000 certifications to keep on growing and keep on powering intelligent cloud solutions. Visit us here to find out more about Accenture Cloud Services.


You are:

A team player with an entrepreneurial mind. You step up and volunteer to take on challenges to solve technical problems. You're okay starting out with initial theories, but you always drill in quick to test which ideas stand up to the challenges of the real world. You look closely at the way things work and often see a better approach to how it could be done. People depend on your professionalism to see a project through to completion. Emerging technologies and next-generation IT excite you –– and you’re ready to put that passion to work across many different types of client projects.


The work:

Kick-start your career in our training program to learn the latest cloud infrastructure skills
Work closely with clients to come up with a cloud strategy that meets their business needs and help them put a new cloud-based infrastructure into place
Launch into action with a detailed plan to move a client's infrastructure into the cloud quickly – using migration assessments, automated tools and cloud application strategy
Answer any client questions as they radically improve the management of data centers, networks and workplace services within a cloud infrastructure
Build strong, working relationships with technology partners and platforms such as Amazon Web Services, Microsoft Azure, Office 365, Google, Cisco and ServiceNow

Here’s what you need:

Bachelor’s or Master’s Degree in:
Managed Information Systems
Information Technology – e.g., Information Science & Technology, Information Management & Technology, etc.
Computer Engineering
Graduation date by September 2020
Bonus points if you:
Explored (in school courses or work internships) the technical aspects of:
Cloud deployment in Amazon Web Services, Microsoft Azure or Google Cloud
Desktop deployment and migration
Cloud architecture, network operations, database, programming, data analytics, enterprise IT, information systems
Held the title (in school projects or work internships) of:
System engineer or system administrator
Technology systems analyst or management
Keep your skills well-rounded in other areas such as:
Project management
On-campus computer lab/information desk/help desk
IT-related case studies
Student-led consulting group
Volunteer and leadership activities
How to Apply:
Please apply via your campus career center and the Accenture Careers website. In addition to your campus center resume drop, you must complete an online application to be considered for an interview.

After submitting your application, you will receive system-generated acknowledgment(s) from “Human Resources”. Note that this does not mean you have been selected to interview with Accenture. Please refer to your campus career center posting/website to determine whether you have been selected for a first round interview with Accenture.


Important information
Applicants for employment in the US must have work authorization that does not now or in the future require sponsorship of a visa for employment authorization in the United States and with Accenture.

Accenture is an EEO and Affirmative Action Employer of Females/Minorities/Veterans/Individuals with Disabilities.


Equal Employment Opportunity

All employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Job candidates will not be obligated to disclose sealed or expunged records of conviction or arrest as part of the hiring process.

Accenture is committed to providing veteran employment opportunities to our service men and women.

Candidates who are currently employed by a client of Accenture or an affiliated Accenture business may not be eligible for consideration.


About Accenture
Accenture is a leading global professional services company, providing a broad range of services and solutions in strategy, consulting, digital, technology and operations. Combining unmatched experience and specialized skills across more than 40 industries and all business functions – underpinned by the world’s largest delivery network – Accenture works at the intersection of business and technology to help clients improve their performance and create sustainable value for their stakeholders. With more than 435,000 people serving clients in more than 120 countries, Accenture drives innovation to improve the way the world works and lives. Visit us at www.accenture.com."
6,Database Administrator (Higher Ed),"Austin, TX 78746",Austin,TX,78746,None Found,"
4+ years’ experience as DBA
Bachelor’s degree in Computer Science, Information Systems, or equivalent degree
Strong working knowledge of relational database management systems, such as MySQL, PostgreSQL, and MS SQL.
Strong working knowledge of Shell Scripting, Batch Scripting, and Perl Scripting
Strong working knowledge of Linux and Windows Server environments
Experience with remote management and IT automation tools Remote Desktop, Chef, Salt, Ansible, and the CLI
Experience with web analytic technologies
Familiarity with the functionality of Disaster Recovery, Virtualization, and CRM products
Knowledge of private and public Cloud providers
Strong problem-solving ability",None Found,None Found,None Found,None Found,"This position, under the general direction of the Manager and Director, Software Engineering or DevOps, will be responsible for the overall management and maintenance of information databases used to operate IT applications and systems within an agile environment. The DBA partners with application development teams and infrastructure operations to ensure that database performance is not hindered and performance standards adhere to service-level agreements set with the enterprise. This position is with PeopleAdmin, a PowerSchool Company.

Essential duties and responsibilities include the following. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Responsible for execution of day to day tasks related to monitoring and managing relational database management systems
Performs root cause analysis on trended database incidents, performance tuning and major outages up through the application stack
Develops automation that can trigger off a variety of industry standard monitoring tools to resolve common issues in the environment or maintain operating levels
Contributes to the design of scaling the management of an enterprise database environment including high availability deployment, pluggable databases, encryption and more
Specifies proper types of files organization, indexing methods, and security procedures
Advises project teams on the design of moderately complex databases
Defines specialized aspects of user’s data base administration documentation
Develops backup and archival policies and procedures
Configures storage systems software to meet requirements
Implements software solutions for performance enhancement, operator interface, and increased user capability
Other duties as assigned
Qualifications include:

4+ years’ experience as DBA
Bachelor’s degree in Computer Science, Information Systems, or equivalent degree
Strong working knowledge of relational database management systems, such as MySQL, PostgreSQL, and MS SQL.
Strong working knowledge of Shell Scripting, Batch Scripting, and Perl Scripting
Strong working knowledge of Linux and Windows Server environments
Experience with remote management and IT automation tools Remote Desktop, Chef, Salt, Ansible, and the CLI
Experience with web analytic technologies
Familiarity with the functionality of Disaster Recovery, Virtualization, and CRM products
Knowledge of private and public Cloud providers
Strong problem-solving ability"
7,ERP Administrator,"Austin, TX 78701",Austin,TX,78701,None Found,None Found,"
Report writing
Database management
Installation experience with various applications/modules
Microsoft - SharePoint and Office
Experience with Microsoft SQL server",None Found,None Found,None Found,"USA Compression Management Services, LLC, together with its affiliated public company (USA Compression Partners, LP) and its respective affiliates (the “Company”), provides natural gas compression services throughout the United States, generally under long-term, fixed fee services contracts. We are one of the largest independent providers of compression services in the United States and we owe our success to our employees as well as our customers. Our successes in the past have been, and in the future will be, centered primarily upon the quality of our personnel and our strong commitment to service for our customers on a 24/7/365 basis. This position is based at our corporate office in beautiful downtown Austin. Our office overlooks Lady Bird Lake and the famous Congress Street Bridge (Bat Bridge), and is centrally located to all that is hip and cool in downtown Austin.


To learn more about the Company, please see our public filings at http://investors.usacompression.com/phoenix.zhtml?c=248195&p=irol-sec

Position Summary

The ERP Administrator is responsible for the day-to-day processing of the ERP system applications. Uses working and technical knowledge of ERP Systems and databases to evaluate issues and effect solutions. The employee will work closely with ERP Manager, Accounting and Operations personnel to promote accuracy and consistency of data concerning the financial, operations and inventory systems.

Knowledge & Experience required

Bachelor’s degree, preferably in business, accounting or a related field
3-5 years ERP software and/or implementation experience
1-3 years of active Microsoft Dynamics GP experience
Microsoft SQL experience
Ability to read and interpret accounting/financial documents
Strong ability to write effective reports and correspondence
SSRS report writing experience preferred
Thorough understanding of software applications including but not limited to Dynamics GP
Understanding of Microsoft SQL Server, SharePoint, Word, Excel and PowerPoint
Background in accounting, finance, business preferred
Previous experience with Dynamics GP Integration Manager and SmartList Builder a plus
Previous experience installing and configuring Dynamics GP add-on software such as Encore Subscription Billing, Rockton Smartfill, Smartpost, and GP Toolbox, FastPath ConfigAD and Audit View, Nolan Intercompany, Greenshades, Mekorma Check Printing and KeyOnce a plus
Job Duties

Daily monitoring of System Health Analysis and remediation issues brought to light
Daily reconciliation of data between data between ERP applications
Works with ERP Manager and employees to troubleshoot issues in financial, inventory and operations software platforms
Application requirements collection, configuration, testing, and training
Data analysis, dashboard and report building
Development of training material (where required or requested)
Where necessary, assistance delivering training
ERP Systems user access administration
Works with Accounting and Supply Chain Management to preform required month-end processing
Support relative to server and application maintenance
All other duties as assigned


Computer Skills

Report writing
Database management
Installation experience with various applications/modules
Microsoft - SharePoint and Office
Experience with Microsoft SQL server"
8,Warranty Administrator,"Round Rock, TX 78681",Round Rock,TX,78681,None Found,None Found,None Found,None Found,None Found,None Found,"SUMMARY
Administer and resolve after market warranty issues on all motors manufactured for and by TECO-WMC in Round Rock and Taiwan. Additionally, the Warranty Administrators are required to review drawings and factory test reports in order to support customers with technical questions related to the maintenance and performance of motors.
ESSENTIAL DUTIES AND RESPONSIBILITIES include the following. Other duties may be assigned:
Enforce contractual warranty terms and conditions.
Identify, collect and resolve field problems through coordination of appropriate TWMC personnel and/or outside organizations.
As required, establish daily contact with all levels of TWMC: Field Sales, Contracts, Engineering, Marketing, Factory Operations, Service Division, Traffic, Accounting and Treasury.
Research warranty claims in order to justify cost and determine where cost should be allocated.
Read TWMC drawings and wiring diagrams in order to support customers and subcontractors with information needed in the repair of electric motors.
Review test performance data and process specifications to support customers and subcontractors with information needed in the repair of electric motors.
Coordinate field coverage for inspection and/or repairs of motors through factory personnel or outside consultants.
Provide guidance to customers on advisability of making repairs in field or sending motor to local shop or feasibility of returning motor to TWMC to repair.
Negotiate with repairs shops on work to be performed in the field or in the shop and monitor scope and cost of field work performed by customer, contractor or agents.
Coordinate with customer return of motors to TWMC for repairs when necessary. Work with Factory Operations and Service Division to resolve warranty issues on these motors and follow through to completion.
Issue requisitions for materials required to resolve field problems and follow to completion.
Coordinate the shipment of ship-short items, installation of items at customer site and closing the EAN.
On warranty parts: request and obtain parts, have them inspected and shipped to the field. If needed contract outside source to install at customer site.
Coordinate and communicate with factory operations on repairs or other corrective actions required at the factory in Round Rock and Taiwan.
Update and post Field Assistance Report (FAR) Database records.
Travel to installation sites to investigate and/or resolve field problems.
Regular attendance is an essential function of this position.
Compliance with applicable Company policies concerning maintaining a drug free workplace is required.
Compliance with all Company policies is required, including adherence to Company ISO 9001 Standards and compliance with Company Affirmative Action Plan and Company Safety procedures.
Incorporate the Standards of Excellence as outlined by TWMC (Pride, Desire, Teamwork, Attention to Detail, Follow-through) into daily activities in order to create a Total Quality environment through personal commitment to excellence.
Other functions as required (non-essential functions).
QUALIFICATIONS To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
EDUCATION and/or EXPERIENCE
Bachelor's degree (B. A.) from four-year college or university, preferred; or two to four years related experience and/or training in motor manufacturing or motor repair service industry; or equivalent combination of education and experience.
Computer knowledge required. Microsoft Office proficiency is a must.
OTHER SKILLS AND ABILITIES
Knowledge of design, application, manufacturing and customer industry practices and requirements.
General knowledge of the industrial, fossil and nuclear power generation industry.
Good communication skills
Computer experience necessary - Word processing, Excel, Access
Capability of learning Syteline and other programs associated with job
LANGUAGE SKILLS
Ability to read and write legibly in English; bilingual (Spanish) would be an asset but not a requirement.
Ability to read, analyze, and interpret common scientific and technical journals, financial reports, and legal documents. Ability to respond to common inquiries or complaints from customers, regulatory agencies, or members of the business community. Ability to effectively present information to top management, public groups, and/or boards of directors.
MATHEMATICAL SKILLS
Ability to apply mathematical operations to such tasks as frequency distribution, determination of test reliability and validity, analysis of variance, correlation techniques, sampling theory, and factor analysis.
REASONING ABILITY
Ability to apply common sense understanding to carry out instructions furnished in written, oral, or diagram form. Ability to deal with problems involving several concrete variables in standardized situations.
PHYSICAL DEMANDS The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly required to walk; use hands to finger, handle, or feel; reach with hands and arms; stoop, kneel, crouch, or crawl; and talk or hear. The employee frequently is required to stand and sit. The employee must regularly lift and/or move up to 10 pounds and occasionally lift and/or move up to 100 pounds. Specific vision abilities required by this job include close vision, distance vision, color vision, peripheral vision, depth perception, and ability to adjust focus.
WORK ENVIRONMENT The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
While performing the duties of this job, the employee is regularly exposed to vibration and noise. The employee is frequently exposed to moving parts and risk of electrical shock. The employee may be occasionally exposed to wet and/or humid conditions; high precarious places; fumes or airborne particles; outside weather conditions; extreme cold; and extreme heat when traveling. The noise level in the office work environment is usually moderate.
MANAGEMENT DISCLAIMER TECO-Westinghouse Motor Company's (TWMC) Management reserves the right to revise, change or modify the duties and responsibilities of this position at any time to meet business and organizational needs. This position description may not list all duties for this position. The incumbent in the position may be asked to perform other duties. This position description is not a contract for employment and either the incumbent or TWMC may terminate employment at any time, for any reason."
9,Site Reliability Engineer (SRE) - Product Engineering Systems,"Austin, TX 78758",Austin,TX,78758,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Oct 2, 2019
Weekly Hours: 40
Role Number: 200085223
Imagine what you could do here. At Apple, great ideas have a way of becoming great products, services, and customer experiences very quickly. Bring passion and dedication to your job and there's no telling what you could accomplish.
The Site Reliability Engineer (SRE) position requires a mix of strategic engineering and design along with hands-on, technical work. A successful candidate will have experience in being a Systems Administrator that has moved on to DevOps/Automation in their career. The SRE will configure, tune, and troubleshoot multi-tiered systems to achieve optimal application performance, stability and availability. The SRE will work closely with the systems engineers, network engineers, database administrators, developers, quality assurance, and information security team. For this position, strict application security and high availability requirements must be balanced to achieve optimal solutions.
Key Qualifications
5+ years of managing services in a large scale *nix environment
Good understanding of Java and ability to analyze issues and solve complex problems across large ecosystems
Practical knowledge of shell scripting and at least one scripting language (I.e. Perl, Python, Ruby)
Experience with DevOps tools, processes, and culture. Experience with Puppet, Chef or Ansible is a plus
A systematic, test-and-measure approach to continually improving service operations
Understanding of standard networking protocols and components such as: HTTP, DNS, TCP/IP, ICMP and Load Balancing.
Experience with configuration management tools
Experience in Databases & SQL
Strong hands-on knowledge in Unix/Linux environment
Track record of practical problem solving, excellent communication, and documentation skills
Experience with monitoring tools such as Nagios, Splunk highly preferred.
Understanding of cryptography is a plus
Description
The successful candidate will be highly self-motivated with a passion for excellence, quality and detail. The SRE will not only support operations, but also work closely with the development engineers within the team to aid in architectural design and assist with the implementation of complex features.
Responsibilities of the SRE include the following:
- Passion for quality and automation, an ability to understand complex systems and a desire to constantly make things better.
 - Determine optimal configurations for application software, application servers, database connections and indexes, HSM drivers, etc.
- Develop and maintain scripts used for environment monitoring and task automation (Perl, Shell, Python, Ruby, etc.)
- Deploy, support and monitor new platforms and application stacks
- Set priorities and work efficiently in a fast-paced environment
- Measure and optimize system performance
- Plan and manage capacity of the systems
- Explore and evaluate new technologies and solutions to push the capabilities forward, getting ahead of customers’ needs, innovate and continually improve
- Strong communication skills and ability to work effectively across multiple business and technical teams
- Demonstrate ability to deliver results on time with high quality
Education & Experience
BS in engineering, computer science or other technical disciplines plus 5 years of related experience"
