,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Director – Systems Engineering + IT,"Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We are North America’s leading security services provider with over 200,000 phenomenal employees. At Allied Universal, we pride ourselves on fostering a promote from within culture. There are countless examples of individuals who began their career as Security Professionals and today hold positions on our senior leadership team. In fact, over 65% of our managerial positions are filled by internal candidates.
For all full-time positions, we offer medical, dental and vision coverage, life insurance, 401K, employee assistance programs, company discounts, perks and more! We also offer part-time and flexible schedules!
Start your phenomenal career with Allied Universal today!
This position is responsible for the system engineering and integrated technologies management for the monitoring and response center (MaRC). Proposes budgets for new and existing programs and project purchases and equipment upgrades. Supervises engineers and IT employees and presides over IT-related projects. Helps establish and directs the strategic long-term goals, policies and procedures for our integrated information technology department. Manages our organization's long-term systems needs and hardware acquisitions needed to successfully accomplish the organization's business objectives. Provide technological guidance within the organization.
ESSENTIAL JOB DUTIES AND RESPONSIBILITIES: Those duties necessary to meet the minimum requirements of the position. Other duties may be assigned:
Supervises information systems and communications network.
Develop and implement a customer service platform to serve the organization in every aspect.
Design, establish, and maintain a network infrastructure for local and wide area connectivity and remote access.
Consult with administration, department managers, and manufacturing representatives to exchange information, present new approaches, and to discuss equipment/system changes.
Participate in vendor contract negotiations for all new computer equipment and software purchased for the corporation.
Create a cost-benefit analysis as well as supporting a detailed definition of data requirements and departmental workflows.
Oversee Internet and computer operations.
Manages the day-to-day operations of the information technology department including directing staff, who support administrative computing, networking, user services, telecommunications and other information technology functions.
Assess and anticipate technology projects and recommend appropriate action and resources.
Establish and direct the strategic and tactical goals, policies, and procedures for the information technology department.
Propose hardware/software solutions to accomplish the company's business objectives.
Identify user needs and resolve problems.
QUALIFICATIONS: To perform this job successfully, the individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skills, and/or experience required. Reasonable accommodation may be made to enable individuals with disabilities to perform the essential functions.
High school diploma or equivalent required.
10+ years of related experience in information technology in a corporate business environment. Supporting multiple locations and levels within an organization. Experience within a central alarm station and or security operations center is a plus.
Must have database management, Firewall, and VMWare server cluster farm and IP telephony administration experience.
Ability to demonstrate expertise in a variety of the field's concepts, practices, and procedures.
Relies on extensive experience and judgment to plan and accomplish goals.
Must have network administrator, integrated platforms, and streaming video network infrastructure experience.
Experience with Jupiter and AMX is a plus.
Ability to lead and direct the work of others.
A wide degree of creativity and latitude is expected
Experience in computer hardware and software maintenance and repair, including the ability to replace or upgrade all internal components of a computer required.
Ability to support PC’s, Mac’s, Servers, Routers, Switches, Phones, faxes and related hardware required.
Proficient in the installation, configuration and use of all MS Operating Systems.
Must be highly proficient and fully functional in all Microsoft Office applications and able to effectively utilize all available office management technology including Smart Phones, Outlook and internet applications.
Professional, articulate and able to use good independent judgment and discretion. Must have proven ability to maintain correspondence, discussions and materials in strictest confidence. Must be able to work overtime as needed.
Outstanding verbal and written communication skills required with the ability to successfully interact at all levels of the organization while functioning as a team player.
PHYSICAL/MENTAL REQUIREMENTS AND WORKING ENVIRONMENT:
While performing the duties of this job, the employee is regularly required to use both hands, is frequently required to stand, sit, stoop, talk and hear (communicate verbally in person and via telephone), and be able to read computer screen, correspondence and reports. The employee must occasionally walk and reach with hands and arms. The employee may occasionally lift and/or move up to 15+ pounds. The employee must be able to concentrate on details, work under deadline pressures, apply sound logic and judgment, and prioritize tasks and responsibilities. The job is generally performed in an office environment. The ambient noise level is usually quiet, consisting of normal conversations, business machines (copiers, printers, etc.) and telephones.
Allied Universal provides unparalleled service, systems and solutions to the people and business of our communities, and is North America’s leading security services provider. With over 200,000 employees, Allied Universal delivers high-quality, tailored solutions, which allows clients to focus on their core business. For more information: www.AUS.com.

We proudly support the Veteran Jobs Mission, a group of over 200 companies that have committed to collectively hiring a total of one million military veterans. EOE/Minorities/Females/Vet/Disability Allied Universal Services is an Equal Opportunity Employer committed to hiring a diverse workforce."
1,Database Administrator,"Dallas, TX 75234",Dallas,TX,75234,None Found,None Found,None Found,None Found,None Found,None Found,"OPENING STATUS : Open
1. An H-1B nonimmigrant worker is being sought by Avant Systems through the filing of a Labor Condition Application with the Employment and Training Administration of the U.S. Department of Labor.
2. One such worker is being sought.
3. This worker is being sought as a Database Administrator
4. A wage of $96,470.00 per year is being offered to this worker.
5. The period of employment for which this worker is sought is January 1, 2020 to December 31, 2020.
6. The employment will occur at the following addresses:
a. 2400 Western Center Blvd, Ft. Worth, TX 76131.

7. The Labor Condition Application is available for public inspection at the offices of
Avant Systems,12200 Ford Road, Suite A301, Dallas, TX 75234.
Complaints alleging misrepresentation of material facts in the labor condition application and/or failure to comply with the terms of the Labor
Condition Application may be filed with any office of the Wage and Hour Division of the United States Department of Labor.
Pursuant to 8 CFR 655.734(a)(1)(ii)(B), I certify that this Notice of Filing of a Labor Condition Application was posted on Avant’s company website"
2,Lease Administrator,"Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"START DATE
Immediate
LOCATION
Dallas TX
DESCRIPTION
Cresa’s Lease Administration office is seeking a self-motivated Lease Administration to join our growing team. The Lease Administrator is responsible for the accuracy of the database information, timeliness of reporting internally and the facilitation of the day to day workflow requirements between the Portfolio Coordinator and the Account Manager. This person shall administer the normal, daily operations for the Client account.
ResponsibilitiesWorkflow Processing (Edit & Maintain Accuracy of Processed By; Dates; Processing Note; Process Stage Fields)Document Processing (Abstracting & D/E of New Leases, Change Forms etc)Identify invoices that do/do not match the rent forecast & resolve exceptionsRun & Prepare Monthly Reporting including Executive Summary except Narrative/Rent Forecasts/Funds RequestsUpdate Database Using Quality Assurance Reporting Revised by the Account Manager and/or self-performedAdvise Account Managers of Account Status via Weekly Bin Tie Out and Document Tracking toolsParticipate in and complete project work as assignedComplete CPI/Prorated Rent adjustments & Estoppel Reviews
Education, Training, & ExperienceBachelor’s degree from a four-year college or university or one to two years related experience and/or training; or equivalent combination of education and experience.Two – four years related work experienceStrong financial, analytical, organizational, interpersonal and communication skillsAbility to understand and interpret complex commercial lease languageProficiency in Microsoft Office Suite"
3,Hadoop Database Administrator,"Irving, TX 75039",Irving,TX,75039,None Found,None Found,None Found,None Found,None Found,None Found,"Looking for Hadoop Administrators who will administer, test, and implement Big Data NoSQL Ecosystem databases with Hadoop, Hive, Flume and YARN. Work on modifying and updating existing HDFS databases to the business needs of the clients using Hive queries and to analyze complex data. Will be involved with Spark SQL, Cloudera, SQL Server and MongoDB. Individual will work with leads to design and develop tasks with HBase and Hive, database security administration, data replication and Hadoop cluster administration. One should ensure data security and conduct data backup and restore strategies and design disaster recovery strategies. Bachelors or equivalent in CS or related field and relevant experience. Travel required to unanticipated work sites.
Send resume to jobs@elantecs.com and select job # 20181103."
4,Sr. Real Estate Administrator,"Dallas, TX 75225",Dallas,TX,75225,None Found,None Found,None Found,None Found,None Found,None Found,"POSITION BRIEF
Responsible for acting as a point of contact for facilitating administrative solutions between clients’ departments such as real estate/accounting/legal and landlords/tenants/vendors; maintaining the real estate administration database, including property abstracting, reconciling operating expenses, authorizing payments and reporting.
PRINCIPAL RESPONSIBILITIES
Reviews and abstracts leases - processes and maintains all pertinent data in the SRS lease administration real estate and transaction tracking databases
Monitors lease expirations and options, and collaborates with internal and external real estate managers and brokers to collectively respond to clients’ real estate needs
Processes simple lease renewals and terminations
Conducts “desk audits” to reconcile and process all landlord and vendor recurring and one-time payments, rent roll changes, end-of-year, Consumer Price Index or percentage rent adjustments
Reconciles and processes all tenant invoices for rent, operating expenses and year-end or Consumer Price Index adjustments
Administers subleases by reviewing the subleases for pertinent information, invoicing the subtenants, collecting sublease income, forwarding sublease income to accounts receivable, and sending out delinquent rent notices on unpaid balances
Facilitates estoppels, subordination, non-disturbance and attornment agreements, assignments, insurance certificates, lease renewal and termination notifications, as well as other miscellaneous real estate administration requirements
Generates standard and develops ad hoc reports utilizing the real estate administration database report writing software
Recommends and initiates procedural enhancements for the standard real estate administration process manual to more efficiently and effectively service SRS lease administration clients
Performs other related duties as assigned
QUALIFICATIONS
College degree helpful but not required
Multiple opportunities available - Entry level (training will be provided) and Mid-level for both full lease administration as well as CAM Audit only
Strong organizational, interpersonal and communication skills
Thorough working knowledge of Microsoft Word and Excel
Property Accounting experience helpful but not required
Preferred five plus years of experience with Lease Administration software applications such as Harbor Flex, CoStar (Virtual Premise), Visual Lease, Tririga
Database or related report writing experience preferred
Lives the SRS-Cresa values of integrity, respect for others, teamwork, balanced lifestyles and principled leadership"
5,DataBase Administrator(DBA),"Dallas, TX 75240",Dallas,TX,75240,None Found,None Found,None Found,None Found,None Found,None Found,"JOB TITLE:DataBase Administrator(DBA)

iPlanner, Inc. has multiple openings for Database Administrators (Job Code DBA) to work in Dallas, TX and various unanticipated locations throughout the U.S.Duties include: install, configure, upgrade, administer & maintain databases that support vital business functions. Travel and/or relocation required.

Any applicant who is interested in this position may apply to the following individual for consideration:
CONTACT: Satheesh Kumar
iPlanner, Inc.
Attn: HR
13155 Noel Road, Suite 900
Dallas, TX 75240"
6,Oracle Database Administrator/Architect,"Dallas, TX",Dallas,TX,None Found,None Found,None Found,None Found,None Found,"
6+ years’ experience with DB workloads on the following enterprise systems: PLM, ERP, MES, Timekeeping, PMO
6+ years of experience with monitoring systems: OEM 12c – 13c
",None Found,"Location: Just outs side Dallas Texas (Hurst, TX) - This position is onsite at our client location. Will be working with two offsite DBAs who are based at Datavail HQ.

Datavail is seeking a Oracle DBA/Architect to be an onsite point person for a managed service engagement he/she and two other Datavail DBAs will optimize production systems as well as assist with the creation of a DBaaS service offering. The onsite DBA will be the customer facing member of a team of three working this long term engagement.

The Ideal candidate will have the following Skills and Experience.

Education:
Bachelor’s degree in MIS/CS or equivalent experience

RDBMS Systems:
Required: Oracle
Preferred: PostgreSQL, MySQL, MongoDB

Oracle:
15+ years of experience with Oracle version 8i-19c

Database Workloads:

6+ years’ experience with DB workloads on the following enterprise systems: PLM, ERP, MES, Timekeeping, PMO
6+ years of experience with monitoring systems: OEM 12c – 13c
Experience with following Oracle features:

6+ yrs advanced database performance tuning and optimizations on enterprise class applications and OLTP applications in excess of 300K transactions/second
4 + yrs RAT (SPA and Replay)
4+ yrs Engineered Oracle Appliances
3+ yrs Oracle Advanced Security: OUD, EUSM, Kerberos
4 + yrs RAC and ASM
ANSI SQL Tuning\Optimization:

Expert level understanding of the database optimizer, heuristics and indexes.
Ability to change indexes, statistics, and setup baselines, SQL profiles, SQL patches, and analyze traces for performance investigation and parameter optimizations.
Usage of SPA\Replay to eliminate query plan changes introduced through database upgrades and or re-platforms. Preferred experience leveraging this toolset to migrate enterprise application(s) to new database versions and or platform with nominal query plan variance introduced by optimizer and or application behavior changes.
Drive out abusive usage of cursors in favor of using set based operations and advanced ANSI SQL design patterns.
Database Architecture:

Implement database CMDB and document standards and processes in order to achieve DBaaS. This process should include standardized repositories and marts to document CIs in the environment and ensure each new application and database follows ITSM and ITIL documentation and processes.
Database automation and orchestration using REST, bash, PowerShell, OEM.
In-depth understanding of Oracle Process architecture and designing HA solutions that meet and exceed business expectations.
In-depth understanding of DBMS backup solutions and integrations with various backup solutions and replication topologies.
Analytics and Reporting:

Data Warehouses (Design\ETL\Performance Tuning\Maintenance)
ETL and asynchronous near real time change data capture patterns
ETL and real time data flows using Kafka/Spark
In-depth understanding and implementation of data replication topologies such as GoldenGate, Attunity,DataGuard , ANSI SQL replication patterns.
About Datavail:

Datavail provides a broad range of IT services in support of IT infrastructure, Microsoft solutions, databases, analytics, and applications and specializes in Oracle, Oracle E-Business Suite, OBIEE and OBIA, Hyperion, Microsoft SQL Server, MySQL, MongoDB, DB2 and SharePoint. Datavail is a leading provider of data integration and database administration services in North America, offering 24×7 managed services, design, architecture, and consulting.

With more than 1000 employees on payroll and core operations in four countries, Datavail offers deep technical expertise in a flexible, agile engagement model that focuses on customer success. Founded in 2008, Datavail is based in Broomfield, Colorado and supports enterprise clients located worldwide. For more information, visit www.datavail.com.

As part of the Datavail team, you’ll have the opportunity to work on exciting projects with a mandate to innovate, create, and deploy some of the best technology solutions in the world. Additionally you will have the opportunity to work alongside our broad team of experts to learn, grow and build your career can only be found in one place – Datavail. Working at Datavail is not just a career, but an opportunity to be a part of something bigger. Come grow with us!"
7,SENIOR SQL DBA.7000700,"Dallas County, TX",Dallas County,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Owning, tracking and resolving database related incidents and requests. Tuning and monitoring of SQL databases to ensure high reliability, availability, and security. Reviewing and resolving incidents within SLAs. Creating, executing, monitoring of database backups, maintenance jobs, as well as ensuring overall SQL database health. Working with database engineering, developers as well as other members within IT in order to align organization with strategic plan.

Detailed Description

Leads database design efforts to ensure application databases meet organizational data standards. Plans, implements, maintains and utilizes complex databases to include disaster recovery for SQL server databases, capacity management CPU, Disk I/O, memory and user connectivity. Completes backup and recovery. Codes migration requests; and maintains upgrades and patches. Troubleshoots performance issues related to capacity management CPU, Disk I/O, memory and user connections. Develops processes and scripts to support the SQL Server environment. Performs other duties as assigned.

Job Requirements

Education and experience equivalent to a Bachelor's degree from an accredited college our university in Computer Science, Information Technology, Mathematics, Engineering, Business Administration or in a job related field of study. Five (5) years of experience as an SQL database administrator, to include two (2) years as a lead administrator, supporting a SQL server at an enterprise level. Requires extensive working knowledge of SQL servers in various cluster configurations for high availability, transactional replication, DTS packages, SQL profiler, TSQL language, stored procedures, triggers, and with various scripting languages (ex: VBScript, JavaScript, Perl) a plus. Solid understanding of .NET/SQL based applications, Windows environment, RAID Levels. Skilled in the use of standard software applications. Ability to effectively communicate, both verbally and in writing, and establish and maintain effective working relationships with employees, departments and the user community. Required to be on call at all times. Must possess a valid Texas Drivers License and good driving record. Will be required to provide a copy of 10-year driving history. Must maintain a good driving record and remain in compliance with Article II, Subdivision II of Chapter 90 of the Dallas County Code. Individuals holding or considered for a position which has, or may have, access to criminal justice databases including the FBI Criminal Justice Information Systems, NCIC/TCIC and similar databases, must pass a national fingerprint-based records check prior to placement in such position and may be denied placement in such positions and/or access to such systems. Incumbents must also maintain the ability to pass the records check while in the position or until such time that the Commissioners Court and the County Civil Service Commission deem this position no longer has this requirement. Must have a valid Texas Drivers License and good driving record and remain in compliance with Article II, Subdivision II of Chapter 90 of the Dallas County Code. Standard office environment. Ability to lift and carry up to 25 lbs. unassisted. Preferred candidates would also meet the following criteria: Strong experience in Database Administration and Development in SQL Server ( 2008 and 2012 or later ). Strong experience in create SSIS Packages and Develop SSRS reports. Experience in troubleshooting and resolving database integrity issues, performance issues, blocking and deadlocking issues, replication issues, log shipping issues, connectivity issues, security issues etc. Experience in Performance Tuning, Query Optimization, using Performance Monitor, SQL Profiler and other related monitoring and troubleshooting tools. Ability to detect and troubleshoot SQL Server related CPU, memory, I/O, disk space and other resource contention. Strong knowledge of backups, restores, recovery models, database shrink operations, DBCC commands, Clustering, Database mirroring, Replication. Expert experience in implementing operational automation. Strong knowledge of how indexes, index management, integrity checks, configuration, patching. How statistics work, how indexes are stored, how they can be created and managed effectively.

Additional Details

An extensive pre-employment background investigation will be conducted on all applicants who have been offered a position with Dallas County. The hiring process involves successful completion of each step. The steps include: Criminal History Review, Traffic Violations Record, Review of Personal History Statement and Documents, Physical Examination, and Background Investigation. Dallas County is an Equal Employment Opportunity Employer. AmeriCorps, Peace Corps, National Service Alumni volunteers, and persons with a criminal background are encouraged to apply.

Minimum Salary: 7459.67
Maximum Salary: 9324.58
Currency: US Dollar (USD)

Requisition ID: 003640"
8,HL7 Interface Analyst,"Addison, TX 75001",Addison,TX,75001,None Found,None Found,"
Experience working with interface engines (Corepoint, Rhapsody) and clinical workflows or healthcare workflows. Corepoint experience is a plus but not required.
Knowledge of various healthcare applications (e.g. EMR, Lab, etc.).
Hands on experience working with HL7 v2 message types such as ADT OBX and ORM
Detailed understanding of HL7 segments, fields and data types such as ADT, ORU, and ORM.
Strong functional knowledge of and experience with an HL7 message validation tool like 7Edit or HL7 Inspector.
Knowledge of the various HL7 acknowledgment types and common industry practices when working withHL7 acknowledgment.
Knowledge of programming languages such as Java, C#, VB, etc.
In depth understanding, working knowledge, and experience with Microsoft Windows
Proficient in SQL",None Found,None Found,None Found,"At Solis Mammography, our patient-focused culture is at the heart of every interaction. We deliver the care, compassion and high-touch experience that have made us a valued healthcare partner to the generations of women that we serve. As the nation's leader in breast health services, our commitment to providing excellence in patient care is realized at every level of our organization. The Solis team is establishing a dynamic culture of ""work hard, play hard"" and is looking for the next all-star to add to its roster. If you are an ambitious self-starter who thrives in an environment where you are empowered to take ownership of your area of responsibility, we would like to speak to you.

The HL7 Interface Analyst will provide technical and organizational support of the enterprise's Integration between core application in the internal environment as well as partner environments, including the development of, designs and developing interfaces for Solis.
RESULTS MEASURED BY THE FOLLOWING RESPONSIBILITIES:
Understands, promotes and demonstrates the Solis Way
Interacts with clients to understand integration need, and provide the required interface Responsible for implementation of EMR/ EHR interfaces between client Sites.
Work and communicate independently with the client's implementation team and internal team on regular basis.
Analyzes and documents customer requirements and business workflow for integration implementations.
Tests and validates implemented interfaces based on requirements.
Assists Sales (Development) team in explaining Solis interface mechanisms and details to the clients on pre-implementation conference calls.
Maintains and supports existing interfaces.
Follows project management mechanism to track the EHR implementation process on regular basis throughout the implementation.
Liaison between clients and Internal network team to setup network interface through necessary ports, ip addresses, VPN, etc. configurations.
Work with the Internal Database Administrator to keep systems data integrity in place.
Work with RIS/PACS Administrators to provide a working physical model of the all HL7 Integrations
Fulfills departmental requirements in terms of providing work coverage and administrative notification during periods of personnel illness, vacation, or education.
Producing weekly and monthly reports on HL7 Integrations and its status.
Performs software installations related to HL7 Engine and upgrades as necessary. Interfaces with vendors in relation to ""Bug"" reporting through resolution.
Performs Data migrations from older versions to new versions
Create and maintain test environments for all Solis applications.
Performs other related projects and duties as needed.
Must be able to express complex technical concepts effectively, both verbally and in writing.
Must be able to work well with people from many different disciplines with carrying degrees of technical experience.
Design automation tools for data imports and exports
SKILLS/QUALIFICATIONS:
BS or BA in computer science or related field required.
Three to five years of experience in HL7 (V.2/V.3) interface development
Job Knowledge/Skills
Experience working with interface engines (Corepoint, Rhapsody) and clinical workflows or healthcare workflows. Corepoint experience is a plus but not required.
Knowledge of various healthcare applications (e.g. EMR, Lab, etc.).
Hands on experience working with HL7 v2 message types such as ADT OBX and ORM
Detailed understanding of HL7 segments, fields and data types such as ADT, ORU, and ORM.
Strong functional knowledge of and experience with an HL7 message validation tool like 7Edit or HL7 Inspector.
Knowledge of the various HL7 acknowledgment types and common industry practices when working withHL7 acknowledgment.
Knowledge of programming languages such as Java, C#, VB, etc.
In depth understanding, working knowledge, and experience with Microsoft Windows
Proficient in SQL
Licensure/Certifications
Current driver's license valid and is required or other evidence of equivalent mobility.

jHRg4oNtc0"
9,Office Administrator,"Carrollton, TX",Carrollton,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We are seeking an experienced Administrator with proven leadership and pleasant personality. English must be primary language. Experience in Early Childhood education is required. Experience or knowledge of Montessori Education is a plus but not required. Understanding of the business aspects of the school and maintaining a trouble free office environment at all times.
Provides expertise for internal/external business matters by working with Site Director. Required excellent communication in verbal and business writing. Ability to relate well to the public, in person and on the telephone. Diplomatic, tactful, creative, discreet, flexible, resourceful, dependable, well organized, friendly, emotionally mature and professional. Able to work effectively by balancing and prioritizing multiple requests. Capable and practiced in handling complex and/or multi-faceted tasks.
Effective office, time management, and organizational skills. Computer literate, Well-versed with Windows, word processing(preferably MS Word), spreadsheets(Excel), desktop publishing, and database mgmt. Sensitive to the needs of young children and their parents. Greet visitors, conduct Center tours as needed, provide basic information to visitors and callers.
Process maintenance requests. Substitute for classroom and support staff as needed. Provide information that parents requested. Correspond all the requests were made either through telephone or in writing. Order school.office supplies and maintain the accurate record.
We have exciting opportunities with room for tremendous personal and professional growth. If you feel that you would be an asset to our school, please send your resume and cover letter explaining how you think you could contribute to the our program.
HOURS: 8:00am – 6:30pm with a 1 hour lunch break."
