,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Scientist,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description Summary
CCC Information Services, Inc. is seeking a Data Scientist to join their Machine Learning team.

The data science team functions like a startup within a secure, established company. The team was formally started in 2013 after one predictive analytics product successfully entered the marketplace. Our Data Scientists typically hold Ph.D. or Masters level degrees in Math, Statistics, Data Science, Computer Science and other related fields; who can predict variables of interest before those variables are known. The analysts take this prediction and turn it into business value. The team supports work across CCC and is currently working on one of the most strategic initiatives of the company, which is essentially building the AI capabilities for products. Job Duties

The Data Scientist will lead implementation and scaling of machine learning and AI algorithms.
He/she will work with other scientists and architects to deliver AI driven technology and solutions, with a heavy focus on creating ways to streamline and automate every process.
As part of the data science team he/she will be working on the state of art algorithms from diverse fields such as AI, deep learning, NLP, Telematics and computer vision.
He/she will be designing and performing experiments using a scientific approach to compare hypothesis, generate insights and ensure the solution meets the target metrics specified by business requirements.
The Data Scientist will be expected to apply strong analytical thinking and various statistical methods to evaluate and optimize the deep learning models.
He/she will be responsible for end-to-end data engineering activities like data acquisition and pre-processing, creating seamless automated data pipelines.
He/she will be responsible, as well for transformation of research model/code into a production ready solution and perform testing to ensure quality metrics.
An ideal candidate will additionally have strong communication and collaboration skills to augment his technical expertise and generate business value. Qualifications

Must have a Ph.D. or Master’s degree in Applied Math, Physics, Electronics Engineering, Computer Science, Computer Engineering, or related field.
Internship or work experience in applied statistics, machine learning, probability, and linear algebra.
Advanced mathematical modeling skills, algorithm design, creative problem solving, and performance optimization
Experience programming in Python, especially the data science stack: numpy, scikit-learn, pandas, matplotlib
Experience in at least one of the following frameworks is required: Keras, Tensorflow, PyTorch
Knowledge of SQL/NoSQL databases and back-end systems.
Comfortable with scripting and Linux systems
Exceptional problem solver and communicator
Effective documentation practices and experience writing reports
Ability to create end-to-end pipeline automating the entire data science life cycle working individually or with a team.
Experience delivering data science models or workflows in production, regular optimization of data science software.
Excellent communication and collaboration skill to maintain successful relationship with remote teams.

Preferred Qualifications
The ideal candidate will have 2+ years of practical experience in machine learning
Nice to have up to 2 years of experience in an analytical role as a data scientist.
Parallel computing and analytics skills
Familiarity with software design and scalable software architectures
Skilled with using scripting languages to manipulate large data-sets
Experience in programming C/C++."
1,Senior Data Scientist,"Austin, TX 78746",Austin,TX,78746,None Found,None Found,None Found,None Found,None Found,None Found,"Key Responsibilities:
Design and develop statistical models with Big Data, IoT, ERP, Supply Chain, etc. to drive major operational business decisions
Understand customer and business requirements and implement reliable technical solutions for non-technical end users.
Identify opportunities to improve data collection, reporting, and analysis based on business needs.
Regularly interface with client sponsors and team members to meet project deadlines and provide clear communication with the team.
Provide documentation and explanation of technical solutions in a professional manner
Ability to create and deliver presentations in the Data Science and Advanced Analytics space
Ability to take complex problems/concepts and simplify down for a variety of audiences
Travels to client sites.
Requirements:
Strong and proven background of analytical, mathematical and critical thinking
Passion for data analytics, modeling, programming, and machine learning.
Strong Python and/or R programming experience.
Exposure to data ETL, storage, and manipulation tools including SQL, XML/JSON, and APIs
4+ years of experience in Data Science or related field.
BS or MS in Computer Science, Computational Mathematics, Applied Mathematics, Engineering, Data Science, Statistics or equivalent
US Citizen or GC Holder
Delighters
Having examples of scaling production-facing applications or open-source contributions.
2+ years of consulting experience
Experience using Big Data and Cloud technologies
Familiarity with Spark and Data Lakes
Prior experience in the Oil and Gas industry

Sense Corp powers insight-driven organizations.
We accelerate the entire transformation life cycle, from strategy through implementation. We turn data into actionable insights and transform organizations for the digital era.
Our people, culture, and how we engage with our clients are differentiators. Brilliant, Creative, Human, and Fun exemplify who we are. We are regularly recognized as a Best Place to Work by Houston, Austin, Dallas, and St. Louis Business Journals. With operations in Austin, Atlanta, Columbus, Dallas, Houston, San Antonio, Minneapolis-St. Paul, and St. Louis we serve mid-market to Fortune 50 companies.
The Sense Corp Compass
We may be the only management consulting firm in the country where being brilliant isn’t enough to land you a job. Sense Corp people must be brilliant, creative, human, and fun all at once. In other words, we hire terrific, well-rounded people. It is one reason clients love working with us. And it is why we enjoy working with each other. We may not sound like typical consultants but that’s OK. We don’t think like them either."
2,Senior Mathematician,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,"
Advanced degree in mathematics, statistics or related fields, or 3+years experience in social slot game designs.
Excellent working knowledge in combinatorics, statistics and probability theories.
High degree of creativity and innovation on game designs.
Proven ability to perform analysis on complicated concepts.
Comfortable to work and research independently as well as in a team.
Excellent understanding of successful elements of slot games.","Zynga is looking for a Senior Mathematician to join our Slots team. Reporting to the Director of Math, the Slots Mathematician will:
Collaborate with game designers to build excellent slot games to delight players.
Provide detailed mathematical models for slot games and other game features
Offer detailed analysis and explanation of mathematical models
Develop and explore innovative functionality of slot games
Validate, simulate and sign-off mathematical models to ensure they work as intended
Troubleshoot with engineers on technical implementation on mathematical models
Requirements:
Advanced degree in mathematics, statistics or related fields, or 3+years experience in social slot game designs.
Excellent working knowledge in combinatorics, statistics and probability theories.
High degree of creativity and innovation on game designs.
Proven ability to perform analysis on complicated concepts.
Comfortable to work and research independently as well as in a team.
Excellent understanding of successful elements of slot games.
What we offer you:
Zynga RSUs, 401k match and Bonus Plan
Full medical, dental, vision insurance benefits as well as life insurance
Lunch catered daily - stocked snack areas
Generous Paid Maternity/Paternity leave
Emergency child care support
Active Employee Resource Groups - Women at Zynga, ZPride, ZParents and more
Dog Friendly offices
Zynga happy hours and frequent employee events
Open vacation policy for most employees, generous vacation for other
Flexible working hours on many teams
Gym Benefits
Commuter benefits
Casual dress every single day
Culture of diversity and inclusion
Work with cool people and impact millions of daily players!
Zynga is an equal opportunity employer. We are proud of our broad community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome job-seekers, players, employees, and partners from all backgrounds. Join us!
We will consider all qualified job-seekers with criminal histories in a manner consistent with applicable law.
Zynga is committed to providing reasonable accommodation to applicants with disabilities. If you need an accommodation during the interview process, please let us know."
3,Product Cost Data Scientist,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"About

At Cloudflare, we have our eyes set on an ambitious goal: to help build a better Internet. Today the company runs one of the world's largest networks that powers trillions of requests per month. Cloudflare protects and accelerates any Internet application online without adding hardware, installing software, or changing a line of code. Internet properties powered by Cloudflare have all web traffic routed through its intelligent global network, which gets smarter with every request. As a result, they see significant improvement in performance and a decrease in spam and other attacks. Cloudflare was recognized by the World Economic Forum as a Technology Pioneer and named to Entrepreneur Magazine's Top Company Cultures list.

We realize people do not fit into neat boxes. We are looking for curious and empathetic individuals who are committed to developing themselves and learning new skills, and we are ready to help you do that. We cannot complete our mission without building a diverse and inclusive team. We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare. Come join us!

About the Department

Cloudflare is looking to build and grow our Business Intelligence team responsible for building large-scale enterprise data lake and EDW from different sources and enabling various product and business teams such as Marketing, Customer Support, Sales, Finance with key business dashboards/reporting, insights and recommendation models.

About the role

Cloudflare is looking for a data scientist with first class financial modeling skills who will help the company exceed its growth and profitability goals. You'll work with key stakeholders to develop and maintain accurate product costing models. You will apply data wrangling skills, discover and share data-driven insights, create visualizations, construct and interpret quantitative analyses, and build statistical and machine learning models, all in order to solve complex costing problems. This is a high profile, cross-functional role that will have an immediate impact on the business.

You are:

A strong team player and self-starter with a positive, service-oriented attitude.
An analytical thinker with superior problem solving skills. You have the initiative to develop a deep understanding of network and capacity dynamics.
Extremely detail-oriented and intellectually curious. You will keep the ""big picture"" in mind but can dive into detail to generate useful insights.
An expert in financial modeling who can design and maintain sophisticated cost models.
An excellent multi-tasker who can handle shifting priorities and understand the importance of planning in advance to meet deadlines.

What you'll do


Lead cost modeling initiatives with cross functional teams
Build partnerships with functional managers to understand drivers, trends, and opportunities
Create compelling presentations and reports to communicate insights and recommendations
Analyze and transform large datasets for feature engineering
Develop and maintain statistical and machine learning models using best programming practices
Coordinate with Engineering teams for model deployment, monitoring, and maintenance

Examples of desirable skills, knowledge and experience


M.S. or Ph.D. in Computer Science, applied mathematics, or a related engineering discipline
4+ years of industry experience in analyzing large datasets, modeling and machine learning algorithms
Experience in high level programming languages like Python (Numpy, Scipy, Pandas)
Experience with Spark, SQL, Tableau, Google Analytics, Hive and BigQuery (or any other Big data/Cloud equivalent), GCP, etc.
Excellent communication and presentation skills
Background working with Finance or Accounting a plus

What Makes Cloudflare Special?

We're not just a highly ambitious, large-scale technology company. We're a highly ambitious, large-scale technology company with a soul. Fundamental to our mission to help build a better Internet is protecting the free and open Internet.

Project Galileo ( https://blog.cloudflare.com/protecting-free-expression-online/ ): We equip politically and artistically important organizations and journalists with powerful tools to defend themselves against attacks that would otherwise censor their work, technology already used by Cloudflare's enterprise customers--at no cost.

Project Athenian ( https://www.cloudflare.com/athenian/ ): We created Athenian Project to ensure that state and local governments have the highest level of protection and reliability for free, so that their constituents have access to election information and voter registration.

Path Forward Partnership ( https://blog.cloudflare.com/tag/path-forward/ ): Since 2016, we have partnered with Path Forward, a nonprofit organization, to create 16-week positions for mid-career professionals who want to get back to the workplace after taking time off to care for a child, parent, or loved one.

1.1.1.1 ( https://1.1.1.1/ ): We released 1.1.1.1 ( https://1.1.1.1/ ) to help fix the foundation of the Internet by building a faster, more secure and privacy-centric public DNS resolver. This is available publicly for everyone to use - it is the first consumer-focused service Cloudflare has ever released. Here's the deal - we don't store client IP addresses never, ever. We will continue to abide by our privacy policy ( https://developers.cloudflare.com/1.1.1.1/commitment-to-privacy/privacy-policy/privacy-policy/ ) and ensure that no user data is sold to advertisers or used to target consumers.

Sound like something you'd like to be a part of? We'd love to hear from you!

Cloudflare is proud to be an equal opportunity employer. We are committed to providing equal employment opportunity for all people and place great value in both diversity and inclusiveness. All qualified applicants will be considered for employment without regard to their, or any other person's, perceived or actual race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship, age, physical or mental disability, medical condition, family care status, or any other basis protected by law. We are an AA/Veterans/Disabled Employer.

Cloudflare provides reasonable accommodations to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job. Examples of reasonable accommodations include, but are not limited to, changing the application process, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. If you require a reasonable accommodation to apply for a job, please contact us via e-mail at hr@cloudflare.com or via mail at 101 Townsend St. San Francisco, CA 94115."
4,Principal Data Scientist,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Summary : Works closely with the data science team to build information-rich data products using innovative techniques and technologies to solve transportation related challenges and problems. Understands and leverages data mining, machine learning, data modeling, and statistical modeling techniques. Applies strong problem solving and analytic skills to data integration projects and is able to isolate non-obvious relationships between disparate data sources. This position typically works under general supervision and direction. Incumbents of this position will regularly exercise discretionary and substantial decision-making authority.
Essential Job Duties and Responsibilities:
Lead data science team and stakeholders to address business challenges by harnessing structured, semi-structured, and unstructured data in a distributed processing environment
Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse data sources to generate actionable insights and solutions for client services and product enhancement.
Design, implement, and maintain statistical models representing transportation network behavior and other transportation related processes
Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources.
Research, interpret, and identify use cases for applying data science techniques against public transportation data
Prepare and deliver presentations that effectively describe complex quantitative methods in clear and concise communications
Apply an understanding of global and/or local trends and events (e.g., economics, social issues) to assist with the formulation of hypotheses and interpretation of data
Keep up to date with technical as well as industry developments, analytics software/tools, trends, and recognized best practices
Work within project constraints – funding, resources, schedule, priority, goals
Minimum Job Requirements:

Four-year college degree, in statistics, economics, physics, mathematics, operations research, computer science, data engineering, or related field ; plus six years of related experience using data mining, data modeling, data integration, machine learning, statistical modeling, and other data science skills and techniques. Masters or Ph.D. preferred. Experience with Python or comparable scripting language. Experience working with Hadoop, Pig, Hive, and knowledge of SQL is essential. Experience with statistical and analytic programming design and technologies such as R and other simulation / data analysis tools. Knowledge of database management systems and other software tools used to manage an organization’s business activities. Requires fundamental knowledge and experience developing algorithms and analytics applications. Must have strong analytical and problem solving skills, attention to details, critical thinking ability, and creativity. Must be able to abstract from ambiguous and sometimes conflicting information to identify opportunities for improvement and the critical business drivers and factors that influence outcomes. Must have demonstrated ability to produce high quality analytics applications that can be deployed in a repeatable and scalable fashion. Requires strong knowledge of statistics, signal processing, machine learning, predictive analytics, and other related techniques. Must have excellent written and verbal communication skills used to effectively communicate and present complex information in terms appropriate to the audience. Incumbent will have well-developed research skills and knowledge of current data management principles, procedures, and other tools of the trade. Must be able to manage and prioritize multiple projects simultaneously while balancing according to scope, budget and schedule. Prior experience working in the transportation or logistics industries desired .
The description provided above is not intended to be an exhaustive list of all job duties, responsibilities and requirements. Duties , responsibilities and requirements may change over time and according to business need.
Worker Type:
Employee"
5,Machine Learning Researcher,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.
Job Description
About this role
Arm is the leading designer of the microprocessors, graphics chips, and other hardware and software that power the world’s mobile devices. Arm’s Research division works to create new technologies that Arm will use to keep its products innovative and competitive in the future.
Within Arm Research in Austin, Texas, the Computational Engineering group is using machine learning (ML) and data science (DS) to enhance Arm’s hardware and software engineering capabilities. As a member of this group, you will develop research ideas all the way from data extraction through algorithm development and prototype flow creation. Your work will result in tangible improvements like the reduction of the engineering effort and computing time needed to create Arm’s most advanced products. And you’ll be free to strike your own balance between practical work, publication, and more speculative research, as long as the overall result benefits Arm’s business. Our goal is to help human engineers and ML algorithms work seamlessly together, producing results that neither could achieve alone.
What will I do in this role?

Build ML applications from the ground up, in partnership with stakeholders such as engineers and managers
Communicate with stakeholders to understand their problems, devise feasible ML solutions and help evaluate the resulting gains
Collaborate with production engineers to deploy the results of your research across Arm
Assess your own work and that of colleagues rigorously and critically to establish and spread ML best practices across Arm
Find opportunities to present your work outside Arm; learn new techniques and bring that knowledge into Arm
Engage in academic research and publication, as desired and appropriate
Job Requirements
What skills, experience and qualifications do I need?
Master's or Ph.D. in a quantitative or analytical field; no engineering background is required
Minimum 2 years of research experience working end-to-end on sizable, data-intensive projects
Experience using Python for data extraction, modeling, and other typical ML/DS activities
The ability to communicate complex technical ideas and results clearly and persuasively
The ability to give and receive well-considered and helpful feedback to improve our team’s technical and communication skills

Desired behaviors for this role:
Arm is proud to have a set of behaviors that reflect our visionary culture and guide our decisions, defining how we work together to defy ordinary and craft extraordinarily. These behaviors are assessed during the recruitment process:

We Not I
Take daily responsibility to make the Global Arm community thrive
No individual is responsible for the right answer. Brilliance is collective
Information is crucial, share it
Realize that we win when we collaborate — and that everyone misses out when we don’t
Passion for Progress
Our differences are our strength. Widen and mix up the pool of people you connect
Difficult things can take unexpected directions. Stick with it. Make feedback positive and expansive, not negative and narrow
The essence of progress is that it can’t stop. Grow with it and be responsible for your own progress
Be Your Brilliant Self
Be quirky not egocentric
Recognize the power in saying ‘I don’t know""
Make trust our default position
Hold strong opinions lightly
#LI-JS1
Benefits
Your particular benefits package will depend on position and type of employment and may be subject to change. Your package will be confirmed on offer of employment. Arm’s benefits program provides permanent employees with the opportunity to stay innovative and healthy, ensure the wellness of their families, and create a positive working environment.

Annual Bonus Plan
Discretionary Cash Awards
401(k), 100% matching on first 6% eligible earnings
Medical, Dental & Vision, 100% coverage for employee only, shared cost for dependents
Basic Life and Accidental Death and Dismemberment Insurance (AD&D)
Short Term (STD) and Long Term (LTD) Disability Insurance
Vacation, 20 days per year with option to buy 5 more.
Holidays, 13 days per year
Sabbatical, 20 paid days every four-years of service
Sick Leave, 7 days per year
Volunteering, four hours per month (TeamARM)
Office location dependent: café on site, fitness facilities, team and social events
Additional benefits include: Flexible Spending Accounts for health and dependent care, EAP, Health Advocate, Business Travel Accident Program & Commuter programs.
ARM, Inc. (USA) participates in E-Verify. For more information, please refer to www.dhs.gov/E-Verify
About Arm
Arm® technology is at the heart of a computing and connectivity revolution that is transforming the way people live and businesses operate. From the unmissable to the invisible; our advanced, energy-efficient processor designs are enabling the intelligence in 86 billion silicon chips and securely powering products from the sensor to the smartphone to the supercomputer. With more than 1,000 technology partners including the world’s most famous business and consumer brands, we are driving Arm innovation into all areas compute is happening inside the chip, the network and the cloud.

With offices around the world, Arm is a diverse community of dedicated, innovative and highly talented professionals. By enabling an inclusive, meritocratic and open workplace where all our people can grow and succeed, we encourage our people to share their unique contributions to Arm's success in the global marketplace.

About the office
The Arm Austin office employs staff from across all divisions of ARM and is considered the engineering hub for North America. Austin has the nickname of “Silicon Hills” thanks to the high number of tech companies in the area, and is also known as the “Live Music Capital of the World"". Events such as South by Southwest, Austin City Limits Music Festival and the F1 Grand Prix are but a few of the many activities that make Austin a top destination for both residents and travelers.
Austin, TX USA

Arm Inc.

Encino Trace

5707 Southwest Pkwy

Bldg 1 Suite 100

Austin, TX. 78735"
6,"Cyber Analytics Developer, Senior","Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"The Challenge:
Are you excited at the prospect of unlocking the secrets held by a data set? Are you fascinated by the possibilities presented by the IoT, machine learning, and artificial intelligence advances? In an increasingly connected world, massive amounts of structured and unstructured data open up new opportunities. As a data scientist, you can turn these complex data sets into useful information to solve global challenges. Across private and public sectors — from fraud detection, to cancer research, to national intelligence — you know the answers are in the data.
We have an opportunity for you to use your analytical skills to improve national security. You’ll work closely with your customer to understand their questions and needs, and then dig into their data-rich environment to find the pieces of their information puzzle. You’ll develop algorithms, write scripts, build predictive analytics, use automation, apply machine learning, and use the right combination of tools and frameworks to turn that set of disparate data points into objective answers to help military leaders and senior leadership make informed decisions. You’ll provide your customer with a deep understanding of their data, what it all means, and how they can use it. Join us as we use data science for good in Cybersecurity.
Empower change with us.
Build Your Career:
At Booz Allen, we know the power of analytics and we’re dedicated to helping you grow as a data analysis professional. When you join Booz Allen, you can expect: access to online and onsite training in data analysis and presentation methodologies, and tools like Hortonworks, Docker, Tableau, and Splunk a chance to change the world with the Data Science Bowl—the world’s premier data science for social good competition participation in partnerships with data science leaders, like our partnership with NVIDIA to deliver Deep Learning Institute (DLI) training to the federal government
You’ll have access to a wealth of training resources through our Analytics University, an online learning portal specifically geared towards data science and analytics skills, where you can access more than 5000 functional and technical courses, certifications, and books. Build your technical skills through hands-on training on the latest tools and state-of-the-art tech from our in-house experts. Pursuing certifications? Take advantage of our tuition assistance, on-site bootcamps, certification training, academic programs, vendor relationships, and a network of professionals who can give you helpful tips. We’ll help you develop the career you want, as you chart your own course for success.
You Have:8+ years of experience with designing and implementing data science and advanced analytics with machine learning, data mining, statistics, or graph algorithms in an academic or professional work environmentExperience with cybersecurity and analyzing large data sets in an academic, commercial, or government environmentExperience leading and implementing Agile software development practicesAbility to lead teams of scientists and technologists and lead client delivery programsAbility to develop software in an object-oriented language, including Java or PythonAbility to obtain a security clearanceBA or BS degree
Nice if You Have:Experience with development using Big Data technologies and applying statistical packages, including Sci-Kit Learn, Pandas, and R and building data visualizationsPossession of excellent oral and written communication skills, including articulating complex concepts to clientsTS/SCI clearance preferredBA or BS degree in Cybersecurity, CS, Engineering, or related technical field preferred; MA or MS degree a plusSecurity+, CISSP, CEH, or related Cyber industry certification\
Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.
We’re an EOE that empowers our people—no matter their race, color, religion, sex, gender identity, sexual orientation, national origin, disability, veteran status, or other protected characteristic—to fearlessly drive change.
CDM, CMD, SIG2017"
7,HPC/AI/DL Chief Data Scientist,"Austin, TX 78731",Austin,TX,78731,None Found,None Found,"
PhD. in Electrical Engineering, Computer Science, Mathematics or Statistics with specialization in AI/machine learning/Deep learning","M.S. (or BSc + additional experience) in Electrical Engineering, Computer Science, Mathematics or Statistics2+ year experience with proven record in the AI and data analytics domainProgramming experience in C/C++, or PythonSolid Deep learning background and familiarity with state-of-the-art techniques such as deep neural networks and their use cases such as image processing, natural language processing, speech recognition",None Found,"M.S. (or BSc + additional experience) in Electrical Engineering, Computer Science, Mathematics or Statistics2+ year experience with proven record in the AI and data analytics domainProgramming experience in C/C++, or PythonSolid Deep learning background and familiarity with state-of-the-art techniques such as deep neural networks and their use cases such as image processing, natural language processing, speech recognition","HPC/AI/DL Chief Data Scientist
Purpose:
The AI/DL Data Scientist will lead the design efforts for Dell EMC to create industry-leading, turnkey AI systems and solutions for the rapidly growing intelligent data analytics needs of the industry.

Responsibilities:
The AI/DL Data Scientist will help design and implement AI/DL systems for a wide variety of use cases and applications. Responsibilities for this position include tracking and projecting the evolving needs of the AI community as well as understanding AI systems architectures, hardware technologies evolution, emerging technology opportunities, and the maturing AI applications software landscape and horizon.

This position will work with other Dell AI, Big Data and HPC architects, engineers, developers, product managers, and sales staff to ensure that new AI solutions are best-in-class matched to customer needs, cost-effective, supportable, and have potential for significant impact and revenue.

This technical position will maintain constant awareness of the emerging AI techniques and will participate in research activities to maintain technical vision and perspective. The position will maintain regular communications with thought leaders in AI, attend and present at leading conferences to maintain connections and context. This position will also stay abreast of the market for AI in different market segments and will help design and implement solutions for the leading customers.
In addition to the solution design and implementation responsibilities, the AI/DL Data Scientist will lead research projects in AI, with a creative blend of theory and practice, publish results in peer-reviewed forums and blogs, collaborate with university partners and other companies to expand the company’s knowledge of emerging techniques in data analysis.

Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Learn more about Diversity and Inclusion at Dell here.
RequirementsM.S. (or BSc + additional experience) in Electrical Engineering, Computer Science, Mathematics or Statistics2+ year experience with proven record in the AI and data analytics domainProgramming experience in C/C++, or PythonSolid Deep learning background and familiarity with state-of-the-art techniques such as deep neural networks and their use cases such as image processing, natural language processing, speech recognition
Preferred Skills & Experience
PhD. in Electrical Engineering, Computer Science, Mathematics or Statistics with specialization in AI/machine learning/Deep learning
Contributions such as publications that have advanced the field
Domain specific knowledge with AI use cases in one or preferable several vertical industries such as finance, manufacturing, life sciences, automotive, security, logistics, etc
Hands on hardware experience with HPC AI/DL technologies"
8,Data Scientist - BlackLocus,"Austin, TX 73301",Austin,TX,73301,None Found,None Found,None Found,None Found,None Found,None Found,"POSITION PURPOSE
A BlackLocus Data Scientist solves difficult business problems with advanced statistical analytics and optimization. They are responsible for the full life cycle of analytics and take the solution from concept to final prototype. Working with resources in engineering, product, and services along with other members of the data science team, they deliver a solution in the shortest amount of time. Data Scientists are expected to contribute to projects as a hands-on, expert-level resource, capable of synthesizing the business requirements, nuances of the data available and analytic techniques to help create best in class solution.

MAJOR TASKS, RESPONSIBILITES AND KEY ACCOUNTABILITIES
50% Design and develop algorithms and models to use against large datasets to create business insights.
20% Establishing scalable, efficient processes for large scale data analyses, model development and model implementation
20% Solve problems creatively with strategic insights. Leverage data to present a compelling business case to optimize price points.
10% Remain knowledgeable on advancements in data science and machine learning. Identify opportunities to apply learnings.

NATURE AND SCOPE
Position reports to Sr Data Science BL Lab
No direct reports

ENVIRONMENTAL JOB REQUIREMENTS
Environment:
Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.
Travel:
Typically requires overnight travel less than 10% of the time.
MINIMUM QUALIFICATIONS
Must be eighteen years of age or older.
Must be legally permitted to work in the United States.

Education Required:
The knowledge, skills and abilities typically acquired through the completion of a PhD program in a field of study related to the job.

Years of Relevant Work Experience: 4 years

Physical Requirements:
Most of the time is spent sitting in a comfortable position and there is frequent opportunity to move about. On rare occasions there may be a need to move or lift light articles.

Additional Qualifications:
Masters in Statistics, Operations Research, Math or related quantitative field.
Expert knowledge in manipulating massive datasets, statistical analysis, and predictive modeling.

Preferred Qualifications:
Experience in data mining, data analysis and predictive modeling
Previous work experience in business intelligence and data analytics
Proven experience utilizing statistical techniques to identify key insights from data to solve business
problems

Knowledge, Skills, Abilities and Competencies:Ability to build scalable systems that analyze huge data sets and make actionable recommendations
Strong communication and data presentation skills
Ability to quickly adapt to new technologies, tools and techniques
Flexible and responsive; able to perform in a fast paced, dynamic, decision making environment and meet aggressive timelines"
9,Product Designer,"Austin, TX",Austin,TX,None Found,None Found,"
3+ years of experience with end-to-end visual design background.
Excellent visual and interaction skills — a master in their field
Systems-thinker with the ability to think beyond the pixels and design for offline experiences
Experience with marketing and making complex services easily digestible for your audience
Experience designing for multiple device types and contexts.
Defines the design process and can lead others through it. Can accurately scope their work as well as their teammate's.
Strong communication and stakeholder management skills
Demonstrated ability to help a team navigate ambiguity, set vision and strategy for global products",None Found,"
Generate clear ideas, concepts and designs of any form of creative assets from beginning to end.
Collaborate with engineers, product managers, researchers, data scientist partners to create transformative visuals and easy to use and emotionally engaging interfaces.
Collaborate closely and provide hands on graphic design support and assets to the development team (layout direction, CSS, images).
Manage the quality of design through all phases of the process and the live product
Define, codify and establish the standards for high quality visual design on the product
Manage the execution of typography, icons, logos, assets and interfaces for multiple platforms
Leverage and build creative assets to establish our companies design language system
Collaborate with marketing and leadership to ensure a consistent and cohesive brand expression.
Provide leadership through the interaction and visual design of products and services from end-to-end, across all platforms
Staying in the loop and on top of the latest standards, changes, trends in visual design field.",None Found,None Found,"Do you love Space and Computer Vision or AI? We do too! At Slingshot Aerospace, we are leveraging machine learning to transform multi-dimensional data into actionable knowledge for national security, disaster response, and commercial applications. Addressing the constraints of compute power and human capabilities, Slingshot's microservice architecture and cross-platform applications empower organizations to rapidly synthesize and extract insights from multi-modal sensor data, disparate databases and realtime media.
The Slingshot team is growing, and we're looking for a Product Designer to help shape and define the design language of our products, in addition to support branding and marketing efforts. In this role, you will help shape our identity and will think about the big picture while excelling at craft at the micro details of our apps, website and collateral.

Responsibilities:
Generate clear ideas, concepts and designs of any form of creative assets from beginning to end.
Collaborate with engineers, product managers, researchers, data scientist partners to create transformative visuals and easy to use and emotionally engaging interfaces.
Collaborate closely and provide hands on graphic design support and assets to the development team (layout direction, CSS, images).
Manage the quality of design through all phases of the process and the live product
Define, codify and establish the standards for high quality visual design on the product
Manage the execution of typography, icons, logos, assets and interfaces for multiple platforms
Leverage and build creative assets to establish our companies design language system
Collaborate with marketing and leadership to ensure a consistent and cohesive brand expression.
Provide leadership through the interaction and visual design of products and services from end-to-end, across all platforms
Staying in the loop and on top of the latest standards, changes, trends in visual design field.
Qualifications:
3+ years of experience with end-to-end visual design background.
Excellent visual and interaction skills — a master in their field
Systems-thinker with the ability to think beyond the pixels and design for offline experiences
Experience with marketing and making complex services easily digestible for your audience
Experience designing for multiple device types and contexts.
Defines the design process and can lead others through it. Can accurately scope their work as well as their teammate's.
Strong communication and stakeholder management skills
Demonstrated ability to help a team navigate ambiguity, set vision and strategy for global products

Benefits:
Medical l Dental l Vision l Unlimited Vacation l Flexible Work Hours l Remote/WFH Days l Stock Options
Casual Dress l Snacks l Happy Hours l Weekly Team Lunches

We are an AA/EEO/Veterans/Disabled employe
tK0us2gCRU"
