,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Siri Search and Knowledge - Measurement Data Scientist,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Sep 2, 2019
Weekly Hours: 40
Role Number: 200074914
Siri’s universal search engine powers search features across a variety of Apple products, including Siri, Spotlight, Safari, Messages, and News. The Search Data Platform team acts as the “source of truth” for our most fundamental data — such as search activity and content — as well as our core metrics across a variety of products. We enable continuous improvement of the search system by building tools for data-driven decision-making and rapid iteration.
As a measurement data scientist, you will own product success metrics, run optimized experiments, build innovative models, and craft intuitive dashboards. The work you do will help to craft the future of the Siri Search and Knowledge product. At Siri, you will work with one of the most exciting high performance computing environments, with petabytes of data, and millions of queries per second. You will have an opportunity to find signals in massive datasets to help drive development of the products that delight our customers every single day.
Key Qualifications
3+ years of experience in a data science role with proven record of building data products
Experienced with at least one programming/scripting language (e.g. python, R, java, Go, etc)
Ability to manipulate large data sets with high dimensionality and complexity; fluency in SQL/HQL
Metric-centric mindset at both the component level and to measure overall user experience
Design effective experiments for evaluating complex data and machine learning-based systems
Develop models and analyses to mine large volume of data, extract insights, and recommend opportunities for product improvements
Communicate insights to partner teams to influence product direction with data
Use data intuition to translate hard product goals and business problems into solvable data science problems
Good at data visualization and interpretation, and experience with Hadoop, Hive, Impala
Can work both independently and in a team-collaboration setting with strong problem solving skill
Having experience with survey data/human labeled data, and/or background in AB testing is a plus
Description
- Design and improve measuring methodologies for end-to-end search product including preparing dataset, crafting questions and experiment design
- Apply statistical knowledge to test metric sensitivity and robustness
- Collaborate with data analytics engineers to build data pipeline with design requirement to transform proof-of-concept into production
- Work with engineers and EPMs to measure the success of a feature to make launch decision or conclude with regression suggestion
Education & Experience
Advanced degree in Statistics, Mathematics, Operations Research, Genetics, or similar quantitative domain preferred"
1,Data Analyst,"Mountain View, CA 94040",Mountain View,CA,94040,None Found,None Found,None Found,"
Contribute to the strategy for data analytics, insights, and infrastructure at Udacity
Find opportunities in marketing funnel and channels to optimize conversion and make direct impact to top line revenue
Build dashboards and tools that provide insight around key metrics for various payment platforms.
Perform ad hoc analysis and data modeling to understand and predict behavior trends, in order to optimize growth and engagement
Provide organizational support to ensure data integrity, consistent data definitions, and efficient data storage
Assist in designing marketing funnel experiments, analyze the results of these experiments (e.g. A/B tests), and produce reports and insights
Collaborate with cross-functional team members including product managers and other software engineers to deliver compelling products/services
Be a thought leader in the data and product teams around experimentation and product insights
",None Found,None Found,"Udacity's mission is to democratize education. We're an online learning platform offering groundbreaking education in fields such as artificial intelligence, machine learning, robotics, virtual reality, and more. Focused on self-empowerment through learning, Udacity is making innovative technologies such as self-driving cars available to a global community of aspiring technologists, while also enabling learners at all levels to skill up with essentials like programming, web and app development. If you love a challenge, and truly want to make a difference in the world, read on!

As a Data Analyst on the Global Consumer Marketing team, you will be one of the key partners for fellow marketers and business leaders at Udacity to help inform our marketing initiatives and strategy decisions. You will provide insights about our students' behavior and business metrics, and help develop a data team strategy to ensure Udacity makes data-driven product and business decisions.

Responsibilities:
-----------------


Contribute to the strategy for data analytics, insights, and infrastructure at Udacity
Find opportunities in marketing funnel and channels to optimize conversion and make direct impact to top line revenue
Build dashboards and tools that provide insight around key metrics for various payment platforms.
Perform ad hoc analysis and data modeling to understand and predict behavior trends, in order to optimize growth and engagement
Provide organizational support to ensure data integrity, consistent data definitions, and efficient data storage
Assist in designing marketing funnel experiments, analyze the results of these experiments (e.g. A/B tests), and produce reports and insights
Collaborate with cross-functional team members including product managers and other software engineers to deliver compelling products/services
Be a thought leader in the data and product teams around experimentation and product insights

What We Value:
--------------


Background in applied math, computer science, statistics, finance or related technical field, and 4+ years of industry experience
Extensive experience with relational databases and SQL
Prior experience with data cleaning and modeling
Prior experience with product behavior and funnel data preferred
Excellent data communication and story telling ability
Advanced SQL is preferred
Experience deriving and presenting insights from data analyses to product and/or business leaders
Nice to have: Experience with at least one scripting language (e.g. Python)

Udacity is proud to be an Equal Employment Opportunity employer. We believe that the unique contributions of all Udacians is the driver of our success. To make sure that our products and culture continue to incorporate everyone's perspectives and experience we never discriminate on the basis of regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.

Udacity's Terms of Use and Privacy Policy ( https://www.udacity.com/legal/privacy )"
2,Chief Data Scientist,"San Jose, CA",San Jose,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"[24]7.ai is a leader in the Conversational AI market, with over 250+ Fortune 500/1000 customers. We continue to transform our business to drive greater value to our team, shareholders, customers through new product development and market growth.

We are looking for an energetic, unstoppable Chief Data Scientist in either, San Jose, CA, Toronto or Bangalore to join our team! Reporting into COO, the Chief Data Scientist will help to define new [24]7 product ideas with predictive and goal-oriented capabilities to market.

Chief Data Scientist has responsibility for leading the research, development, and delivery of big data-based NLP/NLU solutions in the speech and digital segments. Predictive intents that drive goal oriented models are key to powering [24]7.ai's conversational AI platform. You will lead the data sciences strategy for our AI technology roadmap and deploying global solutions incorporating our advanced predictive models to meet client business objectives. You will manage a cross-geo team of Data Scientists, Speech Scientist and Data Analysts. Your role is highly influential within the company setting the AI R&D roadmap and evangelizing the vision internally and externally for our AI technology. You will also interface cross-functionally with other key stakeholders in the organizations including Product Engineering, Product Management, Marketing, and Sales facilitating discussions on roadmaps, leading customer workshops, speaking with industry analysts, and being hands-on in the selling of our capability. As the Chief Data Scientist, this role also involves significant collaboration with leading universities and research institutions worldwide as well as client interactions.

You will be expected to be an advocate for [24]7's AI product set and its benefits - driving demand and usage of our offerings.

----------------------------
How will you make an impact?
----------------------------


Lead the Data Sciences teams in the development and delivery of big data, predictive technologies/models with specific focus on Natural Language Processing (NLP), Natural Language Understanding, Conversational Models , Personalization, Speech Recognition, Text, Digital Signal Processing, Data Mining, Sentiment Analysis and Online targeting.
Define and articulate the AI vision, R&D roadmap and develop standardized industry-specific solution components to accelerate our customer delivery time and scale within the vertical.
Incorporate Data Standardization across channels, models and journeys .
Work jointly with products on architecting and developing the next generation conversational platform to allow extension of existing form based chatbot interfaces to fully conversational systems.
Work closely with clients providing strategic leadership and direction, analyzing current metrics and funnels, developing roadmaps for optimization, and improving their KPIs for automation / uplifts.
Responsible for meeting and exceeding financial targets for billable utilization, ACV, and TTR
Responsible for meeting and exceeding client business objectives for optimizing CSAT, NPS, self-service rates, and sales conversion targets
Actively support Sales and Marketing in responding to RFPs, supporting sales calls, delivering presentations, fielding questions from analysts, leading webinars, and traveling onsite to support sales meetings.
Responsible for sizing new sales opportunities developing the LOE for delivery, estimating expected containment rates for self-service and conversion rates for sales, providing timelines for delivery
Responsible for working with Finance on billing metrics and reports ensuring Finance has the data and support they need
Responsible for working with Legal reviewing contracts and ensuring outcome based formulas and associated containment / conversion rates are numbers the team can deliver
High level of travel is required. Both International (~20%) and Domestic travel (within US) ( >35%) is required. Significant support for sales meetings and onsite support at client sites for QBRs, kickoffs, escalations.
Responsible for hiring top talent and building teams leading the next generation AI solutions

------------
Requirements
------------


PhD in STEM (SAS is a plus) with emphasis in Machine Learning.
10+ years industry experience developing machine learning models at scale owning from inception to deployment with proven business impact.
10+ years industry experience leading and managing client engagements and meeting targets for TTR, SSR, RPC, FCR, NPS, and AOV.
Proven track record of leading high-performance teams with 5+ years' experience successfully managing large cross-geo teams in Data Sciences and Professional Services.
Strong publication record (ACM, IEEE and top leading journals in the field ) and experience presenting at peer-reviewed industry conferences.
Demonstrated customer skills and excellent presentation skills.
A doer with the ability to be hands-on, designing processes and systems, digging into the details and operating comfortably in a cross-geo environment.

#LI-OC1"
3,Data Scientist | Advertising,"Palo Alto, CA 94301",Palo Alto,CA,94301,None Found,None Found,None Found,None Found,None Found,None Found,"About Houzz
Houzz is the leading home renovation and design platform in the world. We have a highly engaged community of more than 40 million unique monthly users who leverage our technologies to find inspiration for their next home project, connect with over 2.3 million home design and remodeling professionals and discover products in the Houzz Shop.

About the Role
Our Data Scientists play a direct role in the direction of our company and are able to work across multiple groups to implement fresh ideas that allow Houzz to be the industry leader.

Our mission is to provide Houzz with data-driven insights. We are working on discovering information hidden in vast amounts of data to make intelligent business decisions and to deliver better products. Critical projects will focus on the ongoing development of statistical and machine learning models across all areas of Houzz, improving experiment and measurement systems, the learning of data-driven insights to guide future product development and business direction.

If you are interested in applying your passion to create products that will transform the lives of millions of users remodeling and decorating their homes and the professionals who serve them, please apply.

What You'll Do
Build advanced statistical and machine learning models to solve problems like customer segmentation, customer lifetime value prediction, pricing optimization, user experience personalization, etc.
Provide data-driven insights to identify business opportunities, to drive changes across marketing, products and various operation teams and ultimately improve customer value and business metrics
Define key metrics to guide business decision making, such as engagement and lifetime value tracking across various aspects of our site
Design and conduct experiments and conduct root cause analysis
Work with data infrastructure and product engineering teams to define the data collection needs and to produce statistical/machine learning models

At a Minimum, We'd Like You to Have
A PhD in Statistics, Computer Science, Electrical Engineering, or similar fields; MS graduates with strong academic records and 2+ years relevant industry experience are welcome to apply
A deep understanding of statistics and machine learning methods
Strong programming skills in Python or R
Proficiency in SQL or willing to learn
Strong communication, presentation and interpersonal skills
Self-motivation, independence, and eagerness to learn
Ideally, You'll Also Have
2+ years full-time relevant industry experience
__________________

Be Who You Are and Do What You Love at Houzz

We’re a Family
At Houzz, we strive to create and foster a strong family environment in our workplace. We collaborate to accomplish our goals, always working as a team. We aim to build a culture of inclusion — celebrating and leveraging our differences for the betterment of one another, our products and our community.
Houzz team members come from many backgrounds and bring diverse experiences to the company. We take pride in making each person feel at home.

We Build the Future
Join Houzz in revolutionizing the home remodeling and design industry and have an impact on the more than 40 million homeowners who use our platform every month and the 2.3 million-plus home professionals around the world who are active on the site. Houzz has been named one of the most innovative companies in the world by CNBC and others, and is backed by top venture capitalists. At Houzz, you can help drive the future of an industry worth $1.2 trillion in the U.S. and Europe alone.

We Make Things Happen
Our team members play a key role in guiding the direction of our company and are able to work across multiple groups to implement fresh ideas that allow Houzz to be the industry leader. If you are interested in applying your passion to create products that will transform the lives of millions of people who are designing, remodeling and decorating their homes, welcome to Houzz.

Benefits and PerksCompetitive salaryFlexible paid time offCommuter benefitsMedical, dental, vision and pet insuranceEmployee assistance program401k retirement savings planMaternity/paternity leave programFlexible spending accountsHealthy at Houzz programCatered meals, fully stocked kitchens and much more!

Houzz is an Equal Opportunity Employer."
4,Senior Data Scientist - Graph,"Mountain View, CA 94041",Mountain View,CA,94041,None Found,None Found,None Found,"
Research applications of Graph in Supply Chain and other Business Areas
Define Graph-based Metrics for Supply Chain Network. You should have the ability to understand business and define the correct metrics for a given problem
Design and build Innovative data products. Work closely with product engineering and UI teams
Share product ideas and solutions with other groups through demos and presentations",None Found,None Found,"Do you want to shape the future of enterprise software?

At Aera Technology, we apply Internet scale technology to the challenges facing enterprise businesses. Think of the self-driving car: connected, always-on, thinking, and autonomous. Our mission is to enable companies in the same way.

Aera Technology is looking for an expert Senior Data Scientist - Graph to work from our Mountain View HQ. You will lead the work on our key projects in Networks and Knowledge Graph.

Please note: We are interested in considering every qualified candidate who is eligible to work in the United States. However, at the present time, we are not able to sponsor visas.
Responsibilities
Research applications of Graph in Supply Chain and other Business Areas
Define Graph-based Metrics for Supply Chain Network. You should have the ability to understand business and define the correct metrics for a given problem
Design and build Innovative data products. Work closely with product engineering and UI teams
Share product ideas and solutions with other groups through demos and presentations
About You
Master’s Degree in Computer Science, Mathematics, Statistics or a related quantitative field with a focus on Machine Learning or Deep Learning. Ph.D. preferred
Knowledge in Graph Theory and Network Analysis is required
Experience in building Graphical Models, Building Knowledge Graphs, Data Mining is required
Experience in building data products is required
Experience in developing and implementing analytical data models, predictive modeling, recommendation systems, classification and regression models, time-series models is required
Experience in Graph Databases is desired
Experience in Visualization is desired
Experience in Statistical/Machine-Learning Packages in Python is desired
Familiarity and hands-on experience with SQL is desired
Excellent verbal and written communication skills are required
At Aera, we're on a mission to solve the biggest, most intractable challenges of enterprise software. We envision the rise of the Self-Driving Enterprise: a more autonomously functioning business with a central operating system that connects and orchestrates business operations. Our platform is increasingly used by the world's largest companies to identify and respond to market opportunities faster.

If you share our passion for building the next generation of enterprise software and implementing it for the most sophisticated customers in the world, you’ve met your match. Headquartered in Mountain View, California, we're growing fast, with teams in Mountain View and San Francisco (California), Bucharest and Cluj-Napoca (Romania), Paris (France), Munich (Germany), London (UK), Pune (India), and Sydney (Australia). So join us, and let’s build this!

Aera Technology is an Equal Employment Opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender perception or identity, national origin, age, marital status, protected veteran status, or disability status. Pursuant to the San Francisco Fair Chance Ordinance, Aera Technology will consider for employment qualified applicants with arrest and conviction records."
5,Senior Data Scientist,"Mountain View, CA 94039",Mountain View,CA,94039,None Found,"
BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Operations Research, etc.).
2+ years’ experience with data science.
Experience in modern advanced analytical tools and programming languages such as R or Python with scikit-learn.
Efficient in SQL, Hive, or SparkSQL, etc.
Comfortable in Linux environment
Experience in data mining algorithms and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, anomaly detection, recommender systems, sequential pattern discovery, and text mining.
Solid communication skills: Demonstrated ability to explain complex technical issues to both technical and non-technical audiences.",None Found,"
Perform hands-on data analysis and modeling with huge data sets.
Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.
Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.
Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL.
Create and refine features from the underlying data. You will enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you will lather, rinse and repeat.
Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders.
Explore new design or technology shifts in order to determine how they might connect with the customer benefits we wish to deliver.",None Found,None Found,"Overview
Intuit is seeking a Sr Data Scientist to join our Intuit Ai Services in Mountain View, CA.

Intuit is looking for innovative and hands-on machine learning engineers to help the Intuit AI services team develop, design and integrate mathematical models into production. Our team builds AI/ML solutions for all the internal teams within Intuit like Engineering, HR, and Finance & Legal. We are looking for team members that love new challenges, cracking tough problems and working cross-functionally. If you are looking to join a fast-paced, innovative and incredibly fun team, then we encourage you to apply. Come do the best work of your life!

Responsibilities
Perform hands-on data analysis and modeling with huge data sets.
Apply data mining, NLP, and machine learning (both supervised and unsupervised) to improve relevance and personalization algorithms.
Work side-by-side with product managers, software engineers, and designers in designing experiments and minimum viable products.
Discover data sources, get access to them, import them, clean them up, and make them “model-ready”. You need to be willing and able to do your own ETL.
Create and refine features from the underlying data. You will enjoy developing just enough subject matter expertise to have an intuition about what features might make your model perform better, and then you will lather, rinse and repeat.
Run regular A/B tests, gather data, perform statistical analysis, draw conclusions on the impact of your optimizations and communicate results to peers and leaders.
Explore new design or technology shifts in order to determine how they might connect with the customer benefits we wish to deliver.
Qualifications
BS, MS, or PhD in an appropriate technology field (Computer Science, Statistics, Applied Math, Operations Research, etc.).
2+ years’ experience with data science.
Experience in modern advanced analytical tools and programming languages such as R or Python with scikit-learn.
Efficient in SQL, Hive, or SparkSQL, etc.
Comfortable in Linux environment
Experience in data mining algorithms and statistical modeling techniques such as clustering, classification, regression, decision trees, neural nets, support vector machines, anomaly detection, recommender systems, sequential pattern discovery, and text mining.
Solid communication skills: Demonstrated ability to explain complex technical issues to both technical and non-technical audiences.
Preferred Additional Experience
Apache Spark
The Hadoop ecosystem
Java
HP Vertica
TensorFlow, reinforcement learning
Ensemble Methods, Deep Learning, and other topics in the Machine Learning community"
6,Data Scientist,"San Mateo, CA",San Mateo,CA,None Found,None Found,"
Experience building and maintaining large-scale analytics systems;
Experience in software development and delivery;
Expertise in one or more programming languages such as Python, Scala, Java, Javascript, etc. and related frameworks (Flask, Django, Spring, AngularJS, React).
Good knowledge of architecting, developing, and maintaining of cloud technologies (AWS, Azure, GCP)\nExperience with Big Data stack (Kafka, Hadoop, Storm, Spark, Hive, Airflow, ElasticSearch, TensorFlow);
Experience with relational (Postgres, MySQL) and/or non-relational (Cassandra, MongoDB) databases;
Strong machine learning or stats knowledge a plus;
Experience in Supply Chain / Retail / eCommerce;
Excellent communication skill and a strong team player.
BS/MS in Computer Science, Computer Engineering or related technical discipline;
Strong analytical and quantitative problem-solving ability.
","
Experience building and maintaining large-scale analytics systems;
Experience in software development and delivery;
Expertise in one or more programming languages such as Python, Scala, Java, Javascript, etc. and related frameworks (Flask, Django, Spring, AngularJS, React).
Good knowledge of architecting, developing, and maintaining of cloud technologies (AWS, Azure, GCP)\nExperience with Big Data stack (Kafka, Hadoop, Storm, Spark, Hive, Airflow, ElasticSearch, TensorFlow);
Experience with relational (Postgres, MySQL) and/or non-relational (Cassandra, MongoDB) databases;
Strong machine learning or stats knowledge a plus;
Experience in Supply Chain / Retail / eCommerce;
Excellent communication skill and a strong team player.
BS/MS in Computer Science, Computer Engineering or related technical discipline;
Strong analytical and quantitative problem-solving ability.
","
Partner in building the infrastructure required for optimal extraction, transformation, visualization, and loading of data from a wide variety of data sources using SQL and big data technologies;
Improve our Machine Learning systems by contributing to all phases of algorithm development including ideation, prototyping, design and production;
Scale our data processing pipelines to handle and maintain complex processes in an efficient and reliable way that are available, scalable, and fault tolerant';
Build scalable production systems for data collection, data transformation, feature extraction, model training, and scoring, using distributed software tools;
Work with data science to define data ingestion standards and assist with data-related technical issues;
Partner with product development team to understand various opportunities and use cases;
Maintain specifications and metadata; create and maintain documentation;
Build Communities-of-Practice in key data technologies.
",None Found,None Found,"Avenue Code is the leading software consultancy focused on delivering end-to-end development solutions for digital transformation across every vertical. We’re privately held, profitable, and have been on a solid growth trajectory since day one. We care deeply about our clients, our partners, and our people. We prefer the word ‘partner’ over ‘vendor’, and our investment in professional relationships is a reflection of that philosophy. We pride ourselves on our technical acumen, our collaborative problem-solving ability, and the warm professionalism of our teams.

About the Opportunity:
We are seeking an energetic and talented Data Scientist Engineer to deliver high value, high-quality business capabilities to our data technology platform. With a background in both software development and machine learning, you will collaborate with software engineers, data scientists and domain experts in Supply Chain and Inventory management to develop data and machine learning products to support our company. You will be an integral member engineering team delivering across multiple business functional areas. You will build data analysis infrastructure for effective prototyping and visualization of various data-driven approaches.

Key Responsibilities:

Partner in building the infrastructure required for optimal extraction, transformation, visualization, and loading of data from a wide variety of data sources using SQL and big data technologies;
Improve our Machine Learning systems by contributing to all phases of algorithm development including ideation, prototyping, design and production;
Scale our data processing pipelines to handle and maintain complex processes in an efficient and reliable way that are available, scalable, and fault tolerant';
Build scalable production systems for data collection, data transformation, feature extraction, model training, and scoring, using distributed software tools;
Work with data science to define data ingestion standards and assist with data-related technical issues;
Partner with product development team to understand various opportunities and use cases;
Maintain specifications and metadata; create and maintain documentation;
Build Communities-of-Practice in key data technologies.

Technical Skills/Qualifications:

Experience building and maintaining large-scale analytics systems;
Experience in software development and delivery;
Expertise in one or more programming languages such as Python, Scala, Java, Javascript, etc. and related frameworks (Flask, Django, Spring, AngularJS, React).
Good knowledge of architecting, developing, and maintaining of cloud technologies (AWS, Azure, GCP)\nExperience with Big Data stack (Kafka, Hadoop, Storm, Spark, Hive, Airflow, ElasticSearch, TensorFlow);
Experience with relational (Postgres, MySQL) and/or non-relational (Cassandra, MongoDB) databases;
Strong machine learning or stats knowledge a plus;
Experience in Supply Chain / Retail / eCommerce;
Excellent communication skill and a strong team player.
BS/MS in Computer Science, Computer Engineering or related technical discipline;
Strong analytical and quantitative problem-solving ability.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records

Does this sound like you? Apply now to become an Avenue Coder!"
7,Data Scientist,"Redwood City, CA 95064",Redwood City,CA,95064,None Found,"
Advanced degree (MS, Ph.D.) in quantitative fields, and 2-3 years of experience with a range of techniques, tools, and methods related to data mining and statistical analysis
Strong ability with a statistical language such as R, Python or SAS, and hands-on experience using a variety of analytical methods
Experience with or strong working knowledge of experimental design concepts, regardless of industry/discipline
Hands-on experience with SQL, working knowledge of database design
Familiarity with internet marketing data collection methods and marketing technology, including search marketing, social marketing, and ad serving platforms
Creative mind with strong communication and interpersonal skills; talented with simplifying abstract business issues and large amounts of data into actionable analyses; must be able to interact with diverse groups of technical and non-technical people
Track record of contributing to successful end-to-end analytic solutions (clarifying business objectives and hypotheses, communicating project deliverables and timelines, and informing action based on findings)
Strong desire to articulate business recommendations based on analytical work",None Found,"
Directly impact resource allocation decisions by designing and directing experiments and observational studies
Partner with the marketing and business strategy teams to define and test hypotheses that answer critical business questions
Perform deep-dive statistical analysis on large, complex, multi-dimensional datasets.
Develop and contribute to a base of understanding that allows us to make optimal resource allocation decisions",None Found,None Found,"The Data Scientist will be responsible for designing and directing experiments and observational studies to optimize our marketing efforts. This role requires an individual with a strong ability to communicate and collaborate across functional teams, in addition to outstanding analytical and critical thinking skills. The role will have a strong focus on experimental design.

Responsibilities:
Directly impact resource allocation decisions by designing and directing experiments and observational studies
Partner with the marketing and business strategy teams to define and test hypotheses that answer critical business questions
Perform deep-dive statistical analysis on large, complex, multi-dimensional datasets.
Develop and contribute to a base of understanding that allows us to make optimal resource allocation decisions

Qualifications:
Advanced degree (MS, Ph.D.) in quantitative fields, and 2-3 years of experience with a range of techniques, tools, and methods related to data mining and statistical analysis
Strong ability with a statistical language such as R, Python or SAS, and hands-on experience using a variety of analytical methods
Experience with or strong working knowledge of experimental design concepts, regardless of industry/discipline
Hands-on experience with SQL, working knowledge of database design
Familiarity with internet marketing data collection methods and marketing technology, including search marketing, social marketing, and ad serving platforms
Creative mind with strong communication and interpersonal skills; talented with simplifying abstract business issues and large amounts of data into actionable analyses; must be able to interact with diverse groups of technical and non-technical people
Track record of contributing to successful end-to-end analytic solutions (clarifying business objectives and hypotheses, communicating project deliverables and timelines, and informing action based on findings)
Strong desire to articulate business recommendations based on analytical work

This position is full-time and based in Redwood City, CA"
8,NEXTracker - Software Engineer/Data Scientist,"Fremont, CA",Fremont,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description
The Software Engineer/Data Scientist will be located in Fremont, CA. He or She will work within the NEXTracker Asset Management and Support team and be responsible for gleaning insights from data collected from the world’s largest installed base of solar array single-axis trackers.
We are looking for someone who demonstrates:
Intense collaboration
Passionate customer focus
Thoughtful, fast, disciplined execution
Tenacious commitment to continuous improvement
Relentless drive to win
Here is a glimpse of what you’ll do…
Develop (backend) automated python scripts to perform root cause analysis of field failures.
Work with engineering teams to identify key metrics for product health insights
Develop tools to create daily monitoring reports on product health and product performance.
Study trends and patterns to both fleet-wide and site-specific data
Work with large, complex data sets.
Troubleshoot data quality and see issues to resolution
Use machine learning and AI techniques to classify data and use this to predict possible outcomes.
Create visualizations and presentations for a wide range of technical and non-technical audiences
Here is some of what you’ll need (required)…
MS or PhD degree in a quantitative discipline (e.g., statistics, computer science, mathematics).
3+ years of relevant work experience in data analysis or related field.
Programming experience using Python (Django) and MATLAB is a must.
Intermediate MS Excel experience (Data Analysis, Pivot Tables, Formulas).
Take end to end ownership of Machine Learning systems - from data pipelines and training, to real-time prediction engines.
Experience in pattern recognition methodologies
Experience translating analysis results into business recommendations.
Excellent verbal and written communication skills
Here are a few or our preferred experiences...
Programming experience in SQL, NOSQL and PowerBI, Tableu is a plus.
Here are a few examples of what you’ll get for the great work you provide:
Full range of medical benefits, dental, vision
Life Insurance
Matching 401K
PTO
Tuition Reimbursement
Employee discounts at local retailers
Job Category
Design, Process & Technology Engineering
Flex does not accept unsolicited resumes from headhunters, recruitment agencies or fee based recruitment services. Flex is an Equal Opportunity Employer and employment selection decisions are based on merit, qualifications, and abilities. Flex does not discriminate in employment opportunities or practices based on: age, race, religion, color, sex, national origin, marital status, sexual orientation, gender identity, veteran status, disability, pregnancy status or any other status protected by law. Flex provides reasonable accommodation so that qualified applicants with a disability may participate in the selection process. Please advise us of any accommodations you request to express interest in a position by e-mailing: accesibility@flextronics.com. Please state your request for assistance in your message. Only reasonable accommodation requests related to applying for a specific position within Flex will be reviewed at the e-mail address. Flex will contact you if it is determined that your background is a match to the required skills required for this position. Thank you for considering a career with Flex.
The information we collect:
We may collect personal information that you choose to submit to us through the Website or otherwise provide to us. This may include your contact details; information provided in online questionnaires, feedback forms, or applications for employment; and information you provide such as CV/Resume. Your details will be provided to the entity you are applying for a job with. We will use your information for legitimate business purposes such as responding to comments or queries or answering questions; progressing applications for employment; allowing you to choose to share web content with others or; where you represent one of our customers or suppliers, administering the business relationship with that customer or supplier. We will process your data in accordance with our Recruitment Privacy Notice .
If you have any queries about the processing of your data, please contact:
Global Data Privacy Officer:
Email Address: chiefprivacyofficer@flex.com"
9,Machine Learning-Developer,"Mountain View, CA",Mountain View,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Mandatory Skills:
Machine Learning-L1
Job Description:
Key skills required for the job are: n Machine Learning-L1, (Mandatory) .As a Senior Developer, you are responsible for development, support, maintenance and implementation of a complex project module. You should have good experience in application of standard software development principles. You should be able to work as an independent team member, capable of applying judgment to plan and execute your tasks. You should have in-depth knowledge of at least one development technology/ programming language. You should be able to respond to technical queries / requests from team members and customers. You should be able to coach, guide and mentor junior members in the team. Minimum work experience: 3 - 5 YEARS
Roles & Responsibilities:
Minimum Experience Required: 3-5 YEARS
Mandatory Skills: Machine Learning Technical Consulting
Desirable Skills:

Language Skills: English Language"
