,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Software Engineer, Deep Learning","Pittsburgh, PA 15222",Pittsburgh,PA,15222,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description

The current generation of computing hardware makes it possible to take advantage of Deep Learning on embedded devices (“at the edge”) to build advanced applications like those described above. As an expert in AI, your job is to lead the way in the development and application of state-of-the art approaches to efficiently run Deep Learning inference directly on our target devices. You will use your broad knowledge to blend Deep Learning techniques with traditional Machine Learning and Computer Vision approaches to solve real-world problems.
Your responsibilities:
Develop approaches to train and modify deep learning models so that they run efficiently on edge devices
Implement proof-of-concept deep learning applications running on edge devices
Continually monitor and apply the latest developments in the field to enable developers to get the most from our platform
Develop recommendations and documentation for 3rd party developers in best practices for our platform
Create high level libraries and re-usable components to enable developers to take advantage of deep learning on a range of hardware.
Evaluate new hardware platforms and determine how to efficiently run deep learning and computer vision applications on these devices

Qualifications

As a Software Engineer, Deep Learning candidate, you bring:
BS Degree in Computer Science
1+ year software engineering experience with at least one language such as Python, C/C++, or Java
1+ year experience in deep learning, machine learning, or computer vision
Experience with the latest programming tools and frameworks for deep learning
Ideally, you also bring:
Master’s Degree or PhD in Computer Science with focus on Deep Learning for vision applications
3+ years’ engineering experience in deep learning, machine learning, or computer vision
Advanced experience with porting Deep Learning models to a range of different embedded hardware platforms
In-depth understanding of when to apply Deep Learning vs. traditional approaches from Machine Learning or Computer Vision
Demonstrable ability to apply state-of-the-art approaches to solve engineering problems
Experience with mobile development such as Android or iOS
Additional Information

By choice, we are committed to a diverse workforce - EOE/Protected Veteran/Disabled.
BOSCH is a proud supporter of STEM (Science, Technology, Engineering & Mathematics) Initiatives
FIRST Robotics (For Inspiration and Recognition of Science and Technology)
AWIM (A World In Motion)"
1,Data Scientist,"Pittsburgh, PA 15222",Pittsburgh,PA,15222,None Found,None Found,None Found,None Found,None Found,None Found,"SO, WHO ARE WE?
ShowClix, a product of Patron Technology, enables live event organizers to create better, more customized experiences for their ticket buyers and deeper, more profitable relationships with their sponsors through an integrated, industry-leading event technology solution. Event organizers of different sizes and across different segments use Patron Technology for ticketing, marketing, fan engagement, CRM, logistics and data management.
Sound interesting? Let's talk.
WHY DO WE NEED YOU?
ShowClix is actively seeking a Data Scientist with a penchant for making sense of heaps of data to deliver meaningful insight and stories. The Data Scientist will join a team of engineers to help our clients, event organizers, better understand their audience.
RESPONSIBILITIES
Strong foundation in statistics, machine learning and data mining
Experience with R or similar languages/libraries for efficient exploratory data analysis
Experience with Python, Java, or other programming languages with rich machine learning libraries like Scikitlearn, Tensorflow, Spark, etc.
An insatiable curiosity for exploring data and learning
Ability to work with a team of diverse backgrounds to deliver results
QUALIFICATIONS
3-5 years of related experience
Experience working with large sets of real world, messy data in production
Experience working with big data tooling (e.g. Hadoop/HDFS, Spark, Cassandra, Elastic Search)
BONUS POINTS
Involved with Kaggle, Hackerrank, or similar competitions/challenges
ABOUT SHOWCLIX
ShowClix is a product of Patron Technology. ShowClix is a fast-growing, full-service event technology company that handles ticket sales, marketing, and on-site operations for events around the world. Our partners include fandom and consumer conventions, live music venues, museums, attractions, and festivals. Each of our team members is passionate about live events and innovative technologies. We hire smart and creative people who possess entrepreneurial-like qualities and thrive in a dynamic environment.
LEARN MORE
For more information on Patron Technology's solutions visit our website:
https://patrontechnology.com/
suKVN5odHd"
2,AI Solutions Engineer - Industrial AI,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"AI Solutions Engineer – Industrial

Team: GTM

Location: Pittsburgh, PA

What We Do:
Company: We provide an AI software platform that allows enterprises to design, build, experiment, customize, operate and own vertical AI solutions in a wide range of industries and areas, such as healthcare, industrial manufacturing and utilities, financial services, telecommunications, autonomous driving, and beyond. Petuum lets enterprises easily understand and apply AI to gain deep insight for better decision-making and improved productivity and efficiency. Our mission is to enable organizations to own, build and become informed users of their AI solutions, without relying on expensive talents.

Team: The Go-To-Market (GTM) team is responsible for bringing Petuum's products to market by strategically delivering their unique value proposition and competitive advantage to customers. Responsibilities include finding customer opportunities and channels to market; working with prospective customers and with Petuum's Product Managers to discover, define and scope engagements; building and owning customer relationships; writing and negotiating contracts, including Statements of Work; and working closely with team members to coordinate delivery of the product to the customer through to deployment and customer acceptance. GTM team member have customer and contract experience, and are strategic, good negotiators, and strong communicators.

What You Will Do:  


Convert firsthand customer and market experience into impactful input for our product roadmap and strategy.
Participate in all appropriate product, sales, procedural training and certification to acquire and maintain knowledge necessary to be effective in the position.
Lead high-performing, customer-facing Petuum IoT teams including data scientists, integration and application engineers, product managers and industry leads in the delivery of production-ready Petuum IoT solutions with customers.
Design and conduct Petuum IoT Platform and application demonstrations/trainings to internal and external audiences.
Other duties as assigned. 

What You've Already Done:

You have a Bachelor's Degree in Computer Science or related quantitative field. An advanced degree or equivalent practical work experience is a plus.
You have 4+ years of experience.
Experience working with customers to develop or deploy new business solutions.
Experience with relational databases (any vendor).
Experience with development or implementation of enterprise and/or cloud software; machine learning or IIoT preferred.
Domain expertise in certain key industries (Oil & Gas, Utilities, Process and Discrete Manufacturing, Healthcare, and Industrial IoT) is a plus.
Startup experience is a plus.

 What You Already Know:

Tools: OSIsoft PI System, AspenTech IP.21, Honeywell PHD

 What We Offer for your Valuable Work:  

Petuum offers Medical, Dental, Vision, Life/Disability, Paid Time Off, Parental Leave, and more.

 Petuum is a welcoming workplace that considers applicants for employment without regard to, and does not discriminate on the basis of, gender, race, protected veteran status, disability, or any other legally protected status. Petuum is an at-will employer."
3,data scientist,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Description
Cognistx is looking to hire an experienced Data Scientist to help lead our Data Science team in design and implementation of AI systems.
Responsibilities
Client day-to-day management
Requirements gathering to define analytic objectives
Data gap analysis
Coordination of task execution with our global engineering team
Participation in development of data analysis plans
Implementation of data analysis plans, including the creation of visualizations, tabular reporting, data cleaning and preprocessing, fitting and evaluation of SML models, etc.
Maintenance and improvement of created platforms and/or models
Writing client-facing reports and contributing to proposal work
Work related travel as needed (2-3 times per quarter)
Ideal Candidate Qualifications
3-5 years of data science/software development experience
Strong background in Machine Learning and AI
Solid training in probability and statistics
Experience with managing big datasets
Excellent communication and writing skills
Proficiency in Python, R, Java, Tableau or similar
A Master's degree is preferred
Nice to have
Experience with QA/NLP
Experience with AWS, Google Cloud, etc.
Proficiency in RDBMS, NoSQL
Proficiency in Java, RDBMS
Experience with Assembla
Please submit your resume to Vishal Dhiman
vishal@cognistx.com"
4,Data Scientist Sr,"Pittsburgh, PA 15222",Pittsburgh,PA,15222,None Found,None Found,None Found,None Found,None Found,None Found,"Position Overview
At PNC, our people are our greatest differentiator and competitive advantage in the markets we serve. We are all united in delivering the best experience for our customers. As a Data Scientist, Sr. within PNC's AMM Administration organization, you will be based in Pittsburgh, PA or Cleveland, OH.


Required technical skills:

Proficiency with R, Python, and SQL programming languages, with knowledge of related data analysis libraries.

Experience in theory and practice with Machine Learning algorithms to design models related to classification, regression and clustering.


Preferred technical skills:

Experience across broad range of modern data science and analytics tools (such as Spark)

Experience with distributed computing (Hive/Hadoop)

Experience in theory and practice with Natural Language Processing methods to analyze documents and other unstructured text data sources.

Experience in theory and practice of Deep Learning modelling, using software tools such as Tensorflow & Keras, and Pytorch.


Required soft skills:

Proven ability to define problems and opportunities in a complex or ambiguous area.

Good team player interested in sharing knowledge and cross-training other team members and shows interest in learning new technologies and products.
Job Description
Leads the implementation of analytical projects that leverage vast amounts of structured and unstructured data to extract actionable business insights.
Directs the data gathering, data processing and data mining of large and complex datasets.
Leads the development of algorithms using advanced mathematical and statistical techniques like machine learning to predict business outcomes and recommend optimal actions to management.
Leads analytical experiments in a methodical manner to find opportunities for product and process optimization. Presents business insights to management using visualization technologies and data storytelling.
Partners with Data Architects, Data Analysts, Data Engineers and Visualization Experts to develop data-driven solutions for the business.
PNC Employees take pride in our reputation and to continue building upon that we expect our employees to be:
Customer Focused - Knowledgeable of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions and able to leverage that information in creating customized customer solutions.
Managing Risk - Assessing and effectively managing all of the risks associated with their business objectives and activities to ensure they adhere to and support PNC's Enterprise Risk Management Framework.
Competencies
Data Architecture – Knowledge and ability to create models and standards to govern which data is collected, and how it is stored, arranged, integrated, and put to use in data systems and in organizations.
Data Mining – Knowledge of tools, techniques and practices in data mining technologies used to acquire essential business information.
Disruptive Innovation – Knowledge of concepts, principles, and approaches of disruptive innovation; ability to adopt the knowledge into related processes and practices.
Information Capture – Knowledge of the processes and the ability to identify, capture and document relevant business information in an auditable, organized, understandable and easily retrievable manner.
Machine Learning – Knowledge of principles, technologies and algorithms of machine learning; ability to develop, implement and deliver related systems, products and services.
Modeling: Data, Process, Events, Objects – Knowledge of and the ability to use tools and techniques for analyzing and documenting logical relationships among data, processes or events.
Prototyping – Knowledge of and ability to implement prototyping disciplines, tools and techniques in evolutionary models within the target environment.
Query and Database Access Tools – Knowledge of and the ability to use, support and access facilities for extracting and formatting a database management system.
Work Experience
Roles at this level typically require a university / college degree, with 5+ years of industry-relevant experience. Specific certifications are often required. In lieu of a degree, a comparable combination of education and experience (including military service) may be considered.
Education
Masters
Disability Accommodations Statement:

The PNC workplace is inclusive and supportive of individual needs. If you have a physical or other impairment that might require an accommodation, including technical assistance with the PNC Careers website or submission process, please call 877-968-7762 and select Option 4: Recruiting or contact us via email at pathfinder@pnc.com.
The Human Resources Service Center hours of operation are Monday - Friday 9:00 AM to 5:00 PM ET.
Equal Employment Opportunity (EEO):

PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law."
5,Senior Research Scientist - Machine Learning - 2012262,"Pittsburgh, PA 15213",Pittsburgh,PA,15213,None Found,None Found,"
Communication and Collaboration: You have strong written and verbal communication skills and can interact collaboratively and diplomatically with customers and colleagues. You grasp the big picture, direction, and goals of an effort while focusing great attention to detail. You can present complex ideas to people who may not have a deep understanding of the subject area.
Dedication: You can meet deadlines while multi-tasking–sometimes under pressure and with shifting priorities.
Creativity and Innovation: You are creative and curious, and you are inspired by the prospect of collaborating with premier researchers and visionaries at Carnegie Mellon and other universities and organizations. You quickly learn new procedures, techniques, and approaches. You are forward-looking and can connect research with practical challenges.
Knowledge and Learning: You possess broad technical interests along with a deep knowledge of a particular field such as human-computer interaction, data analytics and machine learning, advanced computing, and autonomy and adaptive systems.",None Found,None Found,"
BS in Computer Science or related discipline with ten years of experience; OR MS in the same fields with eight years of experience; OR PhD with five years of experience.
Flexible to travel to other SEI offices in Pittsburgh and Washington, DC, sponsor sites, conferences, and offsite meetings on occasion. Moderate (25%) travel outside of your home location.
You will be subject to a background investigation and must be eligible to obtain and maintain a Department of Defense security clearance.","What We Do:
At the SEI Emerging Technology Center, we describe our work as “making the recently possible mission-practical.” We help our government customers stay at the leading edge of technology by identifying, demonstrating, extending, and applying emerging software technologies to solve real government problems. We currently work in the fields of human-machine interaction, applied artificial intelligence and machine learning, and advanced computing—areas that are changing and progressing rapidly. As we show our customers how new technologies can improve their mission capabilities through rapid prototyping and iterative development, we both rely on and shape academic and industrial research.
Are you creative, curious, energetic, collaborative, technology-focused, and hard-working? Are you interested in making a difference by bringing innovation to government organizations and beyond? Apply to join our team.
Position Summary: As a senior research scientist focusing on machine learning, you will identify, shape, apply, conduct, and lead research that matches critical U.S. government needs.
Desired Experience:
Research practices and publications: You have a track record of conducting research in machine learning and artificial intelligence. You have a reputation for the highest level of research and technical integrity. You have demonstrated contributions and have published research.
Familiarity with emerging trends and opportunities: You are familiar with technical challenges and emerging trends in computing and information science, and you are aware of opportunities in industry and government.
Deep technical knowledge: You have performed extensive research in applied machine learning and artificial intelligence. You have worked with tools, techniques, algorithms, software, and programming languages for deep learning, reinforcement learning, statistics, sensors and sensor fusion, planning, computer vision, or related areas.
Technical leadership: You have led research projects and have experience collaborating across research teams and mentoring other researchers.
Proposals: You have formulated and delivered successful research proposals to funding agencies and led the resulting projects.
Government projects: You have worked or are familiar with DARPA, IARPA, Service Labs, or other government research sponsors.
Duties:
Hands-on research: You’ll conduct and lead novel research in applied machine learning and artificial intelligence.
Solution development: You’ll work with and lead interdisciplinary teams to turn research results into prototype operational capabilities for government customers and stakeholders.
Strategy: You’ll work with Center leaders and colleagues to plan, develop, and carry out an overall research strategy, and to influence the national research agenda regarding future technology.
Collaboration: You'll actively participate on teams of software developers, researchers, designers, and technical leads. You'll build relationships and collaborate with researchers, government customers, and other stakeholders to understand challenges, needs, possible solutions, and research directions.
Mentoring: You'll contribute to improving the overall technical capabilities of the Center by mentoring and teaching others, participating in design (software and otherwise) sessions, and sharing insights and wisdom across the SEI Emerging Technology Center team.
Knowledge, Skills, and Abilities:
Communication and Collaboration: You have strong written and verbal communication skills and can interact collaboratively and diplomatically with customers and colleagues. You grasp the big picture, direction, and goals of an effort while focusing great attention to detail. You can present complex ideas to people who may not have a deep understanding of the subject area.
Dedication: You can meet deadlines while multi-tasking–sometimes under pressure and with shifting priorities.
Creativity and Innovation: You are creative and curious, and you are inspired by the prospect of collaborating with premier researchers and visionaries at Carnegie Mellon and other universities and organizations. You quickly learn new procedures, techniques, and approaches. You are forward-looking and can connect research with practical challenges.
Knowledge and Learning: You possess broad technical interests along with a deep knowledge of a particular field such as human-computer interaction, data analytics and machine learning, advanced computing, and autonomy and adaptive systems.
Requirements:
BS in Computer Science or related discipline with ten years of experience; OR MS in the same fields with eight years of experience; OR PhD with five years of experience.
Flexible to travel to other SEI offices in Pittsburgh and Washington, DC, sponsor sites, conferences, and offsite meetings on occasion. Moderate (25%) travel outside of your home location.
You will be subject to a background investigation and must be eligible to obtain and maintain a Department of Defense security clearance.
More Information
Please visit “Why Carnegie Mellon” to learn more about becoming part of an institution inspiring innovations that change the world.
A listing of employee benefits is available at: www.cmu.edu/jobs/benefits-at-a-glance/.
Carnegie Mellon University is an Equal Opportunity Employer/Disability/Veteran.
#seijob"
6,Software Engineer - Computer Vision,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Software Engineer – Computer Vision

Team: Product Line

Location: Pittsburgh, PA

What We Do:
Company: We provide an AI software platform that allows enterprises to design, build, experiment, customize, operate and own vertical AI solutions in a wide range of industries and areas, such as healthcare, industrial manufacturing and utilities, financial services, telecommunications, autonomous driving, and beyond. Petuum lets enterprises easily understand and apply AI to gain deep insight for better decision-making and improved productivity and efficiency. Our mission is to enable organizations to own, build and become informed users of their AI solutions, without relying on expensive talents.

Team: The Solutions Division is aimed at addressing the needs of any given business within a discernible vertical market (specific industry or market). While horizontal market software can be useful to a wide array of industries (such as word processors or spreadsheet programs), vertical market software is developed for and customized to a specific industry's needs.

What You Will Do:

Develop practical solutions to a real-world problem with CV methods.
Demonstrate understanding of ML fundamentals including algorithm design and software engineering.
Other duties as assigned.

What You've Already Done:

You have a Master's Degree in Computer Science or related quantitative field with a focus on Deep Learning, Computer Vision, or Artificial Intelligence. A Ph.D. in Computer Science or related quantitative field, or equivalent practical work experience, is a plus.
You have 0-4+ years of experience.
Startup experience is a plus.

What You Already Know:

Languages: Python, C++
Frameworks/Libraries: Familiar with TensorFlow, Caffe, or PyTorch

What We Offer for your Valuable Work:
Petuum offers Medical, Dental, Vision, Life/Disability, Paid Time Off, Parental Leave, and more.

Petuum is a welcoming workplace that considers applicants for employment without regard to, and does not discriminate on the basis of, gender, race, protected veteran status, disability, or any other legally protected status. Petuum is an at-will employer."
7,"Data Scientist, Sr. Principal","Pittsburgh, PA 15238",Pittsburgh,PA,15238,None Found,"
An AI practitioner with hands on experience in designing and deploying machine learning solutions
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forecasts, etc.
Experience with common data science toolkits, such as R, NumPy, MatLab, etc.
Experience with data visualization tools
Proficiency in using query languages and databases
Applied statistics skills, such as distributions, statistical testing, regression, etc.
Entrepreneurial and results oriented
Excellent analytical and problem solving skills
Able to deal well with uncertainty and unstructured problems to be solved
Able to work across businesses and functions at all levels
Able to lead ad-hoc and structured teams for achieving goals within established time parameters
Excellent interpersonal skills necessary to accomplish goals through others, including employees, peers, and other function/business areas of the company
10-12 years of related experience preferred
Experience in the securities, financial services, or asset management industry a plus
Graduate degree from top universities a plus
",None Found,None Found,None Found,None Found,"Who we are
For over 230 years, Bank of New York Mellon (BNY Mellon) has been at the center of the global financial markets, providing the world’s leading institutions the tools, capabilities, and services to be distinctive investors. BNY Mellon has approximately $15 billion in revenues and market capitalization of approximately $50 billion.

BNY Mellon is a leader in the world of investment services and investment management, and our businesses support the full range of stakeholders of the financial system including:
Managing the custody of over $31 trillion financial assets of the world’s leading institutional investors, hedge funds, sovereign wealth funds, and corporates
Investing over $1.8 trillion as one of the largest global asset managers across a wide range of asset classes
Providing collateral, liquidity, and funding for the world’s largest banks through our markets franchise
Serving family offices and high net worth individuals in our top 10 wealth manager ($250 billion assets)
Providing a full suite of solutions to advisors, broker-dealers, family offices, hedge and '40 Act fund managers, registered investment advisor firms and wealth managers (over $1.8 trillion in client assets)
Advising large global corporations on a range of trust and other solutions
Providing integrated managed data services to asset managers (over $4.7 trillion)
In addition, BNY Mellon is a strategic partner to a variety of financial technology companies and a convener of influential industry and market structure forums.
What we are doing
Chairman & CEO Charlie Scharf recently announced the launch of a newly formed global digital team, led by Roman Regelman, a former BCG partner who drove a number of large scale digital transformations for global financial services clients. The Digital team drives BNY Mellon’s core digitization strategy and is responsible for mapping our digital future, investing in digital client and internal capabilities, including data management, analytics, artificial intelligence, machine learning and robotics.
The Digital team focuses on maximizing investments in our digital capabilities to drive significant improvements in business performance and the client and employee experience. The team is accelerating the bank’s innovation strategy, developing more cross-functional integration and mining best practices to integrate across businesses, regions, front line relationship managers, innovation centers. We are currently looking to fill positions at our global headquarters in Tribeca, New York.
Role responsibilities
As a member of the Advanced Digital Solutions team, the primary focus and responsibilities will be to deliver tangible value and advance the digital agenda across the enterprise by accelerating effective use of AI. Main responsibilities will include:
Serving as AI solutions expert to address critical business needs in partnership with business teams, digital team members and technology. This includes designing and delivering proofs of concept as required.
Providing guidance on AI capabilities – available internally or in the market place – to determine best path forward factoring in feasibility, maturity of solutions, cost, time to market etc.
Driving the use of shared library / repository and model management of AI solutions across the enterprise
Driving / promoting best practices on effective use of AI solutions
Supporting lines of business and functions in developing AI capabilities to drive scale
Qualifications
Bachelor’s Degree in business or a related discipline, or equivalent work experience required. Advanced degree in Math, Science / Engineering or a related discipline is preferred.
Preferred Qualifications:
An AI practitioner with hands on experience in designing and deploying machine learning solutions
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forecasts, etc.
Experience with common data science toolkits, such as R, NumPy, MatLab, etc.
Experience with data visualization tools
Proficiency in using query languages and databases
Applied statistics skills, such as distributions, statistical testing, regression, etc.
Entrepreneurial and results oriented
Excellent analytical and problem solving skills
Able to deal well with uncertainty and unstructured problems to be solved
Able to work across businesses and functions at all levels
Able to lead ad-hoc and structured teams for achieving goals within established time parameters
Excellent interpersonal skills necessary to accomplish goals through others, including employees, peers, and other function/business areas of the company
10-12 years of related experience preferred
Experience in the securities, financial services, or asset management industry a plus
Graduate degree from top universities a plus

BNY Mellon is an Equal Employment Opportunity/Affirmative Action Employer.
Minorities/Females/Individuals With Disabilities/Protected Veterans.

Primary Location: United States-New York-New York
Internal Jobcode: 70194
Job: Digital
Organization: Digital Global-HR17565
Requisition Number: 1906801"
8,Data Science Software Engineer,"Pittsburgh, PA",Pittsburgh,PA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"The Fort is the new hub for innovation and incubation at Fortive. We have the backing of a large company and the soul of a startup (a Fortune 500 startup, that is), and this is the place where that flame burns brightest.

In The Fort, we combine forces to deploy disruptive technologies and explore new ways of thinking and working. We get out of the office and into the wild to observe first-hand what our customers most need to accelerate progress for the world. We observe, listen, prototype, experiment, analyze, learn, and iterate with passion and speed to fuel Fortive’s growth and build the future. We scout breakthrough ideas and emerging trends from an expansive network stretching from Seattle to Silicon Valley to Shanghai and beyond.

The Fort is built to make growth happen. We start up, we scale up, we shake things up. We face uncertainty head-on and wrestle it to the ground. We fail fast to move our customers forward. We move the needle so much it needs a new gauge. We turn What-if? into What’s next? and How might we? into Wow, we did that! If building a data-driven app in a matter of hours or pushing the frontiers of AI or IoT before lunch sounds like your kind of thing, The Fort just might be your kind of place.

Your Impact
You are collaborative, proactive, adaptable, and gritty. You excel at facilitating and reconciling inputs across teams. You balance a passion for deep understanding of innovation with the ability to deliver extraordinary results.

These are the traits we value:
Ability to Deliver Results: A track record for being able to set a vision and strategy, organize and lead a team, and implement to meet and exceed expectations.
Entrepreneurial Attitude: A proactive outlook that provides the chutzpah needed to overcome barriers, creatively problem solve, and challenge conventional thinking.
Comfort with Ambiguity: A willingness and aptitude for spending time in and thriving with deep uncertainty and environments where there is no clear “right answer”.
Passion for Innovation: A demonstrated interest and desire to participate in innovation through personal study, on-the-job initiative, or other endeavors.
Positive Outlook: A desire to look past the challenged in search of the opportunity.
Empathy & a Teacher’s Mindset: The ability to teach and mentor effectively, successfully facilitate teams and different personalities in training sessions, and to care deeply about his/her colleague’s growth, understanding, and experience.
Bias for Action: A need for speed; demonstrated ability to make decisions quickly and to act upon them.

Alongside a team of entrepreneurial, high-performing, curious people, you’ll deliver breakthrough solutions to drive sustainable growth for Fortive. As a Data Science Software Engineer, you’ll drive execution and play a vital role in building a culture of innovation at Fortive. You will build, manage, and inspire alongside a multi-functional team, that solves for our toughest growth challenges.

Data Science Software Engineer Responsibilities:
Work with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis including data gathering/requirements specification, processing, analysis, ongoing deliverables, and presentations.
Build and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive understanding of data structures and metrics, advocating for changes where needed for both products development and sales activity.
Interact cross-functionally with a variety of teams and businesses. Work closely with engineers to identify opportunities for, design, and assess improvements to Fortive products.
Make business recommendations (e.g. cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Research and develop analysis, forecasting, and optimization methods to improve the quality of user facing products; example application areas include ads quality, search quality, end-user behavioral modeling, and live experiments.

Required Qualifications:
MS degree in computer science or a related field.
2+ years of relevant work experience in data analysis or related field. (statistics/data science /computational biology/ bioinformatics)
Experience with statistical software (e.g., R, Python, Julia, MATLAB, pandas) and database languages (e.g., SQL).

Preferred Qualifications:
PhD degree in a discipline as listed in required qualifications.
4+ years of relevant work experience (e.g., as a statistician / computational biologist / bioinformatician / data scientist), including deep expertise and experience with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods. Analytical engagements outside class work while at school can be included.
Applied experience with machine learning on large datasets.
Experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations.
Demonstrated skills in selecting the right tools given a data problem. Demonstrated written and verbal communication skills.
Demonstrated leadership and self-direction. Demonstrated willingness to both teach others and learn new techniques.

Fortive is a diversified industrial growth company comprised of Professional Instrumentation and Industrial Technologies businesses that are recognized leaders in attractive markets. With 2017 revenues of $6.7 billion, Fortive’s well-known brands hold leading positions in field instrumentation, transportation, sensing, product realization, automation and specialty, and franchise distribution.

Fortive is headquartered in Everett, Washington and employs a team of more than 26,000 research and development, manufacturing, sales, distribution, service and administrative employees in more than 50 countries around the world. With a culture rooted in continuous improvement, the core of our company’s operating model is the Fortive Business System.

For more information please visit: www.fortive.com.
Fortive is a global family of more than 20 industry-leading industrial growth and technology companies, united by a shared purpose: to make the world stronger, safer and more effective by providing essential technology for the people who accelerate progress. We take on big challenges that have real impact in fast-moving fields like software development, robotics, transportation, energy and healthcare.

With more than $6.7 billion in annual revenues and a culture rooted in Kaizen, or continuous improvement, Fortive is well positioned to create essential, technology-based solutions to solve the world’s most critical challenges. Our strong capability comes from a team of smart, motivated people who proudly deliver excellence in each of our outstanding brands in the areas of field instrumentation, transportation, sensing, product realization, automation and specialty, and franchise distribution.

Fortive is headquartered in Everett, Washington and employs a team of more than 26,000 research and development, sales, marketing, product development, innovation, and service employees in more than 50 countries around the world.
This is a place where people who share a drive and passion to make a personal difference can learn, grow, and achieve. And that’s good... for you, for us, for growth.

For more information, please visit: www.fortive.com.
""The company in which you have expressed employment interest is a subsidiary or affiliate of Fortive Corporation. The subsidiary or affiliate is referred to as a """"Fortive Company."""" Fortive Corporation and all Fortive Companies are equal opportunity employers that evaluate qualified applicants without regard to race, color, national origin, religion, sex, age, marital status, disability, veteran status, sexual orientation, gender identity or expression, or other characteristics protected by law. The """"EEO is the Law"""" poster is available at: http://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf. Individuals who need a reasonable accommodation because of a disability for any part of the employment process should call 1-866-272-5573 or e-mail applyassistance@fortive.com to request accommodation."""
9,Data Scientist,"Coraopolis, PA 15108",Coraopolis,PA,15108,None Found,"
Master’s Degree Preferred In: Statistics, Computer Science, Operations Research, Engineering, Mathematics, Economics, or other quantitative fields
Additional experience will be considered in lieu of an advanced degree.
",None Found,None Found,"
Master’s Degree Preferred In: Statistics, Computer Science, Operations Research, Engineering, Mathematics, Economics, or other quantitative fields
Additional experience will be considered in lieu of an advanced degree.
",None Found,"The core data science team at Dick’s Sporting Goods is seeking a data scientist to support product teams within the technology organization. The team builds end-to-end machine learning solutions that drive business value in all parts of the organization. A few examples of projects that the team is currently working on are demand forecasting, search algorithm optimization, supply chain optimization, and visual search. We are looking for diverse teammates with strong technical skills who also have a passion for learning and deploying the latest machine learning algorithms. An ideal candidate will have a knowledge base in search algorithms, NLP, and/or forecasting.
The Role You'll Play:

Machine Learning Applications & Analyses
Apply machine learning and data mining techniques to extract actionable insights from large-scale, high-dimensional data.
Build end-to-end algorithmic solutions that focus on improving the customer’s experience both in-store and on our website.
Compile data from disparate data sources leveraging both qualitative and quantitative data to build holistic views of customer’s experience.
Communicate and present complex analyses and models to all levels of leadership across the organization.
Client Liaison

Work with a variety of business units throughout the organization to help translate their requirements into specific analytical deliverables.
Continue to improve and advance communications and collaborations amongst the various analytics teams and business units.

Training
 Lead or support formal and/or informal training for team members on the various tools used for team members within the analytics team or client teams.
Qualifications
Education
Master’s Degree Preferred In: Statistics, Computer Science, Operations Research, Engineering, Mathematics, Economics, or other quantitative fields
Additional experience will be considered in lieu of an advanced degree.

Experience/Technology
Statistics / Machine Learning with applications in R or Python.
Practical experience with SQL or a SQL-like language.
Creating visualizations and presentations for non-technical users.

Bonus Points
Publication in top conferences or journals
Experience applying machine learning techniques in a retail environment
Experience with Kubernetes based systems such as Kubeflow
Experience with any of the following: search algorithms, NLP, or time-series forecasting
Experience in a deep learning framework such as Tensorflow or PyTorch"
