,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Data Scientist,"San Francisco Bay Area, CA",San Francisco Bay Area,CA,None Found,None Found,None Found,"
Solid development foundation >= 7 years developing highly usable analytics tools
Highly self-directed & able to work a project from conception through delivery (e.g., from formulation, execution and evaluation of the research through to development and integration into product)
Good understanding of the blockchain technical space and data structures >= 4 years analyzing relevant data structures (i.e., in tabular or network forms)
Clear dedication to continuous learning
Python, Jupyter, Scala, Avro, Spark, Kafka, Cassandra, Yugabyte
 > 2 years’ Experience in large-scale network analysis, graph database implementation at scale",None Found,None Found,"
BS in Computer Science or Math or equivalent experience
At least 2+ years of experience in cryptocurrency
4-7 years formulating data science research & executing projects, engineering ETL processes, building machine learning models, and evaluating fitness & confidence of results using Python, PySpark, Scala","South San Francisco Bay, California
Requirements:
BS in Computer Science or Math or equivalent experience
At least 2+ years of experience in cryptocurrency
4-7 years formulating data science research & executing projects, engineering ETL processes, building machine learning models, and evaluating fitness & confidence of results using Python, PySpark, Scala
Required Skills for all Data Science Team Candidates:
Solid development foundation >= 7 years developing highly usable analytics tools
Highly self-directed & able to work a project from conception through delivery (e.g., from formulation, execution and evaluation of the research through to development and integration into product)
Good understanding of the blockchain technical space and data structures >= 4 years analyzing relevant data structures (i.e., in tabular or network forms)
Clear dedication to continuous learning
Python, Jupyter, Scala, Avro, Spark, Kafka, Cassandra, Yugabyte
 > 2 years’ Experience in large-scale network analysis, graph database implementation at scale
Perks & Benefits
We offer a comprehensive benefits package, including competitive salaries, stock options for senior roles, medical, dental and vision — which cover domestic partners as well — plus life and disability coverage, 20 vacation days, and a 401K plan.
If you are interested, send your resume to contact@ciphertrace.com"
1,Data Scientist - Inventory Forecasting and Health,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"About the Team
--------------

Join the most empowered data science team around! With a bottoms-up culture and our amazing leadership, you'll be surprised how much voice and influence your work impacts our business. Our team in particular makes sure that the company has the right amount of inventory at the right time. To do this, we forecast future inventory state for each one of our warehouses, and quantify how healthy that inventory is to serve our entire, very diverse clientbase. We continuously collaborate with the business partners across the Women's, Men's and Kids' clothing teams as well as with the Algorithm Team for wider and deeper impact. Ultimately, we inform, drive and automate inventory decisions to enable an even more personalized styling experience for our customers.

About the Role
--------------

This role will be responsible for the Stitch Fix algorithmic allocation efforts, which helps the company send the right amount of inventory to each warehouse. In this role, you will create, improve, and run allocation strategies that maintain a healthy inventory across Stitch Fix warehouses in collaboration with business partners. This role has more software engineering than other data scientist positions on the team and is also closely tied to inventory forecasting efforts.

You're excited about this opportunity because you will…
--------------------------------------------------------------


Have autonomy and impact in your work thanks to our bottoms-up culture and a Chief Algorithm Officer reporting directly to the CEO
Create and test new allocation strategies to maintain healthy inventory across Stitch Fix warehouses
Communicate and collaborate with business partners in order to run allocation strategies across all departments of the company
Maintain fast runtimes for the inventory forecasting and allocation code to promote interactive use cases
Maintain and improve the reliability of the inventory forecasting and allocation code through standard software engineering practices
Cross-functionally add new features to improve the prediction accuracy of the inventory forecasting code
Create and implement service level agreements with the broader inventory optimization team in order to best fulfill business objectives
Continue to grow your skill set through our great company wide development programs in communication and culture, as well as technical programs within the algorithms team

We're excited about you because…
---------------------------------------------


You have a Master's in Statistics/Biostatistics/Math/Physics/Chemistry/Computer Science
You have at least 2-4 years of experience, with 1 year of software engineering experience, 1 year relevant to cross-functional team communication, and 1 year applying statistics and machine learning in production
You have a bias toward action
You have strong cross functional communication skills that help simplify and move complex problems forward with business partners
You have strong standards for software engineering practices such as implementing automated unit tests, are familiar with Computer Science algorithm fundamentals like runtime complexity, and have 1 year of software engineering experience
You have a solid background in statistics: 2-3 stats courses and 1 year of relevant professional experience
You're proficient in machine learning: 2 courses and 1 year of relevant professional experience
You have production data science experience, i.e. not just fitting a model but being held accountable for performance and reliability in production

Why you'll love working at Stitch Fix...
----------------------------------------------


We are a group of bright, kind and goal oriented people. You can be your authentic self here, and are empowered to encourage others to do the same!
We are a successful, fast-growing company at the forefront of tech and fashion, redefining retail for the next generation
We are a technologically and data-driven business
We are committed to our clients and connected through our vision of ""Transforming the way people find what they love""
We love solving problems, thinking creatively and trying new things
We believe in autonomy & taking initiative
We are challenged, developed and have meaningful impact
We take what we do seriously. We don't take ourselves seriously
We have a smart, experienced leadership team that wants to do it right & is open to new ideas
We offer competitive compensation packages and comprehensive health benefits
You will be proud to say that you work for Stitch Fix and will know that the work you do brings joy to our clients every day

About Stitch Fix

----------------

At Stitch Fix, we're about personal styling for everybody and we believe in both a service and a workplace where you can be your best, most authentic self. We're the first fashion retailer to combine technology and data science with the human instinct of a Stylist to deliver a deeply personalized shopping experience. This novel juxtaposition attracts a highly diverse group of talented people who are both thinkers and doers. All of this results in a simple, powerful offering to our customers and a successful, growing business serving millions of men, women, and kids. We believe we are only scratching the surface on our opportunity, and we're looking for incredible people like you to help us carry on that trend."
2,"Senior Data Scientist, Decision Science","San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
3+ years of quantitative experience, ideally in an Internet company
Track record in building great relationship with stakeholders and presenting actionable analyses that led to meaningful business impact
No less than expert level usage of SQL or Hive
Experienced with coding in R, Python or Pyspark and using Machine Learning or regressions to explain and predict business outcomes
Thorough knowledge in statistics and experience with ideating, designing and analyzing A/B tests
Strong visualization skills and experience with BI tools (ex. Tableau)
Masters in STEM field is highly desirable
","Requirements:

3+ years of quantitative experience, ideally in an Internet company
Track record in building great relationship with stakeholders and presenting actionable analyses that led to meaningful business impact
No less than expert level usage of SQL or Hive
Experienced with coding in R, Python or Pyspark and using Machine Learning or regressions to explain and predict business outcomes
Thorough knowledge in statistics and experience with ideating, designing and analyzing A/B tests
Strong visualization skills and experience with BI tools (ex. Tableau)
Masters in STEM field is highly desirable

This Role:
In this role you will lead the framework and drive deep and holistic understanding of our jobs marketplace and job seekers through applying a mix of machine learning, statistics and analytics skills.

For example: What makes a job seeker more likely to apply for a job? What in our marketplace drives business customers retention?What is the value of user generated content on Glassdoor? Do we have market inefficiencies and how should we solve those? What drives job seekers repeat visits? What is the relationship between acquiring content on our site to our SEO rankings? Are there inter-dependencies between content and traffic, how do we quantify the relationship? Explain and predict whether prospect will become a customer, a customer to renew his subscription, a customer to grow his spend and more.

Decision Science at Glassdoor:
The Decision Science team drives data-driven strategy and decision making across the company through predictive analytics, testing and optimization. We drive product prioritization and inform business strategy by developing a deep understanding of our users and clients. The Decision Science team is partner to our department leaders in Product, Marketing, Business Operations and Sales teams.

Why Glassdoor?


Work with purpose – join us in creating transparency for job seekers everywhere
Glassdoor gives back! Glassdoor is a Pledge 1% member; all employees receive 3 paid volunteer days per year
100% company paid medical/dental/vision/life coverage, with 80% dependent coverage
Long Term Incentive Plan
401(k) Plan with a Company Match to prepare for your future
Conveniently located office in the heart of downtown San Francisco (Embarcadero)
No gender pay gap ( https://www.glassdoor.com/about-us/glassdoor-pay-gap-audit-2019/ ); we're committed to equal pay with our annual pay gap 'checkup'
Fully-stocked break rooms with complimentary food and drinks
Paid holidays and flexible paid time off
Your choice between Mac or PC

Glassdoor is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, age, veteran or military status, or any other category protected under the law. Glassdoor is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation."
3,Senior Data Scientist,"San Francisco, CA 94111",San Francisco,CA,94111,None Found,None Found,None Found,None Found,None Found,None Found,"About the Team

At Williams Sonoma, our brand promise is to nourish people's lives. This mission inspires and drives us. You will engage our customers and inform marketing decisions as part of the Marketing Strategy & Analytics team through data driven recommendations. Our team ensures we are engaging with our customers at the right time and in the right place by always measuring and improving upon our success. You will love working with incredible marketers across the company and through our strategic partners.

About the Role

The Williams-Sonoma Marketing Strategy & Analytics team is seeking a Senior Data Scientist to help develop, analyze, and execute our new Marketing Mix Modeling and Multi-Touch Attribution solution. This person will be involved in all aspects of digital, email, and direct mail marketing across a variety of brands, channels, and strategies. The focus of the role is to support revenue growth and improved marketing ROI with actionable insights and data analyses. This person will interact regularly with vendors, team members, cross-channel representatives, and the Williams-Sonoma leadership team as needed.

You're excited about this opportunity because you will...

Be a subject matter expert on all things related to Marketing Mix Modeling (MMM) and Multi-Touch Attribution (MTA)
Collaborate with marketers on the overall investment strategy with a keen focus on innovation, personalization, and acquisition
Conduct analyses on the effectiveness and efficiency of digital, email, and direct mail marketing programs
Lead ad-hoc analyses to standardize reporting and insights for cross-functional teams
Simplify and translate complex statistics to a wide range of audiences such as management, key stakeholders, peers, and non-technical groups
Maintain meticulous documentation on test designs, data methodologies, MMM, and MTA

Why you will love working at Williams-Sonoma, Inc.

We're a successful, fast-growing company with an entrepreneurial vibe
A technologically and data-driven business
Competitive salaries and comprehensive health benefits
We're at the forefront of tech and retail, redefining technology for the next generation
We're passionate about our internal and external clients and live/breathe the client experience
We get to be creative on a daily basis
A smart, experienced leadership team that wants to do it right and is open to new ideas
We believe in autonomy and creating an environ
We have fun!
We're excited about you because you have...

A Bachelor's degree in Statistics, Applied Mathematics, Management Information Systems, Computer Science, or related field
5+ years experience in one or more of one of the following areas: Marketing Mix Modeling, Multi-Touch Attribution, marketing analytics, data analysis, data modeling, machine learning, market research
Talented in data modeling techniques (regression, random forest, game-theory) and A/B testing
Experience working in the retail industry, advertising agency, DSP, DMP, CRM, or similar technology company a plus
A Proven track record of influencing key stakeholders using data, visualization, and story-telling
Analytical, proactive, problem-solving skills with an insatiable curiosity
You can prioritize and work on multiple projects with tight deadlines
Strong written and communication skills
You work effectively with cross-functional partners


Technical Competencies:


Experienced with Microsoft Office, SQL, and at least one Business Intelligence tool such as Tableau is required
Proficient in R, SAS, Python, UNIX, Hive is desired
Strong understanding of technology stacks, analytic tools (Adobe, Google), and tracking & measurement solutions (Experian, Neustar, IAS, DBM, Comscore)
Knowledgeable in machine learning algorithms and predictive models (Linear, Logistic)


About Williams-Sonoma, Inc.

Founded in 1956, Williams-Sonoma, Inc. is the premier specialty retailer of high-quality products for the kitchen and home in the United States. Our family of brands are Williams-Sonoma, Pottery Barn, Pottery Barn Kids, PBteen, West Elm, Williams-Sonoma Home, Rejuvenation, and Mark and Graham. These brands are among the best known and most respected in the industry. We offer beautifully-designed, stylish and functional products for every area of the home, including the kitchen, living room, bedroom, home office, closet, laundry room and even outdoor spaces. We've seen some big changes since our first brick-and-mortar store opened more than half of a century ago. What hasn't changed is our passion for high-quality products, functional design, outstanding customer service, and enhancing the lives of our customers and the communities where we operate. Today, we're a multi-brand, multi-channel, global enterprise supported by state-of-the-art technology and some of the most talented teams in retailing - and we're always looking for new energy and ideas.

Williams-Sonoma, Inc. is an Equal Opportunity Employer.

Williams-Sonoma, Inc. will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance, or other applicable state or local laws and ordinances.

Williams-Sonoma, Inc. is an Equal Opportunity Employer.

Williams-Sonoma, Inc. will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance, or other applicable state or local laws and ordinances.

This role is not eligible for Visa sponsorship or relocation assistance."
4,Data Scientist,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"About Twitch
------------

Launched in 2011, Twitch is a global community that comes together each day to create multiplayer entertainment: unique, live, unpredictable experiences created by the interactions of millions. We bring the joy of co-op to everything, from casual gaming to world-class esports to anime marathons, music, and art streams. Twitch also hosts TwitchCon, where we bring everyone together to celebrate, learn, and grow their personal interests and passions. We're always live at Twitch. Stay up to date on all things Twitch onLinkedIn ( https://www.linkedin.com/company/twitch-tv/ ),Twitter ( https://twitter.com/Twitch ) and on ourBlog ( https://blog.twitch.tv/ ).

About the Position
------------------------

Data Scientists at Twitch influence critical product and business decisions and enable evidence-based decision-making at the highest levels of Twitch. Our Advertising product team is building out complex, auction-driven, multi-sided markets to help creators earn a living and advertisers drive business results. Our team seeks an outstanding data scientist with creative problem solving skills and demonstrated ability to deliver insights from complex data sets. You'll draw on an expansive methodological toolkit to work on an array of challenging topics and problems including supply-demand modeling, econometrics, auction dynamics, pricing, forecasting, and maximizing the value of user action.

Responsibilities
----------------


Autonomously identify and pursue research with significant business impact, and make compelling cases for prioritization, resource allocation, and new product strategy
Prioritize and execute in the face of ambiguity, adapt your tools to answer complicated questions, and identify the trade-offs between speed and quality of different approaches.
Establish product goals and success metrics, create approaches to track the data and troubleshoot errors, quantify and evaluate the data, then develop a common language for all colleagues to understand and drive these KPIs.
Collaborate with specialists in data science, analytics, engineering, and economics disciplines to efficiently develop reliable and reproducible analyses at scale
Support data processes - provide the team with ad-hoc analysis, automated dashboards, and self-service reporting tools so that everyone gets a good sense of the state of the business

Requirements
------------------


4+ years of experience (or MS with 2+ years) as a data scientist on a technology product
Fluency in data-science fundamentals: SQL, data manipulation in R or Python, and statistics
Excellent written and verbal communication skills on quantitative topics
Expertise in applying supervised and unsupervised algorithms to large-scale data

Bonus Points
------------


Prior work with marketplace or advertising or media products
Experience with data pipelining from data preparation to analysis to deployment
Excitement to shape the development of a growing team and help millions of content creators and viewers
Familiar with or uses Twitch

Perks
-----


Medical, Dental, Vision & Disability Insurance
401(k)
Maternity & Parental Leave
Flexible PTO
Commuter Benefits
Amazon Employee Discount
Monthly Contribution & Discounts for Wellness Related Activities & Programs (e.g., gym memberships, off-site massages, etc.)
Breakfast, Lunch & Dinner Served Daily
Free Snacks & Beverages

We are an equal opportunity employer and value diversity at Twitch. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
5,Data Scientist (SF),"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Traditional debt collection is rife with harassment and fraud, producing more consumer complaints than any sector of consumer finance. Debtsy is serious about driving systemic change in a predatory industry. We provide a data-driven debt resolution platform that’s built with empathy in mind, empowering borrowers to dispute, negotiate, and resolve their debt without stress or embarrassment while providing unparalleled transparency and compliance to financial institution clients.

We are growing rapidly: our team of engineers hail from companies like Fitbit, Uber, and Stripe, we are tripling headcount of the company this year, and have financial institution clients.

As a data scientist, you will be develop models to drive operational automation, optimize user engagement, and assess a borrower’s unique financial situation. These models are critical to scaling our company effectively and effectively servicing contracts with major financial institutions.

At Debtsy, you'll be an early member of a fast-growing company. You'll have a large degree of trust and ownership and have an outsized impact on our path and ultimate success. We foster a culture of collaboration and open feedback, thoughtful problem solving, and continual learning and growth.
What you’ll do:
Refine and develop machine learning models to estimate a borrower’s capacity and willingness to resolve their outstanding balances
Design and implement borrower-facing experiments that improve our user experience and drive user engagement
Improve our effectiveness in resolving outstanding debt by identifying and incorporating proprietary datasets
Collaborate with product and engineering to successfully run models at scale in production
You may be a fit if you:
Have a strong foundation in statistics and theory, possibly from a degree in CS, Math, Economics, Statistics, Data Science or equivalent fields
Have several years of professional experience building and deploying statistical models or machine learning algorithms
Have strong SQL expertise
Have experience with research methodologies, running live experiments, and interpreting test results
Want to be a strong individual contributor and are comfortable taking models from prototype through to production
Debtsy is an equal opportunity employer and does not discriminate on the basis of race, color, creed, ethnicity, sex, gender identity, sexual orientation, religion, disability, age, veteran status, or any other category protected by law."
6,Data Scientist/Data Engineer,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"POSITION SUMMARY

Aktana is looking for an experienced Data Scientist/Data Engineer to join our Data Science team in San Francisco. The Data Science team builds mathematical and behavioral economics models underpinning Aktana’s core solutions for actionable analytics and behavioral intelligence. The set of problems that we tackle is incredibly diverse and complex. They cut across optimization, prediction, modeling, inference, and behavioral science. We research and develop the algorithms and models that make our solution intelligent, as well as implementing, scaling and maintaining the code that powers our production systems.

The ideal candidate is a critical thinker with experience and background in commercial life science domain, passionate about solving mathematical and behavioral problems with data, and is excited about working in a fast-paced, innovative and collaborative environment.

LOCATION

San Francisco, CA

REPORT TO

Chief Science Officer

RESPONSIBILITIES

Building and maintaining data pipelines that are crafted with model building as a primary driving factor. Work with Data Scientists, Product Managers, Customer Success and Services teams to frame a problem, both mathematically and within the business context

Write production-level code; collaborate with Engineering team to implement algorithms in production and productize common solutions

Perform exploratory data analysis to gain a deeper understanding of the problem

Construct and fit statistical, machine learning and optimization models

Utilize commonly used computing and database environments to get the data that you need and implement a working prototype of the formulated model.

Learn and apply new methodologies in the intersection of applied math/ probability/statistics/machine learning/computer science.

Make intelligent approximations to the model if required to make it scalable.

Analyze experimental and observational data; communicate findings; facilitate launch decisions

Identify data sources that could be used to test assumptions

REQUIRED SKILLS/EXPERIENCES

Proven track record of developing algorithms for production-ready recommendation or prediction systems using languages and big data platforms such as Scala, Python, R, Java, Spark, Cassandra, and Hadoop.

Experience working in an agile software development environment.

Passion for solving unstructured and non-standard mathematical and behavioral problems.

End-to-end experience with data, including querying, aggregation, analysis, and visualization.

Experience implementing machine learning algorithms.

Experience with analytics for commercial life science and pharma-specific analyses a big plus.

Excellent communication and presentation skills, being able to explain complex problems and the solutions applied, feeling comfortable in being part of the sales process, supporting the sales team, engaging with customers and presenting technical solutions to a nontechnical audience.

Experience in data science and data analytics for life science industry especially in GTM strategy and execution a big plus

High-energy self-starter with a passion for your work, attention to detail, and a positive attitude

Great team player, willingness to collaborate and communicate with others to solve a problem.

EDUCATION

M.S. or Ph.D. in Statistics, Operations Research, Mathematics, Computer Science, or other quantitative disciplines with at least 2 years of experience


ABOUT AKTANA

Committed to customer success and innovation, Aktana is at the forefront of transforming how life sciences companies share information with healthcare providers (HCPs). Our proprietary platform harnesses machine learning algorithms to enable marketing and sales teams to seamlessly coordinate and optimize multichannel engagement with HCPs. Today 10 of the top 20 global biopharmaceutical companies are using Aktana to go to market smarter.

Aktana is growing fast and looking for exceptional talent to join our team. We value hard work, transparency, and collaboration – and we like to have fun too! Headquartered in San Francisco, we have offices around the world, including Philadelphia, New York, London, Sydney, Sao Paolo, Barcelona, Tokyo, Osaka, and Shanghai.


Linked In Category: (Up to 3)"
7,Data Scientist - Precision Ag Analytics,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,"
Explore new analytical problems and develop creative solutions within precision agriculture and automation
Work with large geospatial data, including high resolution satellite imagery and environmental data
Develop and prototype analytical pipelines to deliver insights to customers both on the vehicle and in the cloud
Research new analysis and visualization methodologies alongside domain subject matter experts from agronomy, engineering and UX
Communicate findings and methodologies to stakeholders at multiple levels
","
Bachelor's degree in in statistics, engineering, data science, computer vision, machine learning, mathematics, or computer science OR equivalent work experience
Master’s degree in in statistics, engineering, data science, computer vision, machine learning, mathematics, or computer science",None Found,"There are 7 billion people on this planet. And by 2050, there will be 2 billion more... many moving into urban centers at an unprecedented rate. Making sure there is enough food, fiber and infrastructure for our rapidly growing world is what we’re all about at John Deere. And it’s why we’re investing in our people and our technology like never before in our 175-year history. Here the world’s brightest minds are tackling the world’s biggest challenges. If you believe one person can make the world a better place, we’ll put you to work. RIGHT NOW.
Primary Location: United States (US) - California (US-CA) - San Francisco
Function: Data Science & Analytics
Title: Data Scientist - Precision Ag Analytics - 47127
Your Responsibilities

As a Data Scientist, Precision Ag Analytics for John Deere’s Intelligent Services Group (ISG) located in San Francisco, CA, you will join our team building world class data science solutions to enable smarter machines and better decisions for our customers. As a data scientist – you will partner with product managers and engineers to create insights and solutions for our customers. You’ll have the opportunity to work across product lifecycles – designing, scaling, and delivering solutions. Join a team that is passionate about making a difference by applying cutting edge technology to solve some of the world's biggest problems. In addition, you will:

Explore new analytical problems and develop creative solutions within precision agriculture and automation
Work with large geospatial data, including high resolution satellite imagery and environmental data
Develop and prototype analytical pipelines to deliver insights to customers both on the vehicle and in the cloud
Research new analysis and visualization methodologies alongside domain subject matter experts from agronomy, engineering and UX
Communicate findings and methodologies to stakeholders at multiple levels

Being part of the data and analytics community at John Deere also gives you access to scientists, technologists, and domain experts across the company. We believe in continually learning; you’ll also have the opportunity to leverage our curated training content, participate in reviews of industry papers, and experiment with new methods and technologies.
Visa sponsorship is NOT available for this position.
What Skills You Need
Experience in roles that required demonstration of an in-depth knowledge of current analytical platforms and be able to utilize these fully independently
2 or more years of experience applying statistical analyses and analytical methodologies on advanced analytics projects, being able to demonstrate the development of algorithms and predictive models
1 or more years of experience in using Python
2 or more years in developing machine learning systems, with extensive experience on deep learning systems (Tensorflow preferred)
Experience in roles that required demonstrated ability to communicate complex analytical insights in a manner which is clearly understandable by the business partners

What Makes You Stand Out
Other areas of experience or interest that will help us place you on the right team include:

Experience working on data science problems in agriculture or working with agronomic datasets
Experience working with large geospatial datasets
Experience in roles that required a working knowledge of agricultural equipment
2 or more years of experience working on cross-functional/divisional projects

Education (or equivalent work experience)

Bachelor's degree in in statistics, engineering, data science, computer vision, machine learning, mathematics, or computer science OR equivalent work experience
Master’s degree in in statistics, engineering, data science, computer vision, machine learning, mathematics, or computer science

What You'll Get
At John Deere, you are empowered to create a career that will take you to where you want to go. Here, you'll enjoy the freedom to explore new projects, the support to think outside the box and the advanced tools and technology that foster innovation and achievement. We offer comprehensive relocation and reward packages to help you get started on your new career path. Click here to find out more about our Total Rewards Package.
The information contained herein is not intended to be an exhaustive list of all responsibilities and qualifications required of individuals performing the job. The qualifications detailed in this job description are not considered the minimum requirements necessary to perform the job, but rather as guidelines.
John Deere is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to, among other things, race, religion, color, national origin, sex, age, sexual orientation, gender identity or expression, status as a protected veteran, or status as a qualified individual with disability."
8,Assistant Director - Data Scientist,"San Francisco, CA",San Francisco,CA,None Found,None Found,"3+ years of experience in the software development, preferably financial technology
At least 1 year of data science experience, preferably in an entrepreneurial environment
Mastery of at least one analytical programing language (e.g. R, Python, Scala)
Bachelor's Degree in a relevant field",None Found,None Found,None Found,None Found,"Moody’s Analytics Accelerator (MAA) is looking for an experienced data scientist, and entrepreneurial team player, to help develop a Commercial Real Estate (CRE) focused business. The MA Accelerator is the innovation incubator at Moody’s Analytics working on new technologies, building new products and fostering an entrepreneurship culture across the company. The CRE initiative is organized as a multifunctional team with a flat structure. We’re looking for someone who is excited to use the newest technology to build products, test CRE concepts, and collaborate with several Moody’s Analytics business lines and Fintech partners.

Responsibilities include:
Help drive the success of our new Commercial Real Estate products
Working with data and everything that goes with data analysis – SQL, APIs, algorithm optimization, R, Python.
Our products reach many customers across financial markets, so being able to deploy high performing systems at scale is a priority.
As part of the MA Accelerator, you must be willing to work with new technologies and platforms as well
Work well with many different teams – technical counterparts, product managers and start-up partners. Working well in the team is essential for product success.
Qualifications
3+ years of experience in the software development, preferably financial technology
At least 1 year of data science experience, preferably in an entrepreneurial environment
Mastery of at least one analytical programing language (e.g. R, Python, Scala)
Bachelor's Degree in a relevant field
LOB/Department
Moody's Analytics Accelerator
Job Req ID16026BR
Entity
Moody's Analytics (MA)
Line of BusinessMA Accelerator (MAA)
Regular/Temporary
Regular
CitySan Francisco
Job Category
Product Development
Job Sub CategoryProduct Management
Experience Level
Experienced Hire
Working at Moody's
Moody's is an essential component of the global capital markets, providing credit ratings, research, tools and analysis that contribute to transparent and integrated financial markets. Moody's Corporation (NYSE: MCO) is the parent company of Moody's Investors Service, which provides credit ratings and research covering debt instruments and securities, and Moody's Analytics, which offers leading-edge software, advisory services and research for credit and economic analysis and financial risk management. The Corporation, which reported revenue of $4.4 billion in 2018, employs approximately 13,100 people worldwide and maintains a presence in 42 countries. Further information is available at www.moodys.com.
Entity
Moody’s Analytics provides financial intelligence and analytical tools supporting our clients’ growth, efficiency and risk management objectives. The combination of our unparalleled expertise in risk, expansive information resources, and innovative application of technology, helps today’s business leaders confidently navigate an evolving marketplace.
EEO Policy
Moody’s is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, sex, gender, age, religion, national origin, citizen status, marital status, physical or mental disability, military or veteran status, sexual orientation, gender identity, gender expression, genetic information, or any other characteristic protected by law. Moody’s also provides reasonable accommodation to qualified individuals with disabilities in accordance with applicable laws. If you need to inquire about a reasonable accommodation, or need assistance with completing the application process, please email accommodations@moodys.com.. This contact information is for accommodation requests only, and cannot be used to inquire about the status of applications.

For San Francisco positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the San Francisco Fair Chance Ordinance. For New York City positions, qualified applicants with criminal histories will be considered for employment consistent with the requirements of the New York City Fair Chance Act. For all other applicants, qualified applicants with criminal histories will be considered for employment consistent with the requirements of applicable law.


Click here to view our full EEO policy statement. Click here for more information on your EEO rights under the law.
Securities Trading Policy (STP)
Candidates for Moody's Corporation may be asked to disclose securities holdings pursuant to Moody’s Policy for Securities Trading and the requirements of the position. Employment is contingent upon compliance with the Policy, including remediation of positions in those holdings as necessary."
9,Data Science Instructor,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Since 2011, General Assembly has transformed tens of thousands of careers through pioneering, experiential education in today's most in-demand skills. As featured in The Economist, Wired, and The New York Times, GA offers training in web development, data, design, business, and more, both online and at campuses around the world. Our global professional community boasts 40,000 full- and part-time alumni — and counting.

In addition to fostering career growth for individuals, GA helps employers cultivate top tech talent and spur innovation by transforming their teams through strategic learning. More than 21,000 employees at elite companies worldwide have honed their digital fluency with our corporate training programs. GA has also been recognized as one of Deloitte's Technology Fast 500, and Fast Company has dubbed us leaders in World-Changing Ideas as well as the #1 Most Innovative Company in Education.

We are looking for a Data Scientist to facilitate our local class.

Our Data Science Immersive course is a life-changing educational experience where students leave with the skills and mindset to take on new careers in a wide variety of Data Science roles.

Why Be a Part of the Data Science Immersive?

If you are looking to make a life-changing impact by doing what you know and love, this is the position for you. Through this unparalleled opportunity, you will:


Deepen your own skills by guiding students through a rigorous journey where they begin as driven novices and leave as empowered data analysts and scientists
Contribute your own expertise to a deep and broad global curriculum maintained by a team of talented data science instructors across multiple industries
Facilitate a supportive and energetic community that lasts well beyond the course
Hone your own leadership skills by working with an instructional team and classroom community

As a member of the instructional team, you will not only impact the careers of your own students, but you'll also have a unique opportunity to shape the potential of students on a global scale through contributions to our global curriculum.

Skills and Qualifications


Must Haves:
You have at least 6 months of professional data science experience.
You are an expert in SQL, Python, and related Python libraries (pandas, numpy).
You have domain expertise in statistics, mathematics, and probability.
You can build and apply statistical models in python using machine learning libraries, such as scikit-learn and statsmodels.
You have a deep understanding of statistical hypothesis testing and experimental design, data visualization techniques and tools (i.e. matplotlib, bokeh, etc), and manipulation of large data sets.
You can demonstrate and explain the function of machine learning algorithms such as regularized regression, naive bayes, decision trees, ensemble methods, KNN, K-means clustering, and neural networks.
You are the person your colleagues naturally gravitate to when they are trying to figure something out.
You are eager to shape the skills, minds, and trajectories of the newest generation of data scientists.
Nice to haves:
You have proficiency with NLP python libraries such as NLTK; Hadoop or Apache Spark; D3.js or R.
You are on top of industry trends in big data, machine learning, deep learning, and AI.
You have previous data science or engineering teaching experience, through a course, workshop, team training, etc.

Responsibilities and Duties


Plan and implement a 12-week curriculum in conjunction with baseline materials and your local instructional team.
Deliver instruction 5 days a week, including teaching, advising, and content development.
Work closely with your instructional team to provide students with meaningful and prompt feedback on their progress.
Collaborate alongside GA staff in order to best meet the needs and learning styles of your students.
Guide students through the development of real world projects that will showcase their abilities to hiring managers.
Facilitate a dynamic and collaborative classroom community.
Inspire students to persevere through the challenges of learning complex subjects.
Contribute to the material and direction of an expanding global curriculum, ensuring the course remains cutting-edge and effective for students worldwide.

"
