,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
21,ML/AI Engineer,"Reston, VA 20190",Reston,VA,20190,None Found,None Found,None Found,None Found,None Found,None Found,"MetroStar Systems is looking for a Machine Learning Engineer that is passionate about cutting edge research and using the latest technologies. If you want to join a company that values solving real client problems while advancing the field of machine learning and are open to commuting to Reston, VA we want you to work for MetroStar!
You're a great fit if:
5+ years functional experience in a data engineering or business intelligence role
You have experience with AWS or Google ML/AI services
You thrive in a collaborative and open environment solving problems
You'll love our position if:
(This is the stuff you MUST have to be a fit)
5+ years of professional software engineering experience, including testing and deploying iterative releases of software systems
3+ years of experience applying, implementing, and/or developing machine learning or statistical algorithms
Proficiency in Python and/or C++ and SQL
3+ years in data modeling and systems design skills
We'll REALLY love you if:
(This is the bonus stuff that makes you stand out)
You have a bachelor’s degree in Computer Science or Software Engineering, or Master’s Degree or PhD in Computer Science or Software Engineering
You have an established portfolio of publications, projects and/or speaking engagements
3+ years working with cloud software design using distributed caching
Advanced knowledge of big data and machine learning technologies, especially in AWS and/or Google
Experience with Apache Atlas, Airflow, and Spark
The Admin Stuff: Applicants selected may be subject to a government security investigation and must meet eligibility requirements for potential access to classified information. Accordingly, US Citizenship is required
The Legal Stuff:MetroStar Systems is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. The statements herein are intended to describe the general nature and level of work being performed by employees, and are not to be construed as an exhaustive list of responsibilities, duties, and skills required of personnel so classified. Furthermore, they do not establish a contract for employment and are subject to change at the discretion of MetroStar Systems."
44,ML Software Engineer - Event Detection,"New York, NY",New York,NY,None Found,None Found,None Found,None Found,None Found,None Found,"
BS, MS, or PhD in computer science or a related quantitative field with 4+ years of software engineering experience
Experience with software engineering best practices (e.g. unit testing, code reviews, design documentation)","Who We Are:


When an event occurs in the real-world, it often breaks out on Twitter. The Event Detection team builds, scales and maintains the software services that power the discovery of interesting and eventful conversation across the product. We detect and surface what’s happening, contextualizing by finding the most interesting content around events, including Trends, Moments, and Live Videos for users. We are a tightly knit and passionate group that loves working together, and we are looking for exceptional additions to our flock.


What You'll Do:
Events are one of the central use-cases for Twitter and millions of people are informed about their world through our work. The team’s purpose is to automatically detect such Events on Twitter. As an ML engineer on our team, you will apply machine learning and data science techniques to a modeling and relevance problems related to automatic Event detection. You will participate in the engineering life-cycle at Twitter, including building and analyzing datasets, working with offline data pipelines, writing production code, conducting code reviews, and working alongside our systems engineers. Although you will work on cutting-edge problems, please note that this is not a research position. You will work directly with multiple teams across the company who are innovating on the product and refining Twitter to make it the best place to see and talk about what's happening in the world.


Who You Are:


You have a passion for machine learning and improving the ways people consume what’s happening in the world. You are a relevance engineer, applied data scientist or machine-learning engineer who wants to work on exciting algorithmic and infrastructure issues. You are experienced solving large scale relevance problems and comfortable building brand new systems to enable future quality improvements.


Knowledgeable in one or more of the following: machine-learning, information retrieval, recommendation systems, social network analysis
A strong technical advocate with a background in Java, Scala, or Python. Preferably familiar with Jupyter notebook environments and Spark or pySpark.
Passionate about working with large unstructured and structured data sets and developing new approaches to relevance problems.
Experienced in collaborating across multiple teams including analytics, product management, and operations.
Requirements:

BS, MS, or PhD in computer science or a related quantitative field with 4+ years of software engineering experience
Experience with software engineering best practices (e.g. unit testing, code reviews, design documentation)


We are committed to an inclusive and diverse Twitter. Twitter is an equal opportunity employer. We do not discriminate based on race, ethnicity, color, ancestry, national origin, religion, sex, sexual orientation, gender identity, age, disability, veteran status, genetic information, marital status or any other legally protected status.

San Francisco applicants: Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records."
125,Managing Data Scientist / ML Engineer,"Boston, MA",Boston,MA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"We’re looking for a Data Science lead that relishes understanding the latest advanced analytics and machine learning then converting those technologies into effective solutions that help to measurably build a client’s business. We are looking for someone who’s eager to roll up their sleeves with clients then take ideas and run with them.

The Data Science & AI group at PA Consulting is your dream community. As part of the fastest growing innovation practice within PA Consulting, you will work with the latest advanced analytics, machine learning, and big data technologies to generate actionable insights from data and develop innovative data products. We focus on Life Science, Healthcare, Energy & Utilities and CPG sectors and work with various data sets, from social media to public health data. Our domain focus is broad and covers everything from computer vision and NLP, recommender engines, classification and clustering algorithms, linear programming and optimization.

Job Requirements7+ years professional work experience as a data scientist or machine learning engineerStrong interpersonal and team-building skillsExemplary communication skills, including written, verbal and presentationThe ability to successfully manage client expectations and relationshipsEntrepreneurial, with creative thinking skills
Role & Responsibilities:
Work in collaborative environment with global teams to drive client engagements in PA Consulting key industries: Life Science, Healthcare, E&U, CPGProvide data-driven recommendations to clients by clearly articulating complex technical concepts through generation and delivery of presentations.Analyze and model both structured and unstructured data from a number of distributed client and publicly available sources.Quickly understand client needs, develop solutions, and articulate findings to client executives.Perform exploratory data analysis and feature engineering to both inform the development of statistical models and generate improve model performance and flexibility.Design and build scalable machine learning models to meet the needs of given client engagement.
Preferred:
Experience working with database systems (e.g. SQL, NoSQL, MongoDB, Postgres, ect.)Experience working with big data distributed programming languages, and ecosystems (e.g. S3, EC2, Hadoop/MapReduce, Pig, Hive, Spark, etc)Experience building scalable data pipelines and with data engineering/ feature engineering.Webscraping leveraging Beautifulsoup, Selenium, Scrapy, etcExperience with front end (UI), HTML5, JavaScript, CSS, R Shiny, TableauExcellent team-oriented and interpersonal skills.

About PA Consulting Group
About PA

Bringing Ingenuity to Life: We’re an innovation and transformation consultancy that believes in the power of ingenuity to build a positive-human future in a technology-driven world. Our diverse teams of experts combine innovative thinking with breakthrough-technologies to progress further, faster.

With a global network of FTSE 100 and Fortune 500 clients, we’ll offer you unrivalled opportunities for growth and the freedom to excel. Combining strategies, technologies and innovation, we turn complexity to opportunity and deliver enduring results, enabling you to build a lasting career.

Isn’t it time you joined us?

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. VEVRAA Federal Contractor
We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class. VEVRAA Federal Contractor"
219,Amazon AI ML Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Master’s Computer Science (or another quantitative field)3+ years of practical experienceAlgorithm and model development experience for large-scale applicationsExcellent programming skills (C/C++, python, Unix)Practical experience in AI, Machine Learning/Deep Learning

AWS Comprehend Medical is looking for a Machine Learning Engineer to join our
science team in the area of Speech and Natural Language Processing.
Our organization develops the science that drives the cloud-based AI
services of AWS Comprehend Medical. Our mission is to put the power of AI into the hands
of every developer. We seek to advance the state of the art in machine
learning to create services that delight our customers and meet
real-world business needs.

As a Machine Learning Engineer you will partner with talented
scientists and engineers to design, train, test, and deploy machine
learning models. You will contribute to innovative features, improve
our services based on customer requirements and help maintain a highly
scalable data and model management infrastructure that supports
cutting-edge research. You will be responsible for translating
business and engineering requirements into deliverables and software
products.

We are looking for candidates who thrive in an exciting,
fast-paced environment and who have a strong personal interest in
learning, researching, and creating new technologies with high
customer impact.

Prior domain knowledge in speech, natural language processing, or
computer vision is strongly preferred; solid knowledge of fundamentals
of statistics, machine learning, and deep learning is
required. Candidates should possess strong software engineering
skills and several years of industry experience.

BASIC QUALIFICATIONS
Master’s Computer Science (or another quantitative field)3+ years of practical experienceAlgorithm and model development experience for large-scale applicationsExcellent programming skills (C/C++, python, Unix)Practical experience in AI, Machine Learning/Deep Learning
PREFERRED QUALIFICATIONS
Prior experience in speech, natural language processing, computer vision or related areaFamiliarity with AWS infrastructureExperience with large-scale distributed systems or high-performance computing

Prior experience in speech, natural language processing, computer vision or related areaFamiliarity with AWS infrastructureExperience with large-scale distributed systems or high-performance computing
Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
400,ML/AI Engineer,"San Francisco, CA 94102",San Francisco,CA,94102,None Found,None Found,None Found,None Found,None Found,None Found,"JOB FAMILY SUMMARY:
MINDBODY’s Machine Learning & Artificial Intelligence is poised to lead predictive analytics in the Enterprise Fitness, Wellness & Beauty industries with its unique suite of products enhanced by Machine Learning and AI. Our goal is to enable completely data-driven, automated smart analytics in MindBody products using ML, AI and Deep Learning to enrich our customers' existing apps and workloads for a more efficient and productive Fitness, Wellness & Beauty provider ecosystem. We are looking for a Data Scientist to contribute, help define and ship our Machine Learning & Artificial Intelligence (ML & AI) products enabling data driven decision making via advanced Machine Learning, Micro-services Apps and AI, backed by thousands of customers and multiple millions of consumers data.
JOB SUMMARY:
As a Machine Learning Engineer, you will provide strong algorithm and coding execution and delivery of Machine Learning & Artificial Intelligence (Machine Learning) core engines focused on MindBody Payer/Provider datasets. Working as a part of the product team, this Machine Learning Engineer will translate business needs into advanced analytics and machine learning models. The successful candidate will be responsible for model selection and identification of appropriate training data sets; building, training, and evaluating models; and delivering results to the business (SaaS Web Apps as stand-alone products or integrated with existing MindBody Apps) on a regular cadence. This role is part of a fully Agile Scrum team, so the Machine Learning Engineer will work alongside a product owner, technical lead, and team of software developers and data engineers to support delivery of high-value analytics, ML, AI and software products for Fitness, Wellness & Beauty Vendor Partners worldwide.
MINIMUM QUALIFICATIONS AND REQUIREMENTS:
0-2 years of experience in Machine Learning & Artificial Intelligence/Machine Learning
M. S. or Ph. D. Degree in Computer Science, Engineering, Mathematics, Applied
Sciences, Statistics or job-related discipline or equivalent experience
M. S. and job-related experience, OR Doctorate Degree and job-related experience,
PhD in computer science, math or a related field (Physics, natural sciences, mathematics)
Experience with Python, R, Scala, SQL and one of the advanced Deep Learning, RL or AI libs like TensorFlow and PyTorch
Experience developing solutions with Pandas/Scikit-learn, Spark or comparable technologies
Experience Machine Learning & Artificial Intelligence notebooks (Jupyter, Zeppelin or other)
Experience with AWS, Azure, cloud computing technologies
Passion for proactive health and wellness, beauty and fitness missions
Experience designing efficient Machine Learning & Artificial Intelligence workflows and database architecture
Experience with forecasting, Bayesian networks, and graph analytics
Strong statistics training and experience
Experience with software development methodologies and software engineering principles
Knowledge of program management theories, concepts, methods, best practices, and techniques as needed to perform at the job level
Knowledge of relevant programming languages - for example R, python, C++, C, SQL, Java – as needed to perform at the job level
Competency in knowing the most effective and efficient processes to get things done, with a focus on continuous improvement
Knowledge of principles, techniques, and procedures used for production and design of technology-based equipment and systems as needed to perform at the job level
Knowledge of statistical theories, concepts, methods, best practices, and analyses as needed to perform at the job level
Ability to develop reports, models, and simulations as needed to perform at the job level
Competency in developing and delivering multi-mode communications that convey a clear understanding of the unique needs of different audiences
PRINCIPAL DUTIES AND RESPONSIBILITIES:
Provides hands-on execution and implementation of Machine Learning & Artificial Intelligence models
Works under general supervision to identify and analyze problems
Weighs relevance and accuracy of information
Upholds the company values and culture
Learns to use professional, fundamental concepts, practices and procedures of the artificial intelligence and machine learning discipline
Learns and applies company policies and procedures to resolve routine issues
Uses data to support own point of view when interacting with the team
Provides information, analysis and recommendations in support of the machine learning team.
Takes actions that are consistent with goals and objectives
Translates business analysis needs into well-defined machine learning problems, and selecting appropriate models and algorithms
Communicates model evaluation, process, assumptions, and implications of results back to a variety of stakeholders
Recognizes and prioritizes the most important work related to machine learning models to achieve highest operational impact for analytics in the business
Balances tradeoffs among analytics value, model development methods and design and technologies used to implement machine learning models with a bias toward action
Performs collaborative work on machine learning problems and mentor junior data scientists
Creates shared process models to effectively articulate multiple views of the business solutions that support technical architecture for Big Data platform implementation of stabilized Machine Learning core
Helps manage development of quantitative models and tools
Collaborates with leaders, customers and business partners to work on projects
All other duties as assigned"
533,"Senior ML DNN Engineer, Perception","Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Nov 2, 2018
Weekly Hours: 40
Role Number: 200007261
Apple is looking for a talented, dedicated, and results-oriented DNN machine learning engineer to develop and integrate complex autonomous systems. In this position, you will have the opportunity to work with a multi-functional team on an innovative multi-platform hardware/software product.
Key Qualifications
3+ years of Deep learning for vision/perception domain
3+ years production software experience, especially collaboration with moderate to large groups of developers
Highly experienced with ML tools and libraries (Tensorflow/Pytorch)
Strong background in Python, C++, Linux
Experience with modern distributed computed paradigms and platforms (AWS. MapReduce, Spark)
Solid and fluent understanding of algorithm and data structures
Demonstrated creative, critical and independent thinking capabilities and troubleshooting skills.
Strong analytical and communication skills
Description
You will design and develop state of the art DNN models for addressing complex perception tasks for an autonomous technology project. You will be concerned with the full stack of DNN development: designing and training DNN networks, write production code, develop tools and metrics for enabling DNNs on device and in production.
Education & Experience
Bachelor degree or Masters in computer science/ML equivalent professional experience.
Additional RequirementsPassion for building great softwarePassion for clean APIs, and great documentationPassion for metrics and algorithm visualizationDeployment of Deep Learning or ML models at scale or into productionSQL and databases
Apple is an equal opportunity employer that is committed to inclusion and diversity. We also take affirmative action to offer employment and advancement opportunities to all applicants, including minorities, women, protected veterans, and individuals with disabilities. Apple will not discriminate or retaliate against applicants who inquire about, disclose, or discuss their compensation or that of other applicants."
536,Siri - ML Infrastructure Engineer,"Santa Clara Valley, CA 95014",Santa Clara Valley,CA,95014,None Found,None Found,None Found,None Found,None Found,None Found,"Summary
Posted: Oct 3, 2019
Weekly Hours: 40
Role Number: 200104210
Machine Learning is critical to Siri, and continuous quality evaluation is essential to strong machine learning. Be part of a deeply technical team that builds the algorithms, pipeline, and tools to help measure and guide the high quality of Siri's ML systems. You will design new evaluation metrics, work closely with every machine learning team at Siri, and help craft the end-to-end ML pipeline that powers Apple's intelligent assistant. You will have the opportunity to work on state of the art algorithms and use your machine learning skills to solve challenging technical problems in our next-gen products, and delight millions of people.
Key Qualifications
Strong programming and software engineering skills.
Experience designing and implementing large-scale data- and compute-intensive pipelines and/or tools.
Experience in deep learning and related toolkits, e.g. Tensorflow, PyTorch, Keras, etc.
Ability to develop machine learning evaluation and analysis techniques, and explain them to a broad technical audience.
Proficiency in Python (preferred), Java, C++, Scala, or Go.
Description
Design and implement machine learning tools, scripts, and pipelines, focused on the evaluation of machine learning models and their impact on the full end-to-end Siri assistant system. Work directly with the ML teams that comprise the different stages of Siri understanding and execution. Build metrics-intensive systems that have quantifiable impact on the Siri user experience.
Education & Experience
B.S. or M.S. or Ph.D. degree in Computer Science, or equivalent experience"
0,Machine Learning Engineer,"Vienna, VA",Vienna,VA,None Found,None Found,"
Bachelor’s Degree
At least 2 years of open source Machine Learning algorithm development experience in Python and AWS
At least 2 years of Regression analysis, Non-parametric, Bayesian Statistics, or Applied Probabilities
At least 2 years of hands on experience with Redshift tables and PostgreSQL tables
At least 2 years of experience in Continuous Integration/Continuous Development, Test Automation, Build Automation, and Test-Driven Development.
At least 2 years of deployment in AWS Cloud computing environments
",None Found,"
End-to-end/full stack software solutions development and deployment of our Machine Learning (ML) and Artificial Intelligence (AI) algorithms.
Write, design, code, test, implement, debug, and validate applications; document design decisions and develop modular software components; monitor system performance metrics, and identify potential risks/issues.
Lead multiple software development initiatives at any given time, serving as an expert for the escalation of complex application design and development issues.
Provide active mentorship/guidance to junior members of the Agile Tech team and participate in internal and external technology communities.
Work with product owners to understand desired application capabilities and testing scenarios, and define, establish, and execute against strategic technical management and business delivery roadmaps, actively managing data risks, issues, and impediments.
Present project metrics, complex ML and AI concepts to both technical and non-technical audiences.
",None Found,None Found,"Towers Crescent (12066), United States of America, Vienna, Virginia

At Capital One, we’re building a leading information-based technology company. Still founder-led by Chairman and Chief Executive Officer Richard Fairbank, Capital One is on a mission to help our customers succeed by bringing ingenuity, simplicity, and humanity to banking. We measure our efforts by the success our customers enjoy and the advocacy they exhibit. We are succeeding because they are succeeding.

Guided by our shared values, we thrive in an environment where collaboration and openness are valued. We believe that innovation is powered by perspective and that teamwork and respect for each other lead to superior results. We elevate each other and obsess about doing the right thing. Our associates serve with humility and a deep respect for their responsibility in helping our customers achieve their goals and realize their dreams. Together, we are on a quest to change banking for good.

Machine Learning Engineer

Responsibilities:

End-to-end/full stack software solutions development and deployment of our Machine Learning (ML) and Artificial Intelligence (AI) algorithms.
Write, design, code, test, implement, debug, and validate applications; document design decisions and develop modular software components; monitor system performance metrics, and identify potential risks/issues.
Lead multiple software development initiatives at any given time, serving as an expert for the escalation of complex application design and development issues.
Provide active mentorship/guidance to junior members of the Agile Tech team and participate in internal and external technology communities.
Work with product owners to understand desired application capabilities and testing scenarios, and define, establish, and execute against strategic technical management and business delivery roadmaps, actively managing data risks, issues, and impediments.
Present project metrics, complex ML and AI concepts to both technical and non-technical audiences.

Basic Qualifications:

Bachelor’s Degree
At least 2 years of open source Machine Learning algorithm development experience in Python and AWS
At least 2 years of Regression analysis, Non-parametric, Bayesian Statistics, or Applied Probabilities
At least 2 years of hands on experience with Redshift tables and PostgreSQL tables
At least 2 years of experience in Continuous Integration/Continuous Development, Test Automation, Build Automation, and Test-Driven Development.
At least 2 years of deployment in AWS Cloud computing environments

Preferred Qualifications:

Ph.D. in Computer Science, Engineering, Information Systems, Physics or Mathematics discipline
4+ years of experience in software development using Python, Scala, Java, RESTful API, Apache, Spark, Kafka and Microservices
4+ years of experience with the full AWS stack and distributed Big Data technologies such as: Hadoop, Python, Hive or Cloudera
Experience in Scala, R, Java, Perl, JavaScript, or Shell
Experience with Tensorflow

At this time, Capital One will not sponsor a new applicant for employment authorization for this position."
1,Data Scientist/Machine Learning Engineer,"Washington, DC 20005",Washington,DC,20005,None Found,"
7+ years of experience with analytics, big data, data science, machine learning, or artificial intelligence serving in technical delivery roles, including as a data scientist, developer, architect, engineer, mathematician, statistician, or machine learning specialist
5+ years of experience with leading or managing delivery teams, projects, development efforts, research efforts, or similar
3+ years of experience with programming, including in machine learning frameworks, such as TensorFlow, Keras, PyTorch, Caffe, and MXNET
3+ years of experience with business development, client or customer relationship management, proposal development, or similar, including grant application
Experience with traditional and Agile framework project management approaches and constructs
Experience with developing effective delivery or research teams, including recruiting, hiring, mentoring, coaching, and managing team members
Experience with authoring white papers, peer-reviewed articles, or other relevant technical content
Ability to effectively communicate results to both technical and non-technical audiences, including presenting to senior executives, industry conferences, technical seminars, meet-ups, or similar
BA or BS degree in Statistics, Machine Learning, Mathematics, CS, Computer Engineering, Industrial Engineering, or Operations Research
Ability to work in the US indefinitely without sponsorship
Ability to obtain a US security clearance if needed",None Found,"
7+ years of experience with analytics, big data, data science, machine learning, or artificial intelligence serving in technical delivery roles, including as a data scientist, developer, architect, engineer, mathematician, statistician, or machine learning specialist
5+ years of experience with leading or managing delivery teams, projects, development efforts, research efforts, or similar
3+ years of experience with programming, including in machine learning frameworks, such as TensorFlow, Keras, PyTorch, Caffe, and MXNET
3+ years of experience with business development, client or customer relationship management, proposal development, or similar, including grant application
Experience with traditional and Agile framework project management approaches and constructs
Experience with developing effective delivery or research teams, including recruiting, hiring, mentoring, coaching, and managing team members
Experience with authoring white papers, peer-reviewed articles, or other relevant technical content
Ability to effectively communicate results to both technical and non-technical audiences, including presenting to senior executives, industry conferences, technical seminars, meet-ups, or similar
BA or BS degree in Statistics, Machine Learning, Mathematics, CS, Computer Engineering, Industrial Engineering, or Operations Research
Ability to work in the US indefinitely without sponsorship
Ability to obtain a US security clearance if needed",None Found,None Found,"Atlas Research is looking for a Data Scientist/Machine Learning Engineer to support federal clients.
Essential Duties and Responsibilities:
Analyze large amounts of data collected from diverse sources, such as social media, images, video, and sensor feeds, extracting patterns and drawing relationships across them. Leverage your experience and skills as a data scientist, machine learning engineer, and artificial intelligence specialist to understand the complex relationships between the business needs, the data, and modeling approaches.
Develop and apply the latest innovations in machine learning, artificial intelligence, and related technologies. Lead and support research and development efforts to explore the applicability of emerging machine learning and artificial intelligence methods to address client challenges and identify and prioritize emerging methods and challenges for original research or proof of concepts. Lead and support efforts to identify, shape, capture, and deliver data science, machine learning, and artificial intelligence contracts for clients. Shape external client strategies, technology roadmaps, implementation plans, and research initiatives to integrate data science, machine learning, and artificial intelligence in support of client missions. Help identify, recruit, lead, and develop a world-class team of data scientists, data engineers, machine learning engineers, and artificial intelligence specialists.

Minimum Qualifications
7+ years of experience with analytics, big data, data science, machine learning, or artificial intelligence serving in technical delivery roles, including as a data scientist, developer, architect, engineer, mathematician, statistician, or machine learning specialist
5+ years of experience with leading or managing delivery teams, projects, development efforts, research efforts, or similar
3+ years of experience with programming, including in machine learning frameworks, such as TensorFlow, Keras, PyTorch, Caffe, and MXNET
3+ years of experience with business development, client or customer relationship management, proposal development, or similar, including grant application
Experience with traditional and Agile framework project management approaches and constructs
Experience with developing effective delivery or research teams, including recruiting, hiring, mentoring, coaching, and managing team members
Experience with authoring white papers, peer-reviewed articles, or other relevant technical content
Ability to effectively communicate results to both technical and non-technical audiences, including presenting to senior executives, industry conferences, technical seminars, meet-ups, or similar
BA or BS degree in Statistics, Machine Learning, Mathematics, CS, Computer Engineering, Industrial Engineering, or Operations Research
Ability to work in the US indefinitely without sponsorship
Ability to obtain a US security clearance if needed
Preferred Qualifications
Experience with machine learning techniques and their application, including deep learning, such as CNN, RNN, or transfer learning, NLP, gradient-boosted trees, Neural Machine Translation (NMT), and reinforcement learning
Ability to provide a public Github repository, Blog, or Kaggle account showcasing machine learning models developed
MS degree in Science, Engineering, Mathematics, or related field preferred; PhD degree a plus"
2,Machine Learning Engineer,"Alexandria, VA",Alexandria,VA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"RII develops cutting-edge software for the government and military. We use agile development practices and user-centered design to create innovative software solutions for complex real-world problems. We're breaking through the big, slow status quo with transformative technology that fundamentally changes and improves the world.

Our team is currently seeking high-quality contributors for a variety of positions in the Northern Virginia area. Our projects include developing complex, web client server applications; developing mobile device applications and prototypes; developing Big Data and machine learning solutions; architecting and prototyping complex distributed command and control network applications.

If you are a sharp, experienced engineer with demonstrated capabilities in implementing machine learning and analytical solutions on Big Data stacks we want to hear from you. Joining RII not only provides unique challenges and opportunities, it also directly and positively impacts many of our Defense and Homeland Security end users.
WHAT YOU WILL BE DOING
Identify, develop, and evaluate machine learning capabilities for deployment on our best-of-breed Big Data tech stack in support of multiple customer projects
Maintain awareness of current and emerging capabilities in machine learning and analytical technologies and how these apply to solving our customers’ challenges
Develop captivating solutions by collaborating with customers and development team
Document use cases, solutions, & recommendations to customers
WHAT YOU HAVE DONE
BS in Computer Science, or equivalent degree or work experience
Experience designing, developing, training, tuning, and deploying learning models in current ML frameworks (e.g., Tensorflow, PyTorch, Theano, Caffe, Spark MLib, etc.)
Strong software development in Python or Java
Experience performing exploratory analysis – cleaning, joining, enriching, statistical modeling, and prototyping visualizations to identify latent trends and patterns
Experience curating training and analysis datasets – cleaning, enriching, joining, annotating, and crowdsourcing data for creating and evaluating production models
Understanding in Linux operating systems, distributed systems, and databases (NoSQL and relational)
Excellent understanding of ETL and data analytics platforms
 Experience understanding and decomposing system level requirements into discrete and measurable tasks
EVEN BETTER
MS or PhD in Computer Science or equivalent degree or work experience
Experience designing, developing, and deploying analytics in streaming and cross-corpus frameworks like Spring Cloud, Kafka, Spark, MapReduce, and/or other related BigTable technologies
Experience with Agile Methodologies
Experience with natural language processing techniques and technologies
Strong knowledge of the installation, configuration, and maintenance cloud computing and Big Data infrastructure to include Hadoop, Accumulo, Kafka, Spark, Elasticsearch, Puppet, Ansible, Lucene, and related technologies
Experience with continuous integration and continuous deployment using Atlassian products
Experience with Atlassian products
Extensive experience with model transfer techniques and methodologies
Experience applying machine learning techniques to sparse data sets
Knowledge of cloud computing infrastructure such as: Amazon Web Services EC2 & Elastic
Experience creating Big Data solutions using public, private, and hybrid cloud approaches
Experience with integration methodologies and tools for Big Data applications and services
Experience with data quality and data profiling tools
Active clearance not required to apply.
US Citizenship required. Candidates must be clearable to Secret, desired TS/SCI.

Research Innovations, Inc. is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national, origin, disability status, protected veteran status, or any other characteristic protected by law."
