,Job_Title,Company,Salary,Location,Full_Description
0,"Software Engineer, Backend Intern",Taboola,,"Los Angeles, CA","Read something interesting online today? There's a good chance it reached you because of our technology.

Taboola is the world's leading content discovery platform, serving 360B recommendations to over 1B unique visitors each month on the web's most innovative publisher sites, including NBC, USA Today, The Weather Channel, Tribune and Fox Sports.

Taboola, the world’s largest content recommendation platform, is hiring an Intern Software Engineer to join our Backend Team in Downtown LA. This team builds Taboola Newsroom, an innovating editorial tool powered by Taboola’s predictive engine and massive data set of over 1B internet users. Taboola Newsroom helps writers, editors and special-interest teams make informed decisions to increase readership.

Responsibilities

Work on backend Java-based web applications and big data pipeline
Learn our agile SCRUM process, coding standards and business use cases
Work on projects alongside frontend and backend engineers from inception through production release and user acceptance.
Requirements

BS/MS in Computer Science or equivalent enrolled student or graduate. May consider self-taught individuals with previous development experience.
Fluency in one of the major programming languages such as Java/C++/Python
Strongly self-motivated and self-driven, a team player
Some experience with SQL and NoSQL

Preferred Requirements

Exposure to big data tools: Hadoop, Spark, Kafka, HBase, etc.
Working knowledge or previous experience in API creation, design and data manipulation
Please be sure to include listing of any hackathons attended, school projects, and github link for review in your resume.


Taboola is an equal opportunity employer and we value diversity in all forms. We are committed to creating an inclusive environment for all employees and believe such an environment is critical for success. Employment is decided on the basis of qualifications, merit, and business need"
1,Software Engineer 1,Choice Hotels,,"Phoenix, AZ 85032","Ability to model Choice’s Cultural Values: Welcome and Respect Everyone, Be Bold, Be Quick, Listen, Be Curious and Show Integrity."
2,Software Engineer x4 (38658),Innovar Group,,"Englewood, CO 80111","Innovar Group is looking for a Software Engineer x4 (38658) in Englewood, CO

CLICK APPLY NOW TO LEARN MORE ABOUT THIS JOB
Innovar Group is comprised of senior talent agents who deliver top recruitment services to clients throughout the United States. We bring a new era of recruiting to the industry by aligning state-of-the-art technology with outstanding talent.
Category: Financial

Experience: Contract

Salary: Competitive Compensation and Benefits Package

About Us: Innovar - derived from the Latin “to innovate” - this is what we set out to do each and every day. We strive to go beyond the norm to utilize innovative next-gen recruiting tools connecting us to the world at large in order to uncover high-impact TECHNOLOGY talent for our valued clients. Our goal is straightforward: the unmitigated satisfaction of each client. The difference is significant; we provide consummate service and foster long-term, thriving relationships with our clients. In essence, we work as a vital member of your talent acquisition team.

Keywords: Software Development / Relationships / Environment / Provide / Maintenance / Project Management / Java / Communication / Experience /"
3,"Software Engineer Intern (Chandler, AZ - Summer 2020)",Garmin,,"Chandler, AZ","We are looking for a full time Software Engineer Intern to develop embedded or application software for products at our Chandler, Arizona office. They will test software, perform software releases, quality assurance activities and performance maintenance activities on real Garmin products.

Essential functions and responsibilities in this role include:
New product design and development
Troubleshooting basic issue reports & implementing software solutions
Communicating status of work & providing visibility to supervisor
Learning how to use & apply various engineering tools as needed for the role
Planning technical work to meet team objectives
Applying design standards and procedures to implement basic designs
Thoroughly documenting work in an organized manner
Working collaboratively in a team environment to achieve individual & team goals
Qualifications

Qualified candidates for this role will have completed coursework in Computer Science, Electrical Engineering, Computer Engineering, or a field relevant to perform the essential functions of this job description with a minimum cumulative GPA greater than or equal to 3.0.
Other requirements include:
Demonstrated strong and effective verbal, written, and interpersonal communication skills
Must demonstrate relevant experience and/or training in a low, mid, or high-level language such as C, C++, C#, Java, or other selected languages
Must possess relevant experience and/or training in data structures or object-oriented design methodology relevant to Garmin’s business need
A cumulative GPA greater than or equal to 3.0 and previous experience working in a team environment is highly preferred!
Garmin Intern Perks:
Social activities and service opportunities planned for interns
Paid time off
Paid holidays
Test cutting-edge Garmin products before they are released
No formal dress code
Assigned mentor to answer your questions and help you grow in your technical skillsets
Associate discount on consumer products
Paid, coordinated housing or stipend option for interns whose permanent address is located more than 50 miles from Garmin HQ
Housing stipend option for those at field locations (non-Olathe) whose permanent address is located more than 50 miles from the field location
If you join us full-time, your time as an intern counts towards becoming fully vested with your 401K
Waived registration fees for Garmin-approved races
As part of our ongoing commitment to helping associates maintain a healthy balance between work and life, we sponsor company-wide and individual wellness initiatives, as well as world-class sporting events—and even some of the participating athletes. In each of the communities in which we do business, Garmin has a strong philanthropic and civic presence.
Applicants will be considered for all U.S. locations; this excludes Salem, Oregon.
Applicants will also be considered for all SWE internship positions open at Garmin, excluding Salem, Oregon.
Applicants will be considered for all Garmin business segments (i.e., Aviation, Fitness, Marine, Outdoor, Auto OEM, Consumer Automotive, etc.).
Garmin International is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, citizenship, sex, sexual orientation, gender identity, veteran’s status, age or disability.

Job Engineering
Primary LocationUS-AZ-Chandler
Organization Aviation Business
Schedule Full-time
Job Class Non-exempt"
4,"Entry Level Software Engineer - Huntsville, AL",Intuitive Research and Technology Corporation,,"Huntsville, AL 35805","Participates in all phases of software development, including requirements, analysis, design, implementation, and testing. Contributes to new software development. Develops and documents assigned software per customer and internal software development processes, along with status to task management.

Understands the relationship between software modules and hardware interfaces. Utilizes excellent communication skills and embraces working within a highly motivated team environment. Employs strong organizational, multi-tasking, and time management skills to accomplish tasks efficiently.

Required

BS in Computer Science or equivalent technical degree; or an ABET accredited BS in Computer or Electrical engineering
Some travel
Ability to obtain and maintain security clearance
Desired

Minimum 1 year software experience, including object-oriented programming
Understanding of game engine (i.e. Unreal Engine 4 and/or Unity) development and modeling principles
Working knowledge of CMMI (Capability Maturity Model Integration) software development processes
Understanding of Agile software development
Necessary Competencies

Honesty, superior ethics
Interpersonal savvy, excellent communication skills
Ability to be a team player
Initiative
Positive attitude
 Professionalism
Life at INTUITIVE®

Awards: INTUITIVE’s many awards showcase our success at building a professional and well-rounded culture of excellence. Awards include Best Small and Medium Companies to Work for in the U.S. in Fortune Magazine, Huntsville Best Places to Work, National Prime Contractor of the Year Award, Best for Vets in Military Times Edge Magazine, Top 50 Companies in America for Workers over 50, Torch Award for Ethics, Family Friendly Business Award, Fit Friendly Company Award, and more. Employees take great pride in these validations of our success.

Giving Back: Giving in the community includes investment of time and effort, as well as monetary action. Very thoughtful in our choices, we focus on helping children and the elderly, as we feel they are most often overlooked. This approach results in meaningful employee involvement as we volunteer at a local school, support organizations that care for the homebound, assist groups that care for homeless children and families, support veteran organizations and activities, et al. Employee feedback shares how very rewarding such activities are.

Fun: Our natural atmosphere of camaraderie and professionalism fosters our coming together to enjoy many events, the success of which is evidenced by great turn-out, lots of fun, and wonderful feedback.

Focus on Health: Very health-conscious from the top down, we incorporate many types of health-related events and activities, resulting in positive impact on health-care cost outcomes. We are a proud winner of the Fit Friendly Company Award from the American Heart Association.

Incentives: A robust focus on recognition for performance, accomplishments, and creativity is part of our attracting and retaining skilled and talented individuals, supporting our outstanding retention rates.

Continuing Education: Close attention to the development of our employees and supporting them in many avenues of continuing education are a part of our company fabric, and result in the furthering of the caliber of our capabilities as well as the satisfaction of our employees.

Disability Accommodation for Applicants - Intuitive Research and Technology Corporation is an Equal Employment Opportunity employer and provides reasonable accommodation for qualified individuals with disabilities and disabled veterans in its job application procedures. If you have any difficulty using our online system and you need an accommodation due to a disability, you may use the following alternative email address or phone number to contact us about your interest in employment at INTUITIVE: Sonya Tolliver; at sonya.tolliver@irtc-hq.com. Our process is to respond and to work with the requestor to identify a workable accommodation to the application process."
5,"Software Engineer, New Graduate 2020",Quantcast,,"San Francisco, CA 94103","Quantcast is hiring Software Engineers to join our engineering teams in our San Francisco office.

As the real-time pulse of the Internet, Quantcast runs the world’s largest AI-driven insights and measurement platform directly quantifying over 100 million web destinations. We are using machine learning to drive human learning. Quantcast provides brand marketers and publishers with significant audience insights, predictive targeting and measurement solutions across the customer journey.

As a Software Engineer, you’ll seek significant answers related to Machine Learning, Distributed Storage Systems, Big Data platforms, API Development and Data Visualization.

You’ll have the opportunity to learn Software Engineering methodologies and will own projects from start to finish. You are passionate about building scalable backend systems and customer-facing applications. You will thrive in an environment where independent decision-making based on product requirements is the norm. We foster an agile environment where new ideas and software development come together to effectively pursue some of our industry's toughest problems.
Responsibility
You will provide technical solutions to take on challenging problems in the advertising industry
You will partner with a team of engineers and work on a variety of large scale systems
You will collaborate with Product & Business Operations teams to translate business requirements and build highly robust and scalable products
You will gain exposure to existing Quantcast systems and our technologies to internal and external customers
You will be responsible for the day-to-day product operations
Requirements
BS, MS or PhD degree in computer science or related field (Graduation date before August 2020)
Excellent command of one or more programming language in Java or Python
Experience working with distributed systems, big data and large-scale systems
Deep understanding of algorithms and data structures
Extraordinary verbal and written interpersonal skills
Quantcast owns and operates the world’s largest audience insights and measurement platform on the open internet. Fueled by live data drawn from more than 100 million web and mobile destinations, Quantcast applies machine learning technology to help marketers, publishers, and agencies grow their brands by better understanding and predicting consumer interactions in real-time.

Founded in 2006, Quantcast is headquartered in San Francisco and has employees in over 20 offices across 10 countries. We are committed to building an inclusive and diverse environment where everyone can be their authentic self."
6,Software Engineer,"University of California, Santa Cruz",,"Santa Cruz, CA","The Genomics Institute creates advanced technologies and open-source genomics platforms to unravel evolutionary patterns, molecular processes and the underpinnings of disease. Our platforms, technologies and scientists unite global communities to create and deploy data-driven, life-saving treatments and innovative environmental, conservation efforts. The Genomics Institute is openly and responsibly sharing what is learned and created with the entire genomics community. It is a public university institution dedicated to creating a healthier world.

The Computational Genomics Platform (CGP) team uses big data technologies to facilitate genomic research for global health issues such as breast cancer and other genetic risk factors. The team collaborates with many universities and institutes around the world. Examples of projects include supporting a global team to create the Human Cell Atlas, a compendium that maps gene activity in each cell in the human body, and the National Health Institute Data Commons project, which is about developing the technology to share and combine controlled access to genomic data across different institutes.

The Software Engineer develops software for the Computational Genomics Platform (https://cgl.genomics.ucsc.edu/team/) to support a wide variety of grant deliverables. They use skills as a seasoned, experienced bioinformatics programming professional with a broad understanding of computational algorithms to identify and resolve a wide range of issues/software bugs. The incumbent solves dynamic and challenging problems, learning new technologies as necessary and collaborating with colleagues and external partners. The Software Engineer uses Agile software development methods to produce reliable and reusable code that will be used in leading genomics science. Demonstrates good judgment in selecting methods and techniques for obtaining solutions and operates independently.

If you are excited to work in a fast-paced, startup like environment within an institution of higher education in beautiful Santa Cruz, California, we encourage you to apply.

Qualifications / Competencies

Bachelor's degree in biological science, computational / programming, or related area and / or equivalent experience / training.

Experience with and demonstrated knowledge of applications programming, web development, and data structures.

Experience with and demonstrated understanding of database technologies.

Advanced interpersonal skills in order to work with both technical and non-technical personnel at various levels in the organization, including senior project leadership.

Ability to communicate technical information in a clear and concise manner.

Ability to interface with management on a regular basis.

Demonstrated advanced problem solving skills.

Programming skills in Python or similar languages.

Experience with Cloud computing or distributed computing environments.

Experience with development and operation of Unix/Linux based servers.

Preferred Qualifications / Competencies

Experience with and demonstrated knowledge of bioinformatics methods.

Demonstrated knowledge of bioinformatics programming design, modification, and implementation.

Knowledge of and experience applying web application and data security concepts and methods.

Special Conditions of Employment

Selected candidate will be required to pass a pre-employment criminal history background check.

Critical position requiring background check(s)?

Yes

Background check(s) required

Criminal History Review

If you selected ""license, certificate or degree"" above, specify the type here:

Does this position require an E-Verify check?

(Note: Certain positions funded by federal contracts or sub-contracts require the selected candidate to pass an E-Verify check which confirms the individual's eligibility to work in the U.S.)

No, this position does not require an E-Verify Check.

Will the employee be required to participate in the DMV Pull Notice program?

No"
7,Software Engineer II,Microsoft,,"Redmond, WA","Are you interested in making Windows the most reliable operating system in the world? Do you enjoy diagnosing and eliminating insidious bugs, from race conditions to crashes to black screens or device/OS/application hangs? Our team collects, aggregates, and analyzes the reliability data across a broad range of Microsoft platforms. We have an emphasis on Windows, Devices, and Azure, but also work with many other teams across the company and drive improvements across all boundaries. The skills that we apply are of a correspondingly broad range, including advanced debugging, Data pipelines, machine learning and statistical data analysis, OS system design, as well as user- and kernel-mode development. Our work is data-driven with a sharp focus towards achieving excellence.
Responsibilities
As a member of the team you will be responsible for building scalable designs and producing high quality code to improve the reliability of Windows both on consumer devices, as well as increase the availability of workloads and VMs running on the Azure fleet. You will collaborate with partner teams from the Core OS as well as application teams to design robust end-to-end solutions to improve our ability to analyze, bucketize and debug crashes and hangs at scale. You will play a direct role in enabling critical initiatives for Microsoft’s success in a variety of form factors and platforms.
Qualifications
Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
Required qualifications:
A minimum of 1 year of experience developing software for shipping products
Preferred qualifications:
Working knowledge of systems programming (C/C++/C#)Demonstrated experience using analytical, problem solving, and debugging skillsetsEffective communication skills and the ability to deal with ambiguity and prioritize issuesBS in Computer Science or related discipline, or equivalent industry experience

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form."
8,Software Engineer - Intern Winter '20 (Jan-Apr 2020),SigOpt,,"San Francisco, CA 94104","SigOpt provides a scalable, high availability platform for tuning machine learning model parameters. We're looking for curious and enthusiastic interns to learn, grow, and build with us!

Challenges
Interns work as core parts of the team: attending and presenting at meetings, scoping and documenting projects, regularly releasing production code. Past interns have added core features like Metric Thresholds, Multimetric API, Metric Minimization, and experiment search. They’ve written our Getting Started demo, built our configuration manager on Zookeeper, and written our guide for reinforcement learning with SigOpt.

To make this happen, interns will need to:

Own Projects: You’ll have a lot of responsibility over the scope and implementation of your projects. You won’t find any toy projects here! Interns work on critical pieces of our infrastructure and algorithms. Communicating with the team to give and receive feedback is an essential part of the internship.

Work with New Technologies: We expect interns to be able to quickly ramp up on the languages and platforms we use. You don’t have to be an expert before you join, but we’ll coach you to be a strong, independent contributor on our stack by the end of the term.

Extend our API: Our customers constantly tell us how intuitive and reliable our API is. As we make our service more sophisticated, you’ll be ensuring that customers can still quickly integrate SigOpt into their workflows. Potential projects include building new RESTful endpoints and resources that connect customer needs with the research team’s algorithms.

Build Out Web App: Another project area interns work on is our React-based interface for managing and analyzing experiments. Data visualization, user management, and experiment tracking are all critical pieces of the SigOpt solution that interns extend.

Use the Best Tools: Kubernetes, Postgres, Node, Python 3, GitHub, PagerDuty, Slack. We make sure our developers have everything they need to do their best work. You'll need to be curious, and ramp up on new tools. These skills will make you a more effective engineer long term; they are worth the effort!
Requirements
Engineering internship or professional experience
Strong programming ability it at least one language
Ability to help develop end-to-end solutions for real world problems
Pluses
Development of services on cloud infrastructure
Web design or UX background
Understanding of database usage such as Postgres or MySQL
Machine Learning experience to empathize with customers
Benefits
Salary and relocation packages
Catered lunches and office snacks
Team and Company off-sites and team building activities
Healthy work-life balance - we expect our co-ops to enjoy their time at the office as well as outside of work
Based in downtown San Francisco, tech hub of the world
Working at SigOpt
SigOpt empowers experts to build world-class models through an API and web app. By designing solutions that automate model optimization, SigOpt accelerates the impact of experimentation on machine learning, deep learning, simulation and other AI models. You can see examples of our work with Two Sigma, MLConf,NVidia.

Our simple API makes suggestions to customers about different versions of their model to try, and aggregates the results for browsing and analysis. On the backend, we run asynchronous computations to build our own predictions of what's going to help the customer's model perform the best.

Engineers are empowered to make big decisions about what they're working on and how they want to ship it. We have thorough test coverage through unit, integration, and functional tests. Code reviews are standard practice and help our engineers build their coding and communication skills.

Values
We're looking for interns who enjoy taking responsibility for shipping great features that delight our customers. Our values:

Empowerment: Take ownership and make bold decisions
Curiosity: Be a humble teacher and active student
Respect: Foster an inclusive, diverse and safe environment for everyone
Balance: Know when to work, when to play and when to go home
Solidarity: Transparently collaborate toward shared goals

We're an equal opportunity employer and value diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Momentum
We're set up for success: SigOpt is supported by leading investors from Andreessen Horowitz, Two Sigma, Y Combinator, SV Angel, Blumberg Capital, and In-Q-Tel, and has earned awards from O'Reilly, Barclay's, CB Insights, and Gartner. Our community includes users from MIT, Stanford, Berkeley, Cornell, Carnegie Mellon and Harvard, and our partners include Amazon, Google, Intel and Nvidia. You can read about us in MLConf,NVidia, and our blog for more!"
9,Software Engineer (New Graduate),Teachable,,"New York, NY","This is a fulltime permanent role for a software engineer. This is not a data analyst, data engineer or data scientist role.

Teachable's office is in Manhattan and the current engineering team has 40 engineers across 7 tech teams. Each team has an Engineering Manager, Product Manager, Lead Engineer, and 4-7 engineers.

Engineers work onsite M-F within the hours of 10:00 and 6:30. All teams are on 2 week sprints and do daily standups.

Teachable is looking for a recent or upcoming graduate to work with us as a backend or frontend engineer. (Our stack is Ruby/Rails/Typescript/React)

As a software engineer at Teachable, you'll work directly on a system that impacts thousands of instructors and over 14 million students. You will work to create beautiful systems that are robustly designed to meet the needs of our massive and rapidly growing user base.
Who You Are
Hold a 4 year CS degree and have a strong grasp of CS fundamentals
Are comfortable with at least one mainstream object-oriented compiled or script language (C++, C#, Java, Ruby, Python, Javascript, etc)
For those interested in working in a frontend role, experience with Typescript and React is strongly preferred.
For those interested in working in a backend role, experience with Ruby is a plus but not required.
Care about good programming practices (test coverage, readability and maintainability, performance, etc.)
Value working as part of a team and supporting other team members when needed
Varied internship experiences (security, data, design, ops) are always a plus.


Teachable is an instructor-focused online course platform that lets course creators build and sell courses on any topic, from iOS development to watercolor painting to card tricks. Our thousands of instructors have earned more than $300M to date, and we've raised $12.5m+ from a group of top venture investors. We're growing rapidly, with triple-digit year-over-year growth, and are continuing to build a diverse team of top-notch talent in NYC.

At Teachable, you will have the freedom to do your job and be an integral member of our tight-knit team, and you can do it all in our beautiful office in Flatiron with great benefits and perks. You’ll also get access to an ever-growing base of online educators, and your work will directly impact hundreds of thousands of online educators, entrepreneurs, and creatives.

Teachable encourages individuals from a broad diversity of backgrounds to apply for positions. If you're on the fence about applying, please do! Additionally, Teachable is an equal opportunity employer. This means we are committed to a fair and consistent interview process, and to constantly working to ensure an inclusive work environment.

Finally, please tell us in your application if you require an accommodation to apply for a job or to perform your job. We'd do this anyway, but federal law requires us to provide reasonable accommodation to qualified individuals with disabilities."
