,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Machine Learning Engineer (Conversational AI Group),"Seattle, WA 98101",Seattle,WA,98101,None Found,None Found,None Found,None Found,None Found,None Found,"Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities — we're just getting started.
We are looking for Machine Learning Engineers to join our Conversational AI Group in Menlo Park and Seattle. The Conversational AI group built M, Messenger's in-thread assistant that proactively recommends stickers, polls, restaurants, movie tickets and so much more to more than 1.3 billion people that use Facebook Messenger every month. This journey is only 1% finished, and assistant features within Messenger today represent only initial steps in terms of what we expect a truly social assistant to be able to do in the years ahead. We are looking for candidates interested in advancing the state of the art in Dialog Systems, especially in areas such as Natural Language Understanding, Dialog Management, Natural Language Generation, and Question Answering.

The ideal candidate will have a strong background in developing Dialog systems, a strong knowledge of ML, NLP and neural networks, and have experience working with massive amounts of data. They should also have strong software engineering skills and the ability to build systems that reach Facebook scale.

RESPONSIBILITIES
Conduct research to advance the state of the art in neural networks especially in the context of Dialog Systems
Utilize that research to develop and deploy scalable neural network models into production to impact billions of people using Facebook
Develop highly scalable algorithms based on state-of-the-art machine learning and neural network methodologies
Apply expert coding skills to platform development projects in partnership with other engineers
Adapt machine learning and neural network algorithms for training competitive, state-of-the-art models while make the best use of modern parallel environments (e.g. distributed clusters, GPU)
MINIMUM QUALIFICATIONS
MS degree in Computer Science or related quantitative field with 5+ years of similar experience, or Ph.D. degree in Computer Science or related quantitative field
Knowledge of machine learning and deep learning research
Experience building systems based on machine learning and/or deep learning methods
Experience in C++ and Python
Experience with filesystems, server architectures, and distributed systems
Facebook is committed to providing reasonable accommodations for qualified individuals with disabilities and disabled veterans in our job application procedures. If you need assistance or an accommodation due to a disability, you may contact us at accommodations-ext@fb.com."
1,Senior Principal Machine Learning Engineer - Search,"Seattle, WA 98101",Seattle,WA,98101,None Found,None Found,None Found,None Found,None Found,None Found,"About the team
The Search and Conversational AI Team owns the full search stack from auto complete to query understanding to retrieval and ranking. Our focus is to develop semantic and conversational search which can process natural language queries about real estate and assist users to find the best properties for their needs. We develop NLP, conversational and ranking platforms for search using state-of-the-art deep learning and LTR technologies.
About the role
The Senior Principal Machine Learning Engineer will design and build the next-generation search platform that will power search engines of Zillow Group. You will:
Participate in the technical direction for search engines at Zillow Group. Guide applied scientists and engineers in building search systems
Build machine learning models and systems in natural language processing (NLP), natural language understanding (NLU), semantic understanding, and intent classification
Build real-time low-latency machine learning to rank platforms
Enable applied scientists to iterate quickly and deploy NLP and learning to rank (LTR) machine learning models into production
Design features and build large-scale machine learning models to improve search relevance
Provide guidance in developing highly scalable algorithms based on state-of-the-art machine learning and deep learning NLP methodologies
Who you are
Proven track record of successfully architecting and building highly available, low latency systems for high traffic applications
7+ years of experience as a software engineer
5+ years of experience building search engines
Strong knowledge of machine learning, Natural Language Processing
Bachelor's/Master's degree preferred
Get to know us
Zillow Group houses the largest portfolio of real estate brands on mobile and the web. We are on a mission to rewire the real estate transaction and are building transformational tools and services that make it easier for everyone to find and get into a home they love. We are working to create an on-demand real estate transaction experience for every stage of the home lifecycle - for buyers, sellers, renters and borrowers - and we're well on our way. No matter what job you're in, you will play a critical role in making this vision a reality for millions of people.
At Zillow Group, we're powered by our inclusive work culture, where everyone has the support and resources to do the best work of their careers. Our efforts to streamline the real estate transaction is supported by our passion to empower people and enrich lives around everything home, a deep-rooted culture of innovation, a fundamental commitment to Equity and Belonging, and world-class benefits. But, don't just take our word for it. Read our reviews on Glassdoor and recent recognition from multiple organizations, including: Fortune 100 Best Companies to Work For (#69), Fortune Best Workplaces for Diversity (#38), Fortune Best Workplaces for Parents (#31), Fortune Best Workplaces for Women (#20), Fatherly's Best Workplaces for New Dads (#37), JUST Capital 100 Company (#69), Bloomberg Gender Equality Index constituent.
Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."
2,Software Engineer 2 - Machine Learning,"Seattle, WA 98121",Seattle,WA,98121,None Found,None Found,None Found,None Found,None Found,None Found,"As a Machine Learning Engineer, you build and scale our machine learning and experimentation platforms and incorporate new features to drive model predictions. This is your opportunity to make a big impact - ranging from delivering a personalized customer experience to optimizing advertising spend to improving merchandising efficiencies. You work on cross-functional initiatives, such as service and container platforms, machine learning platforms, data security, distributed memory services, service monitoring, real-time experimentation, data transformations, and much more. Your services scale to support high volumes of traffic at low latency and high availability.




Responsibilities:




Build scalable machine learning services and data platforms

Feature engineering to improve model performance on key business metrics
Job Description Details
As a Machine Learning Engineer, you build and scale our machine learning and experimentation platforms and incorporate new features to drive model predictions. This is your opportunity to make a big impact - ranging from delivering a personalized customer experience to optimizing advertising spend to improving merchandising efficiencies. You work on cross-functional initiatives, such as service and container platforms, machine learning platforms, data security, distributed memory services, service monitoring, real-time experimentation, data transformations, and much more. Your services scale to support high volumes of traffic at low latency and high availability.
Responsibilities:
Build scalable machine learning services and data platforms
Feature engineering to improve model performance on key business metrics
Qualified Candidiates Must Possess:
Bachelor in Computer Science or related technical discipline or equivalent combination of education and experience.
3+ years of software development experience building and operating high traffic web services and platforms
Familiarity with frameworks such as MLlib, scikit-learn, H2O, Torch, TensorFlow, Theano, Caffe
Experience with Spark, Hadoop, Pig, MapReduce technologies
Excellent written and verbal communication skills
Demonstrated personal initiative and strong ownership of deliverables
Ability to explore new ideas and have a passion to make them happen
Highly Preferred:
Backgound with Amazon Web Services a plus
Master's degree
About Zulily, LLC
Zulily, LLC, is a retailer obsessed with bringing its customers special finds every day—all at incredible prices. zulily features an always-fresh curated collection for the whole family, including clothing, home decor, toys, gifts and more. Unique products from up-and-coming brands are featured alongside favorites
from top brands, giving customers something new to discover each morning. zulily was launched in 2010 and is headquartered in Seattle with offices in Nevada, Ohio and Pennsylvania. For more information visit www.zulily.com . zulily, LLC, is a wholly owned subsidiary of Qurate Retail, Inc. (NASDAQ: QRTEA, RTEB), which includes QVC, HSN, Zulily and the Cornerstone brands (collectively, “Qurate Retail Group”), as well as other minority investments. Qurate Retail Group believes in a third way to shop - beyond transactional ecommerce or traditional brick-and-mortar stores - and is #1 in video commerce, #3 in ecommerce in North America and #3 in mobile commerce in the U.S. (according to Internet Retailer). For more information, visit www.qurateretailgroup.com .
EEO
As an equal opportunity employer, Qurate Retail Group is committed to a diverse workforce and is also committed to a barrier-free employment process. In order to ensure reasonable accommodations for individuals pursuant to applicable law, individuals that require accommodation in the job application process for a posted position may contact us at CareersUS@QVC.com for assistance.
Click Apply and log in with your existing account or create an account. This will allow you to check the status of your application at any time and receive the most up to date communications from our Talent Acquisition team."
3,"Senior Software Engineer, Machine Learning","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,"
Design, develop and operate statistical models and algorithms to deliver quality at scale.
Investigate modeling issues, identify root causes, and design solutions
Prototype solutions, conduct data analyses to tackle large-scale inference problems, improve existing insight products and introduce new products to delight our customers
Work multi-functionally with other teams to develop standard methodologies in model building and validation
Mentor modeling scientists & software engineers to grow their careers and improve their skills",None Found,"
M.S in Computer Science or related technical field with 5+ years of industry experience
Fluency in Java, C++, Python or similar object oriented programming language
Strong analytical, planning and interpersonal skills
Experience developing production software
Experience in Distributed Computing / MapReduce","Quantcast is hiring a Senior Machine Learning Engineer to work on the Audience Platform team in our Seattle office.

As the real-time pulse of the Internet, Quantcast runs the world’s largest AI-driven insights and measurement platform directly quantifying over 100 million web destinations. Using machine learning to drive human learning, Quantcast provides brand marketers and publishers with meaningful audience insights, predictive targeting and measurement solutions across the customer journey.

As a Senior Machine Learning Engineer, you will use our large datasets, computational power, and analytic tools to build high quality and diverse products to support Quantcast’s position as a world-class leader in advertising. You will help lead our efforts in crafting, implementing and operating large-scale machine learning systems in a production environment.

The Audience Platform team is developing groundbreaking platforms combine our vast first-party dataset with third-party data to provide the highest quality demographic and behavioral analysis of digital audiences on the market.
Responsibilities
Design, develop and operate statistical models and algorithms to deliver quality at scale.
Investigate modeling issues, identify root causes, and design solutions
Prototype solutions, conduct data analyses to tackle large-scale inference problems, improve existing insight products and introduce new products to delight our customers
Work multi-functionally with other teams to develop standard methodologies in model building and validation
Mentor modeling scientists & software engineers to grow their careers and improve their skills
Requirements
M.S in Computer Science or related technical field with 5+ years of industry experience
Fluency in Java, C++, Python or similar object oriented programming language
Strong analytical, planning and interpersonal skills
Experience developing production software
Experience in Distributed Computing / MapReduce
Quantcast owns and operates the world’s largest audience insights and measurement platform on the open internet. Fueled by live data drawn from more than 100 million web and mobile destinations, Quantcast applies machine learning technology to help marketers, publishers, and agencies grow their brands by better understanding and predicting consumer interactions in real-time.

Founded in 2006, Quantcast is headquartered in San Francisco and has employees in over 20 offices across 10 countries. We are committed to building an inclusive and diverse environment where everyone can be their authentic self."
4,ATSV- Lead Machine Learning Engineer,"Bothell, WA 98021",Bothell,WA,98021,None Found,None Found,None Found,None Found,None Found,None Found,"Where good people build rewarding careers.
Think that working in the insurance field can’t be exciting, rewarding and challenging? Think again. You’ll help us reinvent protection and retirement to improve customers’ lives. We’ll help you make an impact with our training and mentoring offerings. Here, you’ll have the opportunity to expand and apply your skills in ways you never thought possible. And you’ll have fun doing it. Join a company of individuals with hopes, plans and passions, all using and developing our talents for good, at work and in life.
About the Data Science & Analytic Engineering Team
The DS & Analytics Engineering team builds software products specifically tailored to Allstate’s mission. We are creating scalable platforms for the deployment of cutting-edge predictive analytics, machine learning, and randomized experiments across the entire enterprise. As such the team gets to support and collaborate with Data Scientists and the broader company. We succeed by maintaining a relentless focus on our customers using Lean Startup and Agile principles.
Job Description
We are looking for a Lead Machine Learning (ML) Engineer to help us create artificial intelligence products. As a ML Engineer in Data Science & Analytics Engineering team, you will be responsible for successfully developing a product in our machine learning deployment suite. You’ll help design and implement a Python/Java based framework that allows data science models to be scored in a production environment. Your impact doesn’t just stop at this product; you will influence how we do data science at Allstate.
If you also have knowledge of data science and software engineering, we’d like to meet you.

In this role, you will be responsbile to:
Study and transform data science prototypes
Design machine learning systems
Lead projects, including the planning and prioritization of tasks
Full ownership of production code, highly preferably REST APIs / microservices
Research and implement appropriate ML algorithms and tools
Deploy machine learning applications into production according to requirements
Run machine learning tests and experiments
Extend existing ML libraries and frameworks
Desire to work directly with customers
Ability to context switch and manage multiple projects
Mentor team members and provide guidance on execution
Keep abreast of developments in the field
Job Qualifications
Proven experience as a Machine Learning Engineer or similar role
Understanding of data structures, data modeling and software architecture
Deep knowledge of math, probability, statistics and algorithms
Ability to write robust code in Python
Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn)
Familiar with various Python packages, e.g. Flask, Requests, Pandas, NumPy
Working knowledge of REST APIs/Microservices
Intermediate/advanced Docker
Familiarity with Java application development is a plus
Strong DevOps and CI/CD skills
Ability to work in a team
Excellent interpersonal communicator and collaborator
Outstanding analytical and problem-solving skills
BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.


Good Work. Good Life. Good Hands®.

As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life - including a generous paid time off policy.

Learn more about life at Allstate. Connect with us on Twitter, Facebook, Instagram and LinkedIn or watch a video.

Allstate generally does not sponsor individuals for employment-based visas for this position.
Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click ""here"" for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click ""here"" for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

It is the policy of Allstate to employ the best qualified individuals available for all jobs without regard to race, color, religion, sex, age, national origin, sexual orientation, gender identity/gender expression, disability, and citizenship status as a veteran with a disability or veteran of the Vietnam Era."
5,Machine Learning Engineer - Intern,"Seattle, WA 98101",Seattle,WA,98101,None Found,None Found,None Found,None Found,None Found,None Found,"About the team
At Zillow AI we are focused on using AI and various forms of machine learning to help you find your home and to help Zillow succeed in our mission to be the largest, most-trusted, and vibrant home-related marketplace in the world. We are using AI for continuously improving home valuation accuracy of millions of homes through Zestimates, reducing the hassle and changing the way people buy and sell homes through Zillow Offers, personalizing customer’s experience to find and evaluate homes through recommendations, search, insights, and helping buyers find and connect the most relevant agent to work with & many more.

Learn more about what we are doing at https://www.zillow.com/ai.

We have an industry leading work culture; Zillow Group just ranked #6 on Fortune Magazine's list of Best Workplaces in Technology: http://fortune.com/2018/01/17/best-workplaces-tech-2018/
About the role
Zillow is hiring a Machine Learning Engineer - Intern for a 12 week summer internship, with an interest in web-scale distributed systems, data engineering, and machine learning algorithms, to join a growing extraordinary data science and engineering group dedicated to excellence.
As an intern you will:
Use machine learning tools to build an application that has a direct impact on customers.
Use tools to evaluate your model offline and online.
Build machine learning workflow pipelines or services.
Own and collaborate with team members on ideas that ship to production.
Participate in the entire development lifecycle, from concept to release
Participate in monitoring the quality and health of your system
Who you are
At most two more semesters of school after completing your internship.
You are in the process of completing an MS or PhD in Computer Science, Machine Learning, Data Science, or a related field
Strong algorithms & coding knowledge
You are able to write code and working regularly in Python, R, or Scala
You communicate effectively on technical challenges and solutions.
Would like to utilize modern open-source Big Data technologies such as Apache Hadoop and Spark, the foundation of our ML platform.
Experience coding on Linux or other Unix OS platform strongly preferred.
Get to know us
Zillow is the leading real estate and rental marketplace dedicated to empowering consumers with data, inspiration and knowledge around the place they call home, and connecting them with the best local professionals who can help. Zillow is part of Zillow Group, whose mission is to build the largest, most trusted and vibrant home-related marketplace in the world.
At Zillow Group, we're powered by our inclusive work culture, where everyone has the support and resources to do the best work of their careers. Our efforts to streamline the real estate transaction is supported by our passion to empower people and enrich lives around everything home, a deep-rooted culture of innovation, a fundamental commitment to Equity and Belonging, and world-class benefits. But, don't just take our word for it. Read our reviews on Glassdoor and recent recognition from multiple organizations, including: Fortune 100 Best Companies to Work For (#69), Fortune Best Workplaces for Diversity (#38), Fortune Best Workplaces for Parents (#31), Fortune Best Workplaces for Women (#20), Fatherly's Best Workplaces for New Dads (#37), JUST Capital 100 Company (#69), Bloomberg Gender Equality Index constituent.
Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."
6,Senior Machine Learning Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,"Strong coding experience. Minimum 5 years in coding, debugging and deploying the code base in production.
Strong deep learning experience. Minimum 1 year in pytorch/tensorflow experience. Neural network experience is must and should be comfortable in math necessary for Neural networks.
Ability to read advanced ML papers and write code for those.
Curious to learn any emerging technologies.
This position may require up to 20% domestic and international travel.",None Found,"
Understand the requirements, frame into ML problems and build ML models
Write production quality ML code from modeling to deployment
Collaborate across the J&J matrix to define and deliver standard ML and related platform(s)
Provide technical and thought leadership for the development of advanced ML and open source ML libraries",None Found,None Found,"Johnson & Johnson is currently recruiting for a Senior machine learning engineer. This position can sit in Seattle, WA.
The Data and Analytics group is building strong ML capabilities to solve many health care use cases from predicting drug quality, question answering from large histopathological images etc, We are looking for a hardworking Machine learning engineer to drive the implementation of ML algorithms to solve the above challenging problems. If you are passionate about deep learning and health care, we invite you to become part of a team that is breaking new ground in the ways J&J builds data science solutions.
Key Responsibilities:
Understand the requirements, frame into ML problems and build ML models
Write production quality ML code from modeling to deployment
Collaborate across the J&J matrix to define and deliver standard ML and related platform(s)
Provide technical and thought leadership for the development of advanced ML and open source ML libraries

Qualifications
Strong coding experience. Minimum 5 years in coding, debugging and deploying the code base in production.
Strong deep learning experience. Minimum 1 year in pytorch/tensorflow experience. Neural network experience is must and should be comfortable in math necessary for Neural networks.
Ability to read advanced ML papers and write code for those.
Curious to learn any emerging technologies.
This position may require up to 20% domestic and international travel.
Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

#JNJDataScience

Primary Location
United States-Washington-Seattle-
Other Locations
North America-United States-New Jersey-Bridgewater
Organization
Johnson & Johnson Services Inc. (6090)
Job Function
Engineering (Generalist)
Requisition ID
9656190712"
7,"Machine Learning Engineer, Knowledge Platform","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Job Description

The knowledge platform team is seeking senior machine learning engineers to join our engineering team. Square is seeking senior machine learning engineers to build a company-wide state-of-the-art knowledge platform. Our goal is to provide tooling, infrastructure, and guidance to unify and level up the 50-100 engineers and data scientists working on ML at Square and work on advanced ML solutions that are applicable across the company. The ideal candidate will have industry experience in solving and optimizing large-scale machine learning problems. We are looking for passionate and self-driven innovators to help us build this V1 platform from the ground up and be part of a fast-paced team. You will be expected to contribute in building ML systems/tooling and building advanced ML models that scale. You will have a wide impact across the company with opportunity to publish papers, contribute to open-source, influence and collaborate with the data science community across Square.

Qualifications

You have:
Experience in many of the following areas is highly desired - AutoML, Knowledge Graphs, recommendation systems, NLP and AI Agents.
Experience with cloud computing platforms, such as AWS, Google Cloud or Azure.
Experience in designing and productionizing large-scale distributed systems built around machine learned models and big data.
Experience or familiarity with interpretable machine learning is a plus.
Ability to produce scalable and robust production-quality code incorporating testing, evaluation, and monitoring.
An advanced degree (PhD or MS) in Computer Science
Technologies we use:
Java, Python, Google Cloud Platform, AWS, Snowflake
Python ML stack (pandas, scikit-learn, etc.)
Additional Information

At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance."
8,Machine Learning Engineer,"Seattle, WA 98101",Seattle,WA,98101,None Found,None Found,None Found,None Found,None Found,None Found,"About the team
Zillow is looking for a Senior Machine Learning Engineer to join a growing world-class data science and engineering team dedicated to the newly launched Zillow Offers product: https://www.zillow.com/offers/. Zillow Offers is an initiative at the core of Zillow’s evolution, focused on defining and transforming the future of real estate. We aim to make it simple to buy and sell homes, by giving consumers certainty and control and sparing them the tremendous stress of the traditional process. We are a collaborative team of Applied Scientists, Machine Learning Engineers, and Software Engineers designing and building the machine learning platform that serves as the backbone of the Zillow Offers product.

You will:
Provide technical leadership to a strong team of data scientists, engineers, and analysts.Design and code highly scalable, machine learning applications processing large volumes of data.Collaborate with others in crafting and implementing your technical vision.Follow agile processes with a focus on delivering production-ready testable code in small iterations.Participate in the entire development lifecycle, from concept to release.Participate in all phases of quality assurance and defect resolution.
About the role
Our mission is to create unique content and features powered by sophisticated analytics and machine learning technologies atop Zillow’s unparalleled living database of all homes and hundreds of millions of customers. We are responsible for cutting-edge machine learning products such as the Zestimate®, Personalization, Advertising, and Premier Agent® Analytics, deep learning, computer vision and other new ventures. Building consumer-facing products powering Zillow’s industry-leading online marketplace puts the team and this role at the core of Zillow’s mission to empower the consumer.
We build highly parallelized, big data, machine-learning applications in the cloud.
Small team = big impact. Zillow product development is highly decentralized in order to create the small team speed and autonomy of a start-up environment but backed by big company resources.
Fast-moving, developer-driven organization full of brilliant and ambitious people.
Learn more about what we are doing at https://www.zillow.com/data-science and https://www.zillow.com/engineering.
Who you are
3-5 years software development experience with highly scalable systems involving machine learning and big data.
Experience with data analysis languages such as Python, Scala, or R.
Experience with Hadoop and Spark, or equivalent Cluster Computing/MapReduce Frameworks, is required.
Experience with a Cloud Computing Platform (such as AWS, Azure, Google Cloud)
Experience with modern source control (Git, Hg, SVN).
Applicants should have a degree (MS+) in a Computer Science or related discipline.
Get to know us
Zillow Group houses the largest portfolio of real estate brands on mobile and the web. We are on a mission to rewire the real estate transaction and are building transformational tools and services that make it easier for everyone to find and get into a home they love. We are working to create an on-demand real estate transaction experience for every stage of the home lifecycle - for buyers, sellers, renters and borrowers - and we're well on our way. No matter what job you're in, you will play a critical role in making this vision a reality for millions of people.
At Zillow Group, we're powered by our inclusive work culture, where everyone has the support and resources to do the best work of their careers. Our efforts to streamline the real estate transaction is supported by our passion to empower people and enrich lives around everything home, a deep-rooted culture of innovation, a fundamental commitment to Equity and Belonging, and world-class benefits. But, don't just take our word for it. Read our reviews on Glassdoor and recent recognition from multiple organizations, including: Fortune 100 Best Companies to Work For (#69), Fortune Best Workplaces for Diversity (#38), Fortune Best Workplaces for Parents (#31), Fortune Best Workplaces for Women (#20), Fatherly's Best Workplaces for New Dads (#37), JUST Capital 100 Company (#69), Bloomberg Gender Equality Index constituent.
Zillow Group is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law. If there are preparations we can make to help ensure you have a comfortable and positive interview experience, please let us know."
9,Machine Learning Engineer - Applied Science,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Bachelor’s Degree in Computer Science, Data Science, Statistics, or related field5+ years of experience in machine learning, statistical modeling or software development. Graduate work or significant course implementations may be considered as experienceSolid foundation and understanding of Machine Learning fundamentalsProficiency in object oriented programming with PythonAbility to develop data acquisition pipelines with embedded SQL, pySpark, or AthenaUNIX, shell scripting experience

The PeopleInsight team is looking for a Machine Learning (ML) Engineer to help our ML group develop and deploy machine learning solutions for various teams within Worldwide Operations. The ML team builds scalable end-to-end impressive production machine learning solutions for World Wide Operations. Our solutions include; predicting the location and time of critical events, NLP/NLU tasks, developing and serving recommender systems, and running simulations that are used for long term strategic planning in World Wide Operations. ML models are typically deployed as components of larger software projects so we work collaboratively with teams consisting of product managers, UX designers, data engineers and operations leaders. We build and deploy models following high software standards emphasizing speed and scale, and leveraging world class AWS infrastructure. The team constantly challenges assumptions and works to clarify how models perform, and how they impact the user experience. The ML team also invests heavily in R&D, as the field evolves, we will remain in touch with the state-of-the-art. This is an exciting area of Amazon to gain real world ML experience and insight!

We are now recruiting an exceptional Machine Learning Engineer for Worldwide Operations.

Success in this role will require:

Strong Foundations
The ML engineer will write efficient and prudent programs in Python and demonstrate attention to detail when debugging. A successful candidate will anticipate software bugs as well and write unit tests to detect them before serving models to production.The ML engineer should understand the ML algorithms being implemented beyond the use of packages, but at a mathematical level. This includes the ability to approximate program runtime and space complexity.
Data Handling Skills
ML engineers will help develop the data acquisition pipelines and data labeling workflows with embedded SQL, pySpark, or Athena.The ML engineer should be able to deal with various file types, data formats, and data structures
ML Model Training Expertise
Experience training traditional ML models: trees, regressions, nearest neighbors; as well as Deep Learning modelsExperience with specialized deep learning methods; RNNs and LSTMs for NLP/NLU, and CNNs for vision tasksPatiently conducting error analysis on a baseline ML models, and deliberate and clear-eyed tuning to improve model performance. The ML engineer should consider constraints in the data pipeline and UI phases when evaluating models
Model Deployment and Serving Experience
Have experience deploying a ML models in different deployment architectures; databases, streaming, messaging queues, etc.
The ideal candidate will:
Have a T-shaped skill set; a strong foundation in ML/AI, computer science, software engineering, statistics, mathematics or related field. Along with a single area of specialization such as NLP, recommendation engines, time-series forecasting, computer vision, etc.Building solutions that not merely work, but solutions that permit the fastest deployment, at scaleHave good intuitions as to what heuristics or data transformations can be applied to data that are motivated by domain expertiseThrough error analysis, identify how to modify the ML training process for the particular task or, whether new data sources and more observations are necessaryHave experience deploying a ML models in different deployment architectures; databases, streaming, messaging queues, etc.Have experience designing data labeling workflows with cloud-based tools, ideally in AWS
PeopleInsight is a collaborative group of product, program, design, science, and engineering experts.

Our Worldwide Operations team numbers in the hundreds of thousands of dedicated associates and leaders. They deliver millions of packages to customers every day. PeopleInsight is the behind-the-scenes team that supports field and organizational leadership by advising action, informing decisions, and identifying risk. The PeopleInsight team resides at the intersection of words and numbers. We listen, observe, and measure at scale to support customer success with insights that are consumable, actionable, and relevant. Our work is dedicated to empowering leaders and enabling action through data and science. In addition to standard reporting, we leverage analytics to help our leaders focus their efforts in ways that will engage, retain and grow their associates to propel the business forward.

Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation / Age.

Graduate Degree in Computer Science/Engineering, Data Science, Statistics or related field2+ years of experience in machine learning, statistical modeling or software development. Graduate work or significant course implementations may be considered as experienceExperience in examining a model in production, to understand where the areas of opportunity are to improve performanceExperience in developing UIs and tools to understand model attribution. An understanding of methods for explainable AI/ML through occlusion, gradient analysis etc. is highly desiredStrong acumen in building and tuning high-performance classifiersExpertise in building APIs/packages with Python for custom ML workflowsExperience developing and deploying ML solutions in an industrial cloud-based environment, AWS preferredExperience in integration with external and web APIs for data acquisitionExperience managing hyper-parameters for distributed ML training; including CPU to GPU transitions, multi-GPU training and training on multiple instancesExperience in training and deploying NLP/NLU models for Question Answering, Text Summarization, Named Entity Recognition and Topic Modeling"
