,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Machine Learning Engineer BURLINGAME, CALIFORNIADATA AND MACHINE LEARNINGFULL-TIME","Burlingame, CA 94010",Burlingame,CA,94010,None Found,None Found,None Found,None Found,None Found,None Found,"Lyra is transforming mental health care using technology with a human touch. Using our proprietary platform and matching technology, Lyra helps companies and their employees find the highest quality mental health care. We work with innovative companies, such as Uber, eBay, and Lyft, among others, and we offer access to an elite network of mental health providers with the flexibility of in-person therapy, live video sessions, coaching programs, and digital self-care tools. Co-founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised $83 million in funding to date from investors including Venrock, Greylock, Tenaya and Glynn Capital.

At Lyra we believe that data-driven technology and decision making is a critical part of solving the thorny, complex challenges of provider quality and accessibility in a broken system.

We are looking for an excellent machine learning engineer to join the Data and Machine Learning team, working on our ML algorithms such as search and relevance, diagnosis and treatment recommendations, provider network optimization, and predictive modeling for patient outcomes.
Lyra is for you if you:
Want to work in a fast-paced environment with thoughtful people solving hard problems
Have a passion for social impact and helping people when they are most vulnerable
Like to collaborate across teams with physicians, therapists, data scientists, and product managers
We are looking for someone with:
Excellent programming skills (Python or Java preferred)
Expertise in ML and statistical learning
Experience in building and deploying machine learning models in production
Keen attention to detail and strong organizational skills

At Lyra we value inclusion and diversity and we work hard to ensure that people are treated respectfully and equitably and to create an environment where employees have the confidence to be their true selves. We are an equal opportunity employer and do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other category protected by law."
1,Principal Machine Learning Engineer,"San Francisco, CA 94108",San Francisco,CA,94108,None Found,None Found,None Found,None Found,None Found,None Found,"Anaplan is looking for a self-motivated Principal Machine Learning Engineer to join our growing team at Anaplan HQ in the city-by-the-bay, SAN FRANCISCO to be a member of the global Machine Learning team.

As a Principal Machine Learning Engineer, you will help disrupt the future of business planning through Machine Learning. Your will work closely with product owner and the engineering manager in defining the vision, resource requirements and direction for your team.

This is a big opportunity to help shape the full pipeline by building a scalable backend solution for automation of data processing. You will help analyze a massive amount of data from Supply Chain, Sales, Marketing, Finance, to IT & Ops to developing predictive models to help our enterprise customers make better business decisions. Unlike many startups, we have many customers and a lot of real business data to tackle real problems.

In the heart of the eclectic SOMA district, you can feel the excitement and energy of what we do at Anaplan when you step into our San Francisco office. There are open floor plans, fully stocked kitchens, and great collaboration spaces, and we focus on making sure that you have everything you need to work well from the right lighting to the latest technology. When it's time for the team to play together, we visit with our neighbors at a Giants game or a local pub's happy hour. Come see for yourself what a collaborative and exciting place to work looks like.

This role is an immediate full-time position. If you're ready to roll up your sleeves and tackle unique problems that no one is solving in the tech space yet, keep reading.

What you'll be doing:

Lead the coding and design of an evolving AI/Machine Learning and data pipeline including key infrastructure decisions.
Build scalable machine learning processes that operate over billions of records, to develop predictive models and knowledge graphs that extract data from, among others, Supply Chain, Sales, Marketing, Finance, to IT to help our enterprise customers make better business decisions.
Write efficient and well-organized software as part of the engineering team to deliver software in an iterative, continual-release environment.
Monitor and plan out core infrastructure enhancements
Drive understanding and buy-in among all stakeholders at all levels.
Contribute to and promote good software engineering practices across the team.
Mentor development teams globally (i.e. demonstrate good coding practices and helping them architect code)
Lead code reviews, design sessions, and technical documentation.

More about you:

Coding fluency with a wide variety of data analysis and machine learning techniques
Depth of experience building end-to-end enterprise solutions that leverage data analysis and machine learning
Excellent communication skills for leading and explaining data science projects and system architecture choices
Expertise with common Data Science tools and frameworks like: Python, scikit-learn, NLTK, Numpy, Pandas, TensorFlow, Keras, R, Spark
Awareness of other data-intensive topics like: Operations Research, Optimization, NLP, Computer Vision, Decision analysis, Monte Carlo analysis, Simulation, etc.
Experience working on either GCP, AWS or Azure for delivering Machine Learning solutions
At least 5+ years in Data Mining, Data Pipelines, ETL, Training ML Models and Building Predictive Machines
Experience working in a Linux or Unix environment
Spark – working with RDDs and Data Frames to query and perform data manipulation or similar distributed data processing 
Source Control Management Tool - Git
Stream processing technologies and concurrency frameworks
Strong understanding of the nature of distributed development and its pitfalls
BS in Computer Science, Engineering, Technology or related fields. Masters or PhD degree is a plus.

 What we offer:

A rewarding, progressive career with a company that values diversity, flexibility and understands the need for a good work/life balance.
Market-leading salaries combined with generous bonuses, equity and a range of comprehensive benefits.
Regular agile meetups, events and hackathons (both attending and hosting!)
Flexible working, catered lunches, a fully stocked kitchen and plenty of parties & events
A range of sports, health and wellbeing initiatives
3 days of paid leave every year to help support the charity or cause of your choice.

Do you align with Anaplan's Values?

Creative: We see every moment as a chance to learn

Explore all of our Values on Anaplan.com/careers

#AnaplanLOVE

About Anaplan

We're building a truly unique technology. From our calculation engine and in-memory data store, to apps and predictive analytics; amazing technology is being developed every day.

We're addressing a $100B/year ( https://www.youtube.com/watch?v=Xbra5fNyhG4 ) problem that all global businesses face. Our mission is to break the traditional business planning mold, currently performed through spreadsheets or legacy systems. Anaplan's Connected Planning platform is enabling customers to improve decision-making by turning response time into real time.

With 900+ customers ( https://www.anaplan.com/customers/ ) and 175+ partners globally, Anaplan's platform is solving some of the most complex challenges in business. CEOs, analysts, and the press agree—Anaplan is changing the way the world does business."
2,Data Scientist / Machine Learning Engineer - Classification Science,"San Mateo, CA",San Mateo,CA,None Found,None Found,None Found,None Found,"
Research and experiment with different machine learning algorithms and techniques for item classification, product recognition and matching, attribute extraction
Conduct design and code reviews
Productionize the developed Machine Learning solutions
Work with engineers to make sure the engines scale well on high volumes of data
",None Found,"
MS/PhD in Computer Science or a related field
3+ years of industry experience in data science and machine learning preferred
Expertise in Machine Learning
Strong CS fundamentals, such as algorithms and data structures
Expertise in Python
Proficiency with relational databases such as MySQL
Experience with cloud computing stacks such as Amazon Web Services preferred
Excellent written and verbal communication skills
Enthusiasm for working hard and having fun in a dynamic environment
","Rakuten Intelligence is looking for a Data Scientist / Machine Learning Engineer to join our Classification Science team.

To create one of the world's richest commerce data sets and help deliver never-been-seen insights on customer purchase behavior, the Classification Science team is responsible for building systems to semantically classify and normalize billions of products across thousands of retailers. This includes building highly accurate machine learning models, engineering scalable systems, and incorporating crowdsourcing to have continuously improving human-in-the-loop systems. We leverage existing open source technologies and established machine learning approaches, but also innovate and research new techniques.

As a data scientist / machine learning engineer, you will spend a mix of your time researching new solutions for product classification as well as productionizing these solutions to make sure they work at scale. You will work with world-class data scientists who hold MS/PhD degrees from top global schools such as Stanford University, University of Washington, Carnegie Mellon University, and National Taiwan University, and veterans from companies such as Microsoft, AOL, Yahoo!, and Twitter.

Rakuten Intelligence was founded by proven entrepreneurs and, as a Rakuten group company, offers the best of both worlds: a start­up environment with the backing of an established global enterprise that is revolutionizing the internet services landscape.

This position will be located in San Mateo or New York.

Responsibilities:

Research and experiment with different machine learning algorithms and techniques for item classification, product recognition and matching, attribute extraction
Conduct design and code reviews
Productionize the developed Machine Learning solutions
Work with engineers to make sure the engines scale well on high volumes of data

Requirements:

MS/PhD in Computer Science or a related field
3+ years of industry experience in data science and machine learning preferred
Expertise in Machine Learning
Strong CS fundamentals, such as algorithms and data structures
Expertise in Python
Proficiency with relational databases such as MySQL
Experience with cloud computing stacks such as Amazon Web Services preferred
Excellent written and verbal communication skills
Enthusiasm for working hard and having fun in a dynamic environment

Who We Are:
Rakuten Intelligence is fundamentally changing the precision with which online services and e-commerce companies are measured, giving our clients the critical insights they need to quickly act on industry shifts and consumer buying preferences. In fact, over 200 of the world's most well-known brands, retailers, and investors rely upon Rakuten Intelligence to make smarter business decisions.

Our Mission:
Empowering Rakuten's global community of members and merchants through amazing apps and the most robust e-commerce data.

Our Values:

BOLD: When we go beyond what exists today or is accepted as possible, we create breakthrough products that deliver amazing benefits.
SIMPLE: Solving hard problems is in our DNA. Eliminating complexity paves the road to clean thinking and decisive action that can move mountains.
OPEN: Openness and transparency are critical for building trust. We are a community of curious people who are open to new ideas and fresh approaches to solving problems.
ALL IN: When we are empowered, show up, and dig deep, our work is powerful and rewarding. We are committed, accountable, and take extreme ownership.

We offer a healthy and fun work environment:

Excellent medical, dental & vision benefits
Free lunch at onsite cafeteria
Various drinks and snacks
Commuter benefits
Adjustable sit/standing desks
Fun company social and volunteer events
Onsite fitness center

"
3,Machine Learning Engineer,"Berkeley, CA",Berkeley,CA,None Found,None Found,"
Proficiency in Python and SQL
A technical stack that includes most or all of: Python, Postgres/PostGIS, Elasticsearch, AWS, GIS, Tensorflow, git
Experience building a wide variety of machine learning models and applying them to different problems
Excellent skills at designing data structures and efficiently implementing algorithms
Interest and ability to find and apply the best and most appropriate tools from technical literature or elsewhere
At least 3 years of relevant full-time professional work experience in the private sector, writing code in a production environment
The ability to work well with technical experts who aren’t software people
Excitement about joining a fast-growing early-stage company, comfort with a dynamic work environment, and eagerness to take on a range of responsibilities
Enjoyment in getting the details right
",None Found,"
Help develop KoBold’s proprietary software called Machine Prospector™
Integrate a wide variety of geophysical, geochemical, geologic, and geographic data from around the world into a well-structured proprietary database
Develop tools for ingesting unstructured datasets and extracting key features
Create machine learning models to predict the locations of mineral ore deposits
Implement and refine algorithms and systems for building predictive models on large and diverse datasets
Create effective visualizations for evaluating model performance and enabling rapid interaction with the underlying data and key features
",None Found,None Found,"About the company
KoBold Metals is using machine learning to discover new sources of the critical materials needed for electric vehicles. Our Machine Prospector™ software predicts the locations of potential ore deposits by applying advanced scientific computing techniques to geoscience data from around the globe. We use our models to decide where to acquire land and to guide our geologists’ exploration program in the field.

We are exploring for new sources of critical battery materials, such as cobalt and nickel. As electric vehicles become widespread, many new mines will be needed, but before we can mine new deposits, we have to find them. KoBold’s team combines the world’s top mineral explorers with an outstanding team of data scientists and engineers, and our objective is to discover many new ethical sources of battery materials.

KoBold Metals is backed by Andreessen Horowitz and Breakthrough Energy Ventures.

About the position
In this role, you will help develop software to accelerate discovery of battery metals, and you will help build a worldwide geospatial dataset that underlies our digital exploration program. You will join an outstanding team of data scientists and engineers and will work closely with KoBold’s world-renowned geoscientists. Ultimately, your role is to help build data tools to solve challenging scientific problems and to enable the widespread adoption of electric vehicles. As one of the early members of this team, you will help build these tools from the ground up.

Responsibilities
The Machine Learning Engineer will:

Help develop KoBold’s proprietary software called Machine Prospector™
Integrate a wide variety of geophysical, geochemical, geologic, and geographic data from around the world into a well-structured proprietary database
Develop tools for ingesting unstructured datasets and extracting key features
Create machine learning models to predict the locations of mineral ore deposits
Implement and refine algorithms and systems for building predictive models on large and diverse datasets
Create effective visualizations for evaluating model performance and enabling rapid interaction with the underlying data and key features
Qualifications
A great Machine Learning Engineer candidate will have:

Proficiency in Python and SQL
A technical stack that includes most or all of: Python, Postgres/PostGIS, Elasticsearch, AWS, GIS, Tensorflow, git
Experience building a wide variety of machine learning models and applying them to different problems
Excellent skills at designing data structures and efficiently implementing algorithms
Interest and ability to find and apply the best and most appropriate tools from technical literature or elsewhere
At least 3 years of relevant full-time professional work experience in the private sector, writing code in a production environment
The ability to work well with technical experts who aren’t software people
Excitement about joining a fast-growing early-stage company, comfort with a dynamic work environment, and eagerness to take on a range of responsibilities
Enjoyment in getting the details right
It is helpful but not required to have:

Experience with geospatial analyses and visualizations
Experience creating machine learning models on geospatial data
Experience setting up distributed computing systems and deploying models on them
Experience in image processing or computer vision
A bachelor’s degree or higher in the physical sciences, engineering, computer science, or mathematics
KoBold Metals is an equal opportunity workplace and an affirmative action employer. We are committed to equal employment opportunity for people of any race, color, ancestry, religion, sex, gender identity, sexual orientation, marital status, national origin, age, citizenship, marital status, disability, or veteran status.

This position is full-time, exempt.

Location: KoBold Metals has an office in Berkeley, CA; partial remote work is an option.

Interested applicants should contact info@koboldmetals.com."
4,Machine Learning Engineer - Infrastructure,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,None Found,None Found,"
B.S. in Computer Science, Math, or Statistics
5+ years of industry/academic experience building machine learning models and infrastructure at scale
Proven engineering skills. Experience writing and maintaining high-quality production code. Python experience a plus
Ability to work with and analyze large amounts of data
Ability to succeed in a dynamic startup environment
","Are you eager to build scalable infrastructure for a community-focused product? Do you want to develop and support important machine learning initiatives that will help neighbors discover their own local scene? Would you like to join a growing company to play a large role in shaping its future? If so, we'd love to meet you.

We are looking for an infrastructure-minded machine-learning engineer who can build a scalable ML platform in a rapidly changing company. In this role, the engineer will focus on developing training, serving, and monitoring infrastructure for machine learning models. The engineer should also be well-versed in working with data, building models, and understanding how to interpret and monitor model outputs. This infrastructure will support the ability to personalize the Nextdoor experience to our members. As a result, you will be laying the foundation for a critical part of Nextdoor's mission.

Requirements:

B.S. in Computer Science, Math, or Statistics
5+ years of industry/academic experience building machine learning models and infrastructure at scale
Proven engineering skills. Experience writing and maintaining high-quality production code. Python experience a plus
Ability to work with and analyze large amounts of data
Ability to succeed in a dynamic startup environment

Benefits:

100% company-paid health insurance premiums (medical, dental, and vision) for you and your dependents
Paid vacation and company holidays
Free catered dinners Monday through Thursday and catered lunch on Wednesdays
Monthly gym stipend
One time cell phone & headphone stipend
Annual learning and development stipend
Two paid volunteer days off
Pre-tax commuter benefits
Fully stocked kitchen with drinks, snacks and candy
La Marzocco espresso machine with Blue Bottle coffee
Health FSA
401K plan

To learn more, check out our engineering blog at https://engblog.nextdoor.com. ( https://engblog.nextdoor.com/ )"
5,Computer Vision-Machine Learning Engineer (Requires PhD),"San Francisco Bay Area, CA",San Francisco Bay Area,CA,None Found,None Found,"
PhD in Electrical Engineering, Computer Science, Robotics (or similar)
Work experience on “products” that utilize computer vision, image processing, and machine learning
Strong coding skills in Python, C++/C#, Matlab using computer vision and machine learning libraries to build and deploy machine learning algorithms
Strong linear algebra, geometry and signal processing skills
GPU implementation of CV/ML algorithms
",None Found,None Found,None Found,"
PhD in Electrical Engineering, Computer Science, Robotics (or similar)
Work experience on “products” that utilize computer vision, image processing, and machine learning
Strong coding skills in Python, C++/C#, Matlab using computer vision and machine learning libraries to build and deploy machine learning algorithms
Strong linear algebra, geometry and signal processing skills
GPU implementation of CV/ML algorithms
","Description
Seeking a Computer Vision-Machine Learning Engineer with a PhD to join an exciting team in the Bay Area that is developing and selling computer vision products that automate defect detection for the semiconductor industry.

This individual will be doing R&D in image processing, computer vision, and machine learning tools for image analysis, clustering, classification, image segmentation and anomaly detection.


Qualifications
Requirements

PhD in Electrical Engineering, Computer Science, Robotics (or similar)
Work experience on “products” that utilize computer vision, image processing, and machine learning
Strong coding skills in Python, C++/C#, Matlab using computer vision and machine learning libraries to build and deploy machine learning algorithms
Strong linear algebra, geometry and signal processing skills
GPU implementation of CV/ML algorithms
Preferred Requirements

At least 2 years of industry experience (not university related research) in the form of full time jobs
Hands on experience with production code
Ability to showcase prior projects on GitHub (or other sources)
Programming skills in: C#, Matlab, C/C++, Python
Tools used: OpenCV, CUDA
Publications in major computer vision/Machine learning conferences/journals such as NIPS, CVPR, SIGGRAPH, TPAMI, TIP, etc."
6,Staff Machine Learning Engineer - Security Engineering,"Foster City, CA",Foster City,CA,None Found,None Found,"
4 years of work experience with a Bachelor’s Degree or at least 2 years of work experience with an Advanced degree (e.g. Masters, MBA, JD, MD) or 0 years of work experience with a PhD degree",None Found,None Found,None Found,None Found,"Job Description

We are looking to hire a Staff Machine Learning Engineer to join the Security Engineering team, working out of Visa's Global HQ in Foster City, California. You will play a critical role by engineering cybersecurity products and services with a truly global impact.

Qualifications

The candidate must possess strong software engineering skills along with applied Machine learning skills. Knowledge of security related concepts is a plus but not required. This is not a research but an engineering function. Ideal candidate has a graduate degree plus couple years of work experience.
Basic Qualifications
4 years of work experience with a Bachelor’s Degree or at least 2 years of work experience with an Advanced degree (e.g. Masters, MBA, JD, MD) or 0 years of work experience with a PhD degree
Preferred Qualifications
Software Engineering: The candidate must have software engineering background in functional or object oriented programming languages like Golang, Python, C++, or Scala in the fields of machine learning, data analytics, or information retrieval.
Machine Learning: The candidate must have knowledge of common ML frameworks and libraries Keras, PyTorch, Tensorflow, scikit-learn
Research to Models to code: Should possess ability to quickly and effectively turn conceptual or academic research into working models and code.
Scalable systems: Knowledge of NoSQL databases (e.g. MongoDB, Cassandra) is a plus along with experience to working on large datasets.
Network, System, and Solution Architecture background is a plus
Familiarity with Git and Unix/Linux commands
Server-client modeling, including MVC architecture knowledge
Additional Information

Essential Functions
Core responsibility: The candidate will be developing and implementing machine learning / deep learning algorithms to solve cybersecurity related usecases and help engineer products that defend Visa's core systems and data against attackers.
Engineer first: The candidate should be an engineer at heart, possessing software engineering skills that allow them to build and engineer new ML/DL capabilities vs. simply integrating existing open source components or operating a vendor solution.
ML/DL skillset: The candidate will be utilizing information retrieval, data analytics, and statistical modeling techniques to build new machine learning and deep learning models. This will include the entire lifecycle including collection of data, feature engineering, model development, training, testing, and deployment into production.
Security philosophy: Rewriting of any existing code using more robust type-safe and memory safe languages while incorporating faster data piping and parallel processing frameworks.
Performance: Engineering of products and services while accounting for computability and complexity (e.g. NP-complete problems) and security architecture (e.g. memory, cache, deadlocks, etc.)
R&D: Develop prototypes and algorithms (e.g. searching, sorting, optimization, dynamic programming) while performing data engineering tasks around aggregation and data synthetization from a multitude of structured and unstructured data sources..
Presentation skills: Present results to a cross section of employees, including senior leaders at Visa. Utilize graduate-level research and analysis skills.
Physical Requirements
This position will be performed in an office setting. The position will require the incumbent to sit and stand at a desk, communicate in person and by telephone, frequently operate standard office equipment, such as telephones and computers, reach with hands and arms, and bend or lift up to 25 pounds.
Visa will consider for employment qualified applicants with criminal histories in a manner consistent with EEOC guidelines and applicable local law.
EXEMPTION STATUS: Non-Exempt"
7,"Senior Machine Learning Engineer BURLINGAME, CALIFORNIADATA AND MACHINE LEARNINGFULL-TIME","Burlingame, CA 94010",Burlingame,CA,94010,None Found,None Found,None Found,None Found,None Found,None Found,"Lyra is transforming mental health care using technology with a human touch. Using our proprietary platform and matching technology, Lyra helps companies and their employees find the highest quality mental health care. We work with innovative companies, such as Uber, eBay, and Lyft, among others, and we offer access to an elite network of mental health providers with the flexibility of in-person therapy, live video sessions, coaching programs, and digital self-care tools. Co-founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised $83 million in funding to date from investors including Venrock, Greylock, Tenaya and Glynn Capital.

At Lyra we believe that data-driven technology and decision making is a critical part of solving the thorny, complex challenges of provider quality and accessibility in a broken system. We are looking for an excellent machine learning engineer who cares about impact, ownership, cross functional projects, and mentorship.
Lyra is for you if you:
Want to work with brilliant people solving hard problems
Have a passion for social impact and helping people when they are most vulnerable
Like to collaborate across teams with physicians, therapists, product managers, and engineers
In this role you will:
Work within a team of innovative engineers and data scientists on building and improving our ML and algorithms such as search and relevance, diagnosis and treatment recommendations, provider network optimization, and predictive modeling for patient outcomes
Partner closely with Lyra’s head of ML and Data to create machine learning roadmaps
Mentor team members to champion high standards of software engineering practices
We are looking for someone with:
Expertise in ML and statistical learning with deep understanding of underlying theory
Experience in building and deploying impactful machine learning models in production
Excellent programming skills, preferably in Python or Java
Track record of balancing near term product impact and long term exploration
Strong communication skills and ability to generate consensus and buy-in within the team
Ability to simplify complex problems and concepts through deep understanding, to recognize and prioritize what matters most, cut through ambiguity and bring focus to projects"
8,Machine Learning Engineer,"San Francisco, CA",San Francisco,CA,None Found,None Found,None Found,None Found,"Develop and implement cutting edge algorithms to improve conversational artificial intelligence
Build and improve pipelines that run deep and shallow neural networks at scale
Set technical product direction on NLP and learning systems
If desired, communicate externally: speak at conferences, publish blog posts, and release open source software
",None Found,None Found,"We are seeking an experienced engineer to improve and expand our state-of-the-art models and bring groundbreaking techniques into production.
Responsibilities
Develop and implement cutting edge algorithms to improve conversational artificial intelligence
Build and improve pipelines that run deep and shallow neural networks at scale
Set technical product direction on NLP and learning systems
If desired, communicate externally: speak at conferences, publish blog posts, and release open source software
Preferred qualifications
Knowledge of machine learning theory and frameworks like skikit-learn or Spark MLlib
Exposure to Deep Learning theory and environments like Theano, Tensorflow, Torch or Caffe
Understanding of NLP fundamentals and libraries a plus!
Experience with Python, JVM languages, Go, Linux, open source software, and cloud services
4+ years of engineering experience building machine learning based applications
MS/PhD in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.
The upside
You will be continually learning and pushing the state-of-the-art in machine learning and NLP
You will have a significant impact with ownership and autonomy over large parts of our technical stack
Competitive salary and significant equity at a fast growing company
Maximize your potential with flexible hours and leave policies
Medical, dental, and vision benefits
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
9,Senior Machine Learning Engineer,"Redwood City, CA",Redwood City,CA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"The Role:
Course Hero is scaling! We are looking for a Senior Machine Learning Engineer who can hit the ground running and work on a lot of fun (and challenging) projects that range from recommending relevant content to our users to extracting question and answer pairs from documents. You'll be a part of the Applied Machine Learning team in the Artificial Intelligence Group at Course hero and will ship products that are used by millions of users. The key charter for the AI Group is to build the semantic knowledge graph at Course Hero in order to help personalize bespoke learning experiences for students and help educators create unique course content.

As a senior engineer on the Applied Machine Learning team, you'll be expected to take the lead on multiple projects and be involved in every step of the process. We expect you to thrive in a fast-paced, high-growth environment, and adapt to ever-changing business needs.

Check out this blog post ( https://www.coursehero.com/blog/edtech-machine-learning/ ) by our Director of Applied Machine Learning to see what Edtech problems this team is tackling today!

Here are some ways you'll make an impact:

You'll ideate, prototype, develop and deploy machine learning models for various product features.
You'll help build scalable platforms for training and evaluating machine learning models.
You'll lead development on applications of Natural Language Processing for identifying question and answer pairs, disambiguating between topics, and building personalized learning solutions.
You'll collaborate with other machine learning engineers, analytics, and other product teams to understand business needs, find the right solution to a problem and ship products.
You'll help engineers from other teams to understand and learn about machine learning and help Course Hero be a data driven company.

Are you our Star Machine Learning Engineer?


5+ years of relevant Machine Learning or Data Science work experience, preferably with a focus on Natural Language Processing and Information Retrieval.
Experience working with distributed data processing systems like Spark/Hadoop.
Solid programming skills and are proficient in python, java, scala or an equivalent language.
Worked on (and deployed) multiple machine learning models in the past and can design and architect machine learning pipeline and scoring systems.
Excellent understanding of a variety of machine learning algorithms (both supervised and unsupervised) with a special focus on text mining techniques.
Passionate about data science and machine learning and are constantly learning as the field evolves.
Extremely passionate about education.
Advanced (Masters or above) degree in a quantitative field like Statistics, Operations Research, Engineering, or Math.

Bonus Points


Experience with search technologies like Solr, ElasticSearch, etc.
You have experience with building data pipelines for Machine learning systems (both real time and batch).
You have experience building recommendation systems.

What We Offer You:

Industry competitive salary and stock options
Full coverage (medical, dental, vision, and life)
401(k) program to help you save for the future
Educational assistance program to support lifelong learning
Free weekly lunches, plus an endless snack and drink supply
Regularly planned team outings and company events
Commuter benefits, cell-phone allowance, and a free gym membership
Opportunity to make a meaningful impact in a revolutionary space
A top 250 fastest growing company according to Deloitte and Touche Technology Fast 500

About Us:
Course Hero is an online learning library where you can access over 20 million course-specific study resources contributed by a community of students and educators. You'll find practice problems, study guides, videos, class notes, and step-by-step explanations for every subject you're studying — from economics to literature, biology to history, accounting to psychology, and everything in between. We help you quickly find what you need so you can learn deeply.

Our company culture is very open, flat, and collaborative. In addition to hiring the best talent, we believe that a diversity of perspectives, ideas, and cultures leads to the creation of better products and services. On our team, we're problem solvers, we think like owners, and we embrace a growth mindset in our efforts to continually improve our product. We're growing fast, we're profitable, and we're looking for new team members to help us plot our course towards future success!

Read up on some of our recentnews coverage ( https://www.coursehero.com/blog/category/course-hero-news/ ), learn moreabout us ( https://www.coursehero.com/about-us/ ), and check outour values ( https://www.coursehero.com/our-values/ ) to understand what it is like to work on our team!"
