,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,Software Engineer I,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Restaurant365 is a rapidly growing SaaS company disrupting the restaurant industry! Our cloud-based platform provides a unique, centralized solution for accounting and back office operations for restaurants.

Restaurant365’s culture is focused on empowering team members to produce top notch results while elevating their skills. We’re constantly evolving and improving to make sure we are and always will be “Best in Class” ... and we want that for you too!

We are one of the fastest growing tech platforms in the restaurant space and we recently secured $140 million in our Series C funding. Our diverse portfolio of clients includes well-known nationwide franchises as well as your favorite local spot. From fine dining to fast casual... R365 does it all!

The Software Engineer I will be directly responsible for designing, developing and unit testing code. Qualified candidates will demonstrate immediate applicable technical aptitude as well as a propensity for learning new tools and techniques quickly in a fast-paced environment. Excellent candidates will be responsible for helping with development efforts within the team related to new feature development and other product enhancements while staying aligned with the requirements to ensure all-around product quality.
How you'll add value:
Develop high quality code adhering to the best coding practices as laid down by the company
Work closely with team members and help translate defined requirements into robust, scalable software applications
Keep abreast of latest trends to help provide recommendations on new technologies and processes that can help improve the organization
Understand the Product Teams expectations and manage them with the Development Team
Work closely with team leaders to ensure structured and coordinated planning of your team’s development
Be the support system of the team, capable of understanding and contributing to the technical solution from design to implementation
Ensure compliance to established design patterns
Know when to escalate a critical decision
What you'll need to be successful in this role:
BS/MS in Computer Science or 2+ years of equivalent experience
In addition to 2+ years in an engineering position creating code-based solutions and tools
Fluent in C#
Experience with SQL databases
Experience with cloud computing and/or mobile applications
Knowledge of working with APIs
Experience with distributed version-control systems i.e. Git
Experience in an Agile development environment
Knowledge of client-side frameworks and technologies i.e. React, Angular and Bootstrap
R365 Team Member Benefits & Perks
Competitive compensation package
Comprehensive medical benefits
401k + matching
Team member stock options
Phone & internet reimbursement
Unlimited PTO + Company holidays
Weekly catered lunches + snacks
Wellness initiatives
Philanthropy events
Why join our amazing team?
We're a family who prides themselves in creating innovative solutions and producing quality work.
Our product is the secret ingredient that makes a real difference to restaurants nationwide.
The open concept work environment that we've created is causal, collaborative and cultivates communication."
1,Software Engineer Intern,"Austin, TX 78759",Austin,TX,78759,None Found,None Found,None Found,None Found,None Found,None Found,"Ixia, a Keysight Business, provides the industry’s most comprehensive converged IP network validation and network visibility solutions. Equipment manufacturers, service providers, enterprises, and government agencies use Ixia’s solutions to design, verify, and monitor a broad range of wired, Wi-Fi, and 3G/LTE equipment and networks. Ixia’s test solutions emulate realistic media-rich traffic and network conditions so that customers can optimize and validate the design, performance, and security of their pre-deployment networks. Ixia’s intelligent network visibility platforms provide clarity into physical and virtual production networks for improved performance, security, resiliency, and application delivery of cloud, data center, and service provider networks. For more information, visit www.ixiacom.com.
Position Overview & Responsibilities
Ixia is seeking an intern to join our software testing team. In this role, you will develop and maintain automated test cases for applicable products in Network Visibility Solutions team. Other responsibilities will include:
Review features and/or feature specifications to understand the product requirements,
Learn about the product under test, how to test, and related automation platform & tools,
Develop and perform automated tests which may include functional, performance, and stress test scenarios,
Where applicable, develop and enhance automation framework based on python, Robot Framework, or Selenium.
Tracking, managing, and communicating progress of test automation,
Performing analysis of potential failures and documenting those for failure investigation. Performing verification testing for bug fixes,
Maintaining system test environment where assigned and applicable.
Job Qualifications
College student (major in CS, CE, or EE preferred).
Excellent verbal and written English communication skills.
Self-motivated; highly enthusiastic team player with strong analytical & problem solving skills.
Experiences and/or knowledge in any combination of the following areas will be a plus:
Agile Scrum development process,
Object-Oriented programming languages (e.g. Python, Java) and developing scripts/code to automate testing,
Developing and/or testing in virtualized environment (e.g. AWS/KVM/VMWare) and/or (public/private) cloud environment,
RESTful web service APIs.
Automation tools/framework experiences such as Selenium, Robot Framework.
Join some of the brightest minds in the measurement world. Learn more at www.jobs.keysight.com.
Keysight Technologies is an equal opportunity employer.
___________________________________________________________________________________
Careers Privacy Statement
***Keysight is an Equal Opportunity Employer.***
Keysight Technologies Inc. is an equal opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other protected categories under all applicable laws.
Candidates can be considered to work from the following locations:
Americas : United States : Texas : Austin
Job ID : 35588"
2,Intern - Software Engineer 2020,"Austin, TX 78759",Austin,TX,78759,None Found,"Pursuing B.S. in computer science, computer engineering, electrical engineering, engineering physics, mechatronics, physics, or software engineering. Or pursuing B.A. in computer science
Minimum cumulative (overall) GPA 3.2
Class Standing
Sophomore or above, with preference given to well-qualified rising juniors and rising seniors
Strong work ethic and desire to succeed
Problem solving skills; enjoys solving technical problems
Strong foundation and understanding of computers and exposure to high-level programming languages (C/C++)
Like to learn about new computer and software technologies
Understanding of software design and architecture principles
Knowledge of the following concepts and principles:
Operating system components and design
Computer system/bus architectures
Data structures
Ability to:
Work effectively in a group development environment
Take initiative; be a self-starter
Manage time efficiently
Listen attentively and be able to grasp basic technical information
English Language Competency and effective communication skills
Can clearly and concisely communicate in English so that persons you work with understand you clearly, particularly in technical conversations
",None Found,None Found,None Found,None Found,"The National Instruments Software R&D organization is hiring paid Interns for the 2020 calendar year.

We offer fall, spring, and summer work terms, including consecutive co-op terms. Experienced NI Software Engineers and Group Managers will assign you one or more challenging projects, requiring you to take ownership and responsibility for all aspects of state-of-the-art software design. They will also assign you an insightful mentor to guide you through your project and work term.

As an NI Software Engineer Intern or Co-op, you will enjoy the unique opportunity to be exposed to many aspects of the product development cycle. By the end of your intern or co-op term, your project will contribute to NI’s bottom line success. Software development project opportunities include development tools, compiler design, graphical user interface, kernel-level drivers, instrument drivers, networking, embedded and real-time systems, automated data acquisition systems, and mathematical analysis.

Come experience the award-winning NI culture – a relaxed and stimulating work environment that includes participating in small development teams and fosters the type of engineering innovation leading to our many market-leading products. Besides being a part of NI’s great work environment, previous interns and co-ops say experience working within a global corporation also provides a chance to gain exposure and insight into many of the critical business issues and key business practices important to the practical education of every software engineering professional.

Successfully completing one or more Software Engineer Intern/Co-op positions may also lead to an offer for a rewarding, full-time software engineering position.

Qualifications

Please Note: National Instruments does NOT petition for H-1B status from student visas for full-time Software Engineer hires, thus cannot accept candidates for this intern position who are on a student visa and have Curriculum Practical Training (CPT), Optional Practical Training (OPT), or academic training.
Pursuing B.S. in computer science, computer engineering, electrical engineering, engineering physics, mechatronics, physics, or software engineering. Or pursuing B.A. in computer science
Minimum cumulative (overall) GPA 3.2
Class Standing
Sophomore or above, with preference given to well-qualified rising juniors and rising seniors
Strong work ethic and desire to succeed
Problem solving skills; enjoys solving technical problems
Strong foundation and understanding of computers and exposure to high-level programming languages (C/C++)
Like to learn about new computer and software technologies
Understanding of software design and architecture principles
Knowledge of the following concepts and principles:
Operating system components and design
Computer system/bus architectures
Data structures
Ability to:
Work effectively in a group development environment
Take initiative; be a self-starter
Manage time efficiently
Listen attentively and be able to grasp basic technical information
English Language Competency and effective communication skills
Can clearly and concisely communicate in English so that persons you work with understand you clearly, particularly in technical conversations
Primary Location: US-TX-Austin
Work Locations: US - TX, Austin (HQ) 11500 North Mopac Expressway Austin 78759
Job: Engineering Intern
Business Unit: Product R&D
Employee Status: Regular
Job Type: Standard
Job Posting: Aug 22, 2019, 1:31:03 PM"
3,Software Engineer,"Austin, TX 78738",Austin,TX,78738,None Found,None Found,None Found,None Found,None Found,None Found,"SOFTWARE ENGINEER
If you are a full stack developer looking for a great new challenge, this is the role for you. We are looking to add to our development team in order to attack aggressive goals to revamp our websites and custom software applications. You are a strong team player who is driven to work hard to meet the growing needs of our customers.
At NewPoint, we partner as a team to passionately develop and deliver innovative, integrated marketing solutions to the real estate industry by bringing new excitement to our brands with a full range of business services.

We are a high performing organization and work together as a team of passionate collaborators who are constantly going above and beyond to deliver exceptional customer service. Everyone is connected, everyone is talking to one another, all of us own our actions. We believe in personal accountability, collaboration, transparency, finding meaning in our work, having fun and good old-fashioned friendliness.

Culture is vital to the success of NewPoint and it is crucial that the members on our team encompass our culture, effortlessly.

What your day will look like-
Design and develop code to requirements following best practices
Write and perform unit tests on all code
Provide adequate documentation both within code and externally
Work appropriately with code management tools including branching and merging
Estimate and deliver on tasks as assigned by project management
Understand client requirements and how they translate in application features
Collaborate with a team of IT professionals to set specifications for new applications
Design creative prototypes according to specifications
Conduct functional and non-functional testing
Troubleshoot and debug applications
Evaluate existing applications to reprogram, update and add new features
Develop technical documents and handbooks to accurately represent application design and code
What you'll need to succeed-
Experience in Cloud based Application Development
Experience working with AWS Technologies /Cloud experience
Strong knowledge of web frameworks such as .NET, React, etc.
Understanding of MVC design patterns
Understanding of security compliance
Understanding fundamental design principles behind a scalable application
Integration of multiple data sources and databases into one system
Creating database schemas that represent and support business processes
Familiarity with SQL/NoSQL databases and their declarative query languages
Proficient understanding of code versioning tools, such as Git
NPM, Node, JavaScript, CSS, SASS
RESTful APIs experience
Works with a UI/UX/Front End developer/designer to implement UI/UX and integrate with application code
Experience with Docker and concepts of containerization, scaling, and service-oriented architecture
5+ years of experience


Benefits & Perks
Paid holidays and unlimited PTO, Medical, Dental, Vision, Paid Life and Disability, FSA, HSA and matching 401k
Casual dress
Collaborative and energetic work environment with other motivated, career-driven professionals

www.newpointmediagroup.com"
4,Our mission.,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found
5,Senior Software Engineer,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Who's in the Kitchen

Our Technology team is a group of talented engineers, designers, and product managers who have built our consumer applications, proprietary warehouse management systems, and demand forecasting analytics. Within Engineering, the Consumer team leads the web and mobile experiences for meals and wine plans, and marketplace offerings

What's on the Menu


Work with engineers, designers, product managers, and other teams in the company to create applications offering an exceptional experience.
Participate in all aspects of software development including functional and system design, planning, development, review, testing, and deployment.
Lead improvements to our engineering tooling and infrastructure.
Identify and communicate practices that raise team performance and morale.
Our stack: PostgreSQL, Ruby on Rails, React, Kafka, Python, React

Necessary Ingredients


At least 8 years building production quality software.
A solid understanding for the needs of internet-scale systems.
An interest in learning and a desire for improving designs, processes, and patterns.
Track record of leveling up those around you.

Blue Apron provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Blue Apron complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training."
6,Principal Software Engineer - IT,"Round Rock, TX 78682",Round Rock,TX,78682,None Found,None Found,None Found,"
Responsible for the design and development activities associated with software using a range of applicable technologies (e.g., programming languages, compilers, assemblers, debuggers, other tools) for products used in local, networked or Internet-related computer programs.
Build highly visible, highly available and customer facing E-Commerce solutions.
Create design specifications for high availability and highly scalable applications to be used by both internal and external customers.
Work with clients and Business Analysts to determine software requirements and system impacts.
Generate technical documentation as well as unit and functional tests.
Work with the global development team, other senior Solution Architects, and executives within the DCS engineering group to plan ongoing feature development, product maintenance, and management of development teams.
Collaborate with the Enterprise Architects and the development teams through all phases of the SDLC.",None Found,"6-8 years of experience with a Bachelor's degree
Experience with: software development; building web portals and/or ecommerce applications using Microsoft technologies
Experience with the following technologies: Web API, MS ASP.Net, MVC, WCF, HTML5, CSS, JavaScript, JSON, SOAP, REST, JQuery, .Net Framework, C#, Web Services, and React.js/Angular.js, and MS SQL
Object oriented programming; SQL Server development and database design
Agile methodology
Unit testing and Mock testing.
Experience with building micro services.","Principal Software Engineer - IT
Round Rock, TX
Dell provides the technology that transforms the way we all work and live. But we are more than a technology company — we are a people company. We inspire, challenge and respect every one of our over 100,000 employees. We also provide them with unparalleled growth and development opportunities. We can’t wait for you to discover this for yourself as a Principal Software Engineer – IT on our Dell Commerce Services team in Round Rock, TX.
Dell’s End to End Seller Engineering organization is hiring a Principal Software Engineer to contribute in the development of capabilities for Dell Sales applications. A seller (line of business, internal marketer, Account Executive, Internal Sales Rep, Technical Sales Rep, Services and External Channel) offers products, solutions and services to potential and existing buyers for purchase, licensed use, or rental and wants to enable buyers to discover, learn, configure, transact, and receive support aligned to their relevant/contextual product assortment. Our current team is responsible for future state development, implementing and deploying new enhancements to one seller application (DSA), interacting with development across regions, work closely with our business partners to understand requirements, and develop/enhance existing systems in timely manner. The team needs individuals with deep e-commerce knowledge to guide and deliver a high-volume, highly personalized e-commerce experience. We are looking for senior candidates who have a strong background in Enterprise/Systems/Application Architecture, with proven abilities to innovate and be creative. We are looking for highly motivated, goal-oriented individuals who will be responsible for building highly visible, highly available, and customer facing E-Commerce solutions.
Key Responsibilities:
Responsible for the design and development activities associated with software using a range of applicable technologies (e.g., programming languages, compilers, assemblers, debuggers, other tools) for products used in local, networked or Internet-related computer programs.
Build highly visible, highly available and customer facing E-Commerce solutions.
Create design specifications for high availability and highly scalable applications to be used by both internal and external customers.
Work with clients and Business Analysts to determine software requirements and system impacts.
Generate technical documentation as well as unit and functional tests.
Work with the global development team, other senior Solution Architects, and executives within the DCS engineering group to plan ongoing feature development, product maintenance, and management of development teams.
Collaborate with the Enterprise Architects and the development teams through all phases of the SDLC.

Essential Requirements
6-8 years of experience with a Bachelor's degree
Experience with: software development; building web portals and/or ecommerce applications using Microsoft technologies
Experience with the following technologies: Web API, MS ASP.Net, MVC, WCF, HTML5, CSS, JavaScript, JSON, SOAP, REST, JQuery, .Net Framework, C#, Web Services, and React.js/Angular.js, and MS SQL
Object oriented programming; SQL Server development and database design
Agile methodology
Unit testing and Mock testing.
Experience with building micro services.
Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Learn more about Diversity and Inclusion at Dell here.
LIPRIORITY"
7,Software Engineer - DNS,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"About Us

At Cloudflare, we have our eyes set on an ambitious goal: to help build a better Internet. Today the company runs one of the world's largest networks that powers trillions of requests per month. Cloudflare protects and accelerates any Internet application online without adding hardware, installing software, or changing a line of code. Internet properties powered by Cloudflare have all web traffic routed through its intelligent global network, which gets smarter with every request. As a result, they see significant improvement in performance and a decrease in spam and other attacks. Cloudflare was recognized by the World Economic Forum as a Technology Pioneer and named to Entrepreneur Magazine's Top Company Cultures list.

We realize people do not fit into neat boxes. We are looking for curious and empathetic individuals who are committed to developing themselves and learning new skills, and we are ready to help you do that. We cannot complete our mission without building a diverse and inclusive team. We hire the best people based on an evaluation of their potential and support them throughout their time at Cloudflare. Come join us!

About the department

Cloudflare's Engineering Team builds and runs the internal tools that builds and runs our software. The Engineering Team is split into two groups: one handles product development and the other handles operations. Product development covers both new features and functionality and scaling our existing software to meet the challenges of a massively growing customer base. The operations team handles one of the world's largest networks with data centers in 102 cities worldwide.

About the role

Cloudflare runs one of the largest DNS infrastructures in the world. We run DNS for over 12 million Internet properties globally. Many of our DNS systems are custom built internally, so we've developed a lot of proprietary technology that operates at scale, and we are iterating constantly to meet new scaling and reliability requirements.

In this role, you will be part of a small elite team that builds and maintains one of the core Cloudflare systems. You will maintain and expand our DNS infrastructure and implement features for our customers. We like to think outside the box and come up with novel approaches. The team is split between London and San Francisco offices.

Examples of desirable skills knowledge and experience


Knowledge of DNS protocol
Proven Systems Programming skills in any of Go, C/C++,Rust, Lua, Python
Ability to quickly analyze situations and devise solutions
Knowledge of TCP/IP and Internet Routing
Excellent troubleshooting skills involving breaking down complex systems and finding root cause.

Bonus Points


Open source contributions is a big bonus
Knowledge of DNSSEC and various security extensions to DNS
Knowledge of HTTP, TLS and CDN Networks
Knowledge of building Data Analytics pipeline
Experience building Distributed Systems
Experience with large scale Monitoring Systems including metric collection, metric pipeline, visualization, trend/statistical analysis etc
Good communicator, we work with many other groups and like to tell others about what we do in blogs, talks, and meetups.

What Makes Cloudflare Special?

We're not just a highly ambitious, large-scale technology company. We're a highly ambitious, large-scale technology company with a soul. Fundamental to our mission to help build a better Internet is protecting the free and open Internet.

Project Galileo ( https://blog.cloudflare.com/protecting-free-expression-online/ ): We equip politically and artistically important organizations and journalists with powerful tools to defend themselves against attacks that would otherwise censor their work, technology already used by Cloudflare's enterprise customers--at no cost.

Project Athenian ( https://www.cloudflare.com/athenian/ ): We created Athenian Project to ensure that state and local governments have the highest level of protection and reliability for free, so that their constituents have access to election information and voter registration.

Path Forward Partnership ( https://blog.cloudflare.com/tag/path-forward/ ): Since 2016, we have partnered with Path Forward, a nonprofit organization, to create 16-week positions for mid-career professionals who want to get back to the workplace after taking time off to care for a child, parent, or loved one.

1.1.1.1 ( https://1.1.1.1/ ): We released1.1.1.1 ( https://1.1.1.1/ ) to help fix the foundation of the Internet by building a faster, more secure and privacy-centric public DNS resolver. This is available publicly for everyone to use - it is the first consumer-focused service Cloudflare has ever released. Here's the deal - we don't store client IP addresses never, ever. We will continue to abide by ourprivacy policy ( https://developers.cloudflare.com/1.1.1.1/commitment-to-privacy/privacy-policy/privacy-policy/ ) and ensure that no user data is sold to advertisers or used to target consumers.

Sound like something you'd like to be a part of? We'd love to hear from you!

Cloudflare is proud to be an equal opportunity employer. We are committed to providing equal employment opportunity for all people and place great value in both diversity and inclusiveness. All qualified applicants will be considered for employment without regard to their, or any other person's, perceived or actual race, color, religion, sex, gender, gender identity, gender expression, sexual orientation, national origin, ancestry, citizenship, age, physical or mental disability, medical condition, family care status, or any other basis protected by law. We are an AA/Veterans/Disabled Employer.

Cloudflare provides reasonable accommodations to qualified individuals with disabilities. Please tell us if you require a reasonable accommodation to apply for a job. Examples of reasonable accommodations include, but are not limited to, changing the application process, providing documents in an alternate format, using a sign language interpreter, or using specialized equipment. If you require a reasonable accommodation to apply for a job, please contact us via e-mail at hr@cloudflare.com or via mail at 101 Townsend St. San Francisco, CA 94107."
8,Software Engineer Accelerator-Rotation Program,"Austin, TX",Austin,TX,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Experian unlocks the power of data to create opportunities for consumers, businesses and society. During life’s big moments – from buying a home or car, to sending a child to college, to growing a business exponentially by connecting it with new customers – we empower consumers and our clients to manage data with confidence so they can maximize every opportunity. We gather, analyze and process data in ways others can’t. We help individuals take financial control and access financial services, businesses make smarter decision and thrive, lenders lend more responsibly, and organizations prevent identity fraud and crime. For more than 125 years, we’ve helped consumers and clients prosper, and economies and communities flourish – and we’re not done. Our 16,000 people in 37 countries believe the possibilities for you, and our world, are growing. We’re investing in new technologies, talented people and innovation so we can help create a better tomorrow.
Experian’s Software Engineer Accelerator Program is a two-year rotation program designed to attract and develop key technical talent. Experian is seeking Spring 2020 College Grads from Texas who are high performing and motivated full-stack Software Engineers that would like an opportunity to develop their skills through diverse assignments across several of our business unit. The selected candidates will receive approximately 24 months of rotational learning opportunities that will accelerate their technical skill set and gain valuable experience for the rest of their career.

Program Highlights:
Experience with the latest technical environments, programming languages and development
Diverse assignments across business units and organizational functions
Collaboration with Product Management, Design and Innovation teams
Mentorship and guidance from Senior Engineers
Desired Qualifications:

We are seeking Candidates from the Spring of 2020 Graduation class in the Texas area to work at our Austin location.
Bachelor’s degree or Higher in Computer Science, Computer Engineering or equivalent educational experience
Knowledge in one or more programming and scripting language such as Java, JavaScript, C#, T-SQL, HTML, PHP, Python or Ruby
Experience with frameworks such as ASP.NET, React, Redux, Angular, Spring or Hibernate
Exposure to various databases such as Oracle, SQL, Cassandra and MongoDB
An interest in learning test automation, machine learning, DevOps or AWS
Strong communication and collaboration skills, curious, critical thinking and analytical mind
EOE including Disability/Veterans"
9,Software Engineer - Meshing (SISW-PLM),"Austin, TX 78750",Austin,TX,78750,None Found,None Found,"Experience in writing cohesive, well-structured, object-oriented, C++ code.MS or Ph. D in Engineering, Computer Science, Applied Mathematics, or a related discipline.Experience developing algorithms or data structures for mesh generation or computational geometry.Ability to work well in a team environment and independently.Ability to communicate outside the team.",None Found,"Experience in writing cohesive, well-structured, object-oriented, C++ code.MS or Ph. D in Engineering, Computer Science, Applied Mathematics, or a related discipline.Experience developing algorithms or data structures for mesh generation or computational geometry.Ability to work well in a team environment and independently.Ability to communicate outside the team.",None Found,"Position Overview
Siemens is seeking a software development professional to work on the meshing framework team in support of meshing and surface preparation algorithms. This position reports to the Software Engineering Manager.
ResponsibilitiesCreate utilities, data structures and frameworks in support of volume Meshing, surface meshing and surface preparation algorithms.
Essential FunctionsWriting and/or improving meshing data structures, utilities and APIs.Writing unit tests to ensure code is fit for use.Testing and Fixing code written by employee and other developers.Reviewing code written by other developers.

Required Knowledge/Skills, Education, and ExperienceExperience in writing cohesive, well-structured, object-oriented, C++ code.MS or Ph. D in Engineering, Computer Science, Applied Mathematics, or a related discipline.Experience developing algorithms or data structures for mesh generation or computational geometry.Ability to work well in a team environment and independently.Ability to communicate outside the team.

#LI-PLM #LI-JG1

Job ID: 181395
Organization: Digital Industries
Company: Siemens Product Lifecycle Management Software Inc.
Experience Level: Experienced Professional
Job Type: Full-time

Equal Employment Opportunity Statement
Siemens is an Equal Opportunity and Affirmative Action Employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to their race, color, creed, religion, national origin, citizenship status, ancestry, sex, age, physical or mental disability, marital status, family responsibilities, pregnancy, genetic information, sexual orientation, gender expression, gender identity, transgender, sex stereotyping, protected veteran or military status, and other categories protected by federal, state or local law.

EEO is the Law
Applicants and employees are protected under Federal law from discrimination. To learn more, Click here.

Pay Transparency Non-Discrimination Provision
Siemens follows Executive Order 11246, including the Pay Transparency Nondiscrimination Provision. To learn more, Click here."
