,Title,Location,City,State,Zip,Country,Qualifications,Skills,Responsibilities,Education,Requirement,FullDescriptions
0,"Intern Software Engineer, UI","Seattle, WA 98101",Seattle,WA,98101,None Found,"
Current student in Computer Science or related
Strong analytical and problem solving skills
Solid knowledge of data structures and algorithms
Experience or aptitude for implementing scalable software","
Previous relevant work experience or internship(s)
Good understanding of computer networking
Experience with Linux and CLI (Linux command line)
Programming experience in one or more of these technologies: TypeScript, JavaScript, React, Redux
HTML and CSS
Active member in an IT-related organization, club, or association","
Help build simple, fast, resilient, and scalable solutions using TypeScript, React and Redux
Work with other members of our Engineering staff to help design, develop, test, and launch our product line","
Current student in Computer Science or related
Strong analytical and problem solving skills
Solid knowledge of data structures and algorithms
Experience or aptitude for implementing scalable software",None Found,"Founded by engineers, ExtraHop is an enterprise technology company located in downtown Seattle that helps modern businesses keep their growing infrastructures running at light speed and secure.
We've built a network monitoring appliance capable of processing 100 Gbps of data. Our remote analysis service processes over one terabyte per hour. The solutions we build at ExtraHop are transforming the IT industry. From retail websites and point-of-sale systems to financial services and the healthcare industry.
We're hiring interns who want to solve problems and have the skills and attention to detail to back up their ideas. We move quickly and have a drive for building elegant solutions.
Duties & Responsibilities
Help build simple, fast, resilient, and scalable solutions using TypeScript, React and Redux
Work with other members of our Engineering staff to help design, develop, test, and launch our product line
Qualifications
Required Education & Experience
Current student in Computer Science or related
Strong analytical and problem solving skills
Solid knowledge of data structures and algorithms
Experience or aptitude for implementing scalable software
Desired Skills & Experience
Previous relevant work experience or internship(s)
Good understanding of computer networking
Experience with Linux and CLI (Linux command line)
Programming experience in one or more of these technologies: TypeScript, JavaScript, React, Redux
HTML and CSS
Active member in an IT-related organization, club, or association
ABOUT EXTRAHOP
ExtraHop is an enterprise cyber analytics and performance monitoring company helping the world’s leading organizations understand and secure their entire environment from core to edge to cloud. Our breakthrough approach to analytics and machine learning helps our customers investigate threats, ensure the delivery of critical applications, and secure their investment in the cloud, resulting in 95% faster threat detection and reducing unplanned downtime by 86% while providing the best possible customer experience.
ExtraHop is recognized by leading organizations for both its innovation in the market and its commitment to building a world-class team. We’ve been named to Wealthfront’s Career-Launching Companies list for the last four years, and JMP Securities put ExtraHop on its 2018 Super 70 List as one of the most strategically positioned private companies in the cybersecurity industry. Credit Suisse recognized ExtraHop as a member of its inaugural Disruptive Technology Recognition Program, and SC Media named ExtraHop a 2019 Industry Innovator for enterprise network traffic analysis.
With well over $100 million in bookings in 2018, and 10x growth in security, the opportunity with ExtraHop has never been greater. Are you ready to rise above the noise?
ExtraHop is an Equal Opportunity Employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, age, disability, military status, or national origin or any other characteristic protected under federal, state, or applicable local law.
#LI-DNP"
1,Software Engineer II,"Redmond, WA",Redmond,WA,None Found,None Found,"
Bachelor's Degree or Graduate Certificate in Software Devleopment
2+ years embedded software design experience",None Found,None Found,None Found,None Found,"Job ID: 3944
Location: US-WA Redmond-B33 (HUB) HR
Department: Engineering

Genie Industries is a global leader in the production of aerial work platforms, scissor lifts, telescoping and articulating booms, trailer-mounted booms and light towers. As a member of the Controls System Engineering group at Genie, you will develop the next generation control system for Genie’s family of products

RESPONSIBILITIES:
Design and develop embedded software that control complex, safety-critical hydraulic and electrical control systems
Contribute to all aspects of the software development process including specification, development, design reviews and testing at all levels, including operating and testing the machines that run your software.
Participate in meetings and presentations, brainstorming ideas and communicating engineering concepts to individuals from all disciplines.

Basic Qualifications:
Bachelor's Degree or Graduate Certificate in Software Devleopment
2+ years embedded software design experience

Preferred Qualifications:
Degree in Electrical Engineering, Computer Engineering or Computer Science
Solid understanding of C and comfortable with C++ including STL data structures.
Experienced and comfortable with Object Oriented Design
Understand of the mechanics of real-time embedded operating systems
Familiarity with electrical circuit diagrams.
Knowledge of electrical/electronic components like switches, sensors, control modules.
Commitment to ensuring robust software through code reviews, unit testing and TDD
Experience using embedded debug tools such as JTAG/ICE debuggers, oscilloscopes and multimeters.
Familiar with developing and debugging hardware device drivers
Self-starter with the ability to quickly learn and adapt to new complex technical challenges
Excellent communication skills, both verbal and written
Demonstrated team player qualities
Strong orientation towards quality, safety and continuous improvement

EXTRA
If selected for an interview, we will request you provide a portfolio showcasing your work or some other way to demonstrate your prior work and capabilities.
If you have a Stack Overflow profile, please provide your user ID
Location: US-WA Redmond-B33 (HUB) HR
Department: Engineering
Job ID: 3944

Terex Overview:
Terex Corporation is a $4.5 billion, publicly traded global manufacturer of lifting and material processing products and services. The company is passionate about producing equipment that improves the lives of people around the world. Terex operations are global, yet each office or factory is a close-knit community. Terex provides team members with a rewarding career and the opportunity to make an impact. The company values diversity and inclusion, safety, integrity, respect, servant leadership, courage and citizenship. It encourages continuous improvement and offers free courses available through Terex University. Women@Terex provides a supportive network for Terex women in their jobs and careers. It’s an exciting time to be part of the expanding manufacturing sector. Terex is a place where you can work and grow. Come talk to us!

Additional Information:
It is the policy of the company to attract and retain the best qualified employees. We are committed to providing employment opportunities to the most qualified internal or external candidate based on work-related factors and without regard to non work-related factors including race, color, religion, national origin, gender, sexual orientation, gender identity, age, disability, or veteran status as a special disabled veteran, Vietnam Era Veteran, or other qualifying veteran.

The Company offers competitive salaries, advancement opportunities, and a full range of benefits, including paid vacation, 401(k), medical, dental, and vision.

Terex Corporation is an Equal Opportunity Employer and Affirmative Action Employer M/F/D/V.

TRSR1234"
2,Software Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,"
A Bachelor's Degree in Computer Science, Computer Engineering or related technical discipline
2+ years of software development experience
Sound fundamentals in algorithm design, problem solving, and complexity analysis
Experience with designing, launching and maintaining distributed systems at scale",None Found,None Found,None Found,None Found,"Software Engineer-19001A79


Preferred Qualifications

The Oracle Cloud Infrastructure (OCI) team can provide you the opportunity to build and operate a suite of massive scale, integrated cloud services in a broadly distributed, multi-tenant cloud environment. OCI is committed to providing the best in cloud products that meet the needs of our customers who are tackling some of the world’s biggest challenges.

We offer unique opportunities for smart, hands-on engineers with the expertise and passion to solve difficult problems in distributed highly available services and virtualized infrastructure. At every level, our engineers have a significant technical and business impact designing and building innovative new systems to power our customer’s business critical applications.

Are you a strong software development leader with a passion for building cloud services and distributed systems at scale?

As a Software Engineer on the Marketplace team, you will help lead our development efforts as we build the technology platform that will act as the central marketplace for our cloud’s software offerings. You will be a core contributor on a team of software engineers working to grow and scale our service.

The Marketplace team will be responsible for building the services where our customers will go to purchase pre-configured software installations on the platform of their choice. The challenges here are across the entire stack, from back-end distributed services operating at cloud scale, to e-commerce transactions, to the actual web apps that users interact with. This is the perfect role for someone experienced in writing code across an entire stack, especially in a start-up style environment.

As a software engineer on this team, your responsibilities will include leading system design of major features and services, mentoring other engineers, writing high quality code at a high rate of speed, improving the extent of our code coverage and the automation of our testing and deployments.

Basic Qualifications
A Bachelor's Degree in Computer Science, Computer Engineering or related technical discipline
2+ years of software development experience
Sound fundamentals in algorithm design, problem solving, and complexity analysis
Experience with designing, launching and maintaining distributed systems at scale

Preferred Qualifications
Experience building an e-commerce platform
Experience with virtualization and orchestration stacks
A good feel for a simple and effective UX
Detailed Description and Job Requirements

Design, develop, troubleshoot and debug software programs for databases, applications, tools, networks etc.

As a member of the software engineering division, you will take an active role in the definition and evolution of standard practices and procedures. You will be responsible for defining and developing software for tasks associated with the developing, designing and debugging of software applications or operating systems.

Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Leading contributor individually and as a team member, providing direction and mentoring to others. BS or MS degree or equivalent experience relevant to functional area. 7 years of software engineering or related experience.

Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.

Oracle is an Affirmative Action-Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability, protected veterans status, age, or any other characteristic protected by law."
3,Software Engineer I,"Seattle, WA",Seattle,WA,None Found,None Found,"0-2 years’ relevant experience.
BS/BA or Masters in Computer Science/related field or equivalent work experience.
","Learn quickly in a hands-on environment,
Excellent analytic / trouble-shooting and debugging skills
Proven skill in written and verbal communications
A strong sense of ownership over the features you deliver
Javascript skills, React/Angular or other client-side development framework.
REST APIs and understanding of client/server communication
Golang or other API-side language.
Experience working with source control and other collaboration tools
Familiarity with the anatomy of microservices and cloud development concepts
","Design, implement and test UI and microservice backends.
Research, investigate and define new areas of technology to enhance existing products or new product directions
Contribute to software designs and architecture discussions.
Collaborate with team members and other partners beyond our team
Advocate for the customer.
Take action!
",None Found,None Found,"Come work at a place where innovation and teamwork come together to support the most exciting missions in the world!
About our Team
Come work at a place where innovation and collaboration come together to support the most exciting missions in the world!
The Challenge You Get to Accomplish!
At F5, we make apps faster, smarter, and safer…from anywhere. Come work within the Cloud Services team in an exciting, fast past environment charting the course for F5’s future. You’ll get to build cloud-native services for cloud-based applications. Join a dynamic team whose missision is to deliver services in the cloud that are performant, reliable, secure, and scalable within a company known for our excellent culture.
Position Summary
We are looking for a Full Stack Software Engineer with generalist skillset. You should be capable and willing to grow across all aspects of implementing and operating SaaS, including API, GUI, orchestration and automation functions. You don’t need to be an expert in any area, but have a passion to learn it all and go where the team needs you.
We are building a new business and looking for engineers that are willing to face a broad variety of challenges. You can chart your own path and help the team succeed!
Primary Responsibilities
Design, implement and test UI and microservice backends.
Research, investigate and define new areas of technology to enhance existing products or new product directions
Contribute to software designs and architecture discussions.
Collaborate with team members and other partners beyond our team
Advocate for the customer.
Take action!
Knowledge, Skills and Abilities
Learn quickly in a hands-on environment,
Excellent analytic / trouble-shooting and debugging skills
Proven skill in written and verbal communications
A strong sense of ownership over the features you deliver
Javascript skills, React/Angular or other client-side development framework.
REST APIs and understanding of client/server communication
Golang or other API-side language.
Experience working with source control and other collaboration tools
Familiarity with the anatomy of microservices and cloud development concepts
Qualifications
0-2 years’ relevant experience.
BS/BA or Masters in Computer Science/related field or equivalent work experience.
Behaviors
We are owners.
We choose speed.
We obsess over customer needs.
We help each other thrive.
We create a more diverse and inclusive F5.
F5 Networks, Inc. is an equal opportunity employer and strongly supports diversity in the workplace.
The Job Description is intended to be a general representation of the responsibilities and requirements of the job. However, the description may not be all-inclusive, and responsibilities and requirements are subject to change.
Equal Employment Opportunity
It is the policy of F5 to provide equal employment opportunities to all employees and employment applicants without regard to unlawful considerations of race, religion, color, national origin, sex, sexual orientation, gender identity or expression, age, sensory, physical, or mental disability, marital status, veteran or military status, genetic information, or any other classification protected by applicable local, state, or federal laws. This policy applies to all aspects of employment, including, but not limited to, hiring, job assignment, compensation, promotion, benefits, training, discipline, and termination. Reasonable accommodation is available for qualified individuals with disabilities, upon request."
4,Software Engineer - Developer Center,"Seattle, WA 98101",Seattle,WA,98101,None Found,None Found,None Found,None Found,None Found,None Found,"Software Engineer – Developer Center
Engineering & Tech Operations | Seattle, Washington

Our agreement with employees

DocuSign is committed to building trust and making the world more agree-able for our employees, customers and the communities in which we live and work. You can count on us to listen, be honest, and try our best to do what's right, every day. At DocuSign, everything is equal. We each have a responsibility to ensure every team member has an equal opportunity to succeed, to be heard, to exchange ideas openly, to build lasting relationships, and to do the work of their life. Best of all, you will be able to feel deep pride in the work you do, because your contribution helps us make the world better than we found it. And for that, you'll be loved by us, our customers, and the world in which we live.

The team
Our Engineering & Tech Operations team builds and operates complex solutions for global business challenges that cross cultures, legal jurisdictions, and impacts millions of people and businesses every day. We hire people with a broad set of skills and people who want to work on creating never-been-done-before solutions at scale while ensuring world-class reliability and security. Our Agreement Cloud is a revolutionary solution that changes the way people live, work, and come to agreement.

This position

As a Full Stack Software Engineer you will tackle challenging problems of scale, reliability, and security in a demanding high availability SaaS environment. You will balance long term strategic planning with execution of projects in flight. You will help develop and support a high-visibility, high-value product and influence its future design and implementation.

This position is an Individual Contributor and reports to the Engineering Manager

Responsibilities


Design and implement web components for the DocuSign Developer Center.
Create and maintain open-source SDKs and sample code for various programming languages.
Collaborate with Project Management and other developers to understand design requirements and provide estimates for development.
Work as part of a passionate, agile development team to deliver an engaging, impactful developer experience (DX).
Collaborate closely with quality engineers to identify test cases and devise efficient, scalable testing processes.
Stay current with the latest development best practices and share your findings with the team.
Support our developer community by answering questions on Stack Overflow and GitHub.

*

Basic Qualifications


BS degree in Computer Science or relevant field of study.
3+ years experience with JavaScript-heavy applications with extensive experience working with HTML5 and CSS3.
2+ years experience with 2 or more of the following programming languages: Node.js, C#. other languages like Java, PHP, Ruby or Python is a plus.
Experience with creating and consuming RESTful web services.
Experience with Git, CI, and deployment tools.

Preferred Qualifications


Experience with full stack development, preferably in one or more of OO programming languages like C# or Java
Experience working on a small development team in an agile environment.
Experience with Node.js
Strong, professional experience with client-side frameworks, preferably React (React, Redux, Angular, React, or similar modern JS frameworks
Experience designing and developing highly scalable web applications
Experience working with cross-browser behaviors and quirks
Strong attention to detail & passion to learn new software technologies
Natural aptitude for both teaching and learning from others in a collaborative team environment
Strong communication skills and willingness to work directly with our developer community

About us

DocuSign® helps organizations connect and automate how they prepare, sign, act on, and manage agreements. As part of the DocuSign Agreement Cloud, DocuSign offers eSignature: the world's #1 way to sign electronically on practically any device, from almost anywhere, at any time. Today, hundreds of thousands of customers and hundreds of millions of users in over 180 countries use DocuSign to accelerate the process of doing business and simplify people's lives. Plus, we save more trees together! And that's a good thing.

DocuSign is an Equal Opportunity Employer . DocuSign is committed to building a diverse team of talented individuals who bring different perspectives to the discussion and who feel a sense of inclusion and belonging when they join our team. Individuals seeking employment at DocuSign are considered without regards to race, ethnicity, color, age, sex, religion, national origin, ancestry, pregnancy, sexual orientation, gender identity, gender expression, genetic information, physical or mental disability, registered domestic partner status, caregiver status, marital status, veteran or military status, citizenship status, or any other legally protected category.

#LI-DS1"
5,Software Engineer,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,"
Strong object-oriented software architecture, design and programming skills with understanding of model-view-controller paradigm
Proven ability to convert requirements into a robust software architecture with clean maintainable code
Experience developing and shipping on one or more of iOS, Android, MacOS, Windows, Linux or Embedded Linux
Experience with source code version control systems
Experience developing in within Agile/Scrum environment
Experience with debuggers and profilers
Experience with scripting languages
Experience working with 3rd party tools and APIs
Demonstrated ability for creative and critical thinking
Good interpersonal communication skills and the ability to work cooperatively to solve problems and resolve issues
Excellent written/oral communication skills
",None Found,"
Please do not call to inquire about the position. No agencies please.
","
Take ownership of their assigned components/features/projects
Design and develop code based on high-level requirements design and implement them with the review and approval of the software and firmware team
Participate in code reviews and be an active team member in weekly sprint planning
Create unit tests for code as required by design
Work with QA to review test plans and ensure test coverage
Port and reuse code and design from existing products for new project development
Create documentation and give presentations on their work as assigned
Work on multiple projects simultaneously balancing workload based upon agreed priorities
Take an active role in continually improving software group processes and tools, and bringing industry best practices into the company
","Description:
LOUD Audio, LLC is one of the world’s largest dedicated pro audio and music products companies.

As the corporate parent for Mackie, LOUD Audio produces a wide range of recording products including analog and digital mixers, speakers and studio monitors and more. Wherever there is music making, live performance, audio recording or playback, LOUD Audio is there.

We are looking for an experienced software engineer to help develop industry leading mobile and desktop audio applications that control pro audio digital mixers, loudspeakers and more.
The software engineer will be responsible for delivering key parts of the Master Fader including the GUI, data models and communication with firmware.

Most projects will be written using the Qt/QML framework with platform native customizations written using C/C++. Project work will include updates to existing applications as well as complete ground-up designs. This will require leveraging existing platforms to meet aggressive schedules as well as adopting new technologies to support new designs.
We are looking for a great team player that takes ownership of their work and can deliver solid results.

Requirements:

Take ownership of their assigned components/features/projects
Design and develop code based on high-level requirements design and implement them with the review and approval of the software and firmware team
Participate in code reviews and be an active team member in weekly sprint planning
Create unit tests for code as required by design
Work with QA to review test plans and ensure test coverage
Port and reuse code and design from existing products for new project development
Create documentation and give presentations on their work as assigned
Work on multiple projects simultaneously balancing workload based upon agreed priorities
Take an active role in continually improving software group processes and tools, and bringing industry best practices into the company

Job Specific Skills:

Strong object-oriented software architecture, design and programming skills with understanding of model-view-controller paradigm
Proven ability to convert requirements into a robust software architecture with clean maintainable code
Experience developing and shipping on one or more of iOS, Android, MacOS, Windows, Linux or Embedded Linux
Experience with source code version control systems
Experience developing in within Agile/Scrum environment
Experience with debuggers and profilers
Experience with scripting languages
Experience working with 3rd party tools and APIs
Demonstrated ability for creative and critical thinking
Good interpersonal communication skills and the ability to work cooperatively to solve problems and resolve issues
Excellent written/oral communication skills

Preference will be given to one of more of the following skills:


Strong experience with C/C++
Experience developing with the Qt/QML framework for cross platform development
Experience with Git/BitBucket
Experience with JIRA and Confluence

Education and/or Experience:
BSc in Computer Science or Computer Engineering or equivalent work experience.
Loud Audio believes that each employee makes a significant contribution to the company success. That contribution should not be limited by the assigned responsibilities. Therefore, this position description is designed to outline primary duties, qualifications and job scope, but not limit the incumbent nor the organization to just the work identified. It is our expectation that each employee will offer his/her services wherever and whenever necessary to ensure the success of our endeavors.

Loud Audio offers a competitive benefits package to full-time employees including medical, dental, PTO, short-term/long-term disability, life insurance, flexible spending and 401k (USA only), plus great extras including great employee product discounts.
We are an Equal Opportunity Employer. Applicants for employment are considered without regard to race, color, religion, gender, sexual orientation, marital status, veteran status, national origin, age, ancestry or handicap. Please notify us if you need accommodation or assistance during the pre-employment screening.


Please do not call to inquire about the position. No agencies please.

"
6,Customer Support & Fullstack Software Engineer,"Seattle, WA 98109",Seattle,WA,98109,None Found,None Found,None Found,None Found,None Found,None Found,"We are looking at hiring a Customer Support & Fullstack Software Engineer to join our exceptional engineering team and 7-year old and 100% bootstrapped startup, now 100% funded by clients that include: American Airlines, Anz Bank, eBay, General Electric, Pepsi, United Healthcare, Volvo.

Role: Your priority will be to work on any customer request (install, training, config, analytics, troubleshooting, etc) and then when no customer request, work with our engineering team on any engineering project (back or front end).

Work location: any, yet we prefer from our office in Seattle or Los Angeles. Our priority to work with exceptional individuals.

Work hours: Monday-Friday 8-6 (with regular lunch break; no work outside business hours; yet we require you to focus on your work during these hours)

Full-time role.

Compensation: Salary, Bonus, retirement plan, healthcare 100% covered, Virtual Stock Options. Compensation increases are unlimited yet based on your commitment and company’s business growth.

Tech stack: Java, Javascript, Html, Spring, John, Spring boot, MySql, Oracle, Sql Server, MemSql. Started moving to React and potentially MongoDb. Our technology is on-premise and on cloud/Aws."
7,"Software Engineer, Internship","Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"A World-Changing Company

At Palantir, we’re passionate about building software that solves problems. We partner with the most important institutions in the world to transform how they use data and technology. Our software has been used to stop terrorist attacks, discover new medicines, gain an edge in global financial markets, and more. If these types of projects excite you, we'd love for you to join us.

The Role

Software Engineers at Palantir build software at scale to transform how organizations around the world use data. As a Software Engineer, you'll contribute high-quality code to Palantir Gotham or Palantir Foundry: products that are deployed to the most important institutions in the public and private sector. You'll build features used by research scientists, aerospace engineers, intelligence analysts, and economic forecasters, in countries around the world.
Palantir's Product Development organization is made up of small teams of Software Engineers. Each team focuses on a specific aspect of a product: for example, you might be part of a team that builds a Foundry front-end application, or a component of the Gotham release infrastructure. We encourage movement among teams to share context, skills, and experience, so you'll learn about many different aspects of each product.
Software Engineers are involved throughout the product lifecycle, from idea generation, design, and prototyping to execution, and shipping. As a Software Engineer, you'll collaborate closely with technical and non-technical counterparts to understand our customers' problems and build products that solve them. We think the best way to understand what our users need is to meet them, so occasionally, you'll tour the assembly line at an auto manufacturer or join a counter-terror analyst at their desk to really understand their mission and their pain points.
It doesn’t matter what languages you know when you join us, but it does matter that you can write clean, effective code and learn new languages quickly. Our software is constantly evolving, so we need engineers who can do the same. Alongside peers who bring diverse experience — startup founders, industry veterans, university TAs, and more — you'll build your skillset to apply the best technology to solve a given problem. Right now, we use:
A variety of languages, including Java and Go for back end and Typescript for front endOpen-source technologies like Cassandra, Spark, ElasticSearch, React, and ReduxIndustry-standard build tooling, including Gradle, Webpack, and Github

Whether you aspire to be an entrepreneur or an engineering leader, we believe Palantir is the best place — with the best colleagues — to learn how. You’ll learn how to unpack a problem and understand the costs and consequences of its solution. You’ll learn new technologies and languages, and even develop them yourself. You’ll work autonomously and make decisions independently, within a community that will support and challenge you as you grow and develop.
Some of the things our Software Engineers have done:
Built a web-based mapping interface that handles millions of data points dynamically displayed at once.
Constructed an analysis platform on top of a columnar database and custom infrastructure that allows complex numerical analysis at the petabyte scale.
Built AtlasDB, which provides high-scale, reliable data storage for Palantir products. This NoSQL distributed data store adds a transactional layer that gives the whole system ACID properties.
Developed a WYSIWYG web app for quickly creating interactive, data-driven web sites.
Worked on a variety of Palantir open-source projects. Some of our favorites, available on our GitHub page, are Blueprint, Plottable, TSLint, and AtlasDB.
Technologies We Use
A variety of languages including Java and Go for backend and Typescript for frontend.
Open-source technologies like Cassandra, Spark, ElasticSearch, React, and Redux.
Industry-standard build tooling, including Gradle, Webpack, and Github.
What We Value
Must be planning on graduating in 2020
Strong engineering background in fields such as Computer Science, Mathematics, Software Engineering, and Physics
Advanced-level Computer Science coursework, including in algorithms and data structures; experience with Java and/or web technologies a plus
Familiarity with data structures, storage systems, cloud infrastructure, front-end frameworks, and other technical tools
Strong coder with demonstrated proficiency in programming languages, such as Java, C++, Python, JavaScript, or similar languages
Ability to collaborate and empathize with a variety of individuals. You can iterate with users and non-technical stakeholders and understand how your technical decisions impact them
Demonstrated ability to learn and work independently and make decisions with minimal supervision
A desire to work on software that can change the world and a passion for creating intuitive, scalable products that augment our users' ability to work with data
Palantir is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. Palantir is committed to working with and providing reasonable accommodations to applicants with physical and mental disabilities. Please see the United States Department of Labor's EEO poster and EEO poster supplement for additional information."
8,Software Development Engineer I,"Seattle, WA",Seattle,WA,None Found,None Found,None Found,None Found,None Found,None Found,None Found,"Programming experience with at least one modern language such as Java, C++, or C# including object-oriented designProgramming experience with at least one modern language such as Java, C++, or C# including object-oriented designBachelor's degree in computer science, computer engineering or related technical disciplineFluent communication skills in verbal and written EnglishStrong, object-oriented design and coding skills (C/C++ and/or Java preferably on a UNIX or Linux platform)Experience with Agile, OO modeling, web services, UNIX, middleware and databases.Multi-threaded programming

Do you want to own cutting edge technology, solve new problems that didn’t exist before, and have the ability to see the impact of your successes?

Amazon EC2 is growing, and we need SDEs who move fast, are capable of breaking down and solving complex problems, and have a strong will to get things done. SDEs at Amazon EC2 work on real world problems on a global scale, own their systems end to end and influence the direction of our technology that impacts hundreds of millions customers around the world.

At Amazon EC2 an SDE can expect to design flexible and scalable solutions, and work on some of the most complex challenges in large-scale computing by utilizing your skills in data structures, algorithms, and object oriented programming.

In joining our team, you'll enjoy a competitive salary, great benefits, a creative and comfortable work environment, and the exciting opportunity to be part of a fast-paced and growing technology company.

Come join us and build the next generation of Cloud!

Amazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation / Age.

Masters or further education or similar experience in any related computer science or engineering fieldExperience with distributed (multi-tiered) systems, algorithms, and relational databasesExperience in optimization mathematics (linear programming, nonlinear optimization)Knowledge of professional software engineering practices & best practices for the full software development lifecycle, including coding standards, code reviews, source control management, build processes, testing, and operations.Ability to effectively articulate technical challenges and solutionsAbility to work well with people and be both highly motivated and motivating.Deal well with ambiguous/undefined problems; ability to think abstractlyPrevious technical internship(s) preferred"
9,Our mission.,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found
