,Job_Title,Company1_Info,Company2_Info,Company3_Info,Location,Full_Description
0,Data Analyst,"9,532 reviews",Kaiser Permanente,Kaiser Permanente,"Oakland, CA","The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting data. These positions function both as a consultant and as a high-level data analyst. The position works with clients to develop the right set of questions/hypotheses, using the appropriate tools/skills to derive the best information to address customer needs.


Essential Responsibilities:

Assists in issue identification and design of analytic approaches.Employs specified analytical methods and tools to access data to provide reportable information from KP information systems.Provides support and point of contact for department clients requesting routine information, data summaries and or reports.Applies specified analytical methods including assessing the significance of observed changes, identifying associations among measured quantities, forecasting trends, etc.Contributes to written reports and presentation materials describing project or task objectives, methods, data, and results.Implements specified QA procedures to ensure accuracy of project data, results and written reports & presentation materials.

Basic Qualifications:
ExperienceN/A
EducationBachelor's degree in related field, OR four (4) years of experience in a directly related field.High School Diploma or General Education Development (GED) required.
License, Certification, RegistrationN/A

Additional Requirements:Some knowledge of policies, practices and systems.Limited use and/or application of basic principles, theories, and concepts.Limited knowledge of industry practices and standards.Must be able to work in a Labor/Management Partnership environment.

Preferred Qualifications:One (1) year of work experience.

Notes:
Bachelor's degree in Economics, Business, Mathematics,
Statistics, or related field.
PrimaryLocation : California,Oakland,1800 Harrison 1800 Harrison
HoursPerWeek : 40
Shift : Day
Workdays : Mon - Fri
WorkingHoursStart : 9:00 AM
WorkingHoursEnd : 5:00 PM
Job Schedule : Full-time
Job Type : Standard
Employee Status : Regular
Employee Group/Union Affiliation : Salaried, Non-Union, Exempt
Job Level : Entry Level
Job Category : Sales and Marketing
Department : Membership, Market & Sales Analytics
Travel : Yes, 5 % of the Time
Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status.

External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with federal and state laws, as well as applicable local ordinances, including but not limited to the San Francisco and Los Angeles Fair Chance Ordinances."
1,Investigative/Data Analyst Supporting the USPIS,55 reviews,FSA,FSA,"New York, NY 10007","Focused on delivering unsurpassed services in support of law enforcement and homeland security, FSA, a rapidly growing joint venture owned by trusted solutions providers SAIC and AECOM, has a vacancy for a Data Analyst. In this role, you will be supporting the overall mission of the US Postal Inspection Service in New York City.

As the primary law enforcement arm of the United States Postal Service, the U.S. Postal Inspection Service (USPIS) is a highly specialized, professional organization performing investigative and security functions essential to a stable and sound postal system. Its jurisdiction is defined as ""crimes that may adversely affect or fraudulently use the U.S. Mail, the postal system or postal employees."" The USPIS makes seizures under their authority to discourage profit-motivated crimes such as mail fraud, money laundering and drug trafficking using the mail.

A Data Analyst executes the following duties:

Provide organization and management of case files
Review data (completeness of information, proper execution)
Extract data from data base
Obtain additional information from other investigative agencies/data base
Establish/maintain physical file
Prepare notices/advertisements
Receive, suspense petitions, claims, process sharing requests
Reconcile inconsistencies
Prepare declarations
Gather information and organize investigative package
Verify case files and case tracking system
Maintain internal status information on the disposition of all forfeited assets
Assure information is accurate and perform analytical computations necessary to process data
Conduct and reconcile inventories
Distribute and receive documents
Assist lead analyst or official in obtaining/collecting all documents/information to complete case file
Provide administrative information and assistance concerning case to other investigative agencies, local law enforcement agencies, US Attorney, and other DOJ processing units, and higher headquarters
Extract data from agency data base for management and program reports
Perform word processing relevant to case documentation
Perform data entry relevant to case

A Data Analyst must meet the following qualifications:

High School diploma, bachelor's Degree preferred
Ability to review and analyze data and information from multiple sources
Ability to establish case/project files
Ability to enter and retrieve data from data bases
Ability to prepare and format management reports
Ability to manipulate, transfer, and compute and print information
Ability to create and manipulate spreadsheets
Ability to prepare and correct reports and correspondence using word processing software
Ability to obtain and maintain a Public Trust Security Access

This position requires U.S. Citizenship and a 7 (or 10) year minimum background investigation.

Forfeiture Support Associates (FSA), LLC is proud to be an Affirmative Action/Equal Opportunity Employer. We recruit, employ, train, compensate, and promote qualiﬁed persons in all job titles without regard to age, ancestry, color, gender, HIV status, marital status, medical condition, national origin, physical or mental disability, race, religion, sex, sexual orientation (including gender expression and identity), veteran status, family leave status or any protected group status as deﬁned by applicable law."
2,"Data Analyst, Artist Insights",,Universal Music Group,Universal Music Group,"Santa Monica, CA 90404","Universal Music Group is the world’s leading music company. We are committed to artistry, innovation and entrepreneurship. We own and operate an array of businesses engaged in recorded music, music publishing, merchandising, and audiovisual content in more than 60 countries.

Our vast catalogue of recordings comprises the largest, most diverse and culturally rich collection of music ever assembled. As digital technology refashions the world, our unmatched commitment to lead in developing new services, platforms and business models for music and related content delivery empowers innovators and allows new commercial and artistic opportunities to flourish.

Role overview:
UMG’s Global Insight team manages the most powerful and effective data sets and research capabilities in the music industry. As well as utilizing sales, streaming and other commercial data, the Global Insight team manages extensive consumer survey data from around the world, delivering unique detail into evolving attitudes and behavior of today’s music consumers.

Global Insight is a 15+ staff team, with presence in London, NY and LA. This role is based in LA and will require close integration with the data teams in NY and London, supporting the Artist Insight team. The candidate will report directly to the Data Manager, Artist Insights.
The Artist Insight Team delivers in-depth artist brand analysis, campaign recommendations and trend information to marketing executives, informing artist brand development, media buying, marketing campaigns and commercial strategy of music releases.
We are currently seeking a Data Analyst to run complex queries and analysis on UMG’s commercial and sales data, as well as other data sources, to support Artist Insight projects.

Main responsibilities/tasks:
Support Artist Strategy Projects from a commercial data analysis point of view, from start to finish: define the data needed, conduct the analysis and come up with conclusive answers and specific strategic recommendations.

Perform analysis on large sets of structured commercial data on a daily basis, to identify actionable recommendations for the business and for artists.

Apply contextual knowledge about artists and the music industry in your commercial data analysis and interpretation.

Understand and communicate the implications of the changes in the music landscape in the data analysis interpretation.

Work closely with the Data / Analytics teams in NY, LA and London, ensuring you are up-to-date and involved with the data analysis initiatives developed across the business.

Collaborate with fellow analysts across UMG’s US record labels to drive forward best practices in data querying and analysis methodologies.

Identify opportunities to develop analysis, providing pro-active suggestions and innovating on an ongoing basis.

Skill-set/experience requirements:
At least 1-2 years of experience of experience in a similar data analyst role, preferably in an entertainment/ tech company.

Degree in science, computer science, statistics, economics, mathematics, or similar quantitative discipline.

Technical competence to perform advanced analytics:
Good database analytics and data extraction (SQL) skills are essential, ideally gained in a large data warehouse environment. Ability to write well structured, performance SQL using advanced SQL techniques (e.g. Window Functions where appropriate.)

Experience with column storage databases in general, and particularly Google BigQuery, would be an advantage. An understanding of performance tuning is desirable.

Data visualization (e.g. Tableau, Domo, Google DataStudio).

Statistical modeling (R/Python), segmentation building would be a plus.

Deep understanding of numbers, as well as a strong business sense.

Ability to explain complex topics in simple terms. Can translate numerical findings into recommendations.

Team worker, can-do approach.

Passion for music is essential.

Ability to work in a fast-paced environment where continuous innovation is the rule."
3,Data Analyst - The Woodlands,197 reviews,Cardno,Cardno,"Houston, TX","Job Description:
Equal Opportunity statement for US based applicants
Cardno has a long standing policy of Equal Opportunity in employment. Our practice is to fill positions by selecting applicants who can perform the work in a competent and professional manner. We do not discriminate on the basis of age, sex, race, color, religion, national origin, sexual orientation, gender identity, disability or veteran status. At any time, if you need an accommodation during the application process, please contact Human Resources.
Cardno does not accept unsolicited resumes from any 3rd party agencies. No fee will be paid to 3rd parties who submit unsolicited resumes to any Cardno employee. Resumes from approved vendors must be specifically requested by Cardno and approved by the Cardno Talent Acquisition Team."
4,Data Analyst,,Plenty,Plenty,"Laramie, WY 82070","At Plenty, we’re on a mission to give people in local communities everywhere access to the freshest, most amazing tasting produce possible. And to do so in a way that’s better for the planet.
About Role
Plenty is seeking a Data Analyst who will engage in data analysis activities in a modern, high-technology hydroponic farm. The individual will use computational and statistical methods to process and analyze data throughout various agronomic research processes. The individual will also construct visualizations, summarize results, and provide subsequent recommendations to drive business decisions.

What You'll Do
This is a computational role where you will apply sound knowledge of statistical principles and company policies/procedures to control quality, organize, and analyze real-world agricultural data consisting of a myriad of input/output variables.
This position is responsible for exercising judgement to produce scientific visualizations and quantifiable, statistical results.
With the guidance of a Data Scientist, the Analyst will work closely with Plant Scientists on the Plant Science team to fulfill established research goals on time and to specification.
The Data Analyst will drive autonomously in supporting individual Plant Scientists with their particular research initiatives. The Analyst will collaborate heavily with both Plant and Data Scientists.
The Data Analyst will play an integral role in maintaining our high standards of quality research. As a front-line member of our growing team, you’ll be responsible for ensuring the utmost adherence to Plenty’s established protocols throughout the entire production and research stream.
What We're Looking For
Motivated individuals with analytical, problem solving, computer, and mathematical skills to conduct statistical analysis in small- and large-scale hydroponic farms
Minimum of a Bachelor’s degree in computer science, statistics, or related field
Minimum of two or more years of related computational experience
R and Python coding proficiency required
Persons with a scientific research background to assist with on-going experiments; agricultural research experience a plus
Ability to quickly adapt to changing situations
Humble, teachable team-player who is enthusiastic and hard-working
Strong attention to detail
About Plenty
Plenty is here to change the way people eat, making extraordinary flavor and nutrition more available in a way that's better for people and the planet. We build farms that can put craveable flavor first while delivering exceptional yields. And our produce is always pesticide-free and grown using less than 1% of the land and 5% of the water of outdoor farming."
5,Medicare Data Analyst,"9,532 reviews",Kaiser Permanente,Kaiser Permanente,"Burbank, CA","Our group is the analytic consulting group for the Medicare Line of Business in MSSA. We provide insight into Medicare Line of Business performance and identify opportunities to continuously improve performance by
partnering with business leaders to support data driven decision makingproviding timely, accurate reporting and analysis with narrative interpretation and key take-awaysmeasuring the impact of initiatives to determine their business value

The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting data. These positions function both as a consultant and as a high-level data analyst. The position works with clients to develop the right set of questions/hypotheses, using the appropriate tools/skills to derive the best information to address customer needs.
Essential Functions:Provides direction for assigned components of project work.Coordinates, team/project activities & schedules.With some feedback and mentoring, able to develop proposals for clients, project, structure, approach, & work plan.Given scope of work, minimal feedback/rework is necessary.Evaluates effectiveness of actions/programs implemented.Researches key business issues, directs the collecting and analyzing of quantitative and qualitative data.Proactively records workflows, deliverables, and standing operating procedures for projects.Developing specified QA procedures to ensure accuracy of project data, results and written reports & presentation materials.

Basic Qualifications:

Experience
Minimum two (2) years of work experience.
Education
Bachelor's degree in related field, OR four (4) additional years of experience in a directly related field.High School Diploma or General Education Development (GED) required.
License, Certification, Registration
N/A

Additional Requirements:
Working knowledge of policies, practices and systems.Frequent use and general knowledge of industry practices, techniques, and standards.General application of concepts and principles.Full use and application of standard principles, theories, concepts, and techniques.Must be able to work in a Labor/Management Partnership environment.

Preferred Qualifications:
Master's degree.Knowledge of health care industry preferred.Familiarity with Kaiser Permanente health care system preferred.
PrimaryLocation : California,Oakland,1800 Harrison 1800 Harrison
HoursPerWeek : 40
Shift : Day
Workdays : Mon, Tue, Wed, Thu, Fri
WorkingHoursStart : 9:00 AM
WorkingHoursEnd : 5:00 PM
Job Schedule : Full-time
Job Type : Standard
Employee Status : Regular
Employee Group/Union Affiliation : Salaried, Non-Union, Exempt
Job Level : Individual Contributor
Job Category : Sales and Marketing
Department : Medicare Business Analytics
Travel : Yes, 5 % of the Time
Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status.

External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with federal and state laws, as well as applicable local ordinances, including but not limited to the San Francisco and Los Angeles Fair Chance Ordinances."
6,Junior Data Analyst,HireBlazer,Contract,save job,"Irving, TX","Job Title : Junior Data Scientist

Location : Irving, TX
Duration : Long Term Contract

No of Positions : 5

Required Skills:
1 to 2 years of experience in the Data Science field
Strong educational background in Data Science, Data Analytics and Data Modelling
Experience working with common Data Science programming languages such as Python and R Programming.
Knowledge on common Data Science areas such as Machine Learning and Natural Language Processing."
7,Survey Data Analyst,4 reviews,"$85,000 - $125,000 a year",Change Research,"Palo Alto, CA","Status: Full-time, non-exempt

Location: Palo Alto, CA
Salary: $85k-$125k annually, commensurate with experience; plus equity; health, dental, and vision insurance; flexible PTO plan and company holidays

You've been seething since Nov. 8, 2016. You've been calling your member of Congress and pleaded with your friends to do the same, even though deep down you're not sure it makes that much of a difference. You'll vote for the forward-thinking candidate this year, but you just wish there was something else you could do. There is.

In early 2017, we were in your shoes. But then we figured out how we could quickly, affordably, and accurately measure public opinion online - and we knew we could bring it to forward-thinking candidates and causes and help them win.

We're working on some really interesting problems with data, social science, and politics. And by solving them, we hope to make our democracy better.

We are currently accepting applications for a Survey Data Analyst team member. We encourage all qualified applicants, including people of color, gays and lesbians, women, transgender people, veterans, and people with disabilities. We particularly encourage people who are underrepresented in politics and startups to apply. We prioritize equity and inclusion. We recognize that diversity of perspectives and experiences makes our work better.

About you:
As a Change Research survey data analyst, you will be a Change pollster. Change Research employs a fast-paced, scientific approach to polling, and you will have the opportunity to ask questions in many different ways. This is an ideal position for someone who loves doing social science research, is well versed in technology, and wants to get their hands dirty in pursuit of a good cause.

Your work will include:
Conducting research on behalf of clients (forward-thinking candidates and causes).
Collecting data on political districts, candidates, and issues.
Using research to develop survey questionnaires, working closely with colleagues and clients.
Analyzing the results of polls, and preparing presentations and reports for clients guiding them on what the data shows.
Consulting with clients about how the data answers their questions.
Working with our data science and engineering teams to create best practices.
You are:
experienced in politics or social science and well versed in the language of data
rigorous in your attention to data details and analytical skills
proficient with Python and/or R and/or Excel and/or SQL
able to explain data and numbers in simple language
able to quickly understand technology-based problems with your innate savvy
enthusiastic and professional
startup-minded: you plug holes, get things done, and think of ways to improve systems
calm and collected in the face of deadlines
excited to be part of a team committed to making a difference in our country’s political climate
Compensation and work environment:
Ensuring a diverse and inclusive workplace where we learn from each other is core to our values. We invite folks with different backgrounds, experiences, abilities, and perspectives. Our workplace is both casual and professional, and we are committed to learning, fun, and excellence. We are an equal opportunity employer. This full-time position includes equity, health, dental and vision insurance, commuter benefits, flexible PTO, and company holidays.
How to apply:
Please send a cover letter, LinkedIn profile, and resume to jobs@changeresearch.com with the subject line ""[Your Name] / Survey Data Analyst."" No phone calls, please."
8,Data Analyst Trainee,133 reviews,"T.D. Williamson, Inc.","T.D. Williamson, Inc.","Salt Lake City, UT","Overview
T.D. Williamson is the world’s Most Trusted Solutions Provider for pressurized pipeline systems. It is the goal of our work to allow for the safe and efficient operation of pipeline systems throughout the world. Come be a part of our team, where what you do matters!

As a Data Analyst Trainee, you will complete several training courses to develop a basic understanding of pipeline design, operation, and integrity practices. Additionally, you will learn to analyze pipeline data with TDW’s proprietary software. You will use this knowledge to accurately evaluate in-line inspection data and provide comprehensive reports detailing the current conditions of our customer’s pipeline systems.
Responsibilities
Analyze in-line inspection data using proprietary software
Identify all instances of geometrical changes and corrosion captured in the in-line inspection data
Create reports from in-line inspection data to produce a comprehensive overview of pipeline integrity
Meet and understand client-specified reporting standards
Acquire knowledge and skills necessary to obtain industry required analysis certifications
Participate in on-going training sessions to maintain analysis certification
Coordinate with the software development team in bug identification and software enhancements
Work under and meet strict deadlines
Effectively work and communicate in a team environment
GIS Mapping of Pipelines
Attend scheduled meetings and trainings to ensure adherence to current TDW initiatives and processes
Qualifications
Bachelor Degree preferred; High School Diploma required
Demonstrated ability to be detailed oriented and analytical
Good basic mathematics and science skills
Proficient written and verbal communication skills in English
Proficient computer skills and intermediate knowledge of Microsoft Excel
Ability to learn new internal software programs"
9,Medicare Stars Data Analyst,"9,532 reviews",Kaiser Permanente,Kaiser Permanente,"Oakland, CA","The Data Analytic Consultant provides support in making strategic data-related decisions by analyzing, manipulating, tracking, internally managing and reporting data. These positions function both as a consultant and as a high-level data analyst. The position works with clients to develop the right set of questions/hypotheses, using the appropriate tools/skills to derive the best information to address customer needs.

Essential Functions:
Provides direction for assigned components of project work.Coordinates, team/project activities & schedules.With some feedback and mentoring, able to develop proposals for clients, project, structure, approach, & work plan.Given scope of work, minimal feedback/rework is necessary.Evaluates effectiveness of actions/programs implemented.Researches key business issues, directs the collecting and analyzing of quantitative and qualitative data.Proactively records workflows, deliverables, and standing operating procedures for projects.Developing specified QA procedures to ensure accuracy of project data, results and written reports & presentation materials.

Basic Qualifications:

Experience
Minimum two (2) years of work experience.
Education
Bachelor's degree in related field, OR four (4) additional years of experience in a directly related field.High School Diploma or General Education Development (GED) required.
License, Certification, Registration
N/A

Additional Requirements:
Working knowledge of policies, practices and systems.Frequent use and general knowledge of industry practices, techniques, and standards.General application of concepts and principles.Full use and application of standard principles, theories, concepts, and techniques.Must be able to work in a Labor/Management Partnership environment.

Preferred Qualifications:
Master's degree.Knowledge of health care industry preferred.Familiarity with Kaiser Permanente health care system preferred.
PrimaryLocation : California,Oakland,1800 Harrison 1800 Harrison
HoursPerWeek : 40
Shift : Day
Workdays : Mon-Fri
WorkingHoursStart : 8:00 AM
WorkingHoursEnd : 4:00 PM
Job Schedule : Full-time
Job Type : Standard
Employee Status : Regular
Employee Group/Union Affiliation : Salaried, Non-Union, Exempt
Job Level : Individual Contributor
Job Category : Sales and Marketing
Department : Medicare Stars
Travel : Yes, 5 % of the Time
Kaiser Permanente is an equal opportunity employer committed to a diverse and inclusive workforce. Applicants will receive consideration for employment without regard to race, color, religion, sex (including pregnancy), age, sexual orientation, national origin, marital status, parental status, ancestry, disability, gender identity, veteran status, genetic information, other distinguishing characteristics of diversity and inclusion, or any other protected status.

External hires must pass a background check/drug screen. Qualified applicants with arrest and/or conviction records will be considered for employment in a manner consistent with federal and state laws, as well as applicable local ordinances, including but not limited to the San Francisco and Los Angeles Fair Chance Ordinances."
