,Job_Title,Company1_Info,Company2_Info,Company3_Info,Location,Full_Description
0,Database Administrator,Avant Systems,"$96,470 a year",save job,"Dallas, TX 75234","OPENING STATUS : Open
1. An H-1B nonimmigrant worker is being sought by Avant Systems through the filing of a Labor Condition Application with the Employment and Training Administration of the U.S. Department of Labor.
2. One such worker is being sought.
3. This worker is being sought as a Database Administrator
4. A wage of $96,470.00 per year is being offered to this worker.
5. The period of employment for which this worker is sought is January 1, 2020 to December 31, 2020.
6. The employment will occur at the following addresses:
a. 2400 Western Center Blvd, Ft. Worth, TX 76131.

7. The Labor Condition Application is available for public inspection at the offices of
Avant Systems,12200 Ford Road, Suite A301, Dallas, TX 75234.
Complaints alleging misrepresentation of material facts in the labor condition application and/or failure to comply with the terms of the Labor
Condition Application may be filed with any office of the Wage and Hour Division of the United States Department of Labor.
Pursuant to 8 CFR 655.734(a)(1)(ii)(B), I certify that this Notice of Filing of a Labor Condition Application was posted on Avant’s company website"
1,Convergence Database Administrator,,UC San Diego,UC San Diego,"San Diego, CA","The Convergence Database Administrator (DBA) will be responsible for the overall management required to maintain a healthy, robust, and accurate database. This includes administration system maintenance and configuration, user accounts, global changes, reporting, and data clean-up projects with the goal of providing current, consistent and accurate data. The DBA will be responsible for the development and implementation of protocols to maintain the integrity of the Convergence database, protect the privacy of member data and ensure consistent methodology for reporting and data analysis for all internal stakeholders. The DBA will review standard operating procedures (SOPs) and training protocols designed for frontline users to ensure adherence to best practices with an emphasis on quality control.
As the Birch Aquarium at Scripps (BAS) Convergence Project Manager, the DBA will serve as the liaison between the Convergence vendor PM/technical support team and internal BAS stakeholders. In collaboration with the vendor, the DBA recommends changes to improve the software for functionality, usability and responsiveness to BAS objectives. The DBA also develops and delivers clear and accurate reporting and tracking vehicles and instructions for reports, dashboards and data extracts. They will ensure that records are well-maintained and up-to-date, and will collaborate with members of the BAS team to identify ways they can most effectively use the database to support their role and troubleshoot issues on their behalf.
As a member of the Membership/Visitor Services team, the DBA also provides frontline operation support and may serve as the senior manager for the entire facility in the absence or direction of the Visitor Services Manager or Assistant Manager. This includes responsibility for evaluating and determining the safety of guests and staff, assessing critical events, and independently determining and executing the appropriate steps to resolve situations as well as providing service to guests. Provides supervision for the unit which includes career and student staff responsible for ticket sales, Education Scheduling, BAS Membership sales and fulfillment. Responsible for making decisions including the opening and closing of the Aquarium. Analyzes cash procedures, identifies issues, develops procedures to make improvements. Prepares daily Cash Recaps. Prepares and sends deposits to Central Cashier office. Understands and follows the guidelines in BUS #49, ""Cashiering Responsibilities and Guidelines"" for all cash handling operations. Also may provide direction for after hours events including Green Flash concert series and member events including monthly POS Lecture series.
The schedule for this position will be Sunday through Thursday. The Birch Aquarium is open everyday from 9am to 5pm and is only closed Christmas, Thanksgiving, and New Years Day. Must be able to work holidays, weekends, evening events and overtime. Must be able to work a variable work schedule.
QUALIFICATIONS
Demonstrated experience with database management for a zoo, aquarium, museum, or other related attraction including project management experience.

Two or more years of experience providing administrative support and coordination in an educational or customer service-based office environment, including daily operations, schedules, data management, and customer service.
Demonstrated ability to extract and compile statistical data from existing databases, survey results and sales records.
Proven ability to prepare, organize and access detailed reports, including analyzing data, generating updates and interpreting information.

Experience with MAC computers and Microsoft Office and other computer software for word-processing and database and spreadsheet management to design forms and reports. Working knowledge of common organization-specific and other computer application programs.

Demonstrated ability to work independently and respond to complaints, comments, facility problems, medical or other emergencies, always acting in accordance with university and OSHA policies. Proven ability using sound judgment in responding to issues and concerns.

Established cultural competency, such as working effectively with and providing support to customers and peers of diverse ages, ethnicities, and cultural and educational backgrounds.

Solid communication and interpersonal skills including tact, diplomacy and high proficiency written and verbal (English) communication capabilities to communicate effectively with all levels of staff verbally and in writing.
Solid organizational skills and ability to multi-task with demanding timeframes. Proven ability, motivation, and willingness to take initiative and work with a high-level of accountability, manage multiple projects with accuracy and efficiency, reliably meet deadlines and work effectively and collaboratively as part of a team.
Proven ability to use discretion and maintain confidentiality.

SPECIAL CONDITIONS
Employee must be able to be bonded, and a background check will be conducted.

Duties may require direct contact with children (defined as individuals under the age of 18); completion of the Child Abuse and Neglect Reporting Act (CANRA) training will be required. Must meet CANRA compliance requirement per California Child Abuse and Neglect Reporting Act (“CANRA,” Penal Code sections 11164-11174.4)."
2,Database Administrator,,City of Las Vegas,City of Las Vegas,"City of Las Vegas, NV","Career Opportunity
The City of Las Vegas invites applications for Database Administrator. This position participates in the management, supervision and coordination of the programs and activities for effective administration and management of the Information Technologies databases and systems within the City of Las Vegas; coordinates assigned activities with other City departments and outside agencies; provides responsible and complex database administration to Information Technologies management. This is an Appointive (Non-Civil Service) position.

""The City of Las Vegas' ideal candidate is a motivated Database Administrator willing to join our rapidly growing Enterprise Data and Analytics team. This role will be in support of all city departments with a focus on providing performance, integrity, and security of the city's information systems databases. The City of Las Vegas' Enterprise Data and Analytics team supports customers across all database technologies, and we are looking for a candidate that is interested in growing in their career to learn and implement new enterprise data products and services, including on premise and cloud-based database solutions, high availability and disaster recovery solutions, and a variety of integration solutions.""

Supervision Received and Exercised
Receives general direction from the Database Architect.
Exercises technical and functional supervision over professional and technical staff.

EXAMPLE OF DUTIES:

Essential Functions:
Assume responsibility for services and activities that directly relate to the relational databases (RDBMS) and systems residing on the city's servers.
Develop and implement technical plans for the construction and evolution of the city's database systems.
Assist in establishing data integrity and security policies and procedures for user accounts, data creation, data manipulation and data storage.
Perform a key role in the establishment of effective RDBMS and systems backup, recovery and re-start procedures.
Mitigate cross-organizational issues associated with physical data storage, access, security and database structure.
Participate in the development of RDBMS standards and database connectivity strategies to support an open database architecture; participate in the development of operating systems and programming standards to meet the needs of the city.
Monitor and tune the databases for optimal performance; recommend hardware and system configuration changes to optimize database and systems performance.
Support application development by providing assistance in database architecture and design techniques; review proposed changes to the RDBMS structures; review data security, data validation and data integrity controls.
Participate in the development and implementation of department goals, objectives, policies and priorities for assigned programs.
Provide leadership to and oversight of assigned teams.
Participate in the development and administration of the annual budget; forecast funds needed for equipment, materials and supplies.
Prepare and present staff reports and other necessary correspondence.
Attend and participate in professional group meetings; stay abreast of new trends and innovations in the field of information technologies.
Perform related duties and responsibilities as required.

MINIMUM REQUIREMENTS:

Experience:

Three years of increasingly responsible relational database administration experience, including two years of direct administration of Oracle or MS SQL databases in a client-server environment.

Training:

Bachelor's degree from an accredited college or university with a major in computer science, management information systems or a closely related field. A combination of formal education and directly related work experience may substitute for the degree. The city assesses 1.5 years of fulltime experience as equivalent to one year of education.

Completion of specialized training in Oracle Database Management, Oracle financial application software is highly desirable.

KNOWLEDGE, SKILLS, AND ABILITIES:

Knowledge of:

Oracle database architecture and features.
Microsoft SQL Server database architecture and features.
Oracle Real Application Clusters (RAC), Automatic Storage Management (ASM), Data Guard (DG) and Recovery Manager (RMAN).
Microsoft SQL Server Management Studio.
Relational database management systems such as Oracle, SQL Server, My SQL.
Database administration and management techniques in a client-server environment.
Structured Query Language (SQL).
Report writing, query tools and data integration tools such as Oracle Analytics Cloud (OAC), Oracle Data Integration Platform Cloud (DIPC), SSRS, SSIS, SSAS, and Power BI.
Principles of relational database design, development and administration, data integration, data security, data quality, data warehouse/ETL/ELT, and BI analytics reporting.
Linux and Windows operating systems, networking concepts and computer security.
Physical database design, backup and recovery strategies, performance monitoring and tuning.
Principles of supervision, training and performance evaluation and effective team building.

Ability to:

Perform capacity planning of databases.
Perform performance tuning and optimization activities of databases.
Analyze programs, policies and operational needs.
Assess problems, identify alternative solutions, project consequences of proposed actions and implement recommendations in support of goals.
Research, analyze and evaluate new administration methods and techniques.
Communicate clearly and concisely, both orally and in writing.
Establish and maintain effective working relationships with those contacted in the course of work.

Competencies:

Core Workforce Competencies

Professionalism – Demonstrates core values by being honest, respectful and positive.

Effective Communication – Expresses verbal and written thought in a clear and understandable manner.

Customer Focus – Demonstrates genuine concern and satisfies external and/or internal customers based on the CLV core purpose and values.

Adaptability – Able to effectively modify behavior to suit changing workforce demands.

Problem Solving – Solves problems by considering all causes, solutions and outcomes.

Productive Partnerships – Develops, maintains and strengthens partnerships with others.

Technical and Safety Expertise – Possesses a depth of knowledge, skill and ability in a technical (job) area.

SELECTION PROCESS: The selection process will include a review of all applications with only the most qualified participating in an interview. Final candidate selection will include hiring interview (if applicable). Any individual offered employment will be required to pass a pre-employment drug test and complete background check. Some positions may require preliminary background checks."
3,Database Administrator,,City of Tempe Arizona,City of Tempe Arizona,"City of Tempe, AZ","Qualifications

DATABASE ADMINISTRATOR
This recruitment is open until the position is filled or a sufficient number of applications have been reviewed to establish a qualified candidate pool.

First review of applications will occur on August 23, 2019.
Annual Salary Range:
$85,465 - $115,378
Schedule:
Monday – Friday 8:00 a.m. – 5:00 p.m.
Department / Division:
Internal Services / Information Technology
Job Type:
Full-Time Regular
Job Number:
RC#901107
The City of Tempe participates in the Arizona State Retirement System (ASRS) Defined Benefit plan with mandatory employer and employee contributions currently at 12.11%. ASRS pension plan includes a Long-Term Disability Benefit. We also offer a comprehensive benefits package including vacation, sick leave, holiday and short-term disability. Our employees have generous insurance options for medical, dental, vision and life. For more details, visit: http://www.tempe.gov/city-hall/internal-services/human-resources/benefits-summary
DESCRIPTION
The Database Administrator (DBA) is responsible for performance, availability, integrity, and security of all SQL and Oracle database workloads for the City. Expected duties include Cloud management, performance monitoring, Disaster Recovery / Disaster Preparedness, installation and upgrade of instances, backup and restore activities, and access control. Additionally, the data management team works as part of the infrastructure team to support application developers, solutions architects, project management and vendor products. The data management team creates and implements policies and procedures to ensure the database environments meet all City security and operational policies.
MINIMUM QUALIFICATIONS
Work Experience:
Requires three years of professional level database experience with SQL Server or Oracle. Experience with Server Operating Systems administration and/or GIS Spatial database administration is preferred.
Candidates must have the minimum amount of work experience. Years of experience are based upon a full-time work schedule (2,080 hours per year). The sum of an applicant’s full-time and/or part-time qualifying work experience must meet or exceed the stated minimum qualification. Education will not substitute for the required work experience; however, related unpaid and/or volunteer work experience may be used as qualifying work experience.
Education:
Requires the equivalent to a Bachelor's degree from an accredited college or university with major course work in Information Technology or a degree related to the core functions of this position.
The term “equivalent” means that directly related work experience exceeding the required work experience will substitute in equal time increments for college-level education, for example: one year of additional directly related work experience will substitute for one year of college education (30 credit hours).
Certifications, Licenses, and/or Registrations:
None
ADDITIONAL REQUIREMENTS
Successful completion of initial probationary period is contingent upon passing an FBI background investigation. Based on position, referred applicants may be subject to additional testing which may include pre-employment polygraph, physical and drug screening.
ESSENTIAL FUNCTIONS
For the complete job description go to: https://www.tempe.gov/home/showdocument?id=5050
This position is FLSA Exempt – ineligible for overtime compensation and/or compensatory time.
Employees in this position are part of the UAEA employee group.
EQUAL EMPLOYMENT OPPORTUNITY: The City of Tempe is an Equal Opportunity / Reasonable Accommodation employer. The City does not discriminate on the basis of race, color, gender identity, sexual orientation, religion, national origin, familial status, age, disability, and United States military veteran status. Pursuant to the Americans with Disabilities Act, the City will make a reasonable accommodation(s) during the recruitment & selection process. Persons with a disability may request a reasonable accommodation by contacting Human Resources at 480-350-8276. Requests should be made as early as possible to allow time to arrange the accommodation."
4,Database Administrator - Corp,746 reviews,Centura Health,Centura Health,"Englewood, CO","Welcome to Centura Health
Welcome to the largest health ecosystem in Colorado and western Kansas. Welcome to living your mission among thousands of people on fire to live theirs too. Welcome to options, possibilities and values that guide exceptional care. Welcome to extremely important industry challenges and opportunities to solve complex problems. Welcome to highly intelligent teams, overflowing community and the wholeness of mind, body and spirit that is Centura Health.
Flourishing Begins Here
You have a purpose, unique talents and NOW is the time to embrace it, live it and put it to work. At Centura Health, we value incredible people with incredible skills – but your commitment to a greater cause is something we value even more.
Responsible for developing, maintaining, and monitoring the database and associated programming. Works with analysts and experts in systems support to build, configure, deploy, implement, operate, support and maintain the database of the highly complex and fast-growing environment. Ensures the reliability, security and performance of numerous environments within the system including Production, Development, Test, and Training environments. Responsible for performing installations, upgrades, patching and database configurations, while maintaining proper documentation throughout the process. Installs and administers your database environments. Performs environment setup and configuration, proactive monitoring, and maintenance. Trains other DBAs, coordinates on-call schedules, downtimes, failovers, updates and upgrades.
What You Bring/Job Requirements
In addition to bringing your whole self to the workplace each day, qualified candidates will need the following:
High School Degree or GED required
Bachelor Degree in Computer Science or a related field; may substitute equivalent knowledge and skills obtained through a combination of education, training and experience
3+ years of database and system monitoring experience with large enterprise environments – preferred
Ability to communicate clearly and effectively in oral and written English
Ability to train, mentor and work well with others as a team member
Previous experience in healthcare environment preferred
Ability to create, understand and follow processes to ensure successful execution of critical maintenance procedures
MSCA: SQL 2016 Database Administrator preferred
MCSA: SQL 2016 Database Development preferred
MCSA: SQL 2016 BI Development preferred
MCSE: Data Management and Analytics preferred
Oracle Certified Professional (OCP DBA) preferred
Physical Requirements - Sedentary Work - prolonged periods of sitting and exert/lift up to 10 lbs. force occasionally)
Your Connected Community
When people and places align, incredible things happen. Just like the 21,000+ amazing associates who work here, every community within Centura Health’s connected ecosystem has its own unique history, story and personality.
Centura Health is headquartered in Centennial, CO, with additional business office locations throughout the Denver Tech Center. The Corporate Service Center is home to our leaders and centralized teams that support our hospitals, clinics and people – including marketing, human resources, employee benefits, finance, billing, talent acquisition/development, payor relations, IT, project management, community benefit and more. Whether you work in the corporate headquarters or one of our nearby offices, you’ll experience a culture of collaboration and community where incredible people are doing incredible things every day."
5,Database Operations Administrator,3 reviews,Box,Box,"Redwood City, CA 94063","Purpose
Box's data infrastructure is going through a rapid transformation as we continue to scale our business. HBase (or similar NoSQL databases systems), Redis, Memcached, MySQL and other database technologies are all at the heart of enabling Box's ability to store and retrieve critical customer data with low latency. The Database Operations team is responsible for continually pushing the boundaries of our data infrastructure capabilities through developing tools to improve infrastructure leverage, collaborating with engineers across various teams to on-board and support new products, and continuing to drive improvements to the reliability and availability of Box's database platforms.

In this role, you will be discovering opportunities to drive efficiencies in our hardware and software platforms as well as improving or automating manual processes. As the infrastructure continues to grow, you'll be developing robust software to automate routine tasks, automate infrastructure management, and validate changes to database configuration to improve overall throughput of our data platforms.

Why the team needs you
The Database Operations team is comprised of talented and motivated engineers who continually push the boundaries for our team and organization, as a whole. We will be looking for your unrivaled experience and insights in running HBase (or similar NoSQL database systems), Redis and Memcached infrastructure in a Linux environment. Your background in Linux systems administration or software development along with your continued passion to grow and challenge others in the team will be paramount to finding the best possible solutions to the challenges we set out to tackle, as a team.

Why Box needs you
Box is growing fast. Real fast. Every business in the world is looking to modernize the way that they work. As the leader in cloud content management, Box is the only company that can help enterprises transform how people work together. Come help us define a robust way to build, operate, and scale Box's data platforms that power this industry-leading mission!

Why you need Box
You're going to have the unique opportunity to help scale out a rapidly growing data platform using HBase (or similar NoSQL database systems), Redis, Memcached and other non-relational data stores as backends to customer-facing client applications. Like others in this position, you'll be challenged to push existing configurations beyond their current limits through performance testing and tuning. You'll also get to take on opportunities to build software with a test-driven development mindset that aims to simplify routine work or resolve larger technical problems. Through cooperation with engineers across other teams in the engineering organization, you'll also enable the development of new products that have a lasting and direct impact on the entire business.

Who you are
You have 3+ years of professional software development and production operations experience and enjoy talking about stability, scalability, and how to improve the performance of HBase (or similar NoSQL database systems), Redis or Memcached infrastructures at scale.
You have experience designing, building, and deploying high quality software with test frameworks and CI/CD
You have automated routine work with software written in Python, Scala, Java, Ruby and more
You are excited to troubleshoot issues spanning hundreds of databases and want to dive into the internals of HBase, Redis, Memcached and Linux to resolve complex problems
You've worked in cross-functional engineering teams and have an eye for enabling others' success in building new features and software to grow our business

About Box: Founded in 2005, Box (NYSE:BOX) is transforming the way people and organizations work so they can achieve their greatest ambitions. As the world's leading enterprise software platform for secure content collaboration, Box helps business of all sizes in every industry securely access and manage their critical information in the cloud. Box is headquartered in Redwood City, with offices across the United States, Europe and Asia. To learn more about Box, visit www.box.com.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status., veteran status, or disability status."
6,Temporary SQL Database Administrator,"5,761 reviews",Temporary,KPMG,"Denver, CO 80202","Known for being a great place to work and build a career, KPMG provides audit, tax and advisory services for organizations in today’s most important industries. Our growth is driven by delivering real results for our clients. It’s also enabled by our culture, which encourages individual development, embraces an inclusive environment, rewards innovative excellence and supports our communities. With qualities like those, it’s no wonder we’re consistently ranked among the best companies to work for by Fortune Magazine, Consulting Magazine, Working Mother Magazine, Diversity Inc. and others. If you’re as passionate about your future as we are, join our team.
KPMG is currently seeking a Temporary Senior Associate, Database Administrator to join our Digital Nexus technology organization for a twelve-month assignment.
Responsibilities:
Provide technical support of database environments/applications, including software installation, database creation, upgrades, patches, problem diagnosis, performance monitoring, database maintenance, process automation, evaluation, and tuning recommendations
Develop, implement and support backup/restore, disaster recovery and data replication procedures and exercises
Participate in all aspects of the lifecycle for database environments; and in the implementation of application requested database code and configuration changes in supported database environments
Contribute in the creation of new policies, procedures, projects and processes; Evaluate, document, and recommend database-related software products within technical architecture framework
Interact with various technology teams regarding work requests submitted, participate in the creation of new policies, procedures, projects, processes and participate in all aspects of the lifecycle for database environments
Provide technical guidance for junior members of the team and create periodic status reports for management
Qualifications:
Minimum three years of experience in administering and managing large databases in complex enterprise environments
Bachelor's degree from an accredited college/university or equivalent work experience
Experience as a production support MS SQL Server database administrator; Senior technical skills in MS SQL Server 2000, 2005, 2008, 2008 R2, 2012, 2014 and 2016 including system installation and upgrade, backup and recovery, data server migration, database maintenance and support, release management, troubleshooting, performance tuning, developer and third party product support, configuration and support of DTS and SSIS jobs, SQL Server Agent jobs and maintenance plans
Familiarity with the SQL Server Failover Clustering, AlwaysOn Availability Groups, Log Shipping, replication and database mirroring features; and installing and supporting SQL Server 2000, 2005, 2008, 2008 R2, 2012, 2014 and 2016 particularly with features such as Integration Services, Reporting Services and Analysis Services; installing and managing 3rd party vendor applications and dependent components, including packages that utilize IIS and Microsoft Reporting Services; Proficiency in Powershell
Ability to provide on call and emergency off-hours support of critical systems in a 24X7 production environment
U.S. Citizenship is required
KPMG LLP (the U.S. member firm of KPMG International) offers a comprehensive compensation and benefits package. KPMG is an affirmative action-equal opportunity employer. KPMG complies with all applicable federal, state and local laws regarding recruitment and hiring. All qualified applicants are considered for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other category protected by applicable federal, state or local laws. The attached link contains further information regarding the firm's compliance with federal, state and local recruitment and hiring laws. No phone calls or agencies please."
7,DATABASE ADMINISTRATOR-ADV,"5,761 reviews",TN Department of Human Resources,TN Department of Human Resources,"Davidson County, TN","DEPARTMENT OF FINANCE AND ADMINISTRATION, STRATEGIC TECHNOLOGY SOLUTIONS DIVISION, DAVIDSON COUNTY

Education and Experience: Graduation from an accredited college or university with a bachelor's degree and two years of professional level experience in the analysis, design, or programming of business information systems utilizing database management systems (e.g., IMS/DB, SQL Server, DB2, Oracle).

Substitution of Graduate Coursework for the Required Experience: Any additional graduate coursework in data modeling, database design, or performance monitoring and tuning of database management systems may substitute for the required experience on a year for year basis to a maximum substitution of two years.

Substitution of Experience for Education: Professional level experience in the analysis, design, or programming of business information systems utilizing database management systems (e.g., IMS/DB, SQL Server, DB2, Oracle) may be substituted for the required bachelor's degree on a year-for-year basis to a maximum of four years.

OR

Education and Experience: Graduation from an accredited college or university with an associate's degree in business data processing, management information systems, computer and information systems, computer science, or other directly related field and two years of professional level experience in the analysis, design, or programming of business information systems utilizing database management systems (i.e., IMS/DB, SQL Server, DB2, Oracle).

Substitution of Experience for the Specialized Associate's Degree: Experience in data modeling, database design, or performance monitoring and tuning of database management systems may substitute for the specialized associate's degree on a year-for-year basis to a maximum of two years.
 Other Requirements:
Necessary Special Qualifications: None.

Examination Method: Education and Experience,100%, for Preferred Service positions.
 Job Overview:
Summary: Under general supervision, is responsible for implementing and revising database structures of considerable difficulty and is responsible for ensuring accuracy of data and that processes are followed.

Distinguishing Features: An employee in this class designs, implements or revises data structures and database systems following defined standards and procedures. This class differs from Database Administrator-Intermediate in that an incumbent of the latter learns to implement or revise databases. This class differs from Database Administrator-Lead in that an incumbent of the latter is responsible for leading or supervising other database administrators in implementing methods, techniques, and standards for data, and performs complex database management work.
 Competencies (KSA's):
Competencies:
Dealing with Ambiguity
Functional/Technical Competency
Problem Solving
Technical Learning
Time Management
Perseverance
Presentation Skills
Written Communications
Customer Focus
Approachability
Listening
Composure
Knowledge:
Knowledge of advanced backup/recovery methodology including Hot backups, transition logs, archive logs, point-in-time recovery, advanced import/export routines
Knowledge of RDBMS administration such as developing security roles and groups, memory optimizations (pinning SQL to memory), space management, Data Dictionary Views, task and job automation, upgrades, patches, migrations, installations, etc.
Knowledge of hardware and infrastructure tuning such as disk I/O, CPU memory, kernel or O/S parameters, Data Dictionary Views
Knowledge of basic Disaster Recovery concepts
Computers and Electronics
Knowledge of Database Architecture - database design and logical data models for OLTP
Knowledge of Database Architecture memory optimization
Knowledge of basic firewalls, network routing, load balancers, etc.
Knowledge of SQL such as multiple joins PL/SQL, TSQL, or equivalent packages, etc.
Knowledge of RDBMS database systems such as data modifications and normalization, transformations into ERD, Data Dictionary Views, and relation tables
Knowledge of OS architecture, interoperability between groups, users and security, Kernel parameters, disk management, etc.
Knowledge of monitoring software including ability to script out monitoring alerts, thresholds and notifications. May include 3rd party utilities such as SNMP traps
Customer and Personal Service
Knowledge of Basic Mathematics
Knowledge O/S scripting such as korn shell, bash shell, windows, etc. including variables, strings, and automation
Knowledge of Database Development Lifecycle
Knowledge in documentation or technical writing using word processing and diagraming tools
Skills:
Stress Tolerance
Persistence
Active Learning
Active Listening
Skills in database design, including physical and logical data models for OLTP
Skills in advanced database backup and recovery and deployment including Cold Backups, Hot backups, and database dumps, clones, refreshes, compression, scripting, implementing, and scheduling and troubleshooting
Skills in storage and capacity planning including RDBMS hardware
Skills in basic high availability database implementations, setup, configuration and deployments
Skill in executing advanced Disaster Recovery (DR) solutions including testing established/developed disaster recovery procedures, documenting DR tests and cataloging results
Skills in database migrations/upgrades or conversions from O/S platforms, versions, servers, storage, installations and patching
Attention to Detail
Dependability
Adaptability/Flexibility
Initiative
Achievement/Effort
Judgment and Decision Making
Operations Analysis
Systems Analysis
Skills in understanding/reading SQL, PL/SQL, TSQL, or equivalent advanced SQL Packages/languages
Skills in database architecture including memory optimization, and database parameters, etc.
Skills in database security including auditing and database firewalls
Skills in database tuning including database infrastructure tuning, hardware infrastructure tuning
Skills in implementing and ensuring compliance with defined database standards
Skills in deploying or writing monitoring scripts or monitoring software, establishing alerts, notifications and escalations
Skills in implementing business resumption strategies
Skills in documentation or technical writing
Integrity
Analytical Thinking
Speaking
Skills and exposure to multiple operating systems, networking and storage
Skill in O/S Scripting
Abilities:
Ability to work under direct supervision
Ability to read and understand ideas and information presented in writing
Attention to Detail
Integrity"
8,Database Administrator,3 reviews,Box,Box,"Redwood City, CA 94063","Purpose
Box's data infrastructure is going through a rapid transformation as we continue to scale our business. HBase (or similar NoSQL databases systems), Redis, Memcached, MySQL and other database technologies are all at the heart of enabling Box's ability to store and retrieve critical customer data with low latency. The Database Operations team is responsible for continually pushing the boundaries of our data infrastructure capabilities through developing tools to improve infrastructure leverage, collaborating with engineers across various teams to on-board and support new products, and continuing to drive improvements to the reliability and availability of Box's database platforms.

In this role, you will be discovering opportunities to drive efficiencies in our hardware and software platforms as well as improving or automating manual processes. As the infrastructure continues to grow, you'll be developing robust software to automate routine tasks, automate infrastructure management, and validate changes to database configuration to improve overall throughput of our data platforms.

Why the team needs you
The Database Operations team is comprised of talented and motivated engineers who continually push the boundaries for our team and organization, as a whole. We will be looking for your unrivaled experience and insights in running HBase (or similar NoSQL database systems), Redis and Memcached infrastructure in a Linux environment. Your background in Linux systems administration or software development along with your continued passion to grow and challenge others in the team will be paramount to finding the best possible solutions to the challenges we set out to tackle, as a team.

Why Box needs you
Box is growing fast. Real fast. Every business in the world is looking to modernize the way that they work. As the leader in cloud content management, Box is the only company that can help enterprises transform how people work together. Come help us define a robust way to build, operate, and scale Box's data platforms that power this industry-leading mission!

Why you need Box
You're going to have the unique opportunity to help scale out a rapidly growing data platform using HBase (or similar NoSQL database systems), Redis, Memcached and other non-relational data stores as backends to customer-facing client applications. Like others in this position, you'll be challenged to push existing configurations beyond their current limits through performance testing and tuning. You'll also get to take on opportunities to build software with a test-driven development mindset that aims to simplify routine work or resolve larger technical problems. Through cooperation with engineers across other teams in the engineering organization, you'll also enable the development of new products that have a lasting and direct impact on the entire business.

Who you are
You have 3+ years of professional software development and production operations experience and enjoy talking about stability, scalability, and how to improve the performance of HBase (or similar NoSQL database systems), Redis or Memcached infrastructures at scale.
You have experience designing, building, and deploying high quality software with test frameworks and CI/CD
You have automated routine work with software written in Python, Scala, Java, Ruby and more
You are excited to troubleshoot issues spanning hundreds of databases and want to dive into the internals of HBase, Redis, Memcached and Linux to resolve complex problems
You've worked in cross-functional engineering teams and have an eye for enabling others' success in building new features and software to grow our business

About Box: Founded in 2005, Box (NYSE:BOX) is transforming the way people and organizations work so they can achieve their greatest ambitions. As the world's leading enterprise software platform for secure content collaboration, Box helps business of all sizes in every industry securely access and manage their critical information in the cloud. Box is headquartered in Redwood City, with offices across the United States, Europe and Asia. To learn more about Box, visit www.box.com.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status., veteran status, or disability status."
9,Oracle Database Administrator (DBA),5 reviews,Gafcon,Gafcon,"San Diego, CA 92101","We Deliver Complex Projects That Power Vibrant Communities

Gafcon, Inc. provides comprehensive services in construction, program and project management, as well as construction and technology consulting support.

Never losing sight of an owner’s objectives and perspective, Gafcon anticipates challenge, delivering with certainty while making the complex simple. We take command of multilayered projects by applying decades of specialized experience. Gafcon is confident in our project management teams and our deliberate approach and are committed to the communities in which we live and work.

Find out more information about Gafcon at www.gafcon.com.


Oracle Database Administrator (DBA)

We have an immediate opening for an Oracle Database Administrator (DBA). This position will be responsible for the operation, maintenance, and performance of Oracle databases. Additional duties include:


ESSENTIAL FUNCTIONS:
Monitor performance and provide ongoing tuning and optimization of Oracle databases
Collaborate with business and technology teams and support solutions meeting the business and technology goals/strategy
Install new database versions, upgrades, and patches
Maintain, tune, and support development, testing, and production databases
Troubleshoot development, testing, and production database errors and issues
Enhance Oracle database performance by using performance tools and optimizing instance performance


QUALIFICATIONS:

A minimum of 7 years work experience in Oracle Database Support
Oracle PL/SQL development experience is a plus
Oracle Certified Professional is a plus
Experience in supporting, investigating, and maintaining Oracle Databases
Experience in troubleshooting database errors to maximize performance and uptime
Experience with Oracle Database technical design, storage configuration, space management, backup and recovery, disaster recovery, and troubleshooting
Candidate must have worked in 24x7 production environments
Database programming and the use of stored procedures, triggers, or similar development approaches
Hands-on Oracle DBA skills on Primavera application suites would be a plus
Experience with upgrading from Primavera 17.x to higher version would be a plus
Experience with integrations with Primavera Unifier, P6, Primavera Gateway, Analytics, and PeopleSoft would be a plus
Knowledge of Oracle Database version 12C+
Knowledge of Oracle Weblogic version 12C+
Perform complex problem solving and provide guidance to the team on methodical solving
Work effectively without being supervised
Think proactively to anticipate and prevent issues and outages
Prioritize and shift focus when necessary based on criticality


Please submit your resume for immediate consideration."
